v1,v2,v3
1.837080403e+01,8.253811044e+01,4.335096949e+01
5.820037109e+01,2.696803269e+01,1.253175351e+01
7.031745673e+01,8.126399784e+01,3.278423757e+01
6.219851383e+01,3.641062702e+01,4.589108847e+01
4.526909707e+01,9.597298675e+01,8.980722249e+01
5.385506286e+01,7.802889941e+01,3.960402852e+01
2.429441802e+01,4.702117142e+01,1.514835695e+01
1.146221574e+01,1.099909197e+01,4.672953225e+01
9.151728335e+01,2.254107456e+01,9.390108597e+01
7.983079037e+01,9.121957519e+00,2.996079307e+01
9.547231490e+01,4.078586143e+01,7.409656786e+01
5.040631277e+01,7.436052129e+01,4.314687480e+01
9.071887496e+01,9.848221963e+01,8.448244018e+00
5.141239445e+01,1.780970834e+01,1.067409348e+01
9.322515628e+01,3.737098764e+01,7.048081344e+01
6.926387960e+01,6.072660447e+01,3.428212239e-01
7.279196091e+01,6.165602741e+01,7.660306034e+01
1.936225238e+01,4.827652569e+01,1.464580684e+01
7.619529122e+01,5.964412696e+01,6.989727882e+01
3.528364361e+01,6.351608358e+01,2.244562064e+01
9.314706656e+01,6.545626508e+01,2.232012285e+01
7.374505509e+01,4.519710923e+01,3.348459160e+01
7.151791420e+00,4.214048893e+01,8.944958224e+01
7.896171031e+01,1.954797255e+01,6.720766546e+01
6.935410200e+01,5.394637351e+01,8.615198708e+01
4.964895770e+01,6.220911601e+01,6.340311423e+01
9.910756107e+01,6.628741129e+01,7.395524951e+01
8.217799359e+01,6.632605470e+01,8.352603242e-01
7.801557125e+01,5.304963316e+01,6.282474074e+01
3.568333524e+01,5.097515546e+01,8.239529831e+01
1.780907320e+01,9.025963887e+01,2.777363290e+01
8.224078779e+01,3.591281532e+01,7.245759355e+01
3.575612036e+01,5.107393792e+00,7.837669500e+01
9.125969771e+01,2.449552113e+01,8.316807085e+01
1.127927814e+01,2.081045430e+01,7.189462788e+00
9.390959709e+01,7.094418190e+01,4.514306747e+01
9.222145097e+00,4.886259801e+01,4.591154824e+01
2.855332252e+01,7.482951701e+01,9.224587121e+01
2.959957914e+00,9.441650629e+01,9.658456350e+01
5.466668305e+01,3.355996782e+01,4.918673993e+01
8.509359580e+01,2.428984253e+01,7.854312609e+01
9.856388153e+01,4.786535922e+01,8.097416965e+01
9.233604416e+01,4.466789553e+01,4.535207970e+01
4.174629783e+01,5.519683453e+01,4.300594149e+01
7.571511936e+01,9.010610378e+01,8.293819854e+01
5.703743495e+01,7.869730795e+01,8.742502152e+01
8.802005897e+01,1.904390167e+01,2.691558198e+01
9.843348377e+01,8.754073795e+01,2.827372296e+01
8.751575511e+01,3.487409459e+01,9.004252409e+01
9.245761815e+01,3.111105694e+01,4.798524908e+01
1.756944677e+01,3.949634620e+01,4.630915100e+00
8.645889134e+01,1.490187187e+01,3.977571831e+01
7.702804507e+01,2.806785000e+01,5.744932285e+01
8.707482598e+01,9.160543612e+01,3.412959474e+01
2.307552924e+01,4.853982534e+01,6.043026870e+01
1.719397139e+01,2.583157940e+01,8.553738351e+01
2.772958689e+01,1.325236568e+01,1.007789785e+01
3.081155307e+01,5.993179833e+01,4.059053851e+01
9.061159625e+01,9.641698418e+01,2.460536803e+01
1.764387347e+01,5.602951446e+01,8.108292449e+01
2.597186497e+01,9.395893186e+01,3.028925029e+00
3.248538980e+01,3.094567705e+01,5.720788931e+01
1.755148868e+00,4.157715201e+00,4.127221308e+01
1.192370216e+01,8.014624637e+01,2.309353481e+01
8.061772904e+01,4.678092277e+01,1.824353277e+01
5.239695273e+01,3.150958568e+01,1.402116188e+01
6.959690065e+01,1.118521107e+01,3.591017002e+01
5.778169057e+01,4.189249712e+01,5.491577647e+01
8.548043902e+01,5.959074287e+01,5.304968018e+00
8.402660881e+01,6.896056546e+00,9.268689181e+01
1.559998069e+01,6.597670451e+01,2.259174546e+01
2.564572404e+01,3.720298776e+01,7.208108877e+01
4.713269980e+00,7.903077834e+01,2.582632368e+00
3.142095720e+00,7.524913443e+00,4.001323687e+01
7.883753321e+01,8.808005039e+01,3.586710445e+01
4.555438958e+01,2.655377819e+01,1.275632031e+01
3.954184059e+01,8.317824758e+01,8.276764414e+01
4.117616857e+01,1.249219272e+01,9.517762348e+00
6.344472174e+01,6.055258137e+01,5.823135053e+01
2.225927187e+01,9.600183949e+01,5.803156690e+01
8.016314277e+01,7.911709736e+01,1.802689070e+01
9.091093317e+00,2.763183701e+01,6.742480419e+01
3.760941259e+01,8.089472764e+01,1.084250143e+01
7.939355795e+01,9.373102452e+01,4.652296047e+01
6.441889385e+01,4.789347747e+00,6.924190417e+01
8.919146896e+01,4.410624707e+01,7.463773955e+01
1.518152125e+01,5.053439002e+01,7.580243581e+01
2.811439530e+01,7.517843812e+01,8.519155547e+01
3.654331537e+01,5.041459571e+01,1.615973837e+01
1.686371123e+01,4.760564370e+01,6.587950053e+01
5.586270837e+01,2.299257666e+01,6.006059083e+01
8.619768006e+01,5.747126390e+01,4.328979449e+01
3.888316530e+01,4.720663031e+01,2.171500217e+01
7.316612555e+01,1.854107929e+01,4.975233627e+01
6.606548845e+01,4.233521953e+01,2.867199522e+01
3.461549561e+01,7.891621537e+01,7.993916096e+01
5.798907601e+01,8.351557642e+01,7.476493183e+01
3.594450717e+01,9.897034233e+01,8.698207986e+01
8.812144413e+01,2.097598456e+01,8.041340947e+01
7.908501577e+01,4.284585939e+01,5.236910761e+01
1.404384670e+01,3.716566661e+01,5.135763681e+01
7.639352578e+00,1.898982659e+01,5.208259768e+01
9.534920462e+01,2.482715497e+01,9.447650654e+01
1.372408948e+01,6.087366708e+00,2.350697854e+01
5.032332313e+01,9.264793834e+01,3.652326020e+01
1.807023369e+01,6.308511370e+01,5.050137635e+01
2.641793014e+01,3.920471221e+01,2.844960265e+01
1.221155530e+01,6.958980094e+01,9.021463927e+01
8.152942929e+01,9.672489581e+01,3.693513455e+01
8.996639743e+01,6.192126863e+01,7.795817493e+01
6.515213624e+01,6.237297042e+01,2.434441407e+00
8.725894765e+01,2.182646587e+01,8.031751570e+01
6.851903576e+01,3.807846104e+00,1.191729771e+01
4.928510056e+01,6.567547208e+01,4.016232369e+01
3.770173316e+00,5.374378124e+01,1.333788533e+01
1.884428391e+01,4.208128596e+01,6.846907452e+01
6.573015901e+01,1.623157286e+01,2.936413649e+01
2.688951061e+01,1.939343199e+01,5.889359843e+01
5.515423775e+01,3.329587344e+01,6.236777291e+01
7.655855202e+01,8.043475267e+01,2.549044717e+01
4.430777350e+01,4.389373325e+01,1.463842674e+00
1.260352812e+00,2.317192705e+01,2.194354608e+01
9.107223792e+01,2.780392396e+01,5.639130899e+01
2.837166882e+01,6.653790058e+01,7.631963212e+01
4.511311353e+01,7.285217803e+01,3.860501529e+01
1.618858612e+01,8.982268290e+01,8.489374766e+01
3.047393054e+01,7.260196797e+01,8.199126414e+00
1.904525303e+01,9.661243796e+01,8.009003645e+01
2.659856174e+00,6.759545635e+01,6.788471298e+01
5.364301357e+01,3.217974893e+01,3.778332351e+01
2.247048107e+01,7.211240016e+01,8.623624005e+01
8.007233741e+01,7.100236346e+01,4.614765253e+01
3.270558108e+01,2.986239320e+01,3.618823637e+01
6.334755489e+01,6.063583684e+01,1.316732441e+01
3.747227988e+01,3.684546011e+01,7.284152567e+01
7.092198481e+01,6.273634449e-01,9.950991750e+01
9.884455989e+01,6.242042044e+01,7.952699761e+01
3.141185224e+01,3.004355280e+01,5.223294006e+01
3.478099725e+01,9.986870777e+01,3.080155073e+01
8.683888978e+01,3.959699650e+01,9.985033714e+01
4.167539803e+01,9.682872205e+01,6.481019450e+01
2.799914644e+01,2.462461847e+01,5.078689798e+01
4.236150833e+01,1.159141234e+01,2.107434339e+01
9.772548529e+01,8.810875841e+00,5.100308993e+01
1.231523952e+01,7.030521199e+01,1.032989997e+01
9.332556997e+01,3.013017740e+01,9.015238548e+01
2.577553958e+01,2.700687590e+00,4.731017792e+00
7.366669933e+01,7.927731886e+01,3.185762010e+01
7.720850235e+01,6.796378415e+01,4.317976557e+00
7.568225579e+00,6.510497248e+01,6.294434173e+01
8.255756166e+01,5.406396060e+01,2.757787666e+01
6.098690014e+01,1.350682346e+01,7.935874966e+01
7.503795264e+01,4.911435475e+01,8.503614710e+01
2.829123077e+01,7.041320492e+01,9.648055425e+01
3.135290508e+01,7.361349888e+01,2.975882822e+01
5.067236056e+01,2.775545246e+01,5.650142517e+01
9.384099450e+01,3.576843555e+01,9.996440210e+01
1.640796490e+01,4.741206322e+01,3.423543783e+01
6.915075396e+01,5.033008495e+01,6.272962002e+01
3.214601672e+01,6.689736682e+01,5.621674779e+01
3.250251150e+01,9.964303610e+01,4.816293789e+01
2.053871769e+01,6.875485708e+01,9.312876175e+01
4.128458345e+01,9.150062915e+01,5.601834476e+01
6.505594574e+01,5.628056151e+01,1.095478949e+01
9.007874339e+01,5.716554419e+01,4.623964217e+01
7.236493260e+01,5.087189486e+01,3.561872067e+01
2.250105852e+01,7.380731394e+01,8.858635909e+01
7.947273361e+01,8.138477364e+01,1.707919506e+01
8.765522426e+01,7.958775100e+01,5.291027228e+01
3.230330583e+01,9.483261219e+01,1.046809646e+01
6.861119622e+01,6.465129095e+01,5.587021715e+01
7.733034103e+01,5.239234938e+01,5.969462987e+01
3.286519217e+01,4.957864373e+01,8.700582179e+01
7.914733433e+01,1.239099611e+01,5.950186071e+01
6.075708171e+01,5.833902177e+01,6.450307811e+00
4.878398373e+01,2.539807086e-01,6.911905733e+01
1.157874175e+01,5.326895402e+01,4.036347261e+01
3.934671081e+01,8.285872593e+01,8.918089434e+01
6.301605073e+01,2.171640206e+01,4.078405151e+01
8.162307620e+01,8.476873937e+01,4.097821709e+01
8.987884917e+01,1.597070213e+01,1.552355701e+01
7.759625341e+00,7.503411986e+01,1.962320788e+01
5.893770869e+01,5.481032665e+01,7.104882004e+01
6.992581053e+01,5.859125239e+01,5.378572966e+01
1.396095655e+01,8.726195492e+01,3.295814224e+00
8.568595637e+00,7.341079302e+01,7.927739612e+01
9.979216132e+01,9.338288632e+01,4.372282342e+01
3.065502512e+01,3.195683448e+01,1.757111876e+01
1.316065457e+00,5.176106154e+01,6.217806821e+01
6.836526132e+00,4.026241500e+01,4.411483062e+01
2.465085341e+01,8.532541774e+01,8.142148490e+01
3.698561095e+01,7.987011659e+01,9.681686699e+01
6.175697481e+01,4.055169195e+01,1.884245312e+01
7.534260698e+01,5.111700916e+01,7.871736263e+01
7.408518548e+01,7.565928849e+01,3.140313336e+00
9.903329025e+01,8.308194679e+01,6.516013234e+00
9.475561459e+01,5.183389377e+01,6.055956561e+01
9.441250216e+01,9.418071447e+01,1.636290703e+01
7.845233402e+01,2.419705494e+00,9.371042927e+01
8.231657343e+01,8.946881040e+01,5.988452783e+01
9.636307564e+01,1.872078662e+01,4.149476047e+01
7.431009261e+00,5.257510532e+01,7.528028242e+01
8.828674388e+01,7.835320870e+00,4.422113747e+01
2.602641749e+01,7.834952378e+01,9.826976295e+01
5.447974887e+01,3.666066806e+01,9.690651795e+00
2.336430497e+01,8.244894414e+01,9.840306405e+01
1.297920532e+01,8.216209843e+01,4.883908474e+00
4.563530481e+01,5.350985879e+00,2.371792513e+01
2.084293717e+01,4.445267822e+01,2.499074705e+01
2.956583091e+01,2.274114052e+01,2.834591430e+01
5.247468771e+01,4.964598593e+01,2.567897602e+01
5.308874761e+01,1.617606219e+01,6.770194046e+01
5.355353617e+01,5.651908586e+01,2.590254573e+01
6.473401494e+01,7.330067634e+00,6.974107899e+00
7.088684810e+01,7.296435250e+01,5.773492550e+01
7.431887327e+01,5.041780545e+00,5.695382700e+01
9.025414011e+01,2.571059747e+01,1.426617912e+01
2.295009033e+01,3.926977306e+00,7.077331850e+01
3.544037364e+01,9.389416536e+01,9.554327724e+01
9.935348630e+01,8.479938898e+00,1.775957003e+01
4.686482479e+01,6.322583052e+01,5.666166542e+00
9.487548258e+01,2.934674129e+01,9.965564080e+01
3.839889627e+01,5.575957584e+01,9.779973467e+01
6.835749072e+01,4.575482580e+01,7.602018317e+01
7.046879762e+01,7.330713537e+01,1.789529279e+00
3.231150306e+00,5.347821244e+01,7.455607941e+01
2.598666976e-01,2.458306746e+01,6.067095868e+00
9.735098637e+01,7.693685682e+01,5.145915100e+01
8.493481891e+01,7.723262855e+01,8.863237113e+01
1.207411995e+01,6.316646469e+01,4.546963568e+01
4.840770124e+01,6.341394436e+01,7.454502210e-01
1.330943504e+01,8.546828220e+01,6.669980813e+01
4.941610300e+01,3.967505331e+01,1.058660254e+01
9.969623720e+01,1.281150730e+01,3.570145156e+01
1.598821368e+01,6.881862804e+01,8.804686292e+01
2.848852132e+01,9.053825916e+01,7.433357917e+00
1.164654915e+01,1.339887660e+01,6.447488811e+01
3.783177576e+01,5.465417958e+01,4.738124088e+01
9.356257645e+01,5.247071194e+01,6.857118929e+01
5.487079408e+01,8.998043965e+01,1.871576741e+01
5.085901152e+01,8.326875264e+01,8.451576481e+01
1.165961764e+00,9.316947612e+01,7.373527497e+01
5.840338281e+01,4.545889981e+01,5.469861382e+01
9.160459448e+01,7.072386553e+00,3.942761294e+01
2.031797595e+01,5.146383798e+01,4.765746570e+01
5.053742684e+01,4.086664685e+01,4.942629863e+01
5.650792705e+00,2.063201354e+01,9.607968307e+01
3.822793816e+01,2.195792113e+01,9.231384730e+01
6.446239706e+00,7.846548107e+01,1.686407495e+01
3.627769603e+01,6.486007453e+01,4.640383642e+01
9.879955502e+01,8.631897668e+01,3.930877137e+01
8.032415507e+01,6.863566544e+01,1.521606885e+01
6.262206567e+01,3.824814135e+01,1.693039441e+01
9.515589588e+01,2.843294784e+01,5.761432848e+01
8.146472676e+01,7.887626273e+01,5.465713892e+00
9.591472074e+01,9.906381209e+01,6.610244376e+01
1.050859882e+01,7.820674546e+01,3.905933355e+01
9.176555170e+00,3.137458296e+01,1.348921593e+01
4.216019423e+01,8.483872518e+01,8.671586184e+01
5.343121278e+00,4.353574899e+01,8.847433030e+01
4.937622008e+01,3.042027792e+01,4.344802688e+01
7.782663760e+01,4.686649835e+00,1.787411271e+01
4.491194757e+01,8.834049990e+01,2.074711288e+00
9.296398508e+01,7.201164430e+01,3.615758445e+00
7.551051211e+01,2.617726192e+01,6.801935414e+00
5.870636097e+01,5.917294313e+01,2.127969421e+01
1.039024476e+01,7.631905551e+00,8.161903853e+01
3.420943183e+01,1.687941338e+01,6.623508810e+01
5.417898016e+01,5.556961804e+01,8.713401041e+01
6.892104261e+01,5.285959019e+01,5.007570725e+01
2.416936082e+01,8.963958368e+00,2.897369567e+01
6.121157438e+01,1.406275940e+01,8.665267703e+01
2.115462219e+01,7.010029280e+01,2.785071897e+01
4.691790643e+01,1.058957789e+01,9.118263260e+01
6.164417124e+01,8.371052192e+01,7.823700753e+01
9.626450548e+01,3.670860725e+01,3.513537391e+01
1.312801222e+01,7.660611899e+01,8.587708700e+01
5.169103927e+01,4.122052025e+01,1.867257042e+01
4.056318714e+01,9.659366906e+01,5.266168950e+01
9.727402982e+01,3.460200775e+01,9.937270153e+01
7.643166154e+01,4.266834827e+01,5.559732702e+01
7.790345458e+01,3.857622590e+01,7.421793755e+01
4.508846083e+01,1.571162115e+01,6.887388261e+01
1.177117126e+01,9.546621602e+01,3.108966707e+01
9.740040346e+01,7.253924182e+01,7.915383449e+00
3.410487540e+01,6.272663740e+01,5.185642584e+01
8.451786360e+01,5.411210433e+01,3.114630833e+01
6.496996759e+01,5.768723078e+01,1.944599925e+01
4.743910802e+01,3.897533569e+01,9.380360984e+01
9.864907064e+01,5.582993256e+01,4.408357359e+01
5.117898118e+01,8.272975074e+01,1.286354799e+01
3.480747317e+00,7.534711142e+01,4.134357099e+00
1.822610505e+01,1.704418467e+00,6.096482484e+01
6.006116091e+01,4.502337639e+01,6.824362655e+01
9.556844571e+00,1.089003452e+01,5.096084591e+01
2.536681165e+01,6.610982872e+01,5.599772172e+01
3.607034145e+01,4.538643845e+01,3.355991803e+01
1.581273960e+01,1.755809798e+01,2.326385176e+01
5.679830775e+01,6.900410550e+01,4.046202752e+01
5.221430492e+01,6.120522580e+01,3.749137529e+01
6.221822011e+01,3.247590778e+01,1.930312018e+01
8.739888584e+01,9.345960247e+01,3.640205960e+01
5.524052763e+01,8.795790697e+00,1.387484739e+01
2.152895192e+01,4.559792064e+01,6.696963680e+01
7.295088986e+01,7.655446963e+01,5.667945447e-01
4.181721867e+01,2.246355963e+01,8.417598496e+01
2.049429498e+01,8.340244829e+01,8.687548774e+01
2.554502477e+01,3.388038177e+01,6.771473355e+00
4.771199076e+01,2.895276341e+01,7.744038328e+01
5.507615846e+01,8.649415403e+01,1.846080031e+01
2.215347262e+01,8.263255566e+01,6.866773806e+01
8.076221934e+01,8.369598698e+01,3.856646660e+01
4.329753672e-01,2.513407848e+01,1.361837358e+00
2.208968879e+01,7.143334674e+01,1.302053385e+01
9.416484897e+00,9.615156812e+00,1.084376662e-01
7.010756007e+01,6.360576926e+01,9.633532719e+01
2.978352377e+01,9.928207160e+01,8.972455293e+01
4.151179801e+01,4.862138646e+01,3.015240714e+01
8.449377378e+01,2.631525772e+01,9.914567107e+01
8.302853328e+01,3.512850928e+00,5.386076853e+01
5.136283888e+01,6.975257953e+01,7.978243989e+01
8.113382401e+01,6.278360158e+00,6.494830380e+01
8.881780681e+01,5.008910253e+01,7.367965877e+01
3.341686385e+00,1.451393958e+01,2.136742310e+01
1.527273352e+01,5.677770550e+01,9.147121580e+01
8.289368297e+01,5.549539640e+01,2.015481272e+01
1.595754338e-01,1.910318433e+01,2.552797076e+01
4.036169384e+01,1.437330527e+01,8.592696708e+01
5.008036915e+00,4.650274924e+01,2.765516837e+01
3.206600861e+01,3.915806657e+01,6.946821058e+01
5.949947748e+01,1.318236785e+01,8.798970987e+01
3.995926482e+01,8.485374601e-01,2.088261279e+01
1.283196065e+01,7.372327827e+01,9.780050991e+01
7.632753497e+01,1.979958375e+01,5.708543170e+01
5.321620888e+01,8.760273859e+01,7.430210333e+01
5.719500260e+01,2.624693271e+01,5.028644935e+01
8.590723655e+01,3.620882316e+01,6.539425972e+01
1.673420796e+01,4.564266937e+01,5.893863817e+01
7.541048351e+01,9.573513550e+01,2.534017498e+01
6.727794027e+01,2.358407002e+00,1.655757349e+00
6.351090460e+01,8.687221937e+01,5.662188373e+01
3.952992912e+00,7.799319249e+01,8.050348611e+01
7.935425663e+00,4.430075241e+00,8.934165845e+01
2.165311421e+01,8.198336839e+01,7.150150892e+01
3.459776281e+01,1.247563340e-01,1.748559626e+01
2.859262226e+00,5.160035371e+01,9.109383362e+01
7.969490329e+01,4.346343770e+00,6.393232948e+01
9.504338657e+01,8.608411617e+01,1.072609007e+01
3.397105646e+01,6.940376453e+01,5.356218138e+01
8.845290243e+01,5.814471455e+00,7.918569366e+01
7.398439177e+00,2.721420496e+01,4.635956260e+01
9.587426348e+01,5.987870445e+00,4.833336611e+01
1.210407556e+01,9.287625697e+01,4.876554621e+01
1.636623245e+01,8.810235901e+01,9.177066739e+01
2.391511560e+00,5.802810468e+01,3.020934941e+01
9.110305353e+01,1.061577242e+01,9.155999675e+01
4.675653369e+01,3.741989970e+01,8.409381369e+01
4.423301748e+01,1.551933791e+01,6.654447153e+01
9.462818631e+01,4.043107612e+01,7.722799742e+01
6.707877286e+01,6.551910621e+01,6.074355065e+01
8.837974521e+01,1.026925495e+00,9.810300877e+01
8.413494117e+01,7.686725917e+01,2.038863446e+01
6.312983125e+01,5.356869278e+01,6.256642768e+01
9.306113409e+01,2.283328097e+01,2.096863154e-01
6.686928639e+00,9.072491994e+01,2.419277301e+01
8.482189633e+01,5.751144539e+01,7.896274256e+01
1.380487302e+01,2.304140102e+01,7.441235313e+01
4.759171288e+01,8.336882173e+01,2.277691617e+01
9.497025138e+01,3.402566621e+01,2.021679293e+01
9.958751598e+01,2.434837825e+01,5.033244101e+01
6.759445131e+01,4.526252578e+01,2.111850857e+01
1.629671133e+01,3.063826587e+00,9.352297218e+01
3.912455176e+01,1.406531696e+00,7.566769638e+00
6.045062463e+01,3.522640686e+01,2.738661834e+01
1.456769314e+01,2.342715086e+01,9.624953526e+01
3.382668113e+01,9.784612392e+01,9.583624536e+01
9.836624715e+01,5.564765510e+01,1.653708840e+01
4.117682453e+00,2.232489044e+01,7.321978617e+00
7.664306533e+01,8.228768953e+01,9.973443591e+01
6.382238534e+00,7.180231435e+01,8.203010573e+01
2.488732669e+01,6.156714917e+01,5.440093701e+01
9.174211517e+01,1.328929185e+00,6.896789928e+01
9.645623095e+01,2.962989322e+00,3.994583782e+01
2.353277292e+01,2.961361369e+01,9.875312495e+00
3.113561146e+01,1.997075536e+01,7.731300274e+01
5.902144174e+01,7.766932815e+00,3.784215795e+00
2.781381253e+01,6.206951538e+01,8.217380954e+01
3.807456771e+01,2.073910557e+01,5.615444275e+01
3.435917908e+01,1.651894230e+01,3.671993220e+01
1.443406880e+01,6.746154827e+01,9.031963848e+01
7.826237514e+01,8.850796669e+01,4.295456386e+01
8.686153334e+00,7.596195167e+01,8.532363762e+01
2.805771174e+01,2.918934762e+01,5.476871608e+01
7.836142617e+01,4.633921397e+01,5.453493733e+01
3.968885891e+01,1.549814096e+01,6.433084642e+01
1.012730069e+01,6.388751800e+01,6.645507758e+00
1.342626294e+01,5.075647182e+01,6.021981126e+01
5.211154836e+01,9.469688360e+01,1.156623334e+01
6.804007506e+01,2.328613086e+01,3.797313606e+01
2.431418261e+01,2.264860486e+01,9.485310669e+01
3.173093018e+01,8.405011771e+01,2.143233497e+01
2.674306780e+01,3.765549476e+01,8.635997837e+01
9.098542612e+01,1.001637088e+01,2.571226691e+01
6.798213027e+01,9.436763912e-01,5.971952775e+01
8.082777667e+00,2.137634590e+01,1.205550977e+01
7.184841102e+01,6.479170809e+01,3.287180926e+01
4.441862768e+01,8.672198883e+01,4.953570592e+01
3.582901744e+01,7.233783199e+01,7.559813368e+01
6.618215173e+01,3.774150567e+01,5.065502593e+01
7.488304157e+01,8.096296751e+01,7.565008580e+01
2.657991510e+01,2.056683659e+01,1.912133007e+01
4.259677728e+01,2.412031285e+01,1.584983973e+01
6.280504535e+01,9.760437424e+01,3.831196858e+01
3.874001582e+01,4.420449668e+01,7.616950220e+00
3.616598530e+01,3.254315296e+00,6.261175661e+01
5.722321515e+01,7.196171714e+01,7.908444364e+01
2.506974513e+01,9.941495758e+00,4.865216548e+01
8.775902691e+01,6.910824542e+01,2.925517165e+01
3.513007064e+00,4.872434812e+01,2.916042912e+01
9.283460734e+01,4.596897611e+01,9.194276100e+01
7.750604127e+01,3.039485319e+01,8.827038301e+01
1.480504729e+01,5.497781694e+01,5.907500419e+01
3.705838432e+01,5.029363922e+01,7.137264713e+01
6.028415194e+01,3.885341302e+01,9.722753020e+01
5.255838619e+01,2.955108608e+01,3.322092259e+00
9.608107063e+01,4.068548466e+00,4.696115855e+01
2.014877622e+01,2.740911810e+01,9.265527252e-01
3.988708845e+01,5.507197993e+01,2.109906750e+00
8.693104473e+01,5.553201383e+00,7.112757611e+01
7.998512044e+01,6.721798942e+01,4.846331004e+01
1.560035581e+01,6.104562020e+01,2.580851690e+01
3.377916005e+01,6.858538095e+01,8.762326008e+01
8.337796980e+01,6.212347700e+01,5.347966489e+01
9.184599843e+01,7.876507065e+01,9.458465149e+01
6.254241519e+01,4.197934012e+01,1.239960372e+01
4.106244121e+01,7.769504218e+01,4.891558012e+01
4.809116322e+01,1.223651977e+01,3.264162862e+01
7.866373429e+01,1.217472793e+01,4.273971761e+01
7.155702434e+01,3.781954596e+01,6.316189505e+01
5.578225347e+01,3.438054425e+01,3.462061776e+01
8.425765988e+01,6.029363235e+01,7.214323391e+01
1.532186826e+01,3.643700174e+00,7.230605568e+00
3.363208431e+01,6.587226448e+01,9.945735751e+01
2.315140402e+01,6.335048970e+01,9.663266127e+01
3.721081490e+01,6.447675865e+01,1.260112786e+01
8.666820817e+01,4.814203086e+01,1.813057654e+01
4.661500552e+01,3.020967118e+01,7.510086581e+01
7.009334748e-01,8.557457038e+01,7.325229616e+01
6.532197402e+01,4.977281592e+01,9.808594414e+01
5.613399820e+01,4.007989747e+01,4.142145620e-01
6.390497189e+01,3.452188441e+01,2.400744876e+01
9.897508350e+01,4.178331734e+01,1.249480358e+01
3.978547254e+01,3.553061052e+01,6.178541920e+01
2.388368399e+01,9.459888940e+01,3.396794998e+01
1.039088787e+00,7.068835292e+01,3.090427258e+01
9.889408701e+00,4.718363897e+01,7.319954452e+01
3.637517896e+01,6.642496787e+01,5.400621677e+01
8.977050793e+01,6.891196488e+01,4.995924885e+01
6.748937965e+01,4.323641345e+01,9.163774184e+01
4.762857052e+01,3.201194276e+01,2.073936975e+01
6.032689320e+01,1.296599921e+01,7.226259835e+01
8.572723564e+01,1.441723743e+01,8.378523484e+01
8.565718956e+01,8.450867228e+01,8.391022892e+01
6.970524397e+01,5.537948871e+01,2.845913566e+00
