v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12
3.214269889e+01,3.289034188e+01,8.789323526e+01,7.838027069e+01,7.873885827e+01,4.345649273e+01,9.373359973e+01,7.382559626e+01,5.482479122e+01,1.653524809e+01,6.388113100e-01,4.772744046e+01
4.988334739e+01,7.719135004e+00,9.845744226e+01,5.256687522e+01,7.312425958e+01,2.783374425e+01,5.404070255e+01,3.063210498e+01,6.997027542e+01,6.642052488e+01,6.203835843e+01,7.934783689e+01
6.096213005e+01,8.453592904e+01,7.423099653e+01,1.953392033e+00,7.951611399e+01,7.364773674e+01,4.918013379e+01,9.980127936e+01,5.877296081e+01,4.232455354e+01,1.577509741e+01,9.702142930e+01
2.672109866e+01,4.214912704e+01,1.374787753e+01,1.893133985e+01,3.594883147e+01,4.550787466e+01,8.215698031e+01,8.401620142e+01,5.043480150e+01,9.582714062e+01,1.714520427e+00,3.577081276e+01
4.847484394e+01,3.018006148e+01,2.254590081e+01,5.877238342e+01,5.225683502e+01,6.800764921e+01,1.836606574e+01,9.256983183e+01,7.471077369e+01,7.904714932e+01,1.240249871e+01,4.156512880e+01
4.511451066e+01,5.684209326e+01,7.145893840e+01,6.381062845e+01,3.561005210e+01,6.908883002e+01,9.271140511e+01,5.494067614e+01,3.245155722e+01,6.016429073e+00,7.807933512e+01,2.652309280e+01
3.722961246e+00,2.698379666e+01,5.543403257e+00,2.909944259e+01,9.378400788e+01,2.543640870e+01,3.087508886e+01,4.923262662e+01,7.630372540e+01,1.774247477e+01,8.349294865e+01,1.365705004e+01
9.417200577e+01,6.654869977e+01,6.788120787e+01,1.228222317e+01,5.354605079e+01,7.405843822e+01,6.373894391e+01,6.650062236e+01,7.841006685e+01,3.035813635e+01,1.584878621e+00,1.384105024e+01
2.786253133e+01,6.408249193e+01,5.044442384e+01,1.811035155e+01,9.735719208e+01,7.735930311e+01,1.664939264e+01,8.350218363e+01,1.655429938e+01,1.503215775e+00,3.410959443e+01,7.622605307e+01
5.222810489e+01,6.960772966e+01,6.627623171e+01,1.195455753e+00,8.525080323e+01,5.233507637e+01,5.078744669e+01,1.475079089e+01,7.172967580e+01,7.315885914e+01,3.977133215e+01,8.708059470e+00
1.915775936e+01,3.979215593e+01,2.453938477e+01,5.966896179e+01,6.040267632e+01,7.891481917e+01,3.538103676e+01,6.171215062e+01,1.885251282e+01,8.402133587e+01,5.878881956e+01,9.661317205e+01
1.177870730e+01,2.312905088e+00,7.779816059e+01,2.521951727e+01,5.843332962e+01,1.552721168e+01,1.592194695e+01,7.873898554e+01,5.245653882e+01,5.896753112e+01,9.142284924e+01,1.215979984e+01
5.032253669e+01,4.345440912e+01,6.008027544e+01,2.064854346e+01,6.789679882e+01,2.140549641e+01,6.405001886e+01,1.158993323e+00,8.561418477e+01,5.932122375e+01,7.049684861e+01,3.109682738e+01
1.156696990e+00,9.961668281e+01,5.260278438e+01,4.755450394e+01,7.151738682e+01,6.431709182e+01,9.837859443e+01,3.080306672e+01,4.708884312e+01,5.290412115e+01,8.779931794e+00,3.468941086e+01
3.568658676e+01,6.315673130e+01,7.681557274e+01,1.622258118e+01,9.228904528e+01,5.965675377e+00,3.963032859e+01,4.858444646e+01,9.839698836e+01,8.216493905e+01,4.463620443e+01,1.530616721e+01
8.768485183e+01,6.817003231e+01,2.477162379e+01,8.910164244e+01,1.771576730e+01,8.941321989e+01,9.224493326e+00,8.245618413e+01,9.627558400e+01,8.981615843e+01,2.974532621e+01,7.639831285e+01
3.793819766e+01,9.581913887e+01,1.307309962e+01,7.742819811e+01,3.484175311e+01,8.880290374e+00,4.672846013e+01,2.663847549e+01,6.388427022e+01,7.662642598e+01,7.833518045e+01,2.661250765e+01
1.037814371e+01,8.642848014e+01,9.089927136e+00,1.458861653e+01,4.927237467e+01,7.572969647e+01,2.417573855e+01,6.246696961e+00,9.528870383e+01,4.499315966e+01,2.813757030e+01,8.811011123e+01
1.863218434e+01,4.330424501e+01,9.514075961e+01,2.890401903e+01,4.504324527e+01,4.982190305e+01,7.430576056e+01,5.470357631e+01,8.761001772e+01,5.403726304e+01,1.812956584e+01,6.721801223e+01
9.944598431e+00,6.726157633e+01,6.385476794e+01,3.664870436e+01,3.642936717e+00,7.567309834e+01,8.705582844e+01,3.674053676e+01,4.347332046e+01,5.475674164e+01,5.848949097e+01,5.106226378e+01
3.659425592e+01,4.052989111e+01,1.803718127e+00,7.223125442e-01,1.726741874e+01,1.694792785e+01,3.989637148e+01,7.865542890e+01,3.940830547e+00,6.098753277e+01,1.301979979e+01,1.627386766e+01
4.433363746e+00,8.147396924e+01,8.930408312e+01,2.562164309e+01,9.749062382e+01,8.460574687e+01,6.067879782e+01,9.120783151e+01,1.920548066e+01,6.554087166e+01,8.853463783e+01,8.194933915e+01
7.185588623e+01,7.884997898e+00,1.651991900e+01,5.417127991e+01,6.695392804e+01,9.215937251e+01,4.457948613e+01,3.573215849e+01,2.985102925e+01,2.109179870e+01,1.198451740e-01,9.095679161e+00
2.381469953e+01,7.591838817e+01,2.428130722e+01,4.783124181e+01,6.726511361e+01,3.857710841e+01,8.727057536e+01,9.720740257e+01,2.820615824e+00,6.103644450e+01,3.449615886e+01,1.811243947e+01
3.370924735e+01,5.668057985e+01,3.235492794e+00,1.850739935e+00,2.278005523e+01,9.858848200e+01,6.964628425e+01,9.856169440e+01,8.803767606e+01,2.878012185e+01,1.784611696e+01,2.752669128e+01
2.658135865e+01,5.103298500e+01,6.908550145e+01,1.733245185e+01,5.655035146e+01,2.370127054e+01,9.306584013e+00,5.769525748e+00,4.027808526e+01,7.095077085e+01,2.260929994e+01,9.391923190e+01
9.853648566e+01,6.764836347e+01,4.393390338e+01,2.272953037e+01,6.705552842e+01,5.739591959e+01,2.649917329e+01,2.070053811e+01,9.494140783e+01,2.283169468e+01,8.901663317e+01,2.202667893e+01
1.656504484e+01,7.862575483e+01,1.349935147e+01,9.232457303e+01,2.964698760e+00,7.238690340e+01,1.034076449e+01,9.080555092e+01,1.636976298e+01,9.443590660e+01,2.779923720e+01,7.836701594e+00
7.903619304e+01,3.296727291e+01,3.772014891e+01,6.801540134e+01,6.036248249e+01,8.487570698e+01,9.977662508e+01,3.658930161e+01,9.645580524e+00,1.887496147e+01,3.343226408e+01,8.688155187e+01
7.676707951e+01,2.835550677e+01,5.011847881e+01,2.378189800e+01,7.484108316e+01,1.498486781e+01,6.760196301e+01,3.130631800e+00,4.069060917e+01,8.074989226e+01,8.035884858e+01,7.058054149e+00
4.716147995e+01,1.410083096e+01,6.070037261e+01,9.737193429e+00,1.731521684e+01,2.457729260e+01,5.331970300e+01,8.111916324e+01,1.309417982e+01,2.316483966e+01,3.720993571e+01,3.651004067e+01
6.372571287e+01,1.580471461e+01,4.626017312e+01,7.370463138e+01,8.080727679e+01,6.292032306e+01,7.538568201e+01,1.859653865e+01,5.178445014e+01,4.352701639e+01,1.950858960e+01,7.734014733e+01
2.362471430e+01,6.300554055e+01,7.159262457e+01,7.413677862e+01,6.671006057e+01,6.002580231e+01,9.393594988e+01,7.508230202e+01,8.189178302e+01,7.601058960e+01,7.892250020e+01,1.278161812e+01
1.553675942e+01,3.470578745e+00,6.680633047e+00,3.733658349e+01,5.539799769e+01,2.043618043e+01,9.951594419e+01,5.246653640e+01,1.048406002e+01,5.664727117e+01,9.173680556e+01,8.362461614e+01
1.428999675e+01,3.698927210e+01,9.247182583e+01,9.195304390e+00,6.790856816e+01,8.129738233e+01,1.603838959e+01,8.007501814e+01,5.323552536e+01,7.341360515e+01,6.003018233e+01,2.396039856e+01
9.492677776e+01,2.851383171e+01,3.384238217e+01,8.437883212e+01,7.742583722e+01,9.223056736e+01,6.474215572e+01,9.824923317e+01,5.513952261e-01,3.712258024e+01,4.638646453e+01,5.626429786e+01
4.528122672e+01,9.523503980e+01,7.023718184e+01,3.708470796e+01,2.731439376e+01,8.888244852e+01,2.510097278e+00,4.589412173e+01,5.361412067e+01,6.831772663e+01,2.339363405e+01,4.490426258e-01
6.821361441e+01,8.637385987e+01,3.042854968e+01,2.306541276e+01,9.074585540e+01,5.675844145e+01,4.239565647e+01,5.574797448e+01,8.876170425e+01,8.466673772e-01,9.838969069e+00,5.048186418e+01
2.857757194e+01,1.344788713e+01,4.686742564e+01,1.715329593e+01,4.910534787e+01,3.154899431e+01,7.275931450e+01,6.157152918e+01,6.158725988e+01,9.828353196e+01,1.746809735e+01,1.981768371e+01
4.589053010e+01,6.038646024e+01,5.477652833e+01,2.861455965e+00,9.185833419e+01,8.434780215e+01,7.903502850e+01,5.041663044e+01,9.204193784e+01,2.255534101e+01,1.438478944e+01,2.047487684e+01
5.999342460e+01,5.615176727e+01,9.767087832e+01,8.502882183e+01,4.896614354e+01,4.529729951e+01,9.053665176e+01,6.144324529e+01,8.776906789e+01,2.698173593e+01,6.505287740e+00,8.665997050e+01
9.753031795e+01,1.495365598e+01,3.690634008e+01,7.798431206e+01,7.424622061e+01,6.447363316e+01,5.001509273e+01,7.979061484e+01,2.212279843e+01,7.526089991e+01,6.970309025e+01,4.544561132e+00
7.600642825e+01,6.393568919e+01,6.135086196e+01,3.231028713e+01,5.477039336e+00,5.098282094e+01,1.947943278e+00,8.461551441e+01,1.224276479e+01,6.664446376e+01,9.058755753e+01,1.256280127e+01
1.629537212e+01,5.571474474e+01,5.878063665e+01,2.323917879e+01,9.303597517e-01,2.407542607e+01,4.506733104e+01,3.997247999e+01,7.794025471e+01,3.980303375e+01,1.611202647e+01,8.858436100e+00
8.900885720e+01,4.294141763e+01,9.365027415e+01,9.306985548e+01,7.677875775e+00,9.377086413e+01,3.560258238e-01,8.340167393e+01,6.900325057e+01,5.329243871e+01,6.555724265e+01,7.169776036e+01
9.423015040e+01,3.415212542e+01,1.180035585e+01,2.231727750e+01,9.723960997e+01,4.073358014e+01,4.352252202e+01,6.353501716e+01,2.180930080e+01,4.577271419e+01,2.729818740e+01,8.055036449e+01
3.182105380e+01,3.077785079e+01,8.073762200e+01,4.464807071e+01,2.459781481e+01,8.731673613e+01,2.007059701e+01,2.567630146e+01,5.388756044e+01,5.999326117e+01,8.006133532e+01,1.124811387e+01
9.520440354e+01,4.864345738e+01,3.814764132e+01,2.998169109e+01,2.512129363e+01,4.036918529e+01,6.800353665e+01,8.108880771e+01,6.459105158e+00,4.975170236e+01,6.646954521e+01,6.719479946e+01
8.816998621e+01,6.196150970e+01,1.854336610e+01,3.219499469e+01,7.861550000e+00,5.374701920e+01,5.945228721e+01,8.529252570e+01,8.242721451e+01,7.085058527e+01,6.472735784e+01,6.567848467e+01
9.843208661e+01,6.792296640e+00,5.493913331e+01,2.150098613e+01,3.760958845e+01,2.591708936e+01,1.343852060e+01,7.893670860e+00,1.294897889e+01,6.030078949e+01,5.775214395e+00,4.782344168e+01
1.294720162e+01,2.771144830e+01,1.772928247e+01,9.757100719e+01,2.304412527e+01,6.453319088e+01,2.604899911e+00,1.978087814e+01,7.943911490e+01,4.321979224e+01,7.867507052e+01,5.838965798e+01
7.966028588e+01,8.812675989e+01,4.802183518e+01,9.328025633e+01,3.951174812e+01,7.662638587e+01,4.190191915e+01,2.885238173e+01,8.038059703e+01,5.564820762e+01,9.345481827e+01,5.958210075e+01
3.015256395e+01,4.617040831e+01,3.294255290e+01,8.464859514e+01,2.045815676e+01,4.210906759e+01,5.022640440e+00,1.889510827e+01,6.319754410e+01,4.058459117e+01,6.934795855e+01,6.584377862e+01
6.741049429e+01,3.915906168e+01,5.331007852e+01,9.975620651e+01,6.526132336e+01,9.062217698e+01,1.282555531e+00,9.064820761e+01,4.018899268e+01,4.419456730e+01,9.024308358e+01,3.912718181e+01
3.243658913e+00,4.680547639e+01,1.887616119e+01,8.632738949e+01,5.202990588e+01,1.953584899e+01,8.592977089e+01,4.339550767e+01,2.489338031e+01,9.490520207e+01,9.360843863e+01,2.383335553e+01
4.286979008e+01,4.796162332e+01,7.811352532e+01,2.585934176e+01,8.065637532e+01,7.448982270e+01,1.926939353e+01,2.595214889e+01,1.003559961e+01,9.834189925e+01,6.173864011e+01,4.591940467e+01
2.800627715e+01,3.921633720e+01,5.736889406e+01,9.454091728e+00,4.471940499e+01,3.954079161e+01,8.096150751e+01,2.142426903e+01,2.389694803e+01,8.029194918e+01,5.795431399e+01,1.870395544e+01
1.593140622e+01,2.467596324e+01,3.867086270e+01,6.513279214e+00,2.475912874e+01,1.844879737e+01,8.274546215e+00,6.967716571e+01,6.115196056e+01,7.329180931e+01,5.663802225e+01,5.798247551e+01
4.604991482e+01,9.984412060e+01,3.338344982e+01,1.530652799e+01,1.683045275e+01,5.119016047e+01,2.105459642e+01,3.238590192e+01,4.205013342e-01,7.413761874e+01,5.449546614e+01,4.814935847e+01
2.758150000e+01,7.652908368e+01,4.142272354e+01,2.250871443e+01,1.790070120e+01,8.492911471e+01,8.520994809e+01,1.872250141e+01,2.555706444e+01,8.663497534e+01,8.369710751e+01,2.834083102e+01
2.148302711e+01,9.882724556e+01,6.064053790e+01,2.645172285e+01,3.931236385e+01,7.296167580e+01,1.695294183e+01,2.681206840e+01,3.363548239e+01,1.098547458e+01,4.528558560e+01,8.493223957e+01
1.802295285e+01,6.352588108e+01,4.543827091e+01,9.848530788e+01,4.364891512e+01,8.071735025e+01,2.956558728e+01,9.960386800e+01,4.841085991e+00,7.305530026e+01,1.997348936e+01,8.171128317e+01
2.458964720e+01,8.157483179e+01,9.892791299e+01,2.833435874e+01,7.881972334e+01,2.623663271e+00,2.473505886e+01,1.308213827e+01,4.078066434e+01,6.125103123e+01,3.104500672e+01,7.276987741e+01
9.621592059e+01,4.504697343e+01,3.116369249e+01,9.945284824e+01,2.967624055e+01,2.305779633e+01,7.308401593e+01,9.358208733e+01,9.426684234e+01,9.275921960e+01,4.933356408e+01,1.238861493e+01
7.162094400e+01,5.112307135e+01,7.536335425e+01,8.570075923e+01,5.993055357e+01,4.864809451e+01,4.319823753e+00,5.513855711e+01,3.276271853e+01,8.250890672e+01,4.722347839e+01,1.327657398e+01
6.058756732e+01,5.282250943e+01,3.087181284e+01,6.153399344e+01,9.227857087e+00,3.348024402e+01,9.475794304e+01,4.188959869e+01,4.956173556e+01,5.265115893e+01,1.599925613e+01,2.733231304e+01
5.929051807e+01,5.557039111e+01,8.706599590e+01,6.892234039e+01,1.327413575e+01,1.826012312e+00,8.547152302e-01,6.783649400e+01,1.986949000e+01,2.079911449e+01,4.546637421e+01,7.794234120e+01
4.738629694e+01,5.246836202e+01,3.763589545e+01,5.041393648e+01,4.412330782e+01,6.531266360e+00,1.611364931e+01,2.711520904e+01,6.882466806e+01,8.103018245e+01,3.219201657e+01,3.708920638e+01
1.936426581e+01,3.042540076e+01,6.762023613e+01,9.763133187e+01,8.773666642e+01,2.748223565e+01,7.311705596e+01,2.069498449e+01,4.272365117e+01,7.804164512e+01,9.125560570e+01,1.049115443e+01
1.159621979e+01,8.289075073e+01,8.850176199e+01,7.993821420e+01,2.102199722e+01,1.582805715e+00,8.111515769e+01,8.519224730e+01,6.350499210e+01,5.169489929e+01,2.926287300e+00,8.580208387e+01
9.510751027e+01,8.389764885e+01,9.359555737e+01,3.772463541e+01,1.174014316e+01,2.506484134e+01,5.698748143e+01,5.896902240e+01,2.962809235e+01,3.932500907e+01,7.103373870e+01,1.306574871e+01
5.525424265e+01,9.996307080e+01,2.296951254e+01,8.846554819e+01,5.526956763e+01,6.019633550e-01,4.146130198e+01,5.357762761e+01,3.773877949e+01,7.154313952e+01,1.851660887e+01,9.214075911e+01
4.922345716e+01,3.641530732e+01,3.016248076e+01,6.320311648e+01,9.043128850e+01,6.018129941e+01,7.418582190e+00,9.135634966e+01,6.505504738e+01,1.112090562e+01,3.812454804e+01,7.772125820e+01
5.979720674e+01,5.834608510e+01,1.618102194e+00,3.889782500e+01,8.660362606e+01,3.433755433e+01,3.825479594e+00,5.144790419e+01,7.499454742e+01,2.821583547e+01,2.440853510e+01,4.239585668e+01
2.405530693e+01,2.629392549e+01,3.803688729e+01,3.405144265e+00,9.922537864e+01,8.092521143e+01,6.664726305e+01,3.713923291e+01,8.750892816e+01,4.810963577e+00,8.107315868e+00,5.688918325e+01
8.592929676e+00,8.771819840e+01,7.858248807e+01,9.612431728e+01,1.901723486e+01,5.136477873e+01,1.719206878e+01,3.023587882e+00,6.432473938e+01,2.911212456e+01,7.597018611e+01,4.044722052e+01
3.893744689e+01,5.088040783e+01,5.400738995e+01,5.724051043e+01,6.945389970e+01,8.571785703e+01,1.255802846e+01,2.697613763e+00,8.406703334e+01,9.879400720e+01,5.442404741e+00,7.978973168e+01
8.755996138e+01,1.728099706e+01,1.682879974e+01,2.535268439e+01,2.051254841e+01,6.799482474e+01,8.331114396e+01,4.968778346e+01,9.119900820e+01,8.365788635e+01,6.307474024e+01,6.870078013e+01
7.868655359e+01,8.702576417e+01,7.334779751e+01,6.433001688e+01,4.729433969e+01,4.424615585e+00,3.817898561e+01,2.697414985e+01,3.907224274e+01,9.918816537e+01,7.152738687e+01,9.599118879e+00
1.812352984e+01,1.970455651e+01,5.543522987e+01,2.605487857e+01,7.650780061e+01,1.037385294e+01,4.069078479e+01,4.895614496e+00,2.507231895e+01,8.775529745e+01,2.568244228e+01,4.554696360e+01
4.217417301e+01,5.398940075e+01,2.969586320e+01,6.782337570e+01,5.166615841e+01,4.237822962e+01,6.683079270e+01,2.182768567e+01,6.668268721e+01,4.140047928e+01,4.432834233e+01,2.332604376e+01
