v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46
9.183803339e+01,8.195329212e+01,8.637115556e+01,8.238580726e+01,2.843034833e+01,7.671180992e+01,4.332189445e+01,9.490801679e+01,6.853553759e+01,9.706654164e+01,9.030466526e+01,9.462846834e+01,2.553120180e+01,7.086475170e+01,1.001772964e+01,6.086326001e+01,2.298020027e+01,6.567476595e+01,4.114403620e+01,8.124797912e+01,7.370436531e+01,1.935003208e+00,9.195892253e+01,1.814296592e+01,2.868448678e+01,3.863731418e+01,1.943365211e+01,2.250466261e+01,9.594508717e+01,7.456832812e+01,7.671639325e+01,2.732225261e+01,7.485746084e+01,5.555161630e+01,7.216652662e+01,5.156084844e+01,4.635031585e+00,4.078359231e+01,4.174740760e+01,5.101690447e+01,7.772617181e+01,1.012751823e+01,9.037120901e+01,3.994836895e+01,3.241644903e+01,4.958193659e+01
1.201935863e+01,9.817100444e+01,6.647861440e+01,9.137829652e+01,6.282378842e+01,9.453616268e+01,7.282619161e+01,2.617978610e+01,7.573781158e+01,2.648858449e+01,2.265908943e+01,7.349951406e+01,9.729118145e+01,4.555783364e+01,9.813257010e+01,1.582002590e+01,7.927716402e+01,9.011082978e+01,2.272868978e+01,8.389824188e+01,2.900394959e+01,6.649577156e+01,8.321523104e+01,6.529391143e+01,3.712092428e+01,1.269586544e+01,6.370630677e+01,4.836482829e+00,3.846969677e+01,2.740594579e+01,4.020390880e+01,4.137612201e+01,9.913387047e+01,5.051358287e+01,4.244324272e+01,6.935321068e+01,8.661315269e+01,8.813315352e+00,9.883076293e+01,3.061059374e+01,3.704549993e+01,9.370828308e+01,4.924038417e+01,8.078347424e+01,4.737374067e+01,5.848317893e+01
6.247831807e+01,3.385809188e+01,9.437556794e+01,8.010895180e+01,8.864347434e+01,8.045135481e+01,4.342020183e+01,2.565068585e+01,1.708073091e+01,3.360314714e+01,9.554459777e+01,4.958936732e+00,4.460000465e+00,5.594937263e+01,6.616037285e+01,2.378235845e+01,4.202869691e+01,8.339535859e+01,3.796068032e+01,7.419135403e+01,9.453416745e+01,2.319094632e+00,6.636124522e+01,7.457461749e+01,1.118491056e+01,4.302751693e+01,7.214080270e+01,7.853498997e+01,6.110284084e+01,2.249795320e+01,6.026096518e+01,9.536598888e+01,2.010948711e+01,7.570106036e+01,1.798757805e+01,1.516302202e+01,2.581353914e+00,3.457112756e+01,6.515656624e+01,1.643919127e+01,5.228593383e+01,6.218030205e+01,1.483615272e+01,1.650671542e+01,4.413537279e+00,2.368524912e+01
8.241037819e+01,2.772380092e+01,6.974544526e+01,6.549816135e+00,7.079107389e+01,8.576624399e+01,6.417000071e+01,9.245836358e+01,4.924706697e+01,2.447654496e+00,8.881797127e+01,3.076269258e+01,2.057027351e+01,5.776393664e+01,2.933869035e+01,7.619433185e-01,9.305091523e+01,9.287264691e+01,1.680905759e+01,6.994657408e+01,6.195738150e+01,8.153820398e+01,7.254419532e+01,1.562538341e+01,2.512505149e+01,6.886094543e+01,6.679971106e+01,8.562340499e+01,3.617728615e+01,7.198599723e+01,1.025409424e+01,7.817513373e+01,3.965891259e+01,6.687827350e-02,9.969659960e+01,8.182579307e+01,3.258803935e+01,3.149330674e+01,6.384384967e+01,9.363154394e+01,1.616163548e+01,8.731408365e+00,9.623614305e+01,3.007009551e+01,6.748238469e+01,7.743269561e+01
9.973297301e+01,4.259491401e+01,4.342103183e+01,1.002601083e+01,4.259741788e+01,3.081664834e+01,2.381315732e+01,1.042866761e+01,6.344892425e+01,7.367727085e+01,8.325315277e+01,6.617609585e+01,7.899190060e+01,9.592045370e+01,8.019900500e+01,8.817913235e+01,3.742988211e+01,5.403408248e+00,1.144826872e+01,7.875321342e+01,7.420791940e-01,7.905481825e+01,9.338284652e+01,5.390999904e+01,5.383393015e+01,6.600324368e+01,3.252361280e+00,9.687337789e+01,9.078705815e+01,3.500988690e+01,4.195605788e+01,2.848657811e+00,7.935354518e+01,1.479741885e+01,1.429315234e+01,1.965244409e+01,5.106567217e+01,3.482481804e+01,1.122527649e+01,4.374763207e+01,6.042931182e+01,1.241639748e+01,4.069323357e+01,5.965859433e+00,5.350470627e+01,1.187708725e+01
9.538585651e+01,7.697016770e+01,3.635373426e+01,9.936275297e+01,6.358313417e+01,2.516580514e+01,7.731914231e+01,9.110579097e+00,1.931158376e+00,7.442327382e+01,7.483990343e+01,3.125259980e+01,6.365369753e+01,8.968690593e+01,7.395983191e+01,2.718977295e+01,2.921636860e+01,4.396782978e+01,4.351126561e+01,4.494175354e+01,2.719380998e+01,3.636953715e+01,5.183325742e+01,1.227749326e+01,6.248887403e+01,2.484188030e+01,7.102357750e+00,5.995895265e+01,8.412769153e+01,8.901235810e+01,8.458352231e+01,4.210979067e+00,1.504357145e+01,7.456287161e+01,4.790447345e+01,9.109764725e+01,3.693655631e+01,5.115066830e+01,3.534047922e+01,2.959840124e+01,9.336826313e+01,5.569848570e+01,6.095078590e+01,9.933211548e+01,7.432278796e+01,1.647331907e+01
7.853329251e+01,3.140210860e+01,7.420922801e+01,4.741015108e+01,4.452193380e+01,8.488680297e+01,4.062917888e+01,6.156336791e+01,3.812543170e+01,5.317935656e+01,1.260303246e+01,1.752105706e+01,1.098614057e+01,4.182542500e+01,5.404523749e+01,1.768678866e+00,2.286785942e+01,3.910427776e+01,1.103334548e+01,7.586663275e+01,2.263798604e+01,7.495154070e+01,7.139127133e+01,9.604178514e+01,5.163591387e+01,8.250236304e+01,8.067242384e+01,5.212065134e+01,1.061975774e+01,2.715555218e+01,4.836866041e+01,9.094577424e+01,1.342780897e+01,1.234640141e+01,7.863085461e+01,8.250219391e+01,3.857137616e+01,7.050089384e+01,6.331727651e-01,6.946736872e+01,1.381752324e+01,3.759467022e+01,6.089676494e+01,6.060719328e+01,3.143982931e+01,3.150801095e+01
4.940754797e+01,4.758334345e+01,1.307651969e+01,7.629285732e+00,3.608331025e+01,2.190617245e+01,2.278789291e+01,5.514841706e+01,9.325026102e+01,8.442772264e+01,5.352441090e+01,3.498830973e+01,8.484648273e+01,2.333107267e+01,9.942590580e+01,5.575631059e+00,4.198753181e+01,4.263137759e+01,5.327754393e+01,7.055642833e+00,7.690449267e+01,7.380663164e+01,2.254433796e+01,6.463643446e+01,6.496994262e+01,3.239382704e+01,6.950278263e+01,7.794563221e+01,4.368597260e+01,9.978194863e+01,6.894933470e+01,3.975499421e+01,3.710524267e+01,3.726685549e+01,1.082108922e+00,9.361667893e+01,7.301887032e+01,9.464173580e+01,8.731317112e+00,4.144393516e+01,2.516822495e+01,9.225228237e+01,4.295576632e+01,1.512427222e+01,7.824241893e+01,7.135472570e+01
1.298868873e-02,2.339842574e+01,9.448979555e+01,8.427499336e+01,4.707693095e+01,2.956929361e+01,9.296523012e+01,7.883469158e+01,8.189049435e+01,7.902076333e+00,1.215890075e+01,7.152673007e+00,4.848459168e+01,4.980975791e+01,4.727975709e+01,4.420211190e+01,6.374967734e+01,4.462835968e+01,9.288375384e+01,4.868685209e+01,2.206195326e+01,6.846270534e+01,3.393646584e+00,6.765349134e+01,7.645026394e+01,9.841527713e+01,8.180939440e+01,3.829521353e+01,5.155740459e+01,3.301370944e+01,1.728557232e+01,8.506245801e+01,2.332517197e+01,4.524914048e+01,4.221678249e+01,5.777537434e+01,9.272648846e+01,7.629595322e+01,1.826942641e+01,2.598861727e+01,8.923960916e+01,6.367355074e+01,6.858409830e+01,6.113454552e+01,8.956139698e+01,3.745921561e+01
3.379675806e+01,8.032887521e+01,5.871384392e+01,1.303279780e+01,1.683923011e+01,4.987014069e+01,1.024108578e+01,7.084152883e+01,9.619586135e+00,3.135647623e+01,4.157222298e+01,1.078252609e+01,9.798093704e+01,2.510981975e+01,3.696583456e+00,7.947325186e+01,5.479669242e+01,9.635119735e+01,2.579614147e+01,8.246775540e+01,2.842537532e+01,7.366092898e+01,4.572723029e+01,9.593067064e+01,3.862448926e+01,4.155242980e+01,8.870051528e+01,5.337238282e+01,7.672472326e+01,8.720538488e+01,3.185049554e+01,3.358952548e+01,3.844032259e+01,9.710226584e+01,6.625031710e+00,5.616044941e+01,6.762158453e+01,7.285106455e+01,7.592779812e+01,4.928890364e+01,5.277816388e+01,6.354666313e+01,9.396048254e+00,6.534217881e+01,3.205056397e+00,6.543022552e+01
1.689084713e+01,6.965383200e+01,5.985738332e+01,1.968988850e+01,4.100510568e+01,3.625176977e+01,7.441872935e+01,7.844264010e+01,2.312778813e+01,9.685558999e+01,5.771647446e+01,5.057451898e+01,2.972204115e+01,6.590491894e+01,9.512576449e+01,5.245488326e+01,1.985387306e+01,1.410997418e+01,8.483878226e+01,9.415594853e+01,5.038059046e+01,1.591692407e+01,5.102270590e+01,8.467638219e+01,2.880590622e+01,8.105444954e+01,5.355893347e+01,7.111227015e+01,5.914766162e+01,7.859505075e+01,9.204888345e+01,4.052937906e+01,3.586087414e+01,2.421639852e+01,1.098892946e+01,4.276402633e+01,3.859663302e+00,8.133986259e+01,5.990965121e+01,7.066349229e+01,6.414402363e+01,2.116705622e+01,7.467487563e+01,4.447345451e+01,8.344169133e+01,5.833892735e+01
5.745071025e+01,1.276743261e+01,6.423205230e+01,7.155777831e+01,9.970037321e+01,2.014080767e+01,3.393214886e+01,2.037133194e+01,3.308778700e+01,5.530554995e+01,2.809574564e+00,1.135454193e+01,9.941962380e+01,1.366970489e+01,3.653412661e+01,4.712447740e+00,8.167519061e+01,4.331379561e+00,1.282640683e+01,4.327305302e+01,8.150435805e+01,2.301432491e+01,8.443354880e+01,6.354889034e+01,5.067514234e+01,4.275422790e+01,2.767460129e-01,8.228409014e+01,5.207056467e+01,9.255637992e+01,2.134795877e+00,3.951310845e+01,3.909483512e+00,7.808797130e+01,5.699267352e+01,1.044828813e+01,4.169405463e+01,1.328510902e+01,7.862461569e+01,4.802148045e+01,8.002264113e+01,5.159039602e+01,6.752761385e+01,3.405543211e+01,9.493241083e+01,8.748137837e+01
7.391875710e+01,9.132875902e+01,1.802497067e+01,1.703235703e+01,2.772720048e+01,6.798467642e+01,9.271517044e+01,1.678375716e+01,9.193934607e+01,1.509992817e+01,9.806228592e+01,3.659011112e+01,9.378717811e+00,7.176427802e+01,6.471926935e+01,4.627455573e+01,7.796679781e+01,5.376612384e+01,1.979508085e+00,9.826577144e+01,5.776016002e+01,7.160227191e+01,4.613819458e+01,5.533798795e+01,9.027255470e+01,5.647942416e+01,2.992036121e+01,8.584571301e+01,5.926669163e+01,1.408761520e+01,7.609417131e+01,4.115238129e+01,9.243388573e+01,4.960611336e+01,8.070737613e+00,9.725093474e+00,1.105182057e+01,8.860514169e+01,2.991667871e+01,3.694683221e+01,9.557673003e+01,9.556838690e+01,3.238582615e+01,1.121731404e+01,4.997240952e+01,6.070451090e+01
1.906709688e+01,7.455057568e+01,8.141620658e+01,4.106166297e+01,3.141800986e+01,3.116914059e+01,6.203939620e+01,1.685855484e+01,9.650425977e+01,9.895007834e+01,7.322812621e+00,4.981222693e+01,1.588171019e+01,5.272879022e+01,9.442744935e+01,4.785631086e+01,1.322839740e+01,9.493362536e+01,6.754005640e+01,5.063986253e+01,3.966193138e+01,4.653936113e+01,7.877939437e+01,4.433824939e+01,1.794257405e+01,6.107597972e+01,4.537189346e+01,6.432614613e+01,9.320564580e+01,4.172235597e+01,5.714339194e+01,4.294880821e+01,6.859558494e+01,8.807777744e+01,7.446686117e+01,2.644346275e+01,4.851129545e+01,8.369563787e+01,1.311491424e+01,2.306333867e+01,1.238446899e+01,9.150212187e+01,7.992160173e+01,8.625869065e+00,4.631838426e+01,5.072174120e+01
6.832100356e+01,2.467406089e+01,3.685615506e+01,8.392772435e+01,9.710873947e+01,2.081788011e+01,4.962655692e+01,5.113497013e+01,3.756452402e+01,6.516722449e+01,7.943268105e+01,3.594213894e+01,4.732407488e+01,2.737876019e+01,8.949606375e+01,2.304584044e+01,3.770183824e+01,9.572356255e+01,4.794987676e+01,3.325942515e+01,3.571088334e-01,9.032092384e+00,2.386708276e+01,9.174129120e+01,8.226668743e+01,2.436600010e+01,6.189960602e+01,4.957609453e+01,2.951155310e+01,9.490043064e+01,7.164727707e+01,5.770854273e+01,4.426761177e+01,5.985477906e+01,5.427621529e+01,3.707704240e+01,5.263394202e+01,8.350056282e+01,1.332845857e+01,5.973296071e+00,4.735205390e+00,9.031844759e+01,1.157179062e+01,7.378719206e+01,4.754193047e+01,6.736151935e+01
6.268974994e+01,2.195615638e+01,5.582493241e+01,4.199352381e+01,3.874288055e+01,5.509040583e+01,4.410080955e+01,1.560921303e+00,1.423100950e+01,1.338519148e+01,1.593389186e+01,1.323308666e+01,1.334126625e+01,6.849444589e+01,9.586313889e+01,1.202585587e+01,8.586596671e+01,5.427076919e+01,8.656398592e+01,7.599893415e+00,9.512640149e+01,2.102662856e+01,6.417390807e+01,9.133011860e+01,8.127804692e+01,5.395156608e+01,4.826912943e+01,2.382870713e+01,5.889781629e+01,1.436225806e+01,5.998411591e+01,4.650766766e+01,6.453286891e+01,5.479804003e+01,3.877314110e+01,1.106151754e+01,4.946603701e+01,4.983502629e+01,9.615532557e+01,7.374845171e+01,6.463652595e+01,3.372704208e+01,7.575416014e+00,4.948385509e+01,3.885454792e+01,9.598668229e+01
7.662986341e+01,4.731452178e+01,5.627499338e+01,5.598446743e+01,4.202255438e+01,2.171729735e+00,5.657729718e+01,2.928266647e+01,9.671198675e+01,1.971351543e+01,5.749120256e+01,6.869784633e+01,3.853696201e+01,6.500882637e+01,3.062185515e+01,4.175825668e+00,4.498051608e+00,6.755618571e+01,2.220489143e+01,1.407193827e+01,1.104324945e+01,4.204983465e+01,8.390299349e+01,6.093985333e+01,6.488713179e+01,6.700166406e+01,5.450285388e+01,2.141616800e+01,6.634045200e+01,4.886373653e+01,6.434723439e+01,7.888725962e+01,5.252634070e+01,5.013899196e+00,2.461620516e+01,2.256286985e+01,7.437194686e+01,1.198147534e+01,1.417152343e-01,8.040397679e+01,8.220811920e+01,9.018159986e+01,6.275393365e+01,6.225965283e+01,5.155713241e+00,4.013191402e+01
5.168968356e+01,9.494020710e+01,8.090995765e+01,6.181964424e+01,2.012854756e+01,9.489561244e+01,9.421005291e+00,1.002518421e+01,6.337281636e+00,6.294790535e+01,9.514620873e+01,5.450746116e+00,4.808119293e+01,9.288445420e+01,8.858191016e+00,3.493543866e+01,2.701790102e+00,3.061576499e+01,1.222495467e+01,3.639170113e+01,4.083600560e+01,8.897461115e+01,5.365128128e+01,3.214192300e+01,1.315267784e+01,1.842160274e-02,5.258139554e+01,1.441685864e+01,3.159429686e+01,6.680715639e+01,4.932694254e+01,1.934725228e+01,2.105595588e+01,2.670074116e+01,3.803632773e+01,5.888529500e+01,9.806997321e+01,8.339643438e+01,9.171370050e+01,5.557930968e+00,2.991612734e+01,4.417041002e+01,2.627243134e+01,8.841826984e+01,3.110911903e+01,5.861721951e+00
5.629733926e+01,3.689257804e+01,5.477832971e+00,8.029735931e+01,8.276017616e+01,6.290689530e+01,4.773192140e+01,2.282939281e+01,9.576793273e+01,7.530113326e+01,9.782445791e+01,4.056708829e+01,1.046396523e+01,2.133015372e+01,8.661631404e+00,2.403049194e+00,4.223683681e+01,5.893280744e+01,4.638512546e+01,6.838409813e+01,8.413334558e+01,4.906728403e+01,3.513146189e+01,8.861569380e+01,1.128991064e+01,7.575754281e+01,1.439940188e+01,6.153779595e+00,7.168616634e+01,1.237559624e+01,8.425100207e+01,8.811056488e+01,1.817877571e+01,5.398952769e+01,8.432458536e+01,5.737030522e+01,6.218223530e+00,3.655858865e+01,8.372784038e+01,5.202108103e+01,4.531801731e+01,7.228314386e+01,9.905761021e+01,7.202741361e+01,3.540434952e+01,2.329801753e+01
6.025941894e+01,5.375943595e+01,1.441207999e+01,3.810870011e+00,1.597885066e+01,2.852394758e+01,3.514896078e+01,8.615924065e+01,3.882746776e+01,5.457516507e+01,6.522922798e+01,5.424925059e+01,1.836302670e+01,5.954152298e+01,9.832139956e+01,1.398336099e+01,4.846276413e+00,9.229703635e+01,7.328706059e+01,7.012237199e+01,5.384619931e+01,7.297925570e+01,5.000240206e+01,5.696024858e+00,1.578078462e+01,5.040813868e+01,8.477118291e+01,1.404039649e+01,9.625715000e+00,4.079875253e+01,3.038839203e+01,6.398094748e+01,3.524897530e+01,5.095588538e+01,9.977629296e+01,4.850664722e+01,4.758679628e+01,3.522812068e+01,1.814548965e+01,1.016046056e+01,3.175258249e+01,9.322809695e+01,3.195849022e+01,6.621308897e+01,8.963837876e+01,8.720065771e+01
8.121614599e+01,8.434091650e+01,9.396811849e+01,5.098766464e+01,2.079901210e+01,6.808673746e+01,1.777843262e+00,6.969872339e+00,4.013437059e+00,4.488230517e+01,2.375260566e+01,4.195251590e+01,2.307203786e+01,4.769411710e+01,9.824350899e+01,6.191016305e+01,3.963553445e+01,6.774610866e+01,5.438251306e+01,5.097426440e+01,3.428310094e+01,6.937255057e+01,6.851826487e+01,3.171130557e+01,7.051748909e+01,3.700214420e+01,4.872122404e+01,3.477589412e+01,6.617812149e+01,3.074378206e+01,7.905763807e+01,3.399098711e+01,8.141027830e+01,1.886140287e+01,3.463045426e+01,3.596484528e+01,1.272907539e+00,8.236179183e+01,2.144253476e+01,1.390762719e+01,4.985960813e+01,3.515458781e+01,6.723081192e+01,4.994821182e+01,4.840014982e+01,5.221195496e+01
9.601946653e+01,9.036693836e+01,1.131067634e+01,2.651481211e+00,1.022519778e+01,2.285595441e+01,5.810635298e+01,7.122023769e+01,5.878657238e+01,3.618705391e+01,6.761821609e+01,6.636502998e+01,8.907500298e+01,5.901646801e+01,9.679932351e+01,7.677206993e+01,5.867354937e+01,6.500109114e+00,5.008261655e+01,4.726691032e+01,4.354940285e+01,1.092362452e+01,6.897600482e+01,6.250053821e+01,2.558554950e+01,1.557862234e+01,2.600912162e+01,1.945261565e+01,6.171462629e+01,7.268734025e+01,4.322701512e+01,6.647027016e+01,1.931591048e+00,8.912446590e+01,2.901340892e+00,6.909984417e+01,3.954849750e+01,5.008704479e+01,4.483741929e+01,7.359067755e+01,9.999646227e+01,3.780430224e+00,9.439121341e+01,5.613534268e+01,3.175845550e+01,2.784694173e+01
2.882287592e+01,4.816677946e+01,3.460895935e+00,7.266263202e+01,1.953177442e+01,9.085426506e+01,1.059065177e+01,7.686103314e+01,1.233143831e+01,8.060983117e+01,3.993953312e+01,2.622729913e+00,3.945814421e+01,9.396314821e+01,2.513548003e+01,1.281889390e+01,3.375343344e+01,3.603680376e+01,9.137416268e+01,7.542079951e+01,6.254852608e+00,5.305352773e+01,2.615923734e+01,9.043037133e+01,5.630451137e+01,4.618921027e+01,3.094479690e+01,1.889379843e+01,5.047454729e+01,2.011549871e+01,3.445818445e+01,6.108391394e+01,9.025809097e+01,9.394888991e+01,9.404506264e+01,1.972988582e+01,5.064033725e+00,9.328958456e+01,4.124305574e+01,7.317907243e+01,8.818166338e+01,4.445095708e+01,8.471126636e+00,8.256437845e+01,9.366697225e+01,5.949064485e+01
