v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40
1.863731925e+01,1.662595516e+01,7.838052739e+01,2.562975132e+01,7.985949331e+01,6.287504126e+00,8.202805692e+01,3.215575464e+01,4.757584216e+01,6.159106813e+01,1.465956134e+01,2.227597737e+01,9.540309777e+01,8.919673683e+01,5.860420415e+01,8.473513273e+01,8.668725084e+01,8.472717184e+01,2.815938596e+01,6.797169798e+01,1.475479956e+01,5.103033374e+01,6.844154598e+01,5.663366438e+01,6.201659995e+01,8.330817597e+01,2.046412723e-01,1.069945270e+01,2.132970970e+01,5.688199211e+01,6.135245977e+01,3.395779212e+01,6.286684900e+00,6.174163041e+01,7.164531322e+01,1.423245357e+01,3.169425155e+01,7.234718393e+00,6.648643030e+00,9.739950773e+01
8.778023880e+01,3.171966597e+01,4.138889918e+01,1.477537160e+01,1.331739765e+01,3.489408448e+01,8.044749655e+01,7.760592492e+01,6.589552424e+01,6.506630875e+01,8.100640191e+01,5.862891402e+01,5.919329519e+01,9.244496712e+01,5.213505134e+01,5.480475774e+00,3.805588342e+01,7.548256067e+00,2.712079279e+01,5.516323694e+01,3.197293916e+01,9.884683293e+01,4.266070060e+01,6.818522966e+00,9.550281684e+00,7.160473967e+01,7.183387292e+01,1.769632489e+01,5.142459139e+01,1.671387198e+01,5.805246239e+01,3.643553427e+01,1.386019897e+01,7.634306801e+01,3.226315720e+01,7.218449377e+01,6.695039268e+00,2.637989605e+01,9.745206826e+01,4.035283987e+01
6.656435224e+01,7.875027987e+01,4.351696949e+01,6.272672823e+01,8.940443958e+01,8.955142072e+01,6.454164437e+01,5.634686004e+01,2.087963676e+01,8.679290254e+01,2.228853993e+01,2.101596616e+01,2.856478006e+01,4.894472853e+01,3.443932828e+00,7.230065211e+01,8.997902580e+01,9.841391627e+01,9.821475660e+01,7.151201878e+01,9.932299582e+01,1.058632196e+01,2.563137001e+01,6.103841024e+01,4.175115327e+00,4.279389549e+01,9.289659193e+01,3.042555243e+01,4.301591808e+01,7.846422569e+01,4.071585458e+00,8.338267118e+01,3.248127415e+01,7.444451629e+01,7.333572942e+01,1.678282873e+01,4.626825485e+01,8.314000586e+01,1.553381229e+01,9.342368003e+01
1.090648869e+01,9.887011103e+01,3.689184788e+00,1.331741190e+01,6.364760560e+01,8.765810103e+01,3.357725788e+01,4.680411445e+01,2.598058262e+01,2.756637419e+01,3.054478469e+01,1.911431295e+01,4.610394086e+01,6.580258151e+00,5.257736529e+01,1.622657005e+01,5.704215176e+01,8.592117849e+01,5.004962206e+01,1.094351074e+01,9.847175441e+01,5.490016788e+01,3.532193856e+01,7.642705109e+01,1.117377884e+01,5.036662573e+00,5.177896567e+01,8.374545624e+01,9.599156244e+01,4.577527242e+01,7.567806709e+01,1.464924801e+01,7.801485776e+01,6.941130563e+00,1.058690421e+01,1.483438794e+01,7.975916688e+01,5.144820948e+01,8.899278104e+01,2.819153497e+01
6.918801780e+01,8.720655443e+01,4.085463546e+01,4.056713781e+00,9.521279881e+01,7.445414083e+01,1.407860892e+01,4.883269451e+01,1.640699917e+01,1.604121909e+01,1.417597419e+01,2.413015072e+01,8.231910835e+00,8.436640617e+01,5.718441079e+00,1.791668358e+01,9.158148640e+01,2.356074697e+01,5.588014895e+01,4.742017503e+01,8.948259550e+01,3.505446830e+01,7.599769005e+01,7.816345343e+00,2.337312237e+01,6.695805217e+01,7.962481622e+01,8.496198984e+01,2.062410641e+01,7.001891043e+01,8.255116622e+00,5.797514115e+01,4.326097202e+01,9.201845379e+01,8.787230492e+01,1.103580731e+01,2.333064359e+01,2.929236531e+01,9.955795638e+01,7.385663022e+01
9.142416173e+01,4.911452815e+01,3.231638830e+01,1.995344170e+01,7.092815884e+01,6.377734086e+01,9.159496103e+01,1.340463462e+01,7.265648499e+01,6.670610002e+01,8.425158678e+01,9.986884502e+01,9.574583147e+01,6.775049458e+01,3.585815681e+01,5.323543043e+01,9.646842921e+01,4.825476884e+01,5.725485089e+01,7.773336763e+01,1.925945147e+01,9.256333866e+01,8.247202727e+01,7.365818107e+01,8.946387453e+01,8.499774939e+01,8.405760695e+01,5.561456168e+01,3.339488981e+01,1.898699185e+01,8.589071406e+01,3.425234226e+01,7.901255995e+01,1.843977268e+01,1.789074927e+01,9.118750592e+01,8.534159503e+01,2.354551120e+01,9.516840226e+01,3.002491738e+01
3.439870849e+01,7.760804205e+01,8.759714077e+01,2.550825270e+00,9.914503880e+01,8.251565910e+01,4.622723095e-01,3.144494486e+01,7.025313592e+01,3.485079575e+01,8.726187086e+01,2.910331412e+01,6.258421561e+01,2.047228448e+01,7.142720009e+01,6.195142458e+01,8.522850455e+01,1.448821697e+01,5.205299074e+01,7.681629186e+01,1.247691961e+01,3.402459364e+01,2.066742395e+01,8.718451652e+01,4.680239712e+01,3.417825039e+00,2.534325110e+01,8.906115925e+01,2.590874975e+01,4.266808921e+01,8.238926289e+01,6.646791441e+01,6.114596256e+01,8.610068119e+01,6.091830609e+01,5.377636844e+01,8.749119273e+01,6.468612799e+01,6.031462173e+01,3.392403375e+01
5.477044228e+01,6.115860679e+01,6.333636308e+01,5.289873092e+01,1.531498623e+01,8.206576839e+01,5.182913576e+01,3.575160619e+01,6.462876239e+01,2.076169982e+01,5.854315584e+01,8.284261092e+01,3.607467412e+01,4.698999800e+01,9.404511610e+01,4.995259007e+01,7.499953753e+01,2.044025428e+00,4.039283961e+01,2.792158607e+01,9.312598494e+01,7.520251367e+01,4.767319404e+01,4.135701868e+01,3.141697525e+00,9.700435827e+01,3.431809876e+01,2.681647611e+00,4.879151702e+01,8.924085050e+01,4.861965044e+00,3.234094736e+01,5.494647327e+01,1.826807879e+01,2.794646366e+01,5.864474072e+01,4.432704635e+01,4.018398336e+01,3.397531849e+01,7.313559320e+01
3.920580916e+01,4.883560477e+01,3.577904610e+01,6.141130925e+01,5.183095298e+01,6.344061631e+01,5.867063772e+01,9.046549251e+01,6.536658710e+01,5.659543424e+01,3.506190409e+01,8.274374599e+01,1.793179215e+01,6.696722206e+01,7.666822396e+01,9.793188138e+01,3.037270982e+01,5.092035174e+01,2.444886677e-02,4.727556741e+01,1.669335511e+01,5.788086314e+01,5.851339639e+01,9.474574925e+00,8.131687335e+01,3.081451043e+01,1.446748345e+00,8.248864168e+00,5.658428021e+01,3.951423924e+01,6.740254941e+01,3.347714504e+01,4.990049684e+01,6.056898304e+01,4.948967531e+00,9.819650100e+01,7.765661541e+01,4.102930202e+01,8.281151550e+01,4.276913691e+01
4.806725842e+01,9.280374763e+01,7.500112358e+00,7.658151581e+01,1.094224344e+01,8.353613177e+01,4.756820162e+01,4.141308969e+01,8.995687406e+01,6.810268543e+01,7.395106782e+01,5.305089645e+01,2.828453496e+01,2.273642157e+01,1.982201969e+01,5.884785654e+00,3.347286745e+00,1.182572433e+01,8.729536915e+01,7.443439756e+01,5.584951943e+01,9.130091338e+01,2.497000314e+01,6.208241561e+01,7.708113562e+01,5.046875386e+01,5.739138545e+01,7.146508492e+01,3.442043629e+01,8.100413529e+01,5.609412441e+01,1.782558330e+01,8.433316810e+01,4.925161444e+01,6.432994201e+01,4.964181538e+01,1.411515567e+01,3.078526090e+01,3.121555539e+01,6.852922681e+01
9.494051148e+01,2.906029177e+01,9.043970291e+01,6.444232059e+01,4.298858686e+01,2.906543007e+01,9.179276783e+01,8.725278718e+01,5.856180925e+01,3.609769927e+01,2.600073184e+01,7.722934349e+01,1.703414692e+00,6.597966112e+01,9.459214853e+01,5.267929296e+01,3.428640474e+01,7.975804441e+01,2.678908304e+01,1.221891517e+01,4.532555374e+01,8.200488020e+01,7.872746161e+01,6.822833258e+01,9.305972389e+01,6.566212297e+01,4.251442660e+01,5.478828000e+01,6.248024607e+01,4.942100507e+01,3.953605540e+01,6.926778956e+01,9.681937890e+01,6.108209091e+01,9.110295852e+01,5.986072717e+01,4.605458332e+01,4.795309761e+01,3.814634123e+00,3.275733632e+01
3.676785609e+01,7.595978800e+01,4.994963890e+01,9.700790310e+01,4.485907614e+01,2.654425167e+01,8.202904188e+00,5.683964097e+01,6.494112448e+01,4.011096937e+01,1.206267315e+01,9.679439478e+01,3.072553406e+01,4.617114932e+01,8.047560467e+01,3.033036153e+01,4.015571233e+01,4.375371329e+00,3.772632505e+01,8.842454037e+01,1.182647564e+01,5.959090180e+01,3.801617279e+01,4.269157699e+01,4.121883144e+01,8.000846334e+01,4.874408323e+01,6.573984632e+01,9.994321820e+00,7.392629938e+01,2.505343700e+01,7.123780769e+01,5.109056169e+01,9.181712174e+01,4.396320087e+01,8.613791955e+01,5.189414098e+01,9.221100802e+00,1.980085154e+01,2.353266421e+01
9.034379766e+00,6.639835941e+01,5.293490524e+01,9.424014776e+00,1.708452955e+01,2.762369174e+01,4.857491110e+01,3.309424975e+01,3.075598491e+01,2.608173016e+01,6.698271248e+00,7.632354869e+01,8.884351878e+01,1.715886792e+01,4.090963330e+01,8.872683630e+01,5.827425771e+01,4.804869319e+01,1.524952428e+01,6.349671666e+01,4.508830779e+00,9.345344202e+01,5.927407821e+01,9.779263307e+01,9.578245048e+01,5.386044911e+01,8.892900401e+01,2.739621776e+01,2.630745881e+01,8.828780741e+01,1.056252298e+01,5.379782540e+01,1.865492280e+00,3.187558957e+01,3.845992112e+01,6.766072603e+01,2.202963912e+01,6.155181729e+01,3.866572226e+01,6.024410181e+01
9.955325664e+01,4.754317576e+01,2.434207485e+01,2.859640298e+01,8.559231893e+01,5.688507085e+01,8.276463971e+01,9.319253482e+01,5.766736306e+00,5.896312956e+01,9.282641271e+01,2.132456053e+01,3.322087066e+01,3.884457140e+01,7.301118694e+01,4.110780397e+01,1.760574280e+01,4.772906171e+01,1.244122833e+00,6.124560923e+01,5.560010761e+01,1.605901278e+01,1.000022886e+01,1.503296358e+01,5.563572429e+01,1.210917247e+01,7.474490460e+01,6.240903942e+01,5.276551377e+01,8.415070602e+01,5.489203063e+00,1.083853716e+01,4.098270629e+01,3.418605599e+01,5.709573628e+01,5.983606031e+00,9.524010451e+01,8.214756697e+01,9.294031505e+01,3.800717551e+01
8.970574136e+01,9.105729387e+01,5.545743225e+01,9.046696440e+01,3.905394025e+01,8.617746854e+01,6.174739011e+01,8.510391309e+01,9.843049471e+00,2.824298042e+01,7.269230870e+01,6.635580961e+01,9.524686073e+01,7.033129968e+01,6.661114117e+01,1.306851429e+01,5.070886724e+01,2.810926463e+01,5.637481655e+01,6.495421405e+01,3.100952641e+01,3.982151260e+01,2.119708841e+01,7.349053166e+01,2.665876449e+01,3.429070571e+01,2.832463731e+01,5.446404628e+01,6.672502570e+01,1.957447556e+01,7.995855699e+00,1.674925942e+01,1.720894604e+01,6.332906950e+01,6.326903093e+00,3.727292945e+01,3.799819153e+00,9.195417419e+01,2.915434996e+01,7.057551563e+01
3.441440530e+01,5.823396105e+01,6.708297001e+01,5.508740467e+01,1.426889420e+01,9.785785728e+01,5.917428593e+01,8.993257379e+01,4.173525687e+01,6.343981368e+00,7.701259201e+01,3.137479781e+01,2.491059095e-01,8.862598737e+01,6.982603599e+01,6.711925528e+01,3.697742832e+01,7.223208884e+01,6.417301082e+01,1.456020219e+01,2.453437337e+01,4.837704806e+01,6.615306866e+01,8.186031642e+01,3.458095730e+01,9.645334478e+01,5.725644394e+01,8.640680247e+00,3.275204721e+01,8.949393080e+01,5.423055322e+01,9.839972947e+01,3.399919166e+01,2.854810291e+01,9.266055780e+01,7.137929882e+01,6.295313038e+01,9.441888759e+01,2.170288865e+01,7.363425656e+01
3.222258209e+01,5.215604444e+01,8.647477859e+01,4.688424778e+01,5.961248918e+01,7.116826349e+00,5.087610066e+01,9.097283400e+01,6.955152352e+01,5.191774682e+01,8.480068668e+01,1.137624713e+01,1.031629830e+01,1.344751807e+01,7.130559310e+01,7.154503172e+01,3.411502724e+01,7.003544675e+01,2.084064700e+01,4.846338620e+01,6.196521551e+01,2.335651338e+01,8.187393897e+01,6.637714200e+01,8.068341330e+01,7.047747687e+01,1.654643392e+01,8.359548270e+01,8.217410599e+01,2.400346800e+01,9.470935738e+01,9.511268163e+01,5.193223559e+01,6.061137102e+01,5.109367886e+01,6.013899734e+01,2.447141921e-01,9.454978207e+01,9.445953037e+00,8.659549881e+01
6.272407232e+01,5.041867712e+01,8.574172766e+01,7.675628800e+01,2.929308007e+01,6.795791193e+00,2.033082391e+01,2.546776398e+01,3.628515057e+01,4.046774350e-01,2.574189172e+01,8.517319524e+01,3.476327230e+01,1.567201701e+01,3.080105529e+01,2.913728553e+00,6.587917454e+01,5.069506058e+01,3.032810327e+01,6.278778296e+01,8.576169193e+01,2.449484155e+01,5.743671752e+00,2.124411380e+01,2.301827321e+01,1.570189588e+01,5.517863913e+01,7.751525532e+01,4.415224456e+01,1.814119772e+01,5.339590637e+01,9.676067627e+01,5.328260269e+01,5.193088688e+01,2.909487900e+01,7.068523273e+01,2.459246149e+01,3.902005403e+01,2.510897815e+01,8.368983933e+01
5.925630213e+01,3.779907532e+01,3.374961742e+01,7.929661713e+01,9.176896212e+01,6.771209933e+01,8.499323828e+01,9.554345627e+01,9.718744763e+01,5.231758744e+01,5.150933132e+01,2.685529063e+01,4.728585223e+00,9.757711562e+01,8.209930860e+01,3.733944387e+01,7.082820825e+01,4.313481514e+01,4.698273962e+01,4.859741143e+01,8.153245629e+01,5.991229248e+01,6.298380987e+01,6.603859736e+01,7.003253927e+01,4.606988510e+01,8.210023159e+01,8.073323142e+01,1.446652054e+00,7.719275596e+00,4.160683859e+00,3.159988180e+01,7.145872115e+01,7.448284168e+00,9.017215093e+01,3.854032385e+01,4.024108335e+01,5.265741950e+01,2.543437696e+01,7.870828070e+01
2.580782595e+01,4.776336884e+00,3.992801087e+00,4.713028386e+00,2.360897305e+01,1.238367756e-01,4.994474757e+01,6.908118133e+01,8.047725114e+01,4.435528318e+00,5.717679866e+01,6.581012142e+01,6.448530393e+01,6.295428520e+01,5.606715530e+01,1.428762124e+01,2.471468621e+01,5.878169301e+01,7.011601330e+01,9.291042135e+01,1.220231681e+01,6.383644910e+01,9.184197689e+01,2.238134810e+01,9.936538091e+01,2.207763054e+01,6.347504384e+01,4.899417169e+01,1.730622476e+01,6.680456686e+01,9.586307032e+01,4.297644388e+01,2.865891982e+01,1.041217611e+01,2.913614876e+00,6.312650904e+01,4.254347016e+01,8.829516865e+00,3.091154055e+01,3.710546699e+01
2.011211611e+01,5.781494157e+01,9.151679796e+01,6.070167074e+01,6.504234940e+01,3.276291600e+01,7.050576938e+01,3.640799586e+01,3.747560490e+00,2.187177181e+01,1.283461322e+01,2.147311694e+01,9.723827061e+00,8.336477968e+01,5.940983344e+01,1.461950016e+01,5.845824734e+01,2.000191110e+01,7.908375452e+01,5.901051693e+01,9.799887010e+01,5.111098020e+01,7.225416054e+01,6.047743288e+01,6.247528499e+01,8.583911109e+01,3.835946176e+01,8.500891085e+01,3.218419393e+01,3.463945004e+01,9.947840485e+01,7.237295005e+00,8.553460305e+01,8.584408609e+01,1.746494620e+01,4.548625712e+01,5.613426020e+01,8.590825677e+01,2.635126984e+01,5.704349379e+01
8.721567185e+01,7.449801409e+01,5.651615198e+01,1.799226671e+01,3.783071971e+01,2.030587043e+01,5.819912377e+01,8.610838575e+01,5.439086204e+01,2.639275314e+01,4.374081757e+01,5.271074413e+01,2.091162941e+01,3.023946416e+01,8.967428979e+01,2.847050624e+01,7.276858017e+01,7.410652991e+01,3.046640444e+01,6.366568912e+01,7.885665820e+01,5.030760572e+01,6.973439013e+01,1.992879712e+01,2.615063488e+00,5.327213554e+01,4.412647984e+01,6.821323009e+01,4.036904173e+01,2.824123462e+01,9.070958536e+01,1.877866053e+01,8.504587996e+01,7.087219161e+01,2.688553043e+01,2.005391971e+01,4.834643098e+01,1.323739841e+01,8.010690100e+01,8.323170045e+01
9.809911979e+01,3.123778397e+01,1.235768393e+01,7.069799922e+01,8.932648882e+01,5.780371819e+01,1.063818609e+01,8.294628329e+01,3.142813150e+00,9.312366437e+01,1.604982544e+00,4.154291145e+01,1.372316938e+01,4.820927737e+01,7.870307747e+00,8.519451724e+01,1.803299354e+01,1.312534305e+01,8.124142659e+01,7.948625480e+01,6.394490678e+00,8.872002626e+01,9.724581922e+01,1.227485456e+01,8.677124614e+01,6.516368912e+01,1.307214194e+01,8.932527987e+01,9.411699531e+01,2.285580141e-01,9.442198170e+01,4.904793025e+01,8.323172706e+01,7.702261703e+01,1.961222687e+01,5.131433779e+01,2.739906936e+00,2.330291090e+01,8.577234266e+00,9.601694152e+01
2.782945694e+01,8.803036618e+01,4.933812257e+01,2.944121673e+01,6.946816495e+01,2.810107715e+00,9.374458245e+01,9.794245914e+01,5.711394821e+01,3.831895187e+01,5.998038848e+01,5.088284127e+01,7.549529906e+01,1.305071688e+00,4.667103978e+01,2.295871711e+01,6.640663948e+01,2.341899557e+01,3.754593490e+01,2.214505498e+01,7.957120031e+01,4.552712389e+01,3.991382974e+01,6.032305270e+01,4.768122631e+00,4.243522712e+00,4.695426778e+01,1.333305354e+01,3.721036069e+01,7.490449059e+01,6.791265175e+01,6.521812227e+00,6.305958435e+01,5.809753766e+01,8.064724366e+01,9.006227381e+01,4.385676678e+01,5.185885497e+01,9.349199584e+01,1.469471691e+01
2.712994995e+01,4.356970993e+01,2.482371524e+00,8.212586143e+01,4.381924573e+01,9.573313434e-01,2.312567284e+01,6.952739863e+01,1.052489868e+01,6.838180012e+01,2.801419977e+01,1.992211645e+01,9.349416186e+01,6.880659435e+01,4.018833057e+00,9.688250161e+01,7.886981220e+01,3.453161022e+01,8.068087642e+01,2.453583814e+01,9.688135673e+01,5.292018500e+01,2.935275869e+00,2.403907546e+00,8.231486581e+00,4.140750447e+01,3.871994825e+01,1.171602213e+01,8.037576616e+01,9.010212987e+01,6.458360489e+01,8.374339376e+01,3.472183854e+01,3.440022554e+01,5.952210934e+01,8.752015392e+01,2.210157665e+01,7.509799571e+01,7.871577315e+01,4.064435526e+01
2.294709277e+01,1.181302939e+01,8.142643142e+01,1.402238164e+01,1.311538380e+01,8.174828623e+00,4.889594278e+01,6.802124543e+01,9.357163509e+01,5.087048055e+01,4.768197880e+01,3.510798199e+00,3.998574027e+01,9.567834842e+01,4.447112496e+01,5.706709633e+01,7.750342688e+01,2.809095760e+00,7.409857882e+01,3.983005726e+01,6.976076405e+01,1.263224322e+01,7.038500238e+01,3.729911855e+01,5.245329630e+01,7.426950318e+01,1.911272592e+01,5.280769832e+01,1.107633568e+01,1.658823895e+01,3.016423018e+01,1.685652049e+01,9.306157510e+01,8.994854189e+01,9.451971773e+01,8.196598549e+01,7.278161703e+01,1.127465070e+01,4.205496951e+01,2.572252461e+01
8.119951177e+01,6.586606187e+01,1.854521236e+01,7.667446283e+01,8.673908544e+01,9.327360443e+01,9.504072530e+01,2.121783787e+00,4.665350700e+01,2.028027364e+01,1.612311161e+01,3.861610100e+01,3.966778535e+00,7.827133873e+01,2.909584689e+01,9.348283620e+01,8.311499997e+01,4.957543736e+01,3.666886448e+01,5.587489183e+01,8.480376112e+01,4.531498926e+01,4.353943905e+01,8.126126287e+01,9.861566411e+01,4.379856068e+01,3.888814740e+01,3.775115515e+01,5.391041486e+01,4.130380172e+01,4.254878917e+01,9.600416637e+01,6.223729983e+01,7.715545310e+01,2.596896099e+01,4.583355207e+01,2.443327475e+01,3.368773156e+01,9.410862462e+01,5.852299043e+01
5.895062469e+00,3.593480313e+00,7.982608109e+01,7.810347767e+01,1.722233061e+01,3.870025843e+01,1.909419974e+01,3.160700688e+01,4.064291093e+01,1.136082720e+01,5.173269088e+00,3.247878274e+01,7.062554579e+01,2.132776618e+01,6.017633044e+01,5.201003640e+01,4.434601395e+01,9.599924600e+01,5.976344811e+01,6.963218761e+01,9.454914291e+00,9.383396927e+01,9.610991695e+01,5.583542609e+01,9.147694219e+01,7.798505487e+00,5.434615892e+00,2.958267457e+01,4.971862218e+01,1.347884826e+01,4.565889597e+01,4.695527808e+01,2.411944629e+00,3.269341548e+01,5.350054389e+01,2.098670259e+01,3.181430936e+01,7.144266899e+01,5.534683293e+01,9.308649228e+01
