v1,v2,v3,v4,v5,v6,v7,v8
3.291607876e+01,2.363233057e+01,1.004156831e+01,5.597698151e+01,7.785352932e+01,3.444025814e+01,4.243631693e+00,3.385474083e+01
4.360360990e+00,6.480817260e+00,7.597866128e+01,9.810062184e+01,9.525419592e+01,2.489722074e+01,2.239354867e+01,2.410989399e+01
9.520913314e+01,5.743928118e+01,8.484696991e+01,6.709987382e+01,4.971692067e+01,8.979883290e+01,4.052834217e+01,2.266391861e+01
2.241768100e+01,4.386961732e+01,6.762625060e+01,9.750859274e+01,9.494594358e+01,6.939929651e+01,1.959459748e+01,1.713951287e+01
4.860004904e+00,2.561384101e+01,3.128421598e+01,2.441854907e-01,4.186057637e+01,6.943981818e+01,3.772646793e+01,4.824246883e-01
1.177633991e+01,1.725451925e+01,1.873806253e+01,7.593842009e+01,9.600567181e+01,2.734243044e+01,3.563309176e+01,6.261470220e+01
9.352574122e+00,7.795822155e+01,9.589013629e+01,5.285612764e+01,1.291820623e+01,1.732825800e+01,1.590283050e+01,4.194185532e+01
1.946073149e+01,2.913783526e+01,4.919414494e+01,9.968487912e+01,2.236488003e+00,7.180130604e+01,7.980736728e+01,2.657999694e+01
1.787612774e+01,8.630538577e+00,2.596675320e+01,7.702271084e+01,1.401021127e+01,9.953947035e+01,3.545673993e+01,8.253869432e-01
7.489967472e+01,4.844556851e+01,2.515022257e+01,4.875511052e+00,3.065506193e+01,5.762042028e+01,4.748290320e+01,3.599286578e+00
7.415296862e+01,9.310651579e+01,9.952799237e+01,5.909567214e+01,4.806001204e+01,4.978020548e+01,9.446885268e+01,6.961139523e+00
1.770533379e+01,3.865226552e+01,1.361663796e+01,1.162445137e+00,2.818236571e+01,6.467261580e+01,6.413386971e+01,7.340342005e+01
8.712913833e+00,3.564401080e+01,8.344562626e+01,2.870746898e+01,2.134919254e+01,8.024630950e+00,7.337538805e+01,4.546842993e+00
5.091533107e+01,7.059677868e+01,9.265116118e+01,6.070014717e+01,6.765551992e+01,3.604020834e+01,2.097713498e+01,6.043481924e+01
9.194439082e+01,5.896398301e+01,5.551989010e+01,5.459643012e+01,4.067901890e+00,9.251318538e+01,6.286807743e+01,3.864805589e+01
9.846178808e+01,7.944041068e+01,3.809239595e+00,9.044215029e+01,7.946695373e+01,2.707587235e+01,5.265730717e+01,5.280603076e+01
5.540667939e+01,6.190774651e+01,9.063026503e+01,4.298716646e+01,4.847109887e+01,8.966195020e+01,9.709225496e+01,2.799124410e+01
3.718332588e+01,4.084646377e+00,6.629813531e+01,3.988420582e+00,5.388378400e+01,6.185000720e+01,2.364546768e+01,2.317883947e+00
9.883843432e+01,7.167486106e+00,7.823525090e+01,3.740230304e+01,8.043248994e+01,3.041389095e+01,9.222864178e+01,6.375112169e+01
9.409685776e+01,8.895267769e+01,2.618687613e+01,2.082203004e+01,2.627157025e+01,9.498505815e+01,8.230598886e+01,2.344247999e+01
1.089992988e+01,7.315003086e+01,9.761162213e+01,2.993922378e+01,4.581614579e+01,5.643564165e+01,3.145035293e+01,8.742538513e+01
7.056332359e+00,5.001005298e+01,1.209033190e+01,3.207541444e+00,9.613440825e+01,5.994902609e+00,6.194622477e+01,6.295718330e+01
9.987761221e+01,2.264657950e+01,2.350129842e+01,4.734780436e+01,6.304191860e+01,5.312777449e+01,6.081582932e+01,4.495972411e+01
5.279360979e+01,5.269775962e+01,1.394898062e+01,9.265636125e+01,6.114862513e+01,8.558431815e+01,8.882500422e+01,6.506273651e+01
2.822566311e+00,4.893636839e+01,7.073716876e+01,4.825989632e+01,9.255330420e+01,2.857682477e+01,9.958703165e+01,4.876089611e+00
2.967313175e+01,1.221707725e+01,5.013365661e+01,9.881605439e+01,9.124248549e+01,9.910281905e+01,1.510613862e+01,8.274188900e+00
8.303998170e+01,1.891583686e+01,3.289053755e+01,3.092395343e+01,5.744450033e+01,5.122091589e+01,7.521441468e+01,8.649088555e+01
5.633962282e+01,8.946598630e+01,4.841468825e+01,3.315375541e+01,3.179397316e+01,3.095821156e+01,4.362320625e+01,4.912635240e+01
2.499282995e+01,9.162187263e+01,3.842967159e+01,6.839168253e+01,8.317988180e+01,3.053000999e+01,5.561751909e+01,6.887586437e+01
3.022729280e+01,3.216172747e+01,5.394811776e+00,6.776784756e+01,1.880577750e+01,9.691262719e+01,7.960805746e+00,9.947810235e+01
8.939022963e+01,1.434907962e+01,6.991485538e+01,5.248973788e+01,8.185794893e+01,3.374853973e+01,8.962411721e+01,8.533843959e+01
1.644213872e+01,5.046015706e-01,2.155766509e+01,6.006927172e+01,8.948326585e+01,7.379632203e+01,8.657683612e+01,3.695496812e+01
2.801749324e+01,7.786746221e+01,4.827994405e+01,3.247980607e+01,1.058736955e+01,2.341965585e+01,4.284509029e+01,3.854877602e+01
9.709837646e+01,5.301488709e+01,2.354867412e+00,7.928379561e+01,6.532472777e+01,1.058437720e+01,7.902928814e+01,3.590605558e+01
5.486582649e+01,2.651252333e+01,6.330679068e+01,8.145645962e+01,7.970793903e+01,2.024818431e+01,6.753141346e+01,7.741235894e+01
9.682506258e+01,7.862573377e+01,4.428321055e+01,3.127773225e+01,5.099580047e+01,3.980105985e+01,1.972516890e+01,9.361366909e+01
3.122506324e+01,7.800907633e+01,1.792636973e+01,3.101825780e+01,8.952893671e+01,3.452067004e+00,3.239601639e+01,1.947001408e+01
5.216583751e+01,4.439336572e+01,5.442126313e+01,8.536839349e+01,7.745602889e+01,9.425971486e+01,8.628532861e+01,2.733206359e+01
2.673271369e+01,1.967684972e+01,6.648301388e+01,2.577165440e+01,6.251130575e+01,3.108773281e+01,1.188288725e+01,9.041866617e+01
3.618895922e+01,9.614144763e+00,8.705685421e+01,3.544022059e+01,6.819380258e+01,9.306969453e+01,2.575745289e+01,2.638960870e+01
5.675952551e+01,4.229856370e+01,2.542110785e+01,6.692870619e+01,6.828499818e+01,5.378386095e+01,6.679091449e+01,1.486961530e+01
1.235947371e+01,3.645709744e+01,2.943489737e+01,7.150629487e+01,1.082823425e+01,1.754858426e+01,4.071797257e+01,9.428192993e+01
7.123171465e+01,6.885554677e+01,2.922944487e+01,6.852679865e+01,9.763137007e+01,4.261793042e+01,6.376221427e+00,8.241124665e+01
4.752941286e+01,8.484707424e+01,6.653672494e+01,5.715937498e+01,9.018138829e+01,1.818820108e+01,3.019204911e+01,9.987944149e+01
6.338787727e+01,6.795623333e+00,2.372272980e+01,3.454007085e+01,7.574319983e+01,6.947586183e-01,8.467550655e+00,4.331225494e+01
7.778085195e+01,5.526281773e+01,4.454846863e+01,3.664688049e+01,7.635461776e+01,7.612336669e+01,7.543761091e+01,5.489264400e+00
2.688548988e+01,8.441712142e+01,9.995958204e+01,9.800431706e+01,6.591179019e+01,3.405294873e+01,8.879933004e+00,7.499541276e+01
3.855263370e+01,2.789095105e+01,9.046206018e+01,3.348913073e+01,3.675641235e+01,9.068735910e+01,4.665594565e+01,6.898051072e+01
8.008264800e+01,8.629337819e+01,9.852619026e+01,4.419344167e+00,5.198682344e+01,7.709306564e+00,7.148045061e+01,7.845680924e+01
7.426232123e+01,9.820020326e+01,2.415103188e+01,4.695313635e+01,5.430482360e+00,3.948407580e+01,9.520769356e+00,2.594895076e+01
5.164267545e+01,5.419792100e+01,6.276464903e+01,5.638353675e+00,7.258970294e+01,7.479776396e+01,1.668654892e+01,3.212300577e+01
6.986941942e+00,7.592024439e+01,1.938789024e+01,1.665113265e+01,9.450509248e+01,1.633765431e+01,5.086079754e+00,1.658452421e+01
8.801615312e+01,4.035828164e+01,8.102753251e+01,9.020520290e+01,9.650849380e+01,4.474290056e+01,6.234286408e+00,3.629395676e+01
7.188302676e+01,2.880005514e+01,6.471512368e+01,7.965268315e+01,6.246349875e+01,9.034034902e+01,7.253840135e+01,5.850281074e+01
2.020870693e+01,5.188926742e+01,2.788172014e+01,6.827394434e+01,2.715512199e+01,6.062704708e+01,8.896469825e+01,1.549739564e+01
2.237093037e+01,3.068550075e+01,4.732624422e+01,8.913827456e+01,4.637098723e+01,2.380966175e+01,1.711365587e+00,2.071487056e+01
8.484073127e+01,9.300265832e+01,8.503008108e+01,8.720983686e+01,3.445436266e+00,4.924307846e+01,6.873615902e+01,1.558185029e+01
5.759992743e+01,1.730895912e+01,9.749550705e+01,7.728411275e+01,1.718432924e+01,7.664791789e+01,6.794995388e+01,5.624898742e+01
6.824410137e+00,9.098611917e+01,3.413432699e+01,9.564564056e+01,1.802814771e+01,6.677086624e+01,6.700735154e+01,4.139708736e+01
5.158764791e+00,1.685165815e+01,6.807767361e+01,9.181764910e+01,5.236186760e+01,8.012719606e+01,4.777108903e+01,3.479823221e+01
4.237560037e+01,2.902915289e+01,5.337472210e+01,4.757845848e+00,3.688803683e+01,4.711867396e+01,3.411641354e+01,2.806828235e+01
3.308428171e+01,7.872232897e+01,8.311897147e+01,5.512099529e+00,3.017015923e+01,1.118226980e+01,1.194099961e+01,5.317290633e+01
4.493311019e+01,1.926629130e+01,7.706700481e+01,9.165878328e+01,2.188645960e+01,8.126008584e+00,9.669643649e+01,6.987983148e+01
5.067927049e+00,7.741394566e+01,2.633393209e+01,4.309726375e+01,9.566346745e+01,4.196730316e+01,4.788310147e+01,2.496353949e+01
6.366144197e+01,3.983557320e+01,1.318237749e+00,2.983266169e+01,9.350293264e+01,1.595210579e+01,1.522417553e+01,9.134820408e+01
1.636899271e+01,1.004063147e+01,1.098135690e+01,6.812800760e-01,9.122024568e+00,2.974978868e+01,6.527713296e+01,2.896674213e+01
7.519010864e+01,8.933766589e+01,8.253517619e+01,7.160719530e+00,6.712424925e+01,9.864462006e+00,3.251687371e+01,3.880518174e+01
6.765026503e+01,3.001358599e+01,2.673560040e+01,3.135208643e+01,7.271317595e+01,5.916649357e+01,5.711172044e+01,1.846009573e+01
5.735980141e+01,7.920260977e+01,4.559873354e+00,9.141658533e+01,6.574015509e+01,5.335940637e+01,4.793566041e+01,1.863827055e+01
7.061076585e+01,1.234831355e+01,5.071744532e+01,3.396309753e+01,6.077021423e+01,4.283575529e+01,2.284047020e+01,1.434682404e+00
2.709025115e+01,2.760928138e+01,5.949328685e+01,1.268026238e+01,9.273711410e+01,4.161599659e+01,2.262411005e+01,3.201973168e+01
9.990591311e+01,9.009958653e+01,6.846257956e+01,9.955311444e+00,4.739726877e+01,2.395725758e+00,1.653869265e+01,2.606066847e+01
8.885696378e+01,8.676009703e+01,6.537251734e+01,3.284340114e+01,7.617828158e+01,3.904368704e+01,8.368823780e+01,4.896062174e+01
9.110654899e+01,8.133996075e+01,3.337589087e+01,1.804178251e+01,3.258509449e+01,4.856769241e+01,7.926837149e+01,8.668092141e+00
9.488105442e+01,3.194561330e+01,7.214700328e+01,7.528246769e+01,8.863390145e+01,3.215601965e+01,8.911509460e+01,1.165856303e+01
6.958063136e+01,4.538451046e+01,7.451745168e+01,6.499910925e+01,2.595482989e+01,4.001820733e+01,7.184334923e+01,2.514685063e+01
6.195762106e+01,4.920732907e+01,8.533685706e+01,6.806624414e+01,4.988960792e+01,7.099886204e+01,2.729488165e+01,2.206998220e+01
4.002693104e+00,6.835947360e+01,8.237194529e+01,9.676557638e+01,9.780178958e+01,5.834651007e+01,7.267552926e+01,2.155410090e+01
7.968981647e+01,8.565399058e+01,9.463635124e+01,2.180211057e+01,5.802959020e+01,1.775829045e+01,7.395847527e+01,2.869837822e+01
3.538349935e+00,1.552745683e+01,9.297322595e+01,5.576046960e+01,9.079373369e+01,6.685337923e+01,7.425943088e+01,9.999133673e+00
3.674664532e+00,6.125478906e+01,9.937729178e+00,7.059893549e-01,5.227570657e+01,1.783006928e+01,5.199849849e+01,9.285356334e+01
7.148408092e+00,5.691494457e+01,9.284958082e+00,4.883594908e+01,6.559273793e+00,4.211757396e+01,3.748136695e+00,8.676989773e+01
4.858108771e+01,3.828043248e+01,9.886417094e+01,3.754816308e+01,7.215827939e+01,4.437562036e+01,4.812933126e+01,1.700344181e+01
8.236970516e+01,9.543582851e+01,2.870411473e+01,9.931609451e+01,1.274071599e+01,9.505359280e+01,8.574172051e+01,4.701942307e+01
9.227603177e+01,8.960606176e+01,4.367848314e+01,1.010535518e+01,7.137014983e+01,3.929509209e+00,2.072431198e+00,3.262330072e+01
7.668279406e+01,8.000943232e+01,7.900168445e+01,1.000863039e+01,5.899505123e+01,7.031199068e+01,1.306964437e+01,3.114060604e+01
5.247458280e+01,9.218185742e+01,2.399093270e+01,7.801757973e+00,3.446375802e+01,3.709157316e+01,4.068228875e+01,7.406091456e+01
8.858206618e+01,2.176622840e+01,8.155241318e-01,8.349420554e+01,6.729224792e+01,1.378573974e+01,9.811808447e+01,5.933936302e+01
8.643151973e+01,4.403840938e+01,3.481228180e+01,6.205506256e+01,6.058914757e+01,6.042955747e+01,6.048573706e+01,6.029331866e+01
3.984628642e+01,3.495433239e+01,3.303957537e+01,7.425575987e+01,5.796651995e+01,9.025912046e+01,1.161559935e+01,5.148520610e+01
2.321084166e+01,7.486453433e+01,5.505146059e+01,3.520789903e+01,4.337185532e+01,9.514708986e+01,1.008503744e+01,9.789776910e+01
4.906325241e+01,5.257549601e+01,1.910882582e+01,8.234192085e+01,1.874238338e+01,5.463251247e+01,9.593315867e+01,8.371241133e+01
2.721556476e+01,1.160169320e+01,5.964575691e+01,4.360635674e+01,1.423724713e+01,1.232055917e+01,2.169122898e+01,4.117718999e+01
1.362793231e+01,9.578145986e+01,6.737320105e+01,7.789376529e+00,5.660011176e+01,8.428004079e+01,2.246126328e+01,5.782921228e+01
1.249209456e+01,9.135601092e+01,4.254017782e+01,2.403554638e+01,6.517702289e+01,7.481947080e+01,5.700296529e+01,8.211083058e+01
2.889596581e+01,9.817438589e+01,3.680116681e+01,8.165262943e+01,2.783306095e+01,8.304153668e+01,7.759565885e+01,2.583088264e+00
6.854963341e+01,1.055141770e+01,7.526599238e+01,8.780974719e+01,8.569245565e+01,5.003985361e+01,6.882541763e-01,7.377331744e+01
4.151849857e+01,1.448478501e+01,3.239700998e+01,2.657822936e+01,1.893513702e+01,4.933289461e+01,3.855692836e+01,9.709233795e+01
1.719400455e+01,8.112765387e+01,9.698178692e+01,3.160969387e+01,7.968297494e+01,9.159159306e+01,9.939541482e+01,6.818682816e+01
9.360028638e+01,1.699785712e+01,8.378657016e+01,1.743450481e+01,8.552279834e+01,9.104080386e+01,2.204009241e+01,1.357609992e+01
6.104839274e+00,6.523765988e+01,3.260674118e+01,3.707235510e+01,5.089136496e+01,8.287880192e+00,5.093973508e+01,9.487495847e+01
7.151366786e+01,5.974395300e+01,4.717489744e+01,5.348761939e+01,4.246545346e+01,6.534859788e+01,5.205429069e+01,3.871248705e+01
5.826202383e+00,4.588883469e+01,6.163582193e+01,7.829232581e+01,2.116281569e+01,8.399478223e+01,5.541331618e+00,6.917851819e+01
3.098813916e+01,8.305486981e+01,3.476048395e+01,6.306724162e+01,5.477275040e+01,4.170975917e+01,3.311825683e+01,7.082779857e+01
1.371619128e+01,5.314114672e+01,3.497125387e+00,8.309215135e+01,2.429014724e+01,6.877904174e+01,2.394068646e+01,7.722571188e+01
7.226535029e+00,1.247048722e+01,3.350963461e+01,5.411898857e+01,1.723795721e+01,8.110979814e+01,2.113275666e+01,8.687360222e+01
1.090384936e+01,7.697747002e+01,7.428180839e+01,3.073294678e+00,9.154331546e+01,4.876543145e+01,4.857588361e+01,7.565453508e+01
5.145303906e+01,5.896257505e+00,2.776188930e+00,5.294358141e+01,8.034644027e+01,4.017965167e+01,1.045918523e+01,8.737977239e+01
1.954527398e+01,8.814246235e+01,4.194079312e+01,5.970327295e+01,3.429406998e+01,2.396514891e+01,1.257958598e+01,6.407483590e+01
8.490214408e+00,5.057124014e+01,5.833129901e+00,2.038053896e+01,5.148480361e+00,6.083045951e+01,8.714142249e+01,9.667516681e+01
6.647957793e+01,6.975145752e+01,7.601168260e+01,4.161339247e+01,2.585871090e+01,1.482409461e+01,8.608340301e+01,2.829163747e+01
2.546170599e+01,7.167449356e+01,1.348730543e+01,7.760252345e+01,7.345994090e+01,3.248835719e+01,2.315770080e+00,6.788800030e+01
1.573896156e+01,6.688450232e+01,5.389706411e+01,6.554795013e+01,4.120029568e+01,9.138805266e-01,4.564674184e+01,5.697842321e+01
8.592330727e+01,7.004950087e+01,9.143723271e+01,3.001421642e+01,4.213084911e+01,8.325973838e+01,9.108162797e+01,6.979351097e+01
1.519298191e+01,6.229937097e+00,7.487733588e+01,1.686651385e+01,8.047829800e+00,7.465342678e+01,9.384146352e+01,1.320171498e+01
3.428464437e+01,1.081652023e+01,1.431012214e+01,1.980711486e+01,6.295529955e+01,1.160295339e+01,3.320541798e+01,9.067509751e+01
2.742913400e+01,6.724162833e+01,8.605782511e+01,3.576137523e+01,2.172198974e+01,4.915975460e+01,5.778215306e+01,3.635380118e+01
6.912809075e+01,2.312438680e+01,6.403278135e+01,5.650184984e+01,7.269686454e+01,1.093348283e+01,8.708978720e+00,2.956707325e+01
9.042962826e+01,3.424321127e+01,2.126781018e+00,1.765455326e+01,3.882945572e+01,7.160201918e+01,6.610393425e+01,3.068252274e+01
4.952063438e+01,8.140115044e+01,4.103948576e+01,7.813331291e+01,1.309065641e+01,1.123400190e+01,8.617937452e+01,5.631939628e+01
5.567669464e+01,3.029470535e+01,8.191486358e+01,4.751399578e+01,9.929417103e+01,8.745261011e+01,6.005332824e+01,8.436520141e+01
8.123651446e+01,5.407471697e+01,9.628734696e+01,2.157392404e+01,5.278904051e+01,2.755813600e+01,3.763439074e+01,1.139174993e+01
4.272589287e+01,5.152080664e+01,5.029165134e+01,6.173816086e+01,1.009951387e+01,3.282259563e+01,6.809098033e+01,4.087625131e+01
9.073278987e+01,9.395600625e+01,1.777962532e+01,4.138144365e+01,7.439464363e+01,6.663785937e+01,8.124992641e+01,4.090845163e+01
3.949452887e+01,8.039779537e+01,1.089798717e+01,5.182467528e+01,6.350138540e+01,2.812012871e+01,4.291788707e+01,8.112718225e+00
8.628003035e+01,7.689146822e+01,6.005431170e+01,8.564094295e+01,5.995121334e+01,2.156863813e+00,1.492753247e+01,6.830387590e+01
8.429353127e+01,7.214460427e+01,5.367880765e+01,5.869244845e-02,4.309828155e+01,4.726245628e+01,1.483864428e+01,4.205457845e+01
6.255028125e+01,8.850503210e+01,4.017730486e+01,5.639270697e+01,7.169612415e+01,6.723915046e+01,7.273120876e+01,6.706795822e+01
6.883135690e+01,7.151370529e+01,3.025579452e+00,6.922260615e+01,5.903395008e+01,8.091111729e+01,2.133925487e+01,9.870027457e+01
3.469934721e+01,2.131145155e+01,1.889530899e+01,5.490865153e+01,2.976681950e+01,1.680169958e+01,3.942498272e+01,5.363271663e+01
8.575090904e+01,4.283420381e+01,3.065134611e+01,9.347600427e+01,8.760251666e+01,8.562991609e+01,7.561539857e+00,4.258593694e+01
5.231213723e+01,9.584869629e+01,3.722061716e+01,8.036598073e+01,1.704790963e+01,9.345723996e+01,1.625733767e+01,9.611364102e+01
3.350917473e+01,6.039524270e+01,3.140226808e+01,9.796679034e+00,7.392366428e+01,2.569573720e+01,7.084687750e+01,8.488210835e+01
5.366637626e+01,3.841251338e+01,3.644654993e+01,6.228142135e+01,4.577810417e+01,2.641430599e+01,8.372897910e+01,9.207495335e+01
2.401202372e+01,7.935217014e+01,1.428284205e+00,6.762679966e+01,2.392615400e+01,4.146391873e+01,2.409564774e+01,7.423255622e+01
1.844745861e+00,6.433161193e+01,9.468851116e-01,9.295519528e+01,5.354300783e+01,4.491365084e+01,5.432306662e+01,9.887987999e+01
7.805349325e+01,6.208905457e+01,2.526278133e+01,3.784997817e+01,9.420235399e+01,2.947967471e+01,3.337856222e+00,4.790038630e+01
8.757466878e+01,1.189657674e+01,4.797377513e+01,8.979622079e+01,8.677661398e+01,5.738157151e+00,1.909665067e+01,5.209471660e+01
4.884084094e+01,8.635302427e+01,6.077872304e+01,5.756766393e+01,5.940212889e+01,9.863111160e+01,2.821745974e+01,5.503293376e+01
2.766284377e+00,4.430561416e+00,6.911853489e+01,3.022156412e+01,6.153777835e+01,1.987101825e+01,3.398471611e+01,3.330077906e+01
5.044713225e+01,8.737351161e+01,5.764525037e+01,6.164322051e+01,2.823647685e+00,2.455917475e+01,9.463418784e+01,7.793712446e+01
1.359664156e+01,2.843391292e+01,4.636291132e+01,7.353633767e+01,6.501545240e+01,1.529366808e+01,3.375338294e+01,3.361675016e+01
3.406258794e+01,2.371194255e+01,3.388083612e+01,6.872727318e+01,2.857822858e+01,9.413332336e+01,4.673602978e+01,3.933665214e+01
5.228589608e+01,2.043100828e+01,8.722204254e+01,8.826300146e+01,1.837189047e+01,5.192849291e-01,1.856134985e+01,8.234773016e+01
8.607800084e+01,6.861576491e+01,2.053578479e+01,6.138347853e+00,5.750868005e+01,7.330727153e+01,4.523976569e+01,1.689690157e+01
8.992647747e+01,8.390003867e+01,5.670912105e-01,2.706964969e+00,5.368758177e+01,4.464615627e+01,6.542006662e+01,9.569187141e+01
1.869307206e+01,5.858150868e+01,3.106329013e+01,8.121109904e+01,4.134360683e+01,2.019280441e+01,8.285627077e+01,9.628844794e+01
7.198495165e-01,3.312753823e+01,7.363315102e+00,3.421283051e+01,8.393742410e+01,3.117068910e+01,1.980604119e+01,5.126778216e+01
4.899307744e+01,5.843425620e+01,6.142468589e+01,3.907360881e+01,8.593743193e+01,1.211451134e+01,9.840236810e+01,5.587721908e+00
3.835544468e+01,1.868485026e+01,9.079944520e+01,8.384211279e+01,6.667283997e+00,7.798037474e+01,8.561382925e+01,3.107393879e+01
2.957522090e+01,5.632071456e+01,3.532258201e+01,2.730620109e+01,1.419106274e+01,7.715218451e+01,8.680425848e+01,8.073400753e+01
6.146302093e+01,6.040052618e+01,6.421323174e+01,1.072395386e+01,5.076950020e+01,3.768075713e+01,4.596070599e+01,7.095066214e+01
5.056312206e+01,3.284077603e+01,5.647126364e+01,2.692232617e+01,6.523997902e+01,2.747586974e+01,2.651988732e+01,1.671924057e+01
9.433020250e+01,8.471470297e+01,6.928835321e+01,9.303253803e+01,2.571867389e+01,3.278827105e+01,6.135194334e+01,8.693166844e+01
3.453372128e+01,5.598696873e+01,9.669899395e+01,5.580979527e+01,3.615439361e+01,7.227291716e+01,9.156914207e+01,2.390317873e+01
7.732021734e+01,8.545826504e+00,5.092372398e+01,2.620750850e+01,5.007529539e+01,8.708347636e+01,2.451500276e+01,3.983216834e+01
2.275034176e+00,7.710634527e+01,9.842712915e+01,2.063933040e+01,4.523493534e+01,9.190459748e+01,7.365340966e+01,3.240896082e+00
3.255579051e+01,9.791547068e+01,7.556761678e+01,6.645106198e+00,6.270103575e+01,3.504205438e+01,9.945382570e+01,9.384508283e+00
8.058533133e+01,9.476396803e+01,2.218569426e+01,1.427624280e+01,5.243361024e+01,9.896102846e+01,6.100972242e+01,4.691044654e+01
3.194688315e+01,8.461583841e+01,9.594681262e+01,5.669272821e+01,4.055151044e-01,7.690348070e+01,8.076693788e+01,7.141532883e+01
2.767811573e+01,4.790709670e+01,8.407792023e+01,6.609489202e+01,4.830010974e+00,9.599386510e+00,6.603153257e+01,4.109026068e+01
3.504448995e+01,3.919370829e+01,3.924293538e+01,6.234268684e+00,4.025304778e+01,9.528882623e+01,3.622558760e+01,4.659403944e+01
3.917588438e+01,1.210120147e+01,7.674681951e+01,2.547165832e+01,1.190291311e+01,4.746461450e+01,9.037417398e+00,3.021730738e+01
2.564149568e+01,4.165944650e+01,1.800845181e+01,8.391294965e+01,7.196887507e+01,4.056496728e+01,7.215034720e+01,4.164358350e+01
1.448203163e+01,7.504881562e+01,4.437061999e+01,4.267225149e+01,5.505576919e+01,9.849489166e+01,7.388619954e+01,8.961753816e+01
3.991302411e+01,5.192619106e+01,7.251082013e+01,4.601134348e+01,9.390420256e+01,3.647227137e+01,9.587541883e+01,6.162863840e+00
6.494873905e+01,8.121802930e+01,4.510097651e+01,4.912519564e+01,3.598788261e+01,9.990590344e+01,3.709083549e+01,8.504978139e+00
7.655698184e+01,2.981480413e+01,8.332714195e+01,1.867624158e+01,5.590932026e+01,6.151968908e+01,8.464133855e+01,8.092123508e+01
4.182716621e+01,7.956253032e+01,4.231072455e+01,4.599936331e+01,8.622232740e+01,9.604208917e+01,3.306544399e+01,1.756657899e+01
4.564645792e+01,3.324831536e+01,7.392266934e+01,6.776593055e+00,1.075829892e+01,1.536578739e+01,2.371342491e+01,5.267011186e+01
1.006178902e+01,1.490131597e+01,4.779162705e-01,9.086766673e+01,3.234707405e+01,5.040823400e+01,7.105096853e+01,3.017401905e+01
2.056866068e+01,7.604234599e+01,4.933109248e+01,1.198109477e+01,8.755930952e+00,3.308826077e+01,3.103678154e+01,8.820820902e+01
2.979936419e+01,5.424087299e+01,6.214173876e+01,9.403630414e+01,9.752167350e+01,9.970530496e+01,5.900287736e+00,3.282132815e+01
2.916645383e+01,7.268253468e+01,2.093407444e+01,4.391556283e+00,2.016332080e+01,3.927408510e+01,9.569508679e+01,4.410186494e+01
2.340901392e+01,3.979322679e+01,3.625304635e+01,2.416067891e+01,8.336060770e+01,6.831173154e+00,6.516226302e+01,7.954001365e+01
8.870430889e+00,4.745324966e+01,7.788461659e+01,7.332388555e+01,5.769363199e+01,1.696224132e+01,9.807466550e+01,4.290831896e+01
4.125492087e+01,5.490202624e+01,3.464797902e+01,7.317603968e+01,1.289202104e+01,7.289660298e+01,4.123054494e+01,4.151808465e+01
4.224048609e+01,5.218091752e+01,5.873328328e+01,4.535194553e+00,3.650752529e+01,2.778015552e+01,9.105843517e+00,4.279883919e+01
