v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
1.744264061e+01,5.468902428e+01,6.319474170e+01,4.649788230e+01,5.333437052e+01,2.209497701e+00,8.814927298e+01,1.256877594e+01,4.924573779e+01,7.121912509e+01,3.065511673e+01,1.694416733e+01,5.245936692e+01,1.640382033e+01,3.862774116e+01,8.900216878e+01,9.219114403e+01,1.059141903e+01,8.428526495e+01,5.214006196e+01,1.487632540e+01,1.648142518e+01,7.838346343e-01,4.829121741e+01,4.170588922e+01,7.917291438e+00,5.684765069e+01,6.259356123e+01,2.708265155e+01,9.794268638e+01,2.890988634e+00,5.776244306e+01,6.679232095e+01,1.935813016e+01,1.431383903e+01,1.131277683e+00,5.464133813e+01,7.989234527e+01,3.926045821e+00,8.084100724e+01,2.754500300e+01
2.871273159e+01,7.388480262e+01,2.038148285e+01,8.657368281e+01,6.324482836e+00,6.726566182e+01,8.896563410e+01,7.538216085e+01,6.366168557e+01,5.195692660e+01,2.641346464e+01,8.947732103e+01,5.525660725e+01,6.721977513e+00,3.379761861e+01,1.031544810e+01,5.115286420e+01,8.631963108e+01,1.827271632e+01,2.363174246e+00,1.556321763e+01,4.884665201e+01,5.185162679e+01,9.817540593e+01,5.787584053e+01,4.635278052e+01,2.619683416e+01,3.254335444e+00,8.605842376e+01,7.752201329e+01,9.668825891e+01,6.603762564e-01,7.785460908e+01,3.235792293e+01,3.847721926e+01,7.464452661e+01,7.039218239e+01,8.750787387e+01,9.000670237e-01,8.304487982e+01,2.439114274e+00
2.804935739e+01,8.726100654e+01,8.028337596e+01,4.602400864e+01,6.270937978e+01,4.645293414e+01,4.178589684e+01,3.214683014e+01,9.515574655e+01,9.879850919e+01,5.710255659e+01,5.747036287e+01,1.034978055e+01,7.926872666e+01,9.562980684e+01,1.692256221e+01,3.682234256e+01,2.240660135e+01,5.289851361e+00,1.427073998e+01,7.379102427e+00,3.874781837e+01,7.368858204e+00,7.167163279e+01,9.875765056e+00,7.398780317e+01,7.308392158e+01,2.372652143e+01,3.925315155e+01,1.421105793e+01,7.075074871e+01,5.176261387e+01,7.134845047e+01,8.714249185e+00,4.951217943e+01,7.105705931e+01,4.098672237e+01,2.646164292e+01,6.845256389e+01,2.805018162e+01,2.385340775e+01
3.555731413e+01,1.044836597e+01,9.390370181e+01,7.345957779e+01,1.524910496e+01,2.740287467e+01,6.285247050e+01,7.579304721e+01,7.033135457e+01,4.167162900e+01,3.870214570e+01,6.835843990e+01,9.049590546e+01,7.937213034e+01,4.256837574e+01,8.261885933e+00,3.958352405e+01,3.812591273e+00,9.550893204e+01,5.765178298e+01,7.261426085e+01,5.392360138e+01,9.029751997e+01,4.232561969e+01,1.953619783e+01,1.001910783e+01,7.127109923e+01,4.326150085e+01,8.435612533e-02,9.259842824e+01,2.152526097e+01,5.330226851e+01,3.851714126e+01,9.359761505e+01,9.894251087e+01,7.595223334e+01,5.342015586e+01,7.176226159e+01,8.850156343e+00,4.685291377e+01,2.867646902e+01
6.168078337e+01,8.241492836e+01,7.189046907e+00,3.398992037e+01,9.934565427e-01,9.886374910e+01,4.947840775e+01,1.416450855e+01,6.850723913e+01,9.578163698e+01,8.281855155e+01,2.776919569e+01,7.850481893e+01,9.230578951e+01,1.891058686e+01,4.817330504e+01,2.643989668e+01,5.763916862e+00,1.140954371e+01,6.474232128e+01,8.188272858e+01,8.713540345e+01,2.790347626e+01,2.057813773e+01,6.061929257e+01,9.386154483e+01,5.438737731e+00,2.563122624e+01,4.011370816e+01,4.713402487e+01,3.330507608e+01,6.947523893e+01,8.589338989e+01,6.823489746e+01,7.513339294e+01,2.843623076e+01,1.833945825e+01,2.274092875e+01,2.813506042e+01,8.347842862e+01,5.398084716e+01
8.083631413e+01,9.779313271e+01,9.565745269e+01,9.658828416e+01,8.143848438e+01,4.479406609e+01,5.790483958e+01,7.972249424e+01,7.671510917e+01,2.811154776e+01,8.394051084e+01,9.990838602e+01,7.016903660e+01,3.154651303e+01,3.278209481e+01,2.805541818e+01,1.487763933e+01,4.613038535e+00,7.356622026e+01,5.917781839e+01,4.363348350e+01,3.544203113e+01,9.787761561e+01,8.372227552e+01,1.700815569e+01,5.409136166e+01,9.741078377e+01,5.809554678e+01,8.772546032e+01,9.622282910e+01,6.970345852e+01,4.255927227e+01,8.319951302e+01,2.497035814e+01,4.444660137e+01,3.399972232e+01,4.448749172e+00,9.184718620e+01,7.617246087e+01,8.740327457e-01,8.869993573e+00
1.613047363e+01,9.884832189e+01,7.177417496e+01,4.953669301e+01,5.062257776e+01,1.123898336e+01,5.893454626e+01,3.028838584e+01,8.062890308e+01,2.044750857e+01,2.598943399e+01,6.900291844e+01,1.233093225e+01,1.119828026e+01,1.671545932e+01,8.861169561e+00,6.693041831e+01,6.165844223e+00,7.480993302e+00,7.321333935e+01,3.400119834e+01,1.108912434e+01,7.072339160e+01,6.148159534e+01,2.729150212e+01,9.509865429e+01,3.938961771e+01,5.275861840e+01,4.126853740e+01,1.523839630e+01,4.553390623e+01,3.199587021e+01,8.035973216e+01,3.568035912e+01,1.974421175e+01,1.347937011e+00,1.579363857e+01,2.545668966e+01,8.679283105e+01,4.765694078e+01,1.386362647e+01
2.885979512e+01,7.998076219e+01,4.443105568e+01,9.721677721e+00,6.572258507e+01,6.515176622e+01,8.195401195e+01,3.194291835e+01,6.241816436e+01,9.382793087e+01,9.350774050e+01,4.392865222e+01,3.253619662e+01,9.945549792e+01,8.618997182e+01,2.457002705e+01,4.296774461e+01,6.849267628e+01,8.318987335e+01,5.586677171e+01,8.662373222e+01,7.633735042e+01,3.499176345e+01,2.587094763e+01,3.614443941e+01,1.215490239e+01,3.840476732e+01,2.991079255e+01,7.243671309e+01,3.014480766e+01,9.621930611e+01,4.819274541e+01,1.997123381e+01,6.108277895e+01,8.370725006e+01,1.199715649e+01,4.483546167e+01,1.204193827e+01,7.900442557e+01,7.470668745e+01,7.115468318e+01
4.418008067e+01,6.175620404e+01,2.256919038e+01,5.584106584e+01,8.967736936e+00,7.058627962e+00,1.837749122e+01,1.830386215e+01,3.463084070e+01,6.995481933e+01,2.579829640e+01,4.532350395e+01,4.033320074e+01,9.130130321e+01,8.927607156e+01,3.351039638e+01,4.610619217e+00,9.855422492e+01,6.764172637e+01,8.244661093e+01,2.979617801e+01,7.133870496e+01,9.042294749e+01,5.735948326e+01,1.910900018e+01,4.731931608e+01,9.042622375e+00,9.758614634e+01,1.197179114e+01,7.816169570e+01,3.638742361e+01,4.426537484e+01,4.803813167e+01,5.866035727e+01,3.150479960e+00,3.771659778e+01,1.800600227e+01,6.944800545e+01,3.250375978e+01,7.017100401e+01,6.500975499e+01
2.944702234e+00,3.515314411e+00,6.970598222e+01,1.170148350e+00,9.133684291e+01,2.068658077e+01,8.126950549e+01,3.558920709e+00,8.576059495e+01,5.273099217e+01,8.593839393e+01,5.469573229e+01,8.834616458e+01,9.906920108e+01,2.477623313e+01,3.067860068e+01,6.315364834e+01,8.417476746e+01,1.550319931e+01,7.865690613e+01,9.505550198e+01,5.781679602e+01,9.265619880e+01,1.546570045e+01,9.705372279e+01,8.134137745e+01,3.405455008e+01,1.392659402e+01,6.907789873e+01,5.295427770e+01,8.983088210e+01,7.671986909e+01,1.805347678e+01,7.404277622e+00,3.563004725e-01,9.804155811e+01,3.870290986e+01,9.242717592e+01,6.548183475e+01,2.192834806e+01,5.677372515e+01
8.587899195e+01,3.857189640e+01,8.226626099e+01,9.498743338e+01,6.946742596e+01,6.781612448e+01,3.249450155e+01,9.791930649e+01,4.712121520e+01,2.507135117e+01,3.019757865e+01,1.351130408e+01,4.049958848e+01,4.386444971e+01,7.713393921e+01,3.951917786e+00,9.329797231e+01,9.690366067e+01,6.828139621e+01,8.105024162e+01,2.126002581e+00,5.283870726e+01,1.820095735e+01,7.443251264e+01,9.711594173e+01,7.150226181e+01,7.481303356e+01,5.514556231e+00,8.509042275e+01,7.647894275e+01,7.204512365e+01,3.140511326e+01,1.719358822e+01,5.967939459e+00,2.081378426e+01,1.217031172e+01,9.399289261e+01,8.446041963e+01,1.285218266e+01,3.783311479e+01,5.771933341e+01
3.158781795e+01,3.383529823e+01,6.574828502e+00,8.182467383e+01,9.578617138e+01,4.385253502e+01,9.792358934e+01,9.778082257e+01,1.520781480e+01,6.797343383e+01,1.665585945e+01,4.991856169e+01,3.295926439e+01,7.062589019e+01,8.843893958e+01,4.892000419e+01,6.370211625e+01,2.024352807e+01,4.983373583e+01,3.400671423e+01,9.959369079e+00,7.442544067e+01,7.478312839e+01,3.797254377e+01,4.112204176e+01,3.603364423e+01,4.024862733e+01,9.731249434e+01,7.246176784e+00,4.487081396e+01,5.164695032e+01,7.906837641e-01,6.951766706e+01,2.054960643e+01,1.727058815e+01,5.170697144e+01,1.650875463e+01,7.739212552e+01,1.043105018e+01,4.295421810e+01,3.538899705e+01
5.371450964e+01,4.759667767e+00,8.416520939e+01,6.694338819e+01,1.790197975e+01,3.296962023e+01,2.221476648e+01,7.688193790e+01,1.417804141e+01,7.438015620e+01,7.066235611e+01,7.155951706e+01,7.289208503e+01,8.573312684e+01,1.276928562e+00,6.598566786e+01,2.173620870e+01,2.317352650e+01,5.119521743e+01,3.362356389e+01,1.790317803e+01,3.469746877e+01,2.926440159e+01,5.521414394e+01,4.084199862e+01,8.528581691e+00,6.295110059e+01,4.979416001e+01,5.483492555e+01,3.326374488e+01,5.722910790e+01,5.627352248e+01,9.538637450e+01,2.030192374e+01,5.373920440e+01,4.010658628e+01,8.306555087e+01,1.628234296e+01,6.318332440e-01,1.917346328e+01,8.076881075e+00
2.280426554e+01,2.345918903e+01,2.810126202e+00,7.145532412e+01,7.633027098e+01,1.280017134e+01,1.824820058e+01,3.609267813e+01,6.526646463e-02,7.816261734e+01,4.007423379e+01,4.819546773e+00,6.381736662e+01,5.442403410e+01,5.149099451e+01,4.193542995e+01,8.837820977e+01,4.256569753e+01,5.139449319e+01,2.198854833e+01,3.694424088e+01,7.750786079e+01,3.451731573e+01,2.376176136e+01,1.612096678e+01,9.585132875e+01,3.689441212e+00,1.188892354e+01,7.085058905e+01,9.962908275e+01,2.743600233e+01,6.483473413e+01,8.677519441e+01,1.158223351e+01,7.373286082e+01,3.290179846e+01,9.850457225e+01,4.815217427e+01,4.681171111e+01,2.035117475e+00,9.845245053e+01
7.524453037e+01,5.785319117e+01,7.502279858e+01,9.253775286e+01,8.436772198e+01,4.124010170e+01,4.781826004e+01,2.488033697e+01,8.365002885e+01,7.621267702e+01,9.373570544e+01,5.785616132e+00,2.468596504e+01,3.408577855e+01,3.930545850e+01,1.737947490e+01,2.143341623e+01,8.707650743e+01,3.632541983e+01,3.699016678e+01,2.942779597e+01,5.422060816e+01,3.991993650e+01,8.251533917e+00,8.426473252e+01,3.413682454e+01,7.791608076e+01,4.990665174e+01,4.719241560e+01,7.478971642e+01,6.803820826e+01,1.175956572e+01,8.745072024e+00,4.545975254e+01,9.395444424e+01,5.450950446e+00,4.847396290e+01,9.812149281e+00,4.978715894e+01,3.911751446e+01,5.119571789e+01
5.746522013e+01,8.164712598e+01,3.920077367e+00,2.749745680e+01,5.980259045e+01,9.279990221e+01,4.480799362e+01,8.308668988e+01,9.760206912e+01,3.416825076e+01,9.028633922e+01,8.976546747e+01,5.506640746e+01,4.088040751e+01,9.581436142e+01,6.198921317e+01,6.024147805e+00,9.161508452e+01,9.570930624e+01,6.807043435e+01,3.329233956e+01,6.000020822e+01,8.742971657e+01,9.904006350e+01,2.423683728e+01,4.749106470e+01,6.828000571e+01,1.332895669e+01,2.402078916e+01,2.961819116e+01,2.809612102e+01,6.735850336e+01,6.392513635e+01,2.583878237e+01,4.219910782e+01,5.118040741e+01,5.174972123e+01,2.890816349e+01,4.558882646e+01,1.088735978e+01,4.852562277e+01
7.447891420e+00,9.348825315e+01,5.497785126e+01,3.786567155e+01,5.889829746e+01,7.264378349e+01,2.625037536e+01,6.579831524e+01,9.349891623e+01,9.930447338e+01,3.077931640e+01,4.430940221e+01,5.656318161e+01,5.935531943e+01,7.983367131e+00,2.440896230e+01,6.293720212e+01,3.865200435e+01,8.731834499e+01,3.571869525e+01,8.696889660e+01,2.189068746e+01,8.173300160e+01,3.783810041e+01,1.997111404e+01,8.381839122e+01,3.037442196e+01,9.813673910e+01,1.086253824e+01,5.704531284e+01,4.156975956e+01,1.076532742e+01,1.568633813e+01,3.187501311e+01,1.750666783e+01,8.040638031e+01,3.137041058e+01,1.095325147e+01,8.353934457e+01,5.877690920e+01,3.067712178e+01
8.077036728e+01,9.315925895e+01,5.911035542e+01,1.313022618e+01,5.911520562e+01,4.663175843e+01,6.102655360e+01,7.958616954e+01,7.346139155e+01,5.245394840e+00,5.836556606e+01,6.611364307e-01,2.546147594e+01,5.228135479e+01,1.909678065e+01,2.724274475e+00,8.068581121e+01,5.728489060e+01,5.699884806e+01,9.682773011e+01,6.035422869e+00,2.918134939e+00,5.914376033e+00,9.300886707e+01,8.800419644e+01,4.727664201e+01,8.070662294e+01,1.000211516e+01,3.613795336e+01,6.222944729e+01,8.306679197e+01,7.056917791e+01,3.421071647e+01,9.210105743e+01,1.120868714e+01,7.808973258e+01,8.615629415e+01,8.037576466e+01,5.323045353e+01,5.934493565e+01,6.905144305e+01
2.844142777e+01,5.988703562e-01,8.640478912e+01,2.397259159e+01,6.283287172e+01,8.502410317e+01,4.304621027e+00,7.366311487e+01,5.643754473e+01,5.590790421e+01,4.179166512e+01,3.259193818e+01,8.415972204e+00,3.991960325e+01,6.854560876e+01,1.084698990e+01,2.595781241e+01,3.851460808e+01,8.903513641e+01,3.885655617e+01,2.580996945e+01,6.087487055e+01,9.763128103e+01,2.653115860e+01,9.424567068e+00,6.823740780e+01,7.534053267e+00,3.646827232e+01,2.043036401e+00,5.505931797e+01,3.709445711e+01,7.397409767e+01,6.262516094e+01,6.611188787e+01,5.937011552e+01,7.385638468e+01,6.569929894e+01,8.136273117e+01,2.659310315e+01,3.048903451e+00,1.932668762e+01
