v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56
1.657036669e+01,7.207606754e+01,9.960502281e+01,2.630682688e+01,5.953791930e+01,9.219245123e+01,6.547792960e+01,4.560660302e+00,6.776649693e+00,1.411974013e+01,7.861807449e+01,6.077117815e+01,4.482145109e+01,9.171067721e+01,9.841068663e+01,1.831461084e+01,6.045747327e+01,5.217753781e+00,2.867478157e+01,1.392513894e+01,7.287356659e+01,7.009122665e+01,4.730003578e+01,3.874203351e+01,6.630835346e+00,2.429908406e+01,6.876612807e+01,4.461603691e+01,4.199064873e+01,1.766390494e+01,4.154853612e+01,2.262926352e+01,9.605694695e+01,5.216560102e+01,9.846417283e+01,7.811118535e+01,2.747550103e+01,9.871812789e+01,2.643091975e+01,7.787382508e+01,9.805154389e+01,3.033470873e+01,7.684522680e+01,3.062626873e+01,4.131031223e+00,6.865084149e+01,2.736833481e+01,1.655100839e+01,1.910891341e+01,2.114825640e+01,8.529990991e+01,7.722308311e+01,9.466431817e+01,5.625367849e+01,8.523076054e+00,5.219672083e+01
7.770806007e+01,4.007128554e+01,8.496058466e+01,2.419559598e+01,7.522967935e+01,9.329710834e-01,6.703648807e+01,6.518699082e+01,1.735886853e+01,5.580482390e+01,8.926109717e+01,6.907224885e+01,6.509734636e+00,9.754295002e+01,9.387796074e+01,6.102087340e+01,5.857783658e+01,9.082941983e+01,5.996923458e+01,1.883378989e+01,1.087115782e+01,5.515629430e+01,9.215557513e+01,1.362238776e+00,2.931217758e+01,4.462426626e+01,1.339001803e+01,7.685244334e+01,1.073802940e+01,3.158909416e+01,8.535760603e+01,6.844526962e+01,2.750172491e+01,9.754114916e+01,8.884613091e+01,8.544931637e+01,8.925074625e+01,8.937638117e+01,3.485991539e+01,7.170978107e+01,6.093754041e+01,6.995682037e+01,8.845284300e+01,4.844580957e+01,8.625369274e+01,7.728688219e+01,8.167351235e+01,3.618238032e+01,6.460752759e+01,9.451953931e+01,3.175801053e+01,7.745409610e+01,5.396942604e+01,6.433632830e+01,2.822702211e+01,6.556506318e+01
2.006386727e+01,1.279116446e+01,9.302236697e+00,9.435519118e+01,2.533569253e+00,8.789798681e+01,8.901316108e+01,8.615085698e+01,9.273857513e+01,7.757505403e+01,9.565786305e+01,7.953793439e+01,9.586738927e+01,6.143094497e+00,4.112392732e+01,5.134752536e+01,6.305417161e+01,4.921482126e+01,1.502920773e+01,8.548839396e+01,7.957222755e+01,1.989981828e+01,8.399916246e+01,4.353606746e+01,8.261406185e+00,9.954675156e+01,9.740302254e+01,7.875561717e+01,6.715899926e+01,2.738505859e+01,5.626467356e+01,5.277369590e+01,7.942088563e+01,7.836415155e+01,7.356944478e+01,4.710901075e+01,8.097336608e+01,5.699902275e+01,4.477916688e+01,2.687678881e+01,4.709125773e+01,7.684734098e+01,1.817785908e+01,6.969482302e+01,2.068117387e+01,3.411472744e+01,9.513701140e+01,4.004465013e-01,5.208783744e+01,7.090552718e+01,1.214175199e+01,6.585958399e+00,3.354494233e+01,4.179325816e+01,4.518332093e+01,8.595409344e+00
9.191653338e+01,3.964680192e+01,9.111521826e+01,4.203698792e+01,7.547870197e+01,1.022836443e+01,6.250281342e+01,9.098763146e+01,6.808346299e+01,3.974566824e+01,5.998724649e+01,5.629920135e+01,8.224943157e+01,6.243541018e+01,6.722027119e+01,3.373274147e+01,8.407670635e+01,2.767940355e+01,8.171510975e+00,4.551978011e+01,4.166572888e+01,6.504463449e+01,3.677543895e+01,6.751406580e+01,2.259747747e+01,6.706147305e+01,4.293713456e+01,2.058683439e+01,3.067345499e+01,9.380484469e+01,4.867887061e+01,9.810465467e+01,7.045619091e+01,2.603594367e+01,1.988851745e+01,7.735541259e+01,4.703352103e+01,2.121091835e+01,1.751173687e+01,9.890431681e+01,3.315717197e+01,1.406174627e+01,8.452432469e+01,2.212373540e+01,7.128767989e+01,1.588251587e+01,6.493392485e+01,4.984693515e+00,4.809103498e+01,5.686108909e+01,3.494748393e+01,1.171638660e+01,7.835159491e+01,6.064542621e+01,6.819167585e+01,2.147985524e+01
2.492057554e+00,4.055884473e+01,3.180570462e+01,8.447375650e+01,3.743670307e+01,9.095076927e+01,2.911967774e+01,1.564333114e+01,4.150315174e+01,1.743306269e+01,3.954742712e+01,8.723260184e+01,4.179592606e+00,5.732784591e+01,2.331402360e+01,3.752042291e+01,1.532793946e+01,4.328640670e+00,8.942652383e+01,1.471182984e+01,9.224597877e+01,2.800305794e+01,9.409381623e+01,1.584323128e+01,9.969073189e+01,5.395166094e+01,8.882099683e+01,3.350232778e+01,5.090768682e+01,2.948250059e+01,9.085543769e+01,4.845026996e+01,1.517068965e+01,2.169331685e+01,1.534686623e+01,1.194868975e+01,1.971466899e+01,7.702950792e+01,2.176445555e+01,4.387211785e+01,3.016272144e+01,5.898990325e+01,2.739992944e+01,3.492767240e+01,7.140993657e+01,2.484521561e+01,4.582702631e+01,5.407665436e+01,7.858634082e+01,8.388114187e+01,3.572278281e+01,6.614014829e+01,8.659644761e+01,6.800478898e+01,5.355208382e+01,1.181575403e+00
8.474513270e+01,3.629363311e+01,3.347961421e+01,1.561119321e+01,5.702267016e+01,3.824865443e+01,7.010185259e+00,4.061129774e+01,3.718087020e+01,3.195168548e+01,8.459021239e+01,8.233065857e+01,1.639522319e+01,1.421661175e+01,1.441245892e+01,1.665953437e+01,4.430404104e+01,5.446891074e+01,1.844271182e+01,2.184863460e+01,6.818520486e+01,5.199369317e+01,3.092503331e+01,6.522082584e+01,6.185057025e+01,4.618749481e+01,9.936121248e+01,3.476722329e+01,1.883498874e+01,8.863853930e+01,2.919978388e+01,6.536239474e+01,2.421148301e+01,2.152544859e+01,6.468734458e+01,4.079642645e+00,5.821597824e+01,6.229974173e+01,9.005548452e+01,6.512238907e+01,1.054380849e+01,4.759653150e+01,1.485373257e+01,4.908888025e+01,1.789393264e+01,6.141127133e+01,6.950557951e+01,5.919366811e+01,7.195328681e+01,3.312008388e+01,2.850340646e+00,7.117630751e+00,3.500276337e+01,2.191521887e+01,3.460804998e+01,7.222793732e+01
6.890030321e+01,2.437060461e+01,2.919426361e+01,2.611675703e+01,8.842052158e+01,4.415696765e+01,7.601984594e+01,6.756506185e+00,4.734226016e+00,1.643623964e+01,4.234595436e+01,9.941413656e+00,2.301156733e+00,1.670893496e+01,8.958020628e+00,3.697069661e+01,7.783938744e+01,9.707110655e+01,2.453005810e+01,5.847478677e+01,2.113487310e+01,2.383083605e+01,8.459089051e+01,6.154161151e+00,7.998423064e+01,9.810392221e+01,4.530517902e+01,3.251886095e+01,8.878092365e+01,3.829545253e+00,8.838665779e+01,1.603340190e+00,3.461906839e+01,4.645932012e+01,4.740222045e+00,3.373518567e+01,1.323259592e+01,5.219796300e+01,1.336439768e+01,7.022651671e+00,6.616166225e+01,9.644886686e+01,6.866887719e+00,6.750365706e+01,4.656648191e+01,6.622447581e+01,4.517942195e+01,8.501563894e+01,7.202524567e+01,1.369273987e+01,5.395550095e+01,8.961511796e+01,6.023043897e+01,6.198168788e+01,7.323237395e+01,7.346683598e+01
9.894020155e+01,5.860994778e+01,3.518225917e+01,5.455499951e+01,1.511141082e+01,5.681656330e+01,5.319158174e+01,7.439449123e+01,3.950486471e+00,4.338701614e+01,2.765042261e+00,6.575696956e+00,4.521548849e+01,7.436577708e+01,4.894328823e+01,3.578412835e+01,3.386930424e+01,2.761232213e+00,8.499044962e+01,3.477247142e+01,8.045885688e+01,8.515075615e+01,9.007946971e+01,6.387818450e+00,9.096206647e+01,7.815497694e+01,8.668768760e+01,5.854200356e+01,9.488220484e+01,9.313552462e+01,6.177295428e+01,5.626449209e+01,1.402747111e+01,7.782968053e-01,4.861675937e+01,6.206019393e+01,8.784696082e+01,7.936612828e+01,3.133986028e+01,7.645797613e+01,2.472189181e+01,7.414424519e+01,9.796924611e+01,9.756386516e+01,6.558476802e+01,9.442575482e+01,4.889698663e+00,9.013232869e+01,7.954991304e+01,4.316134009e+00,3.626002002e+01,4.984570609e+01,1.473235050e+01,4.517850564e+01,1.238084004e+00,1.456840472e+01
9.103055789e+01,5.053120925e+01,8.795677077e+01,9.631059826e+01,4.075101134e+01,5.100899374e+01,5.408427873e+01,2.462479493e+01,4.449476555e+01,3.932284000e+01,2.658815829e+00,2.733035310e-01,2.855043384e+01,4.897764207e+01,2.354666538e+01,8.469378945e+01,6.622260654e+00,6.655055768e+01,8.536926062e+01,6.263368229e+01,2.742874345e+01,6.737832294e+01,4.655466564e+01,4.011332998e+00,2.484564902e+01,3.710394808e+01,8.458671218e+01,7.089566836e+00,3.446142841e+01,4.066690861e+01,7.666314384e+01,3.301643416e+01,2.483102889e+01,8.497669072e+01,5.262161241e+00,3.663861455e+01,2.829227518e+01,9.529942473e+01,1.989067899e+01,1.547231587e+01,2.185887702e+01,1.633147896e+01,6.226225654e+01,5.846471777e+01,4.506263321e+01,5.437398068e+01,4.523189431e+01,2.767435772e+01,2.100605043e+01,6.741772173e+01,9.948003504e+01,5.436215125e+01,7.040129195e+01,8.958585228e+00,9.719068763e+01,6.063534464e+01
8.300984155e+01,1.305664593e+01,3.869504928e+01,7.458859999e+01,6.912891518e+01,2.307825710e+01,1.228191055e+01,7.065013904e+01,3.627055566e+01,5.535219118e+01,7.203713923e+01,9.970056295e+01,2.294638446e+01,6.232803050e+01,5.369796760e+01,1.324194911e+01,9.068665382e+01,3.586084923e+00,9.311983763e+01,3.233998916e+01,3.717239798e+01,2.096837130e+01,1.653313548e+01,6.874781742e+01,9.488686369e+01,2.824777165e+01,1.351274058e+01,5.756619336e+01,1.924956263e+01,9.179156668e+01,4.780450968e+01,5.603112642e+01,6.370964627e+01,3.238715223e+01,2.971239298e+01,6.524101806e+01,3.901901282e+01,7.469711802e+01,8.846285527e+01,7.121430453e+01,1.603557350e+01,6.545264615e+01,9.244351301e+01,9.737674849e+01,8.090514327e+01,6.387917652e+00,3.722529832e+01,1.374778049e+01,1.087212684e+01,2.850717761e+01,1.264616609e+01,3.503160574e+01,1.412209226e+01,9.394225215e+01,3.223370493e+01,8.877882550e+01
1.256620575e+01,2.914916197e+01,4.145381595e+01,3.153931283e+01,9.847191576e+00,7.298346945e+01,1.039759676e+00,8.862158639e+01,7.319939010e+01,1.593409986e+01,1.059659837e+00,4.253167544e+01,6.621732182e+01,9.186415102e+01,8.562992364e+01,3.465390727e+01,8.450620196e+01,6.283834033e+01,7.948441161e+01,6.658167342e-01,7.789445682e+01,7.818436289e+01,5.157524487e+01,9.087574393e+01,4.720990791e+01,7.420360666e+00,6.115431257e+01,3.708415484e+01,2.092010759e+01,1.581087827e+01,5.133011547e+01,7.665434301e+01,3.275959731e+00,8.558020026e+01,9.330716802e+01,4.531193155e+01,3.306629492e+01,6.922024999e+01,7.679722517e+01,9.043665361e+01,5.780073667e+01,2.250836597e+01,1.774021386e+01,7.173132532e+01,7.793360570e+00,6.741576775e+01,1.985125896e-01,6.728442284e+01,9.524426572e+01,1.353600473e+01,7.937515184e+01,9.078830920e+01,9.289690516e+01,1.201311899e+01,5.529237842e+01,5.837112584e+01
7.558039741e+01,5.118482087e+01,9.026280734e+01,3.886532172e+01,5.463358155e+01,1.308272255e+01,8.078759713e+01,1.469819685e+01,9.408788140e+01,6.665104749e+01,7.650247901e+01,8.101313711e+01,3.977586560e+01,8.215624145e+01,5.416117572e+01,7.699255520e+01,9.833606463e+00,2.826970030e+01,4.199764157e+01,2.806922176e+01,4.644552474e+01,4.227655619e+01,2.336768068e+01,5.026458689e+01,2.235732680e+01,3.144039242e+01,3.547098118e+00,2.239440637e+00,2.282898401e+01,7.129126540e+01,6.728745090e+01,9.157095113e+01,1.760283377e+01,6.222715741e+01,9.911744225e+01,2.635647118e-01,8.038308139e+00,5.978735535e+01,5.553779543e+01,1.327897641e+01,8.085061279e+01,5.635334728e+00,3.136118720e+01,2.204654601e+01,3.689023600e+01,6.019065658e+01,4.297953420e+01,1.179752051e+01,2.355949027e+01,3.727684928e+01,9.645908133e+01,9.546802504e+01,1.397846845e+01,5.525501893e+00,4.713728081e-01,6.639537059e+01
2.057166982e+01,8.259141227e+01,3.037951072e+01,7.947895611e+01,3.619162860e+01,1.831827356e+01,7.760978188e+01,8.103223014e+01,6.210861416e+01,1.699236862e+01,4.341949844e+01,4.290770011e+01,1.099022639e+01,1.776651684e+01,7.357990795e+01,5.461766011e-01,1.466150334e+00,7.018187588e+01,9.091145849e+00,4.962405577e+01,2.267360381e+01,7.484270370e+01,2.210597682e+01,5.438383991e+01,4.483502595e+01,5.382518753e+01,9.755352942e+01,1.291340347e+01,9.035498526e+01,4.256392605e+00,5.994392935e+01,9.829707198e+01,7.608891605e+01,3.668457275e+00,6.224070085e+01,1.754708124e+00,2.493091109e+01,5.831195222e+01,5.755144813e+01,6.404516347e+00,4.575945288e+00,4.414883124e+01,9.387382314e+01,5.279215633e+01,1.279167934e+01,3.230687002e+01,2.486293511e+01,8.234156113e+01,3.893340717e+01,2.036985563e+01,3.976420704e+01,8.017811998e+00,8.251317148e+01,7.830414054e+01,6.158322321e+01,6.840832587e+00
9.785258712e+01,5.244199201e+00,9.188965834e+01,7.841725963e+00,8.113070442e+01,8.188081024e+01,8.627556177e+01,8.607478419e+01,6.110135546e+01,6.686059226e+01,5.680166461e+00,8.377661955e+01,6.737576170e+01,8.561829955e+01,4.245614891e+01,5.118633317e+01,6.338419616e+01,1.057256307e+01,1.575602330e+01,2.949236693e+01,4.512327868e+01,5.700719368e+01,1.062353164e+01,1.811195872e+01,3.173413739e+01,5.094642560e+01,9.780697165e+01,2.897046188e+01,6.506624344e+01,9.598517911e+01,7.290736035e+01,5.636382442e+01,5.880765609e+00,9.737754590e+01,4.507855240e+01,3.112803774e+01,6.974945503e+00,8.644363346e+01,6.103950649e+01,2.483773675e+01,9.519120636e+01,5.484166874e+01,8.590926762e+01,9.763438234e+01,7.844913102e+01,5.579105117e+01,5.949409568e+01,5.192860196e+01,3.046716332e+01,5.314984774e+01,4.179927747e+01,9.430736711e+01,4.241178619e+01,4.100100519e+01,5.226047084e+01,8.216492085e+01
6.804978436e+01,3.282290520e+01,5.192744011e+01,2.338430674e+01,7.811016404e+00,3.234966377e+01,5.773873653e+01,7.689143679e+01,4.580719406e+00,4.828106552e+01,8.744334230e-01,4.937735069e+01,9.331390809e+01,1.513525268e+01,7.590810704e+01,6.042639701e+01,5.326173342e+01,2.680164513e+01,9.932091239e+00,4.471278721e+01,7.292763163e+01,7.420210556e+01,8.523487112e-01,5.417917389e+01,8.826847742e+01,7.217091951e+01,1.107731410e+01,9.195509655e+01,6.085233489e+01,6.245246637e+01,5.485591660e+01,1.055732944e+01,6.087208753e+01,4.213370930e+01,4.967661741e+01,6.612296950e+01,2.551181320e+01,6.096426975e+01,2.021804150e+01,4.805711089e+00,5.356478885e+01,4.054417164e+01,1.799445342e+01,6.398921692e+01,3.278246138e+00,7.286625895e+00,2.656561515e+01,8.358086591e+00,4.455834488e+01,1.400668627e+01,1.834439986e+01,9.728063703e+01,3.840502382e+01,5.845902823e+00,1.478460733e+01,1.812361077e+01
5.430765088e+01,3.417976701e+01,8.385219905e+01,4.541443626e+01,1.736607969e+01,7.985218846e+01,6.358647410e+01,4.755171762e+01,1.775350164e+01,8.377212756e+01,7.622744488e+01,9.636112915e+01,9.632695040e+01,8.163555756e+01,5.043029252e+01,9.733946327e+01,5.413392326e+00,7.798226471e+01,9.213626675e+01,1.051590687e+01,9.053618057e+01,6.807899670e+01,7.857213277e+01,7.273250899e+01,8.487647103e+01,3.695262314e+01,6.801625141e+01,6.387918823e+01,4.933825096e+01,7.363784142e+01,5.043117943e+01,7.282167261e+01,1.417234494e+01,3.959142587e+01,8.293323949e+01,3.719552922e+01,9.219317400e+01,4.431817392e+01,9.452790459e+01,1.706281350e+01,2.014953505e+01,2.365027588e+01,3.338999249e+01,9.979967062e+01,3.114324922e+01,7.615426826e+01,6.226854640e+01,8.490333778e+01,8.251941781e+01,6.027623426e+01,7.237631195e+01,2.249821335e+01,4.342554305e+01,5.045678792e+01,5.085006305e+01,4.905114542e+01
3.628328521e+01,8.319264646e+01,5.472995019e+01,5.449042016e+01,9.725099220e+01,4.027985517e+01,3.948588307e+01,4.135829343e+01,5.596631257e+01,5.037503469e+01,6.273470246e+01,6.253082870e+01,3.438358946e+01,2.890148828e+00,6.647004966e+01,2.592758950e+01,1.564763400e+01,3.634124873e+01,9.778330607e+01,2.276882521e+01,3.133598374e+01,7.820230375e+01,5.842012137e+01,7.145572949e+00,7.486414182e+01,2.658139801e+01,7.916263971e+01,8.899947401e+01,5.377146406e+01,6.793997272e+01,2.234015082e+01,6.585566277e+01,3.897889067e+01,1.746516631e+01,3.892479318e+00,5.015415129e+01,8.713074782e+01,9.947636536e+01,8.425501749e+01,5.939566637e+01,2.740669487e+01,6.500261071e+01,2.203054032e+01,1.022640043e+01,9.385938111e-01,5.812954514e+01,5.891941678e+01,4.671261985e+01,9.175779770e+01,9.598347046e+01,9.619262570e+01,4.877367866e+01,8.244747058e+01,6.204458050e+01,4.840085376e+01,7.132830026e+01
