v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49
1.378469237e+01,7.816110665e+01,7.245422410e+01,9.905371806e+01,8.592989368e+01,6.666430550e+01,1.730865153e+01,5.473466010e+00,6.654006936e+01,5.182194989e+01,9.857789618e+01,9.514755153e+00,6.493520503e+01,2.411624297e+01,2.524197696e+01,9.931853970e+01,7.262327137e+01,5.205966255e+01,4.428704866e+00,5.101655518e+01,4.178126398e+00,3.579771178e+00,8.485377309e+00,5.320493163e+00,8.825488746e+01,7.360991454e+01,5.918612938e+01,1.997360999e+01,4.983808917e+01,8.135409718e+01,3.963457038e+01,5.233013035e+01,6.799434838e+01,4.293749198e+00,6.697392177e+01,3.436855613e+01,4.123798859e+01,5.451689424e+01,3.096725303e+01,8.647174110e+01,5.042778120e+01,5.767638356e+01,9.029830170e+01,7.898812557e+01,7.146252269e+01,3.967643878e+01,5.546890364e+01,2.005225264e+01,9.679097795e+01
7.859761347e+01,6.417449359e+00,8.038975673e+01,4.761374080e+01,1.081155426e+01,4.960877529e+01,7.214520662e+01,9.492651929e+01,1.635780798e+01,1.848237019e+01,6.607556113e+01,2.606067480e+01,3.350075306e+01,7.961377579e+01,2.983841450e+01,9.110507158e+01,8.465099080e+01,5.725026908e+01,4.119459494e+01,1.094938515e+01,4.334846671e+01,7.304848721e+01,4.922219892e+01,8.794765901e+00,9.997421397e+01,5.894596840e+01,6.847813244e+01,2.815928343e+01,7.470958559e+01,5.768532722e+01,4.207435645e+01,4.436929554e+01,6.068409312e+01,8.960356357e+01,3.161827427e+01,4.173222024e+01,1.445972440e+01,7.720919930e+01,3.497333331e+01,2.211191869e+01,3.351194363e+00,9.890384510e+01,7.706021211e+01,2.313604749e+01,1.274150581e+01,4.210020449e+01,7.569810649e+01,9.720513534e+00,1.621971163e+01
7.742074195e+01,2.697608049e+01,4.139704788e+01,1.689633609e+01,5.774438515e+01,7.415250001e+01,2.578007946e+01,3.569706481e+01,2.653609763e+01,4.105626252e+01,6.883476472e+01,2.936700847e+01,3.450391950e+01,7.503290226e+00,2.354899085e+01,4.009532402e+01,5.703516637e+01,8.327089070e+01,7.998879449e+01,2.726410730e+01,8.195873777e+01,7.495415179e+01,7.652673616e+01,2.280653155e+01,3.158873642e+00,2.844135759e+01,7.617887672e+01,5.408450886e+00,6.984386669e+00,2.406725531e+01,8.413630692e+01,2.260267974e+01,2.948911158e+01,9.381635215e+01,4.130552524e+01,9.071468486e+01,4.347667945e-01,6.434064627e+01,8.836015441e+01,5.487937622e+00,9.070222346e+01,7.174197076e+01,5.766125201e+01,3.177018336e+00,4.790565992e+01,9.591589649e+00,2.627374909e+01,1.695621753e+01,6.455458501e-01
4.654835778e+00,4.066721989e+01,9.727889206e+01,5.402620678e+00,6.349307303e+00,9.876284067e+01,4.839574632e+01,9.858775924e+01,7.826840226e+01,5.645929322e+01,5.752370820e+01,3.783804184e+00,7.801785293e+01,5.558090002e+01,8.346802938e+01,6.385854046e+01,6.532883994e+01,1.535314336e+01,2.364521973e+01,1.303482105e+01,4.243096220e+01,7.097799840e+00,5.294642856e+01,7.364329565e+01,5.847500805e+00,8.804563461e+01,7.331616745e+01,8.197520544e+01,2.068727632e+01,9.994416745e+01,1.158003186e+00,5.962534500e+01,7.290219774e+01,2.788448445e+01,1.177269814e+01,6.649584413e+01,3.764849037e+01,2.775181548e+01,3.448934258e+00,9.778291112e+01,2.578990413e+01,2.446022898e+01,7.496431376e+01,9.037737640e+00,9.123988408e+01,5.627738082e+00,6.685753323e+01,8.446245218e+01,4.538452386e+01
9.351173212e+01,3.960200332e+01,5.269206958e+01,5.363302447e+00,9.356032097e+01,7.853899957e+01,2.816156346e+01,9.958271570e+01,8.481065074e+01,6.999575142e+01,8.215716981e+01,9.954279374e+01,5.369566651e+01,4.866757283e+01,1.245950186e+01,2.282949642e+01,7.391484129e+01,7.975157115e+01,1.229020817e+01,8.234036770e+01,5.321200217e+01,7.104726982e+01,9.657692778e+01,7.721202774e+01,7.506556285e+01,6.951777189e+01,4.047682442e+01,2.662782165e+01,9.926940298e+01,9.470807592e+01,4.572508205e+00,8.439423663e+01,2.693176149e+01,5.341525156e+01,5.946678480e+01,1.738680040e+01,4.370272361e+01,7.097208190e+01,3.674551194e+01,1.344328715e+01,1.431417522e+01,3.975339675e+01,5.712654906e+01,2.723896246e+01,2.032383145e+01,2.681336561e+01,4.511950061e+01,6.547871913e+01,2.802045550e+01
7.225611380e+01,3.262111674e+00,2.948027414e+01,8.675636435e+01,7.358450442e+01,4.984443930e+01,6.582296545e+01,7.655842370e+01,5.159612223e+01,4.083869699e-01,2.841538151e+01,3.174239094e+01,5.392390067e+01,5.436218062e+01,2.495891975e+01,9.773313693e+00,9.683078416e+01,3.813423451e+01,1.575307407e+01,1.086894967e+00,7.268053530e+01,2.930449509e+01,2.727699886e+00,7.737729820e+01,5.707721505e+01,4.004205107e+01,8.016155762e+01,7.265987667e+01,3.701424847e+01,9.111169882e+01,2.001376426e+00,5.395606717e+01,5.086413148e+01,4.932671561e+01,2.802468933e+01,1.391918068e+01,9.878242597e+01,4.313661089e+01,2.029344122e+01,9.908961521e+01,7.614679060e+01,5.613401920e+01,5.773005581e+01,7.930727881e+01,7.155556961e+01,7.020592987e+01,7.275129622e+01,7.123765814e+01,3.474630616e+01
1.011009776e+01,2.495361115e+01,4.456869576e+01,1.379654265e+01,1.602337857e+01,9.201283211e+01,9.867868040e+01,5.789644070e+01,5.445345203e+01,6.350436794e+01,4.617385948e+01,1.327519638e+01,2.299996183e+00,9.719480456e+01,2.711232471e+01,8.594129205e+01,1.673492816e+01,5.832009079e+01,7.686195242e+01,8.435641615e+01,7.438560385e+01,9.204617688e+01,7.364302778e+01,1.012682718e+01,8.306675535e+01,9.579308766e+01,9.770312962e+01,5.788997552e+01,7.808609194e+01,5.174722695e+01,7.059515168e+01,9.397473507e+00,1.444933451e+01,5.178036141e+01,8.443543192e+00,3.613803262e+01,2.169417883e+00,6.704116086e+01,4.499042921e+01,6.982567903e+01,2.893955179e+01,6.083000606e+01,8.476939533e+00,6.403115498e+01,1.825429152e+01,9.991902799e+01,9.475307770e+01,5.475696774e+01,9.405998280e+01
4.559040455e+01,6.437715783e+01,9.448866853e+01,8.587752188e+01,1.293691051e+01,7.468116101e+01,5.332533613e+01,4.757928192e+01,7.759802699e+01,7.317399518e+01,1.327241402e+01,7.469419725e+01,9.954980837e+01,4.315458153e+01,4.064990877e+01,3.280757778e+01,3.129828642e+01,8.065618604e+01,1.673101586e+01,7.839280043e+01,5.285028787e+01,4.817443238e+01,7.790563416e+01,3.270632702e+01,3.383529067e+01,8.563844829e+01,2.785978790e+01,4.498439641e+01,8.692862915e+01,2.465568895e+01,7.893353564e+01,4.681229375e+01,5.151316808e+01,2.716177579e+01,6.540011378e+01,6.479479034e+01,1.457674787e+01,6.799407688e+01,2.837251196e+01,7.585282589e+01,3.426725765e+01,8.307774701e+01,5.270602049e+01,8.809142667e+01,1.350670813e+01,8.206316022e+01,3.928122934e+01,7.891674328e+01,8.565637804e+01
2.772559489e+01,2.347419735e+01,6.031536465e+01,6.611862054e+00,8.486623879e+01,1.543663127e+01,8.500924232e+01,5.937679710e+01,9.980072674e+00,7.277822883e+01,3.997834997e+01,9.237611242e+01,1.744460073e+01,4.908960759e+01,4.087414947e+00,5.042373781e+01,3.555032386e+01,4.639915345e+01,4.938187893e+01,7.761428714e+00,5.904041155e+01,6.255579948e+01,2.297718710e+00,7.741966692e+01,7.775944334e+01,8.393684084e+01,9.022832417e+01,9.611205615e+01,4.458345612e+01,4.932984399e+01,8.620587885e+01,2.537352524e+01,4.139407581e+01,7.723544229e+01,3.463251796e+01,8.180146528e+01,3.871384835e+01,1.261939890e+01,4.781679720e+01,7.650947883e+01,8.375016185e+01,3.903003502e+01,5.168343764e+01,8.894140149e+01,7.940587448e+01,5.593082968e+00,4.582213406e+01,8.884187814e+01,9.079609373e+01
8.872223136e+01,6.666247515e+01,6.890040574e+01,4.383663577e+01,5.468362454e+01,6.498512069e+01,6.098485657e+01,2.528614939e+01,2.305374602e+01,8.212616962e+01,9.584378016e+01,3.554849229e+01,9.613748574e+01,2.124460580e+01,7.799452637e+01,9.026690458e+01,9.533472284e+01,7.362811258e+01,2.281194685e+01,2.908568242e+01,7.484180281e+01,4.401661489e+01,1.719717727e-01,2.153028986e+01,1.506284417e+01,7.637394203e+00,1.898488164e+01,8.114624333e+01,1.591066904e+01,4.027558976e+01,6.622948721e+01,9.285881708e+01,3.313416076e+01,8.006681639e+01,4.919780330e+01,9.316751245e+00,4.314089541e+01,4.289034804e+01,6.511402974e+01,2.841437819e+01,1.690036944e+01,6.674181515e+01,3.631237020e+01,7.922725190e+01,2.236797657e+01,1.192603785e+01,7.914515036e+01,4.631312612e+01,8.655013068e+01
5.446573022e+01,9.649228592e+01,1.593561706e+01,8.913115948e+00,7.322587031e+01,8.933335138e+01,4.642892811e+01,7.813211657e+01,7.503831290e+01,6.150416540e+01,6.922667034e+01,4.810762589e+01,1.856471255e+01,7.800455635e+01,8.438254768e+01,7.837818553e+01,9.824097131e+01,3.756020661e+01,3.451221533e+00,5.696477645e+01,7.831279570e+01,7.208012274e+00,4.471726087e+01,9.830291190e+01,4.566597290e+01,8.548008671e+01,1.979351885e+01,2.692844103e+01,2.444815310e+01,1.486467462e+01,1.174687741e+01,7.096672287e+01,6.938633401e+01,4.906579245e+01,5.613508394e+01,5.149707720e+01,9.988470806e+01,7.560440607e+01,5.314596416e+01,9.665579424e+00,6.129119438e+01,9.591833999e+01,1.414038684e+01,6.457512572e+01,5.983221570e+01,2.179116735e+01,2.339630903e+01,1.351269578e+00,6.065293183e+01
6.617527363e+01,2.755028795e+00,3.941686426e+01,6.864507002e+01,1.875343699e+00,7.358891816e+01,9.241409660e+01,1.949440596e+01,9.802128826e+01,4.456819529e+01,1.753551723e+01,3.850513265e+01,5.175702542e+01,9.789711979e+01,6.784825505e+00,8.880335105e+01,4.720396709e+01,7.125542138e+01,6.490801505e+01,1.037771594e+01,6.061868232e+01,8.394207319e+01,9.488660017e+00,7.887956188e+01,1.896922844e+00,4.701534852e+01,4.928754716e+01,6.614964502e+01,4.536669373e+01,8.642034068e+01,7.084874330e+01,3.289547215e+01,5.673085482e+01,9.361125987e+01,6.879235220e+01,5.292796389e+01,5.033909889e+01,6.947251661e+01,2.645476559e+01,6.346791617e+01,3.149128740e+01,6.374908703e+01,7.337177476e+01,8.424977191e+01,8.028300809e+01,2.984626746e+01,3.737980054e+01,9.612798406e+01,4.255102782e+01
4.763034143e+01,8.043493014e+01,9.874668924e+01,7.691548536e+01,3.329301747e+01,1.694597845e+01,9.785383184e+01,1.543636514e+01,7.608298462e+01,2.909798301e+01,6.964030026e+01,1.719286268e+01,7.341478948e+00,3.463184522e+00,4.530439528e+01,3.402778837e+01,3.491284514e+01,3.691839750e+01,4.199779449e+01,5.332437722e+01,7.717358307e+01,2.161954605e+01,3.170130389e+01,6.210480452e+00,6.528612843e+01,2.600367182e+01,1.106503094e+01,9.188329274e+00,9.337293539e+01,3.184996355e+01,9.940814391e+01,6.306868106e+01,5.723169107e+01,3.516763919e+01,8.040205458e+01,4.280590137e+00,8.010681396e+00,4.426589036e+01,6.715491672e+01,2.678766046e+01,9.444410764e+01,3.429921324e+01,4.961118271e+01,7.326663058e+01,3.501285399e+01,9.013761846e+01,2.795146586e+01,3.463015405e+00,4.467722856e+01
3.761313265e+01,5.919741023e+01,3.469453639e+01,7.124552540e+01,7.559049229e+01,9.549635240e+01,9.307402878e+01,6.821314614e+01,2.472733621e+01,4.198844899e+01,8.915501389e+01,3.221755019e+01,2.535613095e+01,1.628583885e+01,8.400523660e+01,2.648582145e+01,6.407652500e+01,4.797371929e+01,6.906868584e+01,6.032211056e+01,2.330601892e+01,3.753826493e+01,9.938631382e+00,7.183680152e+01,7.030398488e+01,7.195117188e+01,3.984320247e+01,3.228483092e+01,5.522145717e+01,3.629465699e+01,9.277007371e+01,4.452096572e+00,4.723046658e+01,2.261995472e+01,9.245270181e+00,6.006967505e+01,3.150974083e+01,5.577061218e+01,8.721119202e+01,4.214592192e+01,7.858674663e+01,7.807192461e+01,1.793080828e+01,8.231026838e+01,9.591093534e+01,8.034196662e+01,8.040231415e+01,2.608724167e+01,2.695364376e+01
2.831348096e+01,1.487604681e+01,4.086926594e+01,8.035444173e+01,8.743203955e+01,9.044743994e+01,8.040744931e+01,7.507516675e+01,4.244573419e+00,9.014601855e+01,8.719578115e+00,1.166530621e+00,9.682147633e+01,2.988615938e+01,9.910273796e+01,4.018167233e+01,5.217538007e+01,1.060136470e+01,8.776436011e+01,6.359700516e+01,9.267140134e+01,3.947033161e+01,6.019669845e+01,7.866732372e+01,4.640204617e+01,6.291887422e+01,8.423205091e+01,7.488116082e+01,4.308506948e+01,7.967486104e+00,9.451971406e+01,6.475161748e+01,2.948723000e+00,1.139205944e+01,4.052547783e+01,3.006030921e+01,7.517930454e+01,2.003270828e+01,1.954530457e+01,2.523468365e+01,8.140123120e+01,9.272383225e+01,4.073561944e+01,2.459813513e+01,1.935153501e+01,7.415939585e+00,8.365250995e+01,9.380677969e+01,4.832118157e+01
5.411932599e+01,4.285716497e+01,2.819469221e+01,4.903393505e+01,8.054810503e+01,7.019826354e+01,3.806581110e+01,4.996421909e+01,2.131622356e+01,2.045027591e+01,1.335114647e+01,8.459921471e+00,5.262052724e+01,5.321876579e+01,7.653683639e+01,8.514880742e+01,5.863418514e+01,2.832939894e+01,4.739452925e+01,7.438245929e+01,8.791231605e+01,5.726217500e+01,1.787456353e+00,4.363083398e+01,7.450585760e+01,1.574301866e+01,9.439348513e+01,5.533062420e+01,9.729982303e+01,6.431763590e+01,3.929535879e+00,4.411941318e+01,6.857187294e+01,6.950700161e+01,5.213525245e+01,5.725348696e+01,8.253596917e+01,5.844587301e+01,8.221508767e+01,6.768546216e+01,6.727709377e+01,4.266747841e+01,2.798253795e+01,5.607389290e+01,6.774047554e+01,1.706046066e+01,3.624146874e+01,7.363188701e+01,2.663423734e+00
4.696038464e+01,7.582403083e+01,3.703345229e+01,6.156877123e+01,7.774330047e+01,4.950945544e+01,4.406604303e+01,7.764924324e+01,1.467026045e+01,4.401762003e+01,4.623394104e+01,5.544467167e+00,1.214939812e+01,9.008374137e+01,5.129886348e+01,6.002462113e+01,6.325067986e+01,5.788044657e+01,9.003507473e+01,5.899554303e+01,3.872104705e+01,4.052059295e+01,8.028913375e+01,8.868125218e+01,8.106324353e+01,1.798928382e+01,3.395919999e+01,2.025772601e+01,7.557657853e+01,7.541329992e+00,1.362470823e+01,7.824228676e+01,7.422045900e+01,4.700036722e+01,9.545002376e+01,7.999087055e+01,4.158537775e+01,2.573609704e+00,2.284276970e+01,1.694436115e+01,5.274724621e+01,3.688750413e+01,3.760064792e+01,5.322739147e+01,2.842944059e+01,7.904824175e+00,7.177868899e+01,3.611305952e+01,9.527569440e+01
6.311328146e+01,4.996820490e+00,8.163830148e+01,6.139388214e+01,1.134766823e+01,2.529792036e+01,4.289178470e+01,2.468914344e+01,8.105647641e+01,4.386252921e+01,2.190629229e+01,1.310453446e+01,8.844640277e+01,3.375219404e+00,8.133730322e+01,1.217773893e+01,9.089691195e+01,9.480177051e+01,2.666684858e+01,5.392802374e+01,1.989084357e+01,8.423433226e+01,4.400181224e+01,1.036990776e+01,7.196808491e+01,1.913559319e+01,8.364633919e+01,2.649315235e+01,1.408589047e+01,6.427242455e+01,3.660613468e+01,9.080980613e+01,7.116918839e+00,7.018353730e+01,9.585247682e+01,1.384139779e+01,6.231066183e+01,9.551459373e+01,9.806478020e+01,9.239325599e+01,8.438539515e+01,8.386927193e+01,6.499150985e+01,3.041039063e+01,5.622218025e+01,3.085464041e+01,6.639831605e+01,6.444252003e+00,4.201025428e+01
9.400206065e+01,5.508575255e+01,3.898179629e+01,5.113535970e+01,7.864009886e+01,6.310254323e+01,6.629677466e+01,5.141327435e+01,8.746131771e+01,9.570161922e+01,2.302383649e+01,1.155455519e+01,8.052762835e+01,1.433938512e+01,6.079994492e+01,8.049661308e+01,5.604662294e+01,4.813302944e+01,8.306803236e+01,2.983513214e+01,1.246788683e+01,2.993032956e+01,9.290794105e+01,1.147514311e+01,5.215965620e+00,8.895990960e+01,1.122866465e+00,1.861302885e+01,7.355390451e+01,7.711702291e+01,3.361260890e+01,7.718037283e+01,6.899878554e+01,5.919968517e+01,1.020592631e+01,6.226116791e+01,6.627689604e+01,6.164518244e+00,2.606494324e-01,3.161516341e+01,8.878282008e+01,1.217348423e+01,3.400331291e+01,6.148742459e+01,5.025938230e+01,8.854547289e+01,5.004563559e+01,1.859894114e+01,3.042926022e+01
8.851849533e+01,4.126421800e+01,6.600810767e+01,6.058177025e+01,4.131867980e+01,9.263088806e+01,1.369809509e+01,6.424271866e+01,4.054689344e+01,3.161520937e+01,5.761656305e+01,5.896264190e+01,8.766794023e+01,6.699846700e+01,4.215556961e+01,4.530883325e+01,5.385166558e+01,1.165189397e+01,2.961644080e+01,4.666091217e+01,4.176622085e+01,6.218030466e+01,6.584383987e+01,4.085167562e+01,2.552676430e+01,5.563860364e+01,9.391694628e+01,1.311303688e+01,9.132940864e+01,2.714290192e+01,2.896788257e+01,9.858700405e+01,9.711569160e+01,1.754786640e+01,5.878772720e+01,2.486618093e+01,9.505249335e+01,9.280594301e+01,2.112662803e+01,5.604462448e+01,4.606155196e+01,9.951853619e+00,9.438226244e+01,6.728136234e+01,9.075180483e+01,8.908474376e+01,1.902827470e+01,6.369018913e+01,7.520427463e+01
7.056066612e+01,3.604384975e+01,2.210369782e+01,7.027036304e+01,2.526991079e+00,5.715231044e+00,6.290655910e+01,9.024579524e+01,9.181686080e+01,8.976662938e+00,9.810816625e+01,7.415106806e+01,8.889879473e+01,6.985325111e+01,1.623949943e+01,4.394613995e+01,3.072875833e+01,5.224610434e+01,6.729297117e+01,4.265045893e+01,2.199305552e+01,1.372958299e+00,6.325284507e+01,6.653341739e+01,6.778012006e+01,6.885971638e+01,1.395289631e+01,1.116196563e+01,2.960191885e+01,5.944496121e+01,8.976609505e+01,1.626427247e+01,8.592066080e+00,1.846055512e+01,2.744771483e+01,1.339646608e+01,6.596760016e+01,7.600739509e+01,1.403921162e+01,8.130183328e+01,1.263177493e+01,3.252247791e+00,7.176256933e+01,7.311769029e+01,4.100092113e+00,6.201458392e+01,9.622765066e+01,6.195333453e+01,9.215115510e+01
