v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29
8.233593727e+01,1.394050084e+01,8.614194666e+01,3.208699640e+01,5.749447056e+01,6.982304817e+01,6.363513189e+01,1.057459871e+01,3.922288785e+00,9.723614322e+01,2.391959645e+01,4.319661375e+01,4.681077028e+01,8.058795028e+01,3.582979012e+01,6.639837568e+01,3.484631845e+01,3.414363989e+01,7.896668238e+00,1.006400130e+01,7.141288830e+00,7.673752572e+01,9.032843366e+00,8.735390605e+01,6.300350853e+01,3.262969603e+01,9.174423035e+01,4.253540856e+01,8.390479778e+00
3.388489735e+01,4.627183705e+01,5.106794547e+01,7.330321602e+01,7.748980886e+01,5.586461243e+01,1.454875396e+01,2.925698357e+01,4.028196427e+01,8.779909348e+00,3.098268322e+01,2.782536111e+01,1.718978588e+01,9.768107390e+01,5.814884069e-01,5.106254030e-01,8.299577410e-01,6.593874063e+01,1.827470115e+01,8.750642109e+01,4.997445609e+01,2.532340658e+01,8.637092776e+01,4.132067645e+01,7.467500416e+01,2.020765848e+01,4.308053123e+01,3.065872746e+01,7.016149509e+01
1.670814247e+01,1.171189494e+01,6.647947908e+01,7.590297507e+01,1.803795925e+01,5.770829959e+01,8.987785670e+01,8.914981435e+01,1.424038099e+01,7.127587312e+01,6.635249010e+01,9.496091400e+01,1.584339482e+01,2.412844044e+01,7.546873507e+01,5.947604945e+01,5.881516177e+01,8.440529533e+01,1.490775797e+01,6.179963026e+01,2.474772381e+01,8.122480919e+01,3.863895912e+01,5.727566521e+01,9.112328538e+01,3.391342776e+01,3.134783471e+01,4.616470887e+01,3.656491707e+01
7.730648178e+01,2.575135294e+01,3.475890375e+01,8.338008600e+01,9.034354693e+00,6.763239702e+01,7.463289893e+01,6.784485564e+01,1.071330511e+01,6.059960739e+01,2.870946512e+01,7.939659614e+01,8.589071764e+01,1.032199158e+01,5.722235125e+01,3.107209200e+01,2.130469452e+00,1.499463571e+01,8.996532274e+01,1.956296133e+01,1.028405481e+01,3.898531285e+01,8.066037836e+01,1.500836897e+01,3.546780592e+01,2.757029715e-01,7.349679372e+01,2.968146979e+01,5.109604274e+01
4.933765611e+01,1.748092739e+01,2.388439211e+01,5.762254118e+01,2.308073732e+01,5.224749405e+01,3.766943808e+00,4.816598078e+00,9.897967726e+01,5.515011404e+01,9.143776021e+01,3.975748066e-01,4.542227406e+00,1.170632400e+01,9.907455685e+01,5.453867694e+01,5.347893109e+01,4.897690439e+01,1.723764847e+01,7.125273533e+01,1.949760432e+01,9.699475859e+01,2.518453429e+01,4.402897047e+01,1.352979058e+01,8.313769236e+00,3.055354486e+01,1.486941038e+01,5.864244806e+01
6.743519312e+01,4.217931482e+01,4.813043761e+01,1.860391737e+01,9.740510959e+01,5.171434248e+01,6.855633933e+01,8.298232261e+01,3.432168701e+01,5.323572750e+01,9.121289957e+01,8.127683791e+01,5.429149841e+01,3.601460086e+01,9.337361924e+01,5.331926044e+01,3.683673974e+01,6.723216088e+01,5.832199673e+01,8.779084509e+01,3.535879951e+01,6.348288543e+00,9.141698204e+01,9.531768829e+01,9.231422737e+01,5.120050693e+01,2.409552365e+01,5.158711154e+01,1.532275438e+01
2.597929107e+01,8.479669519e+00,5.819504644e+01,6.275549417e+01,6.922947131e+01,6.515154692e+01,6.608309283e+01,9.050631711e+01,2.599261367e-01,8.092877554e+01,6.503525176e+01,9.946215375e+01,8.646936325e+01,9.132712430e+01,5.049891809e+01,6.763656326e+01,6.970213770e+01,5.160198244e+01,9.113724060e+01,9.177732133e+01,8.979677556e+01,7.645556591e+01,1.197070181e+01,9.667406668e+01,2.287516579e+01,3.454847826e+01,9.593273079e+01,3.400678386e+00,9.939016471e+01
4.784375869e+01,6.603904439e+01,4.054840869e+01,9.962670131e+01,9.911166361e+01,5.929476705e+01,8.253958400e+01,8.454289712e+01,1.864206485e+00,9.969271443e+01,7.494267765e+00,3.476837894e+01,4.054791456e+00,9.986336377e+01,2.056839138e+01,8.733830522e+01,2.755491626e+01,5.151181571e+00,8.347888396e+01,8.405858861e+01,2.322108036e+01,5.980694392e+01,8.490146179e+01,9.706125659e+01,6.211210947e+01,2.229566507e+01,5.858937887e+01,9.240448568e+01,4.429493818e+01
9.667771225e+01,7.552515337e+01,8.941097853e+01,7.280690862e+01,4.703834119e+01,5.142879719e+00,3.036475585e+01,3.323472855e+01,7.329770920e+01,3.888239908e+01,9.063255413e+01,7.191089493e+01,9.325473962e+01,1.461958738e+01,8.139002273e+01,4.607910781e+01,7.535889018e+01,4.522451742e+00,5.973864990e+01,3.790555859e+01,3.907091415e+01,2.641756706e+01,6.218084568e+01,5.496938076e+01,3.837970798e+01,8.935972196e+00,7.181022580e+01,9.255452017e+01,6.429951666e+01
1.541917294e+01,1.757217282e+01,9.119048810e+01,7.189657172e+01,7.130472641e+01,6.175050202e+01,6.108277846e+01,1.176932924e+01,4.082208801e+00,2.070985767e+01,7.112365529e+01,7.385071383e+01,9.466445298e+01,7.728418420e+01,5.127917572e+01,6.480269529e+01,4.313626880e+01,6.950822629e+01,1.613989370e+01,2.075626805e+01,5.792543481e+01,3.435494730e+01,6.222501782e+01,8.525279368e+01,3.640714493e+01,9.884596302e+01,5.058479097e+01,3.998540121e+01,6.209200935e+01
5.183588520e+01,3.377630398e+01,6.443203327e+01,9.431990492e+01,3.510891178e+00,1.239669214e+01,1.106938621e+01,5.341089598e+01,4.726292693e+01,3.028128271e+00,3.388045069e+01,3.804192482e+01,8.703860936e+01,8.879697732e+01,2.269545742e+01,5.768436693e+01,4.021119092e+01,1.673481601e+01,2.898237692e+01,5.811495706e+01,2.793872871e+01,6.290687553e+01,3.259330352e+01,2.288250093e+01,3.822615136e+01,1.808409899e+01,8.683489662e+01,8.243347000e+01,3.861513584e+01
5.682973617e+01,3.387900057e+01,7.117738657e-01,8.632553879e+01,7.686646704e+01,3.417980462e+01,3.379679046e+01,3.866416476e+01,3.951817749e+01,6.387884076e+01,5.158360331e+01,5.474340200e+01,4.460807134e+01,6.475829129e+00,7.027374830e+01,7.201303849e+01,9.015064592e+00,4.663448233e+01,9.931574998e+01,4.172310984e+01,1.676965538e+01,9.271127264e+00,2.334747341e+01,3.341402350e+01,4.845178850e+01,8.682501012e+01,2.694499316e+01,9.067863204e+01,4.167377436e+01
8.097178717e+01,7.378343713e+01,2.031932379e+01,6.983015810e+01,3.778209653e+01,5.705857375e+01,9.885429676e+01,1.182017542e+00,6.317814049e+01,7.216135678e+01,8.942840116e+01,7.013976982e+01,2.127095580e+01,6.970233057e+01,2.805721397e+01,5.120337548e+01,3.605074623e+01,3.138399364e+01,3.161624291e+01,9.289287327e+01,5.545778611e+01,4.506323502e+01,1.859783710e+01,1.442374441e+01,5.699616214e+01,5.534422742e+01,7.431054089e+01,1.102642096e+01,6.498010022e+01
7.912374043e+01,5.463934924e+01,2.777164614e+01,1.767769256e+01,4.293347185e+01,1.943784892e+00,8.758222545e+01,4.057244594e+01,5.426810898e+01,8.350306435e+01,4.735546531e+01,6.190004502e+00,5.597111360e+01,1.750974964e+01,1.372652485e+01,7.473291981e+01,5.088783759e+01,6.870536758e+01,4.333671750e+00,3.135507864e+01,9.850025383e+01,5.408689783e+01,7.523741318e+01,9.685957393e+01,8.105482622e+01,9.494723313e+01,3.915285756e+01,7.170686932e+01,3.957061210e+01
6.578116356e+01,6.964487366e+01,8.372487080e+01,7.876106160e+01,6.278791061e+01,4.297060200e+00,5.072366498e+01,1.350315188e+01,9.475181312e+01,8.142202841e+01,1.783652735e+01,1.206867190e+01,1.395180676e+01,9.273694018e+01,3.309618220e+01,8.179003362e+01,4.752222039e+01,3.631758253e+01,7.425039222e+01,2.680455868e+01,5.115531651e+01,1.777562961e+01,7.165180402e+01,1.701786839e+00,1.997610034e+01,1.411600574e+01,5.098050028e+01,9.193626299e+01,8.285140171e+00
6.539979714e+01,1.626197503e+01,3.283108251e+01,8.279049680e+01,2.634943899e+01,2.334455462e+01,6.029404385e+01,9.129783628e+01,5.092300040e+01,6.304385673e+01,1.703016701e+01,4.137264789e+01,8.345422551e+01,3.721781769e+00,4.704123520e+01,2.881158733e+01,1.031197391e+01,6.149686361e+01,7.351816933e+01,1.215420767e+01,8.778194435e+01,3.988798747e+01,9.316228373e+01,6.876055820e+01,7.536673255e+01,4.578122019e+01,6.866348959e+01,5.452947689e+01,2.303270315e+01
3.726670009e+00,5.905568949e+01,4.193918000e+01,3.435613473e+01,4.795329702e+01,6.792930145e+01,6.213642401e+01,1.940218720e-01,6.406961322e+01,4.429023223e+01,6.464907774e+01,3.104868774e+01,8.397267086e+01,8.267387797e+01,2.026053263e+01,3.197554664e+01,5.852275677e+01,5.988979662e+01,8.480905986e+01,5.708895185e+01,1.254799774e+01,8.638938142e+01,1.397609912e+01,3.332154560e+00,2.924145072e+01,7.187752457e+01,9.933719522e+01,4.525611203e+01,4.157568220e+01
3.102720958e+01,9.398733111e+01,1.793430627e+01,5.141732547e+01,5.585726075e+01,7.577909555e+01,1.121481390e+01,4.274222799e+01,5.833219259e+01,1.394275345e+01,2.247085817e+01,5.648436351e+01,8.377913605e+01,7.312303873e+01,4.814887952e+01,2.482943449e+01,2.678718492e+00,6.180716874e+01,6.177534280e+00,7.374796155e+01,7.786717028e+01,9.868972573e+01,1.735097120e+00,4.170630548e+01,4.521086031e+00,8.205917384e+00,9.733436413e+01,2.092388881e+01,1.898709753e+01
1.989961368e+01,8.593517786e+01,3.793225144e+01,8.172087200e+01,5.138411065e+01,6.822733784e+01,6.738887769e+01,6.723954646e+01,2.588197616e+01,6.187362414e+01,9.646697006e+01,9.620900116e+01,5.077402114e+01,8.832251245e+01,2.425242184e+01,6.064258480e+00,8.676132646e+00,4.949875309e+01,3.315947993e+01,7.732291125e+01,5.380676491e+01,6.367188073e+01,4.480139018e+01,6.099235218e+01,1.088807707e+01,9.796296107e+01,4.419758900e+01,9.923392237e+00,7.202194602e+01
2.774359227e+01,4.896227125e+01,9.940261611e+01,6.444062349e+01,2.572624757e+01,9.266023589e+01,1.929434026e+01,1.847858776e+01,3.256206084e+01,7.387780994e+01,8.835200336e+00,4.287568590e+01,3.024838900e+01,8.356721512e+01,7.211765641e+00,8.968405499e+01,4.203286682e+01,1.322944832e+01,2.538713445e+01,3.995343867e+01,7.039981255e+01,9.014183068e+01,6.073465707e+01,4.726124123e+01,5.765300418e+01,2.021216515e+00,2.593237926e+01,8.027005683e+01,4.541522306e+01
8.949996778e+01,1.389018398e+00,6.387641414e+01,9.722290638e+01,9.170312277e+01,6.126350141e+01,4.776719157e+01,4.750862676e+01,6.284175272e+01,3.964248477e+01,8.187340451e+01,5.067633433e+01,4.932093367e+01,3.150825203e+01,2.557034827e+01,1.935179577e+01,2.891558766e+01,3.674419089e+00,7.822251413e+01,8.183068250e+01,8.745600415e+01,6.809918985e+01,8.646999348e+01,5.808038140e+01,1.667955088e+01,9.358839420e+01,3.603310242e+01,9.545912072e+01,2.755570590e+01
9.476263845e+01,4.976249051e+01,5.291416336e+01,4.869639331e+00,8.977014192e+01,4.863659119e+01,5.586196613e+01,9.510553212e+01,6.801956747e+00,6.353742770e+00,1.618688314e+01,5.200440920e+01,2.149685059e+01,1.996759773e+01,6.748278185e+00,2.785666727e+00,3.527670385e+01,9.348870344e+01,9.175261789e+01,6.960606709e+01,3.377847687e+01,5.090754456e+01,6.152104566e+01,1.070634980e+01,4.379242752e+01,7.512984961e+01,9.047909496e+01,3.861079532e+01,9.615042977e+01
6.011951278e+01,2.355235809e+01,3.801219726e+01,2.017379146e+01,4.846379096e+01,1.001086535e+01,7.603326660e+01,5.322165925e+01,3.750504340e+01,4.265688819e+01,2.930150668e+01,2.619831564e+01,5.180132658e+01,6.681170284e+00,7.477863829e+01,8.288465825e+01,5.471769130e+01,8.586650614e+01,1.884474687e+01,2.816220940e+01,5.266935672e+01,1.002535917e+01,1.455324212e+01,9.365581267e+01,6.489124588e+01,4.588833719e+01,5.480332677e+01,1.782432398e+01,3.632301347e+01
7.199314987e+01,6.854215682e+01,2.563977906e+01,1.926549364e+01,6.661842428e+01,6.429040363e+01,5.420896462e+01,4.823466629e+01,4.223470052e+01,6.162246923e+01,2.455741517e+00,1.180406526e+01,3.979366803e+01,7.082885363e+01,5.401847800e+01,5.886322312e+00,4.776740430e+00,1.788527945e+01,8.951742479e+01,5.769086964e+01,2.271541421e+01,7.990601146e+01,8.685116955e+01,4.556683905e+01,3.199824396e+01,8.459421628e+01,5.596651758e+01,3.437256877e+01,9.131379371e+01
4.127189606e+01,6.003956747e+01,3.878492749e+01,2.109191570e+01,6.646600486e+01,3.507406200e+01,6.489744407e+01,1.127800575e+01,9.059419046e+01,8.687041548e+01,5.268531057e+01,3.568775915e+01,8.929014538e+01,7.383252695e+01,4.604594985e+01,5.238094652e+01,3.677399431e+01,6.049213967e+01,5.676956724e+01,3.141751927e+01,6.914698421e+00,4.295735825e+01,7.028569872e+01,5.501508482e+01,2.338071179e+01,8.548182087e+01,7.052250054e+01,2.720370207e+01,8.018822723e+01
9.785887483e+01,2.622237380e+01,3.216067607e+01,4.013943338e+01,7.860284974e+01,8.596361134e+01,7.055044413e+01,2.374218161e+00,5.648608371e+01,4.017635405e+01,2.126019947e+01,5.144674426e+01,3.409509686e+01,9.618748100e+01,5.292025187e+01,9.569697135e+01,5.993212790e+01,8.866793332e+01,6.612987180e+01,1.581989546e+01,8.198531433e+01,5.695633322e+01,5.904729300e+01,5.357578110e+01,7.323439207e+01,4.201715729e+01,4.011606978e+01,2.671182321e+01,9.400548880e+01
9.949110636e+01,2.366915316e+01,6.591246020e+01,7.011956157e+01,1.358459900e+01,7.695989328e-01,1.249243210e+01,6.748717752e+01,6.429198030e+01,5.446958293e+01,2.250223906e+01,3.243490189e+01,3.205015592e+01,2.121521675e+01,2.638373872e+01,7.441969656e+01,9.207685776e+01,2.268616176e+01,2.229510134e+01,4.452804465e+01,9.486702014e+01,2.759865802e+01,1.613136552e+01,1.907322239e+01,3.312534361e+01,6.341071411e+01,8.937904008e+01,9.618453091e+01,7.437964901e+01
9.377638445e+01,9.289997949e+01,9.693377898e+01,1.681938338e+01,7.143846979e+01,6.310408085e+01,2.951704815e+01,3.813140805e+01,1.889722013e+01,8.053463536e+01,4.443520195e+00,1.772317076e+01,3.662652920e+01,1.694413475e+00,1.097839161e+01,9.074833302e+01,1.323330881e+01,4.744126828e+01,3.527380926e+01,2.195767353e+01,5.788672214e+01,7.368638172e+01,7.850151238e+01,7.035514663e+01,7.170903397e+01,8.934681317e+01,3.418521296e+01,6.404737113e+01,4.085141396e+01
2.456255696e+01,8.723053889e+01,9.213436679e+01,5.306672197e+01,3.698310770e+01,2.083180124e+01,1.931148683e+01,7.596644805e+01,6.692769480e+01,8.241790898e+01,3.080846582e+01,3.916677427e+01,4.072932385e+01,8.017714162e+01,8.571593091e+01,4.929752407e+01,7.993578893e+01,9.303372157e+00,4.717378941e+01,3.382693813e+01,1.340439454e+01,3.753259498e+01,5.225951432e+01,4.217747797e+01,3.923114012e+01,8.266887268e+01,9.922909846e+01,5.881893162e+01,5.883380847e+01
4.156218890e+01,1.966807521e+01,9.604834335e+01,3.077998895e+01,9.575257191e+00,6.858908088e+01,6.660225294e+01,3.117722846e+01,9.443406909e+01,9.278637963e+01,9.431540892e+01,4.897053977e+01,7.766999637e+00,6.944277328e+01,9.392271402e+01,3.469499164e+01,7.703262788e+01,6.239102562e+01,9.926080444e+01,4.286741255e+01,3.392595533e+01,4.637410145e+01,4.257240310e+01,7.592872163e+01,5.708530468e+01,1.780895612e+01,5.119209238e+01,5.364408979e+01,1.624498312e+01
1.949030579e+01,4.498800303e+01,9.389583185e+01,2.416942338e+01,3.823515109e+01,4.446579067e+01,8.559368255e+01,8.326269954e+01,5.592701176e+01,7.064380359e+01,4.230468135e+01,4.479399536e+01,2.619107836e+01,6.116894364e+01,6.309330568e+01,4.961963461e+01,2.181812736e+01,1.366737726e+01,4.946020888e+01,8.547525882e+01,6.766258673e+01,2.131833652e+01,5.004001748e+01,7.441487648e+01,8.888388282e+01,7.213114217e+01,5.866965362e+01,9.741840013e+00,4.696110467e+01
9.583774677e+01,4.094072874e+01,5.030855047e+01,8.200084202e+01,8.231315008e+01,6.212856337e+01,1.650741137e+01,9.118084993e+01,1.868301566e+01,2.632945938e+01,9.093949682e+01,4.627500064e+01,9.205018354e+01,9.475473112e+01,3.717497323e+01,6.929093587e+01,9.330479324e+00,4.003262399e+01,6.278059850e+01,8.082243063e+01,6.277962267e+01,9.158398341e+01,2.615077906e+01,5.307188118e+01,8.640149421e+01,7.957727122e+01,2.748086689e+01,4.625100726e+01,3.014233974e+01
2.061690062e+01,4.446045360e+01,8.149417502e+01,2.313158891e+00,8.785840257e+01,3.493488944e+01,6.698215104e+01,9.034970831e+01,5.517261986e+01,4.156739555e+01,9.813736550e-01,4.240384527e+01,5.674818780e+01,6.240475120e+00,7.295156591e+01,5.106262431e+01,9.927840783e+01,1.259734614e+01,9.481558066e+01,2.252449444e+01,4.576976332e+01,3.446111839e+01,2.417669629e+01,3.708740624e+01,7.049859319e+01,3.767242358e+01,1.885966644e+01,8.986052101e+01,4.912648259e+01
7.809003610e+01,4.069118463e+01,9.294133404e+01,5.687205907e+01,3.526459184e+01,3.001476735e+01,1.834944376e+01,3.216770267e+01,8.942283063e+01,2.414844521e+01,7.544915909e+01,2.264720368e+00,9.740671022e+01,1.920981261e+01,2.566219864e+01,9.320941089e+01,3.251729745e+01,9.319495415e+01,6.124250192e+01,9.360655654e+01,1.043556941e+01,7.492470661e+01,6.266650950e+01,2.064832375e+01,6.262521216e+01,6.385595135e+01,5.368046850e+01,1.567997633e+01,1.512298457e+01
2.209437656e+01,5.259289075e+01,6.396888727e+01,4.327728684e+01,2.824764156e+01,9.124280962e+01,3.664268572e+01,2.870434149e+01,3.304154497e+01,8.990154410e+01,2.448249428e+01,8.192619028e+01,1.746255682e+01,7.166448873e+01,8.191404452e+01,3.780028124e+00,9.621320043e+01,7.317030940e+01,1.835951826e+01,6.947697249e+01,8.104445719e+01,5.129269024e+01,8.171403773e+01,4.803503778e+01,2.882149390e+01,1.206802537e+01,1.216005289e-01,3.668844906e+01,7.191710481e+01
1.153179741e+01,2.021368011e+01,5.720295723e+01,2.959202093e+01,7.095439156e+01,7.437073725e+01,4.063143305e+01,5.684918740e+01,3.189122557e+01,8.610004512e+01,4.247573363e+01,9.749874145e+01,8.800214224e+01,6.045266753e+01,1.196886641e+01,2.118168530e+01,9.008203336e+01,6.688799085e+01,7.630977133e+01,4.467338360e+01,9.504549587e+01,6.768122483e+01,3.952982945e+01,2.830509506e+01,9.794793821e+01,4.690327504e+01,9.318084265e+01,8.048547482e+01,5.701602415e+01
6.627857391e+01,6.357990060e+01,7.194430990e+01,2.050222774e+01,2.709639767e+01,8.289859633e+01,4.059045454e+01,2.172368796e+01,4.094626738e+01,8.369729311e+01,8.276102514e+01,4.591630399e+01,4.905541565e+01,6.738694697e+01,7.762990743e+01,3.518041830e+01,2.839308138e+01,8.154521392e+01,6.345800654e+01,5.274719297e+01,2.308627812e+01,4.279881002e+01,8.382217301e+01,8.293381208e+01,2.224441610e+01,1.018554402e+01,6.109290204e+01,3.523787422e+01,3.930520576e+01
4.430518164e+01,8.416366023e+01,5.578731490e+01,4.386762860e+01,7.792440121e+01,1.797536707e+01,6.767179743e+01,9.068985414e+01,5.609840391e+01,3.472669624e+01,5.345876881e+01,2.893967033e+01,8.744329508e+01,9.414153539e+01,3.165137154e+01,8.577241638e+01,6.695867174e+01,3.310703839e+01,8.198890854e+01,5.631804103e+01,3.988410824e+01,2.843060292e+01,6.492805786e+01,7.124599643e+01,2.048876492e+01,5.399972359e+01,3.457377842e+01,8.109284901e+00,1.737158946e+01
2.602129706e+01,1.844346425e+01,7.255090197e+01,8.975417449e+01,5.963326614e+01,5.942388778e+01,1.910180218e+01,4.045134632e+01,9.759761753e+01,4.116987798e+01,3.040202078e+01,5.073324682e+01,4.003091438e+01,1.109437376e+01,2.016222158e+01,2.694742615e+01,9.618820784e+01,5.320547506e+01,8.396097132e+01,1.519527177e+01,8.452955037e+01,3.142988493e+01,2.799152553e+01,7.516660694e+01,1.191177944e+01,1.166100084e+01,8.086648617e+01,3.887588276e+01,2.609553612e+01
5.639746701e+01,1.508500675e+01,2.260619415e+01,5.235423468e+01,3.806098865e+01,8.354212866e+01,4.233140640e+01,4.478693227e+01,3.717364044e+01,7.401556022e+01,9.274179322e+01,4.532156783e+01,9.701001970e+01,9.378920547e+01,2.927449433e+01,9.050473275e+01,3.582765351e+01,1.393917473e+01,4.137152121e+00,9.373231428e+01,3.911848896e+01,4.420856657e+01,2.769298507e+01,7.902185997e+01,8.059798825e+00,3.460946482e+01,9.694007455e+01,9.789186629e+01,8.025503552e+01
4.648441520e+01,3.208889948e+01,8.471761688e-02,2.297135317e+01,1.416296055e+01,7.419974944e+01,3.304148359e+01,3.128077604e+01,1.336569483e+01,7.700737519e+01,1.505633721e+00,8.611861279e+00,2.573382401e+01,6.062197942e+00,9.984598483e+01,6.059645052e+01,7.005103606e+01,4.927579590e+01,3.488144451e+01,1.828584687e+01,3.880153377e+01,3.550630798e+01,4.875880226e+01,6.938197004e+00,6.157922450e+01,6.472693879e+01,9.292950618e+01,1.839671182e+01,8.682804920e+00
5.649864241e+00,1.602565227e+01,6.871868265e+00,6.123817012e+01,9.677379499e+01,9.576163731e+01,9.781838419e+01,5.874743002e+01,6.025046059e+01,9.852967288e+01,7.671554791e+01,7.691291952e+01,7.852349539e+01,9.395391360e+01,2.595431775e+01,1.594288231e+01,1.807432584e+01,8.502072710e+01,3.548723180e+01,5.676691302e+01,4.669389396e+01,1.953129064e+01,8.621795747e+01,2.297676584e+01,6.823340224e+01,4.862711256e+01,5.297372589e+01,6.000411696e+01,7.261228100e+01
