v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68
5.049898301e+00,2.650287333e+01,2.509532213e+01,9.029970400e+00,1.706402821e+01,7.576946637e+01,3.588949270e+01,8.400412324e+00,6.936360809e+01,7.398410369e+01,4.124285968e+01,9.693940917e+01,7.866130538e+01,7.292792150e+01,6.358676057e+01,6.981377510e+01,8.364220311e+01,6.532688917e+01,2.829601682e+01,9.062271884e+01,7.888501141e+01,6.196628101e+00,5.866559110e+01,9.648526321e+01,1.107598426e+01,8.971356520e+01,2.771235000e+01,2.052005519e+01,1.122214878e+00,9.873759590e+01,2.216327461e+01,2.240412471e+01,2.528951980e+01,2.358482455e+01,7.233684331e+01,1.531717240e+01,2.352840247e+01,9.034990292e+01,9.385552885e+01,5.249391103e+01,4.911970363e+01,1.093669942e+01,6.117692913e+01,3.889093303e+01,4.607496646e+00,1.079277527e+01,8.856711645e+01,9.931612160e+01,9.494955617e+01,8.775187506e+01,3.154677971e+01,8.249192841e+01,1.255369743e+01,1.029146114e+01,6.935070151e+01,4.708401710e+01,2.313892211e+01,2.442091488e+01,1.687007463e+01,8.526498980e+00,1.042090055e+01,2.499803556e+00,1.797344273e+01,3.352855770e+01,2.534678105e+01,2.939050842e+01,6.251120463e+01,8.249248513e+01
6.869485167e+01,8.249224938e+01,4.201972097e+01,5.076664118e+01,5.888838701e+01,9.907276482e+01,4.949110567e+01,9.002915410e+01,4.584207106e+01,3.190212250e+01,9.298003357e+01,8.394656319e+01,2.151541703e+01,7.159180491e+01,2.913933694e+01,3.803104411e+01,9.647851388e+01,4.615901721e+01,8.412364843e+01,2.093298730e+01,5.169528116e+01,9.707960291e+01,5.680317984e+01,4.990472045e+01,4.250599025e+01,3.281927373e+01,8.958125905e+01,6.615320817e+00,4.247230939e+01,2.027771823e+01,4.220124357e+01,2.588571463e+01,3.646978482e+01,6.798778957e+01,8.348363039e+01,2.943021120e+01,2.537222216e+00,8.743258956e+00,4.191206468e+00,6.477976520e+01,6.660613355e+01,1.229962484e+01,5.246167978e+01,1.263444295e+01,5.226490401e+01,4.697883083e+01,4.910888525e+01,4.383619165e+01,9.147595310e+01,3.532918388e+01,8.447532893e+01,2.091204716e+01,6.634196305e+00,2.691674428e+00,9.863852058e+01,4.887550546e+01,3.655915671e+01,6.535915655e+01,5.941611245e+01,1.598759289e+01,1.840283429e+01,2.558959894e+01,5.211934757e+01,2.047858205e+01,7.407013703e+01,7.816185093e+00,7.443278055e+01,3.477341586e+01
9.921295265e+01,1.201356398e+01,5.927175270e+01,5.563832323e+01,9.423486427e+00,7.832843628e+01,1.989103024e+01,3.206724162e+01,2.332086596e+01,3.088553044e+01,3.674554854e+01,8.202040577e+01,2.540214535e+01,1.327949049e+00,6.595327035e+01,2.965358316e+01,3.323730330e+01,4.896599668e+01,4.674403834e+01,5.622241313e+00,9.704842286e+00,3.856922089e+01,2.018295973e+01,7.272393605e+01,3.012491432e+01,3.901327931e+01,9.331017335e+01,3.122029132e+01,8.453205437e+01,8.811772565e+01,2.176938182e+01,8.356205216e+01,7.212202887e+01,5.328457590e+01,1.421435657e+01,6.541321336e+01,3.085371528e+01,4.011042871e+01,7.089987311e+01,4.909998229e+01,7.375253369e+01,1.270742578e+01,3.135942228e+01,2.034055944e+00,9.503241038e+01,5.581160086e+01,8.630454368e+01,9.787201656e+00,2.436950504e+01,6.259265794e+01,5.362262610e+01,8.389918422e+01,2.209784689e+01,8.331315804e+01,4.842392440e+01,2.754803802e+01,4.956005366e+01,1.490601999e+01,7.706989084e+01,9.366674654e+00,3.927797339e+01,1.758163522e+01,9.442916295e+01,2.265630312e+01,1.912101127e+01,7.189899429e+01,8.518549251e+01,4.353535883e+01
8.019413414e+01,1.040002368e+01,4.356989917e+01,7.622448678e+01,5.797144961e+00,7.319152587e+01,5.526754515e+01,3.737630129e+01,9.119880664e+01,5.392626937e+01,9.524218467e+01,1.580616153e+01,1.130840991e+01,6.213937578e+01,2.976125562e+01,8.867552646e+01,5.897191055e+01,8.120748422e+01,3.206724307e+01,2.712756164e+01,1.221781413e+01,9.854771320e+01,1.739103567e+01,7.585780114e+01,2.001752541e+01,3.149966397e+01,8.087267112e+01,4.423405438e+01,7.550131755e+01,2.194931274e+01,5.264885561e+01,3.138705509e+01,9.505717738e+01,3.226019365e+01,8.778784823e+01,1.493990913e+01,2.368206900e+01,3.557021671e+00,7.472529265e+01,2.102304126e+00,8.960106887e+01,8.455098369e+01,1.656110409e+01,9.569424973e+00,3.804097384e+01,4.032057927e+01,8.402060178e+01,1.681026133e+01,9.771085350e+01,7.508257721e+01,1.711891728e+01,8.930992550e+01,8.296331821e+01,3.196658461e+01,5.627203728e+01,6.972044490e+01,8.914515116e+01,8.365526139e+01,2.564166209e+01,4.992901667e+01,2.251103539e+01,6.621657379e+01,2.590272366e+01,8.642786194e+01,5.536162717e+00,5.333112221e+01,6.548729522e+01,2.213487481e+01
3.218707198e+01,5.326125674e+01,8.612458177e+01,3.228890084e+01,1.938714224e+00,2.632798870e+01,7.602175652e+01,3.036468121e+01,6.601466605e+01,6.683359340e+01,9.271173646e+01,5.812266220e+01,4.823609404e+01,8.661930675e+01,2.376870883e+01,9.268802407e+01,5.418947521e+01,8.915452171e+01,3.678510717e+01,5.387541910e+01,8.007659708e+01,1.739996160e+01,5.706611096e+01,4.853823913e+01,9.618203822e+01,2.212775372e+01,7.354724887e+01,7.831036275e+01,7.976254204e+01,5.331736988e+00,9.729507256e+01,6.049726532e+01,3.188846335e+00,7.162078598e+01,4.646889016e+01,6.568922586e+01,2.229990450e+01,1.283307383e+01,1.279473823e+01,5.788415798e+01,2.698157942e+01,1.253899942e+01,2.720304721e+01,6.497500356e+01,8.293898681e+01,2.005770221e+01,5.230746967e+01,9.577553553e+01,5.456563001e+00,6.749412750e+01,2.105088045e+01,1.308774219e+01,2.558272301e+00,6.783442811e+01,6.093512776e+01,5.896105975e+01,2.381320655e+01,6.196491278e+01,6.011682040e+01,4.594026492e+01,9.657410403e+01,2.443664682e+01,5.231283562e+01,1.308632071e+01,4.488496773e+01,2.196057948e+01,9.454268039e+01,6.994768274e+01
3.618613443e+01,4.439375344e+01,9.405183065e+01,9.601576817e+01,1.342612814e+01,4.551358201e+00,3.287117979e+01,6.989084924e+00,6.952749645e+00,8.583279918e+01,2.026882444e+01,6.343763927e+01,9.690158893e+00,5.946461146e+01,6.801904183e+00,4.292837804e+01,1.954067374e+01,7.588851990e+00,8.788185845e+01,3.230004957e+01,3.249553060e+01,1.409110824e+01,5.060399665e+01,5.631445693e+01,9.278132023e+01,4.003927226e+00,3.878460562e+01,3.998107952e+01,9.551468551e+01,2.502411801e+01,1.670594728e+01,7.454792508e+01,5.483885582e+01,2.134362584e+01,9.737821334e+01,4.387447274e+01,3.221864151e+01,1.940701836e+01,2.860666828e+01,5.581242617e+01,4.799137003e+01,5.022259800e+01,8.063645702e+01,9.809761460e+01,1.826889412e+01,5.145062785e+01,2.485231287e+01,8.790808983e+01,1.366803030e+01,4.804022856e+01,9.426322532e+01,2.942406890e+01,5.830402890e+01,7.305119587e+01,1.746455233e+01,1.072704220e+01,6.895032973e+01,2.351268607e+01,1.412521404e+00,9.322032979e+01,4.904805851e+01,4.342250640e+01,2.083384107e+01,4.367502471e+01,9.836197914e+00,9.634297609e+01,1.617403220e+01,2.261300997e+01
6.908703880e+01,5.364881687e+01,2.290044774e+01,1.904312786e+01,7.040096133e+01,6.820759934e+01,6.667062370e+01,9.281761809e+01,7.793472507e+01,4.673622023e+00,4.115320013e+01,8.172266831e+01,9.527657791e+01,8.094996954e+01,4.430432892e+01,4.927047253e+01,6.800289435e+01,4.027106146e+01,9.011170626e+01,1.493630996e+00,6.512581808e+01,4.770952112e+00,5.201679874e+01,1.336538626e+01,6.445680653e+01,8.540832318e+01,4.712586667e+01,1.404071434e+01,5.231711546e+01,9.554676767e+01,6.421260475e+01,4.440455597e+01,1.658791274e+01,4.171888865e+01,7.187331144e+01,2.060751785e+01,2.075960236e+01,4.864925907e+00,4.090449713e+01,7.095549045e-01,3.549442418e+01,9.257377656e+01,5.360950406e+01,4.842977680e+01,9.006230070e+01,9.293802695e+01,1.016107717e+01,1.863967175e+01,2.723589581e+00,6.535676139e+01,2.704089914e+01,8.562605089e+01,5.307916870e+01,5.145160851e+01,4.758189191e+01,9.910838920e+01,3.443916759e+01,4.798281106e+01,9.637132564e+01,7.670909473e+01,2.952376518e+00,3.525874487e+01,7.819185280e+01,7.015160391e+01,3.813060878e+01,1.402015949e+01,9.622991754e+01,2.136564921e+00
7.444759652e+01,8.711549000e+01,8.536403934e+01,8.908221142e+01,7.730501176e+01,2.714240087e+01,8.086440042e+01,7.180415980e+01,9.164835414e+01,3.038662784e+01,5.807850266e+01,8.721606007e+01,5.920346805e+01,3.882472093e+01,8.843273551e+01,6.308095095e+01,2.468634520e+00,3.799505464e+01,6.697279915e+01,5.742130183e+01,3.044119055e+01,7.777913341e+01,1.708722877e-01,1.908979704e+01,3.448731245e+01,7.168118299e+01,5.831816239e+01,9.313645569e+01,2.277951501e+01,3.612640916e+01,2.893610487e+01,3.745646900e+01,8.125853362e+01,8.478754439e+01,2.795226884e+01,8.483872481e+01,2.975768203e+01,5.989824597e+01,2.468291614e+01,2.961566264e+01,7.802079360e+01,1.797911050e+01,6.668678453e+00,9.164923135e+01,9.228373848e+01,5.932599390e+01,8.251458175e-01,2.301545920e+01,6.581681378e+01,1.593505154e+01,5.504916993e+01,2.423118054e+01,7.023929770e+01,1.914922136e+01,3.074423747e+01,5.656916973e+01,1.070832002e+01,6.876376096e+01,3.530406932e+00,5.777063980e+01,9.314058858e+01,3.869835649e+01,4.379219946e+01,1.842531993e+01,4.312421507e+00,5.557089553e+01,5.511542489e+01,2.320869745e+01
8.593336795e+01,8.169293320e+00,3.276477549e+01,4.390550265e+01,2.589260219e+01,5.492962522e+01,4.498668186e+01,6.731803215e+01,3.303620064e+01,8.067471652e+01,9.988509008e+01,8.403521137e+01,3.280086858e+00,4.966107263e+00,5.424967078e+01,1.888048106e+00,1.749873764e+01,1.486405105e+01,8.986281257e+01,3.865900523e+01,4.584034531e+01,3.417890506e+01,3.747517461e+01,5.424582621e+01,5.715314556e+01,9.882214871e+01,5.025513319e+00,5.046097932e+01,1.006004965e+01,9.519933990e+01,4.927280690e+01,4.824297823e+01,8.962462399e+00,4.450918344e+01,9.436722565e+01,2.235613879e+01,6.623998950e+01,5.863924693e+01,7.641661051e+01,3.634525899e+01,7.311997753e+01,2.475113494e+01,7.004103217e+01,5.791131341e+00,1.550570086e+01,2.944430850e+01,8.925868530e+01,7.821537072e+01,9.454358972e+01,2.332285065e+00,2.640610648e+00,3.651874720e+01,1.336547120e+01,3.894796782e+01,9.198612841e+01,4.097151594e+01,8.775049156e+01,4.426421935e+01,8.560711319e+01,9.889885901e+01,9.452939484e+01,1.924688654e+01,3.615542296e+01,3.652986715e+01,5.096273616e+01,3.194240905e+01,3.671923000e+00,8.644639611e+01
6.646192419e+01,8.463310604e+01,2.428937626e+01,8.213578447e+01,3.496432442e+01,3.209145168e+01,6.475448111e+01,4.685167154e+01,3.560002123e+01,5.222933466e+01,6.176187321e+01,3.366471360e+01,8.799072732e+01,3.182137784e+01,5.125393277e+00,4.950853769e+01,5.912204100e+01,1.769049827e+01,6.170896563e+01,1.075246863e+01,1.778256255e+01,3.657413754e+01,3.443934831e+01,8.062755610e+01,3.729771816e+01,4.445886076e+01,9.804726529e+01,5.632654930e+01,9.691364592e+01,6.426169237e+00,5.236479924e+01,7.573693098e+01,8.182568654e+01,2.231731371e-01,1.548557316e+01,2.256350109e+01,9.903717704e+01,4.624520755e+01,6.493065009e+01,9.352815438e+01,3.609695817e+01,9.722883953e+01,3.909373291e+01,4.414703143e+01,6.876792701e+01,3.474554201e+01,9.632753337e+01,4.276577343e+01,2.971969684e+01,8.136579327e+01,7.382957175e+01,7.828500661e+01,5.163860490e+01,4.719603815e+01,9.667479758e+01,6.504580334e+01,3.942301896e+01,9.334685398e+01,8.243405125e+01,6.638083005e+01,3.500951836e+01,9.488173539e+01,6.893863255e+01,8.035070475e+01,1.290459487e+01,6.674175911e+01,5.079960157e+01,5.996418264e+01
5.121276489e+01,8.319789927e+01,7.463373382e+01,9.692494845e+01,3.444045807e-01,8.160167641e+01,5.009904987e+01,3.813790416e+00,3.171493562e+01,9.387779994e+01,1.866894138e+01,9.610199706e+01,1.226670751e+01,8.214605283e+01,9.707531538e+01,5.461429828e+01,2.464757260e+01,6.489582846e+00,8.622071919e+01,9.655945468e+01,4.499782813e+01,8.986221113e+01,9.623351133e+01,6.446098289e+01,9.683629954e+00,9.129685635e+01,2.984991025e+01,1.711574360e+01,1.775399063e+01,4.367582545e+01,8.229044662e+00,4.377644595e+01,5.508847147e+00,7.655740381e+01,7.006802570e+01,8.148997642e+01,9.397539159e+00,5.254954357e+01,2.834743350e+01,9.535263190e+01,2.995221335e+01,8.409857021e+01,1.968395502e+01,1.326425322e+01,3.827640545e+01,9.019806246e+01,1.828957630e+00,5.555585934e+01,3.146742572e+01,8.912536657e+01,4.647030817e+01,1.218222064e+01,2.734959069e+01,1.764498950e+00,6.319186156e+01,5.414518277e+01,6.488924089e+01,3.859332231e+01,5.954715694e+01,4.737475134e+00,9.719125172e+01,4.580253937e+01,9.111500662e+01,3.386873663e+00,7.410510195e+01,2.342270486e+01,7.954355564e+01,3.030701240e+01
4.081842542e+01,1.793043739e+00,8.091379554e+01,7.927403427e+01,4.080153053e+01,3.657006743e+00,5.003741474e+00,2.488002796e+01,1.282486387e+01,3.941287759e+01,1.092752607e+01,3.182584737e+01,2.708298782e+00,8.447778709e+01,4.959336759e+01,1.639244796e+01,7.865303965e+01,5.789276966e+01,1.393845375e+01,5.218066109e+01,8.491942926e+01,5.442801323e+01,8.995513346e+01,5.408795999e+01,1.879317318e+01,4.423307145e+01,4.761276202e+01,5.928317071e+01,5.920236137e+01,4.059034115e+01,9.207145145e+01,6.357265885e+01,5.304480591e+01,8.630309873e+01,1.806539358e+01,3.913209062e+01,9.084474004e+01,9.952386258e+01,1.925029574e+01,8.642144807e+01,6.411478665e+01,7.844611324e+01,1.466233959e+01,2.130160244e+01,4.867706858e+00,1.597146788e+01,2.425695660e+01,5.046603399e+01,8.615195919e+01,9.921792244e+01,7.947987189e+00,2.317050923e+01,8.622511554e+01,8.356135598e+00,7.385891246e+01,8.545138404e+00,6.070212127e+01,8.055998873e+01,7.767307894e+00,4.516182467e+01,4.837154570e+01,6.814532967e+01,7.073760614e+01,8.522383791e+01,3.796784361e+01,9.028275548e+01,6.592554662e+01,1.028104552e+01
