v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59
6.747599523e+00,4.110392096e+01,9.925432368e+01,5.333431799e+01,3.500922926e+01,1.112395749e+01,8.792172515e+01,1.943807669e+01,2.696493806e+01,3.295651714e+01,9.963267421e-01,2.729758906e+01,3.156269317e+01,3.069285946e+01,8.145248454e+01,7.498203886e+01,6.743348230e+00,5.581108957e+01,5.331410977e+01,9.997418645e+01,2.473254461e+01,8.068242721e+01,8.152836489e+01,9.521643153e+01,3.422711993e+01,8.615024542e+01,4.900333997e+00,8.576068274e+01,6.233256608e+01,5.439829028e+01,4.444501506e+00,8.652885534e+00,6.243400313e+01,5.548509406e+00,8.099269408e+01,2.842493943e+01,9.003199859e+01,7.357076917e+01,9.175528056e+00,3.148673155e+01,9.897589340e+01,7.372752047e+01,9.044044220e+01,8.439900281e+01,6.737028221e+01,6.888209615e+01,9.565405488e+01,4.746089386e+01,2.102191209e+01,6.838505646e+01,8.530685558e+01,4.168057342e+01,7.467868495e+01,2.602150693e+01,8.236169072e+01,8.127729321e+00,1.588369075e+01,9.981765728e+01,2.744275778e+01
1.856468932e+01,3.642934411e+01,4.258330215e+01,2.308078611e+01,1.255860634e+01,6.882848467e+01,7.776447372e+01,5.393810615e+01,2.923038268e+01,6.946272545e+01,2.064012037e+01,8.875738784e+01,4.935753758e-01,8.277847914e+01,4.064861471e+01,9.546395460e+01,8.200937303e+01,8.455247830e+01,5.268738334e+00,6.118923141e+01,7.760866778e+01,4.510280140e+01,7.675165059e+01,1.179193250e+01,6.343846726e+01,9.505234258e+01,3.687875646e+01,5.191708673e+01,5.605278008e+01,8.687808260e+01,6.284364121e+01,6.949886882e+01,1.043191601e+01,7.103622308e+01,5.921280140e+01,8.263461154e+00,3.140367625e+01,4.725155164e+01,1.094193409e+01,6.149513624e+01,8.384218786e+01,2.331766605e+01,9.745331829e+01,9.695180049e+01,7.539383166e+00,7.691907103e+01,1.688581649e+01,6.156229785e+01,5.473089690e+01,4.695989812e+01,3.288690782e+01,6.900654300e+01,4.093852028e+01,1.568396742e+00,2.719594613e+01,3.860576044e+00,1.696122985e+01,7.608960363e+01,1.207184959e+01
9.986760894e+01,9.695997652e+00,4.576843207e+01,6.681114418e+01,5.322660200e+01,3.429747669e+01,6.881538549e+01,3.761003966e+01,2.507652086e+01,8.990637386e+01,4.207019561e+01,7.688278990e+01,4.314755846e+01,8.326228804e+01,6.798511082e+01,5.053255844e+01,2.028471808e+01,8.392758011e+01,9.869678608e+01,5.554580304e+00,9.369745479e+01,4.493018227e+01,2.888494945e+01,5.052737602e+01,3.498127336e+00,6.473645521e+01,9.864183854e+00,7.912184116e+01,5.778605402e+01,3.004758404e+01,3.699022987e+01,5.305941334e+01,1.864732915e+01,7.846331729e+01,7.659141284e+01,2.957130642e+01,1.817249930e+01,4.112867000e+01,6.280351078e+01,1.292670525e+01,4.776076909e+01,5.373713243e+01,8.763822331e+01,5.684138154e+00,7.774730843e+01,4.457546073e+01,1.349194614e+01,4.309066009e+01,3.960565313e+01,1.970104401e+01,8.543251865e+01,4.934238272e+01,2.817196045e+01,3.875187271e+01,6.207630795e+01,6.460281340e-02,2.191489629e+01,6.844173700e+01,5.578507724e+01
4.206122184e+01,5.654409809e+01,9.439870375e+01,8.065023297e+01,8.195852016e+01,9.065555749e+01,5.610334735e+01,5.759510807e+01,7.575774160e+01,4.511210728e+01,9.313192417e+00,7.484953352e+00,6.001841855e+01,8.669958654e+01,2.364510633e+01,3.666565598e+01,3.323797400e+01,3.656656570e+01,4.598575325e+01,4.626480708e+00,7.090019495e+01,4.149457258e+01,7.093549302e+01,1.740269467e+01,9.466538394e+00,4.307981973e+01,1.413590663e+01,8.613612333e+01,1.403227030e+01,2.673901913e+00,2.007317816e+01,1.739184309e+01,7.834037872e-01,8.232783680e+01,5.249269217e+01,2.538935179e+01,1.658910440e+01,4.925577611e+01,5.866977281e+01,9.996243239e+01,8.781148076e+01,6.188719654e+01,4.423427076e+01,5.318632887e+00,8.909670125e+01,1.573055555e+01,8.427402683e+01,8.485628984e+01,4.981621558e+01,8.099471133e+01,2.529418158e+01,2.776639589e+01,4.748543371e+01,7.354806555e+01,2.749544080e+01,3.875632752e+01,9.397536087e+01,8.336883349e+01,3.730900366e+00
7.323449022e+01,5.124714347e+01,8.939022792e+01,4.559041790e+01,4.091326115e+01,1.669330601e+01,8.126835164e+01,5.478685199e+01,9.986245045e+01,3.039647843e+00,6.866612888e+01,2.821387332e+01,9.453551972e+01,4.353823067e+01,6.267987193e+00,8.529226018e+01,6.221552106e+01,6.600202424e+01,2.694056402e+01,8.894355885e+01,1.567174490e+01,2.064258364e+01,9.985386446e-01,6.781531972e+01,2.181771366e+01,7.958703938e+01,2.305596836e+01,8.088912172e+01,5.827196512e+01,8.878759781e+01,4.545837958e+01,3.533079031e+01,2.474621621e+01,2.953617968e+01,8.587767923e+00,4.670129077e+01,3.309844057e+01,5.158405930e+01,4.146407929e+01,7.452147074e+00,6.020845184e+01,8.730599528e+01,3.333275475e+01,2.686436545e+01,8.342483735e+01,7.598451807e+01,5.324903016e+01,8.285335277e+01,3.198332338e+01,9.891143550e+01,7.240509104e+01,8.445021769e+01,3.106589417e+01,1.083149557e+01,9.545567910e+01,8.333312815e+01,9.990840847e+01,9.899878342e+01,8.849908241e+00
9.633201839e+01,4.021919546e+01,2.770689638e+00,1.098657673e+01,3.239587229e+01,4.591086733e+00,9.933036007e+01,6.147785615e+01,1.201046043e+00,8.178828788e+01,3.154268735e+01,2.620966970e+01,4.684903789e+01,6.103495156e+00,9.820030522e+01,5.953188752e+01,9.495992102e+01,5.874406175e-01,8.428465785e+01,8.855470659e+01,2.582820514e+01,1.289522223e+01,3.036637377e+01,5.393060231e+01,3.935465310e+01,5.912937181e+01,6.121686659e+01,2.447243690e+01,4.747337135e+01,5.105285306e+01,4.067629596e+01,4.964063397e+01,7.359882659e+01,9.000292529e+00,3.858904492e+01,3.421616089e+01,2.164572893e+01,7.602222664e+01,9.789385330e+01,8.818327130e+01,3.016426451e+01,8.049879376e+01,3.284352717e+01,9.923553659e+01,9.123756090e+01,6.118345686e+01,7.826288700e+01,4.907078431e+01,2.515720507e+01,9.214105334e+01,6.411029941e+00,3.741369150e+01,5.471436558e+01,6.259593334e+01,8.281498588e+01,4.751363041e+01,9.759506446e+01,8.434767170e+01,7.902276019e+01
5.074321497e+01,4.446249106e+01,9.097404979e+01,6.892769059e+01,8.120986071e+01,7.638471932e+01,3.764164321e+01,5.974108301e+01,7.648081225e+01,6.910851829e+01,5.681554178e+01,6.160280307e+01,3.732256867e+01,1.344496577e+01,6.396581918e+01,3.951109335e+01,5.115144492e+01,3.318437234e+01,5.990298298e+01,2.807686076e+01,7.296253203e+01,5.010324894e+01,2.803969015e+01,1.079770116e+01,7.157472135e+00,1.763485055e+01,9.586769322e+01,7.098399900e+01,1.807915531e+01,4.844801310e+01,1.415995631e+01,2.112062438e+01,8.917995192e+01,8.338084859e+01,9.146971026e+01,7.887060000e+01,2.440175245e+01,4.659214730e+00,5.264411337e+01,3.689651037e+00,6.468682020e+01,7.206142863e+01,6.319252611e+01,3.789874053e+01,4.074912119e+01,7.434740622e+01,6.454168432e+01,1.206183304e+00,1.914413687e-01,7.212806546e+01,4.366379003e+01,1.092187368e+01,2.455832642e+01,4.762102068e+01,7.257927153e+01,1.586944064e+01,7.429023126e+01,7.762332695e+01,6.472826049e+01
2.481932026e+01,6.572232875e+01,8.963992628e+01,3.770888514e+01,9.938656920e+01,1.091546717e+01,7.148290647e+01,3.209377186e+00,6.431045149e+01,6.295182381e+01,8.354936883e+01,1.938963085e+01,9.098381387e+00,1.996933839e+01,8.777132560e+01,8.698094788e+01,8.472482995e+00,2.954249815e+01,2.448001969e+01,8.409012517e+01,7.465839358e+01,1.061497688e+00,7.960696360e+01,5.690940328e+01,3.913444603e-01,5.981297166e+01,2.759751369e+01,7.040874807e-01,2.700582244e+00,1.603723628e+01,3.291414798e+01,7.685784828e+01,1.422575776e+01,2.237801521e+01,1.117581213e+01,4.960637275e+01,9.954136418e+01,4.710516831e+01,9.931229076e+01,9.597871612e+01,5.704703174e+01,5.355491660e+01,4.907595482e+01,5.359439657e+01,7.211243791e+01,5.642745949e+01,6.183809999e+01,6.601907863e+01,9.843784723e+01,8.841419609e+01,3.211901788e+00,5.024489693e+01,8.202369874e+00,5.553303052e+01,2.539520229e+01,1.630210661e+01,9.098639603e+01,2.504669588e+01,6.443631950e+01
3.323852510e+01,7.589689714e+01,4.169057850e+01,2.833779451e+01,3.478141298e+01,5.038809604e+01,5.814518099e+01,4.961414028e+00,3.050944366e+01,2.731073561e+01,8.598853773e+01,5.532884637e+01,8.176380455e+01,2.873174692e+01,3.262167433e+01,8.332384356e+01,4.434148601e+01,3.502632313e+01,7.129235393e+01,4.888484977e+01,4.668151304e+01,8.625182849e+01,8.335258905e+01,6.748723428e+01,7.714296787e+01,7.697229002e+01,1.335402227e+01,2.567475281e+01,8.384868321e+01,3.268987831e+01,3.284365756e+01,3.736210807e+01,6.189839398e+01,7.356656515e+01,2.253312726e+01,7.507117188e+01,1.776921263e+01,9.348346968e+01,3.955414566e+01,1.363890866e+01,3.165651128e+00,2.847380568e+01,8.781486895e+01,2.959472207e+01,1.921128274e+01,3.059455979e+00,6.782545992e+01,4.705170431e+01,8.793427339e+01,4.527213563e+01,5.636837047e+01,2.802781781e+01,7.450696304e+01,7.788400077e+01,4.585264260e+01,2.430379190e+01,5.946956816e+01,9.026655811e+01,3.513029325e+01
8.685203188e+01,7.875958442e+01,4.149875074e+01,3.271321408e+01,3.368709670e+01,5.808167896e+00,7.601529036e+01,1.056329523e+01,2.381737317e+01,5.547146011e+01,7.869892870e+01,3.651244855e+01,7.546783583e+01,9.821902855e+00,5.338195332e+01,1.188893032e+01,5.896527029e+01,9.968444689e+01,3.405270895e+01,9.857605701e+01,8.573347415e+01,1.410672173e+01,9.697537950e+01,6.958631835e+01,9.674095664e-01,7.673240294e+01,7.448119509e+01,2.241991828e+00,7.532625078e+00,9.568834060e+01,2.552226292e+01,5.365904179e+01,8.842890965e+01,9.944760457e+01,8.502130892e+01,3.522272541e+01,5.986278783e+01,4.805709235e+01,2.332783278e+01,1.002287784e+01,1.637226183e+01,2.400716849e+01,6.961066931e+01,8.351837799e+01,3.985227562e+01,9.111493565e+01,2.267311371e-01,7.237577868e+01,5.358637235e+01,1.794275980e+01,7.481318545e+01,3.463126885e+00,4.398475030e+01,2.893449503e+01,8.260895342e+01,8.912674994e+01,9.181633175e+00,1.401775230e+01,4.372438736e+00
8.249239626e+01,1.753760411e-02,1.179908808e+01,8.261926165e+01,2.362986189e+00,6.610760579e+01,1.205847126e+01,2.031201129e+01,5.917965244e+01,5.037604094e+01,7.876135330e+01,1.170700798e+01,6.527978903e+01,6.474558789e+00,5.588871701e+01,3.547136924e+01,3.560385710e+01,3.632405843e+01,5.285670102e+01,3.987835375e+01,5.317048516e+01,5.824653053e+01,5.252581114e+01,4.168829499e+01,4.115566333e+00,5.078912710e+01,9.600201022e+01,3.736168412e+01,4.727108937e+00,4.154863187e+00,5.773197701e+01,6.220677434e+01,1.409080717e+01,3.427105556e+01,9.725890498e+01,6.889837032e+01,4.141379693e+01,5.537138966e+01,2.945308496e+01,4.810850971e+01,3.709410605e+01,1.452142574e+01,4.929325482e+01,6.637287323e+01,5.198919178e+01,6.641011989e+00,3.666567437e+01,9.761438492e+01,7.459530251e+01,4.803623858e+01,4.854973743e+01,6.468781300e+01,2.923087497e+01,3.330117057e+01,7.694283638e+01,3.223160244e+01,3.113086371e+01,6.954619936e+01,5.836985810e+01
1.898684957e+01,6.939757218e+01,5.860427407e+00,5.707123999e+01,9.273706731e+00,2.524684188e+01,5.380743681e+01,7.493829889e+00,5.654599815e+01,5.371666117e+01,4.112401035e+01,9.563640364e+01,5.057811402e+01,8.527462641e+01,2.623201270e+01,7.296990548e+01,9.939225934e+01,7.641205011e+01,8.079623225e+01,8.645424665e+01,5.229395109e+01,2.560848935e+01,4.400127912e+01,5.421796653e+01,6.676198871e-01,9.890441707e+01,7.308827115e+01,6.742762864e+01,9.757383684e+01,6.162818097e+01,3.719007347e+01,2.885146260e+01,7.506735620e+01,9.133967810e+01,1.035357725e+01,1.555204758e+01,5.218459684e+01,8.601086208e+01,3.396770250e+01,5.149841803e+00,4.806352034e+01,1.395538432e+00,4.737928009e+01,6.011061807e+00,7.061737552e+01,7.308880018e+01,3.809978742e+01,3.488606860e+01,3.705635887e+00,2.729342200e+01,5.473568440e+01,4.314278249e+01,5.002979481e+01,6.396476025e+01,3.085010876e+00,5.892299906e+00,3.351807504e+01,6.009866042e+01,7.400857142e+01
2.697092347e+01,4.718403031e+00,7.351041760e+01,5.468489752e+01,9.579264277e+01,4.209902954e+01,4.620318387e+01,1.399564842e+01,3.116752208e+01,7.252704723e+01,6.479852555e+01,3.155158710e+01,6.257780049e+01,4.593622474e+01,7.171353510e+01,3.429100153e+01,6.277448376e+01,2.132605889e+01,6.578455733e+01,6.025529231e+01,6.441147409e+01,4.150993030e+01,6.136746908e+01,9.011947568e+01,4.412769961e+01,1.235429663e+01,4.189686038e+01,2.341220356e+01,5.449433307e+01,3.160184841e+01,6.179666065e+01,3.572996818e+00,4.324987935e+01,5.088215930e+01,7.098303206e+01,6.101785684e+01,9.837417842e+01,6.963510704e+01,8.013209205e+00,8.109752776e+00,8.277312130e+01,4.132426976e+01,2.014639188e+01,1.756966398e+01,6.657692709e+01,7.293172263e+00,2.188652087e+01,6.217042026e-01,7.736585725e+00,9.480039844e+01,4.228588140e+01,7.039438473e+01,3.586562480e+01,2.300401711e+01,7.175167507e+01,5.176283272e+00,1.338751542e+01,9.057093471e+01,3.750366051e+01
2.555665989e+01,1.055741492e+01,8.201582967e+01,5.960253184e+01,1.871699268e+00,2.295124581e+01,1.995148761e+01,8.741920202e+01,4.392670830e+01,5.802507094e+01,4.908649685e-01,5.821914579e+01,8.645597873e+01,2.882794578e+00,6.557620468e+01,7.472180283e+01,1.421408018e+01,4.556104573e+01,3.445654178e+01,7.427551607e+01,7.419730694e+01,1.567845268e+01,2.206911567e+01,7.307052324e+01,4.612181511e+01,3.713948287e+01,2.760114787e+01,1.587713983e+01,5.337875707e+01,9.554420170e+01,7.632681618e+01,9.938915115e+01,4.936916316e+01,6.674232297e+01,4.624254618e+00,3.554594169e+00,9.471348945e+01,7.079963581e+01,9.598282592e+01,1.211128906e+01,8.144613120e+01,7.456381440e+01,8.600761294e+01,9.572519230e+01,1.423916818e+01,3.785067840e+01,7.553740595e+01,1.954087188e+01,2.990360088e+01,4.526146747e-01,3.349076801e+01,5.120676944e+01,8.522335868e+01,1.695909433e+01,7.361810922e+01,4.414509653e+01,2.500870150e+01,5.887573050e+01,8.795478990e+01
1.805713176e-01,2.332149432e+01,3.408146612e+01,2.250186031e+01,6.044421011e+01,6.054770916e+01,7.357229600e+01,7.512258587e+01,4.020384209e+01,4.216773278e+01,8.055506445e+01,8.282678062e+00,4.989556717e+01,8.242745383e+01,5.873152250e+01,8.635269275e+01,8.308752483e+01,2.440013862e+01,3.297122565e+00,4.559778145e+01,9.396529933e+01,1.605788231e+01,1.677860381e+01,6.763187784e+01,2.088773443e+01,4.919154993e+01,1.224624293e+01,7.018939228e+01,1.022949472e+00,6.451323536e+01,8.524244756e+01,8.853613458e+01,4.586585576e+01,6.263049681e+01,7.970210922e+01,3.245750092e+01,5.359957234e+01,3.388801163e+01,7.396515702e+01,3.917932703e+00,6.881694937e+00,7.093975130e+01,2.278828826e+01,7.073298433e+01,7.788871812e+01,1.062898581e+01,8.246712293e+01,3.529073455e+01,1.932445105e+01,1.593587288e+01,9.711092805e+01,2.616051200e+01,3.048600896e+01,8.547507309e+01,1.989857197e+01,3.910195006e+01,4.043519865e+01,5.389493003e-01,6.868181817e+01
