v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45
7.681176348e+01,3.328758933e+01,2.714374402e+01,5.653778172e+01,6.978433886e+01,6.989283984e+01,9.403937277e+01,7.264818241e+01,8.053983636e+01,2.619711309e+01,9.760654921e+01,6.248114038e+01,7.403841438e+01,9.521881933e+01,3.849026642e+01,9.083182390e+01,1.285945190e+01,9.756415159e+01,3.962090609e+01,1.062228221e+01,7.327543260e+00,4.962770472e+01,5.317366173e+01,7.444451237e+01,7.398397203e+01,7.015716958e+01,6.609138126e+01,8.529740894e+01,1.351969376e+01,9.644808003e+01,9.763723295e+01,1.018979103e+01,5.257531879e+00,9.401537123e+01,2.136468748e+01,3.552680238e+01,3.479630946e+01,9.869087620e+01,9.583469789e+01,9.758277388e+01,1.219610938e+00,5.491991030e+01,7.963773881e+01,3.736659386e+01,8.025563593e+01
3.011019053e+01,9.759308799e+01,7.204748216e+01,8.913252665e+00,7.474172275e+00,6.807200851e+01,2.621960993e+01,2.163425173e+01,5.922717618e+01,2.000515503e+01,4.113098198e+01,2.407762129e+01,6.038297753e+01,1.766099813e+01,5.691140376e+01,3.082714878e+01,3.392170687e+00,4.258110229e+01,2.625265641e+01,2.526580101e+01,6.265505968e+00,7.060292511e+01,1.665838090e+01,3.309626764e+01,6.483398151e+01,4.655386033e+01,5.626522339e+01,6.119192149e+01,6.981874807e+01,3.706315579e+01,9.301565564e+01,7.178310976e+01,1.927985428e+01,2.596219291e+01,7.362535967e+01,2.645021932e+01,7.405508246e+01,1.471989441e+01,6.316576780e+01,3.254553672e+01,8.597984505e+01,3.273237223e+01,9.646105928e+01,3.699471214e+01,7.332953853e+00
1.472477431e+01,8.011233159e+01,3.138558835e+01,8.149440165e+01,8.309279258e+01,1.629653865e+01,4.793037930e+01,3.691479442e-01,2.212499894e+01,4.961364051e+01,3.648898093e-01,2.908311780e+01,7.228775614e+01,3.431678319e+01,2.832680117e+01,1.919854613e+01,2.381868228e+01,7.741043692e+01,4.927077977e+01,9.312795307e+01,3.213703768e+00,1.351528346e+00,8.756942176e+01,4.243215387e+01,6.722145695e+01,9.170410517e+01,9.685918081e+01,6.218751976e+01,1.514457899e+01,6.176385855e+01,1.693903243e+01,5.109297884e+01,7.130470897e+01,6.304616712e+01,9.777189977e+01,9.484940155e+01,3.487177128e+01,5.138533446e+00,9.052673951e+01,9.050723151e+00,8.944046688e+01,6.803336516e+01,6.144832415e+01,2.256192912e+01,1.200618301e+01
6.081720702e+01,9.783563667e+01,7.924275793e+01,4.399860220e+01,5.286392519e+01,8.906634310e+00,6.174129651e+01,3.759892877e+01,3.202946474e+01,9.832320098e+01,9.051461273e-02,3.469106543e+01,1.583002885e+01,5.499489989e+01,3.716723322e+01,7.198041505e-02,6.631426068e+01,2.453433320e+01,7.195413454e+01,3.511707547e+01,7.238517019e+01,8.925252695e+01,7.814836924e+01,8.193336790e+01,6.970775016e+01,2.680761710e+01,1.790197871e+01,8.475255065e+01,9.742196673e+01,5.845350032e+01,4.735731076e+01,2.223067211e+01,1.910108792e+01,1.855431559e+01,5.807882229e+01,3.062631038e+00,3.742794808e+01,7.235046280e+00,3.641054115e+01,8.307551429e+01,7.561689066e+01,2.099098618e+01,5.109854429e+01,9.301593456e+01,1.542569239e+01
4.969825306e+01,8.716059197e+01,4.972055059e+01,1.318471621e+01,3.950876117e+01,7.599101401e+01,9.341380412e+00,5.852476420e+00,6.992543827e+01,8.162106337e-01,5.383013417e+01,3.369448221e+01,2.760098169e-01,3.697462612e+01,7.763509710e+01,7.131721982e+01,3.957126137e+01,6.883336870e+00,2.116989977e+01,6.223081668e+01,4.394504397e+01,1.663057245e+01,3.012008685e+01,4.775671681e+01,8.086497180e+01,4.170002034e+01,6.931104541e+00,7.430325839e+01,2.508075369e+01,1.408805520e+01,9.635560856e+01,5.750415292e+01,2.224078791e+01,8.710120639e+01,7.191328885e+01,6.032656193e+01,3.931484651e+01,6.625064958e+01,1.724337651e+01,8.153569045e+00,9.761783764e+01,4.247307372e+01,9.297627272e+01,2.142277244e+01,5.551818839e+01
4.210187968e+01,9.882088716e+01,7.796132767e+01,4.755582465e+01,3.699913329e+01,7.129334493e+01,8.630379315e+01,4.680588123e+01,2.851365225e+01,4.829957121e+01,3.576832833e+01,7.203775510e+01,1.682675269e+01,7.046013262e+01,7.798799433e+01,1.324434334e+01,2.620056119e+01,6.785234010e+01,1.736576337e+01,8.434652955e+01,9.921667823e+01,4.548124130e+01,1.239297217e+01,8.815989131e+01,7.862178935e+01,1.707304364e+01,4.532498159e+01,5.773326285e+01,3.579479671e+01,3.036048310e+00,7.530646965e+01,2.402977359e+01,1.775437865e+01,5.920191302e+01,1.068176882e+01,5.366591308e+01,4.074861674e+01,5.749739659e+00,6.236984708e+01,8.077358318e+01,1.217584684e+01,5.714530617e+01,6.068237570e+01,9.029195952e+01,8.986227206e+01
6.155745650e+01,5.377079539e+01,2.094668107e+01,8.747582920e+01,9.947235333e+01,8.486926795e+01,2.677696887e+01,5.566515023e+01,7.461682154e+01,5.994226940e+01,4.603984204e+01,2.365065193e+00,8.420101118e+01,3.784855890e+00,7.185481187e+01,5.410904680e+01,5.829550458e+01,8.347383767e+01,9.553156239e+01,7.094423337e+01,1.114311457e+01,2.708301883e+01,7.363799846e+01,1.079116720e+01,1.946254198e+01,2.292414950e+01,1.134650515e+01,6.652523280e+01,3.284113614e+01,9.817512967e+01,6.266406398e+01,9.297271963e+01,8.025768790e+01,5.693432922e+01,3.280590786e+01,2.474135423e+01,7.289485166e+01,7.084097351e+01,1.368156907e+01,5.927283024e+01,8.713736694e+01,2.558537245e+01,5.630313737e+01,8.696974719e+01,1.821846000e+01
6.371798306e+00,8.686412924e+01,2.181561438e+01,8.314394137e+01,3.019028768e+01,6.883558444e+01,1.836187078e+00,2.971671102e+01,6.271919499e+01,7.831753603e+01,4.154055777e+01,8.850943260e+01,9.799526955e+01,4.411638357e+01,1.602303733e+01,3.121993009e+00,7.369386429e+01,9.845558613e+01,2.606738795e+01,4.453148554e+01,8.771687117e+01,3.405964280e+01,9.037945149e+01,5.866277125e+01,3.368535241e+00,1.244702132e+01,9.267921213e+01,9.332108822e+00,9.321916168e+01,2.238702195e+01,5.975776600e+01,9.246585976e+01,8.160355167e+00,7.482289108e+01,3.145101059e+01,3.012995083e+01,7.334900125e+00,2.649276583e+01,4.566984640e+01,7.706629790e+01,7.913796559e+01,7.047271770e+01,9.847852964e+01,1.773251320e+01,9.760167704e+01
3.459121022e+01,1.278843598e+01,1.723358282e+01,7.903697498e+01,9.427333413e+01,5.006963182e+01,9.254945107e+00,4.647216784e+01,1.913554890e+01,6.794677516e+01,1.444494955e+01,4.720411869e+01,6.158992997e+01,6.685088553e+01,2.586123910e+01,2.358871497e+01,5.873278344e+00,7.555034489e+00,1.452544237e+01,7.672174173e+01,5.870816285e+01,9.667219434e+01,4.657092933e+01,4.163959034e+01,7.722225426e+01,7.984666209e+01,1.420957391e+01,4.692894575e+01,9.056081175e+01,6.575656928e+01,2.581822463e+01,2.782669579e+01,9.461095513e+01,3.660360695e+01,2.076764166e+01,1.430209452e+01,1.875114970e+01,9.812350222e+01,3.091353522e+01,3.394431321e+01,7.505169802e+01,6.407445078e+01,6.928124816e+01,3.103874239e+01,2.969421971e+01
9.598607613e+01,8.278074369e+00,9.504892345e+00,6.702805614e+01,7.752962291e+01,6.522697521e+01,4.672281315e+01,7.453173923e+01,4.770362650e+01,9.528002743e+01,9.862628218e+01,5.612725156e+01,2.632811866e+00,2.882249630e+00,8.355790868e+01,9.150651089e+01,9.103512262e+01,5.718113707e+01,2.958761536e+01,9.872484912e+01,2.828787670e+01,4.187343024e+01,7.613000768e+01,7.173019157e+01,2.367719983e+01,3.249054641e+01,1.396345220e+01,9.845678812e+01,1.391957372e+01,4.531162832e+01,3.007571022e+01,3.690820358e+01,5.783717628e+01,8.795003369e+01,4.797259678e+01,4.095985859e+01,8.866922687e+01,9.560966854e+01,5.639500673e+01,9.090815316e+01,9.447311382e+01,4.106020614e+01,2.157679110e+01,7.458931950e+01,7.422750164e+01
3.863802614e+01,9.009318895e+01,5.249324244e+01,9.786263943e+00,8.574961312e-03,9.034374423e+01,9.352146847e+01,6.119265155e+00,1.679014869e+01,2.894906745e+01,6.391078227e+01,5.891220494e+01,7.780686746e+01,1.437676403e+00,9.687395289e+01,7.115389720e+01,9.444936551e+00,8.646756584e+01,7.228691223e+01,4.123058843e+01,1.351305228e+01,2.520252684e+01,1.572357628e+01,9.843292566e+01,3.187857738e+01,4.198660698e+01,4.661845724e+01,8.539463968e+01,2.789218279e+01,9.281734958e+01,8.307111134e+01,1.558115094e+01,6.778109634e+01,4.985655421e+01,3.040627820e+01,5.220552177e+01,2.455334128e+01,4.218756604e+00,5.259154327e+01,8.345523293e+01,6.648157334e+00,1.927764112e+01,4.790262817e+01,2.710358958e+01,1.777828570e+01
5.368470102e+01,8.032435605e+01,2.568881930e+01,6.070272374e+01,6.446335549e+00,3.754462445e+01,6.161230409e+01,1.417618731e+01,6.943551691e+01,9.807626508e+01,5.220813372e+01,3.717001708e+01,9.896725346e+01,7.387528736e+01,1.942889849e+01,9.070773202e+00,2.096023523e+01,8.775288993e+01,8.850022511e+01,7.958892426e+01,4.058390241e+01,8.393376101e+01,7.881621715e+01,2.544448474e+01,9.418125330e+01,5.957767604e+00,6.024513387e+00,4.254418761e+01,3.018254113e+01,5.804059683e+01,7.133582804e+01,5.408502686e+01,7.771330849e+01,7.345885887e+01,8.655608826e+01,5.578870645e+01,2.857502946e+01,8.163537720e+00,4.731061749e+01,9.940729131e+01,3.973455809e+01,4.210085595e+01,8.341857386e+01,2.897003775e+01,4.133880413e+01
5.626457151e+01,8.382118261e+01,3.017735317e+01,1.665708527e+01,8.873659344e+01,8.780470280e+01,5.403126472e+01,6.427214473e+01,3.690713680e+01,5.605172770e+00,7.864377284e+01,4.607581493e+01,8.337447569e+01,8.591606392e+01,8.853569429e+01,4.449031577e+01,8.261548430e+01,1.748050367e+01,9.626861548e+01,9.514433312e+00,4.224309035e+01,4.709695179e+01,2.139876559e+01,9.111196879e+01,4.807821922e+01,4.214571765e+01,5.563694349e+01,6.362932228e+01,5.825935836e+01,4.238577140e+01,5.515141999e+01,9.980316771e+01,7.063491565e+01,5.909660088e+01,5.575703583e+01,3.202658976e+01,1.104378254e+01,2.331413347e+01,6.201211532e+01,9.084132304e+01,2.144059695e+01,6.300611964e+01,4.783646420e+01,3.562388728e+00,4.029642352e+01
5.125555167e+01,1.394765384e+01,6.440893638e+01,6.686853652e+01,2.658896187e+01,8.144507840e+01,2.451305760e+01,8.077585528e+01,4.269218961e+01,7.051182856e+01,1.465228917e+01,2.473484129e+01,9.965751399e+01,9.277469900e+01,5.141896217e+01,7.665891984e+01,1.524815737e+01,4.763985886e+01,6.241316493e+00,6.992731001e+01,8.956591295e+01,9.456795547e+01,4.636266341e+01,1.458401657e+01,4.466532982e+01,4.636307639e+00,1.823220005e+01,3.134608969e+01,7.103080751e+01,4.803493210e+01,1.519590210e+01,1.818802564e+01,5.070046162e+01,3.505724995e+01,6.436195102e+01,8.265159796e+01,5.770487676e+01,1.882012961e+01,6.783345349e+00,3.796809025e+01,1.342563039e+01,6.106840482e+01,5.971662876e-01,2.528266732e+00,1.227139601e+01
6.815811758e+00,5.815931450e+01,6.524546167e+00,8.440145918e+01,1.700141175e+01,3.701756478e+01,1.829259778e+01,8.658090564e+01,4.940382700e+01,3.807816625e+00,7.449148733e+01,9.021904676e+01,6.946445063e+01,3.596853594e+01,9.574251937e+01,9.261276377e+01,6.079989262e+01,2.217914128e+01,5.285239070e+01,9.152466642e+01,4.429261175e+01,2.413410585e+01,9.244228642e+01,8.724649180e+01,2.078235072e+01,2.458753914e+01,3.855305403e+01,3.385586388e+00,5.535995576e+00,5.528743345e+01,5.411095306e+01,1.604987936e+01,2.919102769e+01,8.119644632e+01,1.982322975e-01,7.931473533e+01,1.071975515e+01,2.732446944e+01,1.612754545e+00,9.569318447e+01,3.674185548e+01,4.009487284e+01,3.683992907e+01,1.729297390e+01,1.151763779e+01
7.737244964e+01,6.350675597e+01,8.714046543e+01,2.984785171e+01,3.053857949e+01,7.390631731e+01,9.936480910e+01,8.462981545e+01,3.672376801e+01,4.611770537e+01,8.848612277e+01,9.282557019e+01,9.949645879e+01,6.008130853e+01,6.206759822e+01,1.517975831e+01,8.159742870e+01,6.433067958e+01,3.523119776e+01,1.564207811e+01,4.689642736e+01,1.372048139e+01,9.140105448e+01,7.730436829e+00,4.475154580e+00,7.553569689e+01,1.619879004e+01,8.931380538e+01,4.439269112e+01,1.735651224e+01,1.526281231e+01,8.310182660e+00,6.916364925e-02,6.912289418e+01,5.793063372e+01,3.969296761e+01,8.343300273e+01,3.124174510e+01,2.413520863e+00,8.917304413e+01,6.758270985e+00,1.448159179e+01,8.983030619e+01,3.081344537e+01,6.171178276e+01
2.529766550e+01,4.943578324e+01,6.741852701e+01,2.518458094e+01,1.373692649e+01,3.288379655e+01,3.849739284e+01,6.391021935e+01,3.905594435e+01,2.862769791e+01,1.118867506e+01,3.133534865e+01,3.149416771e+01,2.703602859e+01,4.530848443e+01,1.982393479e+01,3.357769125e+01,7.996840849e+01,9.751388670e+01,2.361846114e+01,8.414678282e+01,5.790320038e+01,6.014630884e+01,3.639485641e+01,6.877469526e+01,5.195083235e+01,1.939612592e+01,7.782273634e+01,5.587760998e+01,2.029735043e+01,9.143926311e+01,6.382012731e+01,2.122409432e+01,5.638013152e+01,7.251524052e+01,6.952985365e+01,3.523992650e+01,4.793472389e+01,9.925945085e+01,3.946994060e+01,3.775492553e+01,8.204805178e+01,9.457255665e+01,1.995264900e+01,5.918450313e+00
6.604384252e+01,3.747568355e+01,2.580038995e+01,3.450635811e+01,9.834232837e+01,8.649750799e+01,8.011121030e+01,3.523525685e+01,5.776235515e+01,7.456387348e+01,5.316265830e+01,5.330235110e+01,2.474190051e+00,6.694416238e+01,6.046744504e+01,1.018520713e+01,7.640868134e+01,3.289751288e+01,8.631633438e+01,1.372888225e+01,8.137297933e+00,3.991376892e+01,3.246724554e+01,4.020968553e+01,4.356629584e+00,6.702789652e+01,2.771905420e+01,8.590385877e+00,3.800971961e+01,7.287460401e+01,8.343740126e+01,1.065438448e+01,9.285354350e+01,8.348368375e+01,6.490365798e+01,7.322440273e+01,2.298841091e+01,9.590845424e+01,1.024634436e+01,2.622615036e+01,1.323564476e+01,4.459222314e+01,7.613603044e+01,2.560340713e+01,8.637225897e+01
8.636039315e+01,2.533889157e+01,6.410745673e+00,4.157177082e+01,9.345834164e+01,9.101945580e+00,9.692404614e+01,4.993231460e+01,4.256008295e+01,5.546760780e+01,1.803378276e+01,1.278070305e+00,8.572825689e+01,1.910552386e+01,9.332937291e+01,5.103513641e+01,9.367327843e+01,3.045605263e+01,9.037418029e+01,6.164342744e+01,2.630917582e+01,9.862866527e+01,7.302628245e+01,2.333127990e+01,4.182180273e+01,6.527958894e+01,3.977187773e+01,7.916829266e+00,8.009685685e+01,2.701699362e+01,7.419785068e+00,5.782459891e+01,9.718746516e+00,1.564816639e+01,3.681413227e+01,5.676499632e+01,2.693432900e+01,4.053964935e+01,5.979334410e+01,3.149860967e+01,7.192163248e+01,5.279902966e+01,2.563963002e+01,6.046588058e+00,4.090564230e+01
1.133617119e+01,8.101486477e+01,1.861293631e+01,5.956192582e+01,4.755472390e+01,7.760271973e+01,6.456780936e+01,2.148300787e+01,1.757950873e+01,6.590746089e+01,6.463643881e+01,5.457311507e+01,8.033882867e+00,1.793343321e+00,4.548302034e+00,4.861731788e+01,9.271143799e+01,6.128127664e+01,6.345672319e+01,1.196459470e+01,2.164404443e+01,7.396771338e+01,2.210696112e+01,8.177401705e+01,5.958591833e+01,6.031395065e+01,7.496719459e+01,9.352899158e+01,7.249378246e+01,2.868439684e+01,2.871768826e+01,4.112355864e+01,7.179684550e+01,5.028705031e+01,3.811340682e+01,9.762735320e+01,4.286320052e+01,9.274962107e+01,9.380039644e+00,7.873827766e+01,8.769766294e+01,5.623272375e+00,7.907434306e+01,7.267146431e+01,1.377826668e+01
8.794368166e+00,1.945304906e+01,5.503543892e+01,7.238462900e+01,8.313998835e+01,2.898271646e+01,8.542147280e+01,9.247488603e+01,6.020031734e+01,8.427505832e+01,2.609722754e+01,7.249618387e+01,5.746945001e+01,7.562985047e+01,8.097611138e+01,5.042107641e+01,1.454187572e+01,5.283618179e+01,2.459080737e+01,8.307519020e+01,6.041305368e+01,4.492932845e+01,6.856681192e+01,3.207678188e+01,8.890571569e+01,8.715900656e+01,9.248334074e+01,6.624256113e+01,8.852283893e+01,9.823724661e+01,3.519040156e+01,9.726022063e+01,8.712520554e+01,9.800938724e+01,3.240130272e+01,9.998233016e+01,1.852349539e+01,1.162854057e+01,3.429156189e+01,7.693477028e+01,1.434005662e+01,2.498208077e+01,7.794952190e+01,4.486533452e+01,4.495078378e+01
4.466392062e+01,2.698734731e+01,2.248660392e+01,7.984129195e+01,5.020707714e+01,1.701662926e+00,8.571896062e+01,4.780907567e+01,2.322686040e+01,7.373771069e+01,3.458062674e+01,1.499196720e+01,7.364325133e+01,1.004625527e+01,6.240651363e+01,7.993548111e+01,2.647220938e+01,9.078084278e+01,2.860463720e+01,2.587094744e+01,5.790456709e+01,9.075279726e+01,2.363661444e+01,7.560496397e+01,6.565841222e+01,7.976482301e+01,1.272520810e+01,6.536770611e+01,5.008632733e+01,3.960325463e+01,4.540444495e+01,4.561678371e+01,4.496952227e+01,1.786180120e+01,4.235617734e+01,1.814341538e+01,4.199477596e+01,8.823131305e+01,2.861673278e+01,8.531263711e+01,3.731358543e+01,1.848959691e+01,9.699464474e+01,1.814013678e+01,8.171284693e+01
7.107374285e+01,2.726981894e+01,8.702687211e+01,6.127177980e+01,3.824538308e+01,8.074797906e+01,4.224587407e+00,1.817426799e+00,7.815697710e+01,6.789872200e+01,7.632991553e+01,6.250004491e+01,4.906509332e+01,7.719926119e+01,9.386792851e+01,1.463489842e+01,5.207060576e+01,4.032979747e+01,8.757094378e+01,2.205985423e+01,8.358326314e+01,4.643432989e+01,2.968995207e+01,5.027707774e+01,2.945575484e+01,2.484451226e+01,8.451214307e+01,7.829623062e+01,8.169434165e+01,1.176970113e+01,8.872692687e+01,2.851848096e+01,9.222202590e+01,7.416246088e+01,4.120538650e+01,9.909524439e+01,9.602782245e+01,6.404853183e+01,8.331701618e+01,4.760690621e+01,7.479380434e+01,9.105301070e+01,1.402641792e+01,8.983565364e+01,5.368497887e+00
