v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44
3.234137316e+01,2.296545236e+01,1.842005046e+01,2.518008297e+01,1.621780838e+01,3.916975503e+00,9.663696378e+01,5.198856539e+01,9.460888276e+01,1.838104489e+01,2.724159146e+01,9.651901078e+01,8.447042391e+01,5.782695811e+01,1.109220493e+01,1.161703369e+01,3.398228077e+01,3.286354486e+01,8.319863536e+00,3.950887802e+01,3.774947609e+01,8.594152111e+01,4.452431787e+01,8.072175166e+01,6.234146026e+01,7.153618311e+01,2.017748845e+01,8.592674899e+01,3.010167704e+01,4.615839812e+01,4.375064351e+01,5.772752136e+01,6.820018010e+01,1.443290568e+01,7.571307462e+00,4.101098916e+01,3.812197839e+01,8.609383152e+01,5.995998371e+01,1.265306390e+01,6.481885246e+01,8.418905251e+01,8.914611541e+01,4.484084620e+01
3.832258841e+01,9.965647095e+01,2.201892700e+01,8.700726579e+01,3.952375327e+01,6.994884056e+01,1.405825780e+01,1.350269928e+01,1.005990218e+01,1.264303724e+01,6.260264120e+01,2.009451531e+00,7.258570187e+01,8.319069639e+01,2.026715045e+01,8.665919688e+01,3.328908162e+01,4.735111995e+01,6.257311803e+01,1.639195830e+01,6.593820250e+01,9.474257505e+01,7.094285172e+01,6.422017717e+01,5.915410047e+01,3.313074777e+01,9.445442423e+00,6.415711787e+01,2.140966738e+01,7.419832823e+01,1.109383963e+01,2.548455616e+01,6.349709743e+01,5.599814388e+01,6.359786494e+01,4.090015414e+01,1.447327235e+01,7.904904887e+01,8.625235372e+01,5.800026052e+01,8.541694441e+01,1.312702705e+01,4.856097835e+01,5.989250160e+01
2.723839132e+01,5.838376122e+01,8.568595205e+01,7.811382789e+01,9.685769897e+01,3.861563761e+01,4.960630296e+01,1.006078686e+01,2.068183583e+01,3.943599480e+01,5.883546749e+01,6.992534431e+01,8.256070616e+01,9.000502532e+01,7.850450930e+01,7.420917248e+01,6.494924873e+01,8.900981725e+01,2.017521834e+00,9.919104600e+01,3.163560828e+01,6.488042482e+00,2.207038869e+01,2.766798857e+00,9.967981808e+01,5.452374199e+01,3.976588274e+00,1.475650269e+00,5.111279914e+01,9.791838410e+01,3.051857134e+01,4.523784984e+01,6.755467001e+01,9.858149133e+01,3.604777171e+01,8.703509787e-01,9.591821800e+01,4.538720892e+01,1.125244807e+01,9.971006976e+01,1.367259178e+01,6.222768625e+01,4.599747469e+00,9.168779160e+01
4.316697583e+01,2.615679170e+01,3.348456542e+01,7.768892739e+01,9.157935214e+00,3.643871973e+01,9.819312951e+01,1.959629872e+01,6.100247996e+00,8.107755380e+01,9.755208703e+01,6.877469408e+01,6.135121244e+01,6.587150567e+01,4.166444546e+01,2.128937030e+01,4.439089475e+01,9.143051794e+01,8.188614216e+01,4.540652253e+01,3.117176894e+01,6.163433269e+01,3.357099776e+00,2.589258449e+01,5.691779053e+01,7.548742869e+01,7.759549117e+00,6.288240315e+01,3.826411697e+01,5.911394158e+01,8.110854425e+01,7.160120970e+01,1.294527718e+01,1.325632880e+01,2.725100390e+01,2.436093193e+01,3.315183451e+01,2.293614092e+01,2.055494056e+01,9.127960002e+01,4.761955121e+01,6.502768572e+01,5.498509339e+01,1.439580268e+01
1.370737373e+01,6.641790283e+01,8.783745552e+01,7.024810191e+01,6.212612633e+01,8.595193741e+01,3.644448784e+00,7.462381673e+01,8.519449625e+01,5.439387103e+01,5.540696867e+01,7.102184418e+01,7.576194726e+01,8.745805262e+01,6.045419810e+01,1.026453407e+01,2.576553090e+01,7.090876690e+01,2.112729808e+01,5.060713608e+00,2.524649295e+01,9.415725728e+01,8.678748679e+01,1.257524175e+01,4.639439358e+01,9.241045060e+01,2.526182163e+01,2.129503164e+01,8.111116308e+01,7.946921164e+01,5.823768618e+01,1.437559565e+01,9.289058063e+01,5.379341809e+01,4.876140674e+01,6.671336673e+00,2.179120354e+01,6.856100901e+01,7.496971707e+01,5.787226686e+01,6.710788258e+00,7.523889764e+01,9.413174126e+01,5.086851781e+00
7.447592291e+00,7.209792177e+01,6.433715125e+01,1.367420280e+01,5.730845354e+01,1.549327066e+01,7.456161569e+01,8.292655340e+01,1.677564019e+01,4.648819042e+01,1.483439341e-01,7.741941059e+01,8.366194752e+01,2.483931764e+01,9.299005004e+01,9.570021219e+00,2.669168738e+01,7.001836384e+01,3.979205284e+01,8.273203297e+01,6.126181867e+01,9.233431043e+01,9.124718217e+00,2.266902226e+01,4.267508471e+01,8.048568113e+01,1.275063438e+01,4.203108773e+01,7.675503018e+01,1.296160943e+01,9.767601013e+01,4.105709769e+01,4.858510904e+01,9.198304804e+01,2.268484048e+01,5.840508413e+01,5.338013559e+01,1.951408546e+01,8.162933909e+01,2.103751924e+01,3.260045831e+01,5.392134248e+01,8.228611206e+01,9.194258976e+01
1.471487681e+01,8.163857171e+01,1.238771096e+01,5.114981983e+01,8.799948079e+01,1.881673561e+01,1.585468506e+01,9.616091881e+01,1.400792013e+01,8.072785344e+01,9.268565739e+01,5.420299645e+01,2.079847985e+01,4.249179642e+01,2.441210289e+01,2.474214116e+01,9.313582823e+00,5.922678063e+00,2.834157531e+01,2.375775577e+01,5.127543782e+01,2.180408151e+01,8.764173238e+01,3.629569761e+01,7.818932836e-02,2.711647693e+01,1.532965884e+01,3.955120778e+01,1.689262103e+01,1.671509525e+00,3.854857843e+01,3.029180423e+01,9.686683708e+01,9.956285730e+01,1.644821193e+01,6.785933593e+01,9.688099001e+01,2.653200473e+01,8.076402682e+01,4.798312335e+01,5.629356993e+01,1.696338615e+01,7.119980425e+01,4.405623847e+01
1.063516515e+01,1.678878145e+01,4.633473831e+01,8.224624513e+01,2.509634568e+01,1.446207622e+01,1.641452277e+01,4.043191968e+00,3.225006730e+00,5.716717194e+01,3.535594034e+01,3.117727776e+01,5.863318657e+01,7.724448507e+01,8.282880281e+01,6.703415219e+01,4.052796816e+01,5.367408064e+01,3.127798452e+01,2.040497708e+01,5.201119790e+01,2.270845077e+01,9.974762319e+01,9.781865250e+01,9.238084265e+01,3.096587106e+01,9.631311211e+01,9.575724100e+01,5.529116087e+01,7.669310154e+01,3.007289552e+01,7.073018540e+01,1.347756782e+00,7.622607656e+01,7.397338629e+01,6.173043728e+01,2.390374782e+00,3.820496698e+01,4.096296810e+01,4.632446734e+01,1.559357004e+00,7.939838632e+01,2.434721553e+01,1.840064211e+01
5.678782899e+01,6.098669905e+01,9.195442117e+01,1.492426177e+00,8.935129687e+01,6.050745076e+01,8.018822161e+01,2.043572245e+01,1.172601762e+01,1.085243609e+01,9.448368907e+01,1.131406945e+00,2.614475864e+01,8.350912038e+01,4.047183338e+01,7.293909817e+01,1.721283510e+00,9.311380734e+01,1.520535076e+00,4.707511997e+01,4.052517810e+01,4.102945538e+01,3.675530105e+01,7.652640262e+00,4.621670341e+01,7.386854667e+01,9.156439567e+01,9.556636231e+01,1.023506653e+00,4.762478781e+01,1.023214869e+01,2.064262070e+01,1.370750878e+01,4.077728666e+01,3.986756711e+01,2.297984269e+01,6.785176375e+01,6.597414168e+01,2.504371623e+01,5.008508757e+01,2.002905493e+00,2.547937656e+01,4.291634210e+01,4.247919443e+00
6.432265492e+01,2.450570907e+00,3.663364615e+01,2.178008184e+01,8.345385352e+01,7.081295289e+01,6.772269202e+01,4.505964651e+01,6.313599507e+01,6.289152567e+01,6.741200498e+01,3.067306969e+01,9.304235665e+01,1.225606609e+01,5.027883068e+01,6.247366114e+01,5.801483451e+01,3.217084967e+01,1.686100405e+01,9.939156383e+01,9.650575123e+01,2.016801998e+01,1.786169112e+01,8.344752752e+01,9.525353228e+01,6.974650639e+01,2.415414576e+01,5.941470955e+01,5.550486422e+01,7.174005137e+01,2.403037331e+00,6.264242489e+01,3.249778834e+01,4.080906494e+01,7.193059987e+01,3.297419886e+01,8.681306836e+01,7.885092102e+00,4.008581112e+00,9.960142058e+01,5.568462831e+01,5.936055461e+01,6.199324367e+01,3.463373968e+00
8.175286305e+01,3.849191818e+01,5.909444339e+01,4.059007674e+01,2.682305790e+01,5.592566275e+01,3.521010501e+01,8.218518775e+01,7.194316412e+01,7.392605952e+01,8.337454799e+01,4.324617283e+01,4.690087729e+00,3.470972785e+01,4.026538043e+01,1.538006508e+01,6.357148648e+01,5.714379098e+01,7.785260196e+01,2.889275393e+01,2.163869821e+00,1.923338496e+01,8.431905040e+01,5.241859414e+01,6.968588104e+01,6.251259187e+01,1.080727644e+01,8.641627405e+01,4.831896990e+01,3.611290901e+01,1.980276220e+01,3.929933961e+01,7.977826431e+00,8.058100885e+01,5.956551519e+01,3.418251557e+01,7.472188151e+01,8.482356969e+01,3.448345472e+01,4.900492685e+01,1.061179434e+01,7.630682413e+01,2.393597903e+01,7.486536040e+01
2.790076814e+01,1.549988186e+01,1.507205358e+01,9.831863787e+01,1.690995845e+01,4.971786111e+01,9.892284323e+01,3.803866949e+01,1.427143939e+01,2.846125476e+01,7.825076000e+01,7.036853783e+01,8.335553206e+01,5.996232264e+01,7.976245648e+01,1.218258105e+01,4.255065562e+01,1.453607652e+01,1.823754865e-01,2.769017771e+01,6.140727986e+01,4.184067112e+01,5.326007098e+01,5.070840808e+01,8.256319766e+01,5.105066109e+01,5.147920066e+01,5.073525977e+01,2.619247796e+01,4.273202908e+01,2.880777024e+01,1.303287331e+01,3.113284211e+01,9.085543894e+01,3.231595943e+01,9.340980246e+01,8.709814428e+01,5.864033273e+00,4.848031411e+00,2.682544069e+00,8.873502132e+01,9.592291995e+01,9.478288485e+01,7.422902711e+01
5.828257168e+01,4.972459927e+01,1.003958205e+01,6.396352855e+01,4.362475471e+00,9.034494400e+01,3.704003249e+01,5.123519853e+01,8.087776454e+01,6.913487850e+01,9.609340815e+01,8.135058558e+01,1.747167663e+01,3.802869927e+01,4.032868329e+01,8.882532475e+01,3.551330561e+01,7.249333207e+01,6.880733231e+01,1.460187724e+01,1.139039770e+01,8.210550638e+01,8.300576974e+01,7.583335644e+00,9.784076348e+01,2.656798384e+01,4.204740287e+01,9.636309236e+01,5.950066350e+00,3.687208873e+01,5.608914273e+01,2.821152118e+01,3.571949145e+01,6.196184203e+01,7.125811691e+01,4.146838814e+01,7.134118394e+01,6.166196489e+01,2.823495572e+01,7.946292080e+01,7.095507939e+01,2.065839583e+01,4.708075673e+01,3.220419331e+01
4.234643775e+01,2.763897364e+01,5.376576086e+01,8.092535380e+01,2.295737868e+01,3.498483243e+01,6.301715266e+01,1.472033256e+01,3.895282570e+01,8.129743762e+01,1.780147962e+01,1.582662681e+01,1.907278879e+01,1.286053728e+01,6.516810227e+01,6.624505189e-01,8.631616580e+01,5.645714309e+01,2.713431209e+01,3.868768151e+01,5.058177339e+01,6.329763171e+01,7.387940283e+01,8.935903138e+00,6.652209166e+00,1.872960054e+00,2.123106064e+01,3.687817587e+01,9.514469406e+01,2.578917121e+01,8.359453733e+01,6.939970553e+01,1.193667154e+01,1.096537772e+00,5.515657301e+01,5.824156256e+00,1.716943332e+01,7.477302258e+01,1.059121886e+01,3.207460494e+01,8.916384595e+01,6.347354704e+01,8.673138625e+01,1.321187315e+01
9.166524745e+01,7.903824666e+01,9.387355032e+01,1.827788111e+01,4.045086086e+01,9.951330130e+01,5.141602902e+01,5.106987953e+01,7.278713734e+01,3.785785588e+01,1.391006163e+01,1.675191931e+00,2.406933362e+01,2.688802362e+01,2.347767695e+01,2.352786443e+01,2.906994136e+01,5.426128347e+01,8.792579880e+01,4.511197800e+01,6.615744530e+01,5.909988359e+01,5.126064643e+01,4.985038849e+01,6.569824964e+01,8.113869834e+01,4.935595553e+01,7.727960786e+01,9.396376577e+01,6.706783761e+01,3.004664158e+00,7.470902017e+01,1.730776924e+01,3.322585265e+01,4.015393156e+01,4.372274195e+01,6.419695022e+01,7.572353701e+01,6.193665190e+01,6.347620635e+00,9.937947840e+01,7.753341692e+01,6.370762811e+01,8.171563676e+01
7.314421262e+01,6.920617863e+01,2.478600478e+01,6.058856650e+01,7.866865820e+01,3.078378286e+01,5.951709909e+01,3.159052791e+01,6.331105159e+01,4.545786137e+01,1.331534668e+00,4.966122993e+01,4.969115594e+01,4.040864755e+01,8.426963300e+01,5.523139938e+01,8.850307870e+01,8.303910291e+01,6.131888441e+01,6.078343842e+01,9.766726433e+00,8.433720750e+01,9.467529942e+01,2.999240049e+01,1.030500550e+01,1.066687569e+01,4.876929046e+01,8.944491745e+01,4.863062017e+01,3.003141225e+01,1.202718123e+00,9.217130509e+01,7.259712625e+01,6.962366855e+01,4.946932329e+01,1.052163646e+01,4.029181999e+00,5.753532608e+01,7.369673743e+01,1.013238521e+01,4.312225411e+01,8.972722451e+01,4.008258256e+01,6.344567936e+01
4.553765017e+01,6.519933452e+01,2.726482657e+00,5.156706014e+00,6.839424330e+01,2.830655161e+01,4.162187268e+00,5.119382361e+01,4.691781927e+01,7.548577547e+01,6.053012751e+01,2.243773030e+01,7.971086626e+01,7.412526574e+01,3.494053455e+00,4.248242715e+00,5.734382258e+01,9.554798976e+01,5.705237652e+01,4.615063528e+01,7.133107950e+01,3.830384298e+01,4.771488338e+01,7.879480317e+01,1.091146932e+01,3.203436966e+01,1.762032368e+01,7.029748012e+01,2.315633397e+01,1.125411486e+01,2.409716482e+01,5.883530591e+01,4.107286150e+01,9.875653776e+01,3.667463184e+01,4.584417113e+01,8.033688665e+01,4.968819926e+00,3.304118888e+00,7.727225032e+01,2.826055481e+01,2.492454250e+01,1.383701250e+00,2.471568567e+01
2.002679712e+01,8.284566466e+01,6.612476234e+01,6.581783245e+01,8.508196946e+01,1.936642639e+00,9.458675354e+01,6.062646404e+01,3.026065415e+01,6.313085675e+01,9.119204921e+00,6.458033088e+01,2.994488642e+01,8.770002832e+01,3.792641209e+01,7.568206146e+01,5.917662558e+01,1.854970455e+01,5.732439262e+01,8.774326909e+00,2.307123206e+01,5.762316305e+01,8.227295826e+01,8.704555506e+01,7.363588608e+00,4.152713689e+01,9.265294881e+01,1.644537129e+01,9.359506488e+01,6.298832075e+01,1.704350752e+01,7.648489526e+01,9.262532755e+01,4.797089798e+01,3.153820751e+01,1.267603628e+01,6.383046346e+01,1.714106945e+01,7.935260242e+01,4.952572404e+01,7.781069225e+01,2.382108807e+01,9.122482345e+01,9.305620599e+01
2.047421344e+01,9.733805530e+01,5.123884246e+01,9.299291674e+01,3.484594080e+01,3.284766266e+01,1.511858565e+01,2.613882365e+01,2.857665381e+00,8.600448620e+01,2.973532895e+01,2.895949858e+01,4.461144947e+01,2.026978533e+01,3.000253899e+01,3.519342459e+01,7.868452318e+01,5.474651216e+01,9.730368501e+01,2.685548726e+00,5.152697379e+01,9.571555252e+01,9.408599711e+01,1.614855124e+01,3.621276944e+01,7.073674259e+01,7.071845426e+01,3.976496739e+01,7.602344832e+01,5.474700452e+01,6.882023817e+01,3.501290520e+01,8.505842207e+00,6.463464034e+01,4.159658221e+01,4.129099118e+01,5.437842252e+01,9.991532333e+01,2.616574848e+01,9.561338957e+01,9.748665724e+01,2.147915258e+01,8.722827968e+01,5.315682975e+01
5.391584416e+01,9.127176531e+01,9.953318121e+01,5.955681516e+00,7.762853965e+00,3.969191152e+01,3.381448196e+01,4.295907474e+00,2.333973529e+00,1.013010813e+01,4.407818115e+01,2.139013655e+01,9.088304639e+00,1.373250291e+00,9.232968502e+00,8.799512084e+01,4.528948416e+01,4.817066782e+01,2.128242668e+01,2.299767386e+01,4.330306366e+01,3.466979596e+01,5.864083624e+00,6.530623578e+01,7.430462071e+00,2.226410675e+01,3.112080029e+01,5.847819859e+01,4.142419121e+01,7.458200036e+00,4.998191641e+01,8.143159233e+01,6.512410808e+01,3.681697145e+01,8.103029528e+01,5.602359000e+01,7.308248388e+01,8.179066896e+01,9.142685581e+00,2.508009210e+01,5.324317106e+01,7.300798988e+01,5.016471084e+01,3.024760050e+01
4.906797435e+01,3.665600348e+01,8.861942248e+01,4.790434936e+01,6.516481201e+01,2.955501817e+01,1.938742634e+00,2.081131213e+01,2.301152243e+01,9.333075903e+01,7.135325647e+01,7.188341445e+01,3.797735383e+00,4.909378116e+01,7.580794492e+01,1.012663891e+01,5.699113874e+01,6.347894913e+01,8.296225755e+01,7.911767088e+01,1.810852545e+01,5.832252648e+01,4.818343028e+01,9.747796375e+01,8.089440576e+01,3.547019468e+01,6.734612971e+01,1.880143901e+01,2.363202270e+01,5.187696432e+01,4.747657887e+01,4.049427255e+00,7.665999037e+01,9.774979698e+01,8.015832805e+01,8.109945923e+01,4.143954203e+00,9.061250396e+01,5.261252832e+01,5.272164629e+01,3.686786121e+00,9.521343862e+01,8.098311407e+01,4.299399364e+01
3.731377973e+00,6.484446465e+01,7.429153303e+01,3.781308877e+01,9.425421809e+01,4.857023369e+01,6.452488704e+01,4.417623724e+01,6.593181946e+01,6.998891489e+01,6.949256986e+01,7.956682592e+01,7.299972271e+01,8.590379729e+01,5.567263398e+01,5.513047049e+01,2.860574553e+01,3.797743772e+01,2.451659009e+01,5.738412849e+01,3.295919244e+01,8.545232373e+01,4.482254374e+01,2.300473057e+01,6.053178058e+01,3.809548047e+01,6.958818359e+01,2.969230678e+01,4.943325431e+01,4.413762162e+01,3.624819312e+01,1.768627553e+01,8.447158433e+00,7.420355598e+01,3.532253687e+01,2.228228059e+01,2.234354418e+01,9.691230897e+00,3.352680822e+01,8.170123111e+01,7.441198237e+01,4.273065501e+01,5.311804057e+01,2.062080286e+01
9.339087700e+00,6.283097457e+01,7.438212543e+01,3.365327549e+01,9.716968103e+01,1.213989410e+01,1.425484502e+01,8.663723090e+01,3.571777746e+01,9.827556374e+01,1.009878651e+01,2.305394582e+01,3.683082186e+01,9.602292926e+01,7.216175793e+01,5.501262800e+01,8.862542162e+01,6.844525915e+01,6.417524488e+01,5.267724683e+01,6.557161005e+01,3.425307053e+01,3.714155536e+01,3.465338965e+01,2.702960192e+01,6.768318087e+00,5.446349387e+01,6.849740661e+01,8.619104846e+01,1.571208700e+01,2.737197954e+01,9.670632318e+01,5.259835306e+00,4.492919549e+01,8.241581758e+01,2.510173314e+01,5.324242578e+01,7.486399190e+01,1.635221899e+01,3.524621304e-01,7.490581589e+01,8.424798357e+01,4.751903394e+01,4.540156536e+01
8.353827896e+01,5.764109877e+01,1.797204750e+01,6.175926991e+01,2.559106142e+01,6.645106721e+01,8.882158688e+01,1.016377719e+01,1.307663066e+01,7.471727018e+01,3.602512678e+01,2.703903690e+01,7.989464096e+01,8.957607239e+01,6.909272039e+01,4.998283772e+01,9.506369923e+01,6.898400940e+01,4.051890437e+01,9.406457806e+01,4.539246486e+01,7.072238293e+01,4.466950404e+01,2.775823585e+01,3.076682286e+01,9.875214367e+01,6.060748833e+01,7.402966155e+01,1.524175961e+01,5.037912013e+01,1.478572459e+00,5.716225367e+01,4.396089224e+01,9.926527407e+01,1.789997280e+01,8.277050167e+01,1.524363796e+01,4.419965353e+01,6.577528766e+01,1.537393831e+01,1.877047868e+01,3.153593993e+01,8.601967666e+01,8.603672052e+01
