v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70
6.118534286e+01,8.680282213e+01,2.832268706e+01,5.735979601e+01,4.625042985e+01,4.185173452e+01,7.767872579e+01,3.130678472e+01,1.267406170e+01,3.133922344e+01,6.023446667e+01,9.666364847e+01,4.530860776e+01,8.257552304e+01,2.427807552e+01,1.436009610e+01,6.148972462e+01,7.625706487e+01,1.797897910e+01,2.644813146e+01,1.450305886e+01,8.249341470e+01,2.703084733e+01,4.909773255e+01,3.165783060e+01,9.100085990e+00,5.184611227e+01,5.317552717e+01,3.820398018e+01,7.855143019e+01,4.870130559e+01,7.660840914e+01,7.245378743e+01,5.000768943e+00,9.639055917e+01,5.341468548e+01,9.575388902e+01,5.131628118e+01,8.933477938e+01,2.724478940e+01,7.994143247e+01,9.338459470e+01,6.115019615e+01,2.766806598e+01,5.993930423e+01,4.013781596e+01,7.414817126e+01,7.365811429e+01,9.637368111e+01,6.130755405e+01,5.139859996e+01,3.376794125e+01,4.016208059e+01,4.834507480e+01,3.877435802e-01,7.837966374e+01,7.733492404e+01,9.532416704e+01,6.783958630e+01,7.149707809e+01,6.918422111e+01,1.666521078e+01,2.770609031e+00,1.538345533e+01,6.699151822e+01,5.618024530e+01,3.224498285e+01,6.500158051e+01,7.836912356e+01,8.444668893e+01
3.685169756e+01,9.862596585e+01,5.577521898e+01,2.397441931e+01,9.406788632e+01,6.511430494e+01,5.522892781e+01,1.028518818e+01,3.725119328e+01,5.314328042e+01,1.763346270e+01,4.266396718e+01,5.296939021e+01,7.361113754e+01,4.509078428e+01,6.044707341e+01,4.155045410e+01,4.288654356e+01,3.738102172e+01,4.661069177e+01,6.124253430e+01,3.616871218e+01,9.001191444e+01,1.889080135e+00,5.846784957e+01,6.708969631e+01,1.242116241e+01,1.029050607e+01,2.629852747e+01,3.780616080e+01,1.942722841e+00,6.162182980e+01,4.491871308e+01,9.127712590e+01,4.563758051e+01,1.079913059e+01,3.159345568e+01,5.558708209e+01,1.374294808e+01,4.285161594e+01,7.620600277e+01,8.212312095e+01,2.057086661e+01,7.864087436e+01,4.774381300e+01,3.042187948e+01,8.968132433e+01,9.050235731e+00,1.508646035e+01,7.423915972e+01,9.534181144e+01,7.815110026e+01,8.184266902e+01,9.889180516e+01,3.427608303e+01,1.568366026e+00,6.730794968e+01,1.385108843e+00,5.689134909e+01,1.868780047e+00,7.650648464e+01,1.102017922e+01,6.010707574e+01,3.260899966e+01,5.183486316e+01,8.568243218e+01,9.550640512e+00,1.980222193e+01,5.381342572e+01,8.917990779e+01
6.362274665e+01,7.656411598e+01,4.760443044e+01,8.682496635e+01,9.923099131e+01,3.769064846e+01,9.152644100e+01,6.197262449e+01,7.328574694e+01,6.448853060e+01,9.809339115e+01,4.950848490e+01,8.990640599e+01,4.636078869e+01,1.487159133e+01,6.058869354e+01,4.895088488e+00,1.818503975e+01,4.282247249e+01,7.299505311e+01,9.058119611e-01,1.327168704e+01,2.911308034e+01,7.300014762e+01,6.458720707e+01,5.145006155e+01,9.667448753e+01,6.026540098e+01,2.838178745e+01,7.277164218e+01,7.565021660e+01,8.999865389e+01,7.435337755e+01,2.631241717e+01,7.876524958e+01,7.725161193e+01,1.027941610e+01,9.802284331e+00,3.965053997e+01,2.229782881e+01,2.431855166e+01,9.842372803e+01,6.280586147e+01,1.896637047e+01,9.500562092e+01,3.930346912e+01,7.469601922e+01,1.704554216e+00,6.866920073e+01,6.002429824e+01,3.935384049e+01,1.557774773e+01,7.992546597e+00,4.706181386e+01,1.960441408e+01,1.723712350e+01,8.144191732e+01,9.560698538e+01,6.006679736e+01,1.019327419e+01,5.100104846e+01,3.699448877e+01,5.210491521e+01,6.990684945e+01,2.818939982e+01,4.740540504e+00,4.129786718e+01,3.302912278e+01,2.206975626e+01,6.312180500e+01
6.960434945e+01,6.020983964e+01,4.391504462e+01,4.013378971e+00,4.888894431e+01,8.192823211e+00,9.959247724e+01,7.829855694e+00,8.328298541e+00,2.035129120e+01,2.185576379e+01,2.262548766e+01,5.452091829e+01,7.296694624e+00,7.653008384e+01,7.112828653e+01,9.344526469e+01,9.550870356e+00,3.703896933e+01,4.206368082e+01,2.882852373e+01,7.627409959e+00,9.709016703e+00,8.458072857e+01,4.935394782e+01,6.996931413e+01,9.904242823e+00,8.936860682e+01,4.074160790e+01,1.235257356e+01,6.901357517e+01,9.672316751e+01,3.946523038e+01,4.355532414e+01,9.234734793e+01,7.877310071e+01,3.422465168e+00,7.366463815e+01,5.669612592e+00,4.667075727e+01,8.583902109e+00,6.013742552e+01,4.302443284e+01,7.589328542e+01,5.741310913e+01,4.841789750e+01,1.347513008e+01,7.679091443e+01,9.036310342e+01,5.588401001e+01,3.992748790e+01,9.127866620e+01,2.755847955e+01,7.211916783e+01,4.316626201e+01,4.498528130e+01,8.880853526e+01,5.149252403e+01,9.860631459e+01,7.394042955e+01,7.810365470e+01,1.779253702e+01,2.922396429e+01,3.295541968e+01,9.446650014e+01,5.895955126e+01,8.840568896e+01,9.019044912e+01,5.821788134e+01,7.522802082e+01
5.822339208e+01,5.799336734e+00,6.823661211e+01,7.546782283e+01,3.153041065e+01,8.505591679e+01,2.078649027e+01,9.262827859e+01,6.377839017e+01,1.943057337e+01,6.825567028e+01,9.809266623e+01,4.431609983e+01,7.131424986e+01,8.117087335e+01,6.889250057e+01,6.067591831e+01,3.157419939e+01,3.440812061e+01,7.258033737e+01,6.241506697e+01,9.875627135e+01,3.063893774e+01,2.027013865e+01,5.419590812e+01,1.136388857e+01,2.482320203e+01,3.543125429e+00,1.478502671e+01,8.468028594e+01,2.675154402e+01,1.476679806e+00,3.084963822e+00,7.255212122e+01,3.021578511e+01,4.764159844e+01,1.247543764e+01,7.318987354e+01,6.323317952e+01,6.008292835e+01,4.815495840e+01,8.707857645e+01,5.995342430e+01,6.364157401e+01,8.681570476e+01,1.572309014e+01,4.308299682e+01,4.462814380e+01,6.286694107e+01,3.587278906e+01,9.511776964e+01,3.269132859e+01,5.543250316e+00,4.100837246e+00,8.259823541e+01,9.723287255e+00,9.678486060e+01,7.401635663e+01,7.118169924e+01,5.820460004e+01,2.895857832e+01,5.684760236e+01,7.114242780e+01,3.065308030e+01,5.176158487e+01,8.335753834e+01,2.032642315e+01,6.160790890e-02,3.173980235e+01,7.197219428e+01
3.874715469e+00,4.622132667e+01,7.038519014e+01,4.697562441e+01,1.631808567e+01,3.506168537e+01,2.042454482e+01,2.262170810e+01,4.375068781e+01,1.012751824e+01,1.901713976e+01,8.452313849e+01,8.915667874e+01,2.357410315e+01,1.815392248e+01,4.361658719e+01,2.382174888e+01,4.295470002e+01,8.440513388e+01,8.636210153e+01,9.115403684e+01,6.903954108e+01,9.955629904e+01,6.992873575e+01,8.333579021e+00,6.666767402e+01,9.600141924e+01,9.047207945e+01,2.986217041e-01,8.397655091e+01,1.321959245e+01,7.059008375e+01,4.017316456e+01,4.527484650e+01,3.835958375e+01,4.515981593e+01,8.403601570e+01,6.456100473e+00,5.051102140e+01,4.959285926e+01,2.357211400e+01,8.744149327e+01,9.819432276e+01,7.567567713e+01,4.683587101e+01,1.552991350e+01,5.992327218e+01,5.921641784e+00,8.757017641e+01,9.366970522e+01,5.311767515e+01,9.716555010e+01,3.201758544e+01,4.275373760e+01,7.417295120e+01,1.566385040e+01,1.810133225e+01,5.546000994e+01,4.965162177e+01,1.312416371e+01,8.325196655e+01,1.330078192e+01,7.442275988e+01,8.428715835e+01,7.110130825e+01,8.789343814e+01,1.951678573e+01,4.870160217e+01,9.179359184e+01,6.250180171e+01
4.257556039e+01,1.973171711e-01,6.618848903e+01,5.389003189e+01,9.132301363e+01,7.777038770e+01,9.749643698e+01,7.148702889e+01,9.959919298e+01,4.833778192e+00,4.082373533e+01,4.925510054e+00,3.047775162e+01,2.540685809e+01,8.225066359e+01,5.568920838e+01,6.599225611e+01,7.607576027e+01,5.716408645e+01,1.824097636e+01,3.547470814e+01,8.970327658e+01,3.665301780e+01,6.117407593e+01,1.398738564e+01,1.551947411e+01,3.505111830e+01,5.527618559e+01,1.416635234e+01,8.095520163e+01,5.654706456e+00,6.529192846e+01,7.629618405e+01,2.438066226e+01,7.536364743e+01,7.770862915e+01,4.494500175e+01,3.510154031e+01,1.718056989e+01,7.517977612e+01,3.917985726e+01,9.573612341e+01,5.182896485e+01,6.545452804e+01,8.147347474e+01,5.867144193e+01,5.721958087e+01,5.657004517e+01,7.300972629e+01,3.792463185e+01,3.856975035e+01,2.794806217e+01,3.720077591e+01,2.409522839e+01,8.912697293e+00,6.191918495e+01,9.534370901e+01,3.003475395e+01,4.148224876e+01,2.803972156e+00,6.412844378e+01,7.116224337e+01,2.268171685e+01,5.422249545e+01,2.837069609e+01,8.899946318e+01,7.558320066e+01,5.149421450e+01,7.116469946e+01,4.359472074e+01
7.360416200e+01,3.584890148e+01,1.572184508e+01,2.671848768e+01,8.737666881e+01,2.402394058e+01,2.610369006e+01,3.985728086e+01,1.997827189e+01,1.660409432e+01,8.965086566e+01,8.799422849e+01,8.658964039e+01,4.331263956e+01,3.261365030e+01,9.058221638e+01,9.822382716e+01,1.066681561e+01,3.259364008e+01,5.924215952e+01,1.078514628e+01,8.895304157e+01,4.363289351e+01,9.678146326e+01,1.813240609e+00,6.526974148e+01,7.378415602e+01,6.126629442e+01,7.680517271e-01,6.698279884e+01,8.282877299e+01,4.204506147e+01,1.505221731e+01,1.254236431e+01,7.818813202e+01,6.908733321e+01,3.263632375e-01,8.308774974e+01,1.145783592e+01,4.010318219e+01,6.672620879e+01,6.783292562e+01,9.466233641e+01,2.857945330e+01,5.732233318e+01,3.144115512e+01,3.960988433e+01,1.786372683e+01,3.314333691e+01,2.676246723e+01,8.818759542e+01,7.659579808e+01,8.361216913e+01,3.539173923e+01,6.452774227e+01,6.436097868e+01,8.844781842e+01,2.181365208e+01,1.517388648e+01,6.010442494e+01,2.080083416e+00,5.922783616e+01,3.193938202e+01,3.441046457e+01,9.305009136e+01,4.606160302e+01,1.718553506e+01,5.940533125e+01,4.226433205e+01,1.132791295e+01
1.113652674e+01,5.879686359e+01,9.910747352e+01,7.498583630e+01,4.105908451e+01,9.205524982e+01,6.385182113e+01,7.407257503e+01,7.663601208e+01,6.850037465e+01,8.921831352e+01,1.970186834e+01,1.763468245e+01,4.945449313e+01,3.272025380e+01,1.305370678e+01,5.591209877e+01,8.353154523e+01,2.681178821e+01,4.893168444e+00,9.005324135e+00,9.153059487e+01,5.861823776e+01,4.155035343e+01,3.525977095e+01,8.766358126e+01,5.814193943e+01,7.942041500e+01,3.288339368e+01,2.553893982e+01,1.072956448e+01,9.973467892e+01,9.400520325e+01,4.197570967e+01,7.511313784e+01,2.362982900e+01,6.822957415e+01,8.166755337e+01,3.124615691e+01,9.172406529e+01,3.373920946e+01,2.526820522e+01,6.993243663e+01,9.070199305e+01,6.997021686e+01,2.308587622e+01,8.028029885e+00,3.844350503e+01,7.493001243e+01,7.820411543e+01,7.334378270e+01,6.345274470e+01,6.743724069e+01,9.414094173e+01,7.763376306e+01,3.053578796e+01,5.065848454e+01,8.398392130e+01,5.405248020e+01,4.793540781e+01,9.017992055e+01,6.881164918e+01,3.659409654e+01,5.250661384e+01,8.479583287e+01,7.841236488e+01,2.931610492e+01,6.452454195e+01,8.412007560e+01,2.988818065e+01
1.053765259e+00,1.827179602e+01,7.840977158e+01,8.519707000e+01,3.696560559e+01,4.174266071e+01,3.489388754e+01,9.112311555e+01,6.008009961e+01,6.118143568e+01,7.144999206e+00,6.572934962e+01,6.027608394e+01,5.310598422e+01,1.029075821e+01,8.173433874e+01,9.245330091e+01,4.470680097e+01,2.281892778e+00,5.957186061e+01,9.010764598e+01,9.500003298e+01,8.749030804e+01,7.052308310e+01,7.616786796e+01,2.812675442e+01,7.203204675e+01,2.234484489e+01,4.169778908e+01,5.747223501e+01,5.474878321e+01,5.775189732e+01,9.913247729e+01,1.979830868e+01,9.789764380e+00,1.177392505e+01,6.435619732e+01,7.793191871e+01,1.119338760e+01,5.908526456e+01,6.598371254e+01,6.105212043e+01,1.935679493e+01,7.943997223e+01,1.065525558e+01,4.784053582e+01,3.163378658e+00,8.894832270e+01,5.395389664e+01,2.344976358e+01,1.552180475e+01,7.316722803e+01,4.259222127e+01,4.131687078e+01,2.422267587e+01,6.681815464e+01,4.369398054e+01,5.961872984e+01,9.706645382e+01,4.979565923e+00,2.485115329e+01,8.368962834e+01,2.830638532e+01,4.167099002e+01,7.514494340e+01,5.903788720e+01,5.005787950e+01,4.318769214e+01,3.331771489e+01,8.891800575e+00
2.487484530e+01,5.814727959e+01,8.397903476e+00,6.099742309e+01,9.325363897e+01,2.843069919e+01,5.382161564e+01,8.219464888e+01,6.618254302e+01,2.278841406e+01,8.816194090e+01,1.888144731e+01,1.860346446e+01,9.690984348e+01,3.321789039e+01,5.223742843e+01,7.808496893e+01,1.782338880e+00,1.569499051e+01,3.100713228e+01,8.198561612e+01,3.830652867e+01,5.325465304e+01,1.940573923e+00,3.882742981e+01,4.883550051e+01,5.763433496e+01,4.496944836e+01,1.974937228e+01,4.771955590e+01,6.833137162e+01,6.661154503e+00,7.139273714e+00,6.088847293e+01,8.505005367e+01,8.561000543e+01,6.384635495e+01,9.356280003e+01,2.056945165e+01,5.149819121e+01,4.622649572e+01,5.777494626e+01,9.912228026e+01,9.297838455e+01,8.587509637e+01,5.973240639e+01,6.388638795e+01,4.004148810e+01,6.714327738e+01,6.471081146e+01,1.177936190e+00,5.629435180e+01,8.536416842e+01,5.493169623e+01,7.993755305e+01,6.103857029e+01,4.596993917e+01,2.129026407e+01,4.768999515e+01,9.195333389e+01,3.819934617e+01,9.890967618e+01,4.679964293e+01,1.651456395e+01,6.540966531e+00,9.698052863e+01,2.897986673e+01,9.276159901e+01,3.805252037e+01,1.643199839e+01
