v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
3.946148162e+01,3.805034586e+01,5.166967815e+01,5.208337281e+01,1.465426938e+01,9.623199709e+01,5.322076726e+01,9.984009359e+01,2.289920090e+01,4.043902375e+01,1.271800414e-01
8.905136076e-01,5.813035902e+01,4.065739883e+01,8.929824175e-01,8.892189747e+01,7.849123602e+01,1.101415749e+01,8.067148371e+01,7.379535872e+01,9.564038342e+01,4.016273704e+01
8.613855387e+01,4.951015287e+01,4.897862423e+01,6.933161927e+01,5.046175270e+01,7.210675533e+01,7.678791421e+01,8.100073070e+01,8.245738879e+01,2.332940781e+01,8.591431698e+01
8.617406877e+00,1.129137401e+01,7.497494187e+01,2.203113164e+01,1.438636545e+01,9.780726349e+01,6.482474333e+01,1.444572386e+00,7.468098277e+01,2.575655766e+01,4.115757400e+01
7.903555180e+00,6.052327365e+01,6.364225483e+01,1.047850826e+01,8.905794021e+01,3.765153455e+01,7.208912192e+01,7.647804647e+01,6.789970991e+01,6.404060383e+01,1.937744340e+00
3.237098996e+01,7.278445010e+01,5.564302419e+01,2.974407302e+01,4.493334429e+01,7.910689409e+01,6.980047024e+01,1.911713752e+01,9.799288740e+01,7.394286455e+01,4.599681827e+01
4.186309229e+01,5.824503413e+01,9.514928701e+01,4.791745818e+01,3.875052078e+01,3.349408432e+01,9.266292702e+01,1.432235523e+01,5.328975805e-01,4.652750831e+01,9.180219975e+00
2.388491583e+01,6.038525300e+01,4.659923298e+01,8.954520278e+01,3.303543325e+01,8.546878512e+01,3.251982582e+01,8.825744012e+01,8.343851727e+01,8.016419166e+01,4.498248910e+01
1.677285508e+01,7.124805087e+01,7.321344870e+01,1.607193600e+01,5.545198163e+01,1.773889544e+01,7.035942729e+01,3.685297884e+01,4.042213178e+01,6.602138865e+01,2.653938965e+01
5.124581246e+01,8.584009167e+01,8.903926416e+01,2.066285627e+01,5.606074873e+01,8.040017114e+00,5.399527204e+01,9.495996244e+01,6.547416588e+01,3.597509651e+01,5.426010296e+01
2.336071511e+01,3.286622112e+01,3.628427001e+00,5.167988630e+01,5.418866062e+01,2.588373533e+01,7.911842750e+00,3.616377838e+01,7.824863051e+01,5.969767432e+01,1.459452970e+01
9.078885517e+01,4.872177424e+01,2.274822197e+00,3.214429773e+01,9.511734684e+01,5.336501194e+01,8.791633923e+01,2.439228720e+01,6.474955199e+01,7.329484645e+01,5.952972673e+01
3.498243913e-01,5.231404679e+01,8.242656751e+01,9.004176214e+01,8.957694995e+01,6.574763954e+01,5.035951775e+01,8.357944748e+01,1.891118281e-02,6.659663298e+01,8.990749180e+01
8.886497369e+01,2.441450428e+01,5.393132200e+01,5.644196375e+00,2.432611849e+01,9.053384853e+01,8.054009013e+01,7.523638484e+01,1.990905706e+01,2.370027095e+01,7.064054864e+01
6.717319928e+01,5.594070535e+01,3.812578087e+01,3.273229635e+00,4.412122878e+01,6.170072293e+01,1.719405199e+01,9.956982560e+01,7.313963369e+01,9.492404935e+01,4.892412404e+01
3.474880073e+01,8.660084740e+01,5.486437437e+01,6.630129354e+01,5.467536951e+01,3.783647795e+00,3.458703765e+01,5.215554071e+01,3.019004241e+01,9.213840645e+01,2.375805615e+01
4.008283098e+01,1.401768618e+01,7.973824205e+01,5.855363814e+01,4.460223178e+01,2.711324330e+01,7.660274003e+01,8.654288762e+00,3.021179084e+01,1.574410648e+01,5.159119670e+01
5.507204267e+01,5.985417356e+01,8.183459727e+01,8.363452083e+01,1.614112748e+01,3.185546347e+01,7.136409147e+01,5.449306695e+01,7.407783399e+01,7.689139631e+01,6.397896121e+01
1.202264624e+01,8.800074869e+01,3.257117898e+01,2.842915247e+01,5.355576882e+01,5.442389480e+01,4.100988370e+01,2.200736589e+01,4.884362049e+01,7.541101308e+01,7.961468035e+01
7.378672319e+01,2.320854371e+01,3.329584992e+01,2.416202355e+01,6.905172233e+00,9.735033636e+01,9.769954162e+01,2.836831385e+01,1.519862427e+01,9.225962988e+00,9.338373403e+01
3.975291702e+01,6.873085392e+01,6.503464177e+01,3.475060488e+01,5.837292822e+01,6.038799258e+00,2.417157553e+01,5.225633654e+01,4.855564044e+01,8.758360292e+01,6.446735303e+00
8.830473092e+01,8.492742195e+01,2.940457994e+01,2.598748986e+01,8.739063545e+01,4.390674893e+00,4.492130665e+01,4.812264841e+01,1.602624798e+01,1.163042642e+01,7.718921362e+01
3.635515687e+01,7.604329876e+01,9.455579816e+01,3.561001969e+01,8.379617002e+00,7.025928797e+00,5.747240200e+01,3.589838727e+01,8.964398726e+00,6.854312381e+01,6.329857787e+01
6.512495351e+01,1.102776354e+01,2.464537425e+01,4.618431116e+01,3.041730915e+01,6.791407331e+01,3.205455080e+01,3.499949903e+00,9.458516634e+01,2.025164516e+00,7.655012373e+01
8.730791606e+00,4.295055581e+01,3.620325933e+01,2.540223288e+01,5.391825167e+01,9.313138503e+01,2.640286778e+01,2.584636109e+01,1.650727831e+01,8.325148768e+01,7.604557020e+01
5.962352650e+01,8.259023500e+01,5.583914197e+00,6.762857664e+01,7.584940473e+01,2.752612602e+01,8.091668434e+01,8.170719366e+01,3.354253111e+01,6.486147110e+01,8.861617103e+01
6.753429894e+00,3.193332492e+01,2.860527251e+01,1.564640830e+00,6.799555681e+01,7.522108906e+01,9.050542831e+01,5.946884797e+01,3.134860181e+01,3.991870502e+01,5.632760745e+01
9.412065940e+01,7.227428882e+01,7.204651860e+01,2.459582006e+01,8.313522313e+01,4.521235371e+01,5.643319620e+01,5.164928490e+01,5.221018579e+01,5.713527849e+01,2.369495845e+01
1.562701261e+01,1.504810251e+01,3.912323411e+01,4.869641239e+01,9.679546503e+01,2.602197822e+01,8.261648318e+01,1.302688094e+00,1.917845527e+01,5.307332680e+01,5.668973608e+01
9.292893364e+01,7.721078628e+01,9.683383137e+01,4.139189760e+01,2.156369683e+01,6.725827657e+01,7.818610405e+01,2.956622546e+01,6.440545912e+01,1.747399929e+01,3.039810148e+01
4.787138589e+01,2.172085168e+01,9.868093792e+01,4.626505646e+01,4.160438170e+01,5.866497266e+01,3.989556011e+01,6.289364314e+01,7.518473386e+00,9.466800258e+01,7.920765360e+01
8.942690421e+01,9.222236126e+01,8.607281599e+01,4.308822653e+01,6.030364387e+01,1.118559097e+00,7.218191589e+00,5.202103030e+01,4.868267265e+01,9.678722259e+00,2.943964527e+01
5.246547518e+01,5.582666762e+01,8.193347377e+01,8.908626167e+01,6.590467489e+01,2.630123620e+01,7.941155133e+01,1.228560061e+01,8.922608011e+01,3.205140181e+01,9.900103848e+00
1.313464955e+01,5.104813204e+00,5.431539309e+01,1.218953104e+01,4.581024794e+01,4.025768972e+00,9.946450381e+01,7.702738458e+01,5.979193041e+01,2.354770345e+01,5.836434975e+01
3.160101413e+01,8.235611381e+01,9.723538000e+01,7.561185160e+01,7.980989076e+00,3.611020129e+01,4.644893325e+01,4.464055973e+01,1.402165962e+01,5.523752692e+01,2.975618015e+01
7.048528904e+01,7.433038529e+01,4.030294986e+01,4.521683734e+01,3.075767070e+01,5.226194108e+01,8.751389781e+00,2.677653461e+01,2.809683259e+01,5.911405220e+01,6.204576494e+01
1.005810823e+00,3.460521930e+01,9.998995850e+01,5.194305092e+01,8.423211715e+01,9.137129053e+01,7.992001439e+01,7.729937510e+01,4.262305333e+01,4.362319803e+00,5.003218680e+01
9.540037417e+01,6.690674732e+01,3.856898683e+01,3.988501673e+01,5.309862806e+01,8.644164844e+01,3.634028947e+01,2.351171967e+01,7.976553375e+01,2.093978834e+01,2.986325397e+01
5.051755215e+01,2.803095270e+01,7.998909882e+00,3.780151972e+01,7.564891468e+01,1.287214978e+01,1.241788400e+01,9.274785920e+01,8.903729407e+01,7.987500330e+01,3.451428515e+01
5.297473103e+01,4.787292263e+01,9.935984857e+01,5.429062380e+01,9.075258384e+00,9.324728194e+01,1.552898966e+01,8.589161883e+01,3.252469745e+01,2.943158732e+01,5.116736702e+01
7.099246005e+01,9.359005819e+01,3.985800595e+01,6.291586676e+01,8.526338244e+01,1.221042965e+01,7.472109389e+01,8.957806565e+01,3.698118905e+01,3.265289390e+01,8.675498043e+01
2.248012421e+01,9.146154917e+01,7.225553193e+01,3.061994117e+01,6.443584407e+01,2.370805363e+01,1.498283582e+01,3.823247047e+01,5.594404723e+01,8.824598790e+01,1.564193559e+01
8.867216460e+01,3.353618144e+01,3.469342658e+01,9.657299141e+01,3.208652507e+01,3.736000232e+01,7.440717104e+01,1.743647337e+00,6.469430736e+01,7.234369178e+00,1.994691445e+01
9.254588494e+01,9.400673197e+01,8.651996155e+01,1.800615363e+00,5.733570291e+00,7.853611191e+01,8.499953350e+01,2.608135491e+01,8.258034810e-01,9.877948744e+01,4.929252193e+01
8.240666522e+01,2.062858200e+01,1.739989918e+01,2.802507152e+01,7.901262901e+01,2.975082907e+01,6.668225796e+01,4.186714519e+01,3.246917357e+01,6.948383092e+01,7.049403769e+01
9.697386679e+00,8.592887906e+01,2.714249574e+01,4.460908987e+01,3.966611448e+01,5.270023546e+00,1.704609840e+01,3.532014616e+01,1.250963443e+01,8.503989140e+01,1.282138743e+01
6.909889131e+01,9.742992705e+01,6.287685955e+01,7.338319732e+01,9.724952745e+01,1.840422126e+01,6.303730065e+01,1.171949724e+01,6.352875956e+01,5.102581919e+01,8.472061713e+01
1.305749042e+01,4.853311989e+00,3.733039814e+01,2.830164208e+01,1.203460190e+00,9.014414690e+01,9.280273068e+00,6.921373063e+01,7.932400881e+01,3.788588368e+01,2.908303924e+01
1.530694714e+01,6.856131669e+01,4.361481571e+01,8.413841464e+01,3.808378265e+01,5.773011534e+01,2.889609252e+01,6.402390839e+01,7.801224840e+01,6.558662795e+01,3.944581228e+00
4.232637949e+01,4.606701758e+01,6.593708927e+01,4.945244567e+01,3.228378349e+01,7.890479456e+01,3.401185859e+01,5.973571366e+01,1.972467512e+01,7.934957191e+01,4.602464295e+01
8.559657636e+00,8.768361759e+00,7.259094566e+00,5.239840157e+01,2.903258623e+01,7.968974649e+01,2.462060072e+01,8.261192676e+01,4.439037475e+01,6.961307313e+00,9.566539265e+01
1.792281822e+01,1.340182350e+01,6.426046423e+01,6.495812948e+01,1.247927178e+01,6.551683942e+01,3.706867757e+01,9.374223000e+01,2.909969261e+01,9.684670161e+01,9.672955623e+01
4.520465142e+01,2.718211827e+01,1.626124459e+01,5.977773128e+01,7.735941818e+01,5.399238328e+01,1.082899351e+01,8.315805826e+01,3.633069122e+01,6.301879137e+01,4.517184271e+01
7.804409388e+01,1.595702376e+01,3.931916681e+01,3.438663680e+01,1.116977282e+01,6.941591895e+01,2.133160682e+01,8.141802328e+01,6.940328235e+01,5.874353088e+01,2.592535106e+01
8.747277774e+01,2.386500770e+00,8.857864945e+01,4.777972801e+01,9.703994429e+01,4.076590343e+01,6.127398834e-01,8.079400728e+01,8.098933436e+01,4.284840929e+01,8.762793952e+01
4.223778850e+01,6.296190465e+01,8.648613038e+01,3.086276828e+01,6.512362022e+01,7.889634229e+01,8.363047968e+01,2.020473983e+01,7.835369916e+01,4.846523662e+01,6.935268429e+01
1.299089114e-01,5.187302439e+01,4.207722307e+01,4.753634900e+01,8.812770586e+01,3.010401564e+01,6.335772493e+00,6.852923822e+01,5.623749096e+01,1.026526444e+01,1.073739385e+01
4.836073274e+01,5.165355772e+01,1.864684832e+01,3.804378487e+00,2.487030296e+01,4.807428060e+01,6.362516839e+01,4.047030410e+01,9.154294383e+01,8.167791975e+01,7.254854925e+01
8.094108902e+01,7.265703344e+01,2.763931976e+01,1.848719756e+01,9.561638780e+01,9.993122735e+01,8.042834312e+01,6.182845325e+01,1.154163652e+00,2.238636284e+01,3.875976716e+01
2.834484817e+01,9.301899126e+01,7.937051938e+01,7.176970845e+01,5.889170647e+01,3.329091301e+01,7.829443937e+01,8.972391229e+01,3.749664659e+01,3.296334072e+01,1.529831505e+01
4.120309443e+01,2.404809780e+01,3.007810978e+01,5.410811709e+01,9.229629999e+00,8.973824104e+01,4.030597174e+01,4.018724537e+01,2.580528176e+01,4.337477106e+01,6.805001085e+01
6.233027305e+01,6.083440454e+01,9.236022953e+01,1.082624948e+01,5.970152428e+01,9.989308225e+01,1.969402513e+00,1.902471303e+01,8.042514217e+01,6.832225606e+01,8.884237660e+01
6.536757004e+01,7.799645920e+01,2.193725253e+01,5.465948835e+01,2.691181339e+01,8.144079045e+01,8.623774226e+01,5.351170703e+01,2.759274098e+01,5.470008276e+01,9.156992503e+01
4.544307850e+01,7.803902597e+01,7.861353196e+01,4.180097700e+01,1.545876865e+01,2.247368240e+01,4.624132810e+01,4.786365962e+01,6.197035915e+01,8.045886034e+01,3.061404258e+01
1.655407975e+01,7.332876031e+00,5.949297441e+01,5.792194842e+01,4.524324816e+01,3.884437566e+01,2.839142564e+01,3.064102165e+01,4.756822787e+01,3.702742040e+01,3.866015503e+00
3.020842905e+01,9.380522305e+01,4.337945270e+01,4.694851943e+00,3.949455636e+01,1.449210506e+01,1.141088405e+01,3.795865154e+01,4.654673656e+00,9.969461512e+01,1.800085758e+00
6.858121613e+01,1.994989724e+01,8.383938315e+01,7.270100755e+01,2.518655994e+01,1.238846755e+01,4.246068636e+01,4.258862044e+01,1.642174322e+01,1.136290677e+01,1.366678821e+01
3.783617312e+01,3.714857314e+01,9.151523283e+01,6.727686463e+00,6.258311049e+00,8.906841501e+01,4.934032409e+01,6.781750397e+00,5.944056750e+01,6.410378287e+01,5.205293661e+01
6.274661260e+01,8.163835365e+01,5.116244621e+00,1.943391858e+01,3.814080507e+01,2.883249363e+01,8.926977778e+01,7.802337353e+00,2.673361796e+01,3.353092661e+01,9.855893732e+01
9.947723853e+01,3.842036894e+01,2.004374196e+01,3.687383693e+01,3.614591760e+01,9.885119690e+01,1.384424580e+01,8.626018793e+01,5.081412521e+01,5.835526573e+01,7.023730608e+01
9.358946080e+00,9.204844054e+01,8.748045869e+01,3.694601210e+00,7.694101822e+01,2.081476016e+00,1.500353871e+01,9.688671178e+00,7.578468960e+01,1.384539034e+01,3.074819028e+01
2.472575110e+01,5.152281584e+01,1.931898115e+01,1.362593352e+01,1.423555809e+01,7.144126497e+01,8.620906849e+00,2.651075745e+01,2.385408703e+01,3.882196136e+01,6.446181399e+01
5.337982587e+01,8.964982664e+00,2.635987340e+01,8.972194873e+01,3.899422897e+01,4.305846847e+01,6.909393190e+01,5.153363876e+01,7.090770223e+00,9.731575752e+01,6.681346540e-01
5.593626361e+01,3.563949355e+01,6.959776370e+01,5.173654007e+01,1.196332904e+01,5.156558518e+01,6.618648739e+01,1.540173664e+00,2.167886577e+01,7.135875159e+01,9.794396505e+01
5.194303463e+00,6.131548123e+01,6.473302615e+01,4.390906038e+01,6.803047868e+01,3.981348472e+01,1.133698530e+01,6.977588327e+00,8.631714426e+01,4.529808613e+01,5.047784667e+01
2.788574184e+01,4.752083939e+01,6.924007822e+01,3.476261797e+00,8.361526948e+01,6.711580556e+01,8.773268677e+01,9.235412157e+01,4.181979144e+01,3.125118439e+01,1.743418166e+01
9.090140083e+01,9.313710306e+00,4.155701385e+01,5.737517742e+01,9.831357005e+01,6.185593379e+00,6.933751520e+01,3.269683689e+00,4.479887972e+01,2.001646836e+01,7.888570511e+01
6.973462739e+01,2.647769418e+01,1.420618424e+01,4.913540376e+01,4.515763479e+01,1.313923413e+01,4.690236391e+01,9.973930089e+01,1.719225976e+01,4.766680592e+01,7.888701906e+00
4.567255109e+01,1.258853930e+01,4.510887885e+01,2.406180921e+01,4.893849648e+01,3.855588261e+01,9.400704945e+01,5.917927217e+00,8.182067905e+01,2.732640262e+01,7.952369396e+00
7.727126769e+01,3.271011611e+01,2.069544899e+01,4.429774251e+01,3.825990376e+01,4.615825845e+01,3.150294822e+00,6.356707819e+01,6.214410774e+01,8.282494269e+01,3.306986836e+01
7.198437583e+01,7.764014595e+01,2.818354100e+01,5.894575999e+01,5.560410775e+01,6.202409799e+01,4.390445792e+01,1.809503392e+01,2.637189766e+01,3.186132873e+01,8.517238798e+01
6.847044415e+01,2.408759381e+00,1.105975237e+01,7.804786512e+01,9.073746402e+01,8.498248618e+01,8.580231529e+01,1.545860513e+01,2.596255701e+01,1.292359597e+01,9.497059882e+01
5.874766780e+01,8.433403578e+00,4.850493251e+01,3.773820482e+01,7.618346482e+01,8.401908199e+01,2.528651872e+01,5.620015494e+01,8.105514257e+01,1.948298157e+01,6.955824416e+01
5.517126153e+01,3.449218101e+01,7.259821966e+01,3.796575632e+01,5.005915283e+01,4.676133079e+01,6.321517252e+01,3.892973685e+01,5.189973396e+01,9.448594613e+01,7.379475495e+00
9.600807689e+01,9.784135149e+01,4.827593313e+01,7.535580066e+01,2.879992357e+01,3.840625508e+01,4.545646435e+01,3.183997935e+01,7.007348359e+01,8.395394183e+01,7.091139030e+01
6.327607068e+01,1.647258931e+01,1.675380357e+01,2.152878296e+01,7.146350416e+00,7.016575088e+01,4.431915122e+01,2.507641620e+01,9.687180575e+01,8.653817605e+01,8.353406630e+01
9.281643204e+00,1.225664263e+01,7.943306890e+01,3.921120402e+01,3.708302145e+01,6.638282857e+00,1.189394954e+01,5.631110344e+01,4.715014743e+01,1.094895967e+01,8.876276756e+01
1.401702467e+01,5.452995734e+01,9.440310076e+00,2.860929846e+00,1.308678753e-01,8.033965112e+01,9.545819362e+01,3.427843815e+01,9.895856754e+01,8.122617464e+01,2.188433410e+01
8.562057925e+01,2.427434205e+01,5.456743804e+01,5.000352566e+01,6.252942437e+01,6.500824435e+01,3.760024858e+01,5.813193257e+01,3.904909767e+01,8.135235440e+01,9.980365662e+01
8.026724318e+01,8.171029767e+01,1.020767866e+01,1.520787234e+01,1.860282198e+01,4.388531655e+01,1.776676453e+01,4.271827111e+01,5.709036041e+01,4.326016320e+01,3.272531298e+00
4.899309731e+01,7.105597373e+01,7.830316916e+01,9.109408842e+01,4.369113871e+01,1.826764732e+00,9.895661970e+01,8.885632377e+01,5.462370995e+01,4.753863868e+00,5.784798984e+01
1.909749999e+01,4.529807712e+01,3.127213674e+01,7.824464847e+00,4.188230576e+01,3.919767468e+01,1.886632053e+01,2.808800811e+01,1.869786516e+01,6.738039085e+01,9.384308060e+01
4.961772804e+00,3.981801064e+01,6.227043656e+00,8.009328573e+01,3.231424020e+01,5.709497538e+01,4.807665799e+01,9.516144103e+00,8.453523688e+01,6.803732950e+01,5.305961880e+01
1.442683919e+01,7.927573876e+01,8.630973344e+01,6.626463327e+01,2.505911929e+01,7.084353310e+01,3.007223089e+01,4.506976698e+01,4.903196517e+01,5.139417155e+01,4.538630987e+01
5.380249313e-01,5.570830812e+01,7.555694049e+01,1.633148285e+01,1.365420974e+01,4.582365057e+00,9.698741860e+01,8.966598679e+01,4.463240965e+01,9.132797887e+01,7.104165774e+01
2.710287642e+01,7.864701116e+01,9.062017713e+01,5.021788906e+00,6.666522084e+01,8.171001339e+01,9.258244558e+01,1.402672014e+01,8.597120804e+00,6.610353118e+01,3.252135759e+01
9.598029360e+01,2.275808436e+01,7.192853918e+01,4.268504462e+01,4.212245036e+01,6.904652051e+01,8.835259215e+01,6.217258579e+00,6.232604185e+00,3.479998249e+01,3.221842831e+01
1.927425435e+01,3.400812741e+01,2.169297031e+01,5.586623428e+01,3.188221947e+01,1.579678135e+00,9.921178893e+01,2.438928083e+00,8.954424008e+01,5.813720573e+01,5.946627156e+01
8.487774579e+01,7.136096190e+01,2.479649517e+00,5.537118199e+01,5.580452651e+01,5.815713271e+01,9.341792891e+01,3.392258452e+01,9.069000284e+01,3.552607934e+00,9.927959327e+01
1.198663192e+01,2.758875778e+01,3.847168870e+01,8.726557030e+01,8.031992597e+01,7.300438957e+01,6.227872298e+01,8.494287475e+01,1.373284970e+01,5.855504790e+01,2.128663618e+00
2.071975961e+01,5.784044884e+01,2.269526440e+01,5.026646102e+01,7.893181571e+01,2.057799489e+01,7.874160949e+01,8.710982185e+01,3.647475919e+01,2.832755642e+01,9.268102086e+01
6.875916991e+01,3.916941404e+01,5.869924382e+01,8.426974851e+01,3.003362822e+01,7.209746022e+01,5.128207485e+01,2.472598287e+01,7.759325442e+01,7.217404814e+01,9.270577158e+00
2.794297878e+01,9.124881002e+01,2.085068716e+01,8.395612434e+01,1.830546293e+01,4.707565882e+01,8.259734175e+01,1.297182216e+01,7.781109435e+01,3.380091619e+01,2.027300002e+00
8.446358269e+01,5.377351435e+01,8.238022632e+01,8.175019108e+01,1.753677060e+01,5.644911267e+01,4.941443534e+01,1.705944514e+01,2.874287039e+01,2.564233733e+01,2.432118785e+01
6.420498869e+01,8.198040751e+01,1.819995844e+01,9.403848912e+01,5.736108049e+01,2.000073162e+01,3.806561116e+01,5.872104440e+01,9.702324064e+01,3.564927507e+01,3.744701267e+01
5.765072674e+00,1.743357647e+01,7.060037239e+00,9.563372552e+01,5.267551868e+01,2.525738497e+01,4.456584840e+01,6.027347697e+01,1.567772549e+01,5.392384091e+01,1.734244028e+01
9.203669458e+01,1.822499122e+01,3.030650711e+01,9.381814558e+01,9.485135397e+01,4.593722834e+01,9.017436620e-01,9.704510270e+01,6.610624958e+01,8.539808082e+01,7.281501155e+01
1.554907282e+01,7.847255897e+01,7.233781149e+01,1.283827643e+01,6.153822570e+01,6.822458267e+01,9.531896699e+01,8.064328819e-01,2.068936500e+00,9.623623115e+01,5.506741278e+00
5.715372472e+01,7.702680730e+01,6.865790904e+01,3.497355568e+01,9.782129880e+01,1.804550522e+01,4.329736097e+01,9.479975829e+01,3.578099142e+01,9.778874300e+01,3.831463693e+01
8.077854135e+01,5.417639854e+01,7.070042253e+01,9.487358922e+01,7.006544181e+01,3.196301667e+01,5.387202456e+01,9.666780637e+01,1.555356426e+01,8.731229694e+01,8.364516985e+01
9.139566483e+00,8.725082884e+01,8.263396549e+01,1.818219844e+01,8.638526055e+01,3.943300397e-01,3.540726272e+01,6.649452170e+01,8.967481086e+01,5.194630348e+01,9.295664067e+01
9.637213667e+01,3.303408059e+00,5.093373944e+01,9.215931529e+01,3.341709238e+01,1.297735850e+01,4.891455422e+01,5.528061592e+01,8.421180237e+01,8.086553421e+00,8.617499096e+01
3.511740754e+01,4.359914779e+01,6.197908731e+00,7.591337706e+01,9.625975646e+01,9.490359245e+01,2.118763619e+01,7.008106632e+01,4.914244578e+01,7.560172104e+01,8.738943034e+01
5.012878265e+01,7.323340132e+01,5.537221685e+01,1.273320460e+01,6.317760721e+01,1.390000113e+01,7.642215581e+01,5.636220574e+00,1.217077604e+01,7.003137187e+01,1.597722146e+01
2.014495477e+01,1.968734057e+01,3.053206985e+01,4.323260845e+01,2.752141136e+01,1.362850652e-01,8.813568610e+00,2.684021050e+01,4.342177623e+01,8.027473193e+01,4.550340656e+01
7.466930277e+01,4.249078148e+01,1.545963744e+01,4.480213763e-01,2.449155232e+00,4.050269134e+01,8.870673742e+01,7.980737729e+01,5.078943194e+01,5.249060993e+01,4.880203236e+01
4.655466481e+01,8.358584068e+01,1.047678084e+01,5.650280707e+01,5.476689546e+01,2.363390984e+01,9.554265105e+01,5.346751151e+01,6.413341841e+00,7.796902114e+01,2.687046707e+01
6.473094368e+01,3.892115401e+01,1.853803064e+01,4.561302050e+01,9.307501243e+01,6.965492515e+01,1.056185973e+01,7.317614542e+01,2.967611196e+00,8.031516893e+01,1.236664932e+01
3.588745931e+01,9.687254708e+01,2.566846081e+01,6.650962835e+01,4.192744839e+01,7.610960196e+01,9.271307955e+01,1.161700695e+00,4.072410568e+01,7.421367926e+01,8.259637673e+01
8.813903049e+01,2.922598616e+01,8.785931917e+01,5.399862023e+01,1.823711971e+01,7.593628647e+01,9.367866920e+01,9.253494821e+01,7.169178915e+01,9.915460033e+00,4.344720900e+01
1.003093381e+01,2.187275494e+01,1.166115721e+01,6.047721233e+01,6.943740807e+01,7.114663223e+01,6.991202038e+01,8.390991694e+01,4.967849484e+01,5.557768491e+01,4.367452717e+01
3.042151245e+01,2.195473008e+01,6.879187434e+00,1.019217916e+01,6.615232524e+01,5.115853232e+01,2.180801631e+01,8.123636338e+01,3.425070671e+01,7.093870195e+01,1.840224995e+01
7.971765633e+01,4.578341381e-01,8.333589955e+01,9.640839715e+01,2.570907358e+01,2.415980925e+01,9.724583285e+01,5.553965643e+01,3.388171117e+01,6.032698419e+01,8.031477117e+01
1.808015394e+01,8.305800245e+00,1.282322641e+01,8.432883120e+01,5.994503433e+01,4.635683779e+01,7.304655935e+01,2.014706573e+01,9.252413647e+01,2.263087174e+01,8.446893767e+01
7.546363869e+01,9.335338683e+01,5.549860349e+01,1.919094429e+01,5.039895857e+01,6.885313442e+01,4.759131001e+01,9.350423648e+01,5.135997960e+01,4.557180028e+01,9.828388651e+00
9.016885551e+01,3.902459400e+01,8.202176267e+01,2.184420322e+01,6.679369328e+01,4.824045405e+01,6.945058280e+01,7.450754618e+01,6.092031389e+01,3.940974160e+00,7.361265217e+01
4.909578425e+01,3.517746501e+01,5.479502909e+01,5.110918938e+01,1.657008381e+01,5.726626160e+01,2.510698937e+01,2.757549068e+01,5.039028342e+01,4.056427390e+01,9.484142042e+01
8.080173902e+01,9.972720721e+01,5.710086636e+01,8.442239088e+01,5.320928186e+01,8.054819142e+01,6.757006243e+01,6.446514412e+00,7.990200177e+01,9.160842281e+01,7.895177416e+01
3.842402805e+00,3.026372725e+01,5.252535099e+01,6.610405787e+01,8.279923108e+01,6.327928396e+01,9.296522446e+01,1.787842087e+01,9.363947770e+01,2.310116997e+01,2.450929601e+00
