v1,v2,v3,v4,v5,v6,v7
1.157143641e+01,7.667633931e+00,8.222128789e+01,2.798974027e+01,1.273011558e+01,1.985436481e+01,7.480809644e+01
3.172783020e+01,9.325379897e+01,4.422442051e+01,6.029998020e+01,4.871057819e+01,6.071998176e+01,6.022886275e+01
6.340219844e+01,6.335291420e+01,1.477936338e-01,8.994319596e+01,2.926895026e+01,7.378304922e+01,4.581095068e+01
3.792130383e+01,4.577889635e+01,2.017684990e+01,5.764395383e+01,9.578021533e+01,7.300801030e+01,4.793857652e+01
1.180903202e+01,5.162369704e+01,6.783051135e+01,4.418907613e+01,8.734987009e+01,1.441811585e+01,6.370429133e+01
9.380907884e+00,5.019111692e+01,3.712435056e+01,6.267274798e+01,3.504430846e+01,3.367414150e+01,3.952870348e+01
7.693593609e+00,2.334446404e+00,3.973703501e+00,7.094754683e+01,4.720930443e+01,9.981590019e+01,5.372943626e+01
6.758218605e+01,7.459668976e+00,3.364663448e+01,6.300760977e+01,4.219399812e+01,6.990980799e+01,7.953927845e+01
5.929101349e+01,4.215791742e+00,4.207223561e+01,3.328426153e+01,4.541336206e+01,5.689383115e+01,3.722112006e+01
1.574949956e+01,4.996295288e+01,1.347293725e+01,4.460855177e+01,6.345991838e+01,5.783101490e+01,7.565360725e+01
6.307776855e+01,3.453518604e+01,9.320874525e+01,9.540435685e+01,7.126666009e+01,7.884737465e+01,6.953368316e+01
3.327586598e+01,2.763860678e+00,1.637267727e+00,5.777547332e+00,9.159917077e+01,9.642948208e+00,6.281426677e+01
2.778026212e+01,1.267855910e+01,8.356547446e+01,9.914654265e+01,8.712775019e+01,6.119960320e+01,6.993223894e+00
3.642119516e+01,6.991549714e+01,7.712746646e+01,8.635197072e+00,4.444131022e+01,2.384237522e+01,1.999369130e+01
1.109231452e+01,5.348970163e+01,5.650345829e+01,8.051525081e+01,1.755880509e+01,7.794191310e+01,5.258833920e+01
1.201439271e+01,1.980390006e+01,3.898493896e+01,3.194324086e+01,8.233252169e+01,9.681664616e+01,1.389268074e+01
4.966080081e+01,5.305815770e+01,4.785270125e+01,9.315365673e+01,8.700068039e+01,1.828077201e+01,3.115354921e+01
6.152859143e+01,3.063365544e+01,1.671044821e+01,8.385360552e+01,1.570593269e+01,2.885383036e+00,8.455878737e+01
3.766319335e+00,9.150608727e+01,2.357216502e+01,9.265345159e+01,8.044820400e+00,9.612534032e+01,4.965500952e+01
5.462516428e+01,8.474080522e+01,2.303225365e+01,1.375969271e+01,7.546204519e+01,5.170661891e+01,7.607669396e+01
8.002197847e+01,9.122627072e+01,5.150468705e+01,7.981980907e+01,9.987554771e+01,2.646612148e+01,8.580090146e+01
8.670788806e+01,5.517408466e+01,1.789773855e+01,1.362177324e+01,3.574083024e+01,7.907411179e+01,2.332171327e+01
9.201205680e+01,4.582715446e+01,1.529952106e+01,3.761193578e+01,9.417615263e+01,7.658561896e+01,9.181817259e+01
5.660050110e+01,5.903184034e+01,6.003467966e+00,5.644728460e+01,1.378916376e+01,2.402795640e+01,2.476145521e+01
4.706056084e+01,5.776146294e+01,5.045131852e+00,4.293466275e+00,2.611365966e+01,8.230471718e+00,9.696976861e+01
9.103717139e+01,7.033625986e+00,5.795757204e+01,6.031012739e+01,1.431619345e+01,7.236965620e+01,7.735869245e+01
4.632441093e+01,5.044029932e+01,7.845301957e+01,7.000464588e+01,9.054620530e+01,7.041607071e+01,6.806185350e+00
6.320086066e+01,4.272713817e+01,5.199645032e+01,2.358516829e+01,9.398685710e+01,9.799183356e+01,6.801027674e+01
4.091509954e+01,6.039366887e+01,1.214901148e+01,5.293798977e+01,3.364767341e+01,7.330550473e+01,8.849235261e+01
6.828886064e+01,9.963368953e+00,1.988532577e+01,8.078943177e+01,8.891260765e+01,4.149619770e+01,1.708424964e+01
7.900102053e+01,8.934521216e+01,6.701831308e+01,3.362913537e+01,3.239319901e+01,2.349009207e+01,4.134100254e+01
9.191166448e+01,2.924162803e+01,2.223087417e+01,1.856847405e+01,6.393612064e+01,3.637745007e+01,9.548535714e+01
5.939243485e+01,8.143780287e+00,9.014241134e+01,7.446236365e+01,9.945178597e+01,4.333339586e+01,2.843545497e+00
6.580153448e+01,7.778791281e+01,7.871217630e+01,1.440589568e+01,8.486568412e+01,6.102670711e+01,4.783089783e+01
9.230365666e+01,5.497772569e+01,7.730480724e+01,1.618434091e-02,7.017805511e+01,1.608329804e+01,8.447892240e+01
8.361447377e+01,2.132945551e+01,8.820414820e+01,1.279350163e+01,1.053223347e+01,7.395721423e+01,4.777345477e+00
6.800518842e+00,1.597707331e+01,6.211625254e+01,2.193227109e+01,8.441909353e+01,4.305950102e+01,2.077024025e+00
3.466820198e+01,9.542924928e+01,8.962780286e+01,8.448062112e+00,3.126142845e+01,7.201827334e+00,1.368591059e+01
2.093281592e+01,7.111577483e+01,3.928433162e+01,8.481480888e+01,8.740746283e+01,7.563865165e+01,3.885800543e+01
9.975237162e+01,5.800526743e+01,1.408363323e+01,3.637097223e+01,8.216781503e+01,2.893634961e+01,9.494840680e+01
4.447221081e+01,3.350449222e+01,3.745244564e+01,9.203384680e+01,2.345268337e+01,7.720272600e+01,5.121604697e+01
9.861635052e+01,8.741933663e+01,6.369759385e+01,5.341573711e+01,5.610544444e+01,1.190764291e+01,8.987914412e+01
9.027066491e+01,2.272392056e+01,2.594503259e+01,3.343457722e+01,9.553102069e+00,8.187530149e+01,8.726959548e+01
1.677281818e+01,8.251133519e-01,6.436613791e+01,6.159618792e+01,2.587282498e+01,2.979732680e+01,4.810356895e+01
8.799259292e+01,8.173862141e+01,7.428875100e+01,5.443543497e+01,4.350052003e+01,8.116388873e+00,4.729284237e+01
2.315201286e+01,6.061132150e+01,8.748766505e+01,2.415452307e+01,4.255203663e+01,8.130064822e+01,3.085973810e+01
3.683018189e+01,4.455413896e+01,6.738813226e+01,4.779193190e+01,7.607905790e+01,8.077225781e+01,6.658120966e+01
7.247289746e+01,7.901076637e+01,3.149580611e+01,6.899749880e+01,3.487095590e+00,9.521020095e+01,1.798169036e+01
3.753550059e+01,8.867860139e+01,6.067642949e+01,5.650617154e+01,9.295585515e+01,8.687031347e+01,8.921877446e+01
3.098181318e+01,3.395756850e+01,6.800238810e+01,4.735165839e+01,8.621362840e+01,1.399303251e+01,8.307559000e+01
8.500119253e+01,3.141326533e+01,1.320367716e+01,9.430622925e+01,1.412454723e+01,1.935005034e+01,7.535130173e+01
3.379080872e+01,8.568452091e+01,3.214006147e+01,6.313852863e+01,7.884729275e+01,9.915104388e+01,9.376510169e+01
2.874667084e+01,2.112156078e+01,5.737770589e+01,3.157463423e+01,8.049161749e+01,2.512405089e+01,5.568885323e+01
3.394642720e+01,6.882906194e+01,7.904845827e+01,2.558018847e+01,8.571904582e+00,7.713587101e+00,8.924046875e+00
3.288143710e+01,7.189208522e+01,3.849914632e+01,5.000496938e+01,1.886805179e+01,1.860450034e+01,5.728226824e+00
3.670293641e+01,1.364652508e+01,6.988959392e+00,3.824158224e+01,1.039706577e+01,3.342380637e+01,3.789384383e+01
7.672141231e+01,7.019521313e+01,8.090427320e+01,8.557485068e+00,4.892191659e+01,5.937139142e+01,1.212213504e+01
1.869436464e+01,3.826910374e+01,7.082103979e+01,1.893615063e+01,1.821653478e+01,1.749246783e+01,3.854054104e+00
8.436511473e+01,7.164375252e+01,2.324119707e+01,1.284540718e-01,4.248069492e+01,7.805969131e+01,2.728041649e+00
1.940322922e+01,7.373456786e+01,8.702220908e+01,6.517444600e+01,1.667524272e+01,1.807131041e+01,7.711975323e+01
1.215853068e+01,1.387656907e+01,7.612833416e+01,5.999804100e+01,4.000595040e+01,6.873092768e+01,1.314559969e+00
5.286439943e+01,7.457918792e+01,6.906063837e+01,1.469205999e+01,1.043607740e+01,8.774808098e+01,9.469594929e+01
5.491295301e+01,8.788164392e+01,8.876654166e+01,7.845110990e+01,7.078754267e+01,6.789977288e+01,8.061646372e+00
7.645367367e+01,2.452071142e+01,6.918279411e+01,4.627855908e+01,6.116475779e-01,7.036471976e+01,7.932286787e+01
5.265368874e+01,6.008689816e+01,3.505261808e+01,7.131792444e+01,5.086138137e+01,5.494275832e+01,4.547254388e+00
3.860874637e+01,1.181878874e+01,6.420273660e+01,9.373274038e+01,5.165159177e+01,8.471662392e+01,7.113234995e+01
9.956320197e+01,2.203636309e+01,4.185073070e+01,2.082984547e+00,5.385754356e+01,2.949094846e-01,8.252248540e+01
6.660668307e+01,1.904541040e+01,4.260115348e+01,8.296229427e+01,3.838532177e+01,3.147875625e+01,8.997980480e+01
9.555696898e+01,9.910426805e+01,2.041450761e+01,7.502994017e+01,3.143814895e+01,3.252070705e+01,3.842180699e+01
8.058541202e+01,5.079732971e+00,9.434661558e+00,5.169099119e+01,3.212140397e+01,3.156289734e+01,4.196218474e+01
8.176561103e+01,1.400728293e+01,7.434049934e+01,9.300085541e+01,2.553789780e+01,6.687525082e+01,4.980583462e+01
1.977246866e+01,2.321673705e+01,1.919817567e+01,8.961708745e+01,7.858970328e+01,6.277407009e+00,5.231070304e+01
7.932468694e+01,5.879798847e+01,3.450374406e+01,2.129107812e+00,3.005764304e+01,6.962030849e+01,1.782681769e-01
9.801532564e+01,4.606799435e+01,1.505261732e+01,7.301510917e+01,6.496952980e+01,4.981154409e+01,6.892966581e+01
2.279252376e+01,6.160029074e+01,4.927445722e+01,9.632956662e+01,1.075198089e+01,1.462247711e+01,6.612261733e+01
4.021371111e+01,1.747996561e+00,5.141317118e+01,5.916406907e+01,2.816849653e+01,5.163296812e+01,2.558235743e+01
9.491239237e+01,4.389051288e+01,9.406953390e+01,4.184573541e+01,3.152818685e+00,3.119873102e+01,8.215292751e+01
4.327307008e+01,9.345432228e+01,2.181858512e+00,3.058508989e+01,7.932229244e+01,5.313065297e+01,2.755466445e+01
5.620681041e+01,4.395438271e+01,2.207059413e+01,2.149121989e+01,3.225702492e+00,1.429768212e+01,1.249835312e+01
8.510960092e+01,3.188549322e+01,7.261656601e+01,8.928460145e+01,9.302129537e+01,1.034613096e+01,2.937788791e+01
8.843247270e+01,7.212308830e+00,1.155941376e+01,3.556697324e+01,2.000833336e+01,7.125533719e+01,4.050099803e+00
2.669586283e+01,4.319941469e+01,6.584841674e+01,2.122482774e+01,7.093796029e+01,3.887500253e+01,5.816895269e+01
9.349146512e+01,2.575479246e+01,9.471074899e+01,7.798032135e+01,3.867011425e+01,2.517108552e+00,4.233496995e+01
9.185014007e+01,7.363483243e+00,9.417480888e+01,6.581533411e+00,1.401610932e+01,6.396330360e+01,7.617817628e+01
2.846762985e+01,7.808513452e+01,2.176139126e+01,4.242932567e+01,5.306953209e+01,6.672388205e+01,2.797520036e+01
9.440784110e+01,3.712220245e+01,8.343834876e+01,5.743196592e+01,2.273047752e+01,2.803716791e+01,5.508291464e+00
1.038701345e+01,5.482738041e+01,1.651583167e+01,3.674168790e+00,7.712004830e+01,4.783009447e+01,7.750795216e+01
6.900349235e+00,9.994148217e+01,4.681479192e+01,1.231139395e+01,7.369660284e+00,9.661931402e+01,6.947154487e+01
5.604205714e+01,7.692140008e-01,5.929089463e+01,7.910825401e+01,3.628615396e+01,6.979415465e+01,5.015015096e+01
1.755743037e+01,5.222372166e+01,5.918375897e+01,4.834467289e+01,4.934266596e+01,1.172069275e+01,7.081328630e+01
5.789169709e+01,5.411382213e+01,7.405177503e+01,5.584549846e+01,3.648366688e+00,6.129072547e+01,8.494903132e+01
5.428360948e+01,6.658828001e+01,5.419389343e+01,8.716388730e+01,3.779871954e+01,8.004954529e+01,2.382359381e+01
6.137556192e+01,9.190472484e+00,5.779554708e+01,1.769444143e+01,6.213676398e+01,7.999039162e+00,7.527507459e+01
7.974411934e+01,3.554903521e+01,3.498843779e+01,5.947672377e+01,1.522439085e+01,6.062758410e+01,3.965788931e+01
2.653838325e+01,3.215589423e+01,1.048470437e+01,5.271243105e+01,4.597193935e+01,3.685857812e+01,7.430395741e+01
1.926929159e+01,5.600593413e+01,4.280186624e+01,2.654905359e+01,1.222850561e+01,5.679172810e+01,3.228775173e+01
5.556490732e+00,1.842471624e+01,9.425202233e+01,4.145101698e+01,5.778505651e+01,7.174577938e+01,4.139860079e+00
3.003525106e+01,6.016371613e+01,2.843523974e+01,9.063361140e+01,8.588695590e+01,4.553343417e+01,2.676005655e+01
3.117003553e+01,5.738984035e+01,8.231733541e+01,8.134403457e+01,7.631531246e+01,6.953934080e-01,9.952129987e+01
7.061123450e+01,9.301689145e+01,8.573215896e+01,9.478902085e+01,5.887073889e+01,8.971757321e+01,5.374810851e+00
2.170099478e+01,2.536142386e+01,5.292138981e+01,1.922015704e+01,1.815529956e+00,2.039964865e+01,8.391003194e+01
5.042661634e+01,1.252381234e+01,9.184297738e+01,9.611051238e+01,2.416647174e+01,5.763694857e+00,7.069323152e+01
7.176284007e+01,7.872156780e+01,9.361944629e+01,7.281572743e+01,9.992212747e+01,7.829838669e+00,2.880362334e+01
8.192022029e+01,3.018237788e+01,3.973211272e+01,8.473832821e+01,7.048919799e+01,1.448969787e+00,2.641232231e+01
3.632441475e+01,1.022071060e+01,5.904015026e+01,8.040837244e+01,5.896739117e+01,1.161544826e+01,8.769421200e+01
7.838018200e+01,3.985402468e+01,4.510682147e+01,3.507760260e+01,5.493808203e+01,8.704883434e+01,7.004109951e+01
3.541024288e+01,5.421116765e+01,2.835127329e+00,1.328873789e+01,9.249859136e+01,9.381591123e+01,2.398307516e+01
3.802375582e+00,1.869265053e+01,9.527981986e+01,2.595131772e+01,8.937498145e+01,1.574255083e+01,5.976457496e+01
8.709392714e+01,3.654870506e+01,6.037836293e+01,7.772003878e+01,8.563915932e+01,3.520211804e+01,5.130519433e+01
7.047747382e+01,2.666950340e+00,4.328007479e+01,7.324142453e+01,5.349820354e+01,1.332195713e+01,2.846285900e+01
5.362289201e+01,9.664937880e+01,4.905588673e+01,8.561516542e+01,3.967045491e+01,8.346903565e+01,3.357302555e+01
7.316163528e+01,9.292399625e+01,8.757501146e+01,4.433934425e+01,2.561793538e+01,4.024751940e+01,7.489061720e+00
9.038689114e+01,8.830623585e+00,5.642976249e+01,3.809493159e+01,8.384455336e+01,9.945283046e+01,3.861299301e+01
9.876006277e+01,3.178007559e+01,1.337251184e+00,6.384158973e+01,5.487381779e+01,6.767808487e+01,6.554508564e+00
7.870989570e+01,4.559860896e+01,1.902663899e+01,6.592096746e+01,5.859057423e+01,5.820047373e+01,6.986480236e+01
8.032177419e+01,1.320955359e+01,2.544027265e+01,7.464811839e+01,3.943485732e+01,1.379961658e+01,3.020478952e+01
6.987249569e+01,8.030210184e+01,7.462488643e+01,5.456781787e+01,8.962291371e+01,5.884944430e+01,7.773421729e+01
5.032591535e+00,8.372702971e+01,2.916190098e+00,9.035982048e+01,5.878309961e+01,3.802046940e+01,5.109734679e+00
7.194047061e+01,6.602763911e+01,4.763105470e+01,8.496483744e+01,5.014755411e+01,9.693951188e+01,5.900091690e+01
4.846129588e+01,7.798533787e+01,8.051917468e+01,3.470388178e+01,5.561067707e+01,7.645936498e+01,5.735579686e+01
5.762245585e+01,1.015403270e+01,9.068487933e+01,3.217210962e+01,2.853076942e+01,9.423187019e+01,3.818902360e+01
9.124462290e+01,7.719295806e+00,2.934007061e+01,6.610245370e+01,7.386137634e+01,1.218908484e+01,5.241900463e+00
7.201296850e+01,5.819539444e+01,3.750778344e+01,6.862532674e+01,7.002451896e+01,7.418750703e+01,3.998481716e+01
5.327618418e+01,3.561734590e+01,3.311872374e+01,9.887706325e+01,5.248435823e+01,7.205929955e+01,8.543537855e+01
3.473176139e+01,4.501553471e+01,2.903612580e+01,1.645631410e+01,7.835659500e+01,2.462260469e+01,6.794140435e+01
1.732777999e+01,2.140393433e+01,5.859959814e+01,1.727778164e+01,3.886838496e+01,6.211034782e+01,1.356499539e+01
3.690597596e+01,8.274190794e+01,6.711269722e+01,3.036473007e+00,1.123982012e+01,4.933872007e+01,6.751854249e+01
8.570111641e+01,3.342309113e+01,3.636500533e+01,7.248858842e+01,8.831669338e+01,1.138481330e+00,3.260360314e+01
5.404976403e+01,6.154591172e+01,7.213868576e+01,5.110440962e+01,5.922060177e+01,7.827305980e+01,6.676286250e+01
9.924707412e+00,4.964597426e+01,9.927917703e+01,8.984899099e+00,4.740248687e+01,9.271153509e+01,8.579895050e+01
9.009190977e+01,7.899390399e+01,4.869644932e+01,9.015841394e+01,8.051501630e+01,8.198016073e+01,9.785687826e+01
4.630315416e+00,6.597645504e+01,9.573631045e+00,5.319957675e+01,6.819430537e+01,9.114391594e+01,5.464181769e+01
7.000814941e+01,1.411499896e+01,1.605585285e+01,8.839330260e+01,7.948507739e+01,5.587087323e+01,7.591632852e+01
1.597633988e+01,6.109845849e+01,3.580771998e+01,2.844171112e+01,1.164931888e+01,1.362294184e+01,3.512196140e+01
3.365047979e+01,7.269634169e+01,4.737410243e+00,7.921773155e+00,5.060688936e+01,6.775825781e+01,7.337834812e+01
5.961599656e+01,3.327738324e+01,8.135193989e+01,6.116441128e+01,6.717910916e+01,6.247026553e+01,7.241729338e+01
6.950119533e+01,3.789544397e+01,6.073212040e+01,3.712307841e+01,8.087764026e+01,3.286403330e+01,6.830701579e+01
7.475957819e+01,3.110480153e+01,2.516250227e+01,9.337815989e+01,1.994185688e+01,5.605770915e+01,3.456617359e+01
2.156407700e+01,6.758200511e+01,8.855276968e+01,1.258752102e+01,8.577275619e+01,5.270036162e+01,6.910724750e+01
2.511412458e+01,7.949004868e+01,8.944873893e+00,3.147066846e+01,9.385404129e+01,7.815717896e+01,9.921646983e+01
8.130725823e+01,5.330208552e+01,5.556120119e+00,9.606855734e+01,6.319073659e+01,7.976187068e+01,5.281754103e+01
3.449901286e+01,8.263770738e+01,6.974894567e+01,2.804407466e+01,4.143742989e+01,5.354594423e+01,5.766906430e+01
1.729046626e+01,2.280791008e+01,3.995988454e+01,6.865345593e+00,8.757944485e+01,9.505545952e+01,8.142759293e+01
2.914834245e+01,5.574864050e+01,6.057759604e+01,6.060991436e+01,5.135175971e+01,7.067139050e+01,8.552094876e+00
9.050673310e+00,5.083408226e+01,9.632234901e+01,1.017265874e+01,1.509739326e+01,9.750113685e+00,2.353005815e+01
4.621450992e+01,7.100819994e+01,2.677036144e+01,6.544560610e+01,1.519201584e+01,9.846574635e+01,5.780040056e+01
2.220537509e+01,2.632376720e+01,6.692740749e+01,2.454618885e+01,3.485583881e+01,8.806359253e+00,1.678345804e+01
4.106706348e+01,2.498952735e+01,6.242047719e+01,3.859720795e+01,8.587626506e-01,4.955509207e+01,4.241776110e+01
9.319193832e+01,3.735548702e+01,2.829969210e+01,5.249747766e+01,4.268713343e+01,8.999274477e+01,1.827619928e+01
3.524457306e+01,9.374357953e+00,2.752039622e+01,2.002168800e+01,5.175773055e+00,1.002800260e+01,7.357181707e+01
8.289636808e+01,8.334300285e+01,5.060988911e+01,8.917002966e-01,7.327851236e+01,1.319289518e+01,7.639508534e+01
1.350551088e+01,9.908195537e+01,5.704593445e+01,3.231311418e+01,8.786798414e+01,3.526925444e+00,6.639217587e+01
7.437358794e+01,2.374260642e+01,4.077263635e+01,6.903240493e+01,5.660897985e+01,6.711121199e+01,4.071238667e+01
2.023745358e+01,2.015288049e+01,8.256797236e+01,5.660277906e+01,2.941456131e+01,4.214038059e+01,7.701494645e+01
4.754167568e+01,2.876226055e+01,6.044633696e+01,9.640514327e+00,8.315040186e+01,4.423597839e+01,3.621470145e+01
7.533108537e+01,3.084818591e+01,8.786753241e+01,1.513371770e+01,1.563993352e+00,3.721694940e+01,2.516723914e+01
3.079924485e+01,2.409510860e+00,2.738027160e+01,6.233902596e+01,4.819168026e+01,9.994284075e+01,1.820440875e+00
6.262782216e+01,6.455547723e+01,3.828053156e+01,2.401801290e+01,4.385766187e+01,4.838164147e+01,4.543487298e+01
1.821801081e+01,4.935369017e+01,6.379580369e+01,2.890878908e+01,6.855416506e+01,1.496051437e+01,2.863628261e+01
2.826356133e+01,6.082906241e+01,4.476722416e+01,7.399095889e+01,4.408464258e+01,2.948045138e+01,4.048241740e+01
2.343697392e+01,5.480517974e-01,5.000339788e+01,9.764082227e+01,1.978057431e+01,4.389051793e+01,2.224754496e+01
2.286890832e+00,6.918980904e+01,4.432173890e+01,9.503917592e+01,9.738286729e+01,3.066023809e+00,1.690146071e+01
6.672316661e+00,6.413254496e+01,9.777126555e+01,5.469549470e+01,1.785904327e+01,4.961710814e+01,5.533096508e+01
5.611238957e+01,7.098353977e+01,1.640547957e+01,7.023049048e+01,4.639337205e+00,3.214371597e+00,7.909770463e+01
4.989382442e+01,5.637379314e+01,3.350867170e+01,8.757768290e+01,4.456684474e+01,2.763402612e+01,4.256671547e+01
8.986126320e+01,3.017890620e+00,9.141286526e+01,6.628183840e+01,4.114258264e+01,7.256277953e+01,7.828478060e+01
2.240225435e+01,6.825613964e-01,2.133188635e+01,7.784448501e+01,5.513382731e+01,4.645320457e+01,2.111704138e+01
5.893279001e+01,3.438177453e+01,6.648859433e+01,5.217630201e+01,5.463597856e+01,6.365127130e+01,3.598531738e+01
9.911244632e+01,8.004190193e+01,4.251093777e+01,2.811954384e+01,2.434181122e+01,5.597373020e+01,8.783239394e+01
8.313202631e+01,3.755303812e+01,8.503887796e+01,1.476299699e+01,2.146688174e+01,3.654574483e+01,9.896751483e+01
6.790724970e+01,7.196693625e+01,8.683730058e+01,1.285541733e+01,8.851172183e+01,4.883702795e+01,6.092850407e+01
2.644108918e+01,6.300763167e+01,2.708268808e+01,8.279572724e+01,7.249351521e+00,9.485474166e+01,6.736487347e+01
9.713285947e+01,6.473361413e+01,1.896572684e+01,2.061029927e+01,3.915238755e+01,6.042271264e+01,2.611960953e+01
7.698077835e+01,2.593000290e+01,5.169085598e+01,2.315975588e+00,8.129382821e+01,7.517053539e+01,7.271365459e+01
8.956809212e+01,2.006941061e+01,2.562299150e+01,6.669793647e+01,7.561673876e+01,2.395907755e+01,5.576769536e+01
2.990612227e+00,4.475553395e+01,1.542998601e+01,7.744719537e+01,2.369527002e+01,9.676515885e+01,7.664999234e+01
