v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27
6.361812133e+01,7.171559326e+01,9.464029875e+01,2.201242453e+01,7.855408547e+01,7.659479208e+01,2.664957745e+01,2.732914234e+01,5.092879663e+01,6.935205155e+01,2.315433419e+00,6.300637679e+00,2.182125780e+01,7.073183464e+01,7.512904227e+01,8.888430159e+01,2.124588396e+01,9.338187502e+01,3.380145917e+00,5.810759574e+01,9.892967781e+01,4.990524075e+01,5.444191910e+01,6.422466516e+01,8.640689601e-01,7.540452760e+01,1.112782739e+01
1.671671998e+01,2.946332955e+01,6.515064063e+01,5.654329583e+01,8.572730165e+00,5.824671442e+01,1.056280090e+01,3.594309726e+01,6.644668455e+01,1.322231429e+01,9.519867679e+01,2.259949773e+01,4.292792119e+01,9.075783767e+01,4.571010633e+00,2.545011851e+01,4.209886920e+01,9.172528962e+01,3.577204337e+01,3.373432689e+01,9.137618717e+01,5.298853860e+01,1.365102655e+01,8.970128504e+01,1.967215215e+01,4.623516927e+00,8.417018590e+01
4.495223776e+01,2.789494124e+01,1.959102141e+00,4.987679498e+00,3.279912599e+01,7.805894595e+01,8.783461742e+01,2.113924251e+01,3.092294003e+01,3.655964081e+00,9.095418945e+01,3.892670809e+00,3.835982582e+01,6.068743652e+01,8.503975432e+01,1.373443738e+01,3.262552309e+01,4.198479456e+01,3.906318092e+01,4.809858113e+01,8.332954253e+01,4.846848142e+01,8.827283746e+01,5.481739744e+01,8.138002047e+00,1.882575346e+01,6.546523284e+01
5.629727380e+01,5.022608196e+01,7.874432670e+01,2.555823063e+01,2.287813126e+01,4.866884984e+01,3.905136280e+01,9.582399301e+01,4.531370479e+01,7.606001150e+01,2.047253203e+01,7.203774541e+01,5.247998912e+01,9.016887454e+01,7.913781450e+01,4.693462332e+01,2.802416856e+01,9.640575674e+01,1.762190933e+00,1.377319143e+01,3.130702731e+01,9.535763222e+01,3.528932177e+01,7.742182635e+01,4.925631413e+01,2.808619565e+01,9.454647562e+01
6.095199721e+01,4.535688759e+00,1.130565520e+01,5.380759258e+01,5.241068400e+01,3.167733330e+01,5.002560124e+01,8.166383612e+01,3.408270900e+01,1.811569260e+01,4.556678371e+01,2.667931955e+01,6.086442448e+01,9.158208891e-01,5.964204133e-01,9.888303495e+01,6.765745957e+01,4.575757060e+01,3.602194193e+01,6.176136443e+01,4.607203279e+01,7.764269622e+01,6.349564928e+01,2.459336568e+00,9.709719487e+01,9.490416743e+01,8.270100674e+01
2.594413590e+01,2.000931976e+01,1.453333292e+01,4.570074384e+01,7.656852708e+01,4.132116703e+01,7.959874968e+01,5.687933286e+01,7.203149775e+01,1.950169209e+01,7.158359619e+00,7.032272048e+01,5.694272495e+01,5.982256065e+01,3.716476708e+01,2.387495131e+01,2.742106079e+01,8.488823594e+01,6.449864026e+01,4.581730070e+01,5.515577512e+01,6.477691797e+01,3.682154124e+01,2.933145124e+01,9.356842756e+00,7.865724626e+01,4.331084876e+01
4.764277537e+01,3.611821984e+01,9.527091943e+01,9.526713037e+01,4.410149034e+01,6.425413296e+01,5.914693737e+00,6.806395789e+01,9.952991259e+01,7.793544901e+01,8.380872757e+01,2.143712026e+01,5.265578339e+00,5.487783737e+01,5.225237658e+01,7.798210213e+01,2.132961135e+01,2.660382272e+01,9.634221498e+00,4.680010325e+01,5.547443135e+01,7.292152831e+01,2.118213488e+01,7.417970289e+01,8.400193531e+01,9.902193723e+01,2.887805353e+01
6.671843690e+00,7.572616448e+01,1.284909332e+00,1.101063574e+01,6.298328596e+01,7.566423454e+01,9.974218647e+01,2.352149979e+01,4.452764909e+01,5.762020291e+01,8.486766536e+01,1.491961144e+01,7.545420810e+01,3.481429531e+01,8.076585632e+01,3.353870859e+01,1.841661727e+01,8.954568627e+01,4.817478305e+01,5.934293030e+01,9.971116169e+01,6.622168871e+01,5.797697602e+01,5.047183362e+01,5.749073376e+01,1.442709784e+01,7.785153574e+00
6.942835525e+01,6.424153987e+00,5.531887947e+01,1.893183427e+01,7.902743780e+01,1.420298836e+01,3.167610875e+01,1.234001987e+01,6.391599236e+01,4.324664738e+01,3.124436623e+00,5.459019362e+00,1.421806941e+01,3.510885956e+01,4.796899207e+00,9.175143234e+01,1.573738909e-01,7.290570122e+01,9.460776510e+01,2.290272266e+00,5.978396363e+01,3.732620310e+01,3.547928408e+00,6.914969729e+01,3.186420531e+01,2.029946879e+01,7.114420666e+01
5.181521280e+01,5.902023532e+01,1.308073606e+01,8.404380725e+01,2.042073700e+01,3.794562683e+01,2.130023544e+01,1.792406892e+01,3.521787609e+01,9.115449802e+01,6.581441835e+01,9.739132025e+00,7.798234579e+01,3.523001486e+00,7.507726521e+01,8.206639376e+01,9.801060540e+01,7.599891089e+01,4.561020540e+01,5.469391148e+01,4.985009329e+01,8.516736640e+01,7.156118444e+01,1.526889705e+01,9.110788478e+01,4.805360944e+01,1.195942628e+01
2.577920679e-02,8.979782848e+01,1.203017150e+01,9.137492642e+01,8.670133448e+01,3.545798264e+01,7.961711479e+01,5.325410504e+01,4.478760799e+01,9.799689748e+01,9.952117719e-01,4.889713566e+01,6.579127885e+01,9.555997065e+00,8.997126799e+01,6.890232758e+01,9.712072315e+01,7.396538181e+01,8.995305267e+01,9.417531708e+01,9.159669818e+01,6.649301895e+01,6.755402023e+01,3.894670057e+01,9.060351192e+01,9.637686086e+00,2.956743929e+01
4.450651747e+01,3.913759818e+01,8.330038093e+01,7.524391522e+01,6.150048360e+01,8.294009515e+01,9.846987293e+01,1.229470891e+01,1.498528494e+01,5.447610084e+00,1.163419189e+01,7.974354888e+01,7.400484754e+01,4.353352944e+01,6.145106734e+01,1.426786437e+01,7.417797741e+01,4.023159218e+01,6.299117591e+01,9.532562458e+01,1.120474519e+00,1.384745442e+00,2.368934249e+01,7.618328410e+01,1.496255050e+01,6.305027318e+01,5.946098655e+01
1.708447064e+01,6.103734882e+00,8.564773221e+01,2.189241208e+01,2.268872613e+01,1.223431362e+01,2.720100785e+01,3.315691388e+01,5.245973086e+01,2.419250974e+01,1.997912068e+00,2.242336830e+01,1.166231877e+01,2.443952840e+01,2.920230427e+01,8.439219599e+01,1.752343094e+01,7.673532653e+01,2.861932077e+01,7.997071752e+01,7.432051722e+00,9.595327395e+01,8.287547109e+01,2.330765715e+01,1.423519710e+01,1.151588460e+01,7.555415605e+01
6.593751288e+01,9.841177944e+01,9.485624682e+01,7.084220046e+01,2.082497942e+01,6.116055435e+01,3.493763097e+01,6.648470955e+01,2.513306848e+01,7.117446204e+01,3.303115418e+01,3.824272552e+01,6.097652906e+01,4.513536252e+01,9.910029804e+00,5.452332552e+01,8.780804325e+01,8.224565293e+01,8.516052919e+01,7.434075155e+01,8.264366952e+01,8.604867572e+01,2.024705228e+00,3.498157112e+01,5.621669918e+01,3.763113830e+01,4.506369541e+01
7.110822718e+01,6.058705415e+00,4.955303954e+01,3.066141510e+01,5.452013595e+01,3.528404462e+01,6.031494080e+00,1.090090148e+01,6.167531636e+01,3.070854313e+00,7.739934403e+01,6.273476071e+01,2.404226650e+01,1.957951805e+01,6.299104496e+01,2.714547519e+01,1.666132395e+01,8.811513590e+01,7.853111635e+01,2.741554350e+01,4.871565978e+01,9.369443406e+01,6.828124744e+01,4.214822700e+01,2.118602036e+01,7.164671507e+01,4.039967248e+01
7.070062932e+01,8.123843368e+01,2.410971202e+01,9.115924823e+01,1.003175220e+01,4.154253244e+01,9.424722704e+01,1.862103862e+01,5.101262288e+01,1.517494675e+01,6.813739807e+01,6.236145088e+01,1.798333441e+01,4.805672653e+01,9.295545306e+01,8.898190678e+01,7.235274749e+01,1.567720521e+01,6.114723589e+01,5.338000353e+01,8.430688055e+00,8.410603533e+01,7.432990487e+01,9.366345307e+01,5.291393578e+01,7.481074915e+01,8.209873391e+01
9.080393232e+01,4.477946474e+01,8.906290413e+01,5.570610923e+01,1.230810684e+01,8.202280109e+01,9.643657119e+01,7.728870861e+01,5.615586403e+01,6.898979001e+01,5.677656924e+01,6.721584998e+01,7.045210348e+01,8.838930486e+01,3.484507086e+01,7.773010157e+01,8.007408365e+01,6.632193564e+01,2.365853853e+01,5.950467926e+01,5.394314203e+01,3.282851055e+01,6.499213691e-01,7.546539805e+01,5.570850993e+01,8.021096863e+01,4.484941895e-01
8.292987721e+01,6.106752521e+01,7.882275045e+01,8.306889391e+01,5.365449492e+01,4.562168981e+01,5.692658804e+01,1.207102801e+01,5.324317824e+01,7.868439215e+00,7.110370196e+01,8.793547745e+01,9.722003705e+01,3.988926990e+00,5.963659430e+01,5.814171241e+01,3.823525088e+01,9.536627071e+01,6.831536135e+01,2.981824204e+01,7.390824713e+01,6.897681040e+01,1.024125493e+01,3.221073331e+01,8.729795814e+01,5.474819543e+01,8.876308423e+01
7.043485101e+01,2.896538598e+01,6.149900718e+01,5.836051201e+01,8.929367286e+01,9.835010889e+01,7.189749307e+01,4.218779036e+01,6.335706795e+01,2.857960817e+00,7.793548080e+01,9.259707799e+01,1.929549252e+01,2.114972188e+01,7.193308525e+01,5.400282041e+01,8.815937119e+00,9.692004577e+01,6.520536130e+01,6.512040336e+01,3.406263525e+01,5.173134738e+01,8.181913546e+01,3.934980955e+01,1.841686844e-01,2.852709212e+01,3.937872641e+01
1.459147283e+01,1.170599463e+01,8.520811727e+01,9.807474994e+01,3.041174013e+00,2.638045181e+01,2.520952324e+01,2.495356918e+01,9.591255252e+01,3.830024467e+01,9.054583108e+01,4.380428643e+01,9.669276541e+01,3.050019943e+01,6.804110293e+01,6.251058089e+01,1.925608095e+01,3.475273677e+01,4.972864658e+01,4.278256089e+01,3.301300328e+01,6.386799223e+01,1.372099598e+01,5.169894850e+01,1.354384356e+01,8.991405017e+01,6.641453451e+01
5.261136818e+01,8.843312956e+01,3.733077984e+01,6.572720541e+01,5.226067338e+01,6.264072264e+01,8.240751925e+01,7.902082562e+01,3.780963293e+01,1.037206700e+01,4.465380221e+01,2.615748404e+01,5.719626818e+01,4.193435371e+01,7.027623502e+01,2.743556683e+01,8.275057308e+01,1.387502816e+01,6.733173354e+01,3.630001178e+01,5.407204429e+01,3.593008217e+01,9.868143695e+01,8.252274740e+01,5.225624625e+01,3.816357211e+01,8.570024023e+01
8.766109117e+01,2.985942736e+01,6.406699692e+01,2.016263773e+00,8.628728284e+01,6.773651539e+01,3.450820584e+00,2.223061154e+01,6.387908285e+01,2.640041457e+01,6.901549391e+01,8.136882651e+01,7.112424717e+01,2.036112796e+01,6.912907044e+01,3.727775889e+01,3.527069061e+01,6.061323574e+01,7.433356300e+01,7.163979674e+01,6.390038217e+01,2.100325505e+01,1.065740750e+01,2.095963508e+01,8.823261595e+01,3.651509438e+01,3.706183795e+01
3.735587403e+01,1.223857806e+01,4.705693823e+01,3.860225139e+01,9.356020906e+01,4.396234132e+00,5.910852992e+01,2.460484786e+01,9.948947805e+01,8.098023048e+01,3.121909713e+01,6.185121380e+01,2.738738387e+01,6.978699448e+01,2.862507000e+00,6.584903905e+01,3.899710109e+01,7.746950218e+01,9.822144719e+01,8.332041916e+01,9.635505108e+00,7.122792918e+01,1.981115512e+01,2.185615250e+01,2.454130914e+01,6.804324565e+01,2.202041521e+01
5.014540047e+01,3.520964713e+01,5.838477610e+01,5.023334684e+01,2.561042546e+01,8.683772547e+01,7.593209489e+01,2.935956605e+01,5.786316252e+00,1.211867614e+01,3.900142827e+01,8.017405705e+00,3.997786679e+00,5.969411076e+01,1.289738523e+01,9.528113594e+01,8.309964736e+01,6.547873770e+01,2.464086843e+01,1.043786922e+01,8.162677097e+00,9.557388590e+01,6.804668484e+01,6.718607922e+01,3.974106887e+01,1.482672050e+01,4.419232070e+01
3.197159953e+01,3.412162868e+01,4.458750587e+01,8.185806140e+00,2.726948873e+01,8.030358039e+01,6.981076404e+01,6.968150361e+01,2.716306797e+00,1.382697391e+01,5.341687773e+01,9.161222954e+01,2.075743643e+01,2.400674532e+01,1.071927930e+01,8.810330219e+01,1.055186176e+01,1.141300027e+01,2.721582448e+01,9.909847738e+01,1.374499614e+01,4.815210014e+00,6.410802460e+01,8.372824667e+01,4.468150055e+01,3.891654646e+01,1.127450391e+01
3.042683918e+01,5.075660201e+01,4.028596106e+01,8.481298907e+00,4.190161655e+01,7.636199220e+00,5.861776655e+01,8.506234334e+01,7.761178373e+01,7.911110822e+01,1.860393587e+01,9.146598386e+01,2.658804323e+00,9.809313003e+01,3.166461158e+01,6.983562353e+01,8.614119202e+01,6.057144110e+01,9.443163829e+00,2.979418495e+01,5.481451491e+01,2.843093944e+01,3.870343877e+01,9.257509332e+00,1.050754486e+01,1.809414549e+01,6.231892157e+01
7.890793600e+01,8.379594842e+01,1.401490152e+01,8.191120833e+01,6.937743009e+01,7.622265634e+01,5.026475733e+01,7.080698226e+01,9.038197248e+01,6.046026232e+01,6.672666660e+01,3.489814109e+00,2.711634475e+01,7.823321642e+01,8.810739013e+00,1.876822823e+01,5.323397722e+01,9.197184984e+01,9.252876159e+01,6.541895239e+01,5.178695003e+01,8.473303721e+01,1.809615647e+01,1.976822331e+01,4.992649464e+01,7.209975113e+01,7.227141436e+01
5.832565495e+01,2.523936855e+01,7.184869870e+01,2.638478536e+01,7.394603543e+01,9.416640108e+01,2.569415908e+01,7.387204823e+01,9.656827276e+01,1.650711117e+01,3.555078132e+01,3.971279808e+01,3.492272729e+01,4.671588423e+01,1.275801683e+01,8.288418884e+01,2.198163102e+01,2.200949082e+01,8.194978064e+01,8.633018995e+01,7.783756391e+01,3.091238229e+01,8.039131928e+01,4.402364288e+00,4.259733597e+01,8.908006266e+01,8.856632784e+01
5.299773047e+00,4.458805182e+00,5.023325983e+01,1.550948487e+01,1.870927336e+01,7.740604900e+01,4.036945812e+01,5.645310229e+01,4.362550401e+01,5.233342936e+01,2.730392371e+01,7.638317078e+01,6.893900915e+01,2.943900955e+01,5.033584678e+01,7.867085558e+01,8.097258208e+01,5.714421620e+01,9.175965572e+01,5.744995960e+01,2.188449475e+01,4.671216513e+01,3.601096311e+01,5.900750581e+01,7.388012815e+01,7.699372019e+01,2.246453855e+01
3.323894232e+01,6.870729531e+01,5.797015745e+00,2.652297590e+01,8.731405818e+01,3.739682883e+01,4.937352360e+01,7.873295874e+01,4.432532300e+01,7.050847702e+01,6.887935526e+01,2.577828668e+01,7.779550821e+01,3.618934927e+01,8.643522464e+01,9.610024494e+01,4.230211923e+01,8.853857038e+01,7.147388593e+01,8.534499791e+01,6.088487928e+01,6.303158932e+01,2.864287235e+01,2.715179160e+01,9.924554022e+01,5.648280169e+01,8.867531178e+01
8.711553483e+01,4.419023750e+01,7.447861338e+01,3.811430107e+01,7.220960323e+01,6.234262889e+01,8.467678471e+01,9.821717169e+01,5.442104945e+01,9.650374338e+01,8.426437527e+01,9.227620423e+01,6.149292989e+01,6.657380888e+01,1.912889373e+01,7.954735981e+01,2.681984173e+01,6.607473301e+01,3.211050732e+01,3.334253133e+01,2.744327959e+01,7.414558516e+01,7.342189963e+01,7.579298329e+01,2.187271779e+01,6.621742075e+01,1.608992342e+01
7.192100942e+01,1.066435580e+01,9.200228917e+01,2.223695601e+01,7.976282460e+01,8.671406457e+01,9.727320900e+01,4.158430895e+01,3.966933780e+01,1.174968500e+01,9.040554496e+01,9.840282644e+01,1.644555858e+01,2.151336759e+01,6.517264639e+01,2.249831931e+01,7.463297341e+01,3.773400315e+01,6.767557054e+01,6.412879423e+01,7.474609066e+01,8.092983230e+01,7.066780792e+01,4.285136241e+01,7.529253468e+00,7.374290796e+01,5.831421459e+01
1.357211621e+01,2.300130428e+01,7.051446285e+00,4.329658123e+01,5.394810302e+01,6.858783451e+01,2.774030055e+01,8.836105464e+01,8.703807900e+01,8.786956356e+00,7.192400401e+01,5.760136173e+01,8.565240008e+01,6.022824537e+01,6.940695929e+01,6.852564769e+00,7.922045253e+00,4.046482244e+01,3.464106173e+01,5.971758902e+01,7.269148219e+01,6.971464669e+01,3.713438441e+01,8.132882772e+01,4.225741449e+01,8.624067794e+01,5.143622954e+01
4.386759955e+01,1.127835242e+01,5.184566583e+01,7.593417615e+01,5.590735426e+01,5.751605434e+01,7.952322895e+00,3.738338393e+01,1.825615574e+01,8.508939839e+01,8.873349262e+01,3.673212156e+01,3.709230713e+01,6.735199307e+01,5.671882972e+01,4.118948268e+01,8.863453246e+01,4.106247932e+01,6.491737916e+01,9.499456299e+01,4.184668840e+01,7.643578169e+01,6.001480897e+01,5.808786087e+01,7.815165319e+01,1.860362108e+01,1.647011033e+00
3.679226235e+00,8.428848168e+01,1.557891088e+01,7.613688419e+01,2.890736938e+01,1.569369637e+01,5.149019044e+00,7.043317940e+01,7.785358161e+01,1.265648889e+01,6.163403928e+01,1.980133600e+01,5.831153674e+01,9.282688017e+01,2.759389799e+01,3.181115444e+01,5.232667592e+01,6.678300990e+01,2.738069518e+01,7.646780736e+01,4.328695889e+01,1.760266311e+01,1.723110106e+01,8.025415765e+01,6.425344814e+01,4.748791971e+01,9.490148439e+01
4.487637307e+01,6.063874577e+01,2.049830207e+01,9.548144732e+01,7.571253580e+01,7.290712669e+00,6.242573482e+01,5.264482502e+01,6.130802632e+01,7.277534165e+01,7.460495660e+01,1.754201703e+01,3.115396102e+01,6.163412713e+01,8.817583490e+01,1.324621893e+01,9.213436135e+00,3.979341841e+01,8.256428716e+01,2.291524449e+01,5.163253888e+01,2.190093574e+01,4.367726665e+01,3.924822216e+01,7.691550862e+01,3.641506331e+01,1.148276083e+01
7.548485225e+01,4.896498752e+01,6.667112286e-01,4.335521717e+00,2.189950293e+01,5.357514018e+01,6.715813928e+01,1.670533735e+01,5.955893479e+01,6.054127011e+01,4.621156285e+01,2.159903603e+00,5.235459584e+01,9.767928854e+00,1.991561585e+01,9.989426565e+01,2.050932755e+01,4.637100241e+01,6.937406714e+01,5.355841313e+01,3.619473612e+01,1.617800502e+01,3.310321352e+01,3.693099186e+01,8.500208084e+01,8.495461519e+01,6.340014009e+01
6.897769220e+01,9.450049661e+01,9.172752255e+01,7.340675836e+01,2.493954115e+01,9.491458414e+01,7.467028354e+01,6.085376167e+01,2.558574584e+01,8.640938852e+01,3.760659551e+01,7.411293826e+00,2.911837285e+01,8.752731588e+01,7.641579148e+00,7.589463046e+01,8.983390593e+01,3.350370146e+01,2.687287659e+01,9.187003492e+01,7.207349064e+00,4.062063889e+01,9.125133227e-02,8.809111756e+01,4.510731345e+01,7.905312317e+01,8.407095155e+01
5.823144304e+00,3.128495673e+01,2.762143371e+01,4.205664681e+01,2.772426824e+00,1.142389620e+01,8.540792822e+01,4.461033588e+01,4.724639922e+01,8.631372146e+01,5.724839796e+01,3.009511412e+01,1.822841652e+01,7.214527809e+01,2.236028857e+01,2.478679844e+01,7.435332865e+01,4.300772249e+01,8.096768547e+01,9.524423201e+01,6.490799889e+01,9.540225276e+01,7.322359054e+01,1.689248708e+01,3.578734006e+01,1.565916321e+01,9.618174184e+01
4.005351269e+01,9.501332975e+01,7.656127382e+01,8.956464199e+01,1.106470635e+01,5.662005905e+01,4.147860657e+01,9.007878727e+01,3.295569949e+01,7.039588189e+01,1.433353201e+01,8.500870347e+01,7.389328483e+01,1.922459433e+01,7.315952356e+01,1.594046612e+01,9.016388715e+01,4.137375146e+01,2.291423185e+01,9.363974386e+01,1.318896926e+01,2.113484644e+01,5.011184407e+01,9.759196245e+01,1.846559453e+01,2.416157492e+01,3.862080595e+01
2.914279017e+01,5.156130078e+01,8.461135082e+01,3.273557864e+01,6.331167032e+01,2.932031959e+01,3.514493871e+01,1.172830797e+01,4.846999450e+01,4.537975997e+01,7.032563759e+01,7.855983056e+01,6.833430335e+01,4.737521331e+01,1.538895660e+01,4.237041018e+01,5.286212577e+01,8.641272199e+01,1.200255294e+01,3.869828010e+01,9.529022881e+01,5.829609252e+01,4.982818839e+01,8.334148417e+01,9.616114981e+01,5.901550558e+01,4.371547874e+01
6.203529290e+01,7.641594658e+01,3.175161326e+01,1.612990801e+01,8.557952289e+01,2.767826922e+00,8.095984616e+01,8.520477285e+01,7.460093230e+01,8.760466467e+01,4.687965423e+01,3.326191904e+01,2.786716811e+01,3.346157394e+00,9.563651694e+01,4.959506237e+00,4.876541715e+01,9.613572439e+01,5.569412701e+01,3.711854205e+01,5.790315109e+01,2.309999881e+01,1.969064493e+01,3.448790705e+01,2.520660883e+01,8.713468904e+01,2.021668223e+01
8.026012524e-01,9.193784576e+01,5.342548791e+01,8.948385885e+01,4.846935061e+00,4.963302774e+01,8.970597065e+01,7.301565267e+01,4.141547495e+01,6.810991442e+00,4.662369737e+01,4.635485230e+01,5.992486855e+01,3.678487103e+01,4.516638454e+01,2.526568367e+01,4.441561279e+01,5.652505635e+01,2.310568092e+01,5.023596501e+01,9.387941801e+01,9.343209767e+01,1.660488406e+00,3.205561953e+01,8.991780323e+01,2.220792066e+01,1.246662096e+01
5.797917687e+00,6.040495900e+01,2.744549192e+01,4.620750476e+01,8.016240848e+01,7.722907073e+01,1.487465052e+01,1.629637688e+01,4.905652702e+01,7.487594318e+00,6.537183714e+01,6.067206656e+01,8.651272059e+01,9.866891299e+01,8.551069938e+01,5.843689500e+01,5.001468651e+01,4.207752132e+00,2.558648694e+01,3.465430802e+01,1.705727755e+01,2.952613573e+01,2.227609449e+01,8.943575290e+01,4.283433831e+01,9.858045302e+01,4.546438379e+01
3.412851501e+01,1.352695438e+01,9.194219602e+01,5.313635268e+00,1.157204665e+01,7.548107174e+01,9.831480959e+01,6.682770004e+00,2.124209328e+01,4.401325324e+01,4.293367803e+01,4.660119783e+01,6.037724050e+01,2.095445122e+01,4.874383599e+01,3.750511898e+01,6.031834391e+01,6.890309120e+01,7.548979399e+01,2.495629008e+01,8.893126785e+01,9.793484583e+01,3.902201481e+01,3.651751653e+01,5.915276027e+01,4.029097869e+01,6.726506926e+00
3.556297228e+01,3.422275646e+00,4.058347530e+01,7.097562476e+01,9.327566260e+01,9.752665466e+01,1.260174018e+01,3.446345897e+01,1.577023644e+00,3.752287936e+01,5.829299654e+01,4.096644866e+00,6.328868095e+01,7.568900331e+01,6.344174484e+01,5.028669134e+01,6.914194974e+01,5.746324794e+01,5.395394643e+01,1.924318668e+01,7.797342659e+01,2.205559542e+01,9.826251095e+01,4.771942892e+01,2.784688886e+01,9.677197234e+01,1.080370952e+01
