v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60
1.000425859e+01,8.446911238e+01,9.002749654e+01,5.911736486e+01,1.160344339e+00,9.141706084e+01,6.365986896e+01,5.247399565e+01,2.418286752e+01,2.450202089e+01,2.604371373e+01,4.760338272e+01,3.877210131e+01,9.356299393e+01,1.479034921e+01,7.986390591e+01,2.383643345e+01,9.929823730e+01,4.481030341e+01,8.035617486e+01,9.354359106e+01,2.729660169e+01,7.976932252e+01,8.353969271e+01,7.946428877e+01,5.318008141e+01,6.275971119e+01,9.571623879e+01,9.720532085e+01,9.200774497e+01,4.540379377e+01,7.966851672e+01,9.921640845e+01,2.693385569e+01,2.290927590e+01,8.940428630e+01,9.331051500e+01,2.383042956e+01,8.610579586e+01,4.740880521e+01,1.072887767e+01,4.718987869e+01,5.332871445e+01,1.933743677e+01,8.510877141e+01,3.915182311e+01,4.856504721e+01,8.695353386e+01,1.411913432e+01,8.069668742e+01,9.284720317e+01,6.754963888e+01,5.715279058e+01,6.611009317e+01,7.359993429e+01,8.826558627e+01,8.972062694e+01,5.998830645e+01,9.087178289e+01,1.442326905e+01
5.427242460e+01,9.630693898e+01,5.683213396e+01,3.194452725e+01,3.881995184e+01,8.985018582e+01,6.243950800e+01,5.723726315e+01,5.326139131e+01,8.556132186e+01,6.845567041e+01,5.911519919e+01,2.193685792e+00,9.886427753e+01,9.837004913e+01,8.199563786e+01,8.535851490e+01,5.420244986e+01,7.140744088e+01,7.199751844e+01,7.004429095e+01,5.825912060e+01,4.545185059e+01,4.206662040e+01,9.217399886e+01,9.017808270e+01,4.185064168e+01,6.999945439e+01,6.205652039e+01,7.847117305e+01,5.062193602e+01,7.909563929e+01,2.279750369e+01,6.811321486e+01,1.919233467e+01,1.753501194e+01,1.173059936e+01,6.084050178e+01,9.759233115e+01,9.001123942e+01,8.148499723e+01,3.602792941e+01,1.447780152e+01,2.763524430e+01,1.172284676e+00,6.327765105e+01,5.509081406e+01,6.147882195e+01,7.015891090e+01,2.784012636e+01,5.744448795e+01,4.767057176e+01,1.155219470e+01,6.718483600e+01,6.386449321e+01,1.469020372e+01,9.696696383e+01,4.950317053e+01,3.336296754e-01,1.684052428e+01
9.496924719e+01,3.552487545e+01,8.243768702e+00,3.874793628e+01,7.056765352e+01,8.534710440e+01,8.936738490e+01,2.898693596e+01,6.275278597e+01,3.417941425e+01,3.729991003e+01,2.552502634e+01,1.106826072e+01,8.047927523e+01,6.576800551e+01,1.141623895e+01,3.227858044e+01,8.831060940e+01,9.070877773e+01,3.320163069e+01,3.010801630e+01,1.499550964e+01,1.392798432e+01,3.074672793e+01,2.044755219e+01,3.438561942e+01,3.086386691e+01,4.098563392e+01,4.770202938e+01,8.724785267e+00,5.819989415e+01,8.401877382e+01,8.393635814e+01,9.264429548e+01,1.763506784e+01,4.737976791e+01,1.473610871e+01,3.379370193e+01,6.025997270e+00,8.267695217e+01,8.037974668e+01,1.773089852e+01,3.140538890e+01,6.959184699e+00,3.218955124e+01,3.504657451e+01,6.103566872e+00,9.563509269e+01,8.419735659e+01,8.413072996e+01,1.430991913e+01,1.067078963e+01,9.361427954e+01,3.572160085e-01,6.102561490e+01,1.777806495e+01,5.556768527e+00,1.801854694e+01,8.001924813e+01,1.197937887e+01
1.614546657e+01,5.354076266e+01,9.266250587e+01,1.278876993e+01,9.623260807e+01,9.910634642e+01,3.517936164e+01,2.541961719e+01,4.992176104e+01,5.090354738e+00,2.641201948e+01,9.326831747e+01,5.837923747e+01,1.374637064e+00,3.934653999e+01,2.001406130e+01,8.009517521e+01,2.917277574e+01,7.821314909e+01,6.205522028e+01,7.936308348e+01,2.777870076e+01,3.913102254e+01,5.075176948e+01,6.321121685e+01,9.059680416e+01,1.791796465e+01,6.126389339e+01,7.095178472e+01,4.593106401e+00,6.068895462e+01,3.130760044e+01,3.983660316e+01,3.404937248e+01,5.730484156e+01,6.435845463e+01,9.438285650e+01,1.173816154e+01,8.230289363e+01,3.819807669e+01,5.105106714e+01,1.526006870e+01,8.902837560e+01,1.774084533e+01,5.757273571e+00,6.041935714e+01,6.361728056e-01,8.944197913e+01,7.097886625e+01,8.369081262e+01,9.709601508e+01,1.963523795e+01,2.902404561e+01,4.591785941e+01,2.150415923e+01,7.150300362e+01,1.103746645e+01,1.341148819e+01,5.442947253e+01,7.702877510e+01
3.494235691e+01,2.756558454e+01,7.435838421e+01,7.207758685e+01,1.332996740e+01,5.368828433e+01,6.690411655e+01,6.485973585e+01,9.872282737e+01,4.914228167e+01,8.737588449e+01,9.743922712e+01,3.822593873e+01,8.834920050e+01,1.956955974e+01,3.735388871e+01,6.283117450e+01,3.198957446e+01,1.126241601e+01,5.918072589e+01,2.817717716e+01,7.746069664e+01,1.225457667e+01,4.301336929e+01,2.261174136e+01,2.022921448e+01,9.544637552e+01,3.124632387e+01,9.244990423e+01,2.725921942e+01,1.060182643e+01,4.517455562e+01,3.005421711e+01,5.479239347e+01,5.958120115e+01,2.335716904e+01,5.186271795e+01,5.781011199e+01,1.820381485e+01,5.368455353e+01,2.898112711e+01,4.579829990e+00,1.303330335e+00,8.104728192e+00,6.271052438e+01,2.033343132e+01,4.278047425e+01,3.650643213e+01,3.873968599e+01,4.397315419e+01,8.055083081e+01,6.687906842e+01,4.509896137e+01,9.767622416e+01,9.639990152e+01,9.248454128e+01,5.087567288e+01,3.166480089e+01,5.858345624e+01,1.602218348e+00
1.519945018e+01,1.960508935e+01,5.937289015e+01,3.690977435e+01,1.366964085e+01,7.874601630e+01,7.276315122e+01,7.489821398e+01,8.232075934e+01,7.954975401e+01,4.481326222e+01,8.698892091e+01,1.182375854e+01,9.397791589e+01,4.036643637e+01,1.750768268e+01,9.772734312e+01,2.795019413e+01,4.961131344e+01,4.259741735e+01,2.861138873e+00,9.995963306e+00,5.247255727e+01,7.958778350e+01,8.656569012e+01,9.611696542e+01,3.374546325e+01,5.581349727e+01,4.091249933e+01,5.179126803e+00,2.113571667e+01,3.474211799e+01,3.663132634e+01,2.561513336e+01,6.783270041e+01,7.627214441e+01,9.543591083e+01,1.888525421e+01,9.223049292e+01,1.136721992e+01,6.327387334e+01,2.160741288e+01,4.437150583e+01,9.842931141e+00,7.524570243e+01,3.006529174e+01,6.483127376e+01,1.106462804e+01,8.039686182e+01,3.943068053e+01,5.387886608e+01,7.231085963e+01,8.154319122e+01,3.249859039e+01,7.467602205e+01,8.405535227e+01,1.844025733e+01,7.870729700e+01,1.782824992e+01,8.613192314e+01
5.606376059e+01,1.468421678e+01,2.549975526e+01,5.702437228e+01,5.022447053e+01,5.645782839e+01,1.503819531e+01,9.447844612e+01,4.093531870e+01,8.472897213e+01,5.556539764e+01,8.181577540e+01,7.860224724e+01,3.701131308e+01,5.316230918e+01,3.417847312e+01,8.197808814e+01,7.653269442e+01,2.567517292e+01,7.362651673e+01,4.935509763e-01,8.389569677e+01,3.847939341e+01,1.990224264e+01,8.008967698e+00,5.292544330e+01,7.189032922e+01,7.445588419e+01,4.587389707e+01,2.947593166e+01,3.619206784e+01,4.926381888e+01,4.709902645e+01,1.075501121e+01,9.489660738e+01,4.517472373e+00,7.484332701e+01,3.740153677e+01,6.509363668e+01,6.393843134e+01,4.066041228e+01,3.595208197e+00,2.719121595e+01,1.175805232e+01,2.232670484e+01,9.986377688e+01,9.019133755e+01,4.707986156e+01,6.087490039e+01,6.903729639e+01,3.897605188e+01,3.841639713e+01,1.075184423e+01,5.156157292e+01,9.143222662e+01,6.865527619e+01,5.407056918e+01,2.700609921e+01,6.941383352e+00,5.571118067e+01
8.727865757e+01,2.483927650e+01,9.625459318e+01,7.759517500e+01,6.121970588e+00,8.879076015e+01,1.263593617e+01,8.754846574e-01,7.259031779e-01,2.820529204e+01,3.264730953e+01,3.367417261e+01,4.179379966e+01,8.308759708e+01,1.398813759e+01,4.704042764e+01,6.932867554e+01,7.083680279e+01,5.909426404e+01,4.538536155e+01,4.049297762e+00,3.520503107e+01,5.631967989e+01,2.106234746e+01,1.627122946e+01,2.198133450e+01,8.495767563e+01,3.785134288e+01,9.777726780e+01,3.799647891e+01,5.378500880e+01,2.279211719e+01,9.028923796e+01,5.522599650e+00,6.126019833e+01,4.784707578e+01,3.087800807e+01,1.097430238e+01,3.902387842e+00,9.248439112e+01,4.056877535e+00,6.707303189e+01,5.254571769e+01,6.876111616e+01,8.324000050e+01,9.897481258e+01,9.627094523e+01,2.716740326e-01,7.494302379e+01,6.345088303e+01,9.313761146e+01,4.941543515e+01,6.381758337e+01,4.394249302e+01,4.303821786e+00,1.129914884e+01,1.702922166e+01,2.141529244e+01,7.686683995e+01,6.976007491e+01
2.957192792e+01,6.677463372e+01,4.833304392e+01,4.390403835e+01,6.178458083e+01,2.039631988e+01,6.389584326e+01,4.407026798e+01,2.528174747e+01,1.047983432e+01,6.201656416e+01,1.409224935e+01,2.269287675e+01,5.290058063e+01,7.690852755e+01,1.869749215e+01,4.374697987e+01,9.547163082e+01,8.593167466e+01,2.325758422e+01,2.398210020e+01,1.789987715e+01,2.958470697e+00,8.497886451e+01,7.790226730e+01,5.982388739e+01,5.787189878e+01,3.792238669e+01,6.317198866e+01,2.025146090e+01,4.396477562e+01,2.939187522e+01,8.723860242e+01,3.586340157e+01,3.832486820e+01,8.431779001e+01,8.896862694e+01,7.427034976e+01,4.459692255e+01,3.420726630e+01,4.058809029e+01,1.091942190e+01,6.348320180e+01,6.647561863e+01,4.952697823e+01,5.700955350e+01,4.769679528e+01,1.727367364e+01,5.931866645e+01,1.852852333e+01,7.108284020e+01,1.174751132e+01,7.787848718e+00,5.876310284e+01,7.147454045e+01,3.030994090e+01,7.542793456e+01,8.289860796e+01,5.462087455e+01,1.080762575e+01
9.436107916e+01,4.663728987e+01,5.047935146e+00,9.290834406e+01,6.665524377e+01,1.418257971e+01,8.926158774e+01,2.334054893e+00,1.962976081e+01,3.501055186e+01,7.578110997e+00,1.416971868e+01,1.385846667e+01,5.554730961e+01,1.187367769e+00,6.920386567e+01,7.870707762e+01,7.002131063e+01,9.193664452e+01,7.886871802e+01,6.396298968e+01,6.365541729e+01,6.778158517e+00,1.199626087e+00,3.022005641e+01,7.521904360e+01,3.232872179e+01,3.890664278e+01,3.208703030e+00,5.209462204e+01,3.263995547e+01,3.812969476e+01,2.897898372e+01,3.441705527e+00,8.477762183e+01,6.620691961e+01,4.252127663e+01,2.179238231e+01,7.251009355e+01,4.950213460e+01,3.775295276e+01,6.120310308e+01,3.250171565e+01,9.771469880e+01,2.321856200e+01,7.422572366e+01,5.576758209e+01,6.646732464e+01,3.301561834e+01,2.811385544e+01,8.641954789e+01,5.601174619e+01,5.488863181e+01,8.892680003e+01,5.983742638e+01,5.801356036e+01,7.537482961e+01,4.063255052e+01,4.525974741e+01,8.747218747e+01
1.226714505e+01,9.169530454e+01,1.073151778e+01,2.953464063e+01,5.425579600e+01,8.946829895e+01,4.027194835e+01,5.809243242e+01,8.186002282e+01,2.291854278e+01,2.523024287e+01,2.153955105e+01,4.651169794e+01,1.850390337e+01,2.050171291e-01,5.213474515e+01,8.930670541e+01,1.072886693e+01,5.168869563e+01,2.307297257e+01,6.594015544e+01,2.788620450e+01,4.629848794e+01,3.345248575e+01,4.258508382e+01,9.895525320e+01,5.816443135e+01,6.441731781e+01,5.125260329e+01,6.816422610e+01,7.341546512e+00,2.978837381e+00,9.886095866e+01,3.113320425e+00,5.847093855e+00,4.822463461e+01,2.353451623e+01,4.699487719e+01,1.225810168e+01,1.941571714e+01,7.475393563e+01,4.498571738e+01,2.078575641e+01,1.947004963e+01,4.283737416e+01,8.749191237e+01,8.152589776e+01,6.456024342e+01,3.630616014e+01,2.649849347e+00,6.533335614e+01,8.496484036e+01,6.702210969e+01,2.638221790e+01,6.770782982e+01,5.654956420e+01,5.911607164e+01,3.726265995e+01,4.713567575e+01,8.757638085e+01
8.364486037e+01,9.877167976e+01,3.268027463e-01,6.096936824e+01,6.736036100e+01,2.365425559e+01,9.466252164e+01,6.294790781e+01,3.944692473e+01,5.597265393e+01,7.330955864e+01,9.822352003e+01,7.954851744e+01,8.476817220e+01,6.294861878e+01,4.655862508e+01,9.911939434e+01,2.648615354e+01,7.810905073e+00,4.175267796e+01,2.170495914e+00,7.680500928e+01,9.693900517e+01,1.776873421e+01,1.031203798e+01,1.761819498e+01,7.608847027e+01,9.218494059e+01,7.677527252e+01,4.667333020e+01,3.636107227e+01,9.444295150e+01,6.411440753e+01,4.253213331e+01,8.349006420e+01,9.034336516e+01,8.510040092e+01,3.289480903e+01,5.682238934e+01,3.440336956e+01,7.760214657e+01,4.188929623e+01,7.794185117e+01,8.955523775e+01,3.820505950e+01,4.202985465e+01,8.974124730e+01,1.046271905e+01,3.370527412e+01,8.921640982e+01,7.280669697e+01,5.329630595e+01,4.173465493e+01,8.060324438e+01,6.991409832e+01,2.542085520e+01,1.489929566e+01,4.320087911e+01,2.971437871e+01,8.843206365e+01
2.371312334e+01,2.401165776e+01,9.829963961e+00,5.691055995e+01,9.829525832e+01,3.094341743e+00,1.189722296e+01,1.474231842e+01,8.845506525e+01,4.477444685e+01,3.132922560e+01,3.413828578e+01,8.285721041e-01,9.597844211e+01,8.968803153e+01,3.767563411e+01,7.525798817e+01,6.643637484e+01,7.532183440e+01,4.089029548e+01,7.631560382e+01,6.762806794e+01,1.178562884e+01,9.310433760e+01,8.805246866e+01,6.956934522e+01,3.941368935e+01,2.265209600e+01,9.672212175e+01,2.455424140e+01,8.350551103e+01,7.133298950e+01,7.743778798e+01,1.726679188e+00,6.195357981e+01,3.246105010e+01,7.999585398e+01,6.480356725e+01,4.156702555e+01,4.238246497e+01,7.787515285e+01,9.521692063e+01,1.573283442e+01,9.161619439e+01,6.438958057e+01,7.662453056e+01,1.462299079e+01,5.924196722e+01,5.860028768e+01,2.938882895e+01,7.774860556e+01,6.391279671e+01,7.633048230e-01,5.663024514e+01,1.099228681e+01,2.914530510e+01,4.967594049e+01,4.847221003e+01,5.817817481e+01,9.491477303e+01
7.486898696e+01,2.785844463e+01,6.067109011e+01,7.865955673e+01,7.444963534e+01,5.128918619e+01,2.007385714e+01,6.949203906e+01,2.138548338e+01,6.222761354e+01,5.377481887e+01,5.343771614e+01,3.099127735e+01,5.399190217e+01,7.989136005e+01,9.917342854e+00,8.466443941e+01,8.074299737e+01,1.107098396e+01,3.424153776e+00,6.843725336e+01,6.598421344e+01,9.098284344e+01,7.047743689e+01,9.841744412e+01,4.524931896e+01,8.752318742e+01,3.310804603e+01,6.765020581e+01,4.675489049e+01,6.217281218e+01,5.275581527e+01,4.010289919e+01,7.121251741e+01,5.939674200e+01,1.918677045e+01,7.344859541e+01,6.568371733e+01,4.572677615e+01,5.086955260e+01,9.696740665e+01,4.307498624e+01,6.487300390e+01,1.513263202e+01,3.967347530e+01,2.627167950e+01,2.841068908e+01,3.861487862e+01,4.006507627e+01,2.355856066e+01,8.616548642e+00,2.254145616e+01,3.882899320e+01,1.759140372e+01,8.795967933e+01,8.772033419e+01,6.680078716e+01,3.428144020e+01,3.110795880e+01,5.348883342e+01
3.835844317e+01,6.644036402e+01,2.217110307e+01,4.437907160e+01,3.602703141e+01,3.788940408e+01,3.140864164e+01,1.998529799e+01,9.575072151e+00,6.016821284e+01,6.379083194e+01,6.455975324e+00,2.427573220e+01,5.093180676e+01,8.933313823e+01,2.017567849e+01,8.440505406e+01,8.179913056e+01,3.181991820e+01,9.670316016e+01,2.206506830e+01,2.040224296e+01,5.851484114e+01,2.764251541e+01,2.219092653e+01,7.183707112e+01,1.506720628e+01,6.525400950e+01,5.377072263e+01,8.196537234e+01,2.979782572e+01,1.290695553e+00,1.959115495e+01,5.409876347e+01,1.200487258e+00,4.047344271e+01,1.542276306e+01,6.887932897e+01,8.730403803e+01,3.696051075e+01,5.932539870e+01,4.397591190e+01,9.700052565e+01,4.233148951e+01,8.439482128e+01,5.409689071e+01,8.338007485e+01,4.851895900e+01,2.593875800e+01,9.859001911e+00,3.758643792e+01,7.893403703e+01,9.521874593e+01,3.173869284e+01,7.341581439e+01,5.292168112e+01,2.984562817e+00,2.735165209e+01,6.886346213e+01,9.134222352e+01
