v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23
9.341383820e+00,2.182035588e+01,3.600825403e+01,7.344619034e+01,9.744626097e+01,4.352505297e+01,9.861302705e+01,3.945766375e+01,4.596396230e+01,5.872208341e+01,2.292045068e+01,7.908577114e+00,2.764165096e+00,5.906917912e+01,3.105348200e+01,8.404803485e+01,4.608066911e+01,1.533318530e+01,3.540841268e+01,6.886247327e+01,8.553448190e+01,8.889605624e+01,2.187738868e+01
6.138945262e+01,4.803517883e+01,7.415140187e+01,2.662444141e+01,2.370422240e+00,8.635450556e+01,3.578542965e+01,8.612237342e+01,3.263526473e+01,2.383479362e+01,1.479855191e+01,6.888248687e+01,2.983636879e+01,4.945554333e+01,8.734950163e+01,1.728187700e+01,4.419141581e+00,5.532730979e+01,8.047758437e+00,6.476401243e+01,4.854753620e+01,7.000956619e+00,2.691947826e+01
5.365118166e+01,5.430469975e+01,4.916550169e+01,3.229750285e+01,2.355861540e+01,6.804376160e+01,9.805268353e+01,6.675547304e+01,6.835084837e-02,1.138895155e+01,9.247722535e+01,3.980468764e+01,2.430129539e+01,2.757310396e+01,3.770764515e+01,4.513306462e+01,1.612306630e+01,3.129314080e+01,3.535736558e+01,2.363734590e+01,8.011447953e+01,1.489034447e+01,4.527306245e+01
2.334967817e+01,2.081651601e+01,5.086532620e+01,6.465402989e+01,3.949886735e+01,8.443005244e+01,6.328672293e+01,2.455441751e+01,6.860900701e+01,4.101744449e+01,4.751927338e+01,4.400108635e+01,9.774150494e+01,1.896865790e+01,3.422721701e+01,7.733891584e+01,3.835303801e+01,9.411384444e+01,2.526414012e+00,2.654781651e+01,7.763355931e+01,4.295778101e+01,3.173062688e+01
9.098344902e+01,4.099293831e+01,8.865040971e+01,2.802887024e+01,8.212339700e+01,7.815137095e+01,2.701390564e+01,5.503423032e+01,3.865379558e+01,7.049387407e+01,7.278140203e+01,5.449858760e+01,9.227098125e+01,7.126655257e+01,1.411663471e+01,1.772237042e+01,3.955034011e+01,4.423855398e+01,5.159161586e+01,6.422404786e+01,7.326887297e+01,7.732296124e+01,4.339944595e+01
1.185903910e+01,5.426640358e+01,9.256173940e+01,1.416147972e+01,9.916246984e+01,2.173376334e+01,8.590160272e+01,8.295096524e+01,9.808042661e+01,8.892565682e+01,6.382228699e+01,6.236085685e+01,9.390927912e+01,6.887450964e+01,8.104452930e+01,6.514104542e+01,6.412961112e+00,8.007675071e+01,4.114583441e+01,3.508352155e+01,7.821967198e+01,2.480807629e+01,9.954200653e+01
7.912579280e+01,8.979476835e+01,8.436766935e+01,8.166873698e+01,8.555971560e+01,3.883473315e+01,3.185861186e+01,7.755528546e+01,7.034189265e+01,6.651871197e+01,6.317853251e+01,5.171449518e+01,1.545753993e+01,2.528555238e-01,2.287519189e+01,1.587939745e+01,2.449042669e+01,9.881121600e-01,3.295394244e+01,3.173284828e+01,1.628875056e+01,6.928123844e+01,4.409252649e+01
9.679650825e+00,3.220093881e+01,5.827834975e+01,4.013467717e+01,3.267377764e-01,4.834684123e+01,8.308588624e+01,9.634785756e+01,7.002194895e+01,8.100129832e+01,5.533390704e+01,8.688345064e+01,6.929234404e+01,7.438358369e+01,2.760046411e+01,5.867134976e+01,8.123481856e+01,6.799015545e+01,2.505275597e+01,9.348961616e+01,5.292986966e+01,9.057144036e+01,2.393371712e+01
8.513244652e+01,5.211039582e+01,4.844760472e+01,1.979956781e+01,7.065476917e+01,5.099255255e+01,3.548017172e+01,1.622756003e+00,1.314815763e+00,1.209240649e+01,4.516633495e+01,5.562836331e+01,1.536951382e+00,9.226700093e+01,2.382293419e+01,5.006011123e+01,8.021261102e+01,8.099347082e+01,2.554590204e+01,4.714016767e+01,3.711517548e+01,3.188833637e+01,5.198632088e+01
6.544400992e+01,2.573202509e+01,7.313950395e+01,8.421643779e+01,1.352398478e+01,8.074966808e+01,4.229027801e+00,6.579652466e+01,6.990767029e+01,6.410438358e+01,2.049573075e+01,3.639712968e+01,8.390710392e+01,2.933236278e+00,1.464086796e+01,2.666171342e+01,9.466259295e+01,9.873866425e+01,2.210169200e+01,1.803751713e+01,4.711083956e+01,7.542068428e+01,7.944189279e+01
4.844296900e+01,1.119874553e+01,2.475332140e+00,2.771611710e+01,7.023531033e+01,8.869188373e+01,3.335898484e+01,3.364334302e+01,3.369036281e+01,3.196867222e+00,7.845441852e+01,4.940839393e+01,3.518516491e+01,9.461743171e+01,3.477518109e+01,5.736624798e+01,8.561317450e+01,7.332314297e+01,8.615941159e+01,2.154776154e+01,3.692718403e+01,9.932235995e+01,1.015546443e+01
4.437240070e+01,8.791994734e+01,7.130399901e+01,1.604990359e+01,1.887530202e+00,3.696389255e+01,7.494861299e+01,6.186360359e+01,6.198174853e+01,9.926487351e+01,5.511593385e+00,9.774927939e+01,5.498996599e+01,9.856734447e+01,9.141591780e+00,9.815528703e+01,9.607667874e+01,2.497958036e+00,1.200279233e+01,7.870579872e+01,2.385578460e+01,7.581506397e+01,3.563402327e+00
4.313573495e+01,1.485113393e+01,8.852273310e+01,9.609987338e+01,7.495542641e+00,4.141513608e+01,8.475320797e+01,1.584704803e+01,8.777795469e+01,4.082702422e+01,2.303095801e+01,4.265272568e+01,4.312139678e+01,9.715046258e+01,9.092059462e+01,6.069098570e+01,2.871855631e+01,3.182810202e+01,9.757129977e+01,9.409821048e+01,2.363852043e+00,8.293640361e+01,7.954508938e+01
5.382333169e+01,4.733968304e-01,7.666995113e+01,8.037915328e+01,5.886560781e+01,9.470431568e+01,7.045435197e+01,7.599417686e+01,7.769142354e+01,6.662119701e+01,8.365794602e+01,1.892843256e+01,2.048745890e+01,3.246736561e+01,2.813881088e+01,1.222540605e+01,8.503289781e+01,3.323894259e+01,7.683045383e+01,8.654324958e+01,9.428245463e+01,8.747208574e+00,3.116615251e+01
1.569458529e+01,6.398485716e+01,9.633688435e+01,8.859274151e+01,2.692403408e+01,8.009724244e+01,1.443502651e+01,8.466115979e+01,6.241157510e+01,7.470315627e+01,4.841209785e+01,9.870315321e+00,2.539844489e+00,8.527918300e+01,3.938312315e+01,6.000680617e+01,6.930793430e+01,1.236197223e+01,5.978158010e+01,8.005177182e+01,7.472560424e+01,8.445877065e+01,7.639359367e+01
4.120666415e+01,8.230872753e+01,5.495080934e+01,6.593462394e+01,8.205938409e+01,3.263750212e+01,8.929384633e+01,3.850213626e+00,7.466076595e+01,5.159130528e+01,2.954779484e+01,2.792102743e+01,1.381889464e+01,1.834251890e+01,4.102492131e+01,4.766997566e+00,2.695253710e+01,3.255176463e+01,7.913241628e+01,8.442163773e+01,1.003525990e+01,7.413387399e+01,8.389717057e+01
2.181795847e+01,2.138628970e+01,7.292587947e+01,4.930742105e+00,1.323660985e+01,1.142984099e+01,4.774451115e+01,2.511597794e+01,3.480395007e+00,5.453635880e+01,2.200407474e+01,1.870557226e+01,8.826001154e+00,9.077093363e+01,8.388394077e+01,3.524185419e+01,3.603099294e+01,3.428168092e+01,7.315844456e+01,1.303828737e+01,3.951003622e+01,1.228122758e+01,9.705495815e+01
7.807673182e+01,3.942244622e+01,6.410563290e+01,6.506830086e+01,7.402109134e+01,9.670345218e+01,3.979156694e+01,8.595648739e+01,8.969884595e+01,5.804012573e+01,3.897801060e+01,1.939761322e+01,8.516056339e+01,6.294353179e+01,4.801762760e+00,2.677550516e+01,3.907294680e+01,2.073539968e+01,7.236891072e+01,3.655591813e+01,7.221398603e+01,2.792470488e+01,8.240170107e+01
7.390844313e+01,7.047073270e+01,7.106615142e+01,1.188164943e+01,4.468254682e+00,5.454053945e+01,7.867426037e+01,9.691838338e+01,5.403300179e+01,4.716379312e+00,7.710852152e+01,5.754740089e+01,3.815376585e+01,5.693104364e+00,8.093754585e+01,9.867716588e+01,2.420170901e+01,5.342761742e+01,1.652993968e+01,9.820052840e+01,2.472245505e+01,6.190244568e+01,3.517178384e+01
6.293704522e+01,8.436144316e+01,7.507672739e+01,5.357372491e+01,6.902098429e+01,3.346490672e+01,6.081872178e+01,1.754919175e+01,5.608119157e+01,1.577280437e+01,3.955325478e+01,8.579489007e+01,5.509929056e+01,8.773446336e+01,7.159690377e+01,5.421617008e+01,2.858543709e+01,8.285822535e+01,2.615598807e+01,4.287105372e+01,7.714064351e+01,2.931806396e+01,3.302391847e+01
1.052446493e+01,6.228744422e+01,2.701374987e+01,6.307138423e+01,3.819263170e+01,7.475394485e+01,6.918167163e+01,3.470887509e+01,2.938893373e+01,3.114635627e+01,1.323977439e+01,6.398482096e+01,1.537990920e-01,6.716460192e+01,2.259449687e+01,3.432254065e+01,2.583610972e+01,9.509304794e+01,9.710643095e+01,7.529397634e+01,3.236473583e+01,7.235771429e+01,3.015744841e+01
7.419345637e+01,1.082092624e+00,5.772171224e+01,6.998968179e+01,6.479454337e+01,5.777200802e+01,6.186610107e+01,1.398923285e+01,2.902675468e+00,1.438144921e+01,7.028718816e+01,6.080279313e+01,1.160972830e+01,1.152328018e+01,9.587194707e+01,5.156143899e+01,1.028118686e+01,4.902167700e+01,8.210017905e+01,1.668759145e+01,8.506649197e+01,7.805882210e+01,5.985985203e+01
8.931804403e+00,3.131704336e+01,6.728429307e+01,3.714499590e+01,9.605051303e+01,6.352785463e+01,7.056676540e+01,5.967218364e+01,2.091507755e+01,9.080172405e+01,1.416648053e+01,5.011369174e+01,4.471907029e+01,1.745251400e+01,3.752510476e+01,8.146599886e+01,1.570268210e+01,5.765555404e+01,4.536644776e+01,8.913420847e+01,2.153547193e+01,8.828819484e+01,3.633484934e+01
8.831134477e+01,9.388695247e+01,2.571459137e+01,5.478253674e+00,5.643792105e+01,7.518524704e+01,4.093368876e+00,8.434550730e+01,7.589667879e+00,4.274157791e+01,8.510617010e+01,5.933842115e+01,8.038345873e+01,6.642134650e+01,8.749729300e+01,3.552434095e+01,3.587396944e+01,4.040055732e+01,7.544320874e+01,9.990990193e+01,2.413239772e+01,2.571358735e+01,6.846181216e+01
6.894846141e+01,8.722316713e+01,7.884437753e+01,2.816743844e+01,9.857793776e+01,7.149267747e+01,5.821175468e+01,5.284468227e+01,4.453944182e+01,5.634249569e+01,4.926670178e+01,2.085114745e+01,5.699719960e+01,6.480966750e+00,8.267725291e+01,5.935605459e+01,7.521672279e+01,3.234526321e+01,9.042108328e+01,4.065017662e+01,4.144875833e+01,3.159729182e+01,6.022829493e+01
5.859275169e+01,4.158929958e+01,3.765230721e+01,4.915539880e+01,8.009780084e+01,6.055608394e+01,1.039629266e+01,6.986853492e+01,4.589660655e+01,3.794145822e+00,3.720135066e+01,7.854711384e+01,1.480489136e+01,1.001698480e+01,8.356482518e+01,6.310340334e+01,2.235157633e+00,5.607933573e+01,6.290317707e+01,4.665733513e+00,1.644743268e+01,2.291840276e+01,5.706338053e+01
2.665854091e+01,6.448026739e+01,5.306750608e+01,9.963250188e+01,3.864495756e+01,4.508023038e+01,6.648543458e+01,2.835196247e+01,2.772787827e+01,9.837651181e+01,8.797447890e+01,9.537891908e+01,9.578522175e+01,1.347719936e+01,5.174506914e+01,4.386797283e+01,3.384459039e+00,4.977366973e+01,6.684158602e+01,9.591553159e+01,4.630196749e+01,2.497824180e+01,1.664157377e+01
8.425745366e+01,7.025428479e+01,5.368862323e+01,3.027002009e+01,7.916502955e+01,5.632861445e+01,7.140726086e+01,4.722714994e+01,2.148977063e+01,4.326353968e+01,9.934056421e+01,8.640086330e+01,5.823538253e+01,6.561129661e+01,1.356230150e+00,1.241327745e+01,1.739640052e+01,5.848377650e+01,9.654176099e+01,8.666278948e+01,1.371821515e+01,4.974971910e+01,7.316830929e+01
6.229829086e+00,9.708138864e+01,3.793527808e+01,7.678475829e+01,8.386526691e+01,5.701939756e+01,9.530946987e+01,3.557389319e+01,6.987236149e+01,4.540686316e+01,7.151590554e+01,8.249166989e+01,6.962957836e+00,8.079575224e+01,3.974632468e+01,1.200486480e+01,5.025370689e+01,8.156846901e+01,2.484698161e+01,3.095976585e+01,2.730291472e+01,2.366860135e+01,8.165613813e+01
3.918312553e+01,8.128332578e+01,1.147761368e+01,3.679164867e+01,2.985894635e+01,7.101706727e+01,7.112238392e+01,3.225958762e+01,3.086445228e+01,3.770249787e+01,6.226843935e+01,2.957153409e+01,4.730887716e+01,2.933050964e+01,3.454696776e+01,9.082123628e+01,7.745627942e+01,7.974376624e+01,6.477987091e+01,3.590323002e+01,4.261259869e+01,6.006184580e+01,3.965377533e+01
6.686975690e+01,8.050592021e+01,2.965322064e+01,2.202413938e+01,1.082253881e+01,1.912831297e+01,1.265786254e+00,1.931209533e+01,5.643653187e+01,5.419724290e+01,3.598854224e+01,1.278528379e+01,1.398056984e+01,1.424647981e+01,7.721619563e+01,4.588384937e+01,6.991678763e+01,7.070501204e+01,6.113156170e+01,6.442144114e+01,1.818472145e+01,6.343218825e+01,8.935940329e+00
8.369916522e+00,3.728530255e+01,6.396427173e+01,1.111420498e+01,9.691469266e+01,9.863615418e+01,6.151367445e+01,9.043382626e+01,4.440922853e+01,6.629593038e+01,3.019603641e+00,9.817714701e+01,6.702890220e+01,2.725747273e+01,7.207514819e+00,4.794549182e+01,7.245243194e+01,8.934232441e+00,9.351423957e+01,8.843883341e+01,1.755742201e+01,1.262663268e+01,5.560514257e+01
7.794656305e+01,6.665027980e+01,8.630646881e+01,1.555162259e+00,7.843896099e+01,8.244782071e+01,6.790410541e+01,1.554031252e+01,5.757982840e+01,9.040391045e+00,7.585418784e+01,2.193458172e+01,7.221020811e+01,5.784273459e+01,1.574556705e+01,9.174166559e+01,8.130454324e+01,1.576116778e+00,3.084481387e+01,1.848076151e+01,1.261277556e+01,3.986160126e+01,1.385689011e+01
4.580459190e+01,5.123436346e+00,1.673164508e+01,2.101556565e+01,9.197208290e+01,4.850709523e+01,3.805259145e+01,2.991878877e+01,4.197934391e+01,7.707475476e+01,2.039721391e+01,9.005024568e+00,1.674597900e+01,7.268113450e+01,7.848188484e+01,9.281302276e+01,7.480150483e+01,4.877349692e+01,1.484673855e+00,9.908597885e+00,6.695545161e+01,5.949122326e+01,9.111703644e+01
