v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63
5.145270405e+01,8.983558085e+01,7.839574485e+01,2.920634173e+01,6.497198373e+01,8.720371826e+01,7.856569527e+01,8.907552924e+01,9.322128234e+01,5.487111871e+01,1.599382252e+01,4.291674670e+01,6.724585592e+01,1.816465149e+01,7.718482083e+01,5.949544800e-01,9.171637943e+01,8.107902026e+01,4.442193366e+01,3.473852102e+01,8.563201272e+01,7.700819001e+01,9.796369059e+01,4.055214825e+01,2.841875080e-02,6.326316009e+01,8.750170064e+01,6.614272868e+01,3.583281040e+01,8.310250830e+00,8.289576726e+01,4.565705798e+01,2.422144032e+01,6.495045941e+01,7.849430223e+01,7.903587053e+01,4.310517615e+01,9.538100662e+01,1.971267362e+01,1.696640775e+01,1.740168116e+01,9.911615360e+01,2.126662037e+01,7.699374165e+01,6.232587075e+01,8.613164760e+01,2.793455600e+01,2.220955960e+01,7.622134463e+01,7.394839627e+01,9.658814209e+01,2.978645863e+01,8.987171610e+01,9.675850514e+01,1.147750651e+01,2.497686285e+01,6.055110386e+01,7.894162375e+01,8.547154660e+01,6.200619068e+01,5.312506969e+01,9.131715646e+01,3.485633730e+01
9.816694628e+01,2.005511473e+01,2.547306523e+01,7.800702011e+01,9.317140341e+01,5.403058039e+01,8.532731016e+01,7.503489169e+01,9.501483782e+01,4.974717605e+01,1.573526000e+01,2.336385035e+01,3.692030267e+01,5.259772099e+01,2.433073484e+01,8.821608407e+01,8.473531574e+01,2.352728704e+00,8.767839889e+01,1.689602096e+01,7.048790776e+00,6.945013763e+01,6.662589868e+01,2.753938128e+01,5.579527356e+01,1.475398703e+01,3.134129368e+00,2.739128046e+01,3.569300154e+01,1.844169818e+01,7.286054404e+00,7.872686885e+01,8.711114479e+01,7.014112999e+01,5.853240619e+01,1.712625117e+01,7.021824130e+00,2.588929463e+01,2.355815046e+01,2.039480414e+01,2.811754576e+01,3.392654125e+01,9.796987642e+01,2.688014010e+00,9.804398197e+01,6.094808880e+01,2.060776954e+01,3.338742009e+01,2.952553729e+01,2.405061867e+01,2.495025563e+01,8.081794701e+01,7.086906904e+01,2.545583885e+00,3.139068749e+01,7.975717198e+01,4.815258637e+01,4.901491463e+01,4.734143205e+00,6.444638326e+01,4.575359396e+01,1.040239701e+00,2.035862048e+01
9.590744737e+01,1.074703932e+00,9.229895039e+01,4.672618879e+01,3.676469200e+01,8.872025296e+01,8.259089090e+00,9.354014628e+01,3.440647484e+01,8.490734585e+00,4.333295794e+01,9.669429685e+01,9.244052188e+01,3.297666737e+01,6.180719047e+01,8.430262533e+01,9.977032886e+01,5.621097266e+01,4.793535562e+01,3.515505297e+00,9.198965644e+01,6.802064440e+01,9.960913450e+01,7.141524343e+00,8.067244737e+01,6.205358193e+00,3.437002682e+01,7.638187411e+01,5.042225570e+01,5.289468531e+01,3.216756499e+01,6.893170867e+01,6.988871515e+01,7.685093866e+01,2.513895117e+01,8.551595927e+01,6.846749667e+00,4.288032669e+01,3.842363052e+00,9.593595756e+01,9.899253051e+01,7.219521702e+01,7.389970617e+01,5.387315759e+00,9.381659359e+01,6.576970919e+01,1.055037143e+01,9.673007453e+01,5.739808640e+01,7.079196427e+01,4.745987617e+01,5.884185546e+01,7.167955164e+01,3.502062205e+01,8.295692993e+01,8.615162999e+01,3.911602625e+01,3.922925351e+01,7.434534053e+01,5.475358640e+01,2.614181862e+01,7.329484721e+01,8.348476323e+01
6.692316302e+01,5.327915268e+01,9.733893656e+01,1.411235371e+00,5.678378760e+01,1.002993659e+01,3.565096306e+01,8.971247531e+01,2.071273822e+01,2.538910570e+01,2.004487402e+01,9.744055598e+01,3.572265554e+01,8.830403574e+00,4.200464301e+01,6.951029399e+01,3.747516027e+01,2.911932172e+01,8.286835650e+01,5.193618252e+01,2.198899401e+00,5.089081434e+01,5.871260436e+01,1.916791256e+01,8.219423666e+01,1.735537786e+01,1.789515599e+01,2.175534304e+01,4.690620018e+01,7.584317001e+01,6.810006213e+01,2.807931097e+01,1.916539595e+01,8.984134374e+01,1.174959799e+01,3.351565950e+01,1.163359499e+00,6.309496049e+01,5.423112579e+01,3.891020612e+01,3.985591821e+00,9.186892177e-01,4.487656388e+01,7.064423016e+00,7.852346174e+01,8.439367597e+01,1.105229356e+01,6.618893564e+01,4.644480673e+01,2.450129454e+01,8.733252633e+01,8.199010737e+01,5.971358767e+01,7.048217432e+01,1.611211022e+01,8.708231223e+00,5.619758092e+01,7.863357758e+01,3.587193953e+01,8.636396845e+01,8.954010058e+01,4.015647127e+01,9.885142043e+01
7.067165011e+01,4.352340694e+01,3.159535192e+01,2.272773561e+01,6.703566273e+01,6.359747927e+01,2.866136324e+01,1.836707870e+01,2.020713889e+01,3.778581368e+01,4.295444583e+01,5.649582788e+01,3.127985905e+01,8.727398893e+01,9.059804557e+01,8.266422861e-01,6.359838107e+01,6.621000453e+01,3.338347878e+01,5.542054876e+01,1.507827530e+01,2.962364697e+01,5.161701994e+01,5.524180247e+01,9.994813011e+00,3.605068610e+01,8.912856691e+01,4.401597920e+01,2.169064878e+01,8.541760604e+01,2.254721744e+01,9.677236951e+01,5.794189756e+01,4.501340028e+01,7.707029080e+01,6.569460384e+01,3.006413670e+01,2.429041465e+01,4.377312485e+01,1.229819534e+01,8.878785483e+01,3.366982797e+01,7.880357360e+01,8.401345899e+01,3.423480676e+01,9.127401970e+01,5.225142744e+01,5.731706484e+01,2.494361263e+01,9.614202525e+01,7.605679460e+01,7.550115209e+01,3.554022093e+00,7.487894892e+01,1.996957487e+01,4.105878292e+01,6.888919574e+01,6.773142598e+01,9.484073926e+01,8.607892991e+01,6.192108213e+01,1.047066137e+01,7.220874897e+01
7.811653520e+00,6.537300827e+01,2.897809390e+00,3.267978161e+01,9.973589270e+01,4.691879357e+01,3.277263815e+01,7.385160165e+01,3.195622536e+01,9.544746609e+01,7.730973452e+01,6.164219088e+01,7.090568061e+01,6.703981285e+01,2.264860041e+01,5.749821004e+01,9.304515532e+01,8.217444398e+00,8.056434722e+01,3.907921539e+01,3.512867539e+01,7.214465448e+01,5.426730512e+01,1.062876757e+01,3.182594679e+01,2.432358681e+01,6.700078539e+01,4.826008728e+01,3.232722099e+01,8.675024646e+01,2.263056658e+00,3.432605277e+01,9.029449602e+01,3.981794241e+01,7.399008720e+01,5.009259498e+01,2.577444448e+01,7.337297490e+01,3.071472388e+01,3.837053377e+01,9.037725751e+01,7.272027634e+01,5.812506816e+01,5.846739536e+01,6.331918236e+01,7.290938437e+01,7.587412791e+01,6.908342434e+01,5.722144137e+01,1.542879530e+01,7.550174382e+01,1.274458676e+01,9.162800092e+01,2.426199454e+01,8.524969832e+01,9.528776844e+01,8.941687292e+00,5.870223398e+01,6.547609384e+01,6.029118164e+01,2.779795607e+01,4.955503530e+01,9.629759799e+01
8.207419570e-01,9.189136949e+01,5.993163000e+01,1.869415375e+00,5.950856398e+01,6.388795178e+01,3.632726037e+01,2.471663047e+01,8.333495362e+01,6.668821919e+01,1.707225418e+01,3.042551888e+01,7.828666455e+01,2.951033131e+01,9.191793274e+01,4.872026005e+01,7.688912125e+01,3.160367706e+01,2.798984696e+01,9.528517645e+01,5.177159185e+00,5.301567597e-01,1.214666634e+01,2.276919336e+01,4.069037028e+01,5.620947844e+01,1.030454704e+01,3.645723059e+00,4.116670878e+01,3.640299111e+01,2.176244765e+00,3.202815851e+01,2.874451213e+01,5.788745355e+01,5.768783470e+01,2.674508335e+01,8.826641415e+01,2.634588139e+01,6.813370767e+01,8.278198701e+01,1.728622056e+01,2.832990720e+01,9.651441098e+01,4.284257025e+01,1.548256217e+01,6.077403569e+01,3.017643067e+01,8.634909601e+01,2.909773232e+01,7.607731165e+01,6.135687426e+01,6.033363111e+01,4.593817906e+01,5.577246960e+01,1.676272651e+00,8.756651717e+01,8.537409935e+01,5.449954077e+01,9.898269977e+01,8.915902536e+00,3.529836177e+01,6.143795900e+01,3.615944655e+01
4.868190811e+01,9.378229539e+01,4.293696559e+01,2.890951462e+01,5.252111801e+01,7.106479562e+01,1.665330246e+01,1.161695861e+01,7.979329943e+01,9.699528827e+01,4.396374083e+01,9.922242839e+01,1.246623689e+01,1.055769181e+01,6.472668888e+01,1.337512963e+01,1.596224204e+01,1.096872149e+01,7.710596289e+01,8.111947076e+01,4.085630089e+01,5.518157328e+01,7.973585839e+01,4.844786764e+01,1.112342383e+00,3.573587615e+01,5.884776960e+01,2.679154491e+01,8.647003955e+01,6.984018892e+01,5.921140546e+01,9.447092434e+01,7.101866167e+01,5.069460044e-01,1.572210085e+01,5.461874642e+01,4.549769293e+01,9.158352069e+01,2.811759176e+01,1.529772375e+01,2.956492990e+01,2.724608880e+01,1.098930679e+01,6.997491373e+01,6.361778363e+01,2.856007164e+01,2.751259630e+01,2.622241748e+01,5.125622882e+01,1.689908643e+01,1.522945365e+01,6.993175730e+01,6.188161965e+01,7.252085548e+01,7.084973465e+01,4.321113913e+01,5.218863838e+01,1.924809505e+01,5.156056345e+00,7.505688539e+00,1.493321881e+01,4.406496964e+01,3.434937431e+01
1.162584345e+01,9.001393443e+01,3.103600900e+00,2.324708227e+01,9.233510207e+01,8.757149697e+01,3.853215915e+01,6.768670862e+01,3.195434578e+00,7.112410346e+01,9.578421660e+01,4.712685295e+01,8.044427541e+01,1.906763516e+01,4.562061752e+01,9.482167051e+01,6.851828798e+01,3.859566391e+01,2.768781754e+01,5.711806173e+01,8.252732453e+01,4.151799701e+01,7.102593464e+01,1.121322720e+01,6.366683628e+01,6.050004989e+01,7.885122295e+01,9.028109834e+00,3.114776581e+01,2.959327449e+01,9.574035061e+01,3.094709011e+01,3.063182734e+01,6.501878951e+01,6.849279430e+01,9.693606346e+01,1.387796352e+01,4.375563740e+01,5.751670016e+00,6.608528371e+01,7.436758967e+01,5.846318151e+01,2.794957492e+00,2.636882337e+01,6.126463108e+01,7.394889790e+01,7.676086587e+01,5.755593673e+01,8.123885573e+01,3.258185810e+01,3.239952009e+01,7.479182687e+01,7.642409280e+01,7.911296856e+01,5.212299073e+00,6.916957237e+01,8.374614555e+00,7.445138256e+01,7.094651567e+01,2.374421911e+01,6.892680714e+01,7.555028407e+01,8.589040660e+01
4.280142874e+01,2.276909639e+01,5.716388215e+01,2.393397104e+01,8.822720932e+01,6.883172110e+01,8.988556776e+01,1.453327246e+01,5.770421671e+01,6.837017787e+01,1.585258668e+01,7.824032510e+01,5.589319825e+01,5.743131359e+01,5.513845799e+01,6.114458594e+01,2.851850675e+01,6.971821400e+01,5.859020501e+01,6.214431091e+00,2.300199138e+01,9.826732089e-01,5.598390619e+01,8.894333766e+01,1.278141702e+01,7.586393195e+01,5.820045369e+01,8.428304384e+01,8.002591568e+01,5.981435129e+01,6.926108916e+01,8.072688754e+01,6.176141179e+01,4.536081351e+00,1.834590600e+01,6.094578415e+01,7.633064530e+01,7.893857937e+01,3.201360855e+01,8.091137181e+01,2.548680468e+01,6.580074647e+01,4.766410886e+01,4.792012443e+01,9.090608670e+01,6.336462448e+01,6.567740279e+01,4.088122556e+01,5.015768707e+01,9.560011502e+01,6.498044268e-01,1.976998380e+01,6.105451348e+01,9.859920412e+01,8.408063081e+01,4.993617836e+01,6.514000586e+00,8.108961435e+01,8.255526294e+01,4.021876635e+01,8.351971921e+01,2.314432045e+01,5.452140955e+01
7.059483442e+01,6.482124479e+01,9.155118890e+01,6.517346411e+01,8.368078451e+01,2.791197677e+01,9.619563104e+01,6.165884514e+01,5.908838794e+01,9.489862357e+01,8.498947072e+01,3.305964575e+01,9.035827093e+01,3.728070123e+01,4.874413343e+01,8.651090345e+00,9.097325736e+01,8.323825327e+01,6.232430509e+01,6.160506040e+01,9.533832540e+01,1.313594447e+01,9.726957935e+01,6.438749825e+01,8.436649519e+01,8.216729142e+01,4.486582412e+01,1.454789385e+01,3.597450507e+01,7.172808947e+01,1.502627226e+01,2.342364509e+01,6.754476904e+01,9.463177182e+01,9.508912677e+01,3.143017149e+01,6.784916416e+01,2.916602270e+01,3.117060383e+01,6.000095107e+00,2.964954424e+01,6.475950622e+01,6.667373757e+01,6.958696307e+01,3.072503812e+00,1.645238152e+01,8.277830306e+00,5.170066155e+01,8.368661883e+01,4.889606115e+01,7.683633083e+01,6.087602456e+01,4.165773136e+01,9.737099090e+01,8.851200177e+01,5.959340140e+01,7.597255868e+01,4.042288621e+00,6.331827146e+01,2.471096192e+00,6.674546031e+01,8.127643407e+01,7.578250460e+01
6.062684508e+01,1.097117061e+01,1.395188764e+01,5.017460125e+01,4.273628424e+01,8.189419986e+01,8.586104800e+01,5.664441544e+01,6.413128602e+01,2.422335382e+00,4.992658489e+01,6.317729700e+01,2.003643318e+01,6.907104326e+01,8.720691940e+00,1.853853377e+01,5.389688664e+01,1.964148056e+00,7.346928265e+01,2.403162875e+01,3.039516092e+01,1.787053705e+01,3.055349245e+01,5.571210671e+00,6.675443020e+01,4.604896709e+01,6.064367929e+01,5.540965562e+01,8.732577285e+01,8.652251848e+01,9.262660346e+01,5.990170758e+01,5.242279287e+01,7.001640194e+01,1.592865545e+01,6.547512639e+01,7.337492095e+01,6.387515181e+01,5.331468760e+01,3.806970538e+01,4.010026853e+01,4.989602279e+01,9.350994500e+01,3.798794652e+01,6.569234447e+01,7.506032749e+01,8.172750156e+00,2.918213557e+01,5.502637001e+01,5.376567815e+01,1.949880673e+01,7.084200700e+01,8.651484793e+01,1.307899891e+01,3.368965178e+01,3.673083734e+01,9.175793146e+01,6.507157895e+01,5.756843549e+01,5.282229498e+01,1.920825007e+01,9.881130797e+01,8.231269086e+01
3.600782929e+01,8.710208396e+01,1.847734614e+01,5.095145987e+00,4.645069831e+01,3.357864729e+01,3.742338762e+01,1.394489939e+01,8.781376020e+00,6.163710460e+01,7.776893902e+01,4.303934738e+01,4.460081177e+01,4.283273913e+01,2.688740943e+01,9.112587534e+01,1.386178411e+01,1.061557252e+00,1.176552732e+01,8.927294583e+01,1.624608624e+01,9.136512797e+00,7.415871281e+00,3.074668155e+01,6.225377089e-01,4.376808849e+01,6.118892252e+01,2.946307942e+01,2.144533547e+01,4.785359846e+01,8.004341910e+01,2.173901985e+00,7.901161275e+01,9.456318843e+01,1.652920011e+01,8.548464124e+01,1.318771858e+01,3.828142103e+01,9.108825565e+01,9.253978809e+00,8.244449605e+01,9.319340554e+01,3.911450924e+01,8.459225357e+01,6.197242947e+01,7.358944164e+01,7.351754509e+00,1.607559444e+01,7.852918294e+01,7.579824895e+01,8.599888674e+01,8.954337204e-01,8.810752433e+01,4.151028221e+01,9.966731425e+01,6.572159417e+01,1.291733328e+01,1.708208335e+01,6.283682658e+01,1.863692461e+01,2.271500511e+01,1.845207591e+01,6.077083461e+01
3.478682628e+01,2.461880697e+01,7.539288339e+01,9.148794956e+01,6.694023492e+01,7.368231266e+01,7.282034473e+01,2.391577973e+01,1.107292315e+01,8.755892650e+01,9.850850431e+00,9.579477958e+01,5.678386583e+01,9.375035821e+01,6.057135942e+01,7.001746260e+01,7.129610799e+01,6.721751399e+01,3.669512200e+01,8.056953517e+01,6.683408608e+01,4.054195722e+01,7.026014429e+01,3.399549960e+01,6.018608105e+00,5.427257375e+01,8.529723209e+01,6.885139153e+00,4.013319417e+01,9.407489578e+01,1.628488208e+01,8.493600939e+00,3.574169942e+01,1.836508105e+01,8.881395192e+01,9.266887204e+01,1.032068665e+01,1.465991917e+01,7.722503405e+01,7.664948504e+01,7.563060368e+01,7.829472196e+01,3.870408227e+01,6.296983288e+00,3.008859023e+01,6.262476865e+01,4.064516353e+01,5.119967562e+01,6.904020732e+01,1.492392558e+01,6.537776679e+00,7.314569457e+01,9.242981938e+01,2.150613732e+01,1.093826492e+01,7.927559538e+01,3.651988696e+01,4.421566532e+01,1.557425134e+00,8.822044912e+01,8.628442036e+01,4.028043964e+00,7.782791144e+01
