v1,v2,v3,v4,v5,v6
8.416201776e+01,2.570233063e+01,3.091223059e+01,3.269155320e+01,2.450824262e+01,5.960264365e+01
9.801900197e+01,6.014510613e+01,7.928965306e+01,8.015708551e+01,7.953692383e+01,9.773346595e+01
2.346336757e+01,2.176369280e+01,9.310768484e+01,6.707922362e+01,6.631157007e+01,4.304977833e+01
7.183382978e+01,3.872363077e+01,7.918732210e+01,9.963419024e+01,3.021987672e+01,6.199533286e+01
7.643613162e+01,5.556203507e+01,6.287588707e+01,7.979104298e+01,1.054926747e+01,8.188241019e+01
7.062865400e+00,4.786785482e+01,1.804176118e+01,6.846513817e+01,1.432364494e+01,1.760074016e+01
9.630334091e+01,2.516758171e+01,7.672877750e+01,4.083873816e+01,2.769280306e+00,4.934618524e+01
3.604309098e+01,8.104370925e+01,1.521749336e+01,7.497263826e+01,6.700478483e+01,8.037200565e+01
7.694154003e+01,5.497195904e+01,9.684821320e+01,2.391674414e+01,4.962920036e+00,8.137427532e+01
3.455063727e+01,4.034362047e+01,8.020318555e+01,1.258326233e+01,3.975912773e+01,3.853209714e+01
4.130097617e+01,6.331743673e+01,9.699104989e+01,6.499366565e+01,1.761284148e+01,1.479471016e+01
8.967887483e+01,8.044771450e+00,2.047882249e+01,9.955186821e+01,2.155705450e+01,2.341154890e+01
6.137603019e+01,2.330694560e+01,7.705552453e+01,6.714523219e+01,4.023809230e+01,1.175512856e+01
6.050730978e+01,5.035051418e+01,2.784489085e+01,6.375868704e+01,2.284368093e+01,1.359202149e+01
9.894508833e+01,7.112021891e+01,5.615162876e+01,1.987864431e+01,9.681900286e+01,3.474745484e+01
6.369896008e+01,7.000543044e+01,3.631694438e+01,9.018404986e+00,1.063113639e+01,8.226764407e+01
4.734946499e+00,5.366450253e+01,2.322682331e+01,2.770353432e+01,3.862353806e+01,7.107824008e+01
9.756588099e+01,4.622802413e+01,1.180373678e+01,3.405070421e+01,8.491596150e+01,9.406591949e+01
6.079058211e+01,1.058446227e+01,4.906829674e+01,7.121397812e+01,8.155909496e+01,2.089061428e+01
8.362841502e+01,2.855250671e+01,9.962005086e+00,2.329901779e+01,1.567316407e+00,7.842118923e+01
4.752069986e+01,7.335996326e+00,2.662143480e+00,2.428048517e+01,1.077769748e+01,1.621857255e+01
9.426650755e+01,1.400997409e+01,3.843168346e+01,9.699657046e+01,3.382582349e+01,2.613959845e+01
9.092713300e+01,5.842723628e+01,4.057147378e+01,1.415144329e+01,5.525539823e+01,5.882423376e+01
6.298568058e+01,2.136177272e+01,5.233971979e+01,8.410973580e+01,8.227927753e+01,9.471037274e+01
4.407553739e+01,4.013426708e+00,6.614788906e+00,3.638492143e+01,7.734260267e+01,6.364422379e+01
7.405616171e+01,1.105441909e+01,1.714963147e+01,1.988688577e+00,2.683103529e+01,7.340512033e+00
8.733155736e+01,4.722201311e+01,7.436172924e+01,8.193416739e+00,4.856773084e+00,3.782118020e+01
4.337264911e+01,3.707266856e+01,5.735279850e+01,7.255351999e+00,1.939887452e+01,9.436501778e+01
3.370572030e+01,9.953368084e+01,9.970408436e+01,3.781331470e+01,2.950682030e+01,8.769772415e+01
4.315581218e+01,9.889552972e+01,6.451050190e+01,3.468063502e+01,4.063943302e+01,5.718231883e+01
3.474220169e+01,9.064562938e+00,5.094787249e+01,9.909197557e+01,7.906307328e+01,6.355225947e+01
3.894830154e+01,7.778655174e+01,5.066951436e+01,4.173955937e+01,1.347512373e+01,8.747090943e+01
1.570636207e+01,5.563414559e+01,1.857018465e+01,3.178495863e+01,4.507436368e+01,6.954002657e+01
7.432711903e+01,3.545042663e+01,4.007083070e+01,5.302739202e+01,3.719869901e+01,5.209467281e+01
6.935837268e+01,7.570455358e+01,4.855978315e+01,6.760054286e+01,4.622331727e+01,2.746344348e+01
2.263167249e+01,7.212203049e+00,6.670475456e+01,1.061715114e+01,7.103395745e+01,6.389828640e+01
3.166615569e+01,6.138707692e+01,6.785965115e+00,4.138535313e+00,7.103864504e+00,4.095434346e+00
8.104794197e+01,2.272940209e+01,3.068471936e+01,3.468923640e+00,1.477057048e+01,9.936617103e+01
7.992265526e+01,3.063839765e+01,6.918970479e+01,9.094071815e+01,5.144132934e+01,9.341305786e+01
6.404123901e+01,8.068946542e+01,6.348238225e+01,8.336538852e+01,4.130320252e+01,9.506594492e+01
5.046668940e+01,7.446388022e+01,6.815501139e+01,5.156897982e+01,5.064012340e+01,9.680331987e+01
9.211922485e+01,9.438047951e+00,1.906145348e+01,1.284341568e+01,8.896803759e+01,4.204333413e+01
7.712716372e+01,2.623652516e+01,7.860860747e+01,7.707480749e+01,9.172856142e+01,6.999812846e+01
9.939784356e+01,9.995169099e+01,3.497796074e+01,6.527796247e+01,3.400695219e+01,9.673556428e+01
4.392259262e+01,6.895577449e+01,5.300429214e+01,6.402503814e+01,7.544651105e+00,4.552713753e+01
9.125239747e+01,5.850793018e+01,2.214207813e+00,3.971735307e+01,2.368517652e+01,8.424893687e+01
6.176318015e+01,9.853570115e+01,5.962073040e+01,7.838201028e+01,2.461672239e+01,6.900015370e+01
5.038358260e+01,3.236823217e+00,5.900691956e+01,7.513026177e+01,3.648712593e+00,9.552276633e+01
5.105413366e+01,1.694059497e+01,7.242147467e+00,2.786680059e+01,3.501816942e+01,5.638083864e+01
2.132383235e+01,4.170522205e+01,8.647035501e+01,6.894282256e+01,3.476687557e+01,4.885586652e+00
5.921833245e+01,7.357337774e+01,7.877418491e+01,7.896883836e+01,3.012509650e+01,9.846180764e+00
7.926925914e+01,6.654652474e+01,4.334815772e+01,2.436561818e+01,5.186899899e+01,4.698502625e+01
4.344664770e+01,7.422109073e+00,8.865455959e+01,9.648214420e+01,2.785391540e+01,4.742143895e+01
8.584823634e+01,1.759902912e+01,6.399741000e+01,4.974407878e+01,7.408209027e+01,3.587206000e+01
4.141341432e+01,3.584284730e+01,1.688032511e+01,9.632940112e+01,7.398316061e+01,5.289874798e+01
1.379549800e+01,1.442523502e+01,8.031167926e+01,4.730559125e+00,9.710615172e+01,3.906146627e+01
5.611277022e+01,1.556179696e+00,9.204624542e+01,8.197646661e+01,3.153220909e+01,6.438961254e+01
7.347343781e+01,9.677457500e+01,6.229982854e+01,8.257012658e+01,4.201068313e+00,6.420092436e+01
3.697529160e+01,1.813412280e-01,3.373726850e+01,6.080523382e+01,3.768747688e+01,1.809050281e+01
5.118707150e+01,5.140734456e+00,8.679231713e+01,8.509426894e+01,8.127119121e+01,6.794030962e+01
6.251446700e+00,1.091816999e+01,8.047523899e+01,7.919388219e+01,7.045651049e+00,4.379132413e+01
8.356891383e+01,4.266600500e+01,1.430325634e+01,5.908033146e+01,1.801489154e+01,9.727798778e+01
8.274706242e+00,3.902443966e+00,3.810144899e+01,9.929617647e+01,7.512936443e+01,7.574151388e+01
2.005234789e+01,1.574564818e+01,8.923134331e+01,6.287424365e+01,5.881410744e+01,7.037155021e+01
3.346871639e+01,2.160337004e+01,1.161870229e+01,8.007205657e+00,1.448794385e+01,9.428623641e+01
8.879635996e+00,4.454821796e+01,2.933828853e+01,7.044199647e+01,5.016334355e+01,2.389200649e+01
2.882530885e+01,5.789211644e+01,3.192230317e+01,6.025521459e+01,3.431578854e+01,6.400979625e+01
6.238299947e+01,2.071815373e+01,8.257893361e+01,5.998639699e+01,4.960575163e+01,2.451291911e+01
1.525918976e+01,7.713784627e+01,4.341636193e+01,7.957284281e+01,9.049075761e+01,8.153356156e+01
7.381151455e+01,7.451544262e+01,8.406678933e+01,4.365954012e+01,6.194194175e+01,7.110751532e+01
8.401360971e+01,3.639018654e+00,4.790486593e+01,7.625950889e+00,9.598061480e+01,6.644657730e+01
1.351395741e+01,8.496495877e+01,5.484319588e+01,4.414237776e+01,9.518254037e+00,7.566370963e+01
6.106746726e+01,1.412712349e+01,9.572501766e+01,1.239054499e+01,4.451433569e+00,8.728990532e+01
1.050911498e+01,7.693703484e+01,3.822696575e+01,7.294527438e+01,1.095241698e+01,5.225791268e+01
6.986163619e+01,5.660619924e+01,3.591995032e+01,6.870384388e+01,1.114276147e+01,9.989926944e+01
8.574355671e+01,7.809665053e+01,6.043947211e+01,8.482330118e+01,2.701709063e+01,4.870521827e+01
6.913094321e+00,1.145006045e+01,3.176558680e+01,6.853462985e+01,4.241160987e+01,9.568125301e+01
4.282824342e+01,3.852131756e+01,5.020596504e+01,1.326454225e+01,7.031080577e+01,8.771424531e+01
3.504300186e+01,5.711571619e+01,8.541290798e+00,8.369433692e+00,1.292515999e+01,7.381232020e+01
4.259897917e+01,9.899670307e+00,3.549775141e+01,8.907674312e+01,3.656509490e+01,9.335336079e+01
9.817786947e+01,6.695316249e+01,2.081391280e+01,9.863837659e+01,1.159807121e+01,5.856262251e+01
7.171279130e+01,3.928259350e+01,1.221569797e+01,3.348680068e+01,2.965827118e+01,1.498857869e+01
7.032842395e+01,2.654826656e+01,1.936513819e+01,6.042744135e+01,5.829714591e+00,6.695299390e+01
7.082270555e+01,1.776915632e+01,8.888693714e+01,5.037853983e+01,4.876532144e+01,1.381864439e+01
4.455639762e+01,5.791894040e+01,4.928003830e+01,1.140017089e+01,7.522343320e+01,8.784873237e+01
6.862333893e+01,7.229032180e-01,4.713703961e+01,3.394268970e+01,8.252693915e+01,3.167688866e+01
5.129773334e+01,9.447893012e+01,3.268250443e+01,9.158334552e+01,1.836268603e+00,2.956893871e+01
6.202041910e+01,1.362625245e+01,4.206194524e+01,1.945655237e+01,5.225547616e+01,7.392448090e+01
7.805253917e+01,7.496421592e+01,1.510960935e+01,4.397386150e+01,7.435300903e+01,8.676118574e+01
7.796024940e+01,2.301596312e+00,8.391347543e+01,3.415327583e+01,5.097091025e+01,3.949401832e+01
3.990461954e+01,1.261623421e+01,3.997065906e+01,8.797887959e-01,8.348797790e+01,9.821490329e+01
7.090864469e+01,8.775657871e+01,9.896941666e+01,9.108469745e+01,3.483716526e+01,4.040331962e+01
1.538394500e+01,2.004094535e+01,1.198364148e+01,1.111994265e+01,9.225486382e+01,5.244421015e+01
1.009169509e+01,5.930263551e+01,1.667187705e+01,9.392999727e+01,1.733780064e+01,5.354980404e+01
9.995070934e+01,9.299119392e+01,9.648562920e+01,2.218818388e+01,4.337045531e+01,5.118963901e+01
6.896690541e+01,2.165446071e+00,3.676039476e+01,4.880239116e+01,8.480413044e+01,4.984764300e+01
8.918831115e+01,6.104851561e+01,2.621649755e+01,2.999953341e+01,5.911427820e+01,9.496709497e+01
8.615312788e+01,9.159852239e+01,6.121060911e+01,6.606557369e+01,4.003685423e+01,4.424578282e+01
7.666545257e+01,7.070722221e+01,2.876129827e+01,4.793862667e+01,2.499494081e+01,2.156172092e+01
8.340758748e+01,8.450569112e+01,7.642428496e+01,5.761723020e+01,4.388220829e+01,2.878583982e+01
9.368960400e+01,6.862393821e+01,4.237382850e+01,2.863166995e+00,5.675487789e+01,4.726669388e+01
2.761559855e+00,8.962590984e+01,1.155953853e+01,9.558847532e+01,5.685118572e+01,3.348177746e+01
2.603914944e+01,6.398177051e+01,3.622459981e+00,2.594928225e+01,2.524095427e+00,3.154164078e+01
5.540216359e+01,1.540387224e+01,4.998961506e+01,7.848209318e+01,6.909940786e+01,8.011210681e+01
9.351438265e+01,7.619384177e+01,1.037046384e+00,1.642343199e+01,3.849182652e+01,5.017933575e+01
5.638185603e+01,1.802317428e+00,6.482625248e+01,9.954707926e+00,9.956782910e+01,6.872639443e+01
5.470336649e+01,5.005479724e+01,4.523222750e+01,3.904345952e+01,6.290568342e+01,9.922048029e+01
6.644895093e+01,6.496502892e+01,4.172770635e+01,4.779348206e+01,6.392912992e+01,1.950201629e+01
7.467824030e+01,9.325479931e+01,5.947157703e+01,2.130988593e+01,7.743591068e+00,6.484222030e+01
7.872753220e+01,5.752412404e+01,2.215976568e+01,4.165535607e+01,4.554048843e+01,7.479266969e+01
7.548568509e+01,6.931105575e+01,7.765118859e+01,5.131492017e+01,2.810175972e+01,2.580910247e+01
9.192504198e+01,4.481485598e+01,7.051315998e+01,5.930739641e+01,2.170920385e+01,7.134552721e+01
6.546400750e+01,9.738571297e+01,5.397199075e+00,1.092939300e+01,7.592858894e+01,7.759305750e+01
5.578743607e+01,7.856045339e+01,9.453196231e+01,5.080638219e+01,7.690467809e+01,3.866912141e+01
1.558752877e+01,9.479415616e+01,3.045776527e+01,8.364066877e+01,3.878389204e+01,5.477621375e+01
7.530283085e+01,8.329397196e+01,3.614800810e+01,5.220623595e+01,2.079232205e+00,8.081038328e+01
3.239700565e+01,9.814676727e+01,8.114140119e+01,6.447841597e+01,9.963828032e+01,2.561593359e+01
4.049355948e+01,6.613533099e+01,8.553885739e+01,1.579028967e+01,5.977243912e+01,8.092596035e+01
8.492050592e+01,2.305212859e+01,4.276468667e+01,2.533525839e+01,2.024451893e+01,3.059497940e+01
9.909236486e+00,6.871896120e+01,9.724895215e+01,1.112644222e+00,8.617343154e+01,2.855582410e+00
5.741973026e+01,2.181412750e+01,8.436536335e+01,7.143695101e+01,8.871556849e+01,8.350116524e+01
8.526272324e+01,6.261669949e+01,6.503508166e-01,9.715833631e+01,3.596277345e+00,1.994565199e+01
4.020011676e+01,1.491661000e+01,1.149585176e+01,1.345174595e+01,6.564667931e+01,3.117539420e+01
4.777868980e+01,7.689450782e+01,7.729540724e+01,3.514565381e+01,2.568631274e+01,3.426979354e+01
6.222275891e+01,5.548506494e+00,8.229186781e+01,3.360620659e+01,6.483387351e+01,1.332752006e+01
9.905496449e+01,1.165544132e+01,1.444932899e+01,7.349246504e+01,8.788890706e+01,1.918876977e+00
8.475854978e+01,1.244132908e+01,4.566418570e+01,3.557709576e+01,1.986091995e+01,9.793127353e+01
8.023764094e+01,6.080435603e+01,5.376174473e+01,2.796197456e+01,2.247238563e+01,5.915639332e+01
3.433912758e+01,4.915949892e+01,4.397595525e+01,1.519422164e+01,9.528717005e+01,1.538268844e+00
8.725052341e+01,2.399252671e+01,5.109533884e+01,6.751178759e+01,7.703840889e+01,1.014908764e+01
2.117000041e+01,2.820767465e+01,8.302216971e+00,6.151460908e+01,8.835618608e+01,4.916451625e+00
4.627638938e+01,3.840702848e-01,2.417710413e+01,5.511049433e+00,7.873068104e+01,5.829034651e+01
9.300496235e+01,5.768300498e+01,2.741627464e+01,1.753563304e+01,7.998281368e+01,4.122090708e+01
1.103648507e+01,5.812059615e+01,6.509269373e+01,1.848073751e+01,7.851624287e+01,3.130238892e+01
7.064305624e+01,1.460165555e+01,3.000193798e+01,6.337206148e-01,8.278283834e+01,2.734531284e+01
3.960911188e+01,5.894611305e+01,9.477991350e+01,3.701859679e+01,8.943743235e+01,1.025979273e+01
3.401611436e+01,1.580062385e+01,9.755947705e+00,6.350410964e+01,1.617806879e+01,8.885707995e+01
7.741382926e+01,9.450787825e+01,9.363446692e+01,1.398174874e+01,7.291875869e+01,6.078870802e+01
6.569328708e+01,4.872567451e+01,9.774369270e+01,3.790424335e+01,7.169146402e+01,2.412877032e+01
1.965740789e+01,2.540265464e+01,9.259198860e+01,1.712936889e+01,4.652077750e+01,6.174980564e+01
3.589221306e+01,8.923305873e+01,1.846756608e+01,2.318328361e+01,8.639534257e+01,7.414019955e+01
1.864888304e+01,5.222216887e+01,2.839304390e+01,9.263411889e+01,8.163965454e+01,9.460134049e+01
8.083129941e+01,6.575013801e+01,5.399358765e+01,9.615364388e+01,9.486307162e+01,3.754155176e+01
1.126577650e+01,9.785762940e+01,7.252867420e+01,6.516432954e+01,1.139146727e+01,2.356849537e+01
2.439133078e+01,2.389944123e+01,7.902965305e+01,4.463554537e+01,8.065059839e+01,7.008666592e+01
4.554918736e+01,7.042380320e+01,5.365624732e+01,4.493572465e+01,8.242492133e+01,6.094863471e+01
5.930530017e+01,9.907665011e+01,1.534591833e+01,2.573135898e+01,2.197170002e+01,5.810842844e+01
8.879518442e+01,8.773692788e+00,5.284517095e+01,7.795844081e+01,1.663535183e+01,8.601723920e+01
5.236706387e+01,3.338474494e+01,7.948634258e+01,2.649924932e+01,9.435454162e+01,1.770180606e+01
3.530400136e+01,6.903956495e+01,3.316806468e+01,3.278241820e+01,6.468928780e+01,8.338246935e+01
2.510880483e+01,4.095223117e+01,9.075246360e+01,5.020972558e+01,9.331367755e+01,2.750419978e+01
2.096926917e+01,9.193885867e+01,3.081235584e+01,3.964222129e+01,3.320795252e+01,7.905485653e+00
7.274327636e+01,3.602678367e+01,8.941956949e+01,5.821462035e+01,4.088941989e+01,2.185706619e+01
5.161170629e+01,9.404475966e+01,8.913963699e+01,3.454092715e+01,4.603005391e+01,8.373683612e+01
6.157355017e+01,6.710542140e+01,2.199420355e+01,5.525679545e+01,8.829048478e+01,5.696993658e+00
5.870941974e+01,6.187350307e+01,7.208845011e-01,1.743840094e+01,3.750915472e+01,2.554443078e+00
6.033345541e+01,8.466199040e+01,1.471416009e+01,3.846866307e+01,2.793650891e+01,2.559120531e+01
8.757327196e+00,4.980594171e+01,9.854057131e+01,5.556085189e+01,6.042383447e+01,1.329576098e+01
5.130039282e+01,1.292951362e+01,2.369846620e+01,3.379480864e+01,4.264542234e+01,1.405661928e+01
9.044127032e+01,9.462291345e+01,7.215606530e+01,2.067814479e+01,5.719984457e+01,3.498595758e+01
3.471101852e+00,7.010003363e+01,5.315943495e+01,3.926007303e+00,3.353903064e+00,3.659021126e+01
5.601426372e+00,1.121772942e+01,5.246091020e+01,1.245480426e+00,1.647202080e+01,3.508902079e+01
7.658915726e+00,4.566398938e+01,7.489878491e+01,6.077593343e+00,7.133517266e+01,3.033521961e+00
4.673974710e+01,1.626580269e+00,5.838777806e+01,8.141942867e+01,2.743280874e+01,8.289035218e+01
2.105364752e+01,2.646840759e+01,9.583943263e+01,7.715250834e+01,5.290307687e+01,4.066979595e+01
8.489593727e+01,2.414998060e+00,4.571253847e+00,2.346916200e+01,2.290347822e+01,6.374904694e+01
7.515436541e+01,5.475942422e+01,7.220954826e+01,6.931771338e+01,5.956345834e+01,7.884608154e+01
4.268258088e+01,9.965262815e+01,3.113141473e+01,3.834668728e+01,8.506742390e+01,6.579977274e+01
2.896091181e+01,7.306625576e+01,8.236621813e+01,3.121259541e+01,9.495811454e+01,7.121745055e+01
9.252365318e+01,9.239786013e+01,8.525600375e+01,1.085725174e+00,7.192700178e+01,8.740181774e+00
5.396866238e-01,7.279637885e+01,9.217955546e+01,3.283761686e+00,1.919189672e+01,1.237172012e+00
4.985613825e+01,4.022219117e+01,3.282893011e+01,9.218534582e+01,9.504195790e+01,3.641114342e+00
5.293435530e+01,8.394560020e+01,5.118508248e+01,3.354616915e+01,1.861087094e+01,1.107301711e+01
5.191434427e+01,1.827808441e+01,9.530235417e+01,9.376511288e+00,7.048823170e+01,6.765184595e+01
9.618981344e+01,9.105604823e+01,1.349049868e+00,3.255925768e+01,4.939575009e+01,4.474292033e+01
6.675537451e+01,4.255804316e+01,9.936763165e+01,5.262690655e+00,1.876675858e+01,1.758354332e+00
3.828815721e+01,8.565060085e+01,5.864332881e+01,4.966931541e+01,7.480038361e+01,8.967184298e+01
1.091225624e+01,7.035917419e+00,9.768020793e+01,5.047099060e+01,8.956356651e+01,3.714620303e+01
8.297645823e+01,5.390832095e+01,7.169467131e+01,2.338763611e+01,1.048824203e+01,9.693361529e+01
9.022827830e+00,6.767883635e+01,3.849258332e+00,6.785266437e+01,2.664678311e+01,8.570609446e+00
7.980518488e+01,6.389671147e+01,5.646312562e+01,8.714025252e+01,4.435863429e+01,3.797360505e+00
8.819323104e+01,1.334214393e+01,8.893059649e+01,2.708333460e+00,2.763308431e+01,5.164481860e+01
8.145667270e+01,4.294783262e+01,8.453239447e+01,1.560936008e+01,6.955019381e+01,3.374106352e+01
8.231577793e+01,4.217636258e+01,6.713133421e+01,8.105526451e+01,5.629611851e+01,5.653951795e+01
4.614929384e+01,4.922844811e+01,2.126643269e+01,1.051178712e+01,5.846400825e+01,6.988962542e+01
2.291228386e+01,3.048810363e+01,5.893329055e+01,4.642930637e+01,8.697533368e+01,4.583138646e+01
8.384248319e+01,2.198140527e+01,5.620902608e+01,5.261403778e+01,9.036752927e+01,5.424220205e+01
1.910063109e+01,2.440219323e+01,1.953835615e+01,7.386454239e+01,9.168342055e+01,5.541632792e+01
9.535164270e+01,5.062410004e+01,9.443038414e+00,9.333916774e+01,8.700287980e+01,4.485011919e+01
6.835123288e+01,6.315435368e+00,8.795358114e+01,9.689995364e+01,7.787313668e+01,3.222935427e+01
2.625762530e+01,4.284285378e+01,3.424958729e+01,1.739536142e+01,9.291503300e+01,5.947902486e+01
6.841108099e+01,8.682939998e+01,7.011663229e+01,8.591492281e+01,6.911787262e+01,8.687072289e+01
4.543045988e+01,9.606855132e+01,2.331771282e+01,2.976393288e+01,3.675025653e+01,8.951759107e+01
3.004222821e+01,6.443035382e+01,1.797896239e+01,3.694945678e+01,8.197098613e+01,3.732098161e+01
7.892674568e+01,9.625024965e+01,1.751773429e+01,9.849936599e+01,5.043758938e+01,1.608486047e+01
2.985975458e+01,2.874595989e+00,6.190571498e+01,9.934735020e+01,9.038054592e-01,5.662369300e+01
3.920832410e+01,9.220226493e+01,6.366621848e+01,5.078202635e+01,9.277694806e+01,2.509688181e+01
3.279900816e+00,6.254192998e+01,7.938628410e+01,1.968879147e+01,4.855349796e+01,7.542554365e+01
4.123158735e+01,8.287108358e+01,6.526373573e+01,7.114039414e+01,7.616746472e+01,2.665977508e+01
6.187725971e+01,7.659672476e+01,4.507611443e+01,5.203096487e+01,4.510220436e+01,3.666122759e+01
2.635785305e+01,6.843875707e+00,2.228049534e+01,8.271734352e+01,9.390682774e+01,2.377877238e+01
3.154345866e+01,7.803250889e+00,8.822350325e+01,2.548139707e+01,2.907168343e+01,7.222415393e+01
2.374194904e+01,8.306333567e+01,7.189905193e+01,7.373049312e+01,3.229180428e+01,5.592905073e+01
9.163638193e+01,1.924625493e+01,5.571585577e+01,6.367674365e+00,4.119785856e+01,8.874146842e+01
9.670284807e+01,1.530615167e+01,7.004974504e+01,2.455981926e+01,6.628380644e+01,8.077572084e+01
6.313479747e+01,9.206968891e+01,4.010406990e+01,3.219594398e+01,5.015000966e+00,9.521143991e+01
8.113293506e+01,7.028066386e+01,4.359323535e+01,8.932798435e+01,6.221785288e+01,6.949385690e+01
9.655030186e+01,4.763590233e+01,1.345460030e+01,6.267896232e+01,3.413600321e+01,5.172805501e+01
3.774098947e+01,8.223425071e+01,2.091904182e+01,5.107844116e+01,5.323441409e+01,7.943439862e+01
1.281914496e+00,1.974474508e+01,2.534291049e+01,9.358806730e+01,7.270445815e+01,2.678985893e+01
3.060378108e+01,6.974505191e+01,5.435477888e+01,6.984908178e+01,6.501788961e+01,1.216246564e+01
8.942948021e+01,5.125121377e+01,5.810623342e+01,4.449262824e+01,5.138729677e+01,2.367563200e+01
2.708316451e+01,9.895982041e+01,9.709799986e+01,1.245258659e+01,5.893026501e+01,4.754540421e+01
6.213444301e+01,8.955384427e+01,5.570755127e+00,8.840750313e+01,9.876033460e+01,9.916503617e+01
3.175492047e+01,3.721077554e+01,1.961252645e+01,3.239031756e+01,8.740940904e+01,7.585845100e+01
4.181750536e+01,9.715160543e+01,8.731441376e+01,2.937010987e+01,9.801838317e+01,5.366714403e-01
3.716799739e+01,4.865135644e+01,9.404637407e+01,6.171671498e+01,7.880460707e+01,4.430406605e+01
1.305761619e+01,1.718011066e+01,5.427206903e+01,9.890520471e+01,7.552904971e+01,6.453490035e+01
9.319409754e+01,7.871803971e+01,3.449052072e-01,7.650719050e+01,4.972909785e+01,2.068418235e+01
1.138648987e+01,9.399030661e+01,7.062218768e+01,8.325787606e+01,8.847546513e+01,5.671050805e+01
1.664649931e+01,2.235256047e+01,8.464239704e+01,6.830531278e+01,1.397247918e+01,6.142556956e+01
7.319027163e+01,3.276659410e+01,4.491928366e+01,3.298968752e+01,6.847392983e+01,9.053972796e+01
9.769925883e+00,6.028158749e+01,1.786648407e+01,7.477951439e+01,5.663970750e+01,2.800771787e+01
8.136133018e+01,9.585112488e+01,4.037844414e+01,2.870615140e+01,2.116013956e+01,3.318710169e+01
9.380411116e+01,7.186364380e+01,3.885272914e+01,2.664133602e+01,6.774356963e+01,2.318038832e+01
1.155769546e+01,3.502351546e+01,3.357677004e+01,4.596395756e+01,6.987748363e+01,6.510617759e+01
2.495128825e+01,1.473794817e+01,5.055828493e+01,6.130035266e+01,3.392788283e+01,8.254422814e+01
7.624613596e+01,6.754657269e+01,4.281823445e+01,1.816426005e+01,7.761541869e+01,2.630682178e+01
2.166101694e+01,6.209299478e+00,1.736398068e+00,1.559934560e+01,4.072369531e+01,1.065688415e+01
8.150537471e+00,3.717191609e+01,6.033488135e+01,1.421083929e+01,1.723716905e+01,1.935025349e+01
5.450551603e+01,3.527240245e+01,7.459320857e+01,3.588615811e+00,2.213942389e+01,6.896481484e+01
5.626539823e+01,3.515601159e+00,6.085405343e+01,3.808595045e+01,2.889369161e+01,2.337789668e-01
2.837063358e+01,2.142381098e+01,3.515552167e+01,2.261499800e+01,8.112817802e+01,5.609353156e+01
6.187460807e+00,6.962455410e+01,8.803641728e+01,4.742999489e+01,1.974465801e+01,2.390278162e+01
6.472352505e+01,4.073943386e+01,8.873259165e+01,6.950334713e+01,9.427050501e+01,9.247322502e+01
9.056754752e+01,7.149342187e+01,9.261563332e+01,9.948530115e+01,8.912932860e+01,7.904282794e+01
9.440684835e+00,6.229833804e+01,8.134974324e-01,8.245286624e+01,3.842557572e+00,6.246032952e+01
5.833103155e+01,3.950417671e+01,8.193810517e+01,9.663060771e+01,3.287225634e+01,7.637709458e+01
2.172014979e+01,3.912935832e+01,6.354527853e+01,2.471782665e+01,6.347460507e+01,3.409095077e+01
1.639582305e+01,3.103638120e+01,4.960428834e+01,6.078538308e+01,9.287733254e+01,7.836974343e+01
