v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75
3.679837182e+01,5.175368606e+01,7.137329173e+01,1.854515256e+01,7.611370824e+00,5.068871122e+01,8.447811305e+01,3.033936061e+01,3.721302716e+01,5.117258689e+01,2.342833685e+01,2.939984609e+01,4.088428929e+01,9.046391133e+01,4.388103590e+01,5.960772076e+01,6.838258370e+01,9.319366330e+01,9.221115164e+01,1.003713474e+01,5.683529996e+00,7.036307804e+01,3.301764908e+01,1.605151690e+01,2.641248686e+00,2.192891801e+01,8.115544751e+01,4.491634477e+01,8.762206540e+01,7.244490393e+01,6.903545818e+01,2.366304955e+01,9.275655509e+01,2.571627311e+01,4.757886025e+01,4.775870733e+01,7.710043783e+01,6.162176837e+00,8.524730088e+01,7.378041797e+01,2.707791071e+01,9.309400938e+00,3.836835627e+01,8.353762375e+00,6.266091276e+00,9.678586531e+01,4.247741268e+01,7.270542816e+01,3.525003483e+01,9.034788592e+01,9.026188563e+01,4.897922768e+00,4.728450300e+01,2.557203332e+01,8.143089926e+01,8.792412162e+01,1.385739824e+01,8.451523748e+01,2.203562523e+01,7.425283377e+01,2.771360252e-01,5.587751441e+01,8.185987573e+01,7.127636831e+01,9.347599419e+01,7.912498668e+01,2.648315201e+01,7.492378734e+01,8.876107555e+01,5.094528915e+01,5.466917957e+01,6.314237710e+00,1.308860675e+01,4.019672507e+01,6.055681226e+01
6.141688191e-01,7.736461416e+01,9.338572879e+01,8.125308042e+00,1.628880153e+01,9.367596648e+01,3.107394828e+01,1.908060304e+01,3.877966917e+01,6.963485524e+01,5.883975103e+01,2.495175603e+01,2.241864050e+01,8.098851715e+01,5.158973720e+01,7.530283224e+01,9.588239807e+01,9.199130455e+01,2.209935033e+01,5.775687268e+00,9.046124910e+01,5.171179004e+01,6.325265066e+01,2.270013005e+01,7.310357348e+01,1.709336999e+01,3.607060255e+01,5.736897078e+01,2.463636615e+01,8.130809256e+00,6.936205348e+01,9.147373994e+01,6.478121061e+01,8.643143596e+01,9.245921785e+01,5.422421485e+01,6.688827787e+01,5.686765508e+01,5.343252844e+01,1.157503153e+01,9.225215966e+01,1.004079314e+01,4.923192089e+01,4.757576289e+01,8.156868844e+01,5.396905233e+01,1.686038676e+01,8.728880789e-01,3.769697624e+01,4.066196533e+01,2.355179976e+01,4.330751069e+01,6.619055962e+01,8.882466981e+01,5.399932485e+01,7.760640660e+01,7.528282109e+01,7.210219794e+01,5.949963576e+01,2.812800457e+01,5.090040371e+01,4.067503646e+01,6.247516964e+01,9.216759986e+01,1.705913709e+01,1.380964289e+01,9.259945651e+01,2.342094712e+01,6.601637443e+01,2.597343106e+01,5.600795433e+01,4.992349656e+01,7.670262074e+01,5.829950750e+01,8.400857704e+01
8.405598849e+01,4.183229330e+01,7.017763150e+01,3.575015347e+01,6.856784691e+01,8.741603131e+00,4.674876454e+01,1.258751658e+01,2.898980293e+01,2.234141997e+01,3.028649650e+00,4.967946682e+01,1.909966842e+00,3.072184146e+01,8.083983027e+01,3.838422926e+01,2.855974551e+01,1.339025684e+01,2.480898895e+01,2.151598143e+01,2.514278557e+00,8.164337213e+00,1.465276524e+01,3.961812695e+01,4.498601545e+01,7.158014216e+01,1.571876835e+01,9.168158266e+01,1.400358030e+00,4.039399217e+01,4.849322302e+01,4.032880625e+01,2.981317517e+01,3.121063832e+01,2.209018488e-01,6.176960456e+01,6.128809689e+01,9.373589862e+00,1.241705562e+01,2.035207300e+01,2.091913266e+01,1.952584551e+01,1.557570158e+01,9.539890602e+01,7.800185250e+01,7.117521176e+01,5.880330010e+01,8.951578220e+01,4.175369867e+01,2.221853038e+00,4.575445794e+01,5.500107385e+01,9.974392549e+01,4.220701231e+01,2.141035978e+01,6.511737941e+01,1.087186395e+01,8.178219278e+00,9.356898922e+01,1.507310050e+01,5.932138313e+01,3.331882568e+01,4.170300547e+01,4.081520731e+01,2.652411753e+01,7.262837567e+01,6.854943737e+01,6.223439231e+01,8.914537554e+01,6.652196582e+01,2.049781250e+01,7.501848246e+01,4.068113124e+01,7.622741640e+01,6.047087604e+01
2.356064178e+01,2.218493767e+01,5.454408404e+01,2.907705657e+01,9.849553333e+00,5.330686293e+01,8.155533909e+01,5.890141031e+01,9.091445956e+01,4.232287929e+00,9.068076178e+01,8.265279163e+01,1.882897184e-01,8.987015527e+01,2.482205562e+01,6.260367332e+01,1.466904356e+01,8.756072715e+01,7.964332245e+01,1.676511773e+01,7.591726839e+00,7.319199116e+01,2.333169540e+01,3.075625106e+01,4.975655941e+01,6.546003094e+01,7.001715906e+01,5.490236731e+01,4.731985085e+01,4.107491919e+01,4.793326502e+00,1.174862877e+01,9.173349604e+01,2.017812554e+01,6.188851669e+01,9.667709946e+01,1.172195282e+01,8.677272189e+01,9.819440938e+01,3.393004336e+01,6.430391122e+01,5.393623054e+01,7.614385126e+01,9.095423142e+01,3.200715721e+01,8.907914417e+01,9.130106481e+01,4.051048680e+01,2.414804559e+01,5.871941680e+01,6.532042390e+01,4.958708034e+01,8.432799066e+00,7.530115571e+01,4.209493716e+01,7.712894691e+01,3.046739259e+01,5.348326711e+01,1.334759196e+01,9.051469962e+01,5.981794912e+01,2.800453100e+01,7.818234571e+01,1.653747960e+01,8.711096398e+01,5.401172796e+01,5.131845214e+01,3.152345565e+00,3.778129343e+01,7.612638853e+01,1.734935939e+01,1.532582764e+01,8.756007488e+01,2.576464891e+01,7.285699862e+01
3.405659476e+01,1.239558715e+01,6.358685979e+01,9.789039070e+01,9.288808973e+01,1.482504246e+01,3.757862451e+01,3.088222857e+01,2.597937417e+01,9.138959200e+01,7.162461205e+01,2.928164297e+01,2.807530468e+01,4.367946600e+01,4.372478187e+01,2.752551222e+01,9.345877335e+01,3.902618464e+01,4.754999542e+01,4.049050419e+00,1.522720507e+01,1.153451383e+01,5.845660595e+01,2.053219194e+01,8.779057131e+01,6.966931536e+01,1.221437517e+01,4.817210503e+01,6.661951392e+01,4.725881214e+01,2.314160291e+01,1.292091362e+01,3.438190258e+01,2.932994561e+01,1.120513627e+01,5.057472598e+01,9.677397177e+00,4.344314648e+01,2.871156287e+01,5.758754696e+01,4.308889273e+01,9.903152880e+01,1.153280486e+01,3.437495793e+00,8.509287824e+01,6.757255063e+01,2.194857394e+01,6.137489736e+01,2.424020394e+01,4.127271925e+01,8.339333890e+01,1.621118170e+01,8.986256452e+01,6.517950325e+01,8.299124602e+01,3.551464836e+01,1.362954071e+01,8.921115041e+01,4.234554602e+01,1.569594580e+01,3.803629473e+01,5.616511145e+01,2.524193409e+01,1.544941821e+01,3.624601672e+01,9.837173173e+00,6.937327513e+01,4.837638329e+00,4.553449177e+01,2.704550954e+01,3.558764781e+01,9.538996121e+00,5.558190707e+01,8.139837533e+01,1.105234568e+01
6.128091777e+01,4.049411478e+01,5.218076161e+01,3.908258300e+01,2.582468410e+01,7.739956938e+00,9.571088589e+01,9.934462153e+00,8.224601686e+01,1.946966527e+01,7.401734504e+01,4.335987899e+01,1.763500774e+00,9.225751799e+01,8.689762623e+00,2.068282421e+01,8.070335829e+01,9.238285628e+01,6.028671226e+01,3.748460551e+01,7.847485983e+01,6.739316131e+01,5.674066255e+01,4.187033146e+01,7.659654826e+01,4.184391457e+00,9.911199634e+01,8.972158346e+00,7.161697012e+01,9.983486518e+01,6.118909845e+01,7.630257016e+01,7.113704675e+01,8.931280694e+01,9.738986220e+01,1.890650124e+01,5.974786967e+01,7.950739720e+01,2.338427565e+01,7.999616621e+01,6.123339777e+01,3.675223844e+01,9.697925637e+01,3.750201209e+00,6.749152614e+01,4.151586899e+01,1.730614037e+01,3.837191665e+01,3.455909791e+01,2.222857597e+01,8.486321277e+01,5.650381622e+01,8.878598185e+01,5.623206429e+01,1.366874950e+01,7.842290946e+01,5.763024279e+01,4.521881310e+01,2.767016523e+01,2.064280342e+01,9.766076037e+01,2.792554308e+01,4.885700101e+01,8.104854936e+01,6.245077842e+01,5.598355639e+01,6.484633747e+01,2.012928594e+01,1.485104048e+01,2.046271335e+01,2.843339463e+00,4.421198687e+01,4.943443436e+01,5.949903275e+01,2.676774228e+01
5.400693113e+00,6.345770531e+01,9.549860135e+01,3.973456765e+01,7.303164408e+01,9.768785947e+01,3.234488291e+01,8.610349414e+01,6.322908510e+01,6.203563140e+01,8.484546305e+01,6.753826430e+00,2.298377709e+01,4.376302448e+00,3.101412508e+01,4.119905353e+01,2.649143713e+01,6.944529834e+01,4.496017417e+00,4.727877522e+01,2.717845334e+01,5.073723948e+01,6.595269247e+01,7.946178980e+01,2.540031327e+01,6.285483715e+01,4.238937367e+01,2.598653904e+01,9.015298467e+01,5.845483453e+01,7.746670863e+01,1.864384223e+01,8.055892328e+01,1.665029998e+01,7.786745870e+01,6.965949652e+01,1.078271874e+00,2.116088784e+01,9.455238294e+01,3.912084416e+01,3.409387631e+01,9.103809104e+01,5.932935616e+01,3.344694332e+01,1.211775482e+01,5.285152844e+01,2.177245846e+00,5.496522381e+01,6.981893795e+01,9.190728546e+01,4.763013992e+01,7.748655087e+01,3.591427249e+00,3.738363123e+01,7.376920726e+01,5.978196833e+01,8.801553190e+01,2.575806725e+01,5.323106919e+00,7.139410765e+01,9.752285151e+01,7.432896275e+01,1.423935180e+01,5.991910151e+00,9.245027161e+00,9.235016686e+01,8.398942714e+01,4.725573391e+01,6.668670001e+01,6.811308339e+01,9.073600823e+01,1.571287265e-01,9.035217612e+01,6.603251335e+01,6.621948755e+01
1.080315136e+01,5.750360535e+01,6.061801090e+01,6.611272125e+00,8.499036502e+01,6.099237503e+01,4.963206985e+01,1.309809984e+01,6.479606463e+00,7.666073590e+01,5.990445288e+01,9.110246329e+01,5.616092929e+01,3.531431216e+01,1.958886156e+01,7.820737267e+01,4.259534989e+01,7.041819519e+01,7.125299189e+01,6.283873324e+01,4.467870100e+01,3.149552950e+00,8.008868354e+00,7.036185082e+01,4.188682460e+01,3.819196948e+01,4.332857427e+01,4.315704552e+00,3.683590818e+01,3.720733504e+01,9.006371964e+01,1.702090896e+01,1.034829129e+01,9.188845558e+01,7.997496839e+01,3.738399815e+01,2.108446753e+01,2.004182759e+01,6.052155951e+01,4.557307260e+01,6.733090637e+01,9.405961443e+01,8.438717328e+01,7.382345915e+01,1.569060235e+01,1.669521354e+01,2.441172604e+01,6.189048188e+01,5.634944741e+01,5.669769483e+01,1.331395636e+01,9.123010321e+00,1.034382868e-01,3.205873651e+01,5.010930499e+01,3.499156476e+01,7.143976802e+00,7.122839267e+01,5.751064886e+01,8.012018419e+01,9.434373674e+01,1.873513552e+01,6.485359862e+01,4.094185523e+01,9.742848361e+01,9.317800206e+01,2.737157693e+01,6.374760128e+01,1.500771650e+01,8.045846620e-01,9.235752524e+01,2.675989422e+00,4.387100658e+01,2.178994865e+01,1.607820230e+01
9.542799670e+00,3.821603766e+01,3.947128343e+01,8.457083313e+01,1.661011366e+01,1.153971820e+01,1.628098301e+01,7.219033302e+01,4.786176849e+01,1.983991544e+01,3.472400180e+01,8.743309556e+00,3.777586103e+01,7.385872184e+01,5.751889116e+01,4.312029163e+01,8.135654264e+01,6.348147697e+01,3.881316750e+01,7.973262717e+01,9.764829308e+01,9.344695651e+01,7.486398043e+00,6.537822252e+01,4.485388115e+01,3.411849513e+01,7.164847367e+01,8.445545672e+01,8.096777730e+01,1.036414932e+01,3.727357805e+01,9.853287253e+01,1.579991475e+01,8.724297358e+01,7.927119359e+01,4.434864505e+01,7.446952615e+01,9.198178466e+00,3.220763217e+01,1.855400949e+00,8.322814082e+01,1.084553159e+01,8.303279038e+01,3.888162487e+01,9.878594982e+01,8.409170704e+01,5.705239116e+01,2.317640607e+01,1.215438020e+01,3.549669230e+01,8.228904753e+01,4.630600670e+01,6.752341298e+01,6.497206702e+01,2.115184457e+01,7.352270252e+01,5.533531939e+01,9.288972296e+01,9.325814832e+01,7.203627312e+01,3.594177971e+01,1.451625928e+00,7.835218303e+01,3.281197413e+00,7.981979127e+00,1.924898036e+01,7.708525582e+01,6.781240082e+00,3.072666088e+01,6.826948214e+01,4.227557268e+01,6.100632313e+01,7.735634511e+01,7.899090127e+01,2.024436206e+01
5.559581066e+01,4.528412560e+01,2.383381647e+01,2.160526613e+01,6.209037154e+01,1.089329161e+01,3.869547635e+00,6.069748753e+01,6.481110292e+01,6.387809387e+01,7.310472267e+01,3.582116275e+01,8.434740714e+01,9.376761837e+01,4.024469505e+01,6.688060376e+01,1.372338411e+01,6.753777967e+01,4.987473298e+01,2.180711123e+01,9.346151527e+01,3.289695051e+01,1.338557042e+01,1.414666679e+01,4.191971190e-01,6.560912586e+01,3.577559005e+01,7.706957939e+01,6.563021014e+01,2.842423303e+01,3.860101110e+01,2.200429540e+01,1.867414137e+01,2.384786726e+01,7.651166125e+01,4.138261949e+01,2.239508221e+01,8.427524323e+01,3.127417130e+00,5.688143313e+01,1.826743435e+01,8.617101046e+01,1.595419308e+01,6.939487476e+00,2.312862886e+01,9.054784949e+01,9.144097158e+01,7.225928028e+01,3.751531473e+01,1.614905117e+01,9.267364541e+01,7.896841530e+01,5.171493845e+01,3.184449637e+01,4.995606023e+01,4.618364140e+01,3.103504121e+01,5.358483238e+00,5.228813852e+01,1.382853633e+01,4.040226481e+01,9.992811006e+01,3.978215724e+01,9.553766712e+01,1.843520769e+00,4.152272225e+01,6.280352890e+01,1.126001098e+01,6.747814806e+01,9.370475888e+01,4.547566549e+01,2.097199074e+01,8.106596602e+01,9.568282433e+01,1.305221367e+01
