v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48
9.522701774e+01,7.344925631e+01,1.791535734e+01,4.134298109e+01,7.296954974e+01,4.282996238e+01,6.686852999e+01,1.539010462e+01,1.412854731e+01,9.264930234e+01,8.193044666e+01,3.875738959e+01,5.343697885e+01,9.353143438e+01,9.197134246e+00,4.949852470e+00,3.672274202e+01,4.046852788e+01,9.804391473e+00,9.308208080e+01,8.743207094e+01,7.982455809e+01,5.141269329e+01,6.960076600e+01,5.686791118e+01,1.686005050e+01,3.429467208e+01,4.542571431e+00,9.606193126e+01,2.523605846e+01,3.096549473e+01,9.079324257e+01,9.498895167e+01,6.897691786e+01,4.854700340e+01,4.047196915e+01,9.059897652e+01,2.523611195e+01,4.357333560e+01,3.716781886e+00,7.048767695e+00,9.907803995e+01,4.535641011e+01,4.530372135e+01,7.614787019e+00,2.975097211e+01,6.365202352e+01,3.347050352e+01
8.297746541e+01,4.993148190e+01,3.511855914e+00,3.554408164e+01,3.688784130e+01,8.608598749e+01,3.636454000e+01,4.988067080e+01,6.846182326e+01,1.801702966e+01,1.693377660e+01,7.880671917e+01,8.012962040e+01,6.400860478e+01,9.757581136e+01,8.157075169e+01,7.158168993e+01,1.972421700e+01,7.660345912e+01,3.536044264e+01,7.440555532e+01,5.764366064e+01,5.381027802e+01,7.956871935e+01,8.873167200e+00,9.274428845e+01,4.998911971e+01,4.935627982e+01,8.860906598e+01,7.237464084e+01,8.255182102e+01,7.883974041e+01,8.079820889e+01,1.364530799e+01,9.640813016e+00,2.565893650e+01,9.473955527e+01,4.898289429e+01,1.324225714e+01,1.594382677e+01,2.281544360e+01,3.125802921e+01,6.212597751e+01,3.601761425e+01,5.691184613e+01,3.127453799e+01,6.924819380e+01,7.490400950e+01
5.424772333e+01,4.197443600e+01,1.475960799e+01,4.556510556e+01,9.750813279e+00,5.388330208e+01,2.832244658e+01,9.744117040e+01,2.139250221e+01,4.663904570e+01,6.478344154e+01,4.204410719e+01,7.531926920e+01,3.349905548e+01,6.312785145e+01,4.745103208e+01,9.321707740e+01,6.585291808e+01,6.050342147e+01,4.831774610e+01,3.774736850e+01,7.051234276e+01,7.346025160e+01,4.272976863e+01,8.399775789e+00,1.321204509e+01,6.285550821e+01,3.501248358e+01,1.522292187e+01,2.904318829e+01,3.511980896e+01,1.800745185e+01,4.372926617e+01,5.209001653e+01,2.225458915e+01,8.459668625e+01,7.158519546e+01,2.665953716e+01,4.443147671e+01,7.519881196e+01,1.093604757e+01,4.620610315e+01,3.553740226e+01,9.377184992e+01,6.669966852e+01,3.318382772e+00,2.614709905e+01,5.582231761e+01
9.934512881e+01,9.457789742e+01,4.390366618e+00,4.464814678e+01,9.857367810e+01,9.794139027e+01,7.536429953e+01,3.727864918e+01,2.406274019e+01,9.953491173e+00,8.594307301e+01,9.612287129e+00,3.498939644e+01,6.330549661e+01,8.336513127e+01,9.617518038e+01,1.991456063e+01,8.154233978e+01,7.581870685e+01,5.623402121e+01,9.079489061e+01,4.905037518e+01,1.104330357e+01,2.224199607e+01,5.352137251e+01,6.402094801e+01,6.066334050e+01,3.219448056e+01,8.515547207e+01,1.272672383e+01,4.137517290e+01,5.292333076e+01,7.596622082e+01,4.668016519e+01,2.040665120e+01,9.604728834e+01,9.016685022e+01,3.245976012e+01,6.430630207e+01,1.508443819e+01,6.927670148e+01,9.092423897e+01,2.978266955e+01,1.011927682e+01,2.422348321e+01,2.604440262e+01,6.119838814e+01,7.197234415e+01
4.855865235e+01,5.887132859e+00,7.160089871e+01,9.281620443e+01,5.500456172e+01,1.684691046e+01,9.073885884e+01,7.340151040e+01,5.356473769e+00,7.123553790e+01,3.208067784e+01,6.566126966e+01,9.797209270e-01,3.760313910e+01,4.662025649e+01,6.405633449e+01,5.675607826e+00,3.773642976e+01,8.087688965e+01,3.759223534e+01,6.361722484e+01,7.818790213e+01,3.441488123e+01,3.027655983e+01,7.924686233e+01,5.529645240e+01,7.522614566e+01,5.902563818e+01,5.661447293e+00,6.137961670e+00,4.536238596e+00,5.244252186e+01,5.347721721e+01,6.869359889e+01,1.480146582e+01,4.749080276e+01,5.954823926e+01,4.413805962e+00,3.632419786e+01,1.199989739e+01,1.692106796e+01,6.116822666e+00,4.976169784e+01,5.463458950e+01,2.573559202e+01,9.107021481e+01,4.413399125e+01,6.034367062e+01
4.749080421e+01,4.678660038e+01,6.258844816e+01,6.015058230e+01,6.292651725e+01,4.400679622e+01,7.646114199e+01,7.981349876e+01,1.658307763e+01,1.925921295e+01,1.347871336e+01,1.022080509e+01,1.330861236e+01,1.538358668e+01,8.549265401e+01,1.438796527e+01,9.134504014e+01,8.890473952e+01,4.832775471e+01,5.093750626e+01,6.809982279e+01,6.813584072e+01,4.143168524e+01,8.461856211e+01,3.620382509e+01,8.082285237e+01,1.579278039e+01,2.351417205e+01,6.764139152e+01,5.818942334e+01,8.949574196e+01,5.039061206e+01,6.702921068e+01,1.109437249e+01,1.555406861e+01,7.936130231e+01,4.787209147e+01,3.809967669e+01,9.845844783e+01,7.149231612e+01,6.752039519e+01,5.708569072e+01,2.780883818e+01,9.656297189e+01,6.554260348e+01,8.238678778e+01,4.489045834e+01,5.485258913e+01
5.212291711e+01,5.640834237e+01,8.031460534e+01,9.033602521e+01,6.972385934e+01,3.357982995e+01,4.380495236e+00,5.571938015e+01,8.716689243e+01,7.953727600e+00,8.060474919e+01,4.667422410e+01,8.633029731e+01,8.630315476e+01,2.936674907e+00,7.508281218e+01,2.074365248e+01,9.863186084e+01,6.627368268e+01,5.718540959e+01,2.175382811e+01,6.789687846e+01,2.197505252e+01,1.069574785e+01,2.872320543e+01,3.345183225e+01,4.541400286e+01,9.404276314e+01,8.923284414e+01,4.241395596e+01,4.898331224e+01,2.001592011e+01,2.795929075e+01,4.336813398e+01,5.271142206e+01,5.570812219e+01,5.969425023e+01,9.754931486e+01,4.301756772e+01,1.382322030e+01,4.835962724e+01,1.134798156e+01,7.016975426e+00,8.206336038e+01,5.339224958e+01,7.236108647e+01,3.149358452e-01,7.886710671e+01
4.971244242e+01,2.983548429e+01,3.687228293e+01,5.125314427e+01,2.350605790e+01,6.745309290e+01,1.532482704e+01,2.216081546e+01,9.017729790e+00,2.307337709e+01,9.649873531e+01,4.214479214e+01,3.447017490e+01,6.012343452e+01,3.742298487e+01,8.897009372e+01,6.438378458e+01,6.690909526e+01,4.969304250e+01,6.702749032e+00,4.640939236e+01,4.397694952e+01,1.951994752e+00,2.410295307e+01,7.698904446e+01,5.492482453e+01,4.424495340e+00,7.441203521e+01,7.349480355e+01,1.965707959e+01,5.947066893e+01,1.592697346e+01,7.232822149e+01,3.013740011e+01,8.036620128e+01,9.123977315e+01,8.816896828e+00,4.760690340e+01,4.613088510e+01,9.966967717e+01,1.414276864e+01,5.151306126e+01,5.689314383e+01,4.125353892e+01,6.296908072e+01,6.406054661e+01,5.130697470e+01,9.673249168e+01
6.335666212e+01,6.812754452e+01,6.284363231e+00,8.425063484e+01,3.178403346e+01,1.919641614e+00,8.067595625e+01,9.805253157e+01,1.255672258e+01,4.533224096e+01,5.880560817e+01,1.251443449e+01,7.826556674e+01,4.540619741e+01,4.052823745e+01,4.114136670e+01,2.881434033e+01,6.373524374e+01,6.041523741e+01,3.881156373e+01,3.196567112e+01,5.122061144e+01,6.683136563e+01,5.248647095e+01,5.272737797e+00,7.763965278e+01,8.848638077e+01,2.779725940e+01,3.009673512e-01,2.761159068e+01,3.826081410e+01,4.366096285e+01,3.998484175e+01,5.877764605e+01,2.488026743e+01,1.949295400e+01,9.270105079e+00,6.833015409e+01,4.508455680e+00,5.250982516e+01,7.676995256e+00,7.955343333e+01,8.643198160e+01,6.411786623e+01,4.505425022e+01,9.533099199e+01,2.711946731e+01,5.984668652e+01
4.258511928e+01,6.888132294e+01,2.953412389e+01,6.626314745e+01,1.089514223e+01,3.218735983e+00,5.967737205e+01,2.042309760e+01,5.793885471e+01,8.660027950e+01,8.169573514e+01,3.530802646e+01,8.353323879e+01,7.164798208e+01,5.803689182e+01,7.577565549e+01,7.865378051e+01,2.741318344e+01,5.004664509e+01,9.613890899e+00,1.385194294e+01,4.094529895e+01,5.508175073e+00,2.588011886e+01,7.667831996e+01,7.332973830e+01,8.417436330e+01,6.062716224e+01,5.486455792e+01,9.658612660e+01,6.344285583e+01,2.257889399e+01,6.603942003e+01,7.986874953e+01,3.067059253e+01,1.874165911e+01,3.402404626e+01,3.236630659e+01,8.159143894e+01,4.827106685e+01,2.006897980e+01,2.695150144e+01,2.890128375e+01,8.770144808e+01,9.790050027e+00,4.617494542e+01,3.996859525e+01,8.731499604e+01
6.781335969e+00,3.306096391e+01,9.743437852e+01,3.447874045e+01,1.370717330e+01,9.362871093e+01,3.902073567e+01,5.458807264e+01,3.447968833e+01,7.672806892e+00,6.571300754e+00,5.656082499e+01,4.849103117e+01,3.851912379e+01,8.879533414e+00,3.912373168e+01,8.704774892e+01,1.898339994e+00,2.014365240e+01,2.391082455e+01,9.251115332e+01,6.171202425e+01,7.941722220e+01,1.596234956e+01,8.021845904e+01,8.523903027e+01,2.030729047e+01,3.112888008e+01,2.854636554e+01,9.470792992e+01,4.801835379e+00,1.646265681e+01,2.257890241e+01,7.891379044e+01,5.814431614e+01,2.125853304e+01,6.035104688e+01,2.376467213e+01,5.022524629e+01,4.950512253e+01,5.486418137e+01,6.306666750e+01,2.963367792e+01,2.751425024e+00,7.550652622e+01,6.352870809e+01,1.140460481e+00,4.802149219e+01
4.996307160e+01,8.137504195e+01,9.143676417e+01,4.215152986e+01,1.994096132e+01,7.236276006e+01,5.293194767e+01,2.869231678e+01,7.194523176e+01,9.380632061e+01,1.185633452e+01,6.472570114e+01,4.934166038e+01,9.948882811e+01,7.075346590e+01,7.820479442e+01,2.933369936e+01,6.141774858e+01,4.759933384e+01,7.052352319e+01,5.066249554e+01,2.144279294e+01,8.346651819e+01,1.690016100e+01,8.525898201e+01,9.896344252e+01,8.585314464e+01,9.558741013e+01,9.214528821e+01,5.992702036e+01,6.855724631e+01,9.380168176e+01,7.511529265e+01,2.530865025e+01,2.898460627e+01,1.474964379e+01,2.468449163e+01,9.408402768e+01,5.717995086e+01,3.120293378e+01,8.516209818e+01,4.466972910e+01,7.131937442e+00,1.449129197e+01,5.519149849e+01,8.375164283e+01,8.275719203e+01,4.038346445e+01
5.126576712e+01,1.863859222e+01,4.183586769e+01,4.188617105e+01,2.639572146e+01,9.118150878e+01,4.666822733e+01,3.610700462e+01,9.070249862e-01,1.704590214e+01,9.791889930e+01,5.885378564e+01,8.546107061e+01,7.531347998e+01,5.340072009e+01,4.423180027e+01,7.449728102e+01,4.651496590e+01,4.110868781e+01,2.099711252e+01,8.711021251e+01,7.035402419e+01,9.043377010e+01,3.105306088e+01,1.677439176e+01,7.287244432e+01,6.607002414e+01,8.080174089e+01,9.808026688e+00,1.418913431e+01,9.582863910e+01,3.795837287e+01,5.224181906e+01,2.082670273e+01,9.986987784e+01,6.018124712e+01,7.834789097e+01,5.673221308e+01,7.684058807e+01,8.732732880e+01,6.309704120e+01,2.883651350e+01,6.979241852e+01,5.792671889e+01,3.487147987e+01,7.318241369e+01,7.099147431e+01,8.545679848e+01
5.378397167e+01,1.760156217e+01,8.047537443e+01,3.709612375e+01,4.146685947e+01,4.953041555e+01,7.367963007e+01,1.856646206e+01,8.561268393e+01,6.165220460e+01,2.289631070e+01,9.005046701e+01,3.705178880e+01,9.871405984e+01,4.688184376e+01,3.448420371e+00,6.926825842e+01,6.083880193e+01,2.889394610e+01,1.799461324e+01,7.230312164e+01,8.105265103e+01,7.132574716e+01,8.801255436e+01,6.519764024e+00,6.918364043e+01,9.186968593e+01,7.074125990e+01,5.308078868e+00,6.661953125e+01,7.081397767e+01,4.397991102e+01,5.678090376e+01,6.941996875e+01,2.632623442e+00,9.444162191e+00,6.967872110e+01,6.598416933e+01,8.915350593e+00,8.221337671e+01,6.955724298e+01,1.716972596e+01,4.166741521e+00,4.259493419e+01,9.520202771e+01,3.540580156e+01,5.071786162e+01,6.952100655e+01
4.165320045e+01,9.930100878e+01,2.637945159e+01,7.828058879e+01,4.261903617e+01,4.062478150e+00,5.052971033e+01,5.417705595e+01,3.936388631e+01,1.567801308e+01,4.936445090e+01,2.344739815e+01,7.650014395e+01,6.987290667e+01,6.661258065e+01,1.009347902e+01,2.324598739e+01,2.620678612e+01,5.152986562e+01,7.391400040e+01,6.384745293e+01,6.460979239e+01,1.267349641e+01,9.135415658e+00,2.679365432e+01,6.764761866e+01,8.538839568e+01,8.525469089e+01,2.444475717e+01,3.444010522e+01,9.948444251e+01,2.163914114e+01,7.397457210e+01,3.379927404e+01,6.981729004e+01,6.803196363e+01,7.312217051e+01,8.767388891e+00,7.258847311e+01,3.905821665e+00,8.892701132e+01,9.370038072e+01,9.197676711e+01,2.859388265e+01,3.937770102e+01,3.922092115e+01,8.266285026e+01,2.293095792e+01
4.645958468e+01,8.739723116e+01,5.127113146e+01,5.840102802e+01,6.591638396e+01,2.144366980e+01,3.278808636e+01,2.496615171e+01,5.337028180e+01,4.738768161e+01,2.846289034e+01,2.128377657e+01,7.451704095e+01,2.947692954e+01,5.575716775e+01,7.046752719e+01,2.375089950e+01,5.895353585e+01,9.301275508e+01,5.283364077e+01,1.085628337e+01,5.616080645e+01,9.100975975e+01,3.112903444e+01,4.772378282e+01,6.843263928e+01,2.560122842e+01,5.490862872e+01,1.081664680e+01,4.082264008e+01,4.400901600e+01,2.396658054e+01,4.767787821e+01,2.311629075e+01,1.246482560e+01,8.087380561e+01,6.405584486e+01,8.353977699e+01,7.220293828e+01,7.650278732e+01,1.018584067e+01,7.271534067e+01,1.274407785e+01,8.788507752e+00,6.500790792e+00,3.987682604e+01,5.301807431e+01,5.686431792e+01
8.212821295e+01,2.995856090e+01,7.154397207e+01,8.530935293e+01,2.743364347e+01,4.081211027e+01,5.062915529e+01,6.979342751e+01,6.145982571e+01,2.662741995e+01,1.578893731e+01,8.927359601e+01,4.828382690e+01,9.558605631e+01,1.984325031e+01,8.974366605e+01,6.848363185e+01,7.587948491e+01,7.025807249e+00,4.181180743e+01,2.794951217e+01,9.067836310e+01,8.013748135e+01,1.163808542e+01,1.233795012e+01,7.917459694e+01,2.184234549e+01,6.341678001e+01,9.424513732e+01,1.597910434e+01,6.142336209e+01,8.288093013e+01,6.003908584e+01,6.535231686e+01,8.212583347e+01,3.871803757e+00,1.263634739e+01,9.335869929e+01,3.442290872e+01,9.217269925e+01,4.872944493e+00,3.761832738e-01,3.963522017e+01,8.212735692e+01,2.104950573e+01,5.303105139e+01,7.779762400e+01,8.254219803e+01
9.913009283e+01,2.337390588e+01,6.868236101e+01,9.674232753e+01,1.193003973e+01,1.404959626e+01,3.516798281e+01,4.616957414e+01,6.895211501e+01,4.589921150e+01,4.648441630e+01,3.479006849e+01,6.288005885e+01,7.625813036e+01,1.727582269e+01,3.598554535e+01,5.387258078e+01,6.190188261e+00,6.983892302e+01,1.838769684e+01,8.054958792e+01,7.248445918e+01,2.974981150e+01,2.679129006e+01,7.064253799e+01,9.201004165e+01,5.110209673e+01,3.908568350e+01,8.936260686e+00,5.007286741e-01,8.077856720e+01,7.989771662e+01,1.472553424e+00,1.711975738e+01,3.679633577e+01,7.988416718e+01,8.925094020e+01,8.415339003e+01,3.643159779e+01,2.828249961e+01,1.485856369e+01,3.965693187e+01,4.052892674e+01,3.750651812e+01,1.011221505e+00,1.905631739e+01,3.894880514e+01,2.906382869e+01
7.513417650e+01,3.712412557e+01,6.637547028e+01,2.319986032e+01,9.768124935e+01,4.814303970e+01,8.983471061e+01,2.036130351e+01,7.868382474e+01,7.266781033e+01,8.271122146e+01,2.835031902e+01,5.439053837e+01,9.364254977e+01,5.549569031e+01,9.808819247e+01,5.691066721e+01,4.132087028e+01,6.279618525e+01,2.471679550e+01,7.830752828e+01,2.731449886e+01,6.925058497e+01,5.077754015e+01,2.309570777e+00,5.629969752e+01,1.732795635e+01,6.226471522e+01,4.457635963e+01,5.363191985e+01,7.313660452e+01,4.326445376e+01,7.583562460e+00,4.624180041e-01,4.054960155e+01,8.261677924e+01,6.452807529e+01,6.902579748e+01,2.948313378e+01,2.523381040e+01,5.759803927e+01,3.413662530e+01,1.381586465e+01,9.312856637e+01,8.720234346e+01,7.696129652e+01,6.013280407e+01,4.600636590e+01
8.694410026e+00,3.610173966e+01,4.116718186e+01,3.547649737e+01,6.037029963e+01,9.961458033e+01,1.327390501e+01,5.086354963e+01,9.943065222e+01,1.235608969e+01,2.334548619e+01,1.605828617e+01,7.140877413e+01,1.540183770e+01,4.731348420e+01,3.718807806e+01,6.322061478e+00,5.305585275e+01,3.561937594e+01,1.010889409e+01,9.630684123e+01,4.304607564e+01,5.922766991e+01,2.046012806e+00,2.422147048e+01,9.349090517e+01,1.378466821e+01,1.688548264e+01,1.375929612e+01,3.338834046e+01,1.880295991e+01,4.347324895e+01,9.106085278e-01,1.300414013e+01,9.161843408e+01,3.951433057e+01,5.305757825e+01,5.854310336e+01,8.193719895e+01,4.060152196e+01,3.880765586e+01,3.764282869e+01,5.605525927e+01,1.828595696e+01,1.678803853e+00,5.237236409e+01,6.316923514e+01,3.388053376e+01
8.641173154e+01,5.394375487e+01,5.260993201e+01,1.090374683e+01,6.952089540e+01,9.018349688e+01,7.374813168e+00,5.251209330e+01,1.639030111e+01,4.363315726e+00,8.486384021e+01,9.221192797e+01,2.102750506e+01,9.124406223e+01,9.071571332e+01,1.862505433e+01,5.279698592e+01,1.319750103e+01,2.203280317e+01,7.288511711e+01,3.257501162e+01,6.606313893e+01,6.111279614e+01,2.900855687e+01,5.663609672e+01,4.063167285e+00,7.191442860e+01,4.647893528e+01,9.141341436e+01,1.585588893e+00,4.658534324e+01,6.260418403e+01,6.198345537e+01,8.474336679e+01,2.741577381e+01,5.407614092e+01,7.278360296e+01,7.687848762e+01,5.564595546e+01,5.601443486e+01,4.242155689e+01,5.044294373e+01,8.891560976e+01,7.601865835e+01,5.866960609e+01,4.435457349e+01,4.571004385e+01,1.049919793e+00
