v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
9.820838502e+01,9.418861773e+01,1.129738032e+00,9.236368770e+01,8.476591087e+01,6.582536854e+01,4.498787328e+01,4.227142391e+01,7.579182540e+01,8.614952602e+01,2.667553936e+01,7.310860824e+01,1.216459666e+01,5.511625210e+01
8.616677051e+01,7.614888828e+01,3.380744792e+01,8.531393974e+01,8.698808190e+01,5.195308649e+01,2.959823862e+01,3.732271118e+00,7.543122363e+01,1.593260522e+01,2.554974730e+01,8.597147710e+01,6.619184003e+01,8.425931265e+01
3.325516562e+01,9.820946845e+01,3.409797444e+01,4.968106235e+01,2.936222263e+01,5.182876974e+01,4.047908645e+01,6.452019300e+00,5.359408702e+01,2.757682713e+01,9.067308030e+01,4.566512877e+01,4.262717692e+01,2.406303288e+01
3.778161390e+01,3.186526377e+01,2.902065361e+01,5.321909036e+01,9.773584257e+01,7.643824586e+00,2.300455764e+00,3.170840638e+01,1.304677436e+01,6.529308344e+01,3.236499087e+01,6.669055635e+00,3.400194364e+01,6.540649862e+01
9.103512115e+01,4.989832581e+00,1.933324293e+01,5.238768244e+01,3.364132686e+00,7.355942227e+01,9.912129060e+01,6.620189473e+01,3.199439398e+01,4.838547488e+01,4.241361992e+01,4.690488640e+01,4.355673736e+01,8.039180744e+01
7.843266647e+01,4.658480803e+01,6.113742507e+01,9.449629375e-01,7.043729906e+01,5.270387153e+01,5.409792586e+01,9.167401835e+01,8.555099725e+01,4.009548104e+01,8.336342203e+01,8.936483252e+00,5.150036052e+01,6.833121780e+01
2.134629021e+01,9.892967716e+01,9.505926359e+01,4.226358671e+01,4.721532409e+01,6.987912424e+00,9.032856008e+01,2.990119289e+01,5.832598145e+01,4.106419131e+01,3.468535798e+01,6.071951284e+01,6.406998336e+01,7.379191831e+01
8.053751903e+01,9.816003290e+01,5.064102484e+01,2.701282516e+01,2.414262145e+01,9.307600212e+01,4.965642997e+01,6.322803574e+01,2.294193059e+01,1.896615363e+01,3.435478744e+00,1.320367142e+01,9.713140966e+01,2.025092306e+01
4.337598947e+01,7.426556408e+01,6.798824319e+01,9.741105416e+01,9.699069365e+01,9.383138402e+01,5.978665166e+01,4.567886243e+01,2.946893221e+01,4.083047447e+01,2.357474373e+01,4.081887568e+01,9.446638808e+01,9.261652176e+01
3.192236555e+01,8.662065124e+01,1.546732699e+01,5.023640153e+01,2.955404181e+01,7.859491894e+01,9.271089319e+01,5.658918651e+01,2.304036442e+01,4.517232424e+01,9.644220770e+01,3.774549642e+01,2.222379046e+01,1.739342730e+01
9.609754572e+01,1.535124421e+01,6.526911863e+01,2.734183847e+01,7.152186216e+01,6.135100257e+01,7.237059869e+01,9.591768122e+01,5.157376137e+00,9.715888154e+01,7.478708386e+01,5.833583124e+01,1.048494695e+00,5.594714022e+01
9.513798440e+01,4.469833496e+01,5.878909709e+01,8.908848332e+01,4.286752698e+01,5.637592463e+00,8.050698896e+01,2.397878382e+01,9.522724536e+01,2.029636697e+01,1.188521551e+01,4.856031728e+00,3.763715192e+01,7.925241011e+01
3.971973400e+00,9.513243521e+01,4.161271657e+01,8.952124220e+00,5.522740605e+01,2.557136431e+01,8.313378103e+01,5.701237825e+01,8.152069447e+00,1.959274976e+01,1.693108363e+01,5.904964928e+01,8.500307838e+01,4.521270795e+01
5.052323586e+01,9.496186531e+01,7.056739248e+01,6.086987799e+00,9.025518629e+00,3.991649944e+00,8.340229926e+01,3.956776165e+01,1.967307453e+01,4.317879508e+01,2.371731719e+01,6.910737928e+01,3.926732517e+01,2.756956746e+01
7.112307765e+01,5.497005370e+01,5.631537650e+01,4.864877216e+01,8.168267669e+00,2.179392920e+01,2.683349481e+01,7.655415439e+01,3.153481448e+01,3.470933792e+01,8.345387510e+01,1.231898500e+01,5.495300282e+01,6.058875298e+01
4.220117775e+01,8.043715124e+01,9.908181362e+01,6.881038930e+01,9.109937073e+01,1.133709069e+01,5.198671239e+01,7.045313746e+01,4.297020812e+01,2.227605742e+00,4.316574340e+00,6.003822855e+01,4.791569995e+01,6.923903525e+01
5.527039842e+01,4.377049104e+01,2.876350040e+01,2.725754794e+01,2.507070162e+01,1.616838377e+01,4.771810084e+01,1.940871675e+00,9.659989795e+01,8.307619580e+01,1.801198035e+01,7.126443186e+01,7.744164882e+01,3.827046463e+00
3.237349152e+01,2.884955198e+01,3.219550373e+00,1.247874504e+01,8.818659002e+01,9.912187917e+00,6.801091173e+01,8.082561753e+01,7.328529265e+01,1.521602121e+01,4.409488691e+01,9.659598299e+01,6.129232983e+01,4.369414191e+01
2.248901883e+00,3.531341752e+01,3.115156521e+00,5.047863980e+01,4.232549366e+01,3.119106017e+01,5.828791496e+01,2.923645594e+01,5.745989129e+01,4.236134094e+01,7.164747547e-01,1.040670665e+01,9.189831725e-01,8.122862469e+01
3.624147347e+01,4.868119855e+01,9.993750338e+01,2.482449226e+01,6.492889053e+01,7.607363796e+01,4.642845982e+01,4.860709408e+01,2.267858936e+01,8.826692936e+00,1.297142284e+01,8.201350321e+01,8.426573356e+01,7.173192714e+01
9.251504268e+01,8.638771467e+01,8.627884959e+01,2.035984369e+00,5.595684162e+01,1.474259925e+01,1.921264176e+01,9.707776549e+00,3.434179908e+01,5.355867911e+01,1.584272672e+00,8.345322385e+01,4.134525991e+01,2.795526223e+01
5.099488697e+00,8.896131215e+00,5.157216403e+01,3.512435054e+01,3.587241096e+01,6.253294530e+01,3.113673831e+01,1.924333386e+01,3.724633852e+01,3.949846656e+01,1.265163951e+01,1.587008186e+01,7.729144300e+01,3.146494051e+01
7.649972087e+01,1.822857391e+01,9.579981043e+01,5.978992560e+01,9.176358466e+01,8.111641857e+01,5.932959432e+01,1.019683754e+00,2.635237494e+01,6.175470895e+01,1.384701367e+01,3.922691954e+01,1.541279544e+01,3.594849694e+01
3.696121725e+01,9.337995363e+01,4.266001445e+01,6.764062054e+01,3.337975502e+01,4.249370430e+01,6.044961735e+01,4.834587250e+01,2.208765804e+01,6.041423590e+01,4.022278088e+01,9.724205762e+01,5.698357910e+01,5.823522658e+01
6.055549807e+01,2.525206898e+00,1.074405666e+00,9.356139985e+01,1.091833722e+01,3.726240493e+01,9.515100205e+01,2.525390551e+01,7.042102695e+01,6.590208854e+01,1.658918128e+01,5.139821061e+01,2.984797743e+01,8.214825825e+01
2.570964571e+01,1.252922101e+01,3.010773290e+01,6.442745323e+01,1.377403646e+01,7.729022756e+00,2.222531171e+01,3.371674697e+01,7.238542472e+00,2.979514829e+01,9.318296560e+01,5.335502032e+01,4.761386234e+01,8.840864355e+01
4.636651006e+01,2.540356774e+01,2.301727110e+00,7.485763552e+01,1.427015909e+01,8.902996350e+01,8.099148366e+01,9.175080113e+01,3.299290681e+01,9.559875720e+01,6.620307322e+01,4.194896324e+01,4.417478773e+01,4.517014341e+01
8.134297126e+01,1.590759445e+01,4.783002774e+01,7.528319530e+01,7.918666732e+01,4.017402597e+01,8.074996020e+01,8.989244544e+01,8.577258762e+01,8.723713034e+01,7.275688270e+01,2.358940027e+01,5.033017100e+01,3.835428249e+01
7.386979294e+01,2.274518919e+01,7.908875883e+01,5.623706188e+01,8.696591691e+00,2.042690268e+01,3.651236755e+00,6.155892298e+01,1.697955866e+01,1.691925057e+01,1.721174516e+00,5.094404511e+01,3.417071159e+01,1.806442034e+01
4.412151911e+01,5.243187390e+00,7.755043733e+01,5.416841013e+00,5.300658466e+01,2.013787392e+01,7.308897865e+01,4.005419832e+01,4.014801517e+01,8.279606315e+01,9.411442895e+00,5.102755276e+01,2.295853010e+01,4.097933832e+01
8.113291480e+01,3.092940283e+01,7.117518994e+01,9.348482655e+01,1.478739494e+01,4.827849063e+01,2.854188541e+01,5.220968955e+01,7.359920983e+00,4.207951021e+01,3.664219034e+01,2.794703450e+01,9.615595820e+01,2.152147358e+00
2.914884983e+01,1.668847775e+01,7.314926600e+01,5.717687651e+01,1.624147609e+01,5.220000113e+01,8.923982198e+00,4.888730367e+01,4.674826680e+00,5.573182321e+01,8.770211521e+01,3.619897743e+01,4.697711144e+00,9.545762694e+01
7.270488642e+01,4.789446696e+01,6.189872209e+01,6.932970137e+01,3.752618361e+01,8.643783540e+01,5.482717594e+01,2.941851971e+01,5.637094793e+01,7.482894711e+01,1.645198593e+01,3.941768825e+01,1.012402120e+01,9.328322366e+01
8.639775455e+01,3.305257878e+01,5.308079146e+01,1.011257024e+01,9.520484373e+01,9.480515582e+01,8.747405809e+01,6.697137574e+01,7.406162592e+01,7.011500300e+01,7.427790684e+00,1.932077224e+01,8.346135722e+01,7.281478830e+01
5.925701023e+01,3.906995142e+01,6.894738628e+01,4.064709395e+01,2.532912371e+01,5.564291117e+01,5.371970657e+01,5.175064964e+01,4.260324374e+01,4.442478548e+01,6.324594896e+01,2.622012374e+01,2.262555633e+01,8.144509949e+01
9.207063101e+01,8.448202318e+01,7.296311612e+01,6.061332574e+01,7.453365128e+01,5.251722195e+01,3.349604382e+01,6.613387205e+01,6.646260454e+01,7.353345839e+01,3.047002254e+01,8.884281896e+01,1.087716220e+01,3.674875012e+01
8.259391965e+01,6.653873143e+01,2.725155369e+01,7.821844281e+01,3.395141269e+01,3.738516323e+01,9.824826379e+00,5.354908997e+01,9.436416794e+01,9.602235213e+01,2.911951651e+01,7.139945848e+01,3.855816242e+01,4.971326478e+01
6.175531639e+01,4.118514524e+01,4.735359762e+01,2.306353126e+01,6.000997005e+01,3.670148934e+01,8.983088998e+01,5.440759225e+01,1.442284860e+01,6.744844982e+01,8.703970763e+01,5.973813801e+01,5.873360715e+01,8.825369433e+01
4.936544765e+01,8.257211944e+01,9.814950114e+01,3.648634765e+01,8.527698445e+00,5.572370375e+01,6.265983946e+01,6.908050107e+01,4.172271410e+01,1.793826212e+01,4.985040879e+01,9.974914579e+01,9.028296835e+00,9.597599210e+01
7.113638276e+00,3.508015456e+01,6.174774853e+01,8.495186561e+01,9.751329737e+01,2.266319301e+00,5.414578610e+01,9.970461576e+01,1.590876544e-01,7.258113992e+01,2.786048626e+01,5.479597768e+01,1.760007610e+01,3.766430953e+01
1.582184159e+01,9.929920200e+01,3.978004894e+01,7.121845002e+01,6.715111331e+01,2.121782918e+01,9.432832194e+01,5.322702368e+01,3.931737106e+01,6.252200331e+01,9.953932473e+01,8.410983396e+00,8.319924770e+01,2.140704541e+01
8.470464024e+00,1.362666521e+00,7.078417624e+01,5.173916197e+01,9.823866272e+01,1.682248766e+01,4.580271307e+01,3.029373362e+01,1.353938006e+01,7.160407086e+01,4.678787115e+01,2.719857708e+01,4.017446491e+01,3.946867083e+01
8.859878105e+01,8.338153604e+01,4.886896030e+01,1.768678291e+01,2.427651460e+01,3.351154969e+01,9.647021656e+01,8.959061748e+01,5.467053488e+01,3.520731786e+01,4.450587053e+01,9.117967633e+01,9.054198631e+01,6.156292687e+01
2.434285189e+01,3.443707888e+01,3.956683142e+00,8.530317095e+00,1.619528982e+01,9.135596653e+01,8.882514610e+01,5.825485674e+01,9.270803312e+01,5.412951328e+01,1.119605929e+01,5.456428316e+01,7.599869829e+01,3.543969528e+01
6.876790031e+01,4.348816325e+01,1.857595717e+01,6.361375837e+01,3.373590271e+01,1.092861313e+01,1.633959006e+01,6.984012538e+01,2.775610468e+01,4.942376268e+01,1.307806940e+01,3.547921275e+01,3.512151662e+01,3.215993167e+01
1.273750239e+00,4.685815520e+01,6.354284204e+01,6.757243367e+01,9.265374078e+01,1.270406788e+01,3.590770034e+01,1.163291994e+01,9.260156627e+01,7.432117404e+01,2.905370412e+00,2.913769297e+01,8.467161712e+01,6.832247614e+00
5.226847592e+01,9.236853801e+01,2.334965893e+01,9.550451175e+01,5.159667937e+01,5.074871957e+01,6.696482555e+01,2.788962659e+01,6.379527327e+01,6.984802596e+00,3.181187950e+01,8.455085692e+01,2.135744020e+00,2.457195813e+01
2.395434838e+01,2.434656998e+01,1.028365588e+01,2.851231459e+01,1.903065316e+01,3.026767636e+01,6.537212182e+01,9.365580343e+01,6.178978040e+01,7.583151861e+01,2.935249659e+01,3.092951286e+01,3.690605235e+01,3.987524023e+01
1.915086751e+01,5.305229937e+01,2.995073810e+01,4.875843517e+01,6.758885003e+01,3.199769678e+01,5.453397459e+01,8.544040924e+01,7.739500661e+01,6.885165171e+01,5.295894239e+01,8.763946105e+01,6.898044250e+01,7.236701121e+01
6.405234028e+00,9.845780124e+00,5.259156947e+01,1.300466403e+01,6.722717988e+01,9.943059638e+01,7.082280519e+01,4.952993933e+01,3.994052908e+01,5.236219454e+01,7.359597596e+01,8.268049951e+00,9.669760166e+01,9.125968351e-02
5.386878201e+01,2.834488183e+01,4.194286388e+01,8.643286060e+01,6.987880895e+01,4.123346809e+01,3.005581184e+01,9.854846657e+01,1.492408686e+01,9.579698164e+01,7.397144499e+01,9.331412712e+01,5.026886041e+01,6.355013908e+00
6.954232178e+01,8.016166343e+00,6.816308887e+01,5.342481875e+01,7.001304857e+01,3.417206454e+01,5.449365770e+00,5.698730110e+01,6.031661163e+00,4.164049108e+01,6.587431417e+01,7.362546523e+01,8.071869926e+01,5.556471266e+01
1.436511118e+01,2.774011543e+00,1.942078944e+01,7.363698884e+01,9.785333512e+01,5.711868314e+01,6.548913863e+01,7.884679148e+01,7.310852718e+01,6.958243733e+01,3.952013955e+01,7.787971020e+01,1.246475968e+01,1.044190177e+01
7.539579033e+01,2.296940190e+01,7.039598380e+01,7.595364065e+01,6.992271108e+01,1.124593210e+01,7.882358062e+01,3.074169261e+01,5.790830167e+01,4.153959736e+01,1.607130618e+01,9.399051619e+01,3.778642297e+01,1.617537058e+01
2.848093290e+01,2.773123211e+01,2.674579114e+01,6.359355153e-01,7.825572664e+01,8.080010899e+01,3.109677758e+00,4.720748858e+01,9.741390792e-01,9.942966815e+01,1.081775214e+01,2.709314637e+01,7.652737464e+01,6.757304842e+01
6.848385240e+01,5.609181868e+01,9.376504384e+00,2.660615565e+01,7.958705076e+01,3.471607866e+01,7.901453795e+01,4.667925852e+01,1.991928181e+01,3.585805097e+01,2.529595262e+01,1.633599397e+00,9.862020123e+01,4.067152744e+01
7.732674475e+01,8.507036499e+01,9.435377756e+01,9.331822694e+01,5.667690304e+01,2.511798571e+01,3.082990930e-01,6.241592999e+01,2.822159848e+01,3.419815541e+01,3.799523902e+01,6.370623143e+01,2.424756387e+01,3.436491006e+01
2.143834485e+01,9.728759699e+01,6.625710442e+01,3.577337842e+00,5.709280079e+01,6.853782569e+01,4.192902987e+01,4.449224602e+01,2.028965876e+01,9.168401349e+00,3.777349910e+01,5.242782732e+01,6.992154843e+00,9.457652212e+01
4.286711636e+01,5.907174625e+01,1.622514818e+01,2.345796193e+01,4.120172989e+01,5.472738476e+01,8.847198111e+01,3.876921138e+01,2.718290647e+01,5.297610294e+01,6.759089145e+01,3.625849409e+01,5.045261626e+01,4.487026756e+01
5.303569507e+01,2.823189447e+01,1.686120731e+01,4.644571889e+01,7.503173185e+01,4.054989951e+01,5.072740925e+01,8.947584533e+01,1.884888107e+01,8.238511015e+01,4.638788868e+01,1.445234829e+01,5.301744702e+01,3.312088718e+01
4.485318989e+01,2.147400953e+01,1.520767354e+01,7.044882002e+01,4.612083280e+01,2.033562821e+01,3.938790461e+01,8.293414156e+01,8.038128022e+01,5.732259134e+01,9.698638668e+01,3.249757592e+01,1.318646962e+01,3.342223875e+01
4.405083951e+01,3.327234187e+01,8.522667672e+01,3.770954739e+01,9.721659994e+01,9.310541430e+01,3.032504433e+01,7.312929391e+01,2.652469984e+01,6.404167698e+01,9.474912979e+01,3.791448508e+00,1.442773051e+01,5.672923902e+01
9.157037946e+01,3.398640703e+01,4.115040019e+01,1.252962077e+01,2.766491785e+01,4.904284398e+00,8.235143624e+01,2.264303135e+01,6.743112461e+00,8.599934413e+01,8.811716238e+01,5.589208811e+01,6.188226203e+01,3.036456680e+01
9.637393079e+00,4.315821805e+01,8.451352663e+01,7.613086974e+01,9.152107709e+01,4.819888719e+01,6.064217908e+01,8.565966478e+01,9.893379235e+01,1.409405962e+01,8.507971563e+01,6.541471038e+01,9.800123512e+01,4.438681733e+00
6.223286082e+01,6.625116355e+01,6.003855221e+01,4.942536272e+01,6.771847891e+01,3.073027962e+01,3.847566755e+01,4.694556030e+01,5.497934721e+01,2.878784538e+00,4.564366633e+01,1.455627204e+01,1.894831393e+01,7.731352595e+01
1.747274425e+01,7.328035134e+01,3.413842314e+01,8.231311493e+01,3.406480592e+01,5.430933727e+01,7.187959385e+01,9.075008161e+01,7.249166620e+01,1.296212651e+01,7.345073209e+01,6.383258158e+01,3.379348280e+01,6.512339312e+01
9.900282044e+00,7.034694198e-01,4.816564288e+01,4.044375726e+01,6.518964389e+01,2.204378634e+01,2.790273611e+01,7.108633839e+01,9.932423466e+01,7.004058466e+01,9.561733624e+01,6.174011484e+01,3.182722359e+01,6.773359352e+01
3.975071115e+01,1.021468015e+01,3.959567820e+01,7.441753067e+01,2.073978161e+01,7.946064354e+01,4.509289803e+01,1.643260625e+00,3.214423605e+01,5.480038748e+00,8.393909239e+01,5.605459810e+01,4.599321207e+01,1.205704089e+01
5.258120075e+01,4.107397292e+01,1.345928946e+01,5.833404024e+01,3.024516077e+01,5.584350713e+01,2.470626808e+00,3.748805586e+01,1.523267007e+01,5.560646718e+00,2.907339245e+01,2.104576278e+01,1.470062685e+01,4.967271648e+01
3.612406053e+01,7.711391809e+01,2.945969018e+01,3.934887978e+01,2.739447986e+01,4.372118698e+01,1.376056312e+01,7.872260346e+01,4.916444904e+01,4.750826267e+01,1.867156690e-01,3.558331843e+01,7.611832182e+01,8.250427497e+00
8.348924262e+01,6.259517197e+01,6.581809458e+01,6.722980032e+01,9.110186715e+00,3.342580625e+01,5.517092096e+01,4.031097596e+01,7.673055945e+01,8.960166895e+01,8.651601826e+01,5.845149533e+00,4.055838494e+01,8.321211524e+01
9.854408993e+01,8.881465600e+01,7.897099274e+01,1.644998325e+01,2.991687916e+01,7.928768716e+01,6.152972705e+01,7.820678986e+01,1.727589364e+01,3.677815821e+01,3.806601656e+01,4.828132291e+01,2.967940062e+01,9.012559879e+01
3.575248081e+01,6.110727033e+01,9.650638582e+00,7.879855129e+01,2.392584934e+00,8.034609070e+01,9.720996484e+00,1.032105749e+01,7.749812713e+01,9.303064918e+01,1.497235165e+01,9.420925697e+01,9.168186634e+00,1.461145129e+01
8.646257736e+01,7.154680689e+01,9.882977726e+00,2.140217768e+01,2.283764052e+01,9.375608309e+01,2.572579529e+00,5.839440601e+01,8.444488668e+01,9.470408045e+01,6.369873389e+01,9.779058727e+01,1.797693700e+01,5.879294548e+01
1.860015731e+01,7.333912249e+01,3.109527839e+01,6.505310062e+01,1.622604524e+00,4.101829043e+01,8.733753008e+01,5.080234715e+01,8.758393887e+01,1.710744628e+01,3.284231281e+01,6.041792953e+01,1.596265152e+01,1.542829111e+01
5.292476261e+01,3.423321911e+01,1.469813977e+01,8.688566189e+01,3.594073476e+01,6.491875866e+01,1.525739855e+01,3.266688754e+01,2.186113533e+01,8.214987026e+01,4.143367977e+01,7.260124175e+01,2.436486675e+01,7.685506659e+01
2.715085938e+01,1.235218671e+01,3.320432382e+01,2.167924559e+00,2.643666508e+01,9.523874386e+01,8.104740051e+01,3.033591926e+01,1.081335870e+01,9.563166500e+01,4.071594309e+01,7.506616180e+01,3.818397353e+01,4.709502790e+01
3.882959979e+01,4.169825197e+00,7.356518516e+01,8.521233250e+01,3.714071607e+01,4.810442650e+00,9.904854515e+01,5.525846816e+01,4.873220457e+01,4.570544805e+01,8.695636342e+01,2.169630006e+01,6.409081061e+00,6.882583299e+01
8.017884153e+01,8.717544219e+01,6.938364328e+01,8.048523091e+01,4.056335324e+01,4.685820927e+01,6.964031667e+00,5.202633697e+00,3.769132284e+00,6.901373351e+01,2.423248795e+01,9.301832982e+01,2.245498172e+01,3.174684818e+01
3.407115915e+01,4.550514533e+01,9.736333349e+01,2.762638514e+01,9.565667036e+01,3.650452266e+01,5.006913666e-02,6.882220867e+01,6.515213962e+01,2.562603643e+01,8.092034128e+01,8.056969531e+01,2.656732524e+01,1.751577665e+01
9.244294468e+01,5.390012192e+01,3.397009164e+01,8.057771945e+01,6.706360486e+01,4.024167373e-01,7.821871837e+01,7.752944255e+01,6.086823484e+01,9.787314163e+01,4.309295771e+01,8.419661511e+01,2.049732241e+01,4.417766910e+01
2.927609678e+00,7.057755095e+01,1.730644018e+01,4.124270795e+01,8.085841540e+01,4.832436982e+01,6.340279610e+01,3.906601148e+01,3.522974550e+00,1.361737763e+01,7.577137611e+01,9.463524098e+01,4.563070656e+01,2.826453604e+01
7.839686912e+01,9.133476064e+00,7.429559135e+01,4.555953697e+01,9.911044160e+00,6.398488006e+01,4.954567172e+01,8.424937798e+01,4.544787542e+01,7.793223112e+01,3.723332150e+01,5.949166590e+01,3.632368010e+01,6.010796852e+01
9.364629301e+01,2.462620202e+00,7.709687458e+01,6.305429003e+01,5.867550416e+00,6.269568103e+01,6.920930189e+01,7.328534069e+01,1.337516153e+01,2.059065554e+01,5.814678430e+01,6.511331957e+01,9.691463157e+01,7.635851645e+01
4.316578291e+01,9.971572686e+01,2.890384856e+01,3.119990518e+01,3.127614441e+01,6.008157074e+01,4.226596106e+01,2.133754109e-01,9.468194441e+01,6.188731540e+01,6.788820758e+01,8.308423077e+01,1.699649914e+01,3.499723885e+01
7.490468825e+01,7.179758793e+00,2.183706419e+01,5.508873707e+01,2.664979831e+01,5.264504310e+01,6.578411404e+01,9.312268675e+01,7.931593450e+01,2.649254165e+01,6.711678401e+01,3.896292213e+01,5.950153184e+01,1.674913830e+01
