v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16
9.244896011e+01,4.539892184e+00,2.097473684e+01,1.072626089e+01,2.688918336e+01,3.583562184e+01,2.460486285e+01,3.713612061e+01,2.330820451e+01,5.790442187e+00,1.831749817e+01,5.210381101e+01,8.765266532e+01,4.648248950e+00,8.582954389e+01,4.794182089e+00
1.988387626e+01,8.787842135e+01,6.373471297e+01,8.447375650e+01,3.261490392e+01,9.414252927e+01,9.444908195e+01,8.893546326e+01,1.021454763e+01,3.700430652e+01,8.481942918e+01,7.250416065e+01,7.661321398e+01,3.540704779e+00,9.495614738e+01,5.485998465e+01
8.956043064e+01,3.807506550e+01,7.032512152e+01,6.745451840e+01,1.816355605e+01,3.400730917e+01,8.117152337e+01,3.206320497e+01,9.493295792e+01,1.339488901e+01,2.750809597e+01,5.528748744e+01,3.313812353e+01,4.889437119e+01,6.913840844e+01,9.629429030e+01
5.453002050e+01,4.757886388e+01,7.398668812e+01,8.208673053e+01,3.068597814e+01,1.239147925e+01,7.396973508e+01,7.492212131e+01,3.260617810e+01,6.498472836e+01,9.832099403e+00,2.613060250e+00,4.074970405e+01,9.194064711e+00,6.691171524e+01,6.285993709e+01
2.678586440e+01,2.933134307e+01,8.864783573e+00,7.971214201e+01,7.255310284e+01,2.387947290e+00,1.012919070e+01,5.471941005e+01,1.071517604e+01,8.176578985e+01,6.036209138e+01,5.864986643e+01,6.990780476e+01,6.860347762e+01,9.476157085e+01,5.328711749e+01
5.207966767e+01,1.636009063e+01,4.805295275e+01,4.852556608e+01,3.590775953e+01,4.477069851e+01,2.001534921e+01,6.048575744e+01,7.420568334e+01,9.474343742e+01,9.328699886e+01,3.515971006e+01,1.897519438e+01,1.968294156e+01,1.113197418e+01,9.196419433e+01
8.327132491e+01,5.078158147e+01,7.073172911e+01,6.497606506e+01,8.556550409e+01,2.694369323e+00,2.895278620e+01,5.742224945e+01,6.683716856e+01,1.139317191e+01,1.535092361e+01,6.569118146e+01,9.014772269e+01,8.247583632e+00,3.313624345e+01,7.042945837e+01
3.925020474e+00,9.568889767e+01,4.872368526e+01,8.264478464e+01,8.066118263e+01,3.511988234e+01,3.662590665e+01,4.239328435e+01,6.278729155e+01,8.164640991e+01,8.403240782e+01,4.498219235e+01,7.288530225e+01,7.056078583e+01,8.547113911e+01,7.869766322e+01
7.593344245e+01,2.799240794e+01,9.799833526e+01,8.532286994e+01,5.893403261e+01,9.007590600e+01,8.318098330e+00,1.281957839e+01,2.534580028e+01,8.887708456e+01,8.498094996e+01,7.765757501e+01,4.394787286e+01,4.178872104e+00,5.988382144e+01,8.657058137e+01
9.058431553e+01,8.776607973e+01,2.128235821e+00,4.929686218e+00,1.052273361e+01,4.159134011e+00,9.292242668e+01,8.547407845e+00,7.178606183e+01,3.087026615e+01,8.459021239e+01,2.403885000e+01,7.034637679e+01,4.039908924e+01,5.327991159e+01,7.265860225e+01
9.408989836e+01,1.110151485e+01,6.452217318e+01,6.635400273e+01,5.974434522e+01,1.748892256e+01,5.456659619e+01,9.151578490e+01,8.218664895e+01,1.762768274e+01,3.360127644e+01,2.707977546e+01,7.865469910e+01,2.333187707e+01,6.393046028e+00,4.321221914e+01
1.290467254e+01,4.267554909e+00,2.394663325e+01,5.292980273e+01,5.171079909e+00,4.057054261e+01,6.906255523e+01,5.505652201e+01,7.225882452e+01,6.107236826e+01,3.319664491e+01,1.526854914e+01,5.107823145e+01,1.176014482e+01,6.773872144e+01,3.242951371e+01
6.006723383e+01,6.562197620e+01,6.469776901e+01,3.694812922e+00,4.485406210e+01,5.458872679e+00,7.760978188e+01,2.101221878e+01,7.440959350e+01,4.720495881e+01,2.029208311e+01,8.563620322e+00,7.312458312e+01,1.588789842e+01,4.536702318e-01,3.373274147e+01
5.614719915e+01,5.560595310e+01,8.434937503e+01,2.350312828e+01,9.120823184e+01,9.687472664e+01,1.686598054e+01,4.840202418e+01,5.635783096e+01,7.423427221e+01,9.109849665e+01,8.869000543e+01,4.855325484e+01,6.248375965e+00,9.064918743e+01,2.480365915e+01
5.152062999e+01,1.786223512e+01,2.209376707e+01,3.003519553e+01,9.205874239e+01,4.362469654e+01,2.677310138e+01,7.781972452e+01,7.267379190e+01,9.205546388e-01,5.597464935e+00,8.311881950e+01,8.651891903e+01,9.433196759e+01,7.205185663e+01,6.147262887e+01
2.044975005e+01,6.779936415e+01,4.058379777e+00,4.451641829e+01,3.173658755e+01,6.345601984e+01,4.221989234e+01,1.092658842e+01,5.136606956e+01,2.584542927e+01,4.481871515e+01,9.822119160e+01,8.752818053e+01,6.180138890e+01,4.852184671e+01,1.760138995e+01
2.717303528e+01,5.808022255e+01,9.603628544e+01,7.036222511e+01,8.906563433e+01,8.013471773e+01,4.350751178e+01,8.691005880e+01,1.545266978e-01,5.811312328e+01,4.852025229e+01,2.326871850e+00,8.224943157e+01,9.638785909e+00,7.610225798e+01,8.599621111e+01
4.349671773e+01,6.444209828e+01,3.772332765e+01,8.254936916e+01,4.671362127e+01,4.713074183e+01,9.344688052e+01,7.065013904e+01,3.197762126e+01,9.948058611e+01,5.030447163e+01,7.170788475e+01,2.591917526e-01,7.997526010e+00,9.052270377e+01,2.471728162e+01
8.157228503e+01,9.684780886e+01,6.064856590e+01,4.610904096e+01,5.867235078e+01,3.038559286e+01,8.082719389e+01,1.260826232e+01,1.735886853e+01,1.797226955e+01,8.276434976e+01,4.622227324e+01,3.610953279e+01,8.878164220e+01,1.107775697e+01,1.508080837e+01
2.761978423e+01,3.335125686e+00,1.455298666e+01,6.307176586e+01,5.250371970e+01,3.776635455e+01,4.587658847e+01,5.108956882e+01,4.302287726e+00,6.520703174e+00,1.383193186e+01,3.123293105e+01,6.621732182e+01,5.728032931e+01,5.179476931e+00,3.594333113e+01
2.833258570e+00,1.025427860e+01,5.596344938e+01,5.179276887e+01,8.714852671e+00,6.523437610e+01,5.005333860e+01,8.039346115e+01,6.755174681e+01,4.044859015e+00,9.639731803e+01,3.295176360e+01,6.341162231e+00,6.260650836e+01,5.742285885e+01,1.082812454e+00
8.469342842e+01,7.150769485e+01,3.738335268e+01,5.005154703e+01,9.546094415e+01,7.237217701e+01,4.345256554e+01,5.275032986e+01,9.739958751e+01,2.113774246e+01,6.431598611e+01,7.407990481e+01,1.995261992e+01,8.598342205e+01,5.316073563e+01,5.691699791e+01
3.809629732e+01,1.925185681e+01,3.807343768e+01,6.898439999e+01,6.045812824e+01,9.061808537e+00,5.763560515e+01,3.948213898e+01,7.404139159e+01,4.828106552e+01,6.028170989e+01,4.937735069e+01,1.510956129e+01,1.299459048e+01,6.113693817e+01,2.123038784e+01
3.943001660e+01,4.012368148e+01,1.485007447e+01,9.581805628e+01,7.203322265e+01,8.617382590e+01,6.267577028e+01,9.435892741e+01,1.757281127e+01,4.205706509e+01,6.509634118e+01,1.804735609e+01,1.496908695e+00,2.211416614e+01,4.756470891e+01,3.742272724e+01
9.800074313e+01,2.334721430e+01,5.118202822e+00,9.527937640e+01,8.541033090e+01,3.810040118e+01,8.415906479e+00,1.227434500e+00,6.930554147e+01,8.620705591e+01,6.264916080e+01,1.529622151e+00,3.529627386e+00,2.918737684e+01,2.491916613e+01,3.361286655e+01
8.584898987e+01,8.709638125e+01,6.052537303e+01,5.334008959e+01,3.755293023e+01,1.966204223e+01,1.953686719e+01,3.439255580e+01,5.342847055e+01,9.408303952e+01,7.330201527e+01,1.220442621e+01,5.838363560e+01,8.484964935e+00,8.590976982e+01,3.697069661e+01
7.900122722e+01,3.868792385e+01,8.298894630e+01,5.694507621e+00,6.236518392e+01,1.580443927e+01,4.493830277e+01,1.404333582e+01,8.026818723e+01,2.222276577e+01,2.009567937e+01,7.229550813e+01,9.063696949e+01,5.626399830e+01,9.819734940e+01,4.189498725e+01
4.119616999e+01,8.409686524e+01,1.162330605e+01,3.909362752e+00,6.113762351e+01,4.464202199e+01,1.268450943e+01,2.378539849e+01,3.933727237e+01,1.062601906e+01,6.456756610e+01,8.377661955e+01,9.231533796e+01,9.724693040e+01,1.333537151e+01,8.556370494e+01
5.287775132e+01,4.397657692e+01,8.826973236e+01,6.737652366e+01,6.637109777e+01,9.709970317e+01,5.286777848e+01,5.001131313e+01,8.809218999e+01,1.914393434e+01,2.480468704e+00,7.026055571e+01,9.748211264e+01,7.691402195e+01,9.615666275e+01,4.360347106e+01
3.515339210e+01,2.690366733e+01,4.123369620e+01,7.286154651e+01,7.818899773e+01,8.643914819e+00,6.213715072e+01,4.992225445e+01,8.989399152e+01,1.369817001e+01,7.878280358e+01,3.874857435e+01,8.249015294e+01,2.657914374e+01,5.269517451e+01,5.790208938e+01
6.844810649e+01,2.810735073e+01,5.504675527e+01,4.629113181e-01,5.262588249e+01,1.869248376e+01,9.383569274e+01,1.912013143e+01,5.696346700e+01,5.087896060e+01,1.982799320e+01,4.763620682e+01,5.018479155e+01,6.653524556e+01,3.292454837e+00,1.967516270e+01
5.831817072e+01,8.238661771e+01,5.803792096e+00,5.101909980e+01,7.939604141e+01,7.958954458e+01,8.846780305e+01,6.239248889e-02,7.715984141e+01,1.327584915e+01,9.249688329e+01,2.314444483e+01,2.301156733e+00,4.378337918e+01,9.745966320e+01,9.650016866e+01
9.642402441e+01,6.993164950e+01,7.592039923e+01,4.363424282e+01,1.619009060e+01,1.912868765e+00,7.601984594e+01,8.813016952e+01,4.726450099e+01,5.037503469e+01,6.843502931e+01,4.168210765e+01,2.967990700e+01,1.130046453e+01,3.721501630e+00,1.604914640e+01
5.437458950e+00,2.323299477e+01,4.366147183e+01,3.195754351e+01,8.038032921e+01,3.212562102e+01,3.096808897e+01,5.818289870e+01,4.528913564e+01,1.734172590e+01,3.746960629e+01,9.534560902e+01,4.741511987e+01,7.927525137e+01,5.124029479e+01,2.641915284e+01
8.550815057e+01,6.121841767e+01,1.985180642e+01,6.409381496e+00,4.877361176e+01,6.834556267e+01,1.606070313e+00,6.977368385e+01,5.239094533e+01,3.474543356e+01,9.850951790e+01,3.530027120e+01,7.189813152e+01,7.394017667e+01,2.916953741e+01,1.824503976e+01
6.589836329e+01,7.893897185e+01,8.586265466e+01,4.576193467e+01,2.303608134e+01,4.166636006e+01,3.346814259e+01,5.962437194e+01,6.833706170e+01,1.404242963e+01,2.974444617e+01,5.787855915e+01,2.567800338e+01,5.545576215e+01,4.392115386e+00,8.053807626e+01
6.596260981e+01,4.371906124e+01,7.243188832e+01,8.891603090e+00,4.659564850e+01,8.022786626e+01,1.331235592e+01,7.921673713e+01,7.311799493e+00,9.659559605e+00,3.302121113e+01,6.807750226e+01,1.448521454e+01,7.812174886e+01,9.572044267e+01,6.089346302e+01
5.928271471e+01,3.105647418e+01,4.893224932e+01,3.901116989e+01,1.428141578e+01,4.834438778e+01,1.213690099e+01,8.631312359e+01,9.347298135e+01,3.730791507e+01,3.246504206e+01,3.137785272e+00,5.202641862e+01,2.953443430e+01,7.881528593e+01,7.797888132e+01
8.291467952e+00,8.194667151e+01,3.290565119e+01,4.282117291e+01,8.153693847e+01,2.355033826e+01,4.469710689e+01,5.527627700e+01,8.195300453e+01,5.182606296e+01,4.970448220e+01,7.743635405e+01,8.637640112e+01,3.592075200e+01,2.331402360e+01,9.259344770e+01
4.488349828e+01,6.465224993e+01,3.028694282e+01,2.881110102e+01,1.088426387e+01,2.290182672e+01,4.033419187e+01,6.769950353e+01,9.428564461e+01,7.783494917e+01,1.058711434e+01,5.690882911e+01,6.798064402e+01,6.983791894e+01,3.632573186e+01,2.770508083e+01
2.225699285e+01,8.377544353e+01,8.722563498e+01,7.181882458e+01,4.767477968e+01,7.924000732e+01,3.696291829e+01,7.049420707e+01,1.444051290e+01,2.832941351e+01,7.777545561e+01,8.946772595e+01,3.690563854e+01,1.923939410e+01,1.514833953e+01,6.322413957e+01
6.016358067e+00,1.314761412e+01,6.554019066e+01,2.700172809e+00,4.554952464e-01,5.397752405e+01,4.100429675e+01,9.519545659e+01,2.966580664e+01,6.523298038e+01,2.539345723e+00,9.072622761e+01,4.784312893e+01,3.818335867e+00,5.379020812e+01,3.495204346e+01
8.405690689e-01,9.989378161e+01,8.086597782e+01,1.210347918e+01,2.142422259e+01,5.472851822e+01,9.804084138e+01,9.458577705e+01,6.006107654e+00,2.863013446e+01,1.681138907e+01,7.604629585e+01,7.678456741e+00,7.065951534e+01,6.134262700e+01,5.134752536e+01
3.409848326e+01,7.595819534e+01,4.737721171e+01,4.091347741e+01,6.683337821e-02,5.795893927e+01,4.875946815e+01,7.174128468e+01,7.001245121e+01,4.444573680e+01,9.565786305e+01,8.032129683e+00,7.718006768e+01,5.564144543e+00,2.885161241e+01,3.961969620e+01
5.844187060e+01,7.148746580e+01,7.308399489e+01,4.897484242e+01,5.546954891e+01,1.130034037e+01,2.253879124e+01,8.147370455e+01,2.647083252e+01,8.983008583e+01,8.838300662e+01,8.116722679e+01,6.133930406e+01,4.307974553e+01,5.148021588e+01,3.238437101e+01
9.750826401e+01,5.948635308e+01,6.690639810e+00,3.328279019e+01,8.954877389e+00,8.153814532e+00,8.519643184e+01,3.864670993e+01,9.228252195e+01,9.721575016e+01,2.117997360e+01,2.689672897e+01,6.940190005e+00,9.778774875e+01,1.686054217e+01,5.118633317e+01
1.404194138e+01,8.911073941e+01,2.959126636e+01,3.098820486e+01,2.360083875e+01,8.373316722e+01,6.572009034e+01,3.416268350e+01,2.310249710e+01,7.757505403e+01,1.751275841e+00,8.380629524e+00,1.087263945e+01,5.571230610e+01,4.572899545e+01,1.417810642e+01
2.921780141e+01,3.163958945e+01,6.644961594e+01,4.235873570e+01,6.384002170e+01,5.762256145e+01,4.077033934e+01,4.076992843e+01,7.049886728e+01,7.164235840e+01,3.297316153e+01,5.704770058e+00,2.436741694e+00,2.489571685e+01,1.585325068e+01,2.559889682e+01
9.394143865e+01,5.130653793e+01,1.367111811e+01,9.875042801e+01,7.508875446e+01,2.787208943e+01,5.329706084e+01,4.286666647e+01,3.351115570e+00,3.002067060e+01,9.418462934e+01,6.086598662e+01,4.825983780e-01,4.492244386e+01,8.971840335e+01,2.687830556e+01
7.374416938e+01,9.215966761e+01,5.979181987e+00,5.315359980e+01,6.577832127e+01,3.616897683e+01,1.391693670e+01,9.141900063e+01,8.055931391e+01,2.889624476e+01,4.791158202e+01,1.590045104e+01,2.057923687e+01,5.774826126e+01,4.495942549e+01,3.790946285e+01
4.234026267e+01,7.399141299e+01,3.251218760e+01,5.142642096e+01,9.693518494e+01,4.947363031e+01,7.537143466e+01,1.204135097e+01,2.076238493e+01,4.837741432e+01,2.732530657e+01,9.701573453e+01,7.300878974e+01,2.252998787e+01,8.270931879e+00,5.778159247e+01
6.192392933e+01,4.553297856e+01,7.200962601e+01,7.107163072e+01,2.308928106e+00,7.347066070e+01,9.541132965e+01,2.965037462e+01,6.946723514e+00,8.515059194e+01,7.011465682e+01,9.607881276e+01,8.009333572e+01,3.612928691e+01,3.838784704e+01,6.946820993e+01
4.467387011e+01,8.780226200e+00,8.178949419e+01,3.466613518e+01,3.694267157e+01,7.748964439e+01,7.681488389e+01,8.414631807e+01,7.183533306e+01,5.535219118e+01,5.814464885e+00,4.302614371e+01,2.750061870e+00,2.176768435e+01,3.773686308e+01,7.631741780e+01
3.732247225e+01,6.807882723e+01,7.695448196e+01,3.996117685e+01,7.974382120e+01,6.581644499e+01,3.315227653e+01,4.669443439e+01,2.892606080e+01,4.044952489e+01,4.322602555e+01,7.585260126e+01,7.230157276e+01,5.073327084e+01,4.935421163e+01,2.509677498e+01
8.843197473e+01,8.041387483e+01,6.185181701e+01,7.079269815e+00,3.396164729e+01,8.052653745e+01,6.528631339e+01,3.268774559e+01,5.860460023e+01,6.075736285e+01,3.784179105e+00,7.798338911e+01,6.051626137e+01,4.823474772e+01,1.801401724e+01,7.187022412e+01
9.639590947e+01,2.747077783e+01,4.092531837e+01,2.936233153e+01,7.441629830e+01,4.681556178e+01,3.051516382e+01,2.797024852e+01,8.653221627e+01,9.492019506e+01,3.964318515e+01,5.426698704e+01,7.951085497e+01,3.267192139e+01,2.739727103e+01,5.706641675e+01
3.696093506e+00,3.584103784e+01,9.832886636e+00,8.506422714e+01,3.495813575e+01,7.082679311e+01,7.853072856e+01,9.335597509e+00,2.209791378e+01,1.557856617e+01,7.490997491e+01,4.951688933e+01,5.459531590e+01,7.210996415e+01,8.958020628e+00,1.324194911e+01
4.166103087e+01,8.122558887e+01,3.310698988e+01,2.187576843e+01,3.788497541e+01,9.954600111e+01,2.619899893e+01,9.765328058e+01,7.875478427e+01,5.685768933e+01,5.422025855e+01,6.935722433e+00,9.651658147e+01,7.892171231e+01,6.790223093e+01,7.593733012e+01
4.509598744e+01,1.066330620e+01,8.258030935e+01,8.729534851e+00,3.914221849e+01,2.181336304e+01,6.117012575e+01,5.530600463e+00,7.841412655e+01,2.257837602e+01,7.829628842e+01,6.629661779e+01,5.310169741e+01,4.524365917e+01,4.749457140e+01,5.621649864e+01
5.584455953e+01,6.348515242e+01,9.123348186e+00,2.372667939e+01,3.913794834e+00,3.544257230e+01,6.442436532e+00,7.008368116e+01,8.963048760e+01,4.433405576e+01,8.986590225e+01,7.169724683e+01,5.291275397e+01,6.768430757e+01,8.381985799e+01,2.373602400e+01
1.168939900e+01,4.378972910e+00,9.848017110e+01,4.768445390e+00,2.005691488e+01,8.188081024e+01,8.242660629e+01,6.432842320e+01,2.957888976e+01,1.211975712e+01,6.677854213e+01,4.991167402e+01,9.101467427e+01,9.132691968e+01,5.293028961e+01,5.919598155e+01
9.623244316e+01,3.395124597e+01,9.891314520e+01,8.273243131e+01,6.391282581e+01,7.004321270e+01,4.137704445e+01,6.278856348e+01,1.258578347e+01,9.386991947e+01,4.434378549e+01,2.500815601e+01,8.680631631e+01,3.190113036e+01,3.768925824e+01,9.835523528e+01
6.711404699e+01,2.534849460e+01,1.945329729e+01,7.689205195e+01,7.247140856e+01,8.345633425e+01,2.220196918e+01,2.659903584e+01,1.800083870e+01,5.917996086e+01,9.841713670e+01,7.994762128e+01,8.944121092e+01,4.525628239e+00,9.467070496e+01,8.020401888e+00
4.070145100e+01,8.273880113e+01,7.011282129e+01,7.492635851e+01,4.692337726e+01,9.453510437e+01,9.627390641e+01,1.640181628e+01,7.886064542e+01,2.746673178e+01,1.844185817e+01,8.921281091e+01,2.556045645e+01,8.765499674e+01,5.369796760e+01,1.704979782e+01
9.235311160e+01,6.026229134e+00,7.340060921e+01,1.093810896e+01,9.996492684e+01,4.352668821e+01,5.500015490e+01,7.133748267e+00,6.415080519e+01,1.243913739e+01,4.844373312e+01,8.222509223e+01,7.094825280e+00,6.661513370e+01,8.663386904e+01,3.621308366e+01
5.407201351e+01,9.240276513e+01,2.374087991e+01,6.853959620e+01,7.156822311e+01,8.693884691e+01,9.702491145e+01,8.316334271e+01,5.120192435e+01,9.377908356e+01,4.234595436e+01,8.547398701e+01,8.435274363e-01,9.847758518e+01,1.138768978e+01,6.153682076e+01
3.225752916e-01,9.838879007e+01,3.901687664e+01,7.171435118e+01,8.470400826e+01,7.054183086e+01,8.939682912e+00,9.267962692e+01,3.554897016e+01,1.077306877e+01,7.931023478e+01,5.772897776e+01,5.060076721e+01,3.240579242e+01,9.104956303e+01,2.666683266e+01
9.881207349e+01,7.331021279e+01,4.968959079e+01,7.894555292e+01,2.217772865e+01,2.478562679e+01,9.117131909e+00,8.855862325e+01,1.177523447e+01,9.021261874e+01,9.557773101e+01,7.208768823e+01,1.172617179e+01,3.088867875e+00,4.460133551e+01,8.474765855e+01
5.687820709e+00,8.627701031e+01,8.577656819e+01,9.325376632e+01,8.372701908e+01,6.303209796e+01,2.491971938e+00,1.135401082e+01,8.237076998e+01,3.562868459e+01,3.426241845e+01,8.145802168e+00,9.426113652e+01,8.600829114e+00,6.992006805e+01,7.157530693e+01
3.531062669e+01,3.227014881e+01,1.994092409e+01,3.358810485e+01,9.535722544e+01,1.251572639e+01,2.294374991e+01,6.709406074e+01,9.574539753e+01,9.546212039e+01,9.480051344e+01,3.969077332e+01,7.334788224e+01,9.762679671e+01,8.339676961e+01,7.987654908e+01
3.095897507e+01,4.763236180e+01,9.012765135e+01,6.369446218e+01,5.341586925e+01,5.934968737e+01,2.276387223e+01,9.569447050e+01,3.242595955e+01,3.694217390e+01,9.728092702e+01,3.367587868e+01,5.868610485e+01,3.804295691e+01,1.916109055e+01,8.424207191e+01
6.185648487e+01,6.662348652e+01,8.407199461e+01,8.806277951e+01,2.656659497e+01,8.260403113e+01,7.098225280e+01,4.802050465e+01,1.156730296e+01,4.469197289e+01,5.982760652e+01,9.093976279e+01,7.327014614e+01,4.161252261e+01,2.447531242e+01,3.646562082e+01
6.432104586e+01,2.541909513e+01,7.057962819e+01,5.997331668e+00,2.533569253e+00,4.027985517e+01,1.640725475e+01,8.577968458e+01,6.652681010e+01,6.324301946e+01,1.666341786e+01,2.378016439e+01,1.215749095e+01,3.152499620e+01,9.251195457e+01,7.920249519e+00
8.405519201e+01,1.126902890e+00,4.196749183e+01,1.122811785e+01,2.542099549e+01,4.342799238e+01,3.321950699e+01,5.664729097e+01,1.982820654e+01,8.181086905e+01,6.567787848e+01,7.389714972e+01,3.185385957e+01,5.832722879e+01,1.555841540e+01,2.741522758e+00
8.887068471e+01,3.407812595e+01,6.517453318e+01,4.182969066e+01,2.825445737e+01,2.012350123e+01,8.686678228e+01,3.130560487e+01,3.152918193e+01,6.016148385e+01,1.013939859e+01,7.690918168e+01,1.546880816e+01,6.143094497e+00,6.020804348e+01,8.091249761e+01
4.528380272e+01,4.979476235e+01,8.972676221e+00,7.636305036e+01,3.823095448e+01,4.132455345e+01,8.792851165e+01,2.448511392e+01,7.193957297e+01,6.519949899e+01,9.365427400e+01,1.072420481e+01,9.891835489e+01,7.828479249e+01,9.277887664e+01,9.407032553e+01
8.998648572e+01,5.932355382e+01,6.918426946e+00,1.833656721e+01,5.167562328e+01,8.756476573e+01,4.633189509e+01,5.445508337e+01,9.942222070e+01,4.399801029e+01,5.284539104e+00,8.732746359e+01,5.778431995e+01,4.084137163e+01,5.691164325e+01,5.890364932e+01
9.091142856e+00,2.886033749e+01,8.673714276e+01,5.880968170e+01,7.132190836e+00,2.151909245e+01,9.260694409e+01,6.691724100e+01,3.075957026e+01,9.651889853e+01,5.182344844e+01,8.459437180e+01,7.436840561e+01,1.106547701e+01,8.985363505e+01,5.007649030e+01
6.890030321e+01,5.552366771e+01,5.941775027e+01,7.675344305e+01,6.309087266e+01,4.388757481e+01,7.543717937e+01,9.846245347e+01,9.041175081e+01,7.430750289e+01,2.217511858e+01,1.982001710e+01,6.166272906e+01,1.086187404e+01,5.534325246e+00,7.235238423e+01
1.724809261e+01,2.152459813e+01,2.117191213e-01,1.657206677e+01,6.173443479e+01,2.083942892e+00,4.287866866e+01,5.497828455e+01,3.479900854e+01,2.445572712e+01,5.885868962e+01,5.481903756e+01,3.679168337e+01,5.952335598e+00,9.185146469e+01,4.847926217e+01
3.920010140e+01,2.848704360e+01,5.957479092e+01,3.701814281e+01,7.181385399e+01,4.034939362e+00,9.072481016e+01,4.176983780e+00,2.062699499e+01,6.993866859e+01,8.904281900e+01,3.638185171e+01,8.962149383e+01,4.597004944e-01,7.672270321e+01,1.380797028e+01
1.569591001e+01,9.512071935e+01,6.894567121e+01,3.838706740e+01,4.106559931e+00,6.549499245e+01,3.641983927e+00,2.648863267e+01,5.854388898e+01,4.310691387e+01,3.626648089e+01,6.934926460e+01,6.002515332e+00,6.777272718e+01,9.944229481e+01,7.133859286e+01
3.740827830e+01,1.504673516e+01,5.569963540e+01,6.962435452e+00,5.106031634e+01,8.775457422e+01,4.794355787e+01,2.891898004e+01,1.462135118e+00,4.222386444e+01,6.909093260e+01,2.954609809e+01,7.770602398e+01,6.208915109e+01,7.705972829e+01,1.923494795e+01
7.141568874e+01,4.477416358e+01,2.775485833e+01,8.358829397e+01,9.096223242e+01,7.248362286e+00,1.768939524e+01,7.968795864e+01,4.987265176e+01,8.263823864e+00,3.491473159e+01,4.816383211e+01,2.442659189e+01,4.957854047e+01,5.761358431e+01,6.676626038e+00
2.381969484e+00,3.378928782e+01,8.998011633e+01,4.424586121e+01,3.462126632e+01,7.862639991e+01,5.952427326e+01,3.305504029e+01,9.315110779e+01,3.628487207e+01,1.518518548e+01,1.284065164e+01,3.625344773e+01,2.828163673e+01,1.826427742e+01,3.970054392e+01
9.117222996e+00,4.031913979e+01,1.074342837e+01,9.969418441e+01,4.998426016e+01,1.284908505e+01,5.536950351e+01,1.410817152e+01,2.263431515e+01,8.795087402e+01,4.190139931e+01,1.747871073e+01,5.281348138e+01,4.287838253e+01,3.540602215e+01,7.722385414e+01
