v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42
8.493971072e+01,2.513913421e+00,1.112296258e+01,5.028927986e+01,8.328585379e+01,8.690807676e+00,5.865680093e+01,6.539038188e+01,3.079379522e+01,6.298849770e+01,5.792713828e+01,4.588882748e+01,9.868182583e+01,3.176397007e+01,1.906319439e+01,7.567431951e+01,6.475029887e+01,3.257393407e+01,2.660916608e+01,5.843069897e+00,8.131909472e+01,2.037697606e+01,8.240431095e+01,3.898447087e+01,2.689582960e+01,7.517861389e+01,7.396299504e+01,6.920783226e+01,8.342167137e+01,9.011567799e+01,6.474991806e-01,2.218177570e+01,1.924547762e+01,4.222988461e+01,4.958302983e+01,5.448719066e+01,3.411618798e+01,8.081395908e+01,7.923263477e+01,3.208102644e+01,8.671217286e+01,2.410413827e+01
5.875221300e+00,8.682378229e+01,1.544014833e+01,5.336229454e+01,3.537903715e+01,5.953805875e+01,6.162519375e+01,2.741365155e+01,5.838341823e+01,9.722296739e+01,2.005478472e+01,5.680527745e+01,3.738840062e+01,5.697329447e+01,4.874656283e+01,8.493389998e+01,3.002215088e+01,4.070561652e+01,5.881994876e+01,4.639449447e+01,4.579399721e+01,1.877514654e+01,6.848524967e+01,6.837920122e+01,8.249666811e+01,2.088199375e+01,9.638482052e+01,3.861064255e+01,8.559009382e+01,3.211556443e+01,2.597667426e+01,1.054703649e+01,9.767279351e+01,1.305408668e+01,4.386056379e+01,2.675919121e+01,6.734530780e+01,4.035443117e+00,2.740201512e+01,9.275409492e+01,1.271323748e+01,5.398652441e+01
6.551941014e-01,9.879841606e+01,1.823316679e+01,5.490134579e+01,6.061636489e+01,3.261258781e+01,5.397080314e+01,9.429344685e+01,2.409615905e+01,3.673162976e+01,4.859441385e+01,9.202036236e+01,4.564423166e+01,3.564002387e+01,3.978065082e+01,9.440881237e+01,1.018097284e+01,4.694929505e+01,1.443345551e+01,8.403300298e+01,3.078228521e+01,8.387928881e+01,8.849206314e+01,8.709150522e+01,9.470275563e+01,5.449564764e+01,3.971733654e+01,1.125395136e+01,9.507644522e+00,7.421866231e+01,5.925996826e+01,4.517674688e+01,4.090008492e+01,9.312339762e+01,2.847335177e+01,5.811830814e+01,9.506422890e+01,6.585019699e+01,5.700580502e+01,4.172133524e+01,8.597107795e+01,4.513204600e+01
8.816425731e+01,3.215472357e+01,6.063475621e+01,3.604525903e+01,2.743854640e+01,4.676097978e+01,2.239161508e+01,6.361538351e+01,9.021045474e+01,2.589254835e+01,8.619615119e+01,9.503387857e+00,8.889884748e+01,4.934344290e+01,8.443435140e+00,5.709968879e-01,7.115963472e+01,8.510087330e+01,5.288260933e+01,5.808387178e+01,8.003879495e+01,9.310922760e+01,8.515612121e+00,5.036469122e+01,8.024741798e+01,6.351734271e+01,1.478288594e+01,7.845540661e+01,1.061856116e+01,7.223883053e+01,5.259972488e+01,6.177034250e+01,5.093455732e+01,7.117267267e+01,5.876586372e+01,8.861871127e+01,4.963979552e+01,4.255725867e+01,2.538883484e+01,9.911458756e+00,4.525293502e+01,9.679989292e+01
9.752160384e+01,1.650698156e+01,5.830165262e+01,3.389665880e+01,8.715353680e+01,4.204888482e+01,5.164139991e+01,1.439832220e+01,2.831577234e-01,4.334240522e+01,4.076283634e+01,3.718693813e+01,5.989514939e+01,3.703804337e+01,2.393320550e+01,2.494832455e+00,8.000533686e+01,7.496345126e+01,9.913355711e+01,7.590261653e+01,3.621809744e+01,5.526553424e+01,9.972259598e+01,3.768040787e+01,9.408840634e+01,1.225650596e+01,3.267887844e+01,5.525558574e+01,3.898304091e+00,3.016456679e+01,5.504981329e+01,8.392572306e+01,2.698241489e+01,8.654287096e+01,7.028124019e+01,4.771512315e+01,8.977242094e+01,4.042388257e+01,1.423196781e+01,8.037672567e+01,4.031640951e+01,6.568647377e+01
3.403600978e+01,7.408230585e+01,8.242324138e+01,9.459033384e+01,9.223154203e+01,1.419396783e+01,5.079751931e+01,4.555924362e+01,8.196735941e+01,4.862300880e+01,2.163760027e+01,4.517390521e+00,2.982501516e+01,1.352581392e+01,4.056622402e+01,7.984540051e+00,3.601373855e+01,4.867895112e+01,5.658617748e+01,1.257054993e+01,9.529545726e+01,4.930903044e+01,1.172183024e+01,5.606941887e+00,1.498790902e+01,5.739816694e+01,3.235828208e+01,1.485084324e+01,7.055779066e+01,7.830071890e+00,9.599857384e+01,8.465896575e+00,9.245123330e+01,6.614029986e+01,1.341122181e+01,7.517678614e+01,8.644079713e+01,8.128027039e+01,4.345917675e+01,2.083853559e+01,1.495270200e+01,6.208515339e+01
3.829371654e+00,4.550903517e+00,4.963446379e+01,7.141678906e+01,8.064264767e+01,5.962608883e+01,2.342844714e+01,1.368646000e+01,5.064114155e+01,7.394526321e+01,1.053716955e+01,6.216051147e+01,9.488580639e+01,6.333321223e+01,9.744508342e+01,5.487417875e+01,1.725008827e+01,8.354525828e+01,1.173886072e-02,1.963175660e+01,5.572791410e+01,2.658714915e+01,4.844540057e+01,6.511886595e+01,3.720979419e+01,1.122643656e+00,5.127434144e+01,7.816091836e+01,3.568334254e+01,5.872383042e+00,5.862520340e-01,1.133469785e+01,9.880965842e+01,8.823270421e+01,6.467134784e+01,2.927149965e+00,5.924183592e+01,9.742954419e+01,6.661713601e+01,7.589572341e+01,4.325625052e+01,4.592922495e+01
1.982304292e+00,5.853263616e+01,2.429425088e+01,6.861396820e+01,7.520554260e+01,7.780922923e+01,3.717182477e+01,2.645160420e+01,3.328047838e+01,5.562912995e+01,3.505813783e+01,4.804542927e+01,1.258568375e+01,4.144416552e+01,3.760100296e+01,7.908553175e+01,8.213112000e+01,9.509870486e+01,3.267712061e+01,3.317464968e+01,7.622067231e+01,8.360914781e+00,3.146857880e+01,8.915189100e+01,1.028893557e+00,4.889028033e+01,1.584468581e+01,6.434051579e+00,3.702972076e+01,5.586951456e+01,5.208741670e+01,1.610280241e+01,5.015102748e+01,8.629523543e+01,1.871830474e+01,8.769158448e+01,7.755670453e+01,5.616671293e+00,1.598231194e+01,8.275785771e+01,4.316103575e+00,2.007226405e+00
5.521907684e+01,9.947782907e+01,8.834469720e+01,2.077165340e+01,4.355227098e+01,5.646658817e+01,2.683005617e+01,3.698350749e+01,9.165797060e+01,6.318715323e+01,6.307118172e+01,8.935237985e+00,4.284337725e+01,1.534051820e+01,3.404270187e+01,4.735798951e+01,3.112235165e+01,6.455119248e+01,1.562343385e+00,4.954590056e+00,1.449166050e+01,4.517746895e+01,8.770421310e+01,8.485805053e+01,5.227265446e+01,4.731146153e+01,6.202328256e+01,9.119821894e+00,8.460118743e+01,4.242598966e+01,9.885410831e+01,5.816080403e+01,7.801711886e+01,9.551256288e+01,3.752729454e+01,4.246250817e+01,8.859178993e+01,5.234398893e+01,8.442119802e+01,9.826952711e+01,2.491147562e+01,7.916252532e+01
8.377654543e+01,9.738756724e+01,6.527757666e+01,6.829617268e+01,3.003627090e+01,6.428243134e+01,6.656975096e+01,9.049217450e+01,3.937187858e+01,1.925269379e+01,8.150788795e+01,3.678525263e+01,8.235281669e+01,2.178813836e+01,7.265061878e+01,3.555493387e+01,5.125171062e+01,9.452234418e+01,8.986340555e+01,2.387506070e+00,7.880465321e+01,6.210544610e+01,3.750334345e+01,7.340615159e+01,8.554674279e+01,9.041577256e+01,3.113458475e+01,8.321438553e+01,1.938488447e+01,9.565695696e+01,2.414915533e+01,1.479889785e+00,1.197707574e+01,5.504228959e+01,5.109628260e+01,2.532123420e+01,5.731933158e+01,2.485537613e+01,8.221331819e+01,2.227843632e+01,2.656288227e+01,9.837896835e-01
4.165912896e+01,5.548345877e+01,4.093722904e+01,5.797275837e+01,2.931666817e+00,8.811636055e+01,3.429013733e+01,3.022746700e+00,5.748529539e+00,5.200579654e+01,9.395963983e+01,4.496461268e+01,4.962161801e+01,2.713134712e+00,4.130776638e+01,6.567502940e+01,7.925397380e+01,7.393612663e+01,6.959362250e+01,3.084139041e+01,1.041475413e+01,2.464577330e+01,6.510754081e+01,2.858727121e+01,1.403129984e+01,8.630964666e+01,8.171552426e+01,3.318572920e+01,4.480890440e+01,4.855577285e+01,2.181231447e+01,1.403810676e+01,5.794259253e+00,5.702205558e+01,2.985059657e+01,8.520173998e+01,6.775751120e+01,7.134633393e+01,3.136799221e+01,5.507319909e+01,7.218977926e+01,7.303052130e+01
2.768525209e+01,2.104925298e+01,6.813513644e+01,9.742538923e+01,6.071210377e+01,1.878773078e+01,1.080176568e+01,3.547451782e+01,1.725671880e+01,7.643930847e+01,7.840865484e+01,2.737529178e+01,8.907035035e+01,7.926871001e+01,4.144540152e+01,5.394707952e+01,5.244369701e+00,8.251948841e+01,9.211062804e+00,6.457291022e+01,7.145209515e+01,9.720309151e+01,7.859889985e+00,8.597981129e+01,9.153351685e+01,8.895830085e+00,6.328142060e-01,4.518870963e+01,5.567781440e+01,5.949455645e+01,4.509299724e+01,5.053320565e+01,4.189221942e+01,9.759111520e+01,6.420012756e+01,5.542826359e+01,1.016198782e+01,6.324276333e+01,9.192710855e+01,2.177586985e+01,3.805320385e+01,4.484617239e+01
6.222083093e+01,7.793881808e+01,7.297996421e+01,9.632239447e+01,2.697397961e+01,1.317857339e+01,1.613873347e+01,9.630605867e+01,8.334447694e+01,8.888211166e-01,2.336042894e+01,7.552146867e+01,1.395185664e+00,7.204189161e+01,8.756968101e+01,3.210338669e+01,5.211362504e+01,4.526415181e+01,5.835531684e+01,3.866734508e+01,3.278957690e+01,2.501525692e+01,8.759179701e+01,6.764591273e+01,3.520610665e+00,6.266527851e+01,9.494201310e+01,4.142083926e+01,8.583643594e+01,4.198252932e-01,7.896276254e+01,4.595844836e+01,1.439206717e+01,7.350537500e+01,1.168965735e+01,1.281208909e+01,2.586955694e+01,4.618448381e+01,9.555236222e+00,5.922151764e+01,6.451393015e+01,4.955172012e+01
7.245561241e-02,7.255255349e+01,5.788808018e+01,2.044103288e+01,2.126636407e+01,6.366814817e+01,6.898234203e+01,2.553989767e+01,9.924747647e+01,4.991688381e+01,1.183379079e+00,9.388839720e+00,1.145460189e+01,1.084173876e+01,4.644629790e+01,8.179882995e+01,6.227504729e+01,2.630364741e+01,2.294860450e+01,2.782485045e+01,6.859276797e+01,9.003976578e+01,8.289794432e+01,9.844758209e+01,9.215717743e+01,6.239504591e+01,9.596681517e+01,4.606526061e+01,9.952423109e+01,5.230309015e+01,4.988945428e+01,8.592607976e+01,9.289888360e+01,9.232592370e+01,9.941621351e+01,2.957292035e+01,7.974572372e+01,7.429543372e+01,7.908320670e+01,5.371242506e+01,9.834300827e+01,8.928045631e+01
9.168366747e+01,4.234381287e+01,1.073081601e+01,6.304907929e+01,9.454358760e+01,5.367264693e+01,4.673870313e+01,5.592600284e+00,9.956279427e+01,2.523680855e+01,3.097804737e+01,5.608910520e+01,3.195958166e+01,9.525883169e+01,6.667939461e+01,6.242924751e+01,8.595655142e+01,4.048501001e+01,4.703525566e+01,5.493690776e+01,9.235181874e+01,6.972889570e+01,4.371574713e+01,9.524703661e+01,1.118370473e+01,3.367719040e+01,4.985606537e+01,4.679743346e+01,7.599288434e+01,9.219196768e+01,5.538763959e+01,7.869357214e+01,1.842227509e+01,2.035638639e+01,3.494546013e+01,1.936864659e+01,8.669484343e+01,9.602488362e+01,7.273818117e+00,8.221454260e+01,1.923578146e+01,4.439281398e+01
8.078788080e+01,1.208250291e+01,8.977726786e+01,3.032296858e+01,9.364268393e+00,8.566818148e+01,1.507142833e+00,2.396515080e+01,2.386325056e+01,1.986226485e+01,7.831437363e+01,2.604793449e+01,4.427586804e+01,3.337485748e+01,8.409327112e+01,3.391373402e+01,5.581966228e+00,8.770554812e+01,9.427646992e+01,9.787430044e+01,1.036019116e+01,8.456789258e+01,6.478080967e+01,8.972231152e+01,8.717672119e+01,3.848730248e+01,9.999018068e+01,2.289438523e+01,2.923256542e+01,8.233244305e+01,6.477088809e+01,8.867767335e+00,2.023363622e+01,5.606313026e+01,1.196920603e+01,3.365733288e+01,6.746959385e+00,8.802493184e+01,5.774519545e+00,7.451093689e+01,4.831629347e+01,5.958322851e+01
9.666234735e+00,3.979514824e+01,3.759372192e+01,1.784940696e+01,3.692432683e+01,2.232763842e+01,5.873294800e+01,4.052812904e+01,1.279160723e+01,9.371523206e+01,6.931090443e+01,9.737429766e+01,7.940292503e+01,8.545288020e+01,8.784103648e+01,6.309154343e+01,2.089360576e+01,7.333795222e+01,7.739909892e+00,6.894514131e+01,2.028738855e+01,5.767683529e+01,2.559526060e+00,1.799244323e+01,3.281887771e+01,1.332120855e+01,2.890421626e+01,6.326656915e+01,4.640076975e+01,8.208397267e+01,9.182003878e+00,6.718241113e+01,3.648692052e+01,6.237597979e+01,6.399548896e+01,3.734118650e+01,2.642723605e+01,7.978955635e+01,8.393838079e+01,1.564055097e+01,1.111283734e+01,8.722316176e+01
4.544820096e+01,8.223122868e+01,4.607852207e+01,6.593751363e+01,6.665694653e+01,7.032676430e+01,7.253572055e+01,7.572372489e+01,1.460485599e+01,1.525340299e+01,2.591595561e+01,5.338419911e+01,2.911341892e+00,3.434204953e+01,7.372172102e+00,4.337710877e+01,1.477924653e+01,3.541978565e+01,1.197590473e+01,6.938784361e+01,8.011905917e+01,6.658695434e+01,5.223398306e+01,2.638310167e+01,4.675665572e+01,8.591288553e+01,5.852344395e+01,3.345485928e+01,9.515514591e+01,6.077575350e+01,1.522350837e+01,6.539652913e+01,3.160714707e+01,7.657318650e+01,6.249687572e+01,2.629137012e+01,7.551090414e+00,5.728489007e+01,2.751996046e+01,7.636231563e+00,2.265922644e+01,1.864599857e+01
4.461186352e+01,8.160260131e+01,5.881031787e+01,1.538415175e+01,7.627518114e+01,2.516667255e+01,3.238393447e+01,4.086202217e+01,7.495186119e+01,8.333529802e+01,8.666869113e+00,8.060843058e+01,8.922387537e+01,9.444017326e-01,5.770916910e+00,4.352807713e+00,4.896544406e+01,7.861330054e+01,8.459343237e+01,7.219775646e+01,4.476662679e+00,6.576557621e+01,7.093492657e+00,4.400095069e+01,3.812954681e+01,7.690938987e+00,2.714768595e+01,7.980054318e+01,2.538235993e+01,8.973033382e+01,3.324246625e+00,9.410173428e+01,1.901851275e+01,2.344770424e+01,5.035270852e+01,6.846874087e+01,4.495218109e+00,5.825239924e+00,6.819638490e+01,4.496189555e+01,5.277409764e+01,2.514451127e+01
6.280495818e+01,6.788932002e+01,9.672271672e+01,1.881824375e+01,5.956797931e+01,8.159967962e+00,1.884389082e+01,9.103154354e+01,2.358368982e+01,6.719963965e+00,2.442750936e+01,3.440853729e+01,3.138584325e+01,9.463490725e+01,1.888429346e+01,2.261514456e+01,5.093197949e+01,8.078911059e+01,8.013381287e+01,7.142146039e+01,8.449151636e+01,2.535433936e+01,6.239158669e+00,2.668952244e+01,5.409727096e+01,6.235203160e+00,8.627045050e+01,7.387728253e+01,9.272715934e+01,5.921848180e+00,9.301844233e+01,6.690594225e+01,2.327579835e+01,9.634902328e+01,7.536941138e+01,2.569124401e+00,5.109175840e+01,7.160433074e+01,6.431588802e+01,4.541849118e+01,4.660927788e+01,7.650766221e+00
7.800483121e+00,7.096102959e+01,4.693081732e+01,4.533289316e+01,4.096222351e+01,3.023426297e+01,1.150639499e+01,6.960039999e+01,3.055839030e+01,3.757583793e+01,5.629331156e+01,6.824235509e+01,5.600533356e+01,7.232538911e+01,9.845939453e+01,7.802861041e+00,6.119291830e+01,4.653908445e+01,1.925230799e+01,3.857136561e+01,8.167745328e+01,1.271518814e+01,3.158609735e+01,8.513343860e+00,6.956144145e+01,4.735499594e+00,5.690561659e+01,3.370323925e+01,4.157690659e+01,6.269251395e+01,1.229198114e+01,5.087444756e+00,8.195987710e+01,6.817523019e+00,6.875827555e+00,5.300623677e+01,1.789651067e+00,6.787302041e+01,8.816071668e+01,9.355374393e+01,7.652230716e+00,4.634285468e+01
8.486619061e+01,3.180434125e+01,2.308252524e+01,5.955995546e+01,3.701538750e+01,1.104332012e+01,5.229312263e+01,9.922826784e+01,2.175936554e+01,1.488975050e+01,3.460407449e+01,2.681484383e+01,6.911859953e+01,1.940439262e+01,8.924165583e+01,4.888404180e+01,8.563993381e+01,4.930094916e+01,4.527964041e+01,4.205926650e+01,6.860483088e+01,5.590109991e+01,6.969974336e+01,4.890952704e+01,1.845180937e+01,4.865943920e+01,1.038332915e+01,9.521344582e+01,8.980052511e+00,3.527224728e+01,8.914241730e+01,7.884347373e+01,5.593226167e+01,4.808706784e+01,4.067743040e+01,5.374925006e+01,6.317110315e+00,8.594781608e+01,2.374931747e+01,9.008911582e+01,5.442667664e+00,7.813398995e+01
8.716367382e+01,1.711011173e+00,2.597528745e+01,3.471262681e+01,1.793022235e+01,8.385613179e+01,6.560502303e+01,3.390340562e+01,2.499867216e+00,6.997518525e+01,6.121458840e+01,3.789366026e+01,9.541627077e+01,9.102519290e+00,8.364778066e+01,9.491690068e+01,6.160954631e+01,7.285786735e+01,3.901722499e+01,3.224076500e+01,9.631046065e+01,4.132991562e+01,4.472985151e+01,6.390665901e+01,6.497202579e+01,4.966765186e+01,2.571990771e+01,7.415112059e+01,4.282409580e+01,5.284079927e+01,7.569792600e+01,9.264579872e+01,2.884237604e+01,4.975568526e+00,6.851734360e+01,9.571398566e+01,5.029607906e+01,7.965719662e+01,7.766788218e+01,7.102856569e+01,9.236171076e+00,5.923855374e+01
3.743745499e+01,9.015761034e+01,6.369192409e+00,3.911020911e+00,9.544703020e+01,5.350627817e+01,5.090026262e+01,8.774810345e+01,3.499443097e+01,8.651763376e+01,7.422716602e+01,2.496257822e+01,3.574313750e+01,7.942591216e+01,2.743997620e+01,1.351300396e+01,9.429367743e+01,9.387488527e+01,8.358830453e+01,6.129479781e+01,7.035361305e+01,3.556444808e+01,9.946962213e+01,4.298480988e+01,1.243476310e+01,3.181231080e+01,9.262214763e+01,7.109892683e+01,4.319605350e+01,2.697713014e+01,1.675721455e+01,6.808474405e+00,9.043124901e+01,5.244369229e+01,6.723769682e+01,6.062105336e+01,5.761823577e+01,3.797688665e+01,8.009680063e+01,8.550213701e+01,7.931101481e+01,1.145614432e+01
7.297997273e+01,8.121163487e+00,1.028094050e+01,8.706111600e+00,5.865380824e+01,6.525656717e+00,4.120395946e+01,1.514074530e+01,8.254686405e+01,5.876188466e+01,1.421706728e+01,5.175332796e+01,2.240166260e+01,6.638823062e+01,2.793512118e+01,7.446731865e+00,2.936274893e+01,5.301665363e+01,8.846380609e+01,9.117239672e+01,2.634360540e+01,8.916814719e+01,1.052206854e+01,3.565789956e+01,6.219323152e+01,2.526436902e+01,6.008197553e+01,5.905617625e+00,9.343270006e+01,2.354460752e+01,3.189826820e+01,1.203223587e-01,4.361364500e+01,9.464504322e+01,3.525489596e+01,6.134250290e+01,5.320574534e+01,7.114574055e+01,8.670657788e+01,3.669016675e+01,8.395832311e+01,6.616505312e+01
3.357753627e+01,5.260039142e+01,9.242662577e+01,1.717976608e-01,8.512878332e+01,7.767764785e+01,8.442145929e+01,5.581812336e+01,6.826913302e+01,4.318315807e+01,1.455991688e+01,8.215746047e+01,9.299387647e+01,7.431207919e+01,2.801514463e+01,1.396985922e+01,3.649446782e+01,7.301447652e+01,5.319028891e+01,1.602682708e+01,2.696653898e+01,6.258992928e+00,5.915449802e+01,7.329493507e+01,4.229646841e+01,9.453282155e+01,7.329363624e+01,6.871859811e+01,9.121384024e+01,5.723791535e+01,3.258335249e+01,9.553199820e+01,5.826727673e+01,6.929154762e+01,3.398731211e+01,4.854970790e+01,8.747547154e+01,3.713909099e+01,9.480349951e+01,9.175329027e+01,5.441274909e+01,5.213812739e+01
