v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54
8.988110888e+01,9.972691673e+01,3.608260899e+01,7.653674284e+01,4.181024686e+01,9.623694763e+01,6.722168486e+01,3.422646261e+01,7.700834805e+01,2.333372171e+01,1.638252356e-01,1.074707134e+01,7.774091929e+01,8.841318248e+01,3.779948673e+01,9.066524479e+00,6.549953878e+01,1.341066036e+01,1.100367933e+01,4.749477205e+01,2.002281194e+01,3.543381402e+01,4.671622017e+01,9.001716079e+01,2.101701892e+01,5.383793622e+00,2.983718563e+00,5.246548422e+01,1.486889911e+01,9.179809173e+01,2.006445802e+01,2.248294124e+01,3.581698230e+01,7.773203305e+01,7.753263684e+01,9.106118476e+01,5.748353921e+01,7.007355966e+01,8.765698561e+01,2.629409077e+01,2.097495842e+01,4.579951928e+01,8.780827705e+01,4.180232022e+01,6.131440225e+01,2.872128287e+01,8.355756496e+01,3.606832231e+01,4.808834858e+01,1.585982931e+01,1.141581226e+01,3.734836947e+01,4.351588505e+01,1.624025748e+01
9.611255071e+01,3.196767697e+01,3.755279394e+00,9.744400222e+01,2.034182243e+01,8.422054286e+01,9.367929018e+01,8.585269597e+01,3.972209424e+01,9.878308894e+01,4.803137982e+01,3.158120306e+01,3.679394616e+01,1.318422842e+01,8.397882367e+01,2.455284021e+01,2.290135247e+01,1.222485199e+01,2.357997349e+01,5.418704618e+00,1.156901076e+01,4.608077200e+01,4.495385716e+01,7.975928208e+01,3.116079415e+01,8.487381770e+01,2.354289216e+01,3.429415647e+01,3.103447108e+01,8.366733380e+01,5.733772693e+01,3.644438693e+01,3.477315581e+01,1.873755655e+01,2.644976121e+01,3.452018959e+01,4.051205622e+01,7.792899532e+01,3.635292479e+01,7.253378548e+01,9.171737638e+01,1.129758654e+01,4.324868552e+01,4.696090830e+01,5.459785476e+01,7.289784593e+00,8.123874875e+01,2.878626566e+01,7.186159204e+01,7.840046581e+01,3.822770055e+00,9.469342581e+01,3.476264331e+01,3.314261746e+01
4.418858801e+01,7.922652575e+01,9.693455808e+01,9.920737835e+01,8.088410572e+01,2.526135102e+01,2.959159153e+01,5.451073428e+01,1.603707498e+01,4.688745292e+01,9.637221862e-02,4.918995403e+01,3.034723795e+01,6.539802288e+01,9.892589176e+01,2.829218949e+01,7.190758287e+00,7.816704270e+01,3.663358913e+01,5.122526860e+01,5.886399960e+01,9.361269653e+00,7.133568856e+01,4.211507099e+00,6.446754343e+01,5.959233792e+01,8.069359288e+01,7.629793735e+01,8.847617932e+01,1.799154346e+01,1.443545914e+01,7.664601326e+00,8.653011297e+00,1.574599564e+01,7.178635742e+01,5.799465218e+01,7.697451250e+01,7.471459539e+01,3.081107384e+01,4.938223769e+00,6.954639798e+01,8.828203810e+01,9.025025373e+01,8.976038636e+01,4.505471708e+01,3.407058696e+01,2.422255262e+01,6.588470852e+01,8.913352348e+01,7.058284987e+01,7.148359017e+01,8.102352314e+01,1.496486275e-01,3.953939872e+01
9.376348319e+01,3.538836864e+01,2.855255765e+01,3.545331567e+01,3.856724307e+01,7.524067459e+01,3.291586544e+01,9.302584799e+01,6.687510036e+01,3.612692036e+01,2.849588518e+00,6.402060728e+01,9.663810597e+01,1.854636966e+01,4.365313160e+01,2.401244244e+01,2.140983025e+01,7.010095181e+01,6.156823094e+00,6.769227683e+01,3.201362038e+01,1.002551992e+01,4.210044374e+01,4.274538392e+01,1.150665397e+01,2.876849223e+01,6.294984437e+00,2.444771573e+01,5.730346179e+01,1.142615400e+01,7.693280972e+01,4.426041305e+01,3.594562045e+01,1.020593911e+01,7.863004625e+01,6.957238461e+01,5.094549217e+01,6.169676648e+01,8.032802097e+01,3.568050177e+00,6.105246652e+01,3.478482183e+01,7.847652293e+00,3.556624707e+01,5.909567093e+01,4.709148243e+00,2.621723875e+00,2.636981317e+01,1.688599492e+01,2.947573419e+01,8.720434010e+01,9.595907391e+01,9.807450214e+01,3.886157257e+01
9.176312702e+01,2.680814557e+01,7.475486070e+01,5.984122440e+00,4.704107359e+01,2.085250749e+01,9.427410641e+01,7.365697210e+01,7.693948278e+01,8.170943226e+01,3.623367926e+01,1.331985067e+01,7.471923527e+01,8.927087784e+01,8.196593379e+01,7.970151942e+01,9.039416154e+01,7.131235040e+01,7.654530157e+01,1.495020545e+01,3.292598347e+00,3.130225000e+01,8.800055373e+01,1.968384701e+01,4.451204717e+01,3.618948153e+01,2.850362955e+01,8.110463364e+01,8.057055565e+01,5.547120032e+01,2.214325473e+01,9.908914079e+01,5.854862269e+01,4.298806128e+01,3.580141581e+01,3.486223552e+01,7.301577554e+01,9.691092409e+01,6.223313122e+01,8.607774256e+01,1.645645558e+01,6.343437691e+01,7.461624176e+01,4.651517071e+01,6.019902486e+01,9.984064695e+01,7.171516577e+01,2.152063183e+01,6.807108614e+01,3.674059640e+01,4.483336435e+00,9.962799728e+01,6.389047744e+01,5.013657085e+01
8.625310517e+01,9.254964718e+01,3.917926763e+01,1.147895650e+01,4.577553992e+01,3.511256503e+01,5.331736310e+01,5.198062560e+01,4.624453711e+01,2.919046929e+01,7.949825765e+01,6.396669620e+01,6.077274862e+01,3.150442527e+00,7.537398771e+01,9.633756574e+01,4.625123501e+00,5.438202142e+01,9.661195220e+01,3.767819103e+01,2.682915316e+01,5.415354756e+01,9.023373331e+01,7.704070647e+01,3.066486905e+01,3.644952779e+01,2.884245367e+01,2.262152638e+01,2.804466444e+00,2.002005824e+01,1.157746378e+01,5.156471896e+01,4.260826673e+01,8.359560295e+01,2.577947631e+00,1.579769646e+01,8.660625318e+01,6.614528304e+01,3.516988698e+01,9.876300537e+01,2.366537713e+01,4.978695096e+01,6.923898468e+00,2.447846163e+01,5.397251850e+01,9.667792116e+01,5.028039669e+01,6.619999634e+01,5.185745659e+01,9.863607982e+00,2.763127710e+01,7.568152741e+01,9.046501047e+01,1.394091817e+01
7.798796613e+01,7.478971802e+01,7.180084622e+01,5.368349990e+01,9.131641221e+00,1.718018618e+01,3.706604351e+01,8.014581986e+01,7.015951580e+01,5.706809975e+01,6.052691337e+01,5.199536750e+00,2.610409572e+00,7.983649625e+01,1.222873793e+01,9.479239075e+01,1.807796909e+01,7.562936696e+01,8.387105918e+01,8.608842373e+01,4.532161322e+01,6.165961118e+01,9.469764002e+01,1.819119786e+01,3.743996709e+01,2.435163431e+01,5.688807987e+01,2.830668810e+01,8.653346391e+01,5.428336530e+01,5.211706132e+00,1.798093692e+01,6.438349231e+01,7.300358363e+01,4.213058221e+01,8.991887615e+01,6.314096751e+00,5.836196610e+01,1.295481180e+01,1.670765647e+01,4.702064371e+00,4.925982420e+01,6.121234713e+01,2.386701488e+01,9.841698043e+01,7.958986733e+01,2.226434789e+01,2.708759695e+01,6.227363014e+01,4.674693535e+01,6.211231938e+01,5.253065724e+01,5.276913808e+01,4.767701558e+00
3.140693839e+01,3.739091171e+00,2.239668696e+01,9.771667101e+01,4.506303657e+01,5.135458281e+01,7.053546718e+01,7.288072958e+01,6.139074411e+01,5.194723237e+01,9.381873205e+00,1.678699650e+01,4.032643468e+00,3.686981140e+01,5.428928850e+01,8.586417101e+01,8.854618205e+01,6.994852696e+01,3.053914976e+01,9.267213484e+01,6.243498309e+01,2.042251632e+00,1.819765525e+01,1.957942980e+01,1.824975247e+01,1.712360100e+01,8.905422320e+01,9.667174470e+01,4.707661964e+01,4.476110847e+01,6.107039745e+01,3.776187388e+01,9.062102821e+01,9.181924281e+01,2.376432672e+01,6.692244995e+01,5.699737347e+00,4.098922656e+01,2.511318396e+01,5.861102004e+01,5.863732028e+01,7.265947785e+01,3.853559373e+00,1.758687637e+01,3.389204311e+01,2.118721675e+01,4.330024354e+01,2.906002479e+01,2.665827904e+01,2.884410552e+01,8.022950924e+01,4.782831600e+01,6.534588442e+00,9.571466082e+01
1.049661603e+01,2.971524563e+01,7.701040117e+01,4.530590145e+01,1.460297988e+01,1.524399013e+01,3.918941009e+01,5.065807559e+01,6.107370566e+01,8.279322059e+01,1.760936158e+01,5.624377394e+01,3.910819238e+01,1.263960026e+01,4.080873152e+01,3.077937421e+01,3.762699331e+01,2.621771024e+01,8.692647501e+01,3.030345714e+01,2.754665425e+01,3.947141331e+01,8.614494960e+01,4.613316420e+01,6.403135491e+00,4.677325653e+01,6.577054194e+01,9.752005148e+01,1.478425468e+01,7.116542287e+01,6.416381220e+01,5.030076881e+01,8.997082135e+01,9.608696705e+01,6.867351637e+01,4.570925350e+01,8.902437378e+01,9.879810193e+01,7.069485711e+00,5.610352862e+01,7.526733508e+01,2.682827766e+01,7.005691225e+01,2.507007656e+01,2.728499092e+01,1.265905649e+01,2.336092405e+01,8.198748617e+01,9.712478631e+01,9.727633023e+01,9.427562180e+01,3.561270388e+01,7.925867897e+01,8.778235961e+00
6.288439587e+01,9.605764935e+01,8.779516062e+01,7.788916784e+01,9.098725958e+01,9.531961376e+01,4.340456629e+01,8.705604132e+01,9.357236880e+01,7.781885202e+01,4.346108648e+01,1.111168903e+01,8.811031021e+01,2.364915047e+01,4.506170728e+01,3.191762052e+01,8.690453910e+01,4.565988665e+01,9.805144716e+01,5.219655721e+01,7.521984940e+01,8.746541193e+01,2.646385541e+01,6.118238055e+01,9.545656608e+01,9.578233782e+00,1.337743233e+01,1.191643373e+01,7.278234475e+00,1.728913016e+01,8.469304871e+01,3.700792156e+01,1.189692158e+01,4.836845866e+01,8.130687590e+01,2.490938362e+01,2.315605353e+01,1.093781963e+01,9.521886450e+00,8.160534522e+01,6.761886540e+01,8.431416743e+01,4.470701881e+01,4.714056533e+01,1.477430502e+01,8.992492478e+01,5.537695389e+01,4.018915574e+00,4.476387487e+01,2.565477201e+01,5.016810169e+01,9.215846914e+01,3.749177296e+00,4.351431395e+01
7.788512924e+01,5.439079094e+01,6.352740631e+01,5.886068550e+01,2.527206487e+01,9.657462876e+01,9.166663773e+01,5.582037111e+01,5.182553136e+01,6.843518425e+01,9.164869714e+01,3.618306625e+01,5.527368880e+01,3.850684129e+01,9.556657530e+01,8.067530839e+01,3.423561597e+00,7.025634127e+01,9.455551379e+01,8.765577975e+01,7.499719929e+01,4.181526938e+00,9.588163362e+01,5.048637411e+01,6.528495310e+01,9.481431357e+01,9.402593302e+00,6.237643562e+00,9.547335356e+01,4.534022270e+01,4.307361277e+01,7.221250518e+01,7.872238521e+01,2.388664178e+01,9.297199797e+01,1.121303543e+01,6.614475935e+01,5.752950324e+01,9.891006980e+01,3.690562417e+00,2.624009537e+01,8.069454877e+01,8.710372255e+01,7.694353283e+01,3.307599735e+01,2.667429127e+01,2.666023625e+01,6.657340072e+01,1.020688882e+01,6.249267854e+00,2.291185914e+01,8.467448542e+01,8.306900097e+01,1.902372254e+01
3.053843582e+01,5.699321853e+01,4.631350367e+01,2.836881158e+01,7.546932208e+01,1.921697042e+01,8.333600473e+01,3.240413157e+01,1.670559156e+01,1.971245704e+01,9.122842310e+01,2.848003094e+01,8.774677164e+01,3.804706296e+01,4.869702197e+01,4.400466734e+00,5.214741171e+01,1.272127790e+01,3.102223604e+01,5.926861632e+01,4.942983538e+01,4.076315004e+01,8.885097045e+01,8.416080630e+01,9.833323106e+01,9.585435702e+01,3.969610893e+01,7.850839961e+01,3.110331159e+00,3.627630812e+00,4.688878624e+01,2.622026804e+01,9.177054788e+01,4.829061529e+01,4.853913684e+01,3.909730750e+01,3.388151399e+01,4.640814472e+01,3.348382174e+01,7.959591362e+01,6.298620280e+01,2.927153234e+01,4.980915526e+01,6.779364747e+01,3.930382931e+00,9.209769423e+01,6.446895927e+01,7.470576365e+01,8.818275344e+01,7.411926702e+01,6.824792344e+01,4.464243075e+01,5.256952000e+01,6.893187204e+01
3.257870970e+01,4.912974193e+01,1.760019803e+01,1.328657313e+01,3.032920772e+01,9.480964003e+01,9.054730846e+01,7.449296937e+01,1.005509239e+01,5.307317683e+01,1.748384602e+01,1.925576062e+01,8.030490818e+01,2.961849554e+00,5.810610907e+01,7.244292514e+01,6.061554808e+01,5.943309972e+01,6.026005638e+00,3.804421122e+01,7.142920319e+01,6.720792886e+01,9.078322172e+01,5.726928915e+01,4.072043238e+01,2.726249770e+01,9.336296465e+01,6.226949628e+01,7.363728413e+01,3.667937311e+01,1.193515052e+01,2.786485061e+01,9.966543139e+01,8.642323142e+01,6.444956957e+00,7.332329029e+01,4.829697934e+00,8.128108704e+01,2.020869525e+01,4.757913174e+01,6.917619522e+01,7.139672669e+01,6.824073888e+01,5.837105389e+01,9.170416215e+01,9.131472889e+01,3.080949908e+01,4.127115085e+01,5.821138346e+01,4.484689322e+01,6.859003196e+01,1.625663283e+01,3.573569419e+01,5.166890429e+00
9.225971395e+01,6.245950020e+01,4.550639981e+01,2.442030979e+01,1.849432883e+01,4.994325996e+00,7.295314452e+01,9.106520017e+01,3.398966447e+01,9.887385220e+01,9.435623515e+01,3.587418316e+01,3.676410592e+00,2.754422338e+01,7.306265713e+01,8.385253062e+01,2.978155194e+00,9.818874864e+01,4.002920693e+01,8.049623612e+01,3.841538499e+01,2.910806232e+00,3.911027455e+01,3.659398366e+01,2.514517199e+01,5.051249858e+01,3.122669666e+01,7.876261288e+01,3.410504660e+00,7.501744484e+01,8.868394147e+01,5.368595125e+01,6.166269199e+01,7.313062527e+01,3.777510030e+01,4.641581887e+01,4.099862701e+01,9.192112357e+01,1.579457038e+01,5.369932450e+01,3.524032220e+01,8.186460132e+01,1.173434353e+01,6.046058555e+00,4.119931665e+01,5.319711031e+01,3.898017679e+01,3.324077589e+01,8.070324920e+01,4.752686488e+01,4.412276431e+01,9.985531315e+01,5.733911005e+01,5.818460606e+01
5.971942308e+01,5.875138930e+01,3.853370240e+01,8.360793622e+01,4.714080957e+01,8.898409467e+00,3.170145320e+01,9.689785692e+01,6.935105490e+01,1.116138714e+01,5.942210430e+01,7.803920361e+00,1.389426391e+00,3.410365615e+01,1.231419036e+01,9.279285020e+01,8.765292257e+01,3.398614509e+01,5.058747702e+01,4.349749060e+01,6.153868041e+01,8.491997313e+01,8.300008292e+01,3.221100327e+01,5.540566755e+01,6.959615249e+01,1.394466866e+01,9.742504853e+00,8.520969405e+01,2.359961557e+00,8.632704535e+01,4.350564890e+01,7.448193866e+01,2.580420564e+01,7.556155914e+01,7.893522635e+01,9.534125140e+01,1.653248868e+01,6.809519100e+01,8.230433173e-01,4.400075474e+01,6.915084959e+01,6.848870809e+01,8.644234342e+00,1.833811685e+01,8.980475307e+01,5.488034211e+01,9.372436193e+01,1.189562459e+01,7.597804124e+01,7.484128295e+01,3.047984711e+01,2.958210766e+01,2.834540052e+01
8.999533378e+01,6.461134135e+01,6.258734303e+01,7.215742956e+01,6.515894544e+01,2.766716423e+01,5.665679935e+01,9.062424140e+01,9.811200477e+01,7.323621628e+01,5.922395071e+01,6.581623372e+01,8.434666922e+01,7.648159628e+01,3.423938796e+01,3.182699132e+01,1.929488845e+01,5.680127371e+01,8.285036968e+01,6.939710058e+01,5.640310757e+01,8.157768723e+01,3.131412286e+01,6.448505589e+01,2.842981775e+01,1.352721612e+01,6.048375273e+00,7.974189996e+01,4.731404335e+01,1.329726493e+01,5.978507989e+01,8.396871197e+01,5.002249319e+01,4.638884442e+01,4.896443258e+01,4.608980269e+01,7.615826055e+01,2.715963240e+01,6.278512095e+01,8.311488309e+01,2.643867752e+01,1.476646236e+00,1.421216034e+01,8.952613144e+01,6.747124568e+01,7.672470828e+01,7.839398116e+01,5.965944444e+01,2.349718252e+01,1.164627228e+01,6.942770459e+01,2.707598680e+01,1.976457223e+01,4.780169691e+01
3.904680214e+01,4.147866524e+01,4.299613403e+01,7.935352644e+01,5.288725710e+01,3.501361679e+01,3.846772058e+01,2.161058362e+01,7.685623862e+01,6.607959111e+01,8.596018522e+01,9.348672157e+01,8.600374115e+01,5.602477430e+01,1.929381967e+01,7.088308443e+01,1.670928760e+01,8.726803366e+01,8.813801021e+01,4.263941499e+01,7.945215169e+01,4.818287975e+01,4.358972976e+01,8.051226082e+01,6.102004840e+01,3.404138805e+01,2.072763101e+01,7.435398766e+00,4.244974912e+01,7.813467392e+01,1.453450806e+01,6.341627047e+01,4.672094246e+01,4.415373627e+01,1.455295082e+01,4.419994272e+01,5.873004069e+01,8.329507082e+01,3.526049754e+01,1.550277869e+01,5.070134404e+01,4.774786366e-01,2.795433588e+01,1.165610899e+01,1.293513054e+01,8.910444312e+01,3.618041296e+01,6.106080272e+01,7.237574897e+01,3.516775832e+01,9.143415709e+01,7.146113926e+01,2.288525443e+01,9.296649718e+01
9.238728648e+01,2.589292680e+01,4.984461306e+01,5.976135873e+01,1.193924516e+01,2.545049240e+01,5.446510935e+01,6.404161192e+01,1.561053197e+01,3.670791230e+01,4.978027424e+01,4.730646362e+01,4.883064530e+01,5.417179859e+01,6.483063243e+00,7.693476232e+01,3.572838025e+01,4.104942788e+01,3.580045475e+01,7.639894483e+01,1.370592093e+01,4.224969075e+01,1.362163001e+01,5.155306864e+01,2.983466079e-01,9.491549982e+01,1.897457290e+01,7.358850964e+01,7.662694923e+01,2.511064442e+01,2.988965165e+01,6.099516457e+00,6.781521871e+01,6.832072392e+00,3.373936099e+00,3.838931084e+01,5.463167860e+00,2.617915337e+01,3.501571878e+01,1.835589586e+00,2.603255517e+01,5.874871608e+01,6.721439693e+01,9.161590289e+01,2.317959824e+01,1.064204275e+01,6.762745700e+01,8.139479263e+01,6.474323638e+01,7.742868275e+01,4.753108373e+01,6.883923705e+00,6.425633961e+01,6.108403533e+01
