v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74
1.812541271e+01,2.721854676e+01,1.967782998e+01,1.944592043e+01,1.211204182e+01,7.960952369e+01,7.438308152e+01,1.456660826e+00,1.993585113e+00,1.561944002e+01,7.898175172e+01,5.070449710e+01,2.385214706e+01,9.543209187e+01,6.155783078e+01,6.799333092e+01,5.587627687e+01,9.998016111e+01,6.798920018e+01,6.734819809e+01,4.307640322e+01,8.770533071e+01,2.118213488e+01,2.556021872e+01,2.658788096e+01,1.531966712e+01,3.991885555e+01,9.060767899e+01,5.918306390e+01,2.414386988e+01,4.784504017e+01,2.225013154e+01,2.673758513e+01,8.858711764e+01,4.921215414e+01,1.470793321e+01,2.149600737e+01,2.743276854e+00,2.618861908e+01,3.378943815e+01,9.333207421e+01,8.445887213e+01,2.261740934e+01,4.682018903e+01,3.007097535e+00,6.527873403e+01,4.027481240e+01,6.919110962e+01,2.776714939e+01,8.828744811e+00,8.562445081e+00,5.867149277e+01,1.123630671e+01,1.362099148e+01,7.001809980e+01,5.283660508e+01,4.554179374e+01,7.206037378e+01,9.206476983e+01,8.159729245e+01,9.604301490e+01,6.558295861e+01,1.276461541e+01,8.219292127e+01,9.806296092e+01,6.872944672e+01,9.753460141e+01,8.164467326e+01,6.407378904e+01,3.463758816e+01,1.819126749e+01,8.843162098e+00,8.014185354e+01,8.723254604e+00
9.170521910e+01,6.237538977e+01,1.931265573e+01,6.077642122e+01,6.849355578e+01,4.828456878e+01,7.135252151e+00,1.862103862e+01,5.903099776e+01,8.664794231e+01,1.184869119e+01,9.637131225e+01,2.505297317e+01,6.904629579e+01,7.472453831e+01,4.787830261e+01,2.640829116e+01,9.016971928e+01,6.944284591e+01,8.626301201e+01,8.765614316e+01,6.816752228e+01,4.596959759e+01,3.762539592e+01,4.684833450e+01,4.855819656e+00,1.263122911e+01,5.547798869e+01,4.056989139e+01,2.292824991e+01,6.607716736e+01,5.107968149e+01,7.756088781e+01,2.662882251e+01,1.129691092e+01,5.331746929e+01,5.355966585e+01,3.501054630e+01,4.224019615e+01,1.634901324e+01,4.366122691e+01,9.350168590e+00,4.100261180e+01,4.910536788e+01,5.620970728e+01,8.801083617e+01,5.238621022e+01,2.456913017e+01,5.308274069e+01,7.868711910e+01,2.003860236e+01,9.317769545e+01,8.400634192e+01,9.613853861e+01,6.135564152e+01,8.481861955e+01,5.814119789e+01,5.697101630e+01,7.080406213e+01,5.195352661e+01,6.881014424e+01,9.175617146e+01,5.500258314e+01,9.753896480e+01,8.384961981e+01,5.514953455e+00,1.359457083e+01,8.475887572e+01,2.235172781e+01,4.507863545e+00,2.036080839e+01,8.964368892e+01,3.240102602e+00,3.737504048e+01
6.618148306e+01,1.949024467e+00,3.875300281e+01,1.379013705e+01,7.690812466e+00,3.990346718e+01,3.810740717e+01,5.399134375e+01,2.338404994e+01,3.746857581e+01,5.889869381e+01,2.871523761e+01,8.097139482e+01,1.419090591e+01,7.752509627e+00,7.441288257e+01,6.000822821e+01,4.749737643e+01,7.348379423e+01,6.782291070e+01,6.222358190e+01,7.613231183e+00,2.152810180e+01,4.902259108e+01,5.271819500e+01,8.991405017e+01,6.389660347e+01,6.952838883e+01,7.461923578e+01,9.976051740e+01,6.267613207e+01,5.494917949e+01,3.680541535e+01,5.835504371e+01,3.804320927e+01,8.139184668e+01,5.629352708e+01,1.858620463e+01,9.918983200e+01,5.589334524e+01,6.616461355e+01,7.242602253e+01,5.084026136e+01,9.016224217e+01,4.062434883e+01,4.753998218e+01,2.691105073e+01,8.943370342e+01,9.820351546e+01,5.607219868e+01,7.475475286e+01,3.412117242e+01,4.088993240e+01,1.390011281e+01,9.109677432e+01,2.340025298e+01,5.967167409e+01,9.265199131e+01,4.718685890e+01,5.282830961e+01,1.224533792e+00,2.397142504e-02,4.611193079e+01,8.150373704e-01,3.470176846e+01,4.712621519e+01,1.409443925e+01,6.237135878e+01,8.365152930e+01,7.498063322e+01,7.212451327e+01,9.919135033e+01,3.545202171e+01,6.003720534e+01
2.566616658e+01,8.401710835e+01,7.466449234e+01,7.891764094e+01,5.189738658e+01,7.177098618e+01,8.886136037e+01,3.795611003e+00,2.262778307e+00,6.543222799e+01,4.148612876e+01,4.679278456e+01,2.008386947e+01,1.198045647e+01,3.234231370e+01,3.505129234e+01,4.723710212e+01,6.113022767e+01,3.477734807e+01,6.091886553e+01,9.137618717e+01,5.675676777e+01,4.320001342e+01,6.094049910e+01,9.226590262e+01,2.213207522e+01,5.315423686e+01,7.251502464e+01,3.365589533e+01,3.404852791e+01,4.854321652e+01,3.212416952e+01,3.202720497e+01,6.362922617e+01,3.532410727e+01,6.526754101e+01,1.589488379e+01,4.156359653e+01,1.667943019e+01,7.340997024e+01,2.387028288e+01,3.678810177e+01,6.585792115e+00,7.551820446e+01,2.154704130e+01,6.855291395e+01,5.437084494e+01,9.192812095e+01,9.808498072e+01,7.042709808e+01,2.508029294e+01,3.953544923e+01,8.356346959e+01,1.286367643e+01,4.047241214e+01,6.289600540e+01,3.765935406e+01,8.283433793e+01,1.935200642e+01,3.930328485e+01,1.005422803e+01,1.346304379e+01,8.417190544e+00,5.470463033e+01,4.826237954e+00,9.621251016e+01,5.035021945e+01,1.835888110e+01,5.784819499e+01,2.446130628e+00,8.668334406e+00,1.482602853e+01,4.056161140e+01,8.697972056e+01
3.643955463e+01,5.450407860e+01,8.198688660e+01,5.459712153e+01,7.598814520e+01,4.286188305e+01,4.340547961e+00,5.645310229e+01,6.825600235e+01,6.811083631e+01,4.932523674e+01,5.709319705e+01,6.149292989e+01,3.678487103e+01,8.551069938e+01,5.447774517e+00,8.540367097e-01,6.077631364e+01,2.564601569e+01,6.962145850e+01,2.429515216e-01,1.320789384e+01,3.144685360e+00,3.195596689e+00,7.459301925e+01,7.195658073e+01,5.444258145e+01,1.789950008e+01,1.203757580e+01,8.604403650e+01,3.744344565e+01,8.706535343e+01,2.755356094e+01,3.394047768e+01,7.945781988e+01,2.083222400e+01,6.591990204e+01,3.822852273e+00,4.750738784e+01,2.580416955e+01,1.064319288e+01,2.054500256e+01,3.318429945e+01,2.479657076e+01,4.292404676e+01,7.396677891e+01,3.837796228e+01,9.283365518e+01,4.640734247e+01,6.235827120e+01,8.292850746e+01,9.999240160e+01,8.438030842e+01,9.702644654e+01,8.247297942e+01,6.044838050e+01,4.063940702e+01,5.366530619e+01,6.982582460e+01,8.685988387e+01,3.008772032e+01,6.543463106e+01,8.831110894e+01,2.717258082e+01,7.321440809e+01,8.016560753e+01,5.794799587e+01,3.573634198e+01,9.850574954e+01,2.585865304e+01,1.197100918e+01,7.451736142e+01,4.043660401e+01,9.393140506e+01
8.422614032e+01,7.475646768e+01,5.045506718e+01,2.494437008e+01,6.303338755e+01,9.791395513e+01,3.794181042e+00,2.848411852e+01,7.656920971e+01,2.948584692e+01,6.338573930e+01,4.083737513e+01,7.545420810e+01,3.949995603e+01,5.427454520e+01,7.641405968e+01,7.629599974e+01,4.939473781e+01,6.157611043e+01,2.290272266e+00,2.251168698e+01,4.928446721e+01,1.299813450e+01,8.857243532e+01,8.400193531e+01,6.772916028e+01,9.980625020e+01,3.089243015e+01,3.670909421e+01,3.562605224e+01,7.523135170e+01,4.099568204e+01,5.385163511e+01,8.379212266e+01,1.644790679e+01,9.103055820e+01,5.238108844e+01,1.475357371e+00,6.609246004e+01,2.890583069e+01,1.587653189e+01,4.090966654e+01,8.995162032e+01,4.333689813e+01,7.634486962e+01,2.110050876e+01,2.541772412e+01,6.880036014e+01,8.102551966e+01,4.720313404e+01,8.327802146e+01,2.884713121e+01,6.228752716e+00,1.746782246e+01,7.263846391e+01,7.237951170e+01,2.739544331e+01,4.003693712e+01,7.682109911e+01,7.784272995e+01,3.266204731e+01,4.300479371e+01,7.981789732e+01,6.930836906e+00,7.957060409e+01,2.585894208e+01,7.776004075e+01,7.634323099e+01,8.787695271e+01,2.766423627e+01,1.297368755e+01,8.144268893e+01,6.834901741e+01,9.322194752e+01
8.091329944e+01,5.616940939e+01,2.288684237e+01,4.198053078e+01,9.550840414e+01,4.887792571e+01,7.665884091e+01,6.682770004e+00,2.477509850e+01,3.954193537e+01,7.581769121e+01,4.280002173e+01,7.247874730e+01,3.458232662e+01,8.976481532e+01,9.443184080e+01,1.280323755e+01,6.383242558e+01,1.330455106e+01,9.063224458e+01,6.105638178e+01,2.637360411e+00,7.932965788e+01,8.055588412e+01,8.101053439e+01,7.926175356e+01,9.040271098e+01,7.429884559e+01,8.768349653e+01,5.502582488e+01,5.452906096e+01,6.273909987e+01,9.975626706e+00,7.223058749e+01,5.656499095e+01,7.560623037e+01,9.082614680e+01,9.339810248e+00,3.769485602e+01,1.126810608e+00,5.108301770e+01,7.173358306e+01,7.149257713e+01,9.842804717e+01,9.861410779e+01,3.934799292e+00,6.292102308e+01,4.898739445e+01,9.246387099e+01,7.305255288e+01,5.514785289e+01,2.202395231e+01,8.150414759e+01,4.654969740e+01,4.355302550e+01,3.196701179e+01,3.576307895e+00,5.451541835e+01,9.734331408e+01,9.489380843e+00,9.030077909e+01,1.827558562e+00,3.453658668e+01,4.943190245e+01,9.284684510e+01,3.215197244e+00,9.912869091e+01,9.002966776e+01,2.138683447e+01,7.634763461e+01,7.993719216e+01,2.235040451e+01,3.352649097e+01,2.894815817e+01
7.687226193e+01,6.749146323e+01,9.464029875e+01,6.519671122e+01,9.625015175e+01,7.780781655e+01,9.916565237e+01,9.181004194e+01,7.166354171e+01,1.478364500e+00,9.643225366e+01,1.561872922e+01,6.240304696e+01,9.845650796e+01,4.480277336e+01,8.191326874e+01,4.659753275e+01,9.244917292e+01,2.666286627e+01,6.596452022e+01,5.153205768e+01,1.014166951e+01,1.762997667e+01,2.140749715e+01,6.186254265e+01,4.953327481e+01,2.303842469e+01,9.506450963e+01,7.540676402e+01,5.165642332e+01,1.596424088e+01,2.155379251e+01,3.128046986e+01,3.215190636e+00,5.607129374e+01,4.882833782e+01,4.728590837e+01,2.328034265e+01,9.131874342e+00,3.040320992e+01,1.573727875e-01,2.290440135e+01,9.175795021e+01,1.521215044e+01,1.998574104e+01,1.671016845e+01,5.496351960e+01,4.860163392e+01,4.933339682e+01,6.516552989e+01,4.710709055e+01,8.041815869e+01,2.077221742e+00,5.559347070e+01,8.789030797e+01,5.060369299e+01,5.412665527e+01,2.242560834e+01,9.409521133e+01,7.597101113e+01,8.913846203e+01,7.054398025e+01,6.806874863e+01,4.969727725e+01,9.465429400e+01,9.449331283e+01,1.817944533e+01,2.312957489e+01,9.726500717e+01,5.463497651e+01,1.652935282e+01,3.300117641e+00,8.028295089e+00,2.577060827e+01
1.799960375e+01,8.807262984e+01,1.282641904e+01,2.768137473e+01,9.452089328e+01,9.118955011e+01,5.569617996e+01,2.054777612e+01,7.323954011e+01,2.125824490e+01,7.727467032e+01,4.999070396e+01,3.695728445e+01,1.291817538e+01,4.522928743e+01,5.664718933e+01,9.184641668e+01,2.894844865e+01,8.773368417e+01,4.489965915e+01,3.881109771e+01,3.014940581e+01,6.015209430e+01,7.231047082e+01,4.804805216e+01,7.261269391e+01,4.139553944e+01,5.965326406e+01,2.637889516e+01,9.376473304e+01,2.216855965e+01,9.281262020e+01,3.112393065e+01,7.406579485e+00,1.439548831e+01,4.178380934e+01,2.668330202e+01,6.503090996e+01,8.513940901e+01,1.120927927e+01,7.206906791e+01,2.563018033e+01,7.053861214e+01,6.998866985e+01,2.076512418e+01,5.119862960e+01,3.381380610e+01,8.956983261e+01,7.638404931e+01,3.272894683e+01,7.347411304e+00,6.142991466e+01,7.093455907e+01,4.825565796e+01,4.755929375e+01,2.191856126e+01,6.685404207e+01,2.733865950e+01,3.278801752e+01,7.362748030e+01,7.220146536e+01,6.186714559e+01,8.243843952e+01,3.958850604e+00,7.981466928e+01,8.559921251e+01,1.061651988e+01,1.339805146e+01,8.472903936e+01,5.259825144e+01,1.215786936e+01,8.369388874e+01,5.097580016e+01,6.765844118e+01
8.456738922e+01,9.705318828e+01,8.520811727e+01,7.031981486e+01,1.348772539e+01,9.450503402e+01,1.685882477e+01,2.345204900e+01,2.180558291e+01,6.594546543e+01,8.195142461e+01,2.956168161e+01,6.502438236e+00,9.290507333e+01,7.335757841e+01,9.761928616e+01,3.987348835e+01,3.133015137e+01,4.111040506e+01,3.951572820e+01,6.943171437e+01,2.309999881e+01,4.611528359e+01,1.709162401e+01,6.489161538e+01,8.053361961e+01,5.645434483e+01,3.720232776e+01,9.133334548e+01,9.117363197e+01,1.109299027e+01,6.125961692e+01,8.001943482e+01,3.966722432e+01,1.707300690e+00,4.425634638e+01,1.933499390e+01,2.876946483e+01,2.529442459e+01,7.239848620e+01,5.299566334e+01,6.138264222e+01,3.326517678e+00,6.278367534e+01,7.136354508e+01,1.119166503e+01,1.122500068e+01,2.397819250e-01,4.612810248e+01,5.588008570e+01,3.315798366e+01,2.261813959e+00,1.311648860e+00,7.738941073e+01,3.490442179e-01,6.723553152e+00,7.922351568e+01,8.646666650e+01,8.022611446e+01,3.523537175e+01,5.462310399e+00,8.940934410e+01,9.357452725e+01,6.373950799e+01,8.826728895e+01,2.507764398e+01,3.875416213e+01,2.060230114e+01,5.087005286e+01,9.732498330e+01,5.719105789e+01,7.647494419e+01,6.482740678e+01,2.108265131e+01
