v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62
2.916202893e+00,2.470827774e+01,9.545597415e+01,5.467514978e+01,3.812697713e+00,1.400481388e+01,8.682992946e+01,7.182509483e+01,1.592255705e+01,2.757344457e+01,9.056691213e+01,7.264972266e+01,2.388748226e+01,6.491404839e+01,2.367537044e+01,7.486521440e+01,6.948162475e+01,2.778183620e+01,7.684234092e+01,1.428565888e+01,9.538956259e+01,6.000583637e+01,4.057152699e+01,7.238190489e+01,6.068438869e+01,5.590198363e+01,5.321166539e+01,3.752473700e+01,1.778633370e+01,1.456695695e+01,6.529418184e+01,6.142002666e+01,6.570835170e+01,1.646179996e+01,2.587026569e+01,2.303988893e+01,9.448852306e+01,2.751543942e+01,7.190907622e+01,4.755575053e+01,8.605491782e+01,7.319498123e+01,4.837598497e+01,7.295642110e+01,3.384651914e+01,1.446964454e+01,3.791748625e+01,1.332131191e+01,3.006206083e+01,9.530958644e+00,6.967334843e+01,9.496413326e+01,8.163353192e+00,8.326511504e+01,5.268943072e+01,1.779940419e+01,3.474971574e+01,8.264384768e+01,7.499506251e-01,8.818052488e+01,1.381398304e+01,8.071707265e+01
4.005136986e+01,2.409989649e+01,5.411377646e+01,9.764095533e+01,8.622817939e+01,1.660923219e+01,1.211237299e+01,2.594035115e+01,1.118683703e+01,7.002278402e+01,9.228780659e+01,5.656105856e+01,2.127380362e+01,1.255776529e+01,4.658834728e+01,6.408079368e+01,1.201923652e+01,9.438640161e+00,3.994739491e+00,8.039300227e-01,5.953852885e+01,8.197919477e+01,1.660722562e+00,2.255058226e-01,8.008806889e+01,7.444858017e+00,7.978307882e+01,3.400567950e+01,2.311460328e+01,9.761569014e+01,4.577736995e+01,4.361535898e+01,6.622004123e+01,8.555148219e+01,8.009716773e+00,7.154134708e+01,4.115668002e+01,9.431952245e+01,3.480308246e+01,4.268227225e+00,5.181285784e+01,4.612344299e+01,8.052051671e+01,4.618268429e+01,2.217283029e+01,7.444098781e+01,6.708704084e+01,7.945843979e+01,5.757089610e+01,2.368507054e+01,7.000573850e-02,6.754172307e+01,5.977217809e+01,1.381368403e+01,9.117312779e+01,7.132272964e+01,3.609646651e+01,8.388137007e+01,4.711066915e+01,6.881924018e+01,6.100495559e+01,5.551524714e+01
8.353554951e+00,6.947020084e+01,1.341892348e+01,7.619156530e+01,4.780825541e+01,1.270593855e+00,8.179647077e+01,9.450393304e+00,9.596828036e+01,9.590710745e+01,9.433945180e+01,8.119860233e+01,6.465827650e+01,8.946355017e+01,7.862491205e+01,6.354207969e+01,8.592056120e+01,9.441333373e+01,2.280210781e+01,7.455764926e+01,3.566275226e+01,1.401069816e+01,2.736642733e+01,9.447451570e+01,4.221288419e+01,9.310693161e+01,4.967957154e+01,6.721064665e+01,4.039060854e+01,2.410927961e+01,7.943376569e+01,5.330066913e+01,1.359333880e+01,7.860239295e+01,4.159773567e+01,8.261979720e+01,3.516297947e+00,6.955229660e+01,6.659799393e+01,7.874568299e+01,5.670644477e+01,2.772472973e+01,7.305028713e+01,2.251839961e+01,4.498890004e+01,3.214282976e+00,8.253848956e+00,6.351859333e+01,5.477159023e+01,7.398783540e+01,5.595276095e+01,7.997724053e+01,1.451739223e+01,8.520867058e+01,8.363972235e+01,1.291105471e+01,4.978923243e+01,4.707255389e+01,2.364138121e+00,1.136387188e+01,3.437376838e+01,7.004202072e+00
7.331299920e+01,8.730076306e+01,2.899141322e+01,3.897077135e+01,1.488713812e+01,7.884455913e+01,2.259227576e+01,5.002161534e+01,9.153931924e+00,7.467061953e+01,3.841469507e+01,2.131900012e+01,8.802751842e+01,6.970579965e+01,5.194351845e+01,5.017319793e+01,6.401391298e+00,7.450248396e+01,8.453817340e+01,3.265565366e+01,7.696699892e+01,4.313489393e+01,9.734904782e+01,1.493038834e+01,1.191422881e+01,9.853371162e+01,4.458007007e+01,1.377138203e+00,5.199051021e+00,1.599079172e+01,2.471790470e+01,9.514555760e+01,6.981453663e+01,1.661448469e+01,4.198655047e+01,5.014161792e+00,3.202566794e+01,8.122671527e+00,6.093400590e+01,3.854781235e+01,4.425399962e+01,5.459616129e+01,2.560976514e+01,1.688616710e+01,3.787329851e+01,5.922966239e+01,9.442774041e+01,6.748343264e+01,1.577769263e+01,1.044614864e+01,4.972007693e+01,9.197586627e+01,2.692071305e+00,6.305628462e+01,9.339146123e-01,5.678229416e+00,8.632125327e+01,7.558329595e+01,2.643154660e+01,3.301099170e+01,2.853751711e+01,3.048146003e+01
1.006742510e+00,9.925924563e+01,7.865945523e+01,7.850400504e+01,1.358212824e+01,6.699598067e+01,4.323337203e+01,1.616735518e+01,3.733313031e+01,6.873404014e+01,1.745380749e+00,8.557630418e+01,7.552678481e+01,1.667209913e+01,5.823929240e+01,8.476419894e+01,8.035942818e+01,7.969811772e+01,3.713374085e+01,1.398596715e+01,2.724473536e+01,8.754004126e+00,4.122757999e+01,7.968310033e+01,8.739913095e+01,2.915044885e+01,2.608480910e+01,7.217700862e+01,9.967810856e+01,1.856702570e+01,7.557270372e+01,2.780099698e+01,4.812765300e+01,4.505829202e+01,5.973112985e+01,1.167042362e+00,3.541109545e+01,5.449387790e+01,9.899974493e+01,3.073160077e+01,7.573355787e+01,9.828613285e+01,1.332962642e+01,3.322948267e+01,9.288062156e+01,2.828072515e+01,3.851959494e+01,6.206389701e+01,1.269901136e+01,4.515900040e+01,3.903835428e+01,5.695573076e+01,6.187129206e+01,1.997533877e+01,3.326310502e+01,8.439128294e+01,7.369464680e+01,8.775438547e+01,2.171890171e+00,1.954076379e+01,1.835820454e+01,1.251076748e+01
9.384242785e+01,1.308361748e+01,3.628383534e+01,7.874278444e+01,8.813000343e+01,9.884847061e+00,3.867802388e+01,9.227905352e+01,8.976419880e+01,4.801015164e+01,9.004421278e+01,6.019318413e+01,8.304075716e+01,1.541770118e+01,9.600043660e+01,4.545552579e+01,1.786964333e+01,9.233922168e+01,4.513685657e+01,3.522816928e+01,3.265295527e+00,1.438863058e+01,2.554848024e+01,5.149275337e+01,2.492201347e+01,9.469514601e+01,1.459497294e+01,8.686244420e+01,6.135230087e+01,9.315011143e+00,2.303554260e+01,8.584615304e+01,8.768657870e+01,2.937998193e+01,5.707151028e+01,8.712750045e+01,3.863962201e+00,2.926456919e+01,6.845303563e+01,5.624955206e+01,5.488598054e+01,8.791963906e+01,6.129563236e+01,2.494135921e+01,9.892516964e+01,7.587976418e+01,4.161745366e+00,8.381127418e+01,6.681605741e+01,5.980809539e+01,5.829583619e+01,7.002600426e+01,6.949649713e+01,4.533289647e+01,5.206725042e+01,1.489381332e+01,9.424723490e+01,3.760199003e+01,7.533791777e+01,2.177032322e+01,4.456825658e+01,6.574922949e+01
9.333781569e+01,7.240523772e+00,8.053541931e+01,6.833524315e+01,3.882896128e+01,1.632158590e+01,2.326587590e+01,5.520401251e+01,5.482058728e+01,3.779302494e+01,1.078949960e+01,8.081951725e+00,3.939002159e+01,9.479537117e+01,4.203799143e+01,6.676716087e+01,9.771462564e+01,2.179417136e+01,7.351340548e+01,2.498524241e+01,1.040182272e+01,2.543349881e+01,3.998720810e+01,3.545588527e+01,4.021157950e+01,7.237681447e+01,4.609669421e+01,8.768894221e+01,8.960491768e+01,9.287187160e+01,6.119141938e+01,1.015519577e+01,5.856143611e+01,6.047079246e+01,9.136820773e+01,2.983107730e+01,7.343933755e+01,8.109876651e+01,7.891725658e+01,3.409549025e+01,2.219968229e+01,3.908469352e+01,1.667815377e+01,1.197266187e+01,1.707202692e+01,4.484370669e+00,6.617660608e+01,6.689749628e+01,8.363523772e+01,3.340174863e+00,5.767014325e+01,2.618641785e+01,5.355333172e+01,8.854583765e+01,7.156204406e+00,2.171539000e+01,7.060992291e+01,3.899937401e+01,5.972340973e+01,3.434092646e+01,9.253487891e+01,5.924687360e+01
3.425842727e+01,6.816617074e+01,6.772529722e+01,2.388203138e+01,9.225432782e+00,8.167431219e+01,4.183107432e+01,7.637184515e+01,8.290084642e+01,6.310820158e+01,7.971947053e+01,5.553807500e+01,7.050077406e+01,2.630010145e+01,3.013502616e+01,1.045064846e+01,9.547069764e+01,4.284012551e+01,4.899903996e+01,6.532810526e+01,3.603366373e+00,5.596271019e+01,1.388659429e+01,6.603142029e+01,7.469217191e+01,4.837624127e+01,6.492311023e+01,9.618974551e+01,5.330515584e+00,9.631487672e+01,7.437220986e+01,6.035178123e+01,6.751970640e+01,8.807547945e+01,8.840453591e+01,7.373917059e+01,1.388618413e+01,4.233662747e+01,3.988280696e+01,1.311451538e-01,9.867839448e+01,7.800181622e+01,7.848153711e+01,4.746517900e+01,1.900289287e+01,8.093991934e+01,2.811480372e+01,9.811312465e+01,9.452475854e+00,3.128586665e+01,4.133662986e+01,2.526246830e+01,8.121734385e+01,8.537429693e+01,5.380313719e+01,1.304744875e+01,8.379921121e+01,9.773265214e+01,9.081769285e+01,2.367497910e+01,6.636669108e+01,1.606513200e+01
2.299153957e+01,2.527095418e+01,3.202688135e+01,7.690256052e+01,6.482844845e+00,8.049512468e+01,2.095452946e+01,4.458597238e+01,6.827210449e+01,5.065948438e+01,5.932349539e+01,5.784519370e+01,9.509268400e+01,2.413767113e+01,3.725545666e+01,2.615009244e+01,5.244933619e+01,7.073113263e+01,8.130778370e+01,5.429260274e+01,4.682779296e+01,7.296368831e+01,7.093514154e+01,1.759830371e+01,5.332803692e+01,5.497151586e+01,9.183376821e+01,5.205331511e+01,9.715895683e+01,9.453750988e+01,3.860158668e+01,3.046725971e+01,3.521359058e+01,6.957665148e+00,2.973029740e+01,8.755699481e+01,6.759269445e+01,2.295777981e+01,4.976012917e+01,4.654155809e+01,9.967509468e+00,7.177293655e+01,5.372765891e+01,3.550043546e+01,4.128769670e+01,1.551935773e+01,3.418397887e+01,4.975746407e+01,8.036831550e+00,2.510393080e+01,9.930329882e+01,3.177879197e+01,5.402135233e+00,8.467993451e+01,5.446420434e+01,8.931669073e+01,1.224415287e+01,8.562973239e+01,2.714782669e+01,1.809348179e+01,8.648569157e+01,8.327408295e+01
5.274586487e+01,5.103836310e+01,8.888388633e+01,3.414323034e+01,6.785219546e+00,2.212966958e+01,9.899628711e+01,1.172931109e+01,6.839355950e+00,6.428885160e+01,6.796391606e+01,8.892129896e+01,2.276642292e+01,8.583377666e+01,4.617612684e+01,4.515345725e+01,5.291886896e+01,5.693878257e+01,6.962201231e+01,9.906548841e+01,5.509816786e+01,7.328309075e+01,5.288620716e+01,3.378065691e+01,7.805533739e+01,1.599550748e+01,6.195775314e+01,3.763077620e+01,7.868547702e+01,6.516611655e+01,3.757281148e+01,7.854396098e+01,5.540554228e+01,7.375051945e+01,5.230598871e+01,3.651021163e+01,5.062683976e+01,4.319938991e+01,4.410125133e+01,4.723209427e+00,3.261627647e+01,3.134895706e+00,6.723682560e+01,2.880682548e+01,3.176169575e+01,1.674508953e-01,5.549739194e+01,4.981988101e+00,1.007387503e+01,5.465696166e+01,2.507415122e+01,9.266859111e+01,9.256477150e+01,6.801442345e+01,7.294367509e+01,4.581150328e+01,5.564258761e+01,7.205036162e+01,4.481046721e+01,3.191931808e+01,5.576942621e+01,8.566316859e+01
3.195244256e+01,9.688088869e+01,6.823767809e+01,3.913486553e+01,4.507656038e+00,7.210237083e+01,4.409290347e+01,4.978843439e+00,8.301160474e+01,7.268783083e+01,1.622671236e+01,1.781216629e+01,9.155846667e+01,6.250044579e+01,2.317537416e+01,1.838438016e+01,8.641333854e+01,3.915122894e+01,2.151449313e+01,5.757668217e+01,5.343788530e+01,5.367440454e+01,8.672977801e+01,4.466492875e+01,9.475001051e+01,7.648799318e+01,9.366424381e+00,8.431481481e+01,7.938499626e+01,2.931124504e+01,1.634602259e+01,6.017131305e+01,5.223224300e+01,9.418849894e+01,8.241198058e+01,9.784455430e+01,8.849892115e+01,6.242780813e+01,1.613340522e+00,2.944207923e+01,1.395401856e+01,2.998298439e+00,4.685613463e-01,3.488004817e+00,3.542689092e+01,2.532070389e-01,2.337203508e+01,2.859257320e+01,9.526191076e+01,8.963531996e+01,7.116891162e+01,7.391360272e+01,8.669626264e+01,6.158553818e+01,6.526689596e+01,2.713072623e+01,1.072960312e+01,2.891164511e+01,4.720964274e+01,8.205302092e+01,7.151382810e+01,2.642651717e+00
3.942412812e+01,3.953343563e+00,3.091830717e+01,8.905987694e+00,9.872738985e+00,9.136556098e+01,6.130032026e+01,4.867397249e+01,8.184843515e+01,2.673961154e+01,7.485282673e+01,8.696925400e+01,2.607924836e+01,9.861675955e+01,6.713681603e+01,7.436623391e+01,7.292710139e+01,4.667004749e+01,4.376468555e+00,3.319789589e+01,3.063308287e+01,7.894538309e+01,8.693683309e+01,5.323844440e+01,2.326723689e+01,8.892986856e+01,1.301911333e+01,2.070079086e+01,9.997780564e+01,3.158648119e+01,9.577082128e+01,6.986936027e+01,7.133904011e+01,3.217889885e+01,4.944530822e+01,5.810340073e+01,3.358845249e+01,5.883059820e+01,1.279418312e-01,6.030288287e+01,3.078134265e+01,1.278326632e+01,6.517418302e+01,7.604255978e+01,5.919393708e+01,4.035953272e+01,3.382662818e+01,8.850473896e+01,4.031188089e+01,3.832269202e+01,6.338576028e+01,9.717415068e+01,9.985735954e+01,3.713814027e+01,6.046024768e+00,2.308069089e+01,2.313453288e+01,8.708042652e+01,4.458205155e+01,8.979106155e+01,8.509913523e+01,9.244611095e+01
1.515704863e+01,2.891591305e+01,3.974040065e+01,6.690352545e+01,5.265132529e+01,2.407015632e+01,5.649735751e+01,9.785738736e+01,8.924331838e+00,9.216570892e+01,1.235944814e+01,1.080660117e+01,6.427108193e+01,5.994348781e+01,7.577621461e+01,7.012188047e+01,8.949566446e+01,9.542428122e+01,7.922778586e+01,3.072578380e+01,3.150207943e+01,8.890308315e+01,7.103382589e+01,6.354866561e+01,4.880171666e+01,4.970624167e+01,1.653877109e+01,7.086582299e+01,3.690242415e+01,8.172521826e+01,1.326761433e+01,5.580001928e+01,2.726694434e+01,2.581060573e+01,6.464967338e+01,2.135597312e+01,8.300830747e+01,5.363629252e+01,8.575982120e+01,7.173980452e+01,8.575282887e+01,2.864878601e+01,3.796981826e+01,9.942187106e+01,7.677715382e+01,8.935206384e-01,2.115759710e+01,8.366238892e+01,7.660767661e+01,5.133083989e+01,5.859926523e+01,4.724307157e+01,3.475911387e+01,7.044330343e+01,1.895867582e+01,2.440578901e+01,1.453395478e+01,5.736243670e+01,8.774156382e+01,4.848885872e+01,8.579252523e+00,8.910127461e+01
6.331073188e+01,3.491561419e+01,1.674965074e+01,6.416200087e+01,1.503147595e+01,8.947149646e+01,3.667973945e+01,8.552786365e+01,4.062444382e+01,7.335600328e+01,8.098052135e+01,4.462180060e+01,2.668274714e+01,4.747082813e+01,5.899974277e+01,7.318327074e+01,9.949743106e+01,3.574440902e+01,3.951983219e+01,6.317875226e+01,7.850873061e+01,4.166236478e+01,5.402530600e+01,5.824829812e+00,6.353288106e+01,9.777353130e+01,9.583643078e+00,3.420790096e+01,1.043650826e+01,6.365151230e+01,8.858207920e+01,4.930240518e+00,2.952409536e+01,8.462779657e+01,8.566083191e+01,4.891594128e+01,8.737903425e+01,7.386898768e+01,4.580800431e+01,6.203111297e+00,2.453840069e+01,8.014584531e+01,9.550762472e+00,4.228820397e+01,5.833550897e+00,4.072929533e+01,9.843227003e+01,9.520918276e+01,2.140646846e+01,9.310611727e+01,4.479340923e+01,7.418653677e+01,5.798244000e+01,3.899326648e+01,8.770286232e+01,4.994664208e+01,3.416158483e+01,8.763819997e+01,7.366682707e+01,7.088688927e+01,8.098475886e+01,5.338708154e+00
