v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37
1.902019256e+01,6.239180824e+01,1.497831061e+01,9.471290371e+01,5.390003238e+01,1.918367237e+01,6.260626817e+01,7.721330989e+01,4.175027268e+00,5.760442183e+01,6.271434926e+01,8.550483914e+01,4.574907267e+01,8.519221911e-01,4.337071719e+01,8.779944082e+01,4.425691479e+01,6.735114027e+01,9.860470919e+01,4.182317014e+01,1.893030232e+01,7.969203194e+01,7.939505932e+01,1.392476118e+01,1.014023692e+01,9.261704369e+01,6.735532972e+01,1.268773634e+00,7.659425006e+01,6.521382471e+01,4.312467304e+01,8.855024247e+00,9.635548987e+01,5.856520961e+01,2.068115416e+00,3.751169476e+01,6.869755144e+01
1.831921709e+01,7.760251196e+01,2.446757685e+01,8.922009496e+00,7.263651546e+01,8.059066431e+01,4.551279367e+01,9.423625609e+01,9.778306528e+00,8.477370038e+01,1.946839406e+01,4.347958919e+01,4.924326269e+01,1.197780212e+01,7.877132251e+01,1.487945181e+01,5.859425604e+01,2.444555018e+00,4.806047788e+01,7.643102393e+01,6.595983831e+01,4.609272423e+01,4.119800618e+01,4.742076109e+01,3.954538824e+00,2.123623800e+01,9.546959001e+01,8.993915267e+01,1.881962598e+00,5.187449504e+01,8.814287789e+01,7.999591943e+01,3.922446334e+01,4.008480331e+00,2.873370308e+01,9.029789198e+01,8.367778392e+01
4.857265766e+01,8.465770803e+01,2.114739156e+01,3.729424694e+01,7.957043736e+01,8.993719945e+01,2.293450359e+01,6.253979129e+01,2.514094329e+01,7.041371075e+00,3.666175662e+01,8.101097365e+01,8.897480434e+01,9.938703701e+01,7.139008010e+01,9.365493645e+01,8.322690426e+01,9.413682485e+01,5.152262527e+01,2.903311557e+01,2.978798840e+01,3.022447695e+01,5.044711885e+01,9.298070974e+01,6.418238549e+01,9.639490231e+01,9.368078119e-01,6.442252640e+01,5.183993154e+01,2.973246021e+01,6.889266974e+01,1.850040457e+01,2.521378195e+01,5.676921344e+01,4.939211474e+01,8.448366319e+01,7.226004019e+01
4.612267735e+01,6.625458615e+01,3.400560613e+01,7.454292317e+01,9.635389844e+01,2.640905092e+01,5.904546684e+01,7.403928755e+01,1.488720981e+01,4.411068261e+01,7.366349630e+01,3.163862288e+01,5.520632280e+01,6.275399311e+01,9.752245138e+00,4.377187104e+01,9.058658305e+01,9.355383926e+01,3.587164062e+00,9.290841589e+01,9.579124941e+00,8.297737891e+01,3.465514865e+01,8.005008829e+01,6.998930917e+01,7.884858831e+01,4.751410000e+01,7.887389709e+01,2.827074418e+01,6.417187856e+01,7.309214819e+00,8.124089151e+01,8.888245285e+01,3.928486206e+01,3.130543959e+01,4.274362315e+01,9.522428159e+01
1.654680602e+01,4.990821711e+01,7.699892903e+01,9.863464519e+01,1.212188590e+01,7.463872239e+01,2.837550467e+01,7.457429619e+00,4.089498310e+01,9.271537692e+01,7.046100790e+01,6.993972895e+01,4.769288570e+01,4.025663164e+01,1.111251263e+01,5.562644283e+00,5.102026701e+01,6.376588843e+01,3.564762597e+01,9.119626442e+01,9.023297200e+01,1.918531461e+01,7.407921035e+01,3.529300440e+01,5.984177028e+01,4.736712319e+01,9.123129596e+00,1.213514034e+01,1.321361462e+01,3.701088724e+01,2.531760321e+01,1.247776343e+01,7.637937740e+01,9.647039162e+01,4.278383878e+01,1.853490367e+01,7.758808254e+01
8.990970393e+01,9.953246906e+01,2.649593603e+01,2.091461116e+01,9.463888673e+01,1.454349480e+01,9.099764384e+01,8.100093018e+01,2.153602657e+01,3.595747748e+01,6.788794393e+00,8.447227628e+01,1.491755959e+01,8.827021064e+01,9.748799299e+01,9.292683292e+01,9.618009243e+01,8.690303505e+01,6.559896646e+00,9.081887100e+01,2.823107568e+01,8.514773899e+01,3.152987036e+01,4.297494328e+01,9.272747475e+01,5.814290497e+01,6.691703722e+01,2.352811962e+01,1.756371189e+01,4.406101439e+01,3.477173223e+01,9.952933811e-01,7.719719311e+01,5.243216148e+01,2.361245223e+01,5.051215007e+01,2.452982386e+01
9.731451751e+01,3.175064931e+01,3.042268708e+01,2.457086545e+01,2.709720787e+00,2.416437554e+01,7.150382630e+00,2.951610051e+01,1.846056383e+01,5.047134371e+01,4.908036945e+01,3.611435773e+01,6.891417150e+01,5.663947968e+01,6.320164706e+01,5.398212525e+00,5.984288098e+01,5.764634317e+01,2.257431098e+01,7.591025952e+00,2.184730886e+01,1.745499730e+01,5.497401179e+01,9.254765196e+01,8.025658323e+01,5.112569717e+01,1.026952512e+01,3.071230278e+01,6.997705657e+01,7.373449563e+01,1.641278759e+01,6.854141384e+01,5.019328681e+00,2.530462798e+01,9.920612484e+01,8.908343094e+01,6.328480104e+01
3.700292406e+01,7.028522447e+01,5.909793715e+01,9.495297816e+01,7.532043563e+00,4.057040969e+01,9.362836095e+01,9.627363001e+00,1.327626362e+01,2.128546291e+00,6.402284229e+01,7.801434634e+00,3.131676866e+00,9.374745353e+01,6.630650336e+01,7.161920670e+01,4.274569877e+01,5.867508572e+01,5.750834722e+01,4.848717793e+00,1.689952677e+01,9.725375587e+01,1.542104084e+01,7.599100371e+01,9.325386004e+01,1.932528905e+01,3.195605771e+01,3.697231232e+01,3.290967879e+01,8.367461169e+01,3.187778612e+01,7.976397393e+01,1.061749291e+01,3.143403987e+01,1.733671137e+01,5.360945741e+01,1.137015690e+00
8.947782820e+01,7.434704309e+01,8.261181824e+01,3.899194350e+01,8.279602450e+01,1.199787533e+01,7.871628258e+01,2.017115290e+01,6.974237231e+01,8.809697162e+01,8.872583436e+01,5.856725954e+01,2.920900814e+01,5.191145822e+01,7.014993902e+01,2.641008966e+00,8.955463829e+00,5.065655202e+01,4.477971020e+00,4.605830043e+01,2.831549732e+01,7.211157143e+01,9.656318611e+01,8.601168057e+01,6.692107775e+01,7.517553407e+01,5.798320287e+01,3.929629104e+00,5.912831924e+00,4.976892964e+00,2.868295100e+01,3.597471599e+01,8.983654092e+01,2.327761738e+01,4.221483889e+01,1.260142152e+01,7.747276220e+01
9.767907772e+01,6.742719872e+01,6.975967252e+01,5.881899697e+01,2.799365820e+01,3.495339389e+01,9.005730205e+01,9.018006688e+01,6.927943159e+01,9.946418584e+01,9.810888204e+00,3.956363942e+01,6.463405025e+01,3.421778766e+01,5.658552693e+01,5.862949195e+01,2.908503727e+01,9.437917322e+01,6.765578875e+01,8.274861910e+01,4.043543329e+01,6.211432332e+01,4.170355570e+01,2.402086459e+01,7.206722547e+01,8.298290154e+01,2.318898472e+01,6.764105064e+01,6.689354594e+01,3.426554983e+01,3.440907388e+01,9.049246613e+01,5.587456530e+01,1.626947396e+01,6.684070998e+01,5.287018365e+01,2.925672757e+01
1.193427235e+01,8.810378179e+01,6.705253793e+01,4.350679934e+01,5.535811200e+01,8.675586494e+01,6.570782031e+01,7.350928004e+01,7.197828156e+01,6.388527496e+01,3.001770011e+01,9.702104869e+01,3.275651599e+01,8.050080678e+01,6.222201815e+01,4.081545686e+01,2.076288463e+01,1.923789082e+00,3.414837902e+01,5.131048089e+01,2.198671688e+01,1.599010999e+01,8.853296138e-01,3.046301192e+00,2.025300707e+01,7.085885605e+01,7.005514009e+01,5.421691390e+00,1.928220804e+01,2.680423527e+01,9.474472780e+01,8.991260787e+01,7.996928720e+01,5.611575375e+01,6.410931749e+01,6.143880084e+01,4.717574711e+01
6.506315825e+01,7.486005563e+00,8.274476690e+01,6.787288842e+01,2.398839258e+01,7.494021912e+01,9.931881220e+01,1.976614159e-01,2.763986337e+01,1.006245042e+01,3.846419452e+01,9.195546371e+01,8.819408264e+01,3.610185441e+01,6.587419398e+01,2.068373116e+01,3.238135953e+01,5.535690384e+01,8.008601155e+01,2.273341489e+01,7.575103701e+00,2.686364064e+01,8.059041488e+00,7.673734938e+01,3.243095329e+01,4.118207684e+01,9.667339704e+01,7.957338116e+01,2.270337557e+01,3.564033768e+00,4.762210501e+01,6.662479238e+01,9.832338978e+01,1.576477961e+01,9.648703604e+01,5.460321414e+00,5.852203935e+01
7.293027501e+01,5.673089895e+01,3.471989677e+01,5.685939479e+01,4.626795005e+01,4.147242915e+01,7.712747542e+01,8.297870668e+01,8.701001848e+01,7.624516585e+01,1.357782522e+01,1.049548723e+01,5.144226514e+01,9.763786076e+01,1.990283867e+01,6.147308806e+01,9.532436231e+01,8.885573451e+01,4.285875499e+01,3.316904395e+01,2.778949722e+01,1.493131571e+01,4.582571757e+01,8.240799754e+01,3.793843276e+01,4.847153105e+00,8.662636440e+01,9.726825652e+00,9.165401261e+01,6.486797558e+01,8.716126359e+01,4.139073849e+01,7.156355639e+01,2.747568559e+01,6.713909545e+01,2.402893124e+01,1.435994918e+01
3.958367063e+01,8.995230604e+01,5.595738480e+01,3.272490001e+00,7.568793134e+01,1.477410201e+01,9.532882012e+01,4.278563913e+01,8.084796655e+01,4.977736705e+01,4.185514793e+01,2.845960894e+01,6.595011960e+00,4.570133082e+01,9.484242601e+00,3.209632422e+01,8.634337165e+01,4.238837549e+01,1.255505385e+01,5.818872220e+01,8.278379906e+01,5.656354891e+01,1.805613326e+01,5.456293012e+01,2.274960680e+01,3.347652183e+01,4.262767040e+01,5.291956818e+01,6.847300648e+01,6.334915450e+01,4.489636720e+01,8.979546477e+01,9.153258854e+01,6.436179233e+01,6.592555829e+01,9.296684860e+01,8.350251720e+01
9.035300345e+01,8.059076426e+01,2.161448908e+01,6.526274430e+01,6.774306631e+01,9.609706480e+01,2.363140747e+01,3.859920778e+01,6.218050837e+01,5.725097550e+01,7.528070561e+01,2.702083639e+01,4.910998840e+01,6.325201308e+01,1.380079885e+01,1.434471821e+01,2.773239256e+01,4.726737193e+00,4.388158792e+01,5.653332047e+01,1.693631297e+01,7.710807653e+01,9.395714371e+01,3.292797034e+01,7.770260675e+01,3.067897914e+00,6.760225644e+01,6.331650552e+01,8.059786657e+01,3.482260363e+01,9.799356135e+01,4.759801848e+01,2.603259279e+01,1.182691074e+01,9.629601595e+01,3.630872801e+00,6.014710310e+01
3.634372116e+00,2.250632875e+01,1.600293524e+01,7.812492454e+01,8.840161668e+01,6.866114857e+01,2.346539670e+01,4.213379710e+01,3.157926822e+01,4.131205582e+01,4.993868284e+00,2.166083592e+01,4.467885598e+01,7.120265957e+01,5.688498999e+01,7.910504360e+01,8.839529703e+01,6.076959870e+01,2.626057595e+00,9.347920564e+00,2.365300412e+01,5.719025816e+01,7.367966382e+00,7.928808476e+01,5.203177687e+01,4.619743333e+01,9.816252973e+01,2.427001708e+01,5.905332585e+01,3.569534068e+01,9.732202197e+01,9.113567315e+01,8.856875891e+01,9.463162775e+01,3.916815050e+00,3.175583640e+01,7.907703577e+01
6.035027625e+01,8.410108823e+01,4.827860027e+00,7.990765543e+01,5.487513068e+01,7.279764010e+01,4.036984373e+01,4.202677748e+01,3.474236690e+01,8.424466353e+01,1.638152873e-01,8.704178947e+00,7.601009263e+01,1.899978907e+01,8.119591489e+01,2.016297838e+01,1.798679417e+01,1.664586208e+01,2.674684533e+01,4.115130618e+01,2.677337407e+01,9.331694625e+01,3.550256902e+00,9.328755517e+01,6.898557361e+01,6.581318850e+01,5.892706080e+01,1.418712430e+01,8.244384252e+01,6.742543330e+01,1.194775958e+00,3.495004937e+01,9.806228288e+01,6.984704527e+01,1.924225819e+01,2.456484785e+01,5.227587496e+01
4.200753391e+01,5.959389150e+01,1.569404518e-01,6.103643270e+01,8.696706659e+01,6.447665308e+01,7.344114611e+01,1.385968491e+01,8.807977880e+01,2.202246006e+01,2.856755665e+01,2.766628404e+01,1.165217447e+01,8.734205931e+01,1.175230268e+01,4.934892341e+01,9.502900925e+01,8.976633691e+01,7.726915670e+01,5.197250550e+01,2.022030483e+01,1.229379387e+01,4.406888350e+01,1.954428626e+01,9.868761235e+01,1.740521740e+00,9.763980457e+01,3.984703779e+01,8.967971172e+01,5.134485332e+01,5.875576680e+01,9.190453097e+01,8.338341138e+00,4.531850574e+00,1.239313179e+01,1.358188336e+01,3.499710706e+01
2.930319676e+01,7.565547696e+01,9.764265810e+01,5.696510923e+01,1.657458505e+00,1.956449179e+01,5.458457795e+01,3.688056614e+01,1.680632255e+00,4.839664315e+01,5.064673071e+01,8.044401619e+01,3.873546396e+01,3.671941289e+01,5.447755696e+01,9.347403194e+01,8.791348973e+01,6.815275863e+01,8.720933312e+01,5.391751091e+01,4.721128011e+01,7.791244288e+01,8.871635551e+00,7.564556978e+01,4.053944801e+01,1.539628106e+01,6.453870285e+01,3.089979224e+01,3.515627848e+01,1.354539138e+01,3.907785876e+01,3.969272196e+01,6.150382240e-01,8.561710106e+01,4.334129987e+01,8.701930018e+01,9.312473813e+01
6.967230316e+01,3.922566774e+01,8.535402028e+01,3.869736375e+01,2.404494593e+00,2.462399170e+01,9.787250846e+01,4.600290061e+01,9.460531211e+01,4.599958025e+01,7.959746821e+01,9.109797236e+01,7.132933204e+01,9.105002122e+01,1.454848424e+01,3.565662899e+01,6.587239633e+01,1.552993539e+01,7.503233933e+01,1.465051945e-01,6.481579544e+01,9.665128913e+01,3.587904405e+01,4.825155972e+01,9.454056824e+01,3.314309820e+01,9.851629558e+01,1.514166626e+01,9.269762986e+01,2.240933249e+00,2.358620519e+01,5.209025466e+00,2.354331460e+01,8.761985691e+00,5.468551986e+00,7.249953829e+01,6.498622954e+01
7.209489156e+01,4.457406165e+01,8.119074745e+01,8.029499559e+01,6.284141355e+01,3.197813126e+01,8.437888652e+01,6.645444995e+01,9.315378480e+01,3.756557137e+01,1.145293216e+01,2.293725149e+01,5.044377595e+01,2.050099811e+01,8.182771315e+00,7.056132968e+01,1.406380254e+00,7.415200407e+01,6.450372955e+01,4.071947616e+00,9.867315551e+01,7.507118655e+01,6.810177569e+01,8.787326627e+01,9.622623184e+01,9.546438914e+01,7.649404537e+01,3.165457879e+01,7.396060757e+01,1.639435341e+01,8.405225651e+01,7.448664059e+01,6.104710827e+01,7.019738627e+01,6.915188856e+01,6.237562925e+01,5.628587264e+01
3.286216590e+01,9.706071071e+01,5.986994815e+01,4.829248221e+01,7.939729944e+01,2.720300817e+01,1.842099373e+01,1.801215014e+01,4.903756522e+01,6.118503988e+01,5.263604206e+01,8.840923362e+01,4.712152270e+01,2.917552550e+01,5.673257666e+00,2.442788303e+01,1.589250047e+01,9.451847177e+01,6.023114417e+01,2.431785706e+01,1.147058175e+01,5.329773197e+01,9.992496494e+01,6.603473203e+01,2.393131620e+01,4.211972350e+01,6.447745239e+01,4.402183577e+01,6.095073633e+01,5.351618300e+01,2.466433532e+01,6.674828351e+00,1.900871560e+01,5.093994041e+01,8.358108614e+00,5.599855612e+01,7.187858652e+01
7.355249100e+01,9.064843728e+01,8.667265860e+00,1.246313481e+01,1.722897909e+00,9.963081737e+01,8.745007531e-02,4.640025342e+01,4.788673732e+00,5.057649003e+01,8.168754439e+01,8.393580992e+01,5.655033505e+00,9.201650567e+01,9.969292964e+01,1.414143983e+01,2.746163793e+01,4.093993470e+01,4.762582223e+01,3.574176842e+01,7.595502652e+01,7.849548156e+01,6.385539220e+01,7.322955967e+01,1.436200342e+01,5.368628793e+01,6.354803881e+01,7.595729270e+01,5.484877374e+01,7.491245311e+01,7.551454144e+01,6.929071798e+00,3.615360004e+01,1.651355935e+01,6.376415612e+01,2.759191735e+01,4.201421802e+01
9.050626645e+01,1.546241828e+01,8.984524207e+01,9.623231021e+01,1.538498292e+01,9.726410912e+01,9.238690550e+01,7.498115037e+01,8.750510308e+01,7.869668846e+01,8.387996013e+01,3.123728765e+01,9.181240271e+01,9.607124142e+01,7.098316081e+01,5.172340765e+01,9.008786376e+01,5.753644887e+00,8.588839470e+01,6.318111639e+01,7.023228285e+01,3.635848002e+00,1.937664374e+01,4.749013243e+00,4.828262886e+01,1.884754722e+01,2.443576847e+01,1.222020139e+01,4.586719892e+01,4.395182581e+01,8.674838958e+01,1.170561959e+00,9.782352045e+01,9.429839919e+01,5.307444966e+01,5.966182048e+01,2.292493183e+01
7.933207901e+01,2.560516603e+01,2.219944829e+01,6.205007283e+01,4.393971493e+01,4.876454919e+01,4.067999234e+01,2.597197951e+01,7.530710710e+01,7.686305138e+00,8.146000557e+01,5.564677648e+01,8.388927494e+01,4.074098925e+01,6.336426210e+01,8.231310438e+01,7.137027475e+00,6.173560878e+01,6.831927850e+01,4.418920621e+01,9.289135941e+01,7.920197179e+01,7.911797281e+01,4.388141278e+01,3.938581926e+01,7.043573352e+01,5.878953026e+01,1.485064550e+01,8.577949079e+01,4.226498636e+01,4.962571495e+00,4.686055443e+01,5.016199996e+01,3.654943881e+01,5.147597078e+01,2.204628515e+01,6.756490117e+01
4.817239127e+01,7.324608476e+01,6.263943324e+01,4.951457700e+01,8.182603156e+01,4.385850553e+01,9.486386674e+01,4.890949552e+01,8.575199773e+01,3.884050083e+01,6.810798932e+01,3.323445502e+01,7.079191094e+01,5.037561391e+01,4.694401480e+01,1.150102826e+01,8.710441022e+01,1.718689946e+01,9.686789923e+00,8.026196742e+01,3.554043281e+01,8.073698033e+01,7.633970858e+01,7.332179247e+01,9.337674605e+01,8.141696087e+01,9.508202191e+01,5.078543558e+01,5.349719018e+01,2.419391695e+00,3.349890092e+01,5.855136146e+01,4.941714015e+01,6.514705916e+01,8.298270439e+01,2.779246088e+01,4.371075908e+01
