v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20
5.949950707e-01,9.432423931e+01,9.646584882e+00,6.904528233e+01,6.835433493e+01,8.571835163e+01,4.397076295e+01,7.740640063e+01,4.356568824e+01,5.154571685e+01,3.879744805e+01,5.895148194e+01,5.511591132e+01,7.748385803e+01,8.177968840e+01,3.817051732e+00,8.931436293e+01,6.133821075e+01,7.194862341e+01,9.729748901e+00
8.367540738e+01,7.638322615e+01,8.628775858e+01,8.779523581e+01,6.627686881e+01,2.581949512e+01,7.903263378e+01,1.358007892e+01,2.213101467e+01,7.568705174e+01,6.094195548e+01,6.770556117e+01,1.964929111e+01,8.821682911e+01,8.741502374e+01,8.407089017e+01,1.040120770e+01,6.975258066e+01,5.664575061e+01,7.673434849e+01
8.641904193e+01,6.463204214e+01,1.727589200e+01,9.140592569e+01,9.014410229e+01,4.797536458e+01,7.429551850e+01,7.861573846e+01,6.738266017e+01,7.149340504e+01,9.913787013e+01,2.858883597e+01,9.970446993e+01,8.010367664e+01,3.820794288e+00,2.876908263e+01,6.157923366e+00,9.881757499e+01,3.507314434e+01,6.914937478e+01
2.178373440e+01,7.218801610e+01,7.449698364e+01,1.101955416e+01,5.931519752e-01,3.147825588e+01,7.548071184e+01,5.569032180e+01,7.378805473e+01,4.991168122e+01,3.741883601e+01,8.817281861e+01,2.989415490e+00,3.841147427e+01,7.007578605e+00,8.344199274e+01,1.127935735e+01,6.559862743e+01,2.014105166e+00,1.612104597e+00
9.561643480e+00,7.061043726e+01,3.996790419e+01,7.369508438e+01,2.584222159e+01,6.893782754e+01,9.528600104e+01,7.647363842e+01,3.238565633e+01,7.998487684e+01,2.156325046e+01,8.707817582e+00,6.351049373e+00,4.107315318e+00,7.588442576e+01,7.188536102e+01,5.467018319e+00,6.332576816e+01,6.461818963e+01,7.220524905e+01
6.513440143e+01,7.843280000e+01,2.973893513e+01,9.315977372e+01,1.020894685e+01,1.915251535e+00,3.329537030e+00,5.749422677e+01,8.145629855e+01,1.577239538e+01,8.510731947e+01,7.002577942e+01,7.661817628e+01,9.549439569e+01,7.601996620e+01,7.756787009e+01,9.135383067e+01,2.083978180e+01,8.737010854e+01,2.421830058e+01
6.362728584e+01,3.253914695e+01,4.220095068e-01,9.225336447e+01,1.109720268e+01,6.422643894e+01,2.864408552e+01,6.873250727e+01,7.765403290e+00,9.103298292e+01,1.539329900e+01,8.080629197e+01,6.530670838e+01,9.537977907e+01,2.194231033e+01,1.342485150e+01,4.955252322e+01,5.062340073e+01,3.368494796e+01,3.515716273e+01
2.991222613e+00,3.321316374e+01,5.702038372e+01,6.981028045e+01,3.440666998e+01,3.685041147e+01,5.306724555e+01,2.022238697e+01,6.832968364e+01,4.669049087e+01,9.018473585e+01,6.508675579e+01,9.943219678e+01,5.253539233e+01,4.834838629e+01,8.650805144e+01,4.066254187e+01,7.277643122e+01,4.115320215e+01,3.970697739e+01
9.179908286e+01,9.550336316e+00,2.714672842e+01,1.544887284e+01,5.652820030e+01,8.704725575e+01,7.917190764e+00,5.698440462e+01,8.450572540e+01,2.313327879e+01,3.825284494e+01,9.614840786e+01,9.154034625e+01,9.415538328e+01,8.975028206e+01,5.551484116e+01,4.723603890e+01,2.554021541e+01,8.781415932e+01,1.507297176e+01
8.848905562e+00,4.559166056e+01,7.085201964e+01,7.233330076e+01,9.643214650e+01,9.635180352e+01,2.514688139e+01,7.005367428e+01,4.657841207e+01,7.972012997e+00,6.151218678e+01,6.009684645e+01,3.008242815e+01,8.098481291e+01,6.804953892e+01,5.701095424e+00,4.022401061e+01,6.829131948e+01,7.029823104e+01,8.277598020e+01
8.307277423e+01,6.766785739e+01,2.903359746e+01,9.425262851e+01,4.262315938e+01,5.944770119e+00,6.062591114e+01,1.436001297e+01,2.409029694e+01,2.165200962e+01,1.808853415e+01,3.287328964e+01,7.784266645e+01,9.854216249e+01,2.747977583e+01,7.455236941e+01,1.641521088e+01,6.929231275e+01,5.141447074e+01,6.200349807e+01
2.224959515e+01,5.445682744e+01,3.589202983e+01,8.676367427e+01,4.237985868e+01,3.929449634e+01,9.593088183e+01,6.286733053e+01,6.844036728e+01,4.205972905e+00,1.270005038e+01,3.683277691e+01,6.941308765e+01,7.231281093e+01,1.620253178e+01,5.300249551e+01,5.554495775e+01,7.064973753e+01,3.552915680e+01,2.024283399e+01
1.890861207e+01,9.925451562e+01,2.740422528e+01,6.202963310e+01,3.115653951e+00,7.670854174e+01,4.136104374e+01,7.952200708e+01,9.815345575e+01,5.326425781e+01,1.753767646e+00,2.713410516e+01,5.220215806e+00,4.144671914e+01,9.784243672e+01,3.229229425e+01,1.546159878e+00,7.939681162e+01,7.973596717e+00,7.397963165e+01
3.790699704e+01,5.796803457e+01,8.959795405e+01,9.218199528e+01,2.668110945e+01,6.499111735e+01,3.883077051e+01,7.066441004e+00,3.824319295e+01,8.235118034e+01,9.213457880e+00,9.299071234e+00,5.606118679e+01,9.577702051e+01,4.820597509e+01,6.937457098e+00,2.637282083e+01,4.973054518e+01,7.402988694e+01,5.146974532e+01
8.552979645e+01,2.384506071e+01,1.931012313e+01,6.848156583e+01,9.769670607e+01,4.770481488e+01,1.374540281e+00,9.469155385e+01,1.520963936e+01,8.015624923e+01,7.251561218e+01,3.800686805e+01,3.416945480e+01,6.956357862e+01,5.142374280e-01,3.079017065e+00,3.708541067e+01,6.902843107e+01,4.512483655e+01,9.542860441e+01
9.916207266e+01,4.282869381e+00,5.531340548e+01,1.360454553e+01,7.862155594e+00,8.801393094e+01,8.633029805e+01,3.914074739e+01,6.018045678e+01,5.786402888e+01,6.918879849e+01,9.994280257e+01,4.730748169e+01,4.575936528e+01,1.864277679e+01,5.908311138e+01,3.231926147e+01,7.936894640e+00,3.477376893e+01,9.507865374e+01
3.634315280e+01,6.522981749e+01,3.533179180e+01,2.897946154e+01,9.651457306e+01,5.754894646e+00,3.166920609e+01,1.135214858e+01,1.504492546e+01,9.571500343e+01,8.310984238e+01,6.413953413e+01,3.371636780e+01,8.785235931e+01,7.288570272e+01,9.093477959e+01,3.228491451e+01,2.690162482e+01,6.242942849e+01,9.297215270e+01
3.518758940e+01,3.247282181e+01,7.563038291e+01,3.163924124e+01,8.099886455e+01,7.384979776e-01,4.762850890e+01,3.047164986e+00,3.498967827e+01,7.248704523e+01,2.771831795e+01,1.395067904e+01,8.347826141e+01,6.939744620e+01,5.316378056e+01,5.449495008e+01,7.526291441e+01,4.495522574e+01,1.254317879e+01,7.551294017e+01
3.141217442e+01,5.190903295e+01,1.231886456e+01,5.715042042e+00,8.601224574e+01,7.191638971e+01,6.642009314e-01,6.431251938e+01,6.360139816e+01,1.840876820e+01,1.290394216e+00,3.540233093e+01,6.477962777e+01,8.288260345e+01,6.926855255e+01,3.956228187e+01,5.925518597e+01,9.579841163e+01,2.890399472e+01,3.247324545e+01
7.009259911e+01,8.461268120e+00,5.077419666e+01,6.323355926e+01,7.003995653e+00,4.348847707e+00,8.882547186e+01,6.118134332e+01,4.577613433e+01,7.312496833e+01,6.185894635e+01,6.155096815e+01,4.375411249e+01,1.089709475e+01,7.674223776e+01,5.545465349e+01,1.813988271e+01,2.970156901e+00,8.768146997e+01,6.746074307e+01
9.338367230e+01,1.973210572e+01,4.908889209e+00,8.919367431e+01,6.777874638e+01,5.538003859e+01,7.299193985e+01,2.819725790e+01,5.694072308e+01,6.548600641e+01,1.519015117e+01,6.645356085e+01,1.040226112e+01,3.691990959e+01,8.312489736e+01,5.821918537e+00,6.590220426e+01,5.340370086e+01,1.369234644e+01,5.603061171e+01
6.570190837e+01,4.701265387e+00,7.608524507e+01,9.890001739e+01,6.281997043e+01,8.736664068e+01,2.407307907e+01,4.236376826e+01,2.272545639e+01,9.173236610e+01,8.595933634e+01,4.853609999e+01,1.706735957e+01,3.912681600e+01,2.541913847e+01,3.622837189e+01,9.909769043e+01,7.831707968e+01,9.946580624e+01,2.532235200e+01
2.863533662e+01,2.075344781e+01,8.746320592e+01,9.788264313e+01,1.256522083e+01,8.209827180e+01,9.140598348e+01,4.639136693e+00,6.954431775e+01,1.157321929e+01,2.245602771e+01,2.078174455e+01,4.106105116e+01,2.425318185e+00,4.187724976e+01,5.897051052e+01,3.591765993e+01,8.727089526e+01,2.919508777e+01,9.979802987e+01
6.766080447e+01,4.273202050e+01,2.891266002e+01,7.225353035e+01,8.049850310e+01,2.807487467e+00,9.353317045e+01,4.028981953e+01,9.867639707e+01,8.193614596e+01,8.060241470e+01,4.350190048e+01,9.590310425e+01,3.186600037e+01,5.819257589e+01,2.904060730e+01,3.477311455e+01,8.084832859e+01,9.258203953e+01,1.238311160e+01
1.955479219e+01,2.747124915e+01,8.366733843e+01,2.934082424e+00,4.173703300e+01,7.226112895e+01,2.055115405e+01,7.039587767e+01,8.827060487e+01,3.996116734e+01,3.790335783e+01,3.479077628e+01,7.458202963e+01,9.038179175e+01,3.824348750e+01,4.706413152e+01,8.156854259e+01,5.394527193e+01,5.161408145e+01,9.308640415e+01
1.412704812e+01,2.064430494e+01,4.265710100e+01,5.198148513e+01,8.286716833e+01,9.175721251e+01,7.131270529e+01,7.014837185e+01,4.755107550e+01,4.843296103e+01,8.891672675e+01,4.697492228e+01,6.521786573e+01,9.665242548e+01,7.256393541e+01,5.523603693e+01,8.110783491e+00,5.840557535e+00,3.940990245e+01,4.459644764e+01
3.076892025e+01,1.936722110e+01,6.162914640e+01,3.992274572e+01,8.437407324e+01,4.789888287e+01,8.086924929e+01,5.156574316e+00,9.833472288e+01,7.364647606e+01,6.352209935e+01,4.166312193e+01,9.437036620e+01,3.017549553e+01,6.764386140e+01,5.821848772e+01,6.125404381e+01,2.059484784e+01,5.343893598e+01,7.987948135e+01
1.021803982e+01,6.014260941e+01,5.015903917e+01,2.602099520e+01,2.038034345e+01,2.350610937e+01,1.902420500e+01,6.629444990e+01,4.073077707e+01,6.233361571e+01,5.806066729e+01,3.869513228e+01,7.900424195e+01,7.408798772e+01,4.004296921e+01,4.538730290e+01,4.695960594e+01,4.733911100e+01,3.211263516e+01,6.005402198e+01
6.747421377e+01,6.604735388e+01,1.224955578e+01,6.753028788e+01,6.199413785e+01,7.367699122e+01,2.684338889e+01,9.535019005e+01,7.126635466e+01,7.413000069e+01,5.414677643e+01,8.015288448e+01,1.105306998e+01,1.912575569e+01,7.921712325e+00,9.303305200e+00,1.019484943e+01,2.269834303e+01,1.309166477e+01,3.329513192e+01
5.721013923e+01,5.956276319e+01,8.827828011e+01,9.931051560e+01,1.249389502e+01,6.829214980e+01,9.317081807e+00,2.828605311e+01,3.809045212e+01,2.599883161e+01,5.190422975e+01,7.572995609e+01,5.950537830e+01,1.781974323e+01,7.200104855e+01,8.352159300e+01,1.188502847e+01,8.832744875e+00,3.441194658e+01,3.054214415e+01
1.073567214e+01,3.395819234e+01,5.396876429e+01,7.154591680e+01,8.936612936e+01,3.651526202e+01,3.728407958e+01,8.555290133e+01,3.446292137e+01,7.630629965e+01,4.918768368e+01,8.760053792e+01,4.398648673e+01,2.792101543e+01,3.558665533e+00,6.704672136e+01,4.371049837e+01,9.973407583e+01,4.865846803e+01,1.103467036e+01
2.460925182e+01,6.675466459e+01,4.731704135e+01,4.135922019e+01,1.462713898e+01,4.228777548e+01,6.221738980e+01,4.129972087e+01,7.594186820e+01,5.964973110e+01,4.010524404e+01,8.173024632e+01,1.093456497e+01,6.733557890e+01,8.688255765e+01,8.796088076e+01,8.143280638e+01,3.380109822e+01,8.894829111e+01,5.869537274e+01
2.703787648e+00,2.977995540e+01,1.303035864e+01,6.003345322e+01,4.198443642e+01,2.192341326e+01,4.639099319e+01,6.793853557e+01,3.722773327e+01,7.904171700e+01,1.394547922e+01,8.551778819e+01,5.953839672e+00,3.158860414e+01,5.727769573e+00,5.967386216e+01,3.646412037e+00,2.641678161e+01,8.660306117e+01,8.858407336e+01
5.473681097e+01,7.758009094e+01,3.354154726e+01,1.414677955e+01,2.696275520e+01,1.406606348e+01,3.899438424e+01,5.434475427e+01,7.447594297e+01,2.668600020e+00,9.343114107e+01,8.528569013e+01,9.825764389e+01,1.925096140e+01,4.666949184e+01,2.463575314e+01,4.447415237e+01,4.931438340e+01,2.927351947e+01,9.100237415e+01
7.883845864e+01,7.019040676e+01,3.559620790e+01,9.391032476e+01,3.982642353e+01,9.522600715e+01,7.686446267e+01,9.042659623e+01,6.901715862e+01,9.963321997e+01,4.095646119e+01,7.976478143e+01,2.600452678e+01,7.884033135e+01,4.803582826e+01,2.534261029e+01,5.204232187e+01,2.061418517e+01,7.422090536e+00,8.099741714e+01
9.433845521e+01,1.694695170e+01,1.364172487e+01,5.480487404e+01,7.844182271e+01,8.443892847e+01,7.185943906e+01,9.113950649e+00,4.173450186e+01,8.701120645e+01,7.825101340e+01,4.409645869e+01,9.339833545e+00,4.917174988e+01,6.017938784e+01,2.179641557e+01,1.757485187e+01,4.766460793e+01,9.607230611e+01,1.112479904e+01
2.292582072e+01,7.229826623e+01,5.843653443e+01,5.630815679e+01,2.096908626e+01,9.413093193e+01,1.239665747e+01,4.569012655e+01,9.326432602e+01,7.794055580e+01,4.481445665e+01,4.136033738e+01,1.855233584e+01,6.789484024e+01,3.270490821e+01,1.391179117e+01,4.953369028e+00,8.738539116e+01,9.898162683e+01,2.981727864e+01
9.816923309e+01,9.418844562e+01,5.754581382e+01,5.230721901e+01,5.254442991e+01,1.638869731e+01,8.470685891e+01,9.198597928e+01,5.090231768e+01,9.063850623e+01,3.161286572e+01,1.577071365e+01,4.052137250e+01,1.568868931e+01,2.933131406e+00,6.199502745e+01,1.155766406e+01,9.416099934e+01,6.569751922e+01,5.294286696e+01
8.338342495e+01,9.822884667e+01,5.241977994e+01,9.303923521e+01,5.053785651e+01,9.580553255e+00,3.699634864e+01,1.367250861e+00,7.869236844e+01,6.565037153e+01,5.032271468e+01,4.791534686e+01,7.354820812e+00,2.109169686e+01,9.945295228e+01,9.848321267e+01,6.174900204e+01,6.996808424e+01,2.201577764e+01,3.913739273e+01
6.820302406e+01,1.476396488e+01,8.285745436e+01,4.641791175e+01,2.002220527e+00,3.523293521e+01,1.112183323e+01,6.158501756e+01,8.007593262e+01,7.607712704e+01,4.721487011e+01,2.267864668e+01,9.409787873e+01,2.937623726e+01,9.984687976e+00,6.784981394e+01,4.399803192e+01,4.165698923e+01,5.057637285e+01,8.085647717e+01
1.015204582e+01,3.215212444e+01,7.660448083e+01,2.189862813e+01,5.371254389e+01,8.994722261e+01,5.640762327e+01,6.731921976e+00,1.438711679e-02,1.991825627e+01,3.074427113e+01,8.141988700e+01,8.418600608e+01,9.140914392e+01,9.320813116e+01,3.227851472e+00,4.711426686e+01,4.855723698e+01,1.040763881e+01,1.268455759e+01
4.529026179e+01,9.051204111e+01,9.713571113e+00,1.327860861e+01,9.166904972e+01,7.972900691e+01,7.650155269e+01,2.667278749e+00,3.245305860e+01,9.780965102e+01,7.107783821e+01,8.068583802e+01,9.355767481e+01,6.577205875e+01,2.561877954e+01,3.484808259e+01,2.170390200e+01,9.201601448e+01,7.616643770e+01,1.868146422e+01
3.364085511e+01,7.816561903e+01,5.060666366e+01,7.564000995e+01,2.907105128e+01,7.343056709e+01,2.572037244e+01,3.959305503e+01,9.348734559e+01,6.537544753e+01,1.563743785e+01,3.757255509e+01,8.457049886e+01,6.084002726e+01,6.514266368e+01,7.002117175e+01,2.231918273e+01,8.441510174e+01,8.640165369e+01,4.488373375e+01
