v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31
6.824829817e+01,6.618729444e+01,7.758974241e+01,4.187027633e+01,6.462143918e+01,2.584924880e+00,8.301805626e+01,6.747679641e+01,4.599343911e+01,7.792645144e+01,8.991712652e-01,1.178453915e+01,2.115939492e+01,1.744415718e+01,4.738970856e+01,4.649421712e+01,3.531709191e+01,1.273722317e+00,5.447758173e+01,2.368970680e+01,3.765059174e+00,9.755321504e+01,3.985259731e+01,3.769828593e+01,3.170353357e+01,2.414235492e+00,4.689833613e+01,8.970151357e+01,8.137057293e+01,9.814869130e+01,2.401932640e+01
2.532084499e+01,1.131850319e+01,1.900756275e-01,5.223533385e+01,1.915855661e+01,4.145701006e+01,9.645608081e+00,6.681778168e+01,5.673771745e+01,4.171478398e+01,5.412623624e+01,7.782670893e+01,7.681135065e+01,8.024079566e+01,5.606940318e+01,3.533414867e+01,4.780995295e+01,9.815834972e+01,5.356840615e+00,8.665448734e+00,7.768156307e+01,4.301025748e+01,2.238834455e+01,3.259178733e-01,4.994946789e+01,1.346572227e+01,3.029548203e+01,9.195595852e+00,9.592787236e+01,5.834055811e+01,1.305861440e+01
2.857594560e+01,5.985259385e+01,7.925286326e+01,3.448145169e+01,8.989848012e+01,2.440303899e+01,4.831196287e+01,5.187091803e+01,9.222646049e+01,2.113050950e+01,4.605544746e+01,8.596144673e+01,6.512712327e+01,2.105009582e+01,9.633893633e+00,4.443489066e+01,9.277109026e+01,3.948394739e+01,3.376191450e+01,2.623807729e+00,7.917476215e+00,3.301282146e+01,1.679227717e+00,3.237271109e+01,1.822715214e+01,2.112370506e+01,7.652969856e+01,4.117712429e+01,9.901103194e+01,2.731526187e+00,2.776798422e+01
6.933745393e+01,4.025132089e+01,4.217332937e+01,9.568489574e+00,6.357134050e+01,7.111997374e+01,6.740573740e+00,3.265514812e+01,7.596687951e+01,6.583374638e+01,6.375848865e+01,3.822418049e+01,1.624944512e+01,2.851844741e+01,4.876940347e+01,9.423491704e+01,8.892992441e+01,8.144165417e+01,3.818816539e+01,9.122356700e+01,4.194555477e+01,3.976651633e+01,6.796530010e+01,6.646561420e+01,4.319421111e+00,4.154762502e+00,1.406193840e+01,3.391635092e+01,6.703973051e+01,9.271370190e+01,5.883974955e+01
7.825750610e+01,3.477282015e+01,2.384552490e+01,4.264370340e+01,6.452762253e+00,7.775930349e+01,3.381692837e+01,9.802168380e+01,7.205359724e+01,6.120364047e+01,8.704637014e+01,4.299026057e+01,2.914444529e+01,3.425165637e+01,3.347841881e+01,6.464069818e+01,4.982724478e+01,5.201154738e+01,4.550668066e+01,8.048861360e+01,2.294280096e+01,3.150979549e+01,2.731857196e+01,7.831837716e+01,1.916033724e+01,6.861308819e+01,9.792954736e+01,4.460965061e-01,9.221864374e+01,5.120667238e+01,9.280863626e+01
9.223391858e+01,1.625914402e+01,8.079133166e+01,9.750548183e+01,4.797282455e+01,6.951183449e+01,3.730345714e+01,7.103917891e+01,4.214874476e+01,8.703750665e+01,9.832032884e+01,2.573505307e+01,3.537996300e+01,6.722839344e+01,9.012661904e+01,9.084924184e+01,6.353144419e+01,7.334495646e+01,6.402303809e+01,5.701704411e+01,7.470689159e+01,8.830127039e+00,7.109371111e+01,9.995868488e+01,8.111935592e+01,4.796118824e+00,7.163255394e+01,4.960921624e+01,7.415597192e+01,8.266145212e+01,6.500849513e+01
5.791606308e+01,7.568079535e+01,7.761486961e+01,4.785932092e+01,7.540881900e+01,2.316975601e+01,6.003160396e+00,8.232631910e+01,8.128328451e+01,1.076736405e+01,1.199174192e+01,3.113000511e+01,3.137227078e+01,4.369088671e+00,5.264036325e+00,1.394882508e+01,8.003005365e+01,2.956642769e+01,9.894822750e+01,8.529937899e+01,4.304877733e+01,5.136441193e+01,9.203565267e+01,4.016774940e+01,3.603348650e+01,2.485078336e+01,8.881787910e+01,9.775229859e+01,7.228576811e+01,2.436593974e+01,5.920652308e+01
4.069279959e+01,8.495924393e+01,6.403160550e+01,7.026558215e+01,5.794464841e+01,4.910000815e+01,4.132833241e+01,6.129752671e+01,8.571470627e+01,1.670381468e+01,5.877309188e+01,4.662335129e+01,6.696801775e+01,2.688497839e+01,9.862916855e+01,1.540929654e+01,8.404740569e+01,9.734184664e+01,3.052167050e+01,6.047578517e+01,9.463396940e+00,5.485733914e+01,7.619691535e+01,8.399111190e+01,5.663428692e+01,2.847694860e+01,7.259427687e+01,8.237677413e+01,5.246419503e+01,7.664574985e+01,3.907664292e+01
4.977228662e+01,3.456031690e+01,6.559644638e+01,1.038691096e+01,7.655316874e+00,6.037380434e+01,4.028588596e+01,4.607370208e+01,8.817311020e+00,8.811318643e+01,4.099305310e+01,1.973318799e+01,7.320262448e+01,7.979575838e+01,3.587935151e+00,4.365851076e+01,7.782323070e+01,6.481415196e+01,5.852575234e+01,9.037104447e+01,9.030336348e+01,5.545258285e+01,3.693757950e+01,6.546776210e+01,8.558571536e+01,4.213466917e+01,5.072172847e+01,6.580542965e+01,7.920441392e+01,3.480434858e+01,6.986343953e+01
7.133896124e+01,6.954443834e+01,4.418188507e+01,1.777291495e+01,9.319345501e+01,8.963081760e+00,2.648684890e+01,5.737887067e+00,7.778486200e+01,6.630050921e+01,2.093080957e+01,9.425297909e+01,1.194795498e+01,5.039422797e+01,7.084187176e+01,2.005057624e+01,8.674711891e+01,4.883035154e+01,7.672448648e+01,7.709797398e+01,7.595407832e+01,9.633451094e+01,5.487806702e+01,8.546899468e+00,2.079949673e+01,8.545192877e+01,6.630959035e+01,3.404418562e+01,5.575760151e+01,3.969190978e+01,2.115456798e+01
6.137710097e+01,2.858676404e+01,9.733202605e+01,5.468418387e+01,5.111474402e+01,8.641040473e+01,7.721185238e+01,2.798566683e+01,1.421702021e+01,5.706487390e+01,2.222355409e+01,3.910779889e+01,1.909920174e+00,1.792557601e+01,9.423774795e+01,6.767246855e+00,6.656211051e+01,7.015599100e+00,7.384261212e+01,6.751834487e+01,7.451374779e+01,3.560924858e+01,6.769224426e+01,2.239121553e+01,1.940027842e+01,2.062540222e+01,5.153563733e+01,1.849793326e+01,3.188149162e+01,5.068751237e+01,7.308529763e+01
2.170918828e+01,8.119854589e+00,6.518574019e+01,2.769966120e+01,5.941276099e+01,4.846811593e+01,1.734767893e+01,9.770563327e+01,7.683925655e+00,9.209188552e+01,3.019553235e+01,3.850223202e+01,5.686621491e-01,3.130602147e+00,7.636935480e+01,6.683466225e+00,2.103707523e+01,6.403481669e+01,7.419767815e+01,8.697617980e+01,3.561143377e+01,8.523880223e+01,1.964218142e+01,7.998910318e+01,8.188547251e+01,9.368801197e+01,6.212873346e+01,7.706627967e+01,1.207869784e+01,8.562317011e+01,6.235343323e+01
5.467464426e+01,4.834264779e+01,7.520502189e+01,2.187688191e+01,7.411859716e+01,4.735295275e+01,7.595296834e+00,5.159208804e+01,1.462159410e+01,3.638418330e+01,6.829365038e+01,7.352849416e+00,7.860057592e+01,6.595130925e+01,1.826707733e+01,6.357854384e+01,5.778509997e+01,4.442444324e+01,3.954650516e+01,3.445264237e+01,1.596707144e+01,8.841356104e+01,6.449714436e+01,7.062887738e+01,9.778269784e+01,5.482228924e+01,7.189336418e+01,5.230703535e+01,8.963096583e+01,4.759625250e+00,3.731059619e+01
1.730806804e+01,1.473107732e+00,9.376031115e+01,2.382996307e+01,7.928053033e+01,7.236592001e+01,5.090254874e+01,9.457994353e+01,5.979307975e+01,6.508953948e+01,6.698404210e+01,6.798907084e+01,3.663201364e+00,5.258698593e+01,1.831719278e+01,5.930836345e+01,2.621680855e+01,2.940545229e+01,4.349659081e+01,6.186906791e+01,6.987313716e+01,5.188314346e+01,2.047995508e+01,4.580488343e+01,1.575647105e+01,4.658348132e+01,6.586670076e+01,8.916549557e+01,1.602722077e+01,6.699654705e+01,3.894057087e+01
5.780292841e+01,9.719096513e+01,6.992737013e+01,7.889953617e+01,4.709416422e+01,9.891406051e+01,8.034453576e+01,7.701479160e+01,4.363697958e+01,2.454298697e+01,9.564122283e+01,1.370305533e+01,9.346488854e+01,2.205792399e+01,6.767519347e+01,6.003180141e+01,7.777302823e+01,9.546014867e+01,4.417885143e+01,9.111263841e+01,4.649081244e+01,9.158710376e+01,3.345270940e+01,5.775416087e+01,5.489145902e+01,8.179998129e+00,9.090428692e+01,9.047093820e+01,1.183511644e+01,8.175509640e+01,3.948194567e+00
3.670638938e+01,8.587114930e+01,2.185525352e+00,8.777726112e+01,5.958985086e-01,1.558174117e+01,9.172523206e+01,4.843799771e+01,3.216696431e+01,5.199690226e+01,6.274571485e+00,6.338251533e+01,3.556597290e+01,1.272471554e+01,9.984860010e+00,5.566608732e+01,4.180951666e+01,6.419212329e+01,5.023158026e+01,4.245453810e+01,3.209151143e+01,1.320216885e+01,2.228683879e+01,9.035290165e+01,2.460673516e+01,6.070154578e+01,5.241823365e+01,3.067700897e+01,2.132310033e+01,3.005270384e+01,7.742951612e+01
2.799672753e+01,6.052765361e+01,4.074215641e+01,8.597019472e+01,4.327058352e+01,8.691048176e+01,4.735130031e+00,7.856997561e+01,6.553058880e+01,4.749264995e+01,1.267283903e+01,2.514138946e+01,8.268898380e+01,7.459593079e+01,2.407703752e+01,4.922279350e+01,5.869992159e+01,4.035565166e+01,3.129399336e+01,9.756177961e+01,7.635483785e+01,6.729588357e+01,5.404072424e+01,2.874256216e+01,8.523511226e+01,3.618333472e+01,5.927879953e+00,5.307463709e+01,1.489428033e+01,9.672688161e+01,1.617893173e+01
4.705308658e+01,2.806894085e+01,4.230168490e+01,4.687760484e+01,8.373596022e+01,8.653882792e+01,1.456108660e+01,5.011259064e+00,1.849893527e+01,9.533488147e+01,9.010181676e+01,3.717226407e+01,8.237176450e+01,4.433032773e+01,7.040870922e+01,1.663447510e+01,5.242669208e+01,2.608764959e+01,5.281586137e-01,6.216923803e+01,2.258795422e+01,3.764485147e+01,7.387289219e+01,9.805736793e+01,9.024052146e+01,3.913146072e+01,7.715683659e+01,1.165523109e+01,2.318703878e+00,2.022329302e+01,5.010147176e+01
9.275993123e+00,9.798192752e+01,8.136268500e+01,8.220788442e+01,9.039241377e+01,2.038754879e+01,2.222255441e+01,6.543722942e+01,7.075109685e+01,9.454372352e+01,1.950895613e+01,4.228798083e+01,4.419460020e+01,2.835001593e+01,8.551119675e+01,4.567074927e+01,2.619405192e+01,1.565093128e+01,9.151332437e+01,7.222819178e+01,7.084056931e+01,1.368544832e+01,3.150202372e+01,6.091567831e+01,3.782001107e+01,5.652348144e+01,3.120063535e+01,2.750304464e+01,2.661643736e+00,2.442831369e+01,3.536448075e+01
8.930981388e+01,5.720472100e+01,4.615124402e+01,6.449545153e+01,2.588422624e+01,9.599316217e+01,6.872512122e+01,9.044874572e+01,9.818904981e+01,5.842538871e+01,7.998388330e+01,3.965142251e+01,7.810477104e+01,5.872522497e+01,5.885366187e+01,7.234629262e+01,1.013592345e+01,4.248559830e+01,1.339107476e+00,7.304445384e+01,4.453168710e+00,8.631442648e+01,6.512814481e+01,8.723638995e+01,4.692396488e+01,3.515149803e+01,4.055218967e+00,5.250261862e+01,6.829531136e+01,2.108602670e+01,9.632029161e+01
2.302677666e+01,7.450285237e+01,1.528901925e+01,5.483065734e+01,3.722174783e+01,4.828891002e+00,6.392782936e+01,3.990709501e+01,7.391543579e+01,2.130196866e+01,8.407828563e+01,8.320148412e+01,4.469011351e+01,3.537911551e+01,9.302434941e+01,2.716954159e+01,1.619486951e+01,8.106653337e+01,2.753060808e+01,4.937703625e+01,1.605425049e+01,6.377606826e+01,8.869127120e+01,5.514214700e+01,7.912804609e+01,8.766319019e+01,8.996333310e+01,8.987446376e+01,3.466429031e+01,8.422767961e+01,1.269556656e+01
