v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67
8.277590301e+01,8.149717926e+01,3.428578386e+01,5.198148513e+01,8.446377931e+01,5.084796958e+01,6.124917073e+01,8.299491928e+01,4.896656317e+01,2.101144730e+01,8.887990924e+01,3.125520941e+01,9.355767481e+01,2.453515339e+01,2.502440080e+01,8.417911255e+01,4.126424683e+01,3.201206490e+01,8.408825799e+01,2.978563324e+01,1.814317944e+01,2.875539583e+01,6.782083855e+01,9.514868430e+01,5.367398783e+01,6.270229924e+01,2.241086167e+01,6.337843840e+01,4.715750848e+01,6.563407672e+01,9.612745735e+01,6.808559389e+01,3.426524369e+01,6.175255220e+01,6.069991638e+01,5.059342031e+01,3.917718401e+01,1.367088360e+01,9.542224574e+01,5.379392224e+01,2.198280309e+01,1.236324367e+01,6.297238240e+01,7.214776696e+01,9.195003955e+01,4.356595434e+01,6.356662403e+01,7.207665787e+00,9.013999873e+01,9.919416020e+00,9.066108211e+01,7.515968031e+01,4.846367254e+01,7.491464489e+01,7.125067214e+01,4.886555304e+01,3.010107590e+01,8.380354570e+01,2.724540998e+01,5.922916603e+01,9.604996162e+01,5.003604232e+01,3.337214558e+01,4.408886186e+01,3.391451656e+01,5.647657530e+00,8.805125053e+01
3.444413353e+01,7.638322615e+01,6.897069212e+01,2.883725489e+01,7.222894150e+01,9.796524675e+01,6.598522905e+01,3.898174309e+01,2.919036954e+01,4.502499011e+01,5.322680442e+01,5.086739161e+01,9.783490664e+01,2.995603827e+01,1.914515994e+01,8.189139275e+01,6.305777015e+01,5.653829341e+01,4.257361703e+01,8.956554953e+01,1.090168179e+01,7.287335188e+01,1.585569781e+01,9.849765322e+01,7.331723623e+01,9.308736323e+01,3.697932479e+01,4.001570719e+01,4.385291893e+01,7.052805159e+00,6.723945583e+00,6.852153707e+01,3.226570453e+01,9.729271014e+01,8.586848103e+01,9.544848791e+01,6.428366664e+01,1.689394817e+01,7.416775816e+01,8.699887080e+01,6.459721471e+01,3.740272640e+01,1.880261221e+01,5.299615101e+01,4.528665286e+01,1.946996311e+00,6.429791712e+01,5.939905529e+01,8.250794796e+00,2.816094509e+01,9.502229506e+00,4.726791022e+01,5.876225366e+01,6.763046123e+01,9.718281238e+01,7.011738666e+01,4.134637596e+01,6.646982602e+01,6.366942366e+01,9.422719768e+01,1.948405714e+01,4.956463733e+01,2.054628479e+00,7.408143288e+01,2.813632105e+00,7.720311333e+01,5.603181038e+01
8.907904116e+01,5.333927159e+01,3.996790419e+01,7.144756568e+01,3.463885800e+01,4.132929663e+01,6.801375125e+01,2.894491549e+01,7.157414144e+01,7.889512815e+01,1.525311483e+01,8.940797609e+01,3.429830643e+01,9.456321553e+01,3.026253362e+01,6.405558866e+01,3.917036462e+00,6.457925737e+01,6.582232036e+01,5.830135833e+01,5.684357532e+01,8.552897830e+01,3.982533932e+00,7.925888528e+01,2.881640572e+01,3.897108865e+01,5.504326391e+01,2.572824420e+01,1.133641121e+01,4.282008121e+01,7.781698526e+01,4.615041251e+00,6.367673910e+01,7.963136179e+01,2.168599650e+01,6.098331504e+01,7.752804723e+00,9.922182265e+01,1.709623119e+01,2.633808298e+00,1.951341283e+01,6.079678524e+01,7.244568641e+00,4.684121159e+01,3.796416502e+01,6.590965041e+01,2.454402992e+01,2.296576864e+01,1.600520627e+01,3.974621721e+01,6.677882760e+01,6.066683885e+01,8.743778463e+01,4.457177471e+01,9.478094096e+01,4.685062018e+01,4.882816015e+01,7.565208198e+01,1.524713557e+01,1.954938519e+01,9.979913324e+01,3.737777172e+01,3.105810592e+01,6.454794116e+01,8.909137758e+01,6.921081497e+01,1.088657543e+01
3.426473208e+01,4.600682785e+01,7.052316686e+01,3.229262312e+01,1.561269300e+01,4.566493047e+01,9.218392037e+01,8.642226276e+01,9.784648534e+01,4.165619721e+01,7.446840600e+01,6.227434476e+01,8.467403621e+01,6.267016633e+01,3.678342229e+01,4.094834207e+01,9.951412874e+01,5.058143579e+01,9.946580624e+01,4.606047232e+01,2.605170164e+01,8.773390637e+01,6.950531431e+01,7.886342161e+01,3.917560766e+01,2.309749371e+01,3.651600227e+01,7.096357433e+01,4.376111536e+01,5.602346155e+01,7.966191598e+00,5.984529382e+01,5.088221133e+01,1.069994725e+00,1.321992025e+01,1.948422621e+01,3.782576304e+01,6.599997472e+01,1.336750738e+01,1.905181479e+01,8.841127832e+01,1.724315339e+01,2.892388323e+01,6.319868875e+01,5.466628383e+01,5.464755848e+01,7.209054122e+01,3.007451724e+01,3.682848443e+01,1.128474389e+00,5.026596045e+01,4.647910908e+01,8.323822262e+01,2.000648307e+01,7.645988613e+01,6.483666001e+01,1.532801251e+01,9.837837575e+01,5.419555145e+01,1.472754383e+01,1.794038876e+01,9.328147783e+01,9.109720894e+01,5.557301750e+01,4.536053867e+01,7.997378152e+01,3.363698438e+00
7.997014072e+01,4.347718643e+01,5.983037414e+00,1.390314434e+01,2.668110945e+01,9.904305355e-01,4.981966894e+01,4.679849308e+01,5.713239334e+01,8.276928644e+01,2.903329685e+01,1.296864480e+01,6.888306810e+01,5.763336567e+01,2.464797446e+01,3.533802576e+01,1.228510409e+00,2.710578357e+01,8.640165369e+01,8.300778058e+01,6.661165072e+01,3.853447179e+01,6.567097599e+01,6.518919068e+01,9.383764841e+01,4.942276425e+01,1.192051015e+01,9.665530374e+01,7.054129528e+01,8.608894305e+01,7.893940932e+01,9.010182062e+01,6.727590631e+01,5.639887773e+01,7.138763415e+01,9.468287802e+01,6.567042980e+01,9.315322537e+01,8.639812057e+01,1.003496380e+00,7.691471344e+01,3.213872751e+01,6.554324740e+01,7.645781094e+01,7.127036029e+01,9.425249858e+01,9.501956485e+01,4.581907747e+01,7.600733856e+01,7.053490451e+01,7.389731840e+01,1.808485350e+00,9.983514386e+01,6.274179720e+01,3.486312923e+01,5.769125192e+01,5.214566951e+01,7.189917667e+00,6.698265015e+01,5.882142937e+01,1.376396455e+00,1.592613653e+01,4.595896585e+01,5.146597353e+01,2.932908014e+01,3.147489730e+01,1.606978600e+01
3.123299633e+00,1.139949070e+01,8.158570295e+01,8.881007340e+01,9.554401264e+01,6.717151912e+01,1.623577291e+01,9.449195160e+01,9.618784598e+01,9.847226768e+01,6.491601785e+01,6.854285363e-01,7.718546772e+01,4.887918586e+01,9.710135877e+01,3.153442958e+01,3.392919153e+01,5.638486088e+01,5.713997517e+01,4.201194117e+01,8.166368478e+00,5.249977354e+01,4.767723493e+01,3.428035503e+01,3.584468342e+01,8.530386344e+01,8.878008080e+01,6.671074065e+01,6.687544527e+01,1.093822684e+01,5.935575405e+01,3.976647720e+01,7.625947062e+01,3.073982757e+01,3.789151503e+01,8.824898639e+01,2.891877137e+00,7.047686551e-01,9.205867951e+01,3.172423976e+01,2.988386480e+00,6.696354543e+01,3.274876836e+01,5.457526850e+01,3.820091157e+01,7.328708822e+01,8.028761966e+01,3.225451880e+01,7.933615039e+01,4.189922199e+01,9.807838171e+00,7.194077302e+01,3.979698902e+01,2.278017576e+01,5.710814853e+01,2.372525264e+01,7.624155819e+01,1.678043809e+01,3.570303089e+01,1.312367645e+01,5.733005898e+01,4.395856904e+01,3.094821735e+01,9.011046504e+01,5.925925588e+01,6.464770902e+01,3.765195353e+01
4.620577213e+01,1.274384829e+01,5.396876429e+01,1.628039273e+01,4.953969641e+01,6.645465708e+01,5.773775066e+01,2.970656609e+01,7.969509237e+01,6.355806995e+01,1.707860506e+01,9.867146706e+01,3.514131639e+01,6.769401951e+01,2.135161966e+01,9.530726083e+00,1.597030085e+01,6.003096031e+01,4.800279792e+01,3.788693234e+01,2.745587622e+01,4.622815693e+01,4.771233587e+01,9.913311375e+01,5.128724787e+01,6.568084407e+01,8.764331544e+01,5.122711750e+01,5.767645153e+01,1.751545576e+01,9.088047239e+01,4.445102941e+01,4.388403099e+01,1.633541424e+01,3.700291105e+01,9.958188351e+01,4.085028342e+01,5.728852308e+01,6.404750806e+01,8.455145010e+01,3.367258710e+01,3.724847475e+01,7.419131284e+01,9.303760816e+01,4.293558477e+01,8.524117801e+01,1.409400453e+01,8.330767612e+01,5.963759012e+01,2.515520286e+01,8.460932975e+01,8.039495499e-01,5.919062098e+01,8.914209576e+01,2.162022979e+01,4.708931796e+00,8.261939235e+01,6.863748036e+01,8.103890836e+01,2.384448273e+01,9.766761366e+01,5.512219867e+01,5.971856069e+01,7.957142081e+01,6.231646666e+01,5.653187693e+01,6.687265304e+00
6.041909771e+01,5.162122747e+01,6.497673699e+01,3.113231996e+01,7.390045002e+01,5.113807152e+01,7.845469258e+01,4.332220909e+01,5.004662479e+01,6.802688149e+01,3.609129574e+01,7.408804545e+01,3.841723563e+01,7.325045198e+01,9.229065197e+01,3.026451312e+01,9.804868070e+00,2.029942779e+00,4.416752427e+01,9.319889278e+01,9.118064821e+01,5.258528964e+01,1.985163190e+01,1.069152341e+01,5.342738002e+00,5.001090958e+01,3.131487858e+01,2.158166148e+01,7.232555572e+01,4.295423441e+01,7.720839745e+01,6.080743907e+01,3.344878650e+01,2.725786835e+01,7.356108901e+01,5.198687978e+00,4.880308625e+01,1.854838182e+00,1.843604606e+01,8.844676360e+01,6.912000266e+01,2.178885161e+01,1.553722292e+01,7.746923483e+01,3.474174043e+01,2.688638064e+01,8.589614817e+01,4.827135759e+00,5.338549737e+01,6.152281317e+01,2.339759657e+01,2.449335441e+00,8.870206948e+01,4.691467776e+01,1.322239347e+01,2.260087624e+01,2.823437459e+01,9.641389015e+00,6.879930366e+01,6.007137331e+01,3.433710211e+01,9.024679444e+01,3.416584669e+01,8.733928856e+01,8.200724699e+01,4.093506667e+01,6.458183656e+01
1.637557948e+01,6.710672171e+01,6.802235186e+01,1.177260927e+01,9.059932258e+01,6.059719183e+01,2.306866793e+01,7.210919680e+01,1.431278001e+01,3.093692634e+01,5.481976696e+01,1.720279197e+01,5.346843040e+00,1.095895873e+01,4.154403453e+01,6.546213048e+01,9.601884335e+00,6.744964284e+01,5.106139006e+01,4.091805978e+01,8.521200617e+01,4.239811226e+01,8.403833955e+01,3.575273053e+01,8.618606476e+01,9.932253075e+01,5.322065477e+01,5.664811868e+01,4.493236820e+01,7.777962738e+01,6.972444836e+01,1.609090006e+01,8.730563167e+01,6.533397832e+01,8.069082322e+01,4.043531460e+01,1.004072866e+01,4.489625903e+01,2.518098547e+01,9.788428606e+00,3.257037470e+01,6.916314315e+01,9.103157128e+01,8.092590675e+01,1.552630327e+01,2.663250781e+01,4.236906860e+01,4.982294765e+01,6.178906761e+01,7.613013897e+01,9.398251650e+00,8.284266137e+01,5.741200699e+01,6.030875506e+01,9.211192556e+01,1.574066454e+01,1.706212866e+01,8.568613896e+01,6.606010572e+01,1.031263126e+01,7.832456544e+01,6.365473992e+01,7.851642200e+01,9.186685908e+01,9.566522850e+01,2.594092130e+01,7.185995405e+01
8.206295628e+01,4.534987621e+01,7.395131688e+01,3.784453394e+01,8.209174095e+01,9.147169262e+01,8.055621719e+01,2.143594358e+01,5.727653678e+01,5.607377672e+00,1.064909874e+01,5.113581035e+01,3.550308050e+01,4.018911376e+01,3.910330151e+01,4.835390381e+01,3.852546217e+01,6.893510650e+00,1.655211387e+01,4.950815085e+01,4.528568025e+01,1.706199543e+01,4.424635288e+01,6.646223165e+01,3.637333887e+01,7.038006199e+01,7.872748715e+00,3.968072735e+01,1.498517126e+01,6.828030016e+01,6.310141037e+01,6.356584891e+01,3.206576793e+01,7.085318002e+01,5.870523265e+01,3.284461740e+01,7.145618659e+01,8.089256772e+01,2.714793790e+01,2.645476271e+01,1.792645777e+01,7.017482552e+01,4.779705615e+00,9.350623887e+01,2.980278660e+01,2.765246207e+01,1.970000225e+00,2.580908365e+01,3.041243948e+01,6.872029824e+01,2.624076078e+01,8.056150190e+01,3.981097668e+00,9.161548048e+01,1.513057709e+01,4.103237153e+01,3.316318903e+01,2.271779226e+01,4.797326572e+01,9.135623806e+01,2.560895822e+00,3.536172666e+01,7.407071656e+01,5.827055759e+01,2.499192786e+01,2.508265525e+01,4.561235836e+01
3.985281560e+01,1.155248530e+01,6.412820750e+01,2.912498606e+01,2.018986192e+01,4.882458317e+01,3.852269133e+00,3.038575578e+01,3.238565633e+01,2.517464302e+01,6.264203508e+01,6.294125214e+01,7.040661646e+01,4.096255611e+00,2.156324594e+01,8.119111130e+01,4.119841431e+01,7.000911260e+01,4.505010787e+01,6.367440477e+01,8.127334008e+01,9.085556377e+01,1.606151654e+01,3.370758628e+00,5.739141126e+01,5.215926057e+01,7.847710097e+01,7.826995111e+01,9.817393080e+01,6.258915606e+01,7.473157734e+01,1.260672594e+01,1.760418320e+01,6.083452136e+00,4.790364343e+01,1.392398742e+01,7.269041938e+01,5.101798956e+01,7.829400707e+01,6.109572994e+01,8.358700164e+01,1.276489249e+01,5.985614828e+01,5.806091986e+01,1.648224192e+00,4.143012606e+01,2.714467459e+01,1.227958224e+01,3.393888318e+00,3.143940513e+01,9.363333107e+01,7.358103254e+01,8.603176362e+01,1.965115793e+01,2.170478729e+01,6.588588635e+01,2.201962688e+01,9.919635123e+01,4.572570552e+01,5.866165063e+01,7.587291515e+01,6.159513243e+01,8.474148309e+01,1.199880111e+01,6.990412823e+01,7.730172751e+01,6.346228422e+01
3.141217442e+01,7.661713130e+01,7.641606721e+01,4.312624715e+01,3.002300582e+00,6.163097057e+00,4.756952631e+01,5.999048834e+00,3.324155594e+01,1.496239797e-01,6.797676670e+01,8.419835651e-01,5.298625625e+01,9.310829186e+01,3.758623154e+01,5.679780212e+01,8.243089086e+01,8.778624094e+01,6.052168121e+01,7.153909273e+01,3.421128511e+01,7.996542967e+01,2.686323251e+01,7.284361182e+01,3.096137123e+01,8.348070659e+01,5.964944044e+01,2.205070138e+01,7.427665264e+01,2.931871276e+01,4.308051327e+00,1.238193116e+01,6.708857720e-01,3.590932602e+01,4.898212936e+01,8.009260720e+00,9.408966617e+01,2.263715707e+01,8.747379226e+01,2.437327325e+01,2.035746602e+01,1.292152527e+01,2.525721359e+01,3.365465641e+01,2.855654475e+01,2.874325451e+01,1.371585743e+01,1.060252175e+01,5.898814878e+01,7.760218087e+01,5.566178110e+01,6.014059308e+01,7.734914962e+01,4.422271272e+01,2.852378107e+01,1.630996234e+01,3.548917693e+00,1.310405814e+01,6.333741186e+01,1.462641220e+01,3.509279801e+01,6.680984612e+01,8.553302046e+01,9.199798580e+01,5.126899959e+01,6.488142488e+01,2.353939029e+01
