v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55
8.854894365e+01,7.990360319e+01,4.138117777e+01,5.216669988e+01,7.693262693e+01,9.230529262e+01,7.552410662e+01,2.099589782e+01,3.891499606e+01,6.697602994e+01,4.073070178e+01,7.247656022e+01,8.572877219e+01,8.497864450e+01,1.573461848e+01,2.720028719e+01,2.520993931e+01,9.743325997e+00,7.528363498e+01,1.564893037e+01,4.120981554e-01,4.476246709e+01,8.180856559e+01,5.697419740e+01,4.037457828e+01,2.085570408e+00,4.845230358e+01,1.822892550e+01,2.894145477e+01,4.528974730e+00,7.216727240e+01,5.383535774e+01,5.897642916e+01,8.574222594e+01,1.746078182e+01,4.048737856e+01,8.840232001e+01,5.317768063e+01,9.498143440e+01,9.938896361e+01,7.466111018e+01,6.574217437e+01,4.148164690e+01,9.690452963e+01,6.729801068e+01,9.590071246e+01,7.679725917e+00,6.220910063e+01,3.186704560e+01,7.538224971e+01,3.722455081e+01,1.985445309e+01,5.511026321e+01,8.814921872e+00,1.346244530e+01
3.208751114e+01,9.066457568e+01,8.655249815e+00,4.264665027e+01,6.163196457e+01,8.404224864e+01,2.327907472e+01,8.478369614e+01,6.622235698e+01,2.942822224e+01,2.325085006e+00,1.771482050e+01,7.721862601e+01,3.915142064e+00,2.213600880e+01,8.011990697e+01,9.780505607e+01,7.464286720e+00,8.971813219e+01,7.906992560e+01,8.527013878e+01,8.784657824e+01,2.652805002e+01,5.850796809e+01,5.697455504e+01,9.377239893e+01,8.623775477e+01,8.246910962e+01,9.980816546e+01,8.582865165e+01,7.530435596e+01,1.165532040e+01,4.212745682e+01,6.693719891e+01,3.880374163e+01,9.257278226e+01,3.927876260e+01,9.337227158e+01,2.495036518e+01,7.034859191e+01,2.042663224e+01,4.829073355e+01,2.957170555e+01,5.674076783e+01,6.618567802e+01,3.901797463e+00,6.828952186e+01,6.920052770e+01,4.058534879e+01,3.764257847e+01,6.572628779e+00,2.690251665e+01,9.780488964e+01,8.182950063e+01,4.006013912e+01
8.462878789e+01,7.353073201e+01,1.005920326e+01,6.533532379e+01,3.900862633e+01,7.039181545e+01,5.738950159e+01,8.656467749e+01,1.175135793e+01,3.219208681e+01,1.228894194e+01,3.708821711e+01,1.501277231e+01,1.677784458e+01,5.897964299e+01,2.736704543e+01,2.993078263e+01,1.984622210e+01,9.220530804e+01,4.852582299e+01,2.239268660e+01,2.258806679e+01,9.082124924e+01,9.101827568e+01,3.361277472e+01,5.673884634e+01,6.644845776e+01,9.924162403e+01,6.902546897e+01,9.264670380e+01,8.012659666e+01,5.457911427e+01,9.536938272e+00,5.804833948e+01,6.042379460e+00,1.174338748e+01,9.187502163e+01,8.462841433e+01,8.655694043e+01,4.647638880e+01,3.507273777e+01,9.584962286e+01,6.278626715e+01,5.875871952e+00,4.055923318e+01,5.659492163e+01,8.531275626e+01,2.854950052e+01,5.187262047e+01,3.120465811e+01,4.442949118e+01,9.179608816e+01,2.993489499e+01,2.575854324e+01,5.848651727e+01
2.639677778e+00,5.308406264e+01,1.544742981e+01,8.610901007e+01,8.645506209e+01,9.058959042e+01,2.620013270e+01,4.620577818e+01,8.541203773e+01,6.750418920e+01,7.072087072e+01,2.189489644e+01,9.851611189e+01,9.167628962e+01,1.721562862e+01,8.409971209e+01,7.355889376e+01,3.911495236e+01,8.989735740e+01,9.723278661e+01,2.823915105e+01,3.447453994e+01,7.281523162e+01,5.375283260e+01,8.701857796e+01,6.119450508e+01,4.818790070e+01,4.889602296e+01,3.688361872e+01,7.598649186e+01,2.712059321e+01,6.541514470e+01,5.198178483e+01,8.277551867e+01,8.293949285e+01,5.467504485e+01,5.987425603e+01,4.629938556e+01,2.857141347e+01,8.264644168e+01,7.567938380e+01,5.772004322e+01,3.087889643e+01,4.230842536e+01,7.629132317e+01,4.242758936e+01,5.241670272e+01,1.270696474e+01,8.742916976e+01,7.817074766e+01,6.297946757e+01,8.602569836e+01,2.557044363e+01,5.981514144e+01,7.845942285e+01
3.183746091e+01,3.980061630e+01,5.020772784e+01,6.887532384e+00,1.413428566e+01,7.851187336e+01,3.804530792e+00,3.929149072e+01,7.047389418e+01,1.014847061e+01,4.535037573e+01,6.953551862e+01,7.639843338e+01,1.295155240e+01,3.482518431e+01,2.956944963e+01,7.589078636e+00,1.567993177e+01,4.422622331e+01,5.398848415e+01,9.841115927e-01,4.527071525e+01,7.523088129e+00,2.329221283e+00,4.729751182e+01,5.833157053e+01,7.504403857e+01,8.250251531e+01,9.664640037e+01,5.319101666e+01,2.131553811e+01,2.021780334e+01,3.369052363e+01,3.286803890e+01,2.743142161e+01,1.007864019e+01,3.057696135e+01,2.562604916e+00,8.215092278e+01,6.622470253e+00,4.661715656e+00,3.983307524e+01,3.268455159e+00,4.871755332e+01,2.779729105e+01,5.230532285e+00,8.628955796e+01,1.426625488e+01,5.460248496e+01,3.364449392e+00,6.666251510e+01,3.496204216e+01,9.756958852e+01,3.574712696e+01,7.621448609e+01
4.075347392e+00,8.306424054e+01,1.118547799e+01,5.370299699e+00,3.384451054e+01,9.195686806e+01,1.605535084e+01,7.803747056e+01,6.592278557e+00,6.502717849e+01,9.251139380e+01,8.120978197e+01,9.508305704e+01,1.253733904e+01,2.208461623e+01,9.590644578e+01,1.544024390e+01,8.719291875e+00,2.791258557e+01,6.990360061e-01,5.262582631e+01,4.954666180e+01,6.046731773e+01,7.209908644e+01,4.979205373e+01,2.829257216e+01,5.145091381e+01,8.637712496e+01,9.309253129e+01,2.881420636e+01,9.736897152e+01,3.312276287e+01,6.069771698e+01,5.875642350e+01,6.185520464e+01,3.673191357e+01,3.809058963e+01,7.755628426e+01,4.261958838e+01,2.056643725e+01,3.771351988e+01,8.354571236e+01,6.525207471e+01,9.674157280e+01,3.175237477e+01,6.249752380e+01,9.411879155e+01,5.035820091e+01,8.524092879e+01,5.276475575e+01,2.877463804e+01,7.494953341e+01,1.019486383e+01,7.568203947e+01,4.789741041e+01
3.201394272e+00,4.220716773e+01,5.978060461e+01,8.080465524e+01,9.950815077e+01,4.563657704e+01,1.698306715e+01,9.486125674e+01,3.934859224e+01,4.055836043e+01,5.886517787e+01,2.911166247e+01,8.245709066e+01,9.583187203e+01,2.092603697e+01,2.306594352e+01,5.930997497e+00,7.836824093e+01,1.601126220e+01,5.141987719e+00,9.421482817e+00,2.313996656e+01,4.926071445e+01,1.792896314e+01,1.294642598e+01,6.940974749e+01,1.284301536e+01,6.034648313e+01,7.064453952e+01,6.075562451e+01,3.998206705e+01,1.209239900e+01,4.242154677e+01,6.580424112e+01,1.976260362e+01,2.801826053e+01,7.367881173e+01,4.217602564e+01,4.969513851e+01,2.305920977e+01,5.623620035e+01,7.336066392e+01,9.986097492e+01,5.012338932e+01,5.236002606e+01,6.208010146e+01,7.963778315e+01,8.466320174e+01,4.914292020e+01,5.043972514e+01,8.398686526e+01,5.567059878e+01,6.648879517e+01,2.269713853e+01,8.815052612e+01
3.164331697e+01,9.277043805e+01,2.280059492e+01,5.857613403e+00,5.246537533e+01,9.284623718e+01,6.658250566e+01,9.444672627e+01,6.577671452e+01,8.922360263e+01,2.291932598e+01,2.357905919e+01,8.959723415e+01,8.216489487e+01,1.104988557e+01,6.607010981e+01,6.685605950e+01,7.991178229e+01,5.842726491e+01,6.055942758e+01,6.854216288e+01,2.377093579e+01,9.872970696e+01,5.525284434e+01,7.610440975e+01,6.021744320e+01,1.941721413e+01,1.300786474e+01,3.793157729e+01,6.678376296e+01,5.749620678e+01,1.622545777e+01,2.406514240e+01,8.943095396e+01,4.887525166e+01,5.410240017e+01,8.361176471e+01,6.454848587e+01,6.996844767e+01,8.603367650e+01,2.457199162e+01,1.339038833e+00,2.967775805e+01,6.499833778e+00,1.865098297e+01,5.607246092e+01,4.006245623e+01,3.041943393e+01,1.287013151e+01,2.840802395e+01,8.749817260e+01,1.765191097e+01,8.364817983e+00,7.791645075e+01,3.083008739e+00
7.610734995e+01,3.014957220e+01,8.801782564e+01,3.353509642e+01,4.859355146e+01,7.384838716e+01,4.580689946e+01,3.173370321e+01,9.020890048e+01,8.490268577e+01,3.505261078e+01,2.956086195e+00,6.808808633e+01,2.508029051e+01,4.594929456e+01,6.262319559e+01,1.446448645e+01,4.676565799e+01,6.060034945e+01,4.173656593e+01,2.329766637e+01,5.020302385e+01,5.702895336e+01,2.111977950e+01,8.137598982e+01,8.877019555e+01,6.747825955e+01,1.754430391e+01,7.424083343e+01,4.106436917e+01,6.399554420e+00,5.677108467e-01,4.996978485e+01,8.204887732e+01,9.431468132e+00,8.623112099e+01,8.682495421e+01,4.115518265e+01,3.276604355e+00,6.766420733e+01,3.470221304e+00,6.591818591e+01,3.669020576e+01,5.245762363e+01,1.085453911e+01,9.486480142e+01,4.373284091e+01,8.109249401e+01,7.169870315e+01,5.123209061e+01,7.138158419e+01,1.028712868e+01,6.287832010e+01,2.157672983e+01,7.440352450e+01
3.040915050e+01,4.734643280e+01,1.281773715e+01,4.886535782e+01,8.352145604e+00,2.728761725e+01,5.095025085e+01,6.942156275e+01,2.470494536e+01,3.115808358e+01,6.617843374e+00,9.323964519e+01,6.225548634e+01,7.971095679e+01,5.106761405e+00,3.479786307e+01,4.431622439e+01,5.332216991e+00,7.015149637e+01,3.235400527e+01,5.451836096e+01,3.126639576e+01,7.220561695e+01,6.614056694e+01,6.336864160e+01,3.812616663e+01,1.122062893e+01,9.516142891e+00,5.846207148e+01,8.604214284e+01,4.150587044e+01,2.396891426e+01,6.853761302e+01,9.236035286e+01,8.338963262e+01,6.844210600e+01,5.848964277e+01,8.632996963e+01,4.241999765e+01,4.000079913e+01,7.294458879e+01,7.059455410e+01,5.027761495e+01,1.552602358e+01,3.367253601e+01,7.691026569e+01,2.714592802e+00,8.637108938e+01,6.711348557e+01,4.401057686e+01,9.853930871e+01,5.842348314e+01,8.316296025e+01,6.630966379e+01,5.733427507e+01
3.585358140e+01,3.141747221e+01,2.826391280e+01,7.638150961e+00,3.332807954e+01,7.249971550e+01,9.385672570e+01,6.688955604e+01,9.238893189e+01,4.204819806e+01,1.746285316e+01,9.604680709e+01,8.543220040e+01,7.240147532e+01,7.863001067e+01,8.118220134e+01,2.415884100e+01,9.852676830e+01,2.583899288e+01,5.426787367e+01,7.324300413e+01,8.508118988e+01,9.116925537e+01,8.351816912e+01,5.084220457e+01,3.675456760e+01,4.262182261e+01,3.475390892e+01,6.063497994e+01,6.447289925e+01,8.184648392e+01,1.851620764e+01,5.918015301e+01,7.387615058e+01,7.427073776e+00,3.163478581e+01,6.647521804e+01,8.679238815e+01,7.455714189e+01,5.402580702e+01,8.775650308e+01,6.218158060e+01,8.313863226e+01,8.983779265e+01,5.820576635e+00,8.933857564e+01,4.554207482e+01,6.129750030e+01,2.914458378e+01,8.341336944e+00,1.480905508e+01,3.028306342e+01,1.304776231e+01,4.526728017e+01,5.386522402e+01
4.584941039e+01,6.166765940e+01,7.490189275e+01,3.109627052e+01,4.790787246e+01,4.588405388e+01,8.953024981e+01,5.544483816e+00,4.602463424e+00,4.703186480e+01,1.405741160e+01,3.615315935e+01,2.069836247e+01,8.244780982e+01,8.636986214e+01,9.717677076e+01,4.731000828e+01,6.952597163e+01,7.802727224e+01,8.462126207e+01,3.046913127e+01,4.545668419e+01,8.420770303e+01,6.603297224e+01,5.886046275e+01,8.053724793e+01,7.341063622e+01,9.669981807e+01,6.314143799e+01,7.825613858e+01,1.059728240e+00,2.463208828e+01,3.545643158e+01,9.292705706e+01,8.110976801e+01,8.216716994e+01,3.473991492e+01,1.352080470e+01,4.117188862e+01,8.002630069e+01,8.929857898e+01,6.116699184e+01,2.422590560e+01,8.525970408e+01,9.637742246e+01,5.549270845e+01,8.034330119e+01,8.933972414e+00,3.290682245e+01,6.826320618e+01,6.914357256e+01,6.053385977e+00,4.000311588e+00,6.390687724e+01,5.588075745e+01
6.563993784e+01,7.078100348e+01,7.455610889e+01,6.271736263e+01,4.292293546e+01,5.450131759e+01,8.426353536e+00,3.637065294e+01,1.510004915e+01,2.101895249e+01,9.326533957e+01,4.852887663e+01,9.141828687e+01,5.550166171e+01,3.096268584e+01,6.963777373e+01,9.130100168e+01,2.472334721e+01,5.326938294e+01,3.083346635e+00,1.946527276e+01,6.423943542e+01,2.865254538e+01,1.548924016e+01,8.958967679e+01,1.868829537e+01,9.302989826e+01,3.767559870e+01,2.574234671e+01,6.409954423e+01,4.918949122e+01,5.886033409e+01,7.975512418e-01,7.277734606e+01,2.825798932e+01,9.490955291e+01,2.401151842e+01,7.280821014e+01,8.960966553e+00,8.784331798e+01,7.915965051e+00,5.916659185e+01,9.635417112e+01,1.066644524e+01,1.310881293e+00,6.837461726e+01,3.752228183e+01,9.422491052e-01,1.400678631e+01,9.279129502e+01,9.124499470e+01,4.432181225e+01,7.225537074e+01,6.376210533e+01,6.711760421e+01
3.678917739e+01,4.353570930e+01,1.636694603e+00,4.509024612e+01,9.678821806e+01,6.862838567e+01,5.289827155e+01,3.330038234e+01,7.123792334e+01,7.474992286e+01,6.243351310e+01,1.469833124e+01,5.719717476e+01,6.274848462e+01,2.820278800e+01,2.318932080e+01,8.199598327e+00,2.884368562e+01,2.902191585e+01,5.957960033e+01,4.156893950e+01,1.306247468e+01,7.127962457e+01,7.372039796e+01,6.371346076e+01,5.099010028e+01,2.911741040e+01,8.139846008e+01,9.599196196e+00,8.760459548e+01,3.040490325e+01,7.581687872e+01,2.370270340e+01,7.809115420e+01,1.796033973e+01,7.528912573e+01,1.232283147e+01,1.967672352e+01,7.229390648e+01,8.790354845e+01,1.217308107e+01,9.040577251e+01,7.744103525e+01,1.268923034e+01,7.195447617e+01,2.567535351e+01,8.660251895e+01,2.354998446e+01,7.465311229e+01,5.469722524e+00,2.330235108e+00,8.795680601e+01,8.706342318e+01,9.000331456e+00,3.598478885e+01
7.799398835e+01,5.802366190e+01,8.198632060e+01,1.374461064e+01,8.366500112e+01,6.478915193e+01,7.198301231e+01,6.791265963e+01,9.466698209e+01,9.430755734e+01,9.012642638e+01,1.941600293e+01,9.086441082e+00,7.414515370e+01,6.217333000e+01,6.374418003e+00,4.132468914e+01,1.946453610e+01,5.298875990e+01,6.471677422e+01,6.055690482e+00,7.903290339e+01,6.408296370e+01,5.938289072e+01,4.116866659e+01,1.285610925e+01,4.534447699e+01,7.517439836e+00,3.753657936e+01,7.771765569e+01,2.887723608e+01,4.469561798e+01,1.998809006e+01,5.036009168e+01,3.776675878e+01,1.393878500e+00,5.448768089e+01,4.229397413e+01,8.899477746e+01,9.380404945e+01,4.780909930e+01,9.217675685e+01,1.360104753e+01,4.394968174e+01,8.043486626e+01,7.496012070e+01,4.638391211e+01,1.550395474e+01,1.849039293e+00,7.657617644e+01,5.234283472e+01,5.289506715e+01,3.566362441e+01,6.793977380e+01,8.110835679e+01
7.843635689e+01,3.107547677e+01,4.084815081e+01,5.165072305e+01,5.218726765e+01,1.757721198e-01,6.040057551e+01,1.625524780e+01,4.730634109e+01,4.662651893e+01,5.449250105e+00,8.087384684e+01,1.395386374e+01,8.806477363e+01,2.588741773e+01,6.546942704e+01,6.932480215e+01,8.777769428e+01,5.214521859e+01,5.466087020e+01,6.394805998e+01,6.800320980e+01,9.222680163e+01,4.755136414e+01,5.414400988e+01,5.336981039e+01,6.601085973e+00,8.930479135e+01,7.367502129e+01,5.981060148e+01,4.589969223e+01,2.904977948e+01,1.964432523e+01,6.312187083e+01,1.316594824e+01,7.809660619e+00,8.598900660e+01,7.996560810e+01,5.567241448e+01,7.719734866e+01,4.908856602e+01,6.762011858e+00,9.262576653e+01,1.841920649e+01,8.061646453e+01,5.014494493e+01,7.829128876e+01,5.576827170e+01,3.985457349e+01,3.181176451e+01,4.910324864e+01,6.437340885e+01,8.808555721e+01,3.739534380e+01,8.001473009e+00
