v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25
5.470979073e+01,4.556904353e+01,8.044686510e+01,2.223675890e+01,9.369899323e+01,6.476450169e+01,5.177496648e+01,4.107081856e+01,2.387552505e+01,6.330282316e+01,4.965523019e+01,5.922926091e+01,6.857952040e+00,1.922412257e+01,1.237893262e+01,1.238430936e+01,8.464300517e+01,6.304861732e+01,7.884321832e+01,1.106604469e+01,6.508512276e+01,9.035272388e+01,9.192932553e+00,5.597062919e+01,3.994065038e+01
8.382810518e+01,1.598310755e+00,3.605875282e+00,6.696411056e+01,1.361809124e+01,8.540483547e+00,7.700773900e+01,5.998949790e+01,7.307511923e+00,8.184799719e+01,6.679940427e+01,9.476229246e-03,6.715871837e+01,2.267652050e+01,7.166363010e+01,5.294985009e+01,7.602986726e+01,8.021004188e+01,1.736538366e+01,9.108768464e+01,5.711194407e+01,8.893212767e+01,7.466539983e+00,7.519625976e+00,7.201233939e+01
2.340614056e+01,2.771829721e+01,3.392208536e+01,4.805559653e+01,9.486594392e+01,9.912649751e+00,7.959958562e+01,2.750389574e+01,4.284466785e+00,7.832227106e+01,8.323570084e+01,4.731792723e+01,2.556952967e+01,5.641061495e+01,9.280052913e+01,3.896920899e+01,9.236576201e+01,3.173407313e+01,3.629898172e+01,7.516921765e+01,3.653582807e+01,4.291210177e+00,8.180278421e+01,9.053015943e+01,3.266501958e+01
5.518061335e+01,2.803568086e+00,7.710065381e+01,3.745487882e+01,4.951207383e+01,7.225934120e+01,9.645311830e+01,8.050971112e+01,7.071231159e+01,5.996165232e+01,1.258106374e+01,7.089577087e+01,6.897182586e+01,3.532796630e+01,3.569504686e+01,4.213312011e+01,7.135553627e+01,7.030662772e+01,3.160734955e+01,1.156560363e+01,9.874081851e+01,6.777878319e+01,4.126353085e+01,7.144122742e+01,4.429441049e+01
7.160070678e+01,9.991333564e+01,8.572466405e+01,4.089623414e+01,3.600550630e+01,3.354538910e+01,7.655066978e+01,3.379731617e+01,7.120470839e+01,9.044390293e+01,1.754377756e+01,3.441041229e+01,2.202518105e+01,4.399249174e+01,1.866376419e+01,7.000545259e+01,4.267198062e+01,5.044990564e+01,9.938311267e+01,9.386756958e+01,8.868607041e+01,6.604173452e+01,6.005276105e+00,9.354985795e+01,5.187521626e+01
6.737832080e+01,7.766283742e+00,5.175118977e+01,2.212477733e+01,1.256996293e+01,6.310100040e+00,5.281065884e+01,5.682981714e+01,3.646206524e+01,3.637755224e+00,4.410478784e+01,2.601419336e+01,6.079578808e+01,2.120415554e+01,6.019586468e+01,2.010512536e+01,1.707511405e+00,7.787039025e+01,8.867759053e+01,3.916379772e+01,8.039729402e+01,6.932558757e+01,8.155654646e+01,2.801711174e+01,5.134160476e+01
8.190929516e+01,6.640502190e+01,4.203836675e+00,9.571295557e+01,2.609384695e+01,5.721991044e+01,1.782402954e+01,8.865679065e+01,1.368785005e+01,8.992083462e+01,2.670736935e+01,9.465779866e+01,4.971918145e+01,9.349960183e+01,1.610278801e+01,2.143384006e+01,4.864315948e+01,7.632578097e+01,8.275261966e+01,9.829256987e+00,1.126995437e+01,9.613860381e+01,6.055997733e+01,5.522863065e+01,5.341021911e+01
9.650586279e+01,6.772371268e+01,9.742221561e+01,1.861925231e+01,8.495972067e+01,3.337926587e+01,5.809485438e+01,1.005936342e+01,4.095231996e+01,7.690771544e+00,9.687673394e+01,3.160652356e+01,9.324843507e+00,3.598822787e+01,6.421893787e+01,4.755465533e+01,2.341000715e+01,7.150598729e+01,3.895791884e+01,6.567033128e+00,2.953561120e+01,2.240256199e+01,2.766919569e+01,2.790790238e+00,4.368534462e+01
5.910763054e+01,1.449162753e+01,9.074257282e+01,7.985559466e+01,8.586300578e+01,3.649433814e+01,2.958241541e+01,5.263804842e+01,1.800918411e+01,8.873477361e+00,3.843266580e+01,4.684738856e+00,6.742145767e+01,9.248198935e+01,6.517863439e+01,7.314173598e+01,2.774283722e+01,5.804168856e+01,2.296441244e+01,3.258861798e+01,4.173960983e+01,5.007877335e+01,1.851210003e+01,4.515611740e+01,1.212001642e+01
3.535730194e+01,5.696695083e+01,3.072896617e+01,1.502374700e+01,1.815444597e+01,4.716866500e+01,4.895733191e+01,8.415042082e+01,7.681922397e+00,2.788307114e+01,2.178294311e+01,3.610950435e+01,5.590140704e+00,6.817175335e+01,4.519201425e+01,5.933702198e+01,5.682665653e+01,8.445361222e+01,4.821069370e+01,6.339955243e+01,5.111355094e+01,6.028781208e+01,8.989642471e+01,1.963430953e+01,2.089219872e+01
3.319147570e+01,3.564215177e+01,3.147062134e+01,6.700445075e+01,7.863254273e+00,5.549088819e+01,9.433242823e+01,5.252065475e+01,1.322629361e+01,9.768307099e+01,1.870225418e+01,4.756359474e+01,6.278695135e-01,5.057001401e+01,7.538407922e+01,1.504354672e+01,2.945731625e+01,7.241020095e+01,7.587311146e+01,2.187425515e+01,2.257490576e+01,2.825429842e+00,1.189937764e+00,8.059001746e+01,9.566823273e+01
3.524652236e+01,7.278752916e+01,6.104962533e+00,1.335322567e+01,2.773373803e-01,8.271931157e+01,9.412519003e+01,2.083511285e+01,2.726231691e+01,6.800667298e+01,7.045493272e+01,6.820435051e+01,6.461604358e+01,9.559726245e+01,1.953152985e+01,6.549746870e+01,5.316074703e+01,5.310520152e+01,2.408248935e+01,9.405051165e+01,6.625055666e+01,5.981646006e+01,1.393335928e+01,6.261705239e+01,7.110954094e+01
2.328387885e+01,8.504886047e+01,9.531014800e+01,6.911930328e+01,3.628531407e+01,1.131317121e+01,5.122698222e+01,2.026617570e+01,6.023646396e+01,4.211653440e+01,4.088566445e+01,6.496822554e+01,2.197363051e+01,4.707063852e+01,9.244894647e+01,4.965634454e+01,2.172655470e+00,5.645432874e+01,3.352983549e+01,3.345418112e+01,7.114240554e+01,5.887676380e+01,5.767872824e+01,3.732718240e+01,2.478755387e+01
6.405426137e+01,5.516674075e+01,8.915773503e+00,1.017170321e+01,3.178153105e+01,2.696526388e+01,5.056167076e+01,1.171840654e+01,6.539620651e+01,2.900051306e+01,3.997676170e+01,5.843301965e+01,5.192879282e+01,1.566670252e+01,6.679672199e+00,1.583723167e+01,8.126577441e+01,9.167705025e+01,3.119655354e+01,6.863878890e+01,2.409532228e+01,4.213748216e+01,2.833617515e+01,1.367713515e+00,4.779410792e+01
6.966709359e+01,4.376693401e+01,8.981519788e+01,3.373675533e+01,6.553114087e+00,8.969098850e+01,4.740372343e+01,6.921554227e+01,5.712837053e+01,9.073162749e+00,8.862244834e+01,3.288440813e+01,9.527872847e+01,3.558592409e+00,3.030400754e+01,1.180116309e+01,4.473221784e+01,4.992453704e+01,8.006057493e+01,5.861592361e+01,4.786527468e+01,4.628337121e+01,8.992217038e+00,9.266504130e+01,5.971533122e+01
6.315974455e+01,8.491948839e+01,3.365089242e+01,5.120978402e+01,6.621431253e+01,9.803265128e+01,1.110304517e+01,4.584640817e+01,9.506335434e+01,3.278024739e+01,5.190678268e+01,5.382275450e+01,1.659537718e+01,9.931125521e+01,3.846865904e+00,6.517921038e+01,4.556655886e+01,5.494061119e+01,7.621990476e-01,8.664663784e+01,1.321416219e+01,3.390990141e+01,4.185194428e+00,8.615262173e+01,1.676577782e+01
7.317776285e+01,5.734264260e+01,1.148853139e+01,1.914218258e+01,2.237379492e+01,7.764112955e+01,2.163983570e+01,4.208211661e+01,4.764498627e+01,9.269033321e+01,3.675282537e+01,9.009950720e-01,7.097018868e+01,7.067500015e+01,7.331463875e+01,3.066462329e+01,5.039199841e+01,9.576048830e+01,4.240023094e+01,6.219913011e+01,3.635255706e+01,9.668446305e+01,3.856094238e+01,2.901964684e+01,7.890849982e+01
5.937327550e+01,1.753738431e+01,3.745450842e+01,8.840040037e+00,4.243896339e+01,6.956375210e+01,4.462951354e+01,3.536355269e+01,6.806857041e+01,3.582910686e+01,7.385346792e-01,5.730334389e+01,7.477543675e+01,7.254342227e+01,2.711192876e+01,5.593718744e+01,4.404343952e+01,9.760746905e+01,4.352666945e+01,4.722626998e+01,2.853688952e+01,5.013040000e+01,1.554039704e+01,7.488311372e+01,9.864219749e+00
2.494108890e+01,9.161769071e+01,9.252397200e+01,4.026398563e+00,9.221225242e+01,4.818195495e+01,6.502661325e+01,4.751793608e+01,4.314218329e+01,1.137138313e+01,5.140011277e+01,9.449419671e+01,5.189955636e+01,8.728892885e+01,4.671117108e+01,7.412777963e+01,6.522036201e+01,1.557834686e+01,5.686197006e+01,8.036361359e+01,2.509614743e+01,9.187700222e+01,2.013589759e+01,5.965137716e+01,2.332607669e+01
9.951509557e+01,4.780952875e+00,6.347313370e+01,5.648634022e+01,1.278407122e+01,6.937660989e+01,9.658776473e+01,2.513701686e+01,5.404590652e+01,4.198902093e+01,4.619175365e-01,3.920377480e+01,6.646177969e+01,9.364147601e+01,5.839433372e+01,5.980548311e+01,6.482065351e+01,6.289105941e+00,4.251808349e+01,5.732828045e+01,7.373310083e+01,2.140040801e+01,7.773859825e+01,5.197737129e+01,6.956921035e+01
5.672168144e+01,1.861521037e+01,1.781188670e+01,5.344832720e+01,8.468556195e+00,3.238700478e+00,6.968375917e+01,1.233830748e+01,4.694867790e+01,7.400531591e+01,3.865090408e+01,7.454116452e+01,6.452793991e+01,9.039553923e+01,5.218753784e+01,8.292550242e+01,7.665750149e+01,5.970655970e+01,5.318543536e+01,3.526792719e+01,2.137400684e+01,6.015090138e+01,6.487065148e+01,5.496698454e+00,3.698551555e+01
8.327578846e+01,4.134543555e+01,8.429667598e+01,7.050133901e+01,7.565166450e+01,3.411046035e+00,1.441376622e+01,5.067617080e+01,3.384400043e+01,3.807892860e+01,2.081669787e+01,1.626968262e+01,7.152466080e+01,7.445293321e+01,2.662958426e+01,6.938007195e+01,3.276190936e+01,4.699394948e+01,3.522087989e+00,2.631018558e+01,5.754252795e+00,6.199583203e+01,2.981540782e+01,5.581413924e+01,3.431958746e+01
9.569720169e+01,6.337723877e+01,6.789683660e+01,6.044600339e+01,7.847555536e+01,5.681531765e+01,7.305933724e+01,6.324374343e+01,4.631101234e+01,7.341314558e+01,2.153837628e+01,1.345859083e+00,4.793192063e+01,4.216030838e+01,4.028080773e+00,5.281410208e+01,9.942178664e+01,5.010609458e+01,7.539528714e+01,4.840354443e+01,6.229299433e+01,7.272209305e+01,4.995066103e+01,1.938178316e+01,1.047583887e+01
1.530278158e+01,7.087757826e+00,3.843870301e+01,7.851715058e+01,2.362940623e+01,3.399003881e+01,6.272331320e+01,8.316250487e+01,5.138949278e+01,5.452952081e+01,8.633442684e+01,3.139808411e+01,2.915701949e+01,9.161696883e+01,4.442184097e+00,9.385249336e+01,3.043166756e+01,7.905986165e+01,7.622678853e+01,7.246891415e+01,2.933926836e+01,8.863058540e+01,1.791114615e+01,6.839127747e+01,3.099907806e+01
5.014724402e+01,4.072029533e+01,3.329496382e+01,3.258803725e+00,1.795082353e+01,5.037625590e+01,1.532857026e+01,9.602865586e+01,5.852460504e+01,6.784253696e+01,1.538310411e+01,6.088420359e+01,5.346085424e+01,3.541407664e+01,5.972491642e+01,8.188439039e+01,5.244615415e+00,9.707223038e+01,8.415775370e+01,4.256507090e+01,3.535835836e+01,1.954823364e+01,7.599407214e+01,9.762781660e+01,8.272841601e+01
1.629793136e-01,7.289843918e+01,5.079819694e+01,2.651913117e+01,5.742017728e+01,4.935990554e+01,3.319216483e+01,2.718511549e+01,9.524487458e+01,4.356964699e+01,9.726561230e+01,5.720307452e+01,5.362133590e+01,4.403254523e+01,2.166195159e+01,8.838783663e+01,3.127602241e+00,2.814270049e+01,3.953087057e+00,1.582959800e+01,4.908349088e+01,1.925980898e+01,2.513578276e+00,2.547065501e+01,7.034116290e+01
6.271238354e+01,9.311601361e+01,2.908022556e+01,8.097678425e+01,7.220039750e+01,3.678436921e+01,1.488272819e+01,6.507296152e+01,5.117021743e+01,7.445649870e+01,8.509595273e+01,6.018022213e+01,3.733502392e+01,5.978000964e+01,5.062372124e+01,4.446890687e+01,3.321681866e+01,1.663179310e+00,2.451708655e+01,8.546252602e+01,6.811057286e+01,2.477822353e+01,5.212323012e+01,6.087025192e+01,5.729298921e+01
7.937769383e+01,9.959769530e+01,1.821675548e+01,4.033254925e+01,2.766645141e+01,7.219949427e+01,3.998714004e+01,5.133103796e+01,7.508252577e+01,4.734923467e+01,9.429807025e+01,3.009536898e+01,3.781791249e+01,1.277088808e+01,3.200974027e+01,3.029491235e+01,1.582275294e+01,1.148323668e+01,4.113653106e+01,3.351014273e+01,2.181745248e+01,8.605087748e+01,4.298875652e+01,6.460602187e+01,4.375610317e+01
3.192571098e+01,4.668566293e+01,4.086346160e+01,5.022517271e+00,1.768458366e+01,4.639046047e+01,9.209527797e+00,9.157824269e+01,8.169888267e+01,8.150433053e+01,5.969686236e+01,5.505957919e+01,1.229473719e-01,1.043837063e+01,3.932133081e+00,6.678656823e+01,8.482810465e+01,4.872684632e+01,5.750409783e+00,4.498039056e+01,9.938948100e+01,4.406819353e+00,2.662989148e+01,5.442703229e+01,6.037866027e+01
9.678219815e+01,5.033715387e+01,7.086694334e+01,9.424064713e+01,4.025752793e+01,2.268943562e+01,3.558273605e+01,1.195406605e+01,6.171083678e+00,4.698969360e+01,1.649897554e+01,7.967488674e+01,6.043947485e+00,8.542993781e+01,9.316670631e+00,1.009349416e+01,2.119954892e+01,2.144083182e+01,4.802341195e+01,8.675637395e+01,1.446805038e+01,5.554689547e+01,9.627841854e+01,1.833924092e+01,2.723907567e+01
2.947356005e+01,5.796783692e+01,8.861784941e+01,2.149177239e+01,3.262925875e+01,9.159351498e+01,9.767649325e+01,6.035880269e+01,9.353075231e+01,2.626510319e+01,2.895464630e+01,4.361848008e+01,4.292914131e+01,5.297150475e+01,8.625827981e+00,1.421118569e+01,4.893820453e+01,7.559794768e+01,7.630362298e+01,3.300878581e+01,8.921664978e+01,4.443251665e+01,6.842199638e+01,9.147601337e+01,8.887958620e+01
2.611160059e+01,6.693258504e+01,5.049820334e+01,7.329052265e+01,1.370294897e+01,3.361436239e+01,1.380454922e+01,7.871350152e+01,9.055633637e+01,9.316296313e+01,6.691462867e+01,8.306723019e+01,9.031602044e+01,2.199374745e+01,2.145445142e+01,7.634322485e+01,1.575344240e+01,6.943077878e+01,4.918241449e+01,8.368297238e+01,1.180982501e+00,9.695131438e+01,3.492961288e+01,3.870303011e+01,8.052941511e+01
6.251924552e+01,4.428499833e+01,4.462350330e+01,5.729893761e+01,6.976732727e+01,2.800225817e+01,3.657782739e+01,1.347191272e+01,9.087387056e+01,4.259826371e+01,8.799029998e+01,5.321818268e+00,9.009269666e+01,6.473479969e+01,8.989799844e+01,4.189690033e+01,2.090442754e+01,5.989033610e+01,7.700939989e+01,6.117957757e+01,7.457488714e+01,5.748373996e+01,5.322247805e+01,3.418838771e+00,1.122692702e+01
2.015595062e+01,9.750387436e+01,6.625338905e+01,8.557324424e+01,7.805536012e+01,4.495412336e+00,4.961249829e+01,4.891121270e+01,3.073272777e+01,8.527630265e+01,3.261029681e+01,2.287838979e+01,7.383142520e+01,6.339677466e+01,8.220170448e+01,9.512045940e+01,6.206808419e+01,4.383183968e+00,9.357943273e+01,7.953681731e+01,7.252561764e+01,4.147726528e+01,2.381349384e+01,5.045667441e+01,5.560906736e+01
6.308074591e+01,6.574894110e+01,1.939662906e+01,3.980746152e+01,4.756307434e+00,2.123375594e+01,7.768036846e+00,9.758537365e+01,6.083829626e+01,5.816516248e+01,7.733985976e+01,6.662139124e+01,6.127550858e+01,9.284537877e+01,3.982446850e+01,1.937062108e+01,7.528417235e+01,8.220107771e+01,9.675213551e+01,2.375294355e+01,7.313651523e+01,6.285692823e+01,8.461269941e+01,5.366913234e+01,1.768712085e+01
9.378486356e+01,2.122178750e+01,4.746934292e+01,4.627065760e+01,2.692066523e+01,8.827219070e+01,3.493792521e+01,2.054938023e+01,2.752980573e+01,8.044642816e+01,5.804133985e+00,2.184789572e+01,9.878118866e+01,6.093490176e+01,9.206176620e+01,4.500633999e+01,8.996913038e+01,5.521453578e+00,8.185710297e+01,6.247005675e+01,2.923260209e+01,1.034297417e+01,5.753220845e+01,4.410477991e+01,7.478637452e+01
9.261633999e+01,1.259728174e+01,5.262123809e+01,5.071466382e+01,2.352062373e+01,8.062820498e+01,5.939403793e+01,7.482453653e+01,2.211307004e+01,8.143259555e+00,5.137188023e+01,7.369732415e+01,6.134367841e+01,5.263204190e+01,1.174785965e+01,9.123701735e+01,4.005573509e+00,1.296790983e+01,8.174688933e+01,2.457335419e+01,4.941681065e+01,9.213238409e+01,2.868242401e+01,6.933385054e+01,4.342398321e+01
7.131251338e+01,2.449915897e+01,9.410921343e+01,1.691895007e+01,7.553614701e+01,2.779885906e+01,6.294981625e+01,3.475169162e+01,9.543108249e+01,6.425467034e+01,9.390050931e+01,9.060255716e+01,6.768677854e+01,1.778506544e+01,1.878148137e+01,5.482122865e+01,7.873943111e+01,7.561770912e+01,1.592345937e+00,8.464184025e+01,2.147352484e+01,7.964904675e+01,8.688912282e+01,2.600391301e+01,9.909101845e+01
4.662582832e+01,5.403993851e+01,4.113672589e+01,7.960754184e+01,7.539946164e+01,7.477120893e+01,8.969950389e+01,3.597632411e+01,5.192942712e+01,3.058318932e+01,8.482937950e+01,6.483473469e+01,8.773476473e+01,8.782981736e+01,8.766565357e+01,2.942929986e+01,3.653643051e+01,7.206798504e+01,6.690277884e+01,6.955808975e+01,5.877136410e+01,1.785237958e+01,3.274334361e+01,4.106271774e+01,6.868479814e+01
1.396364588e+01,6.835918052e+01,5.541737120e+00,3.161484291e+01,6.801193920e+01,4.253882051e+01,7.500881470e+01,4.773457682e+01,5.080429891e+01,9.576080398e+01,5.464519201e+01,7.406115845e+01,1.008742974e+01,9.776478231e+01,3.651129839e+01,8.876995046e+01,8.196175285e+01,4.930358013e+01,3.423232157e+01,7.763153792e+01,2.234105927e+00,7.112818908e+01,5.976104054e+01,2.035803919e+01,8.767582000e+01
6.460063633e+01,4.357720461e+01,1.855846540e+01,3.337116239e+01,3.981909153e+01,2.685449213e+01,2.880350519e+01,7.654112901e+01,5.744140735e+01,1.435652229e+01,2.252219590e+01,5.972436823e+01,7.359374483e+01,2.447495274e+01,9.909641534e+01,1.924100585e+01,2.083057900e+01,2.946153278e+01,5.424521589e+01,3.927195358e+01,3.706217713e+01,3.921713693e+00,3.675807604e+01,9.876307189e+01,8.074888309e+01
7.837324942e+01,5.379327780e+01,8.269866248e+01,5.633058990e+00,9.373193645e+01,5.248854342e+01,2.040043615e+01,1.655904686e+01,1.730361819e+01,7.032163561e+01,8.551189488e+01,9.964630140e+01,1.371532177e+01,4.055423363e+01,5.811078048e+01,2.242806917e+01,3.895552391e+01,6.593076645e+01,8.055935631e+01,7.536193262e+00,5.054950214e+01,1.244718789e+01,5.283832858e+01,4.746247393e+01,8.081953267e+01
9.734006169e+01,6.191495728e+01,7.247697543e+01,1.538524654e+01,3.116641994e+01,4.740772372e+01,6.339701037e+01,5.733093176e+01,7.655067813e+01,7.655221042e+01,7.481277091e+01,9.410875725e+01,4.014030650e+01,2.796769761e+01,1.502665527e+01,7.374202867e+01,6.955713873e+01,1.669964001e+01,3.733699167e+01,9.165223379e+01,6.048675318e+01,1.187434474e+01,1.545999657e+00,3.868113590e+01,6.746317729e+01
5.391387154e+01,2.078951534e+01,4.321892276e+00,1.053404286e+01,6.996070533e+00,2.954715644e+01,8.125268251e+01,1.776083459e+00,7.369255447e+01,7.793613521e+01,5.531784247e+01,8.433986122e+01,5.934265268e+01,7.338840510e+01,3.754299592e+01,1.463371056e+01,2.719015057e+01,2.936644449e+01,1.012320800e+01,8.757898723e+01,3.051476896e+01,7.722247303e+01,8.978898203e-01,5.516773961e+01,7.191627895e+01
2.543119399e+01,5.633019384e+01,6.424934993e+01,3.546852408e+01,5.483704653e+01,1.461494165e+01,1.351080874e+01,4.634205500e+01,4.041681887e+01,8.865692920e+01,2.521917255e+01,4.965758032e+01,7.106876351e+01,8.598841453e+01,9.009996271e+01,8.972078614e+01,9.725822740e+01,6.457434722e+00,7.306338695e+01,4.651539102e+01,8.363895654e+01,7.905070385e+01,2.498841220e+01,9.980879966e+01,7.788711397e+01
9.619467109e+01,6.416490668e+01,2.853813235e+01,8.126886827e+00,1.469000327e+01,7.634322951e+01,5.065285525e+01,3.951481483e+01,5.532276673e+01,8.665767893e+00,9.361484761e+01,2.571830842e+01,8.149874410e+01,5.808669117e+01,2.179872964e+01,1.766852149e+01,8.137139366e+01,6.548524461e+01,1.371860546e+01,6.941105969e+01,4.963868809e+00,8.949704115e+01,5.173518388e+01,5.669653492e+01,2.630578874e+01
7.923608011e+01,9.347769708e+01,4.562086836e+01,2.510028255e+01,1.444323163e+01,3.131730717e+00,6.855601012e+01,5.657028902e+01,2.050444178e+01,2.777911709e+01,4.676168588e+01,4.320332585e+01,5.390423741e+01,6.146474163e+01,3.467398727e+01,3.594317081e+01,5.344344544e+01,1.589845078e+01,4.747882532e+01,6.019885265e+01,1.596653396e+01,4.464100122e+01,9.541619681e+01,8.730207411e+00,9.885248980e+01
1.896629315e+01,8.785750425e+01,7.316053560e+01,2.887753335e+01,3.040569719e+01,2.462088526e+01,9.335310543e+01,7.980110626e+01,3.925543431e+01,6.407491688e+01,8.386097864e+01,2.897431299e+01,9.673169356e+01,6.976571776e+01,6.609140030e+01,3.116692848e+01,7.579033071e+01,9.411893400e+01,4.867731840e+01,5.789136711e+01,9.791582182e+01,1.759893509e+01,4.778543603e+01,9.972716581e+01,8.007050510e+01
7.945404714e+01,6.687755435e+01,4.824792131e+00,6.532458240e+01,8.152224625e+01,5.232086730e+01,7.028441425e+01,5.744998261e+01,3.538581348e+01,3.331333894e+01,8.544065350e+01,2.399767705e+01,4.409524403e+01,3.265633788e+01,3.391885634e+01,7.272051426e+01,1.833242824e+01,3.893261351e+01,1.881933611e+01,7.302751162e+01,8.912397188e+01,3.875530726e+01,9.994377218e+01,1.119357158e+01,4.508811804e+01
1.353565830e+01,6.247203814e+00,7.565388009e+01,1.511442562e+01,3.591557247e+01,9.585871932e+01,6.032176120e+01,8.103423554e+01,2.201060869e+01,2.495398241e+01,2.828333385e+01,8.639925660e+01,8.235963262e+01,5.259546672e+01,7.715869923e+01,3.308150348e+01,3.340836371e+01,1.283257991e+01,8.103751134e+01,6.844068822e+01,6.065545235e+01,9.222920374e+01,4.959673737e+01,3.284541836e+01,3.818963080e+00
8.259610810e+01,8.476527060e+01,2.346609142e+01,3.491778653e+01,6.254198536e+00,7.659699625e+01,1.576998222e+01,1.217698472e+01,1.482501229e+01,7.061191203e+01,8.902517758e+01,3.858090355e+01,4.073642514e+01,8.025914501e+01,1.656865585e+01,3.225659878e+01,5.954980919e+01,8.196198070e+01,6.025315869e+00,4.445871861e+01,8.315624570e+01,4.779298834e+00,7.302671685e+00,3.938395264e+01,3.157171039e+01
