v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19
1.549128903e+01,5.496825036e+01,4.074523165e+01,4.967306758e+01,4.080833678e+01,9.610917806e+01,1.851281510e+01,7.614310708e+01,2.222564174e+01,8.001167055e+01,4.547551624e+00,9.402201706e+01,7.776642853e+01,5.776743862e+01,8.238524725e+01,6.318248068e+01,4.962494515e+01,4.072356811e+01,2.116448028e+01
9.572064299e+01,2.974557502e+01,3.440594335e+01,2.416076777e+01,2.995920059e+01,2.721325099e+01,9.755215307e+01,4.231663161e+01,6.647165528e+01,5.445684380e+01,6.192258892e+01,2.936077701e+01,1.531388718e+01,6.951447686e+01,2.623457895e+01,1.416547853e+01,2.532817784e+01,8.942943405e+01,3.180281498e+01
1.248086620e+01,3.113695544e+01,1.756993243e+01,5.986374914e+01,2.640581142e+01,9.973658390e+01,9.499661566e+01,3.027518811e+01,8.656655846e+01,7.664675698e+01,5.955556131e+01,3.054183971e+01,1.564620248e+01,9.562035438e+01,7.084221592e+01,9.981873877e+01,4.265861149e+01,9.494758497e+01,3.868364363e+01
6.823131787e+01,3.081027753e+01,7.150721367e+01,4.103505439e+01,7.602088511e+01,8.528039893e+01,3.151074823e+01,3.427378843e+01,6.624103691e+01,1.106701368e+01,5.646371716e+00,2.404543698e+01,5.163552584e+01,4.650338103e+01,5.913697493e+01,3.954255556e+01,3.677098390e+01,3.764444829e+01,3.766920323e+01
7.114501819e+01,6.146495180e+01,6.366739774e+01,6.515586020e+01,4.378098006e+01,2.171934463e+01,8.531202969e+01,6.566069751e+01,6.725622380e+01,8.773920862e+01,4.136874007e+01,2.647003901e+00,7.596981066e+01,7.707883370e+01,1.868150789e+01,9.144574899e+01,2.207471746e+01,5.243808214e+01,8.584336446e+01
1.954169354e+01,4.750388888e+01,8.489569236e+01,4.675422884e+01,7.076965094e+01,7.577172626e+01,2.576167849e+01,5.281122071e+01,4.419196871e+01,8.948099608e+01,7.300043320e+01,2.504360855e+01,7.943178217e+01,1.656538419e+01,4.674905397e+01,9.039494778e+01,9.987975113e+00,4.960220654e+01,9.417128933e+00
9.125763637e+01,1.436625915e+01,8.189865607e+01,4.924462746e+01,3.178346648e+01,7.095545025e+01,5.694080900e+01,2.637267909e+01,9.519042327e+01,4.993938732e+01,6.445471796e+01,2.434170798e+01,1.297449050e+01,9.009073743e+01,9.626366023e+01,6.543287465e+01,9.543822042e+01,3.831710997e+01,1.826477416e+01
3.803121287e+01,8.168362152e+01,2.628292870e+00,8.733305962e+01,4.262962052e+01,4.462892074e+01,8.823233437e+01,5.473924132e+01,7.399711580e+01,1.127754703e+01,6.415339480e+01,5.191289222e+01,6.470567013e+01,2.119466266e+01,8.211633691e+01,4.589330327e+01,5.099807183e+01,9.464565439e+01,7.184213050e+01
4.437525793e+01,9.134413151e+01,1.643516756e+01,5.939588555e+01,6.720480394e+01,3.492342016e+00,2.093044649e+01,8.075220621e+01,7.926325179e+01,7.937641093e+01,4.230812486e+01,3.540807557e+01,9.837141291e+01,9.639067203e+01,4.958449913e+01,1.577939816e+01,6.262312313e+01,5.497948962e+01,5.047478115e+01
6.469482893e+00,7.263639679e+01,6.087963014e+01,9.697795222e+01,2.195320331e+01,8.073516348e+01,4.590580630e+00,2.318355744e+01,7.523634550e+01,8.596615985e+01,5.754625708e+01,1.380213025e+01,3.506351148e+01,4.160327354e+01,8.372989027e+01,7.765709643e+01,7.428706386e+01,5.340631739e+01,7.996696050e+01
9.887595526e+01,1.247019566e+01,8.318043359e+01,7.628306641e+01,3.356403106e+01,1.912311274e+01,2.979023143e+01,9.015328608e+00,9.650558943e+01,3.477950433e+00,9.653796734e+01,3.587995432e+01,3.604608312e+01,9.763403955e+00,2.999116971e+01,4.426134253e+01,1.770166659e+01,1.939716921e+01,8.433350663e+01
4.112147903e+01,6.031635209e+01,1.955286278e+01,8.660679538e+01,1.228134920e+01,2.092234805e+01,9.091414375e+01,4.422651928e+01,6.181364480e+01,9.682901414e+01,5.073014127e+01,8.900485093e+01,7.428403655e+01,9.227623662e+01,5.408059410e+00,7.254133987e+01,6.368502871e+01,9.616300208e+01,9.886142279e+01
5.797337150e+01,2.440012657e+01,8.721620737e+01,5.055033859e+01,4.353460553e+01,5.269012151e+01,1.433180031e+01,6.018076001e+01,1.021037682e+00,9.911194272e+01,7.478970082e+01,1.551535833e+01,5.473309566e+01,1.174795190e+00,7.188093423e+01,3.001644089e+01,6.978702617e+01,1.299630247e+01,8.541464316e+01
1.152634986e+01,8.078095626e+01,5.348223666e+01,8.619242305e+01,6.640860530e+01,8.910006703e+01,5.522577171e+01,7.917807382e+01,3.443374498e+01,1.939705239e+01,5.895045325e+01,3.342498138e+01,8.317896863e+01,9.298878096e+01,3.351829328e+00,1.063540613e+01,2.951143796e+01,8.632386799e+01,3.478646413e+01
2.481741800e+01,6.208448138e+01,4.037487764e+01,1.858585458e+01,6.832393030e+01,4.723275437e+01,6.820740251e+01,6.648905609e+01,9.338768452e+01,7.064992991e+01,7.597492364e+01,6.018979612e+01,2.815341466e+01,8.727993336e+01,9.743505555e+00,4.361487170e+01,8.404286869e+01,1.783710746e+01,7.696120162e+01
6.612819948e+01,3.416538802e+01,3.934947067e+01,9.212683875e+01,8.539119402e+01,1.227621254e+01,1.663241757e+01,2.129417119e+01,4.186881185e+00,9.773193351e+01,9.091356057e+01,1.541963251e+01,7.107158303e+01,8.762829419e+01,9.481689029e+01,6.772272152e+01,4.516819785e+00,7.085191380e+01,7.230260918e+01
6.799455176e+01,1.331275197e+01,2.053959408e+01,5.885755253e+00,9.433313430e+01,2.496543690e+01,6.005821529e+01,1.833959655e+01,2.698004699e+01,1.202771822e+01,2.780420909e+01,8.287093263e+01,7.036479024e+00,3.028230443e+01,5.329379110e+01,1.536135358e+01,3.787420751e+01,2.638394011e+01,7.326501260e+01
5.095284388e+00,1.799066068e+01,7.810197551e+01,8.173297940e+01,1.970081269e+01,9.434745596e+01,2.255430747e+01,5.822705683e+01,2.238051399e+01,8.317578796e+01,9.515545808e+01,5.516730538e+01,2.957516109e+01,7.353735500e-01,8.572841577e+00,7.940286056e+01,6.497841427e+01,3.160821192e+01,2.747634073e+01
5.000936852e+01,6.057303957e+01,2.800054662e+00,5.032546361e+01,7.614362823e+01,5.675990960e+01,9.586973201e+01,9.712366869e+01,7.778438158e+01,4.137288624e+01,9.506594821e+01,2.251420754e+01,4.794554078e+01,4.456137218e+01,5.940822976e+01,7.922698964e+01,4.434953082e+01,1.710540023e+01,4.990669908e+01
5.970496735e+01,1.323775316e+01,5.125069489e+01,3.355370167e+01,5.955530687e+01,7.220337359e+01,8.843331196e+01,5.432839330e+01,4.161254720e+01,9.439680344e+01,2.280107641e+01,1.626219417e+01,7.791658575e+01,4.201166333e+01,4.806102085e+01,2.904759161e+01,3.326314466e+01,4.240162334e+01,7.068291589e+00
3.778972392e+01,3.763059776e+01,4.967336205e+01,9.008858893e+01,5.036522975e+01,7.914897759e+00,2.062853766e+01,2.734472481e+01,6.352391622e+01,8.536098952e+01,5.642380625e+01,8.631290092e+01,9.904926706e-01,3.620685312e+00,4.277298141e+01,8.258610402e+01,5.527289091e+01,6.956576795e+01,8.951655445e+01
5.547061022e+01,5.074289218e+01,2.087593935e+01,1.908721464e+01,4.572968302e+01,4.067379305e+00,6.801045005e+01,4.510732667e+01,9.997713046e+01,4.891081384e+01,9.125029063e+00,6.367480881e+01,1.227954428e+01,4.753104983e+00,6.024968368e+01,6.796800187e+01,4.559126046e+01,6.347299307e+01,4.979490691e+01
7.741634983e+01,5.225075939e+00,9.828337064e+01,6.439399680e+01,2.804043822e+01,7.022624021e+01,3.772271333e+01,9.449924724e+01,7.657259934e+01,7.737766301e+01,6.342618451e+01,9.448250128e+00,2.853418146e+01,8.135405507e+01,4.302906382e+01,9.963030367e+01,2.618292599e+01,6.975219479e+01,5.635900104e+01
8.016225651e+01,9.871639792e+01,1.869062137e+01,8.242378555e+01,1.416998525e+01,1.000963878e+01,2.389618303e+01,1.393255373e+01,3.761809379e+01,4.312478836e+01,8.920037049e+01,7.949119058e+01,2.046386309e+01,6.551188888e+01,7.036752091e+01,3.506547270e+01,8.155673909e+01,5.878288387e+01,6.081946700e+01
4.135551646e+00,8.385187337e+01,6.773389147e+00,1.815744815e+00,7.673340372e+01,7.306273655e+01,4.390648349e+01,5.150800619e+01,9.684797271e+01,9.371119138e+01,2.668212329e+01,1.680470966e+01,3.916910041e+01,6.220012425e+01,8.934763289e+01,5.895166144e+00,1.996571356e+01,2.464324415e+01,6.065373743e+01
2.205115311e+01,3.365428042e+01,3.257079716e+01,9.878695589e+01,1.884233270e+00,2.714240734e+01,5.184841826e+01,2.113281120e+01,4.696759642e+01,9.925505877e+01,3.670104074e+01,2.133451287e+01,6.517570028e+01,3.693444331e+01,6.480547558e+01,8.721751750e+01,2.274730631e+01,6.221031649e+01,2.206597454e+01
1.880145137e+00,7.056818413e+01,2.409654301e+01,5.413958690e+01,1.749124730e+01,2.980259691e+01,7.200328512e+01,4.753135144e+01,5.385501801e+01,5.287071627e+01,6.992036988e+01,2.841505099e+01,8.003762242e+01,2.643428264e+01,5.128883081e+01,4.539511854e+01,1.551392489e+01,4.952799397e+01,1.190125007e+01
1.650731567e+01,4.229399331e+00,1.675117171e+01,7.211464798e+01,9.168460238e+00,2.747664902e+01,8.227929896e+01,9.087403365e+01,5.124104412e+01,7.693880856e+01,2.465374707e+01,7.838300360e+01,4.901115761e+01,1.870528046e+01,7.833403368e+01,7.089662823e+01,8.127552216e+01,9.866372368e+01,5.777917610e+01
4.507316872e+01,9.542671933e+01,8.864485897e+01,7.152147537e+01,2.669555042e+01,5.233655428e+01,2.822870940e+01,2.271363360e+01,2.995212138e+01,1.274796920e+01,4.483309538e+01,7.135206807e+01,4.032701544e+01,5.535955129e+01,7.579478676e+00,1.877669908e+01,6.560165329e+00,5.529316471e+01,8.473506134e+00
4.219132181e+01,8.701119634e+01,2.656602853e+01,8.582634455e+01,5.430729443e+01,7.239730801e+01,9.396076308e+01,5.566437808e+01,6.612168680e+01,2.466741232e+01,7.244264379e+01,2.299499990e+01,8.544174939e-01,8.699467808e+01,1.910454698e+01,7.995027358e+00,4.789036312e+01,7.925838522e+00,2.639487993e+01
5.056368792e+01,1.560952905e+01,4.253372385e+01,9.248293766e+01,7.357003061e+01,7.034487999e+01,5.123842036e+01,2.791404323e+01,2.295324276e+01,7.763097467e+01,7.192173721e+00,4.661651626e+01,5.268474918e+01,9.628782786e+00,6.578565192e+01,7.964783550e+01,3.444996820e+01,6.696021338e+01,9.862894998e+01
2.973440329e+01,7.105727885e+01,5.934182210e+01,3.107337395e+01,4.294355052e+01,1.603850286e+01,1.417127396e+01,2.723254367e+01,4.449688841e+01,4.655770156e+01,6.716337615e+00,2.457338781e+01,5.996938400e+01,2.128250455e+01,1.598265648e+01,1.423196434e+01,9.988482879e+01,5.443889225e+01,2.601185361e+01
8.149339453e+01,8.902486926e+01,5.284406391e+01,3.802696533e+01,2.789988486e+01,6.524315325e+01,5.333471735e+01,8.599935406e+01,3.655921375e+01,7.217860863e+01,7.613820502e+01,6.637646306e+01,6.972832174e+01,7.793805164e+01,3.449185189e+01,2.862168920e+01,3.671311538e-01,1.882377472e+01,5.189285018e+01
9.279337232e+01,6.222716797e+01,6.713557646e+01,6.877256976e+01,1.639117543e+01,1.930934502e-01,1.205705025e+00,4.150347063e+01,5.407031944e+00,5.730058007e+01,1.437894503e+01,5.318722054e+01,1.117969013e+01,9.264097216e+01,4.015660858e+01,6.695300645e+01,9.092470054e+01,1.617941318e+01,2.809534418e+01
1.874877918e+01,9.367954005e+01,6.667733963e+01,1.099507985e+01,2.377535622e+01,4.265359081e+00,2.270140968e+01,5.707824985e+01,6.917538108e+01,3.516885571e+01,3.508108586e+01,8.737443090e+01,4.737024932e+01,4.184100241e+01,3.509592471e+01,5.429524104e+01,2.014768315e+01,3.345236714e+01,6.110420213e+01
6.765969329e+00,8.293044784e+01,6.533967854e+01,7.520715981e+01,7.572311861e+01,2.104468131e+01,1.962085907e+01,7.052006120e+01,8.074165813e+01,9.837542070e+01,5.622677479e+01,6.210752119e+01,1.401847008e+00,1.613644566e+01,8.906190126e+01,5.503965187e+01,2.423369066e+01,2.165539615e+01,7.160028777e+01
8.478632598e+01,5.884760424e+00,2.641561568e+01,9.340836119e+01,3.810051854e+01,2.667003164e+01,7.646919396e+01,5.976382752e+01,3.272118191e+01,6.944052734e+01,1.450705584e+01,5.405044286e+01,7.574806587e+01,9.561612142e+00,2.523141826e+01,7.457376353e+00,9.661184961e+01,9.419021525e+01,4.216778798e+01
5.954669242e+01,4.454768903e+01,5.670953415e+01,8.312074507e+01,8.723679499e+00,7.139152083e+00,7.608219665e+01,6.163481568e+01,4.305462434e+01,4.969997328e+01,1.895515368e+01,8.092469433e+01,3.296223483e+01,7.505084766e+01,3.076892137e+01,2.384225422e+01,7.940072009e+01,1.420594052e+01,9.218192665e+00
7.298132792e+01,9.860699364e+01,9.225813012e+01,3.548829454e-01,4.753584444e+01,1.519629623e+01,1.824537713e+01,1.265765063e+01,1.951861480e+01,6.084414335e+01,3.858024208e+01,8.601865390e+01,6.348194765e+01,5.640638711e+01,4.265006787e+01,9.723577442e+00,9.164536376e-01,5.310957251e+01,9.678583824e+00
1.689675039e+01,6.364340641e+00,2.332997944e+01,1.551858779e+01,1.751709685e+00,2.680451499e+01,2.708706925e+01,7.242752579e+01,8.486674491e+01,4.746511786e+01,9.748090639e+01,2.740192759e+01,7.663189205e+01,7.773319644e+01,3.310447078e+01,7.304993269e+01,2.893228793e+01,9.811902710e+01,1.770051516e+01
9.065753211e+01,7.136976173e+01,4.196082791e+01,2.021935297e+01,3.372043804e+01,5.829269463e+01,7.412520133e+01,2.148786267e+01,3.024304620e+01,5.166492740e+01,6.178090160e+01,7.623282287e+01,9.578692890e+01,3.051108734e+01,9.323980989e+01,9.833293526e+01,8.041293067e+01,3.503592802e+01,3.301891001e+01
5.471534560e+01,9.037156891e+01,6.490465402e+01,4.229787113e+01,4.603150591e+01,7.587716907e+01,8.554686858e+01,7.188266295e+01,3.106680898e+01,9.410588325e+01,2.027427348e+01,3.140092255e+01,7.996931260e+01,3.083465931e+01,3.938289998e+01,8.859499182e+01,7.556709401e+01,2.864187374e+01,9.291807906e+01
4.684579575e+01,6.916682065e+01,6.043416329e+01,1.100010615e+00,2.060183295e+01,3.757364112e+01,8.517611696e+01,8.417209663e+01,1.594043263e+01,3.700222765e+01,9.778821576e+01,2.272778461e+01,6.849019294e+01,8.404834907e+01,9.091172183e+01,9.954202421e+01,8.845238377e+01,3.502406486e+00,2.233733884e+00
6.457271180e+01,6.793045192e+01,1.421723341e+01,5.099494869e+01,4.701811453e+01,2.283610447e+01,1.423243165e+01,9.293344505e+01,8.613893884e+01,3.628460101e+01,8.851561370e+01,9.744877859e+01,6.818293724e+01,1.556556013e+01,7.827411336e+01,1.795531551e+01,9.498768161e+01,5.090169987e+00,1.102277298e+01
5.119588511e+01,3.475257555e+01,6.612635429e+01,2.541904080e+01,6.265036820e+01,7.507446152e+00,2.104531042e+01,5.741808682e+01,5.758028160e+01,8.541771293e+00,1.254622071e+01,5.047230935e+01,6.968858238e+01,2.994894379e+01,9.025556789e+01,9.115492579e+01,7.314282267e+01,7.552314941e-01,5.891279968e+01
4.093439577e+01,5.091400357e+01,1.946652142e+01,7.992826813e+01,1.371777693e+01,6.024272504e+01,6.970552201e+01,1.386922105e+01,4.840329526e+01,7.567791294e+00,3.690537078e+01,8.921109308e+01,6.525785368e+01,1.965472114e+01,7.149333780e+01,3.376446556e+01,2.099846054e+01,6.384590405e+01,6.897983938e+01
3.619821300e+01,9.501110111e+01,1.438436680e+01,5.486692172e+01,5.428226095e+01,7.217293218e+01,4.603291340e+01,6.293192044e+01,1.882107005e+01,6.129416448e+01,1.333110878e+01,3.703273194e+01,2.576408593e+01,6.449237633e+01,4.120050624e+01,9.944984367e+01,8.043379047e+00,8.318046672e+01,3.443498263e+01
4.696325329e+01,3.609529364e+01,5.491018584e+01,5.788830361e+00,6.911683550e+01,1.975572676e+01,3.145457004e+01,2.296193955e+01,1.206818181e+01,1.184608120e+01,3.014523555e+01,6.580323251e+01,9.476059012e+01,6.045908497e+01,3.015016273e+01,5.564074288e+01,5.274267705e+01,7.016890977e+01,9.396284544e+01
3.026652461e+01,2.187083192e+01,9.166696607e+01,4.294604358e+01,3.275440509e+01,1.895153559e+01,4.999196053e+01,6.277784083e+01,5.371814943e+01,1.550074696e+00,5.661702024e+01,4.286175626e+01,4.357303486e+01,1.503598248e+01,4.481330530e+01,2.889363104e+01,3.760396299e+01,4.224818074e+01,3.923305981e+01
1.430685533e+00,1.853950631e+01,8.396303100e+00,1.329082537e+01,3.935881394e+01,5.552913866e+01,9.796024579e+00,4.375497660e+01,1.749902372e+01,6.560742685e+01,6.962181695e+01,3.324422400e+01,2.493788288e+01,8.175601397e+01,6.621631817e+01,3.985384864e+01,2.738184661e+01,6.144892183e+01,8.332719794e+01
8.178573387e+01,1.531756442e+01,5.734701800e+01,1.636155748e+01,6.033087241e+01,3.389907462e+01,2.223664415e+01,7.807478827e+01,1.355952768e+01,4.342151873e+01,7.297112481e+01,1.232055380e+01,8.492664543e+01,3.183587991e+00,5.357686886e+01,7.536733058e+01,2.471156603e+01,9.101627031e+01,2.623668303e+00
1.449173876e+01,5.306617165e+01,8.307951357e+01,4.063653161e+01,1.436352682e+01,8.230742498e+01,1.035698982e+01,4.885615984e+00,7.822048321e+01,4.410122537e+01,4.508409368e+01,3.828120978e+01,6.896444373e+01,4.588083598e+01,2.152068709e+01,7.517460236e+00,3.886610208e+01,1.297373764e+00,8.913017467e+01
1.306067169e+00,6.994569246e+01,6.271266451e+01,4.190504805e+01,3.623688108e+01,9.851707558e+01,6.056964904e+01,1.073819535e+01,7.168229552e+01,4.963872184e+00,8.046552015e+00,8.592651153e+01,1.721913794e+01,1.135670620e+01,1.222322973e+01,1.950800165e+01,7.144483788e+01,1.740859313e+01,3.157219636e+01
2.327027680e+01,8.255358949e+01,3.026388759e+01,3.764741414e+01,5.788072838e+00,5.888627542e+01,8.912954072e+01,6.304709467e+01,4.024096812e+00,4.948834001e+01,3.106463943e+01,7.301382973e+01,3.615796024e+01,9.066889948e+01,5.022404282e+00,6.890927281e+01,8.920835992e+01,3.996849532e+01,3.530624507e+01
4.588158557e+01,3.805166658e+01,5.363000796e+01,9.605998204e+01,9.625662238e+01,8.644978701e+01,2.994255290e+01,6.177396642e+01,3.863684438e+01,8.958524691e+01,1.275546847e+01,6.901952006e-01,9.892052175e+01,5.532143983e+00,5.511338977e+01,6.425923848e+01,6.417553494e+00,4.884158071e+01,8.357256557e+01
1.761575751e+00,3.212058149e+01,4.899881147e+01,2.034689828e+01,3.428876661e+01,6.945587929e+01,3.040292074e+01,8.029417683e+01,5.051068704e+01,1.040340888e+01,3.990314094e+01,1.710201850e+01,5.381949282e+00,6.149138532e+01,7.677349634e+01,7.022190429e+01,9.505659938e+01,4.336105505e+01,4.233818419e+01
1.829547616e+01,5.869804798e+01,6.326209691e+01,2.838869185e+01,7.689556233e+01,8.743697969e+01,8.404045927e+01,4.810232283e+01,1.767495264e+01,1.747617305e+01,9.063197357e+01,8.251324490e+01,6.381953676e+01,4.879505108e+01,2.274781052e+01,6.211546549e+01,4.094303935e+01,9.947205310e+01,3.220403642e+01
3.987314164e+00,5.137384105e+01,2.355904900e+01,2.121746186e+01,6.814832569e+01,4.905560692e+00,6.602530806e+01,9.270445416e+01,3.026520807e+00,4.672383888e+01,2.072099657e+01,1.533222758e+01,1.801641863e+01,6.245749595e+01,8.800385262e+01,8.404725264e+00,9.299579858e+01,1.313284022e+01,6.192274598e+01
4.379022120e+01,9.925035803e+01,7.413204105e+01,1.390690237e+01,5.679089501e+00,8.173234769e+01,9.258701674e+01,9.415551509e+01,9.248769026e+01,2.570530106e+01,2.378210235e+00,3.070053465e+01,1.924181089e+01,7.336154130e+01,8.646547998e+01,1.639936209e+01,7.902960165e+01,4.640992137e+01,6.426188465e+01
7.525281251e+00,8.548155207e+01,7.397927900e+01,9.509403685e+01,7.943535120e+01,1.523001784e+01,8.968896195e-01,3.626425244e+01,2.709170197e+01,6.869251968e+01,7.896782181e+01,8.165961645e+01,4.288016316e+01,3.284551491e+01,8.718975893e+01,7.416889892e+01,7.410502258e+01,7.815839757e+01,5.915041920e+01
9.188940780e+01,7.371412362e+00,8.851135175e+01,7.710963280e+01,7.336454427e+01,4.415468591e+01,3.784475163e+00,7.270030895e+01,9.606875532e+01,6.405007977e+01,5.933396154e+01,8.942865309e+01,8.526493224e+01,2.888112013e+00,6.717925297e+01,3.583456371e+01,6.278803155e+01,1.408152283e+01,1.386065090e+01
3.366910581e+01,4.533025983e+01,1.704265909e+01,4.052378176e+01,5.658696862e+01,1.212656399e+00,3.009476338e+01,2.805447289e+01,8.784936908e+01,3.507792428e+01,5.258992709e+01,5.507078229e+01,5.441098216e+01,1.157472774e+01,7.073705531e+01,4.197323096e+01,8.301780162e+01,5.099060331e+01,2.925608320e+01
9.728737927e+01,9.098985002e+01,2.217632310e+01,6.815889702e+01,4.366191080e+01,2.458649887e+01,5.852489561e+01,9.422456603e+01,7.243606564e+01,7.899238491e+01,7.178727306e+01,5.118081617e+01,2.592486142e+01,2.262763092e+01,2.954418299e+01,8.184684425e+01,5.188748085e+01,5.780809514e+01,8.076552475e+01
2.732261610e-01,6.429379975e+01,2.443098915e+01,3.058970097e+01,5.128048451e+01,1.246839890e+01,6.128606003e+00,9.700937520e+01,7.050021545e+01,8.334862414e+00,3.267443116e+01,8.928644888e-01,4.651286511e+01,1.774532625e+01,2.422294975e+01,8.023016600e+01,4.216851841e+01,4.704197477e+01,5.524762970e+01
5.347635487e+01,4.390381223e+01,2.569322158e+00,4.945261310e+01,8.846953955e+00,1.190173185e+01,4.000596198e+01,5.511954468e+01,4.627096713e+01,8.074508933e+01,9.498734799e+01,4.451972319e+01,6.784056273e+01,5.426443945e+01,3.283149779e+01,9.900132978e+00,5.223284273e+01,4.384303628e+01,2.940670229e+01
8.799229549e+01,8.463794623e+01,9.689329395e+01,4.612588669e+01,9.733666574e+01,3.909568585e+01,8.312496107e+01,2.473541784e+01,9.763791857e+00,6.746256597e+01,1.144254995e+01,1.399375083e+01,5.832826326e+00,5.097010274e+01,9.968870210e+01,3.658360212e+01,1.454993193e+01,6.062582700e+01,3.514304801e+01
8.123416121e+01,3.049353808e+01,2.890430188e+01,9.579087048e+01,3.489816025e+01,9.300929937e+01,5.726641452e+01,7.208832782e+01,8.995317178e+01,7.503780826e+01,8.236442989e+01,5.892997222e+01,6.577192571e+00,5.512709653e+01,2.966919947e+01,5.809642904e+01,5.413392818e+01,4.662809193e+01,8.885864650e+01
3.179216564e+01,7.202172183e+00,4.648805185e+01,5.552144820e+01,6.362846356e+01,1.989816393e+01,6.747760879e+01,9.257474074e+01,5.621997800e+01,1.226110286e+01,4.610259791e+00,2.206757675e+01,9.857317361e+01,7.137475807e+01,1.257823064e+01,7.008692700e+01,8.939241042e+01,4.935270894e+01,9.451847030e+01
3.575137860e+00,3.715877803e+01,3.849943512e+00,4.784059080e+01,6.869187710e+00,1.064932779e+01,2.823635391e-02,2.381739140e+01,4.506876703e+00,3.239713067e+00,1.496181585e+01,6.683673514e+01,8.385990522e+01,9.252652056e+01,7.478084760e+01,5.008984305e+01,5.335577452e+01,3.582455883e+01,9.473007187e+01
3.785054009e+01,6.730300969e+01,1.626701590e+01,3.387797830e+01,4.302125685e+01,1.828792343e+01,4.658064170e+01,5.214805439e+01,1.137433323e+01,1.868365001e+01,8.255146667e+01,7.512167977e+01,3.922844255e+01,2.653197587e+01,6.962489727e+01,6.391137987e+01,4.027988114e+01,4.902285920e+01,2.185714930e+01
1.208658493e+01,6.540790602e+01,7.055456131e+01,1.456010732e+01,3.750883486e+01,4.513675910e+01,5.297194941e+01,4.978387085e+01,5.491327937e+01,8.704457855e+01,7.875209832e+01,6.313233951e+01,2.914263770e+01,1.702097031e+01,9.264264496e+01,5.331457511e+01,6.745784675e+01,5.029022558e+01,5.199864386e+01
