v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39
5.520035787e+01,1.729444270e+01,6.941871547e+01,7.099301289e+01,6.568657111e+01,6.142749456e+01,2.917109260e+01,9.844799131e+01,8.589727613e+01,5.732316016e+01,8.378739264e+01,2.928303384e+01,6.527962492e+01,2.535479625e+01,7.541180237e+00,2.590132959e+01,1.977169894e+01,1.102554816e+00,4.679092070e+01,9.566990063e+01,1.474075995e+01,4.929455916e+01,5.894620397e+01,8.576283545e+01,3.254035607e+01,3.336863036e+01,9.109111503e+01,2.235428869e+01,4.395211842e+01,2.888475636e+01,2.926468551e+01,8.882240512e+01,1.654586987e+01,4.100266186e+00,4.926156837e+01,5.706114722e+01,1.152709287e+01,8.572197539e+00,6.137366990e+01
7.906227623e+01,1.236230189e+01,1.581251767e+01,8.629682238e+01,1.884305691e+01,1.432816049e+01,1.663848703e+01,8.789184189e+01,2.087501458e+01,1.724046758e+01,1.776287923e+01,2.464441751e+01,2.601338318e+01,1.204634638e+01,9.399017380e-01,7.992059746e+01,6.367462911e+01,6.374935088e+01,8.363246311e+01,5.951116117e+01,8.614460706e+01,3.135414411e+01,7.999500049e+01,8.209321165e+01,2.151668211e+01,8.084205529e+00,2.522659317e+01,2.712130077e+00,8.631899745e+01,5.667089919e+01,5.174382976e+01,1.783461599e+01,5.273736564e+01,6.586695597e+01,9.752729064e+00,4.511112021e+01,8.532354295e+01,6.456772591e+01,8.468496946e+01
6.832295524e+01,7.799665645e+01,2.679624963e+01,7.733139360e+01,1.792431353e+01,1.241537644e+01,3.697765396e+01,1.831467033e+01,2.802490968e+01,9.830292543e+01,7.688500400e+01,9.532282962e+01,8.558637247e+00,1.070767287e+01,4.261551276e+01,5.551726266e+01,5.179688898e+01,7.404501854e+01,9.759427607e+01,4.878392957e+01,3.744258480e+01,2.285596246e+01,8.170150213e+01,4.824925004e+01,2.913652712e+00,1.735891601e+01,8.080252982e+01,9.253497417e+01,7.660547060e+00,4.488291656e+01,1.614992526e+01,8.357700241e+01,6.566508444e+01,8.114794096e+01,4.548383356e+01,6.686611870e+01,9.619240842e+01,5.040417537e+01,9.070702790e+01
9.568799733e+01,5.931283908e+01,2.075354254e+01,4.421788029e+01,6.579259413e+01,6.199615124e+01,6.381708622e+01,5.964180344e+01,2.269917150e+01,2.986615618e+01,8.745144595e+01,9.930202004e+01,6.246747477e+01,8.405302734e+01,9.930959129e+01,6.921074315e+01,6.149335123e+01,9.279314565e+00,6.642424591e+01,6.291007138e+01,6.820428136e+01,1.105160109e+01,3.053380175e+01,1.709464816e+01,5.853788407e+01,8.672424351e+01,8.421285140e+01,3.907657481e+01,9.880394015e+00,2.489527697e+01,4.868773781e+00,1.870804496e+00,7.742684797e+01,5.258835732e+01,8.683571904e+01,4.205694693e+01,8.296048869e+00,5.406793084e+01,8.418042249e+01
1.893437654e+01,2.836608824e+01,6.776372681e+00,8.428379791e+01,1.496429768e+01,6.963933961e+01,9.048171300e+01,6.810997519e+01,3.968104924e+01,8.717976607e+01,4.352299976e-01,8.025063303e+01,1.774394737e+01,4.823947659e+01,7.665978845e+01,3.049765597e+01,3.249150161e+01,9.541518919e+01,1.679017151e+01,7.833891418e+01,5.907858240e+01,9.329595456e+01,4.038265149e+01,3.874772940e+01,4.605492327e+01,4.654499779e+01,8.740435934e+01,6.985755240e+01,2.760464054e+01,1.825684983e+01,5.715169715e+01,1.582942228e+01,5.338607671e+01,6.715618845e+01,3.174877462e+01,5.534060008e+01,3.629947494e+01,1.578638598e+01,8.770705697e+01
8.498441419e+01,5.033757981e+01,8.132487512e+01,4.911177469e+01,4.558881359e+01,5.259061823e+01,8.773540037e+00,4.756739803e+01,9.596164472e+01,9.383020817e+01,2.391666785e+00,5.509038122e+01,5.441866552e+01,5.968289330e+01,8.569692458e+01,5.236661505e+00,2.019035066e+01,4.884462582e+01,6.833525651e+01,4.866052609e+01,9.707044885e+01,5.705503853e+01,7.798673858e+01,6.887225485e+01,2.544094717e+01,8.626805360e+01,1.505832733e+01,3.086603739e+01,5.031804723e+01,4.917842239e+01,9.148315704e+01,3.273827091e+01,2.370784425e+01,7.807904087e+01,2.201150486e+01,5.937737049e+01,9.108805670e+01,6.286014050e+01,7.566706676e+01
2.804997741e+01,3.488285328e+01,4.316196698e+01,5.176957376e+01,8.023115952e+01,1.178557671e+01,6.461026531e+01,9.809672590e+01,7.589046889e+01,9.611214180e+01,5.434560047e+01,1.014351181e+01,9.054537078e+01,3.335616668e+01,5.009691650e+01,9.548813110e+01,9.324645336e+01,4.778624576e+01,3.313177855e+01,7.212416712e+01,1.534157225e+01,1.805657887e+01,3.880934279e+01,2.246768870e+01,1.418488855e+01,9.057211652e+01,6.501032207e+01,6.518962854e+00,9.304693057e+01,9.352542563e+01,3.965586624e+01,4.378139575e+01,7.884381313e+01,9.631337282e+01,3.494523013e+01,3.531878611e+01,3.722678796e+01,5.078564164e+01,9.438387781e+01
3.389800372e+01,4.285400013e+01,4.277255502e+01,2.259177373e+01,8.626072578e+01,5.479435153e+01,2.226691764e+01,6.311333103e+01,3.671692620e+01,4.525659891e+01,6.442412402e+01,2.962467970e+01,4.292101704e+01,9.209735612e+01,3.394288380e+01,4.122408958e+01,7.512350569e+01,2.861035581e-01,2.439171657e+01,3.037230207e+01,4.153494555e+01,8.970714996e+01,4.528919343e+01,8.136529355e+01,3.273611724e+01,1.337121925e+01,2.057883378e+00,3.132782881e+01,9.880861727e+01,3.738668203e+01,1.024708454e+01,9.802633230e+01,8.575401479e+01,9.338724632e+01,8.231925944e+01,4.102194480e+00,2.434356598e+01,8.221217391e+01,3.088608343e+01
9.863491682e+01,2.639972305e+01,1.345394535e+00,1.989606918e+01,4.679919050e+01,4.945198876e+01,4.361610500e+01,7.246297607e+01,9.092801455e+01,8.685120061e+01,3.130549316e+00,4.600546474e+01,6.205387673e+00,4.275230923e+01,6.896921258e+01,3.711143978e+01,3.863982601e+01,4.909346173e+01,4.038265495e+01,6.409798121e+01,8.368521940e+01,8.855434904e+01,6.246694200e+01,4.448522939e+01,9.523044770e+01,2.109043661e+01,5.515760771e+01,7.416191920e+01,7.418145643e+01,3.554535733e+01,5.914770899e+01,8.002813831e+01,9.404191142e+01,7.682353659e+01,5.965994769e+00,3.850751222e+01,1.949143651e+01,5.000431644e+01,6.233379643e+01
5.769780433e+00,2.378658149e+00,2.773918063e+01,9.080080317e+01,5.477540149e+01,1.914160937e-01,8.601173272e+01,8.229788959e+01,5.418965840e+01,8.236841737e+01,9.377653303e+01,8.790029954e+01,1.383035402e+01,4.009383233e+01,6.867246639e+01,7.849845366e+01,5.506341663e+01,9.608946585e+01,3.935849815e+01,1.041189832e+01,4.258424969e+00,7.966999041e+01,5.270053162e+01,6.560845494e+01,3.907675994e+01,3.810425650e+01,1.347648617e-01,1.864865023e+01,5.750050972e+01,1.976769833e+01,3.840975033e+00,9.840104727e+00,9.176668471e+00,2.077224728e+01,5.558192489e+01,8.489190215e+01,7.618045007e+01,8.405404170e+01,6.357118515e+01
3.307617501e+01,1.509329346e+01,1.265405162e+01,2.204460038e+01,3.522791838e+01,3.841140072e+01,7.881073880e+01,1.416975002e+01,7.007028808e+01,5.944238262e+01,1.699371540e+01,9.850345650e+01,1.240242248e+01,5.793805631e+01,1.065758259e+01,5.301960057e+01,9.908452481e+01,4.988729821e+01,7.125652621e+01,8.687624961e+01,4.421329077e+01,7.670444109e+01,4.043136549e+01,1.222048456e+01,7.210300977e+01,2.842399639e+01,6.150913310e+01,3.408357462e+01,4.289961822e+01,7.662150564e+01,5.494672289e+00,7.658151537e+01,3.017464860e+01,7.851399858e+01,9.692644977e+00,7.092955483e+01,2.128934628e+01,8.943514833e+01,3.664465839e+00
3.865385394e+01,3.713492288e+01,2.944191181e+01,7.006477671e+01,6.663640785e+00,6.985888447e+01,7.176233425e+01,9.029638473e+01,5.386212912e+01,7.622869813e+01,9.494886414e+01,4.435079112e+01,9.206478291e+01,4.590006854e+01,5.224439230e+01,1.263024510e+01,1.651485682e+01,1.090184970e+01,3.329907984e+01,4.818779649e+01,4.382942950e+01,7.723106968e+01,2.420572776e+01,7.758673394e+01,4.832369637e+01,1.506222448e+01,1.349885500e+01,9.171123413e+01,4.910671095e+00,8.503341158e+01,6.633445728e+01,9.588340587e+01,4.424101110e+01,7.309620436e+01,5.160485431e+01,7.813226508e+01,4.867513475e+01,6.690501997e+01,3.780403705e+01
4.550791934e+01,9.169483452e+01,7.574359305e+01,5.559542979e+01,9.863287042e+01,5.784214588e+01,4.337513785e+01,5.778651010e+01,3.662396899e+01,5.212939869e+01,9.430537341e+01,6.907538415e+01,9.750025392e+01,8.287882529e+01,7.509371237e+01,8.472776872e+01,8.300698415e+01,2.954483920e+01,5.345677170e+01,3.330888700e+01,5.867677641e+01,7.840162306e+00,3.260284462e+01,5.511595722e+01,4.520793058e+01,2.989056410e+01,4.024746467e+01,9.769737879e+01,6.346643640e+01,4.593683220e+01,9.127101650e+01,5.574535413e+01,9.498743194e+01,1.424495344e+01,6.155276286e+00,1.587938880e+01,5.318124246e+01,3.294790416e+01,6.154608139e+01
4.653917377e+01,5.007142367e+01,4.815871073e+00,8.129597017e+01,1.743408999e+01,4.132782285e+01,9.974627528e+01,6.537281980e+01,2.708126185e+01,8.334904726e+01,2.195490239e+01,1.965391391e+01,3.134139003e+01,3.067294079e+01,6.195129590e+01,2.844677669e+01,6.064772813e+01,1.215391484e+01,8.313209427e+01,4.120708558e+01,5.093433164e+01,4.589057193e+01,9.224596235e+01,4.177866156e+01,4.552168528e+01,1.422960041e+01,2.728600593e+01,3.267834112e+00,3.457208677e+01,5.656098493e+01,9.220696892e+01,5.783391604e+01,3.468610925e+01,3.448685344e+01,2.348846330e+01,2.818059207e+01,4.889038152e+01,6.409049024e+01,6.875222516e+01
3.890282430e+01,9.783040877e+01,7.768770385e+01,1.272574968e+01,4.741276469e+01,2.616766434e+01,8.702408429e+01,4.353211786e+01,7.732282952e+01,2.418964274e+00,4.906992704e+01,3.959216822e+01,9.690470570e+01,8.899237455e+01,9.809516454e+01,2.073403269e+01,9.699326620e+01,4.450082774e+01,2.445432884e+01,3.091371372e+01,2.236528196e+01,4.179701368e+01,6.170328383e+01,7.537394919e+01,9.869585162e+01,6.408615439e+01,1.216004916e+01,3.612234937e+01,1.854065165e+01,4.373911097e+00,3.536975584e+01,6.941671641e+01,8.278601029e+01,9.843931061e+01,6.217461760e+01,7.520119619e+01,6.340506650e+01,4.062360994e+00,4.606447195e+01
8.225389564e+01,2.861528300e+01,9.439625997e+01,4.376173517e+01,8.529823621e+01,9.099811743e+01,9.610388270e+01,6.408146763e+01,5.407603961e+01,4.517082405e+01,7.351624286e+01,2.061208872e+01,6.123806551e+01,2.436148969e+01,7.313729134e+01,4.479148577e+01,2.268211591e+00,7.852056721e+01,9.847231965e+01,8.129669973e+01,6.674512955e+01,4.225473586e+01,8.465526354e+01,9.563151844e+01,9.772139518e+01,7.514768217e+01,1.841569798e+01,7.971382097e+01,3.295148969e+00,5.288169356e+01,3.188646246e+01,5.841319944e+01,2.901416846e+01,8.269845192e+01,8.869544955e+01,9.056561226e+01,8.104378569e+01,9.626322787e+00,1.215557210e+01
4.346251939e+01,7.268220153e+01,6.051551757e+01,5.487905196e+01,6.756708518e+01,1.830505647e+01,9.992118961e+01,6.645263294e+01,1.790832100e+01,6.385496507e+01,2.554157799e+01,2.327919777e+01,4.046487377e+00,1.836848963e+01,5.985560337e+01,9.446356488e+01,2.924497269e+01,7.899376551e+01,8.633627482e+01,6.740313171e+01,3.807792916e+01,2.032008087e+01,3.464927606e+01,3.972249830e+00,3.845250965e+01,5.712456887e+01,3.636738185e+01,2.763594287e+01,3.599599819e+01,9.381167105e+01,7.020487735e+01,4.037707396e+01,4.194019866e+01,8.764441746e+01,1.334527669e+01,4.764520824e+01,6.304648090e+00,4.864550044e+01,1.565341850e+01
7.539807442e+01,5.771432179e+01,8.550347080e+01,4.987595534e+01,2.227683850e+01,7.156392185e+00,5.277163961e+01,3.293926973e+01,3.188148323e+01,9.682395705e+01,9.606824023e+01,7.999134837e+01,8.375706872e+01,6.518397298e+01,7.823496329e+01,8.167408956e+01,7.817687453e+01,5.487632499e+01,7.954601597e+01,5.373337481e+01,5.269303942e+01,7.423443374e+01,9.346221292e-01,4.751769324e+01,5.069583688e+01,2.625625540e+01,3.934113224e+01,8.510589149e+01,1.168355943e+01,1.485165185e+01,9.832971841e+01,5.458746238e+01,8.623018396e+01,1.297101763e+00,4.211572969e+01,4.095873958e+01,4.187284777e+01,3.146570158e+01,6.606981524e+01
1.013929970e+01,3.225578854e+01,7.527495258e+01,3.922161051e+00,8.136739599e+01,9.209798864e+01,4.656759485e+01,9.569501844e+01,8.300428534e+00,6.240088376e+01,2.952591676e+01,4.610820283e+01,7.419873610e+01,3.327354191e+01,2.011035719e+00,8.934343840e+01,3.664544962e+01,9.047603475e+01,3.154471731e+01,8.729729619e+01,3.226508929e+01,1.019882478e+01,2.247547855e+01,7.663827090e+01,7.296948552e+01,1.692474418e+01,2.852123269e+01,6.349800004e+01,1.083286058e+01,1.580129222e+01,4.791852943e+01,5.025051972e+01,7.128810949e+01,4.130738854e+01,9.012949090e+01,5.884234571e+01,3.868135796e+01,6.393238588e+01,8.167391552e+01
4.530288682e+00,9.272976523e+01,9.531080350e+01,4.815517608e+01,6.072578241e+01,5.317077327e+01,1.968546018e+01,9.252136543e+01,3.321260677e+01,8.013048341e+01,1.194530064e+01,8.232055411e+01,1.350980601e+01,9.856111644e+01,3.373968521e+01,2.414454007e+01,6.395696324e+01,7.505537135e+01,8.734260611e+01,2.473222733e+01,1.158180015e+01,9.549697986e+01,9.567684487e+01,4.303062588e+01,5.235003471e+01,4.690267428e+01,4.509629534e+01,4.676132163e+01,7.042049706e+01,6.345245996e+00,9.260417693e+01,8.784912301e+00,3.399572405e+01,7.317972316e+01,1.557015338e+01,2.601760683e+00,1.536707964e+01,7.627584667e+01,2.347624097e+01
