v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53
8.501284751e+01,5.925887847e+01,5.836160811e+01,5.719583376e+01,9.301214677e+01,7.310214272e+01,6.445240028e+01,6.812794752e+01,6.083420669e+01,1.342332390e+01,1.270727619e+01,6.186168388e+01,7.115912800e+01,9.819039921e+01,5.874326893e+01,9.548388348e+01,9.193470884e+01,6.233056465e+01,4.999373393e+01,1.819025574e+01,5.729029534e+01,9.732394510e+00,1.672506704e+01,3.476342845e+01,6.236272886e+01,3.202521087e+01,4.128231998e+01,9.007893000e+01,6.526668261e+01,4.436237522e+00,3.854741894e+01,8.179002798e+01,9.944836632e+01,8.867726187e+00,1.132566608e+01,2.625693045e+01,6.520335519e+01,4.298628277e+01,3.269323291e+01,7.282464326e+01,5.872212779e+00,9.228275413e+01,1.031837468e+01,6.333475620e+01,7.959295225e+01,7.086991511e+01,2.218657393e+00,5.030015982e+01,1.883348737e+01,9.284394894e+01,2.737680310e+01,8.277568914e+01,6.349476711e+01
6.005808968e+01,8.509918044e+01,2.579388068e+01,9.069846719e+01,8.549873964e+00,5.008216322e+01,9.002331974e+00,3.056183351e+01,2.209674833e+01,9.969488378e+01,3.469997429e+01,7.585144585e+01,4.722093842e+01,2.116975571e+01,6.031215198e+01,4.278924000e+01,6.712837168e-01,9.050147502e+01,8.953467128e+01,8.900800318e+01,9.242901309e+01,4.164267830e+01,4.984445301e+01,2.784897523e+01,2.012982071e+01,4.035223126e+01,2.406856247e+01,5.481380652e+01,8.476221052e+01,3.919670968e+01,4.914855915e+01,4.654666093e+01,9.126678680e+01,4.174481948e+01,3.530409918e+01,2.318485608e+01,9.532812823e+01,5.434372866e+01,3.173106003e+01,8.007703459e+01,7.252216618e+01,2.700776429e+01,1.129838429e+01,3.274607017e+01,7.709976779e+01,1.854384155e-01,3.514470215e+01,4.062099135e+01,7.692884836e+01,5.583327629e+01,1.846611019e+01,6.334696289e+01,5.491307939e+01
7.187803903e+01,2.844090165e+01,2.323844348e+01,9.411991932e+00,7.569020718e+01,1.393750317e+01,3.690997390e+01,9.442875860e+01,6.200378145e+01,7.217504121e+01,6.516551302e+01,3.973157505e+01,9.556253981e+01,4.851413738e+01,6.328289656e+01,1.053418272e+00,9.856874544e+01,2.458126560e+01,6.485844043e+01,6.075824829e+01,8.027748602e+01,5.857258070e+01,9.984560462e+01,8.769126387e+01,4.748325325e+01,6.994696581e+01,2.664798341e+01,9.877924970e+01,5.373472681e+01,1.455228619e+01,4.244315682e+01,6.139383038e+01,3.748252384e+01,2.086507974e+01,1.699912554e+01,3.417959822e+01,2.546255244e+01,5.784924278e+01,1.450667940e+01,4.144045610e+01,3.604277837e+01,4.661141142e+01,4.755228894e+01,2.554900972e+01,8.899319685e+01,4.504887717e+00,7.543367012e+01,5.573666987e+01,9.792452295e+01,4.492490349e+01,2.985488896e+01,6.621155732e+01,9.534355751e+01
7.140146934e+01,8.771045579e+01,3.026922579e+01,2.207795553e+01,3.713344583e+00,2.115907836e+01,9.880814297e+01,6.597323028e+01,3.629247174e+01,1.176983170e+01,4.506993559e+01,8.537569102e+01,3.737570840e+01,1.238660929e+01,2.895899345e+01,4.728827710e+01,1.969610531e+01,5.057756023e+01,6.436905790e+01,2.599614974e+01,7.237795957e+00,3.197800921e+01,1.923090681e+01,8.886388018e+00,8.901082781e+01,1.974005634e+01,4.758188593e+01,6.866251791e+01,9.651932617e+01,8.414353002e-01,5.397076622e+00,1.944944247e+01,2.775463504e+01,4.159782612e+01,5.917467473e+01,9.313870038e+01,5.544645246e+01,3.298003154e+01,5.754815659e+01,2.007855936e+01,9.300893812e+01,2.452308904e+01,4.935528975e+01,2.176359072e+01,8.358205258e+01,5.182368177e+01,5.904149257e+01,9.006365570e+01,1.800349572e+01,3.301277817e+01,1.654158071e+01,7.118058703e+01,7.318998695e+01
1.526165426e+01,2.928246368e+01,3.597736451e+01,5.446943582e+01,8.424060348e+01,3.735565461e+01,3.941635986e+01,2.723998251e+01,1.776542955e+01,2.540045575e+01,1.159374304e+01,4.762723806e+01,6.581006797e+01,3.249634478e+01,5.435250976e+01,1.107504308e+01,7.967035440e+01,5.315666859e+01,3.425579310e+01,4.607863150e+01,8.475081060e+01,1.428584954e+01,9.826605406e+01,1.616117714e+01,4.479896898e+01,6.861400499e+00,9.352786876e+01,9.054018069e+01,1.989840021e+01,8.800886793e+01,4.926479455e+01,5.932302632e+01,7.682016704e+01,8.070065421e+01,1.935393316e+01,4.105588713e+01,8.597057201e+01,7.906774554e+01,8.317761732e+01,2.885083048e+01,9.544531827e+01,6.343162714e+01,5.052019518e+00,6.658355760e+01,6.189603582e+01,8.511624427e+01,2.989447839e+00,1.085357309e+00,7.081777364e+01,2.586400996e+01,7.249212618e+01,7.352816772e+01,3.727809233e-02
7.625407092e+01,8.588698954e+01,5.380771324e+00,6.945889649e+01,1.278708412e+01,1.995598697e+01,5.898469397e+01,5.648961116e+00,1.952864793e+00,1.445443304e+00,7.735775496e+01,7.130543396e+01,5.838884587e+01,4.024574923e+01,1.071308343e+01,6.448612266e+01,2.114448793e+01,2.826931533e+01,2.209060121e+01,7.000434634e+01,5.693583301e+01,3.918166802e+01,3.792924427e+01,8.923593151e+01,3.231921423e+00,7.420326787e+01,5.809166676e+01,3.578873730e+01,2.325323098e+01,9.963437227e+01,4.824043101e+01,4.523656350e+01,5.917788772e+01,4.093142630e+01,1.805072433e+01,6.252921287e+01,7.208424224e+01,6.410899006e+01,4.372790412e+01,2.212361111e+01,8.455871666e+01,9.818590049e+01,5.546921093e+01,2.835294592e+00,4.760929711e+01,2.667678534e+01,2.796446413e+01,4.011217848e+01,3.586315748e+01,5.189041067e+01,4.481353189e+01,4.888598155e+01,8.040774932e+01
5.569282118e+01,2.915514945e+00,3.201993531e+01,5.253110764e+01,7.876837557e+01,2.309731398e+01,9.039347967e+01,3.886525783e+01,2.214555051e+01,2.519948818e+00,5.708010872e+00,3.869767855e+01,9.393110095e+01,5.406365054e+01,5.204112317e+01,4.517770110e+01,4.510171778e+01,7.368017416e+01,6.820275925e+01,8.067760655e+01,7.682200245e+01,4.045984322e+01,3.335942405e+00,4.425424646e+01,4.659546757e+01,5.013599610e+01,1.285327393e+01,8.902602754e+01,1.458200467e+01,3.175531325e+01,7.322851103e+00,8.913499678e+00,6.239744065e+00,7.150232989e+01,2.371819068e+01,1.389760832e+01,7.316647630e+01,6.219674362e+01,4.363875457e+01,6.925618366e+01,2.775109590e+01,2.393720077e+00,8.449832322e+00,8.961271760e+01,4.052558882e+01,1.172628603e+01,9.844603466e+01,4.899202261e+01,8.423604803e+01,6.674119018e+01,7.349989874e+01,8.930298715e+01,8.881248200e+01
6.566871503e+01,8.138286338e+01,8.638032096e+01,2.059561728e+01,8.133610408e+01,8.811168060e-01,8.134272504e+01,8.092627134e+01,3.820479211e+01,3.794170727e+01,1.969584796e+01,3.622734845e+00,3.842908098e+01,2.541473638e+01,1.994629973e+01,6.656513064e+01,3.685978067e+01,6.844408766e+01,3.872612381e+01,9.712377801e+01,7.563395585e+01,5.336071062e+00,9.604041904e+00,5.332861156e+01,9.149966383e+01,1.687244201e+01,3.976917567e+01,6.048976397e+01,3.279700869e+01,9.482463603e-01,2.075075271e+01,3.651456717e+01,8.350300320e+01,4.991853542e+01,8.047490810e+01,1.608742054e+01,9.656629112e+01,5.203905739e+01,7.452315825e+01,5.045666572e+00,7.499770138e+00,6.332412278e+01,3.117170847e+01,3.416026533e+01,1.121374387e+01,1.260055365e+01,9.783198748e+01,5.596934285e+01,6.270239774e+01,3.516648352e+01,2.963424985e+01,5.130892685e+01,1.599873060e+01
8.076392805e+01,6.575247281e+01,9.793061704e+01,9.569806355e+00,9.316489970e+01,8.187048879e+01,1.920144084e+01,9.268321123e+01,8.638939347e+00,7.832560306e+01,9.426433968e+01,3.324859636e+01,8.897286314e+01,7.933222402e+01,2.284637098e+01,5.248545931e+01,4.234596577e+01,9.376274937e+01,8.851851709e+01,3.835026755e+01,1.782596798e+00,7.315404908e+01,4.528607361e+01,8.534450048e+01,7.442528229e+01,7.110420748e+01,2.022300516e+01,9.690664848e+01,9.750456635e+01,8.455264117e+01,5.150002654e+01,8.126148733e+01,1.947549737e+01,4.712599984e+01,7.344057444e+01,7.378640066e+01,9.805756814e+01,4.743872511e+01,8.422128743e+01,4.056109993e+01,2.151321392e+01,9.029022282e+01,5.221934009e+01,7.045487829e+01,1.709430850e+01,6.402898483e+01,5.769594902e+00,1.664301079e+01,5.325946018e+01,9.477963287e+01,6.135789663e+01,9.915172328e+01,1.980305066e+00
9.254099161e+01,3.280406754e+01,9.214582733e+01,1.782088095e+01,6.677018999e+01,5.286844989e+01,8.066874119e+01,2.780489529e+01,9.156384530e+01,1.561405961e+01,3.607762607e+01,9.588187331e+01,9.243758500e+01,6.182850422e+01,5.918322468e+01,6.866271547e+01,5.060799149e+01,1.025402325e+01,3.345541799e+01,4.072858717e+01,1.705937475e+01,8.841927979e+01,6.106235026e+01,6.721147557e+01,8.403514765e+01,6.327784234e+01,8.371862607e+01,9.190897382e+01,9.306826031e+01,6.287203162e+01,4.265133236e+01,1.395949500e+01,6.394848391e+01,9.416414082e+01,7.717936849e+01,8.323779511e+01,6.011063268e+00,3.091136733e+00,8.321343382e+01,8.094595915e+01,7.759934710e+00,3.629181306e+01,6.480388730e+01,5.087835820e+00,4.899290077e+01,3.672975613e+01,3.386838010e+00,1.332639429e+00,9.357040932e+01,5.074517705e+01,9.974527323e+01,9.397794224e+01,3.269964019e+01
9.503651823e+00,6.844624343e+01,4.396150180e+01,8.558891173e+00,4.426317231e+01,5.665364493e+01,9.671179502e+01,6.837060204e+00,8.638754789e+01,3.312390152e+01,1.019277204e+01,3.251301269e+01,5.204912589e+01,4.084519943e+00,9.738637941e+01,3.279189889e+01,6.669895617e+01,8.731555089e+01,8.386308382e+01,9.608045303e+01,5.737009166e+01,7.232432865e+01,2.464078557e+01,8.665606239e+01,8.047948632e+01,4.110832552e+01,4.118642359e+01,6.961980924e+01,8.057677144e+01,9.056911562e+01,5.413126974e+01,3.120740345e+01,7.975879946e+01,3.063665856e+01,9.287532245e+01,8.583759832e+01,9.619865002e+00,7.834565781e+01,5.301050934e+01,1.691509759e+01,9.323786370e+01,1.261687737e+01,8.528617148e+01,8.720010027e+01,7.355271307e+01,4.483633303e+01,1.548051494e+00,5.854227860e+01,9.611003095e+01,3.109377257e+01,4.682147869e+00,5.368941098e+01,7.755324879e+01
1.147518162e+01,4.790023806e+01,8.933709604e+01,7.851825423e+01,9.322590916e+01,6.801346076e+01,3.174104491e+01,7.250205164e+01,9.627118012e+01,6.245805660e+01,2.806237639e+01,6.205834170e+01,2.758879030e+01,3.151683954e+01,4.268247754e+01,2.638905471e+01,8.893448116e+01,4.907080403e+01,8.123252469e+01,6.991712843e+01,4.453892710e+01,7.997332423e+01,4.646717612e+01,1.848755960e+01,9.234684373e+01,4.255452905e+00,9.065513767e+01,9.609334079e+01,9.503287896e+01,6.662408317e+01,5.723008339e+01,5.069940405e+01,9.380113976e+00,8.977463540e+01,7.644975607e+01,3.033160233e+01,9.461024816e+01,4.755314511e+01,8.138624017e+01,9.217771163e+00,3.915320012e+01,3.973218361e+01,9.134877317e+01,8.779697370e+00,5.398778908e+01,9.659925410e+01,4.432353279e+01,1.990314516e+01,5.463237285e+01,2.490553741e+01,6.610759108e+01,9.557950260e+00,7.567071504e+01
4.709348729e+01,3.370201223e+01,8.138724340e+01,6.406778627e+01,3.572465892e+01,9.071260514e+01,2.046639771e+01,2.564841694e+01,1.647328172e+01,7.452148710e+01,9.098695929e+01,9.836716568e+01,2.198024692e+01,7.496841758e+01,3.363424521e+01,1.604886165e+01,6.315362688e+01,2.049286262e+01,3.854337358e+01,5.070080272e+00,4.406350501e+01,5.877750191e+01,5.605969772e+00,1.008506768e+01,5.108580710e+01,2.811823059e+01,8.340138818e+01,5.134976108e+01,7.987132140e+01,1.358055226e+01,2.520201967e+01,6.861471485e+01,3.040263392e+01,9.450980489e+01,3.704455307e+01,4.403174747e+01,4.635822514e+01,8.185780370e+01,1.721862236e+01,2.228491931e+01,8.174325314e+01,1.299782956e+01,8.310883727e+01,6.834744211e+00,6.687874570e+00,9.854090870e+01,7.462032432e+01,2.393661576e+01,2.125604403e+01,2.990831489e+01,2.594134126e+00,3.773478219e+01,6.644703162e+01
2.271027167e+00,5.735036744e+01,5.338348082e+01,8.773643128e+01,2.386808520e-01,4.813506049e+01,5.645437234e+01,5.957179642e+01,8.487525742e+01,9.450697789e+01,5.185613822e-01,7.264563565e+01,8.430604224e+01,9.417959518e+01,1.795388401e+01,9.062798378e+01,9.980640210e+01,7.059474763e+01,1.312838594e+01,1.785048764e+01,8.695447625e+01,8.020166780e+01,4.386311218e+01,7.878119932e+01,6.589680855e+01,2.584055516e+01,8.848977338e+01,4.222452173e+01,8.169912109e+01,1.845178773e+01,1.254319923e+01,2.064291514e+01,7.097175236e+01,6.144905424e+01,1.982854856e+01,7.178762534e+01,1.792077718e+01,1.361674714e+01,2.898351080e+01,3.682482901e+01,6.996690289e+01,9.255721206e+01,3.443364896e+01,5.761583941e+01,9.697037794e+01,7.313080042e+01,9.508258996e+01,9.678309679e+01,4.261219142e-01,2.107923397e+01,6.468109505e+00,4.567566434e+01,9.122976833e+01
1.114077282e+01,6.778234978e+01,9.900187742e+01,5.301109612e+01,9.123641162e+01,9.782898033e+01,5.111275474e+01,3.375507168e+01,5.778477739e+01,4.572512719e+00,1.790636228e+01,5.806530843e+01,2.341489275e+01,5.666812653e+01,5.071490388e+01,1.311208493e+00,2.891012346e+01,7.122407062e+01,2.561315050e+01,4.807010576e+01,3.688954492e+01,3.285295936e+01,9.796606225e+01,6.031770602e+01,6.718075057e+01,2.709723840e+01,6.974597147e+01,6.902872458e+00,3.311987876e+01,7.390935494e+01,8.809305084e+01,5.290587090e+01,7.231239012e+01,3.157730447e+01,6.856937224e+01,2.029694448e+00,6.342864820e+01,9.751221047e+01,8.274232367e+01,3.892084497e+01,1.411578667e+01,1.440989947e+01,9.786160334e+01,4.788497484e+01,9.568508943e+01,4.122602831e+01,9.885163415e+01,9.972591362e+01,3.833722259e+01,8.468480564e+01,5.095970705e+01,1.767536783e+01,7.459405557e+01
8.551782037e+01,5.201368252e+01,7.042804211e+01,8.503516736e+01,8.284044919e+01,2.540096712e+01,6.262031396e+01,3.018524343e+01,5.706128803e+01,1.107038673e+01,1.355917180e+01,9.712120892e+01,5.100303396e+00,3.093586918e+01,2.541397395e+01,4.046489341e+01,5.704957820e+01,6.561594040e+01,1.242626953e+01,2.898863321e+01,7.086779754e+01,4.304781695e+01,5.211560066e+01,8.470399457e+01,5.817391687e+01,1.585445165e+01,6.444201781e+01,6.854950273e+01,6.490577143e+01,4.628557862e+01,6.672064056e+01,7.107238178e+01,6.219725337e+01,9.951812513e+01,4.969456150e+01,2.691736602e+01,7.516037339e+01,8.263774654e+01,2.723707670e+01,5.097964412e+01,7.761613319e+01,7.080473658e+01,9.925955829e+01,5.440089303e+01,3.198343369e+01,3.692457213e+01,1.517625589e+01,8.627734786e+01,6.181666798e+01,7.725322815e+01,5.758008456e+01,3.567965505e+01,2.457034270e+01
6.310913919e+01,9.306830748e+00,9.758734596e+00,3.265602325e+01,4.050162849e+01,3.925638169e+00,4.954329764e+01,7.182428368e+01,6.158446363e+01,1.687646228e+01,4.670202496e+01,2.394728601e+01,2.931497766e+01,5.917370157e+01,9.482615394e+01,1.733091341e+01,1.448846593e+01,6.764464899e+01,2.154256888e+01,5.065680929e+01,3.080781206e+01,9.800679528e+01,9.706311695e+01,1.655981188e+00,1.937099832e+01,2.470914515e+01,9.908193622e+01,2.463802389e+01,8.743830644e+00,8.156449822e+01,9.569982660e+01,6.021904332e+00,3.070866587e+00,2.068593534e+01,6.671037318e+01,3.646148140e+01,6.833904651e+01,1.031233028e+01,7.602666521e+01,9.526934406e+01,2.712274895e+01,6.037613651e+01,2.488263210e+00,8.953332309e+01,7.546415426e+00,6.100863508e+01,9.288384135e+01,8.311057469e+01,1.908207719e-01,1.433875868e+01,6.840211431e+01,3.997754052e+01,1.367475404e+01
8.899560059e+01,9.909271280e+01,8.160378866e+01,3.806072824e+01,1.683534744e+01,6.567485653e+01,2.837607833e+01,6.203928808e+01,6.790234543e+01,6.562812932e+01,6.703757996e-01,9.223153960e+01,3.555457337e+01,7.033811512e+01,8.284751113e+01,7.619226157e+01,9.193756276e+00,8.103190299e+01,6.425043580e+01,2.120142113e+01,6.285439575e+01,3.152220301e+01,6.013105756e+01,7.268212690e+00,8.016533249e+01,2.864021603e+01,6.044397248e+01,8.046919240e+01,7.798174295e+01,1.776729456e+01,4.791201546e+01,9.614794508e+01,7.115032171e+01,9.404951217e+01,3.622959294e+01,8.764979131e+00,4.730317261e+01,1.317669633e+01,4.948612532e+01,1.505900318e+01,8.792228425e+01,9.898864886e+01,2.526928876e+01,8.855248404e+01,4.675130820e+01,2.408422093e+01,9.493490517e+01,5.444161858e+01,8.494382524e+01,9.669749204e+01,4.707517137e+01,6.410842711e+01,3.844146374e+01
