v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24
3.411090442e+01,7.349891536e+01,9.204536376e+01,5.941362943e+01,8.858561646e+01,6.515296991e+01,7.069601872e+00,3.619944157e+01,6.973038466e+01,8.853301972e+01,1.153222574e+01,6.795950866e+01,9.670054705e+01,5.582886985e+01,7.620391299e+00,8.414146808e+01,8.485687367e+01,8.095220197e+01,4.664372235e+01,7.058053205e+00,4.295486443e+01,6.707563964e+01,3.116888717e+01,4.887580239e+01
2.115468791e+01,3.302689802e+01,8.269151481e+01,2.707738295e+01,2.058962049e+01,5.720270043e+01,5.528819018e+01,5.081233971e+01,8.427325908e+01,5.614294466e+01,1.205256278e+01,8.867833442e+01,9.785165982e+01,7.658227687e+01,6.294749751e+01,1.756797191e+01,2.056207399e+01,8.785548523e+01,5.336436431e+01,2.941117496e+01,5.107702338e+01,8.290601202e+01,7.953517812e+01,8.688450670e+01
7.201854129e+01,8.511206167e+01,4.893535515e+01,6.259338814e+01,5.100432985e+01,1.632069480e+01,7.698777946e+01,9.645165531e+01,8.017123924e+01,4.062048740e+01,9.864240037e+00,1.367651013e+01,6.442802827e+01,6.358603594e+01,1.900315217e+01,2.624961438e+01,2.704861738e+00,7.261676918e+01,7.690072461e+01,7.768341972e+00,6.043329793e+01,7.411545921e+01,6.348437108e+01,8.648892433e+01
3.601756587e+01,2.987625002e+01,6.519818912e+01,5.648093874e+01,1.627390685e+01,8.701320967e+01,6.956397548e+01,1.465092792e+01,8.920779730e+01,6.719928626e+01,8.635035490e+01,5.847618928e+00,1.261333154e+01,8.645038289e+01,2.471997144e+00,1.163079873e+01,9.970131757e+01,4.388992421e+01,5.509768751e+01,8.424870562e+01,5.851996344e+01,5.361768833e+01,7.769686791e+00,5.936462275e+01
4.720301139e+01,4.878323200e+01,1.155691361e+01,6.624777314e+01,8.586220929e+01,4.506522725e+01,8.152368158e+01,9.217759436e+01,6.197808896e+01,1.577462609e+01,5.827455561e+00,2.899721087e+01,6.254593804e+01,7.890433707e+01,2.612607238e+00,8.604034644e+01,5.668355359e+01,2.024876577e+01,3.222174525e+01,8.509459161e+01,2.844095825e+01,9.710680085e-01,4.181360767e+01,1.104097455e+01
2.425626117e+01,2.829071628e+01,3.855707459e+00,5.216035806e+01,1.862315308e+01,8.898767687e+01,4.693175224e+01,6.894130642e+01,7.793308677e+01,2.764156766e-01,6.933825471e+01,5.645800197e+01,6.904343265e+01,3.648588179e+01,3.788074575e+01,5.123221849e+01,4.889164805e+01,7.054129453e+00,8.139049482e+01,1.846357902e+01,6.450018577e+01,7.145746000e+01,1.372786445e+01,1.690820097e+01
2.224812103e+01,4.689455837e+01,7.418201776e+01,9.896412536e+01,4.366537287e+01,3.816959664e+01,2.810348830e+01,5.383336763e+01,9.169679079e+01,9.536714215e+01,3.557897977e+01,3.628367581e+01,7.095952590e+01,6.546844206e+01,3.883239010e+01,4.457768633e+00,1.447018644e+01,2.627952833e+01,6.867764573e+01,4.509672369e+01,1.073374582e+01,7.900461812e+01,4.123052750e+01,8.696406572e+00
2.965431621e+01,6.428122826e+01,6.697018827e+01,7.231870909e+01,4.143511285e+01,4.845171756e+01,6.233752928e+01,6.813175236e+01,1.044763426e+01,4.837351419e+01,5.659988641e+01,9.343772246e+01,5.945319798e+01,5.299425815e+01,5.550670207e+01,3.937127894e+01,7.259928997e+01,3.202218412e+01,5.526047536e+01,8.015921082e+01,7.808740734e+01,3.010345348e+01,7.910323490e+01,8.382757225e+01
4.158049696e+01,4.476271715e+01,2.471517955e+01,4.218316067e+01,6.190239233e+01,2.082571591e+00,2.766976642e+01,4.375638427e+01,7.009566707e+01,5.876148262e+01,9.060069686e+00,8.811785478e+01,8.553482563e+01,8.205085939e+01,5.789243687e+01,2.092899096e+01,8.604907652e+01,3.367050515e+01,4.108654974e+01,7.244474329e+01,4.634892838e+01,9.016144423e+01,5.764795061e+01,9.084818894e+01
1.122490063e+01,7.170832641e+00,6.037566161e+01,4.918890872e+01,2.162669522e+01,9.361674285e+01,9.596535293e+01,1.160590266e+01,5.103150764e+01,8.767923626e+01,3.725906489e+01,3.532645593e+01,7.229310193e+01,3.388750822e+00,5.603917256e+00,3.200004631e+01,5.776867148e+01,7.292072006e+01,5.439442297e+01,8.442219808e+01,5.581635817e+01,6.752855299e+00,3.478224727e+01,1.330986928e+01
9.786169989e+01,1.522698682e+01,7.017260607e+01,1.922925446e+01,8.817941095e+01,4.035420865e+01,6.600524061e+00,6.416414909e+01,5.374868026e+01,7.097745494e+01,4.647416729e+01,4.378182514e+00,9.233028965e+01,3.437236157e+01,8.882688191e+01,3.617498143e+01,3.055839539e+01,1.115470433e+01,9.047625095e+00,9.647726361e+01,6.686555160e+01,9.743896940e+01,3.210565146e+01,5.001804918e+01
2.048408171e+01,9.760586967e-01,2.211499834e+01,4.778250617e+01,1.541395251e+01,5.701112241e+01,2.101161584e+01,3.363193520e+01,5.907304130e+01,7.378539680e+01,1.492805473e+01,7.174883230e+00,1.611940571e+01,4.811046405e+01,2.210859361e+01,5.030205950e+01,4.791647339e+01,2.106632691e+01,2.080792541e+00,6.478638043e+01,8.094508594e+01,6.077546208e+01,4.094197449e+00,9.311872097e+01
5.042473466e+01,9.053828061e+01,9.368780274e+01,2.203116922e+01,3.671911960e+01,6.227963532e+01,4.169829139e+01,8.386102460e+01,5.887170839e+01,1.267878801e+01,4.771930583e+01,3.892188819e+01,4.192212347e+01,3.290774248e+01,6.094489853e+01,8.971925264e+01,1.920012845e+01,3.942852277e+00,6.759325289e+01,3.462056644e+01,9.392449742e+01,2.948207224e+01,5.639273487e+01,3.376484463e+01
9.925075219e+01,7.617063530e+01,8.737737138e+01,6.815138991e+01,1.595079607e+01,9.959073309e+01,1.321873747e+01,8.997101149e+01,2.873243479e+00,9.608226404e+01,9.962664592e+01,3.577399166e+00,3.948180456e+01,3.231201762e+00,1.712729052e+01,8.345122717e+01,5.429460725e+01,4.223053331e+01,6.371708498e+01,7.185003344e+01,1.951931375e+01,3.468564038e+01,4.673568373e+00,7.400194494e+01
6.549938360e+01,1.904985494e+00,2.124401083e+01,2.420958670e+01,9.655183225e+01,8.505754392e+01,4.503802181e+01,9.112427753e+01,7.709103783e-01,6.458522191e+01,3.003012343e+01,7.283174477e+01,6.014234537e+01,3.414352968e+01,5.347961375e+01,4.912709194e+01,7.068931978e+01,2.812105107e+01,1.808631324e+01,2.171419328e+01,6.557022687e+01,1.514946952e+01,1.292688466e+01,8.381163874e+00
2.684860308e+01,5.112411614e+01,9.005439946e+01,2.725319195e+01,3.288508479e+01,5.988105088e+01,6.660191605e+01,5.779537832e+00,3.802498357e+01,6.757697335e+01,4.543199810e+01,9.441910505e+01,6.606340171e+01,4.051776621e+01,1.690895323e+01,2.942882550e+01,6.131413679e+01,5.737633381e+01,8.421071966e+00,4.698828424e+01,6.671134398e+01,9.904532267e+01,6.752759922e+00,4.424497953e+01
5.462565465e+01,7.507543636e+01,3.653765059e+01,2.400248668e+01,7.770391109e+01,7.064012040e+01,4.248669949e+01,8.836103841e+01,7.095850861e+01,7.773355671e+01,7.084456182e+01,6.732722719e+00,4.613609038e+00,6.855343175e+01,2.889425466e+01,8.943955021e+01,6.391196534e+01,1.891745606e+01,6.132957081e+01,6.819342409e+01,7.904549223e+01,5.954068972e+01,2.759808622e+01,7.293388912e+01
1.497036081e+01,9.803521647e+01,9.615342089e+01,9.703626924e+01,8.574663396e+01,6.069611761e+01,3.192397639e+01,2.129362956e+01,6.886655275e+01,2.963294881e+01,3.912266923e+01,7.534567287e+00,5.992890473e+01,4.403345872e+01,3.500598212e+01,3.113586891e+01,7.123466282e+01,4.865593851e+01,5.901991089e+01,5.698216050e+01,3.748582736e+01,1.757125433e+01,6.795148600e+01,2.332466260e+01
6.784580811e+01,1.310884396e+01,5.401594255e+00,4.824964226e+01,7.225561838e+01,5.239802698e+01,6.351376451e+01,1.975730854e+01,2.681531478e+00,8.870368895e+01,7.042884617e+01,3.172436451e+01,9.039990961e+01,8.699842384e+01,5.148895828e+01,1.529392343e+01,2.243576015e+01,7.798614427e+01,3.428917766e+01,5.214718468e+01,1.977996551e+01,6.297011115e+01,4.166621427e+01,1.214029464e+01
3.771763212e+01,8.382704181e+01,1.202768908e+01,3.409690206e+01,5.962111442e+01,2.759999144e+01,9.091813732e+01,2.006975450e+01,2.253050566e+01,3.648653914e+00,3.515290925e+01,1.749792814e+01,7.400408909e+01,6.538646499e+01,2.782189551e+01,3.586135089e+01,8.989827413e+01,5.363893273e+01,5.578080203e+01,8.118478131e+01,8.758475506e+01,5.499596537e+01,3.854441889e+01,3.076771779e+01
5.735467560e+01,5.522084909e+01,9.344603931e+00,3.838082060e+01,1.925242398e+01,8.789604996e+01,6.464180546e+01,4.798146779e+01,1.817833916e+01,4.940697501e+01,3.861724522e+01,9.775568511e+01,9.641610053e+01,5.863949567e+01,8.054748419e+01,5.577491408e+01,3.910291211e+01,5.208022359e+00,7.310333000e+01,2.538980264e+01,6.293503539e+01,9.033180882e+01,3.888628888e+01,3.080572381e+01
6.276216486e+01,2.691879580e+01,3.438043658e+01,8.306447058e+01,4.679606964e+00,7.623047231e+01,3.387834150e+01,9.920130959e+01,4.885427775e+01,1.953761333e+01,6.443392729e+01,1.096903217e+00,1.847068503e+01,1.235028365e+01,7.158006533e+01,5.257727648e+01,7.424734589e+01,7.283829022e+01,6.958291475e+01,6.535616415e+01,7.829538116e+01,9.930728869e+01,3.014844756e+01,9.199549774e+01
2.065622758e+01,7.419233958e+01,1.367729473e+01,7.413845112e+01,4.332994546e+01,9.332340989e+01,4.402617517e+00,4.705092479e+00,7.921724516e+01,9.034397811e+01,4.037204894e+01,7.718248181e+01,3.504095274e+01,5.119215184e+01,8.278457907e+01,9.482687715e+01,1.986855123e+01,3.382259085e+01,8.075118640e+01,1.617272230e+01,1.878442874e+01,1.633934363e+01,1.968245004e+01,6.525636250e+01
4.435387105e+01,3.206463778e+01,1.525772235e+01,5.853545904e+01,6.471666866e+01,1.077272948e+00,1.365154189e+01,6.009391238e+01,5.210632581e+01,9.490862713e+01,1.511107360e+01,1.034546262e+01,3.789396985e+00,1.620342106e+01,5.186836925e+01,1.138929992e+01,9.947147539e+01,7.149890256e+01,3.549360713e+01,4.822342786e+01,5.197982879e+01,8.358869939e+01,8.171538853e+01,3.903034557e+01
2.778891488e+01,9.316801797e+01,4.330626083e+01,4.293293728e+01,5.634070307e+01,9.558600972e+01,2.940802319e+01,6.197606329e+01,5.183463888e+01,7.363462938e+01,8.136511807e+01,1.808976282e+01,8.568699472e+01,2.270306902e+00,7.480980137e+01,2.475929057e+01,6.913997610e+00,7.654294233e+01,3.413759552e+01,3.456624620e+01,1.338372233e+01,9.701705297e+01,3.088846077e+01,3.760083795e+01
5.398263479e+01,5.830961388e+01,4.138660288e+01,8.557638462e+01,3.941248932e+00,3.500784888e+01,7.070986989e+01,9.226911060e-01,3.898368386e+01,2.160218638e+01,5.685204344e+01,4.205334582e+01,5.805813221e+01,1.631596759e+01,7.579096429e+01,3.457212903e+01,1.071004265e+01,3.919216562e+01,3.523677347e+00,5.375398329e+01,9.955013597e+01,3.621364311e+01,3.575064815e+01,4.214049114e+01
4.179347316e+01,7.851034140e+00,1.479477325e+01,3.840686762e+01,1.356098743e+01,4.385761867e+01,5.807163973e+01,4.376130105e+00,4.742953911e+01,3.460563908e+01,4.150635264e+01,6.121225379e+01,6.036525097e+01,2.270294827e+01,4.654096059e+01,6.036686275e+01,6.805734345e+01,5.985796071e+01,3.179861664e+01,9.532632580e-01,3.661958727e+01,2.886204442e+01,8.288568586e+01,9.098094592e+01
7.294126205e+01,6.751581022e+01,3.237736859e+01,3.203794014e-01,7.490664041e+01,1.302908131e+00,7.752990327e+00,8.137614514e+01,3.290822457e+01,8.671752498e+01,1.762686338e+00,8.774788198e+01,9.625490724e+01,6.592648672e+01,5.023508308e+01,4.501776834e+01,6.105734807e+01,8.181654953e+01,5.042123982e+01,9.113653335e+01,5.736351656e+01,6.414580101e+01,4.951667721e+01,8.592841368e+01
6.445265560e+01,4.869911625e+01,3.071343107e+01,8.948619180e+01,9.871292991e+01,1.764558529e+01,6.332435631e+01,4.176192211e-01,9.264073415e+01,9.000476389e+01,9.943244574e+01,3.318850573e+01,1.812512066e+01,5.829050468e+01,3.270356814e+01,7.631199120e+01,4.380061497e+01,4.182140676e+01,5.198151277e+01,4.793861361e+01,4.509305343e+01,7.715955936e+01,4.138336796e+01,7.654894130e+01
8.971437779e+01,6.461874642e+01,4.670376328e+01,5.512907948e+01,6.526652023e+01,9.010334410e+01,9.125138255e+01,6.866503764e+01,2.274197327e+01,6.905552677e+01,1.109052684e+01,1.524247871e+01,9.263215938e+01,6.295456911e+01,2.538197463e+01,9.015986600e+01,5.498003123e+00,5.432769074e+01,2.827863961e+01,8.192915170e+01,3.407311803e+01,2.132906714e+01,2.205815401e+00,4.388329088e+01
1.405958076e+01,6.932275043e+01,9.758736813e+00,9.011269371e+01,2.128775146e+01,6.710986819e+01,3.086587013e+01,5.025076951e+01,9.820991957e+01,5.286734066e+01,1.361859226e+00,4.140973412e+01,3.961422273e+01,9.522783397e+01,2.448456499e+01,5.008813660e+01,6.493733650e+01,2.249550401e+01,4.218300680e+01,1.018588036e+01,5.888482060e+01,3.239819952e+01,8.091084004e+01,9.062159980e+01
9.766391918e+01,3.408680939e-01,1.838131822e+01,3.643946187e+01,4.951258022e+01,3.448018917e+01,9.084675853e+01,8.216910955e+01,9.327484457e+01,8.231002022e+01,2.406423486e+01,4.505214346e+01,7.161296647e+01,6.679638106e+01,6.946419631e+01,4.655564934e+01,2.589690850e+01,8.220527332e+01,6.606306668e+01,3.434301514e+01,5.713466740e+01,4.253429597e+01,7.927033961e+01,1.808531898e+01
6.681591986e+01,2.541527507e+01,9.511694885e+01,6.243723665e+01,1.748048777e+01,6.257849353e+01,1.660511130e+00,3.774036980e+01,6.703142341e+01,3.156871079e+01,7.319583920e+01,9.613828476e+01,2.452241708e+01,8.794944898e+01,7.640207475e+01,8.541387045e+01,6.530606497e+01,8.666175220e+01,5.965587539e+01,8.527156397e+01,4.937018738e+01,7.984380908e+01,9.066118023e+01,9.499174986e+01
6.624506339e+01,7.076677543e+01,7.461912075e+01,1.343043064e+01,5.951128782e+00,9.496831634e+01,5.448765147e+00,5.616268491e+00,5.456345494e+01,1.414511550e+00,5.287943667e+01,5.586058191e+01,8.859556300e+01,6.379041274e+01,4.362449322e-02,1.664240697e+00,4.459816956e+01,9.768072294e+01,2.085465706e+01,7.275400245e+01,7.545610333e+01,8.270206886e+01,5.071690639e+01,4.167340417e+01
2.724901023e+00,1.199438000e+01,8.405500713e+01,4.315078626e+01,9.803886394e+01,2.861964265e+01,4.132829504e+01,6.608534381e+01,7.868414844e+01,8.022973768e+01,2.187770567e+01,3.722323979e+01,2.635184496e+01,9.577846269e+01,2.963745569e+01,9.653521022e+01,9.912846965e+01,2.884647522e+01,9.770882410e+01,6.256896352e+01,8.425299464e+01,7.593464940e+01,9.239765632e+00,7.761653618e+01
2.126150424e+01,8.088550022e+01,7.967584573e+01,1.495371568e+01,4.551478790e+01,5.929059122e+01,4.653744136e+01,1.775755250e+01,2.029330596e+01,6.509356917e+01,4.927601135e+01,9.354941542e+00,4.975473078e+01,7.208547438e+01,2.163624688e+01,9.097422861e+00,1.492109775e+01,2.114459807e+00,2.154549947e+01,7.615921540e+01,7.153605799e+01,9.110677667e+01,5.555427590e+01,1.596615960e+00
2.888165958e+01,7.448327806e+01,7.597231141e+01,6.468182162e+01,9.173120970e+01,4.927092538e+01,5.370522481e+01,8.009647495e+01,3.140036582e+01,3.649071496e+01,7.520582678e+01,6.950215518e+01,2.367731552e+01,5.746348502e+01,3.019967113e+01,7.792787376e+01,9.149730695e+01,1.199032405e+01,9.738380852e+01,2.046850044e+01,9.894804827e+00,2.715540489e+01,2.547782145e+01,7.996129678e+01
8.332047534e+01,6.567076796e+01,4.393594473e+01,2.546281605e+01,3.863410958e+00,5.096744063e+00,9.723440068e+01,7.068716918e+01,5.123322015e+01,6.865458010e+01,2.098113874e+01,3.739336912e+00,6.748406858e+01,7.601045306e+01,5.522411062e+00,1.468299525e-01,5.686098369e+01,6.511763448e+01,8.030322832e+01,4.977700522e+01,1.785168431e+01,1.342208479e+01,8.906374672e+01,3.383554703e+01
4.932713602e+01,4.308460138e+01,5.580586436e+01,5.352727422e+01,9.483033604e+01,6.965509813e+00,5.891273491e+01,6.045426257e+01,7.369250381e+00,4.695830562e+01,8.851331041e+01,9.530969653e+01,4.443788948e+01,6.757987168e+01,8.010952287e+01,2.865800902e+00,8.786685949e+01,9.934939064e+01,3.353224915e+01,5.032998365e+01,7.682545186e+01,3.870145931e+01,2.920989690e+01,1.141037915e+01
5.250895372e+01,6.040904647e+01,1.405449362e+01,2.238173798e+01,6.154493106e+01,3.573873429e+01,5.990408412e+01,2.332972679e+01,7.010702812e+01,5.192305350e+00,5.120629751e+01,4.198988763e+01,7.722228165e+01,2.590237897e+01,9.047442366e+01,1.007449732e+00,4.009359929e+01,4.517256534e+01,4.830478806e+01,5.404325906e+01,1.527643514e+01,4.776596940e+01,5.829074586e+01,7.840365874e+01
9.604623913e+01,8.110004447e+01,5.252453584e+01,8.175313231e+01,9.868794475e+01,3.534385232e+01,9.858993748e+01,4.647694526e+01,9.131383016e+00,5.818613309e+01,9.482783646e+01,7.623724193e+01,1.638859401e+01,9.060741379e+01,6.145484001e+01,1.657854118e+01,8.700003480e+01,1.440907967e+01,2.062220886e+01,2.993117812e+01,8.577118360e+01,4.827157195e+01,9.213240258e+01,7.686883243e+01
2.876207130e+01,9.610891518e+01,6.889180689e+01,5.602212710e+01,6.596052132e+01,5.776939877e+01,7.067945222e+01,6.889661503e+00,4.004803435e+01,6.076327326e+01,6.958682982e+01,6.551813509e+01,1.663346958e+01,4.456688975e+01,6.372704876e+01,4.260870115e+01,3.307628067e+01,3.703245280e+01,6.454287388e+00,9.287242688e+01,1.685038455e+01,9.626457261e+01,4.189444922e+00,2.807663324e+01
2.518318805e+01,1.176581641e+01,8.894089278e+01,6.238083542e+01,3.978452632e+01,3.488857969e+01,8.544101240e+01,5.068545814e+01,8.262799790e+01,9.017221992e+01,1.234102920e+01,8.501061488e+01,3.731175553e+01,3.988459812e+01,5.132229832e+01,1.881591039e+01,3.041282991e+01,5.311718871e+01,3.324346758e+01,8.122830815e+00,7.482043000e+01,9.507849159e+01,2.372733069e+01,3.615717452e+01
4.860384618e+01,3.776394997e+01,5.830762405e+01,3.740609153e+01,7.162864467e+01,6.238803885e+01,7.895078202e+01,7.981473227e+01,5.746273567e+01,3.621066888e+01,5.405829427e+01,4.333332718e+01,5.260061380e+01,7.616207953e+01,2.641434082e+01,6.702411334e-01,1.035287182e+01,2.473350597e+01,2.263531759e+01,3.779557717e+01,3.068715195e+01,3.759062417e+01,5.226388323e+01,4.311338501e+01
6.690736408e+01,6.717190840e+01,1.370969189e+01,2.639693755e+01,4.688080417e+01,3.476120662e+01,6.302269353e+01,9.872811991e+01,4.697083690e+01,1.706484453e+01,9.774676135e+01,6.165781098e+00,7.460873449e+01,5.604868129e+01,2.334164783e+01,7.853427924e+01,4.032901781e+01,4.710151176e+01,7.489661329e+01,1.463029352e+01,5.358277294e+01,4.920631663e+01,3.710462674e+01,5.141548828e+00
9.441017132e+01,3.172110238e+01,9.714699815e+01,1.017814932e+01,8.823403176e+00,9.346599924e+01,6.322509148e+01,1.362720981e+01,1.997886409e+01,3.749942762e+01,2.961891500e+01,3.507404162e+01,1.002938522e+01,5.200436214e+01,9.284441655e+01,1.196150906e+01,9.252996707e+01,2.259088750e+01,7.827448117e+00,6.239776154e+01,5.150697252e+00,2.845743918e+01,4.371977513e+01,5.750235102e+01
4.702128299e+01,6.095754423e+01,4.587993303e+01,1.099942892e+01,8.759795785e+01,1.818687781e+01,3.502951775e+01,6.920646254e+01,6.693085235e+01,2.515815664e+01,5.001843400e+01,3.033114527e+01,3.658190040e+00,2.418561318e+01,5.564814954e+01,4.902151292e+00,8.303245743e+01,2.937921329e+01,1.844936650e+01,8.132290543e+01,2.592548903e+01,8.533548936e+01,9.861182294e+01,5.194773022e+01
5.447171264e+00,3.586550650e+01,6.860972254e+01,6.800229300e+01,9.343410110e+01,7.934842496e+01,6.380424947e+01,3.974061072e+01,9.136003164e+01,4.337940901e+01,3.974591220e+01,6.739857747e+01,1.786977751e+01,9.120348448e+01,8.150693152e+01,3.525831303e+01,5.331229714e+01,2.096449344e+01,8.602475568e+01,1.540352633e+01,4.602946987e+01,6.556461068e+01,9.165431394e+01,5.471765135e+01
3.565415035e+01,1.878160906e+01,4.029035675e+01,3.079842835e+01,6.206026125e+01,6.617125498e+01,8.028977355e+01,7.554721788e+00,1.280038757e+01,6.689826290e+01,1.409784511e+00,2.436224677e+01,2.792705154e+01,6.180921428e+00,4.846636231e+01,8.700672418e+01,8.189248321e+00,2.959228000e+01,7.199646901e+00,3.303445967e+01,6.936467481e+01,3.840367483e+01,7.861874427e+01,9.813428753e+01
6.799006488e+01,1.169135963e-01,3.136052275e+01,1.178564769e+01,5.990253524e+01,9.741370154e+01,1.260558343e+00,8.078941831e+01,7.034871925e+01,7.652180542e+01,4.733091152e+01,6.527180198e+00,5.040912719e+01,9.475493334e+01,6.967403097e+00,3.332018316e+00,9.879096397e+01,2.296338734e+01,9.889294273e+01,4.943745316e+01,1.301016637e+01,7.236699101e+01,2.910267959e+01,3.745980275e+01
9.535693630e+01,5.596981356e+00,4.447581976e+01,8.026206200e+01,7.464241043e+00,9.251865572e+01,6.499278393e+01,5.455621526e+01,2.638172300e+01,3.615601248e+01,4.536654829e+01,6.932578167e+01,8.267253740e+01,3.803477159e+01,3.173398080e+01,2.018875213e+01,5.129738203e+01,6.970795111e+01,3.155599622e+01,1.277291412e+01,6.664255592e+01,5.622105721e+01,6.764705594e+01,4.392659086e+01
6.945557153e+01,5.710233935e+01,2.345077086e-01,8.168944270e+01,5.723730762e+01,4.757468029e+00,3.749062300e+01,8.681087430e+01,8.959345597e+01,5.026998121e+01,4.690646431e+01,6.041082654e+01,4.729183018e+01,7.558731888e+01,6.824628574e+01,9.887363714e+01,3.842194480e+01,3.438588739e+01,1.649843324e+01,8.581189651e+01,4.770738381e+01,2.320352581e+01,1.606499939e+01,8.235413280e+01
9.471122849e+00,6.066726729e+01,3.472962516e+01,5.823306271e+00,1.505596614e+00,3.975986470e+01,3.863213267e+01,1.409296347e+01,8.999180569e+00,7.946893420e+01,5.598264033e+01,1.046674435e-01,1.186279211e+00,5.153370785e+01,7.340652495e+01,7.002649815e+01,3.515747799e+01,3.111826200e+01,8.982314004e+01,4.854200370e+01,4.589096529e+00,5.928470584e+01,7.113588888e+01,2.309571219e+01
7.997217041e+01,8.824509731e+01,6.289599403e+01,9.082046626e+01,3.577654716e+01,1.928312888e+01,5.908439839e+01,2.081137993e+01,3.026741076e+01,7.245856557e+01,4.709065459e+01,8.329289665e+01,8.885975545e+01,2.989824009e+01,1.839351016e+01,8.656725273e+01,5.305579462e+01,6.989760594e+01,6.793304098e+01,7.520919789e+01,4.213662543e+01,3.110918222e+01,4.195895320e+01,3.530382997e+01
