v1,v2,v3,v4
8.814362416e+01,6.949312363e+01,9.763314481e+00,3.098311410e+00
6.807594038e+01,5.447901155e+00,9.393923576e+01,6.498185867e+01
4.865391332e+01,7.661286456e+00,3.603771907e+01,7.836987495e+01
9.347171316e+01,1.840061244e+01,4.635623818e+01,7.071589836e+01
5.542810691e+01,9.021979456e+01,6.064257211e+01,7.292197873e+01
6.445227831e+01,1.335920462e+01,4.715991030e+01,8.074404580e+01
3.040988410e+01,5.395242987e+01,3.281827601e+01,7.654675022e+01
1.489287323e+01,6.516786875e+01,1.292274242e+01,8.603699676e+01
6.811356265e+01,8.623489268e+01,8.791466838e+01,9.571567022e+01
4.987060489e+01,1.723663459e+01,5.316538159e+01,5.399827457e+01
7.845458272e+01,3.993641936e+01,9.761933549e+01,9.405083248e+01
2.126100791e+01,1.904921250e+01,3.134866597e+01,4.655896042e+01
8.966044834e+01,3.503431554e+01,9.923789944e+01,1.112734213e+01
5.017633496e+01,5.730328283e+00,2.967355298e+01,2.713108664e+01
9.684004781e+01,3.263445429e+01,9.531032866e+01,7.615693019e-01
4.920712323e+01,5.411622932e+01,1.372950724e+01,7.690238775e+01
1.591210943e+01,9.032241707e+01,6.524577871e+01,1.022770687e+01
2.683546942e+01,3.188192524e+01,9.367536249e+01,8.636762803e+01
1.746193250e+01,2.592838732e+01,6.928165003e+01,3.039431789e+01
3.143860467e+00,4.534648876e-02,3.954204432e+01,2.945150902e+01
9.485195661e+01,1.492271934e+01,8.326652439e+01,7.013456382e+01
9.528082564e+01,6.791693299e+01,9.663650335e+01,2.223818583e+00
5.031050334e+01,4.809417343e+01,6.706722764e+01,2.934140980e+01
1.675021075e+01,5.902751317e+01,7.450161749e+01,4.059294528e+01
3.707197843e+01,4.456034891e+01,1.685469498e+01,4.539364470e+01
8.549681587e+01,6.410125103e+01,9.522590188e+01,9.376238379e+01
5.411826022e+00,9.408093323e+01,1.142880495e+01,3.915302759e+01
1.349909714e+01,5.465168857e+01,2.136324658e+01,6.252272861e+01
5.372905439e+01,5.250929389e+01,4.177319695e+01,6.444501175e+01
6.542396039e+01,8.540704940e+01,2.255439187e+01,9.813346012e+01
8.113504022e+01,3.058171481e+01,2.409714300e+01,8.951051063e+01
4.487710479e+01,6.311869881e+01,9.307432889e+01,2.061931171e+01
9.621723468e+01,4.533496773e+00,1.139228656e+00,6.555446964e+00
2.759432380e+01,9.907502745e+01,6.630462617e+01,3.286221708e+01
8.380410611e+01,2.329030727e+01,2.392769141e+01,2.248686721e+01
3.334946379e+01,8.697935261e+01,1.519309433e+01,8.316044456e+01
6.391368336e+01,4.755022181e+01,7.868443706e+01,8.390333790e+01
9.262071387e+01,8.797630394e+01,5.842601205e+00,1.240593446e+01
3.851020555e+01,8.465554445e+01,9.702283730e+01,8.910702810e+01
5.273450244e+01,2.112761695e+01,6.308781261e+01,4.974143906e+00
9.337161583e+01,2.295214718e+01,6.353136640e+01,4.044597977e+01
6.215641668e+01,5.763983370e+01,2.773577479e+01,4.391944328e+01
4.590144072e+00,5.770765710e+01,6.137502860e+01,1.159798623e+01
5.087664438e+01,5.359415305e+01,7.851198014e+01,1.485289724e+01
1.614450762e+01,9.951468011e+01,7.515357044e+01,1.070665267e+01
9.984192164e+01,7.455903238e+01,6.681882430e+01,7.325206432e+01
4.490181305e+01,4.203948737e+01,6.683873794e+00,4.842336484e+01
9.311767805e+01,6.911800224e+01,6.747104404e+01,8.920923311e+00
1.842390151e+01,6.150787888e+01,6.698207959e+01,7.153879508e+01
4.070473890e+01,6.229592259e+01,9.332521061e-01,9.711398644e+01
6.624589553e+01,1.132327135e+01,4.489610640e+01,8.790847037e+01
5.718414589e+01,8.738816548e+01,4.061599458e+01,5.031557905e+01
4.951094430e+00,3.004153245e+01,1.013900663e+01,1.423150824e+01
8.048256775e+01,9.930235483e+01,4.502066510e+00,1.830697747e+01
7.394893349e+01,8.712938457e+01,5.799191022e+01,6.568930544e+01
9.595330958e+01,3.282666613e+01,2.025315908e+01,5.275870581e+01
8.579957141e+01,1.427294550e+01,1.648183911e+01,1.510139115e+01
7.750542148e-01,2.260953148e+01,4.420454662e+01,9.525063661e+01
2.991740511e+01,9.460004615e+01,5.933465993e+01,4.360081672e+01
2.149450338e+01,8.978777855e+01,8.703609824e+01,1.738403556e+01
1.540774310e+01,1.839403902e+01,7.952786208e+01,3.576826434e+01
5.002894376e+01,5.161160885e+01,9.142551088e+01,5.264203513e+00
8.069855756e+01,1.715922003e+01,7.534814002e+01,7.932113386e+01
8.444277920e+01,8.234476892e+01,8.622525616e+01,5.923537437e+01
7.211166762e+00,4.196157071e+01,7.837259031e+01,2.970487056e+01
3.246912713e+01,3.642076692e+01,3.453419828e+01,5.685761229e+01
2.484302022e+01,4.255256220e+01,7.624887887e+01,5.108281745e+01
5.217235835e+01,3.633395032e+01,3.930248892e+00,7.639990314e+01
6.594403906e+01,9.242797379e+01,4.234168103e+01,9.852409555e+01
9.387863529e-01,8.774379533e+01,7.173346449e+01,9.697536572e+01
8.787070942e+01,6.479839098e+01,2.800442845e+01,3.792177757e+00
8.451647807e+01,7.340548261e+01,7.405108940e+01,2.927124684e+01
1.199704630e+01,7.090076829e+01,5.810583269e+01,8.201929528e+00
8.370697719e+01,5.523189310e+01,6.171040313e+00,4.233234434e+01
4.952484644e+01,5.129181922e+01,5.580748732e+01,7.490379662e+01
5.556322929e+00,6.847471497e+01,5.616210889e+01,4.715522414e+01
2.664364569e+01,2.730295976e+01,3.223448914e+01,6.088028904e+01
3.561898499e+01,8.850467604e+01,3.527480245e+01,8.879533823e+01
2.425851587e+01,7.212921078e+01,6.489015956e+01,7.489871093e+01
7.361449675e+01,5.345323176e+01,1.321838059e+01,1.930583027e+01
2.503822801e+01,5.571035220e+01,5.200990952e+01,5.776433671e+01
5.855008883e+01,8.805530283e+01,2.449813352e+01,5.246734477e+01
3.970891216e-01,6.402455646e+01,3.029811968e+01,6.856756553e+01
4.050861683e+01,2.869315487e+01,2.861874882e+00,4.473180708e+01
2.615592331e+01,5.822791662e+00,4.856390750e+01,4.493739489e+01
1.972445564e+01,7.941311629e+01,6.427024660e+00,7.309720183e+01
8.531913995e+01,4.687498953e+01,1.551263086e+01,9.040733675e+01
2.807551182e+01,9.592825990e+01,6.511087758e+01,4.690050284e+01
4.069940808e+01,1.160631440e+01,3.848143579e+01,8.000642724e+01
8.369363104e+01,5.017785109e+01,3.074298428e+01,2.180436011e+01
1.375290057e+00,8.821480936e+01,1.807758534e+01,1.352624547e+01
2.352205157e+01,4.239557229e+01,7.584651268e+01,5.568640015e+01
5.885250197e+01,7.844918831e+01,6.366068448e+01,4.641234674e+01
4.101677538e+01,4.996727853e+01,4.570018847e+01,3.064101178e+01
7.579056785e+01,5.205234334e+01,7.796384880e+01,1.391613833e+01
4.615510801e+01,3.987233163e+01,6.251966889e+01,3.747020372e+01
4.593935253e+01,7.576124922e+01,8.499753968e+01,4.899332573e+01
7.173001618e+01,3.544799956e+00,3.215256599e-01,2.273714693e+01
6.178230062e+01,8.379809874e+00,4.381087023e+01,6.870864887e+01
3.653257104e+01,5.827201711e+01,6.387743193e+01,3.642279312e+01
5.192550230e+01,5.886820070e+01,5.369909187e+01,1.950116408e+01
3.540095455e+01,9.273009664e+01,1.579420126e+01,1.281590316e+01
3.839621933e+01,7.112755005e+01,3.299989419e+01,3.645362629e+00
4.012500981e+01,5.039024103e+01,9.625102919e+01,3.531121860e+01
1.420250823e+01,8.118834911e+01,5.664395148e+00,4.611189134e+01
3.775548499e+01,6.168932920e+01,1.004945051e+01,8.447103341e+01
1.582647990e+01,4.556446986e+01,5.920016931e+00,3.138978629e+01
2.270604725e+01,1.952537691e+01,9.634670536e+01,7.859210337e+01
5.800618415e+01,6.360900120e+01,3.475115483e+01,2.347338947e+01
3.790727586e+01,7.077959456e+00,6.997721167e+01,5.952817669e+01
4.887244105e+01,7.695432459e+01,1.755618565e+01,6.615766706e+01
5.763355245e+01,6.114178401e+01,8.035223889e+00,9.005687156e+01
1.177157482e+01,4.740529160e+01,6.611271670e+01,8.997044237e+01
5.439526228e+01,9.815619368e+01,8.006853261e+01,8.757291778e+01
2.738323069e+01,1.810597443e+01,4.021807622e+01,8.504467716e+01
2.067630048e+01,4.929339643e+01,8.105495992e+01,5.763387745e+01
2.724212321e+01,5.289924835e+01,9.377978807e+01,9.262827912e+01
8.757387368e+01,6.804096836e+01,5.165763270e+01,9.120798623e+01
9.326156265e+01,5.440817631e+01,3.016932010e+01,7.141334179e+01
4.255404663e+01,1.213616699e+01,7.711142530e+01,7.558724796e+01
9.841747749e+01,2.577755822e+01,9.565853256e+01,5.896744542e+01
6.407463799e+01,4.935517738e+01,9.294306862e+01,9.929039044e+01
2.607942551e+01,3.175144617e+01,7.890670929e+01,3.985066811e+01
5.518797616e+01,3.477132906e+01,8.272959348e+01,5.651991440e+01
1.474122290e+01,7.172600134e+00,4.114675513e+01,8.388447975e+01
7.663759621e+01,1.749091196e+01,1.165325765e+01,4.207542062e+01
5.297821791e+01,8.675802022e+01,6.832767237e+01,9.154395699e+01
7.625838943e+01,1.914581262e+01,1.349450433e+01,7.285096146e+01
5.416681562e+01,7.850133241e+01,5.290655646e+01,2.634581814e+01
3.929385614e+01,8.082458790e+01,2.598172456e+01,8.491828813e+01
4.913697398e+01,8.400124402e+01,1.674226757e+00,4.628818840e+01
5.069070471e+01,3.849875796e+01,7.999542428e+01,6.655939633e+01
2.171158120e+01,2.015235694e+01,3.908263134e+01,1.889228156e+01
5.182646383e+01,5.378223670e+01,3.596698071e+01,8.966174796e+01
5.463521027e+01,6.341777087e+01,3.400790541e+01,6.971485264e+01
6.344563900e+01,3.169669626e+01,4.493689102e+01,2.118769852e+01
1.841861857e+00,3.860825625e+00,9.119292229e+01,9.161694428e+01
1.245703830e+01,3.895678662e+01,2.190639492e+01,2.657213033e+01
4.892237911e+01,1.447871636e+01,8.336304034e+01,9.711551071e+00
3.710506889e+01,2.837344729e+01,7.016801375e+01,8.971484241e+01
7.557800466e+01,8.185407486e+01,4.814483216e+01,6.085717842e-01
6.311277377e+01,8.100224735e+01,3.713631335e+01,3.465705616e+01
1.181447967e+00,5.691367963e+01,9.244694049e+01,5.895755578e+00
6.131509180e+01,9.214249802e+01,2.754514926e+01,4.431907911e+01
1.499012913e+01,7.629865791e+01,8.942223911e+01,9.779645236e+01
7.613013008e+00,5.978596094e+00,8.289762668e+01,9.114987902e+01
9.638915411e+01,3.074626595e+01,1.940166731e+01,2.104319691e+01
6.135004196e+00,7.384373119e+01,5.111222294e+01,1.137138753e+01
3.868461728e+00,8.616193489e+01,1.779698751e+01,8.981774273e+01
3.620236384e+01,1.775652144e+00,6.583606648e+00,3.446037652e+00
7.538826734e+01,6.026901982e+01,7.870981554e+01,5.384170047e+01
9.654226976e+00,7.950620477e+01,6.905770278e+01,9.916457363e+01
9.039852260e+00,1.889316450e+01,7.655238244e+01,2.912344528e+00
1.135391291e+01,5.433384853e+01,1.495724182e+01,8.056057045e+01
8.239587144e+01,4.227888459e+01,6.312058970e+01,6.679321298e+01
4.647200602e+01,2.006206107e+01,1.608773324e+01,1.479301885e+01
3.232661955e+01,8.023373324e+01,4.477520679e+01,4.954923147e+01
9.968164590e+01,7.232215900e+01,7.442690544e+01,4.367769632e+00
6.165883807e+01,7.644213246e+01,4.318860752e+01,3.699549782e+01
8.052532146e+01,7.657842345e+01,5.622095443e+01,4.114362334e+01
1.017519446e+00,6.274852172e+00,3.864641569e+01,3.831259663e+01
4.133156977e+01,6.978676156e+01,8.471999672e+01,8.326137032e+01
3.882250320e+01,8.320518343e+01,6.591096784e+01,1.508495345e+01
8.743450302e+01,7.966822230e+01,1.885601758e+00,3.811709920e+01
3.367119290e+01,4.979863633e+01,2.627688079e+01,1.214107235e+01
3.018743152e+01,2.962468336e+01,1.837521889e+01,6.242000992e+01
6.904085537e+01,9.675248281e+01,9.275120128e+01,1.194338115e+01
8.195812393e+01,2.529730553e+01,7.332389638e+01,6.733325650e+01
5.823154496e+01,1.993080604e+01,4.215577389e+00,5.785916682e+01
9.837096660e+01,4.074968261e+01,4.272821335e+01,2.053851167e+01
1.450907872e+01,5.115758599e+01,1.794857375e+01,8.474162566e+01
9.717307268e+01,4.290087159e+01,6.429965952e+01,2.085752109e+01
9.807021815e+01,5.680859348e+01,3.617425680e+00,9.672877900e+01
7.916921627e+01,7.444369645e+01,1.215781503e+01,6.834096901e+01
1.564363308e+01,8.555272712e+00,7.813837417e+01,6.398566927e+01
6.579624510e+01,7.999140095e+01,1.813070291e+01,1.556299793e+01
3.181513205e+01,3.608173505e+01,4.183968841e+01,4.249514343e+01
9.729193782e+01,9.395044933e+01,3.397212708e+01,7.600131268e+01
5.973312021e+01,9.117068707e+01,2.555567136e+01,8.668488195e+00
6.538302144e+01,9.056947354e+01,7.552599500e+01,8.159156669e+01
9.385486453e+01,7.520346898e+01,8.969846246e+01,8.574461883e+01
5.328861069e+01,2.761271838e+01,9.331020840e+01,9.105704703e+01
5.532779800e+01,1.053824155e+01,3.634871930e+01,8.742673912e+01
8.954686824e+01,3.355608623e+01,8.425472834e+01,4.574727056e+00
2.862358152e+01,6.048900192e+00,3.565690145e+01,2.033046662e+01
5.962534217e+01,2.586556795e+01,6.042987720e+01,5.717771866e+01
9.226037830e+01,1.625963818e+01,1.730556984e+00,5.578067310e+01
1.375891504e+01,1.858239778e+00,4.663414358e+01,4.264035491e+01
1.777237096e+01,5.931365424e+01,3.805318954e+01,1.180213066e+01
9.403365179e+01,9.197218316e+01,3.437989375e+01,2.845066698e+01
2.942895268e+01,2.275706434e+01,7.702839954e+01,1.538135350e+01
7.641274727e+01,2.198688525e+01,2.905596431e+01,1.084327466e+01
8.100245713e+01,7.404649123e+01,5.596599765e+01,6.377899251e+01
5.699258026e+00,3.377888780e+01,7.615416631e+01,3.670652784e+01
6.141394233e+01,7.775445751e+01,8.878674941e+01,7.456607620e+01
8.975842219e+01,5.706406075e+01,4.743631344e+01,1.068468181e+01
5.724968921e+01,3.498312056e+01,2.745898547e+01,2.356670680e+00
2.548413490e+01,2.481956740e+01,4.252545996e+01,7.868312984e+01
5.169675294e+00,7.025061703e+01,3.663944898e+01,5.433168065e+01
1.207280616e+00,5.601168477e+01,1.257604597e+01,8.127300659e+01
3.890186737e+01,3.944992143e+01,5.426851521e+01,4.161465547e+01
6.692936904e+00,9.287077344e+01,7.086724307e+01,5.055874415e+01
9.673786003e+01,7.164114993e+01,3.359929687e+01,2.223542676e+01
2.378801711e+00,2.665277059e+01,1.150101457e+01,7.449363018e+01
5.981138190e+01,4.409603285e+01,2.119518068e+01,9.747228868e+01
7.868520108e+01,6.287687057e+01,8.781881742e+01,3.615569672e+01
3.933442056e+01,6.565705382e+01,1.509547379e+00,2.099363658e+01
9.305069772e+01,3.138195966e+01,1.045932254e+01,1.567280134e+01
7.807604945e+01,4.635591913e+00,1.058257745e+01,3.554113881e+01
1.951055986e+01,6.178729009e+01,6.647403681e+01,8.367632404e+01
5.773871699e+00,1.115748195e+01,9.199336184e+00,5.319280732e+01
4.343058239e+01,1.232997790e+01,8.066785389e+01,3.392396328e+01
5.224972423e+01,9.776126580e+01,8.445210854e+01,7.756520101e+01
3.914132101e+01,8.051226703e+01,1.400174485e+01,6.748978713e+01
7.827253161e+01,2.506121452e+01,2.924696854e+01,1.415359045e+01
4.799183190e+01,6.455175557e+01,7.724695196e+01,4.216024612e+01
5.930079097e+01,4.162826094e+01,3.441647735e+01,8.300652751e+01
6.465883753e+01,6.831951496e+01,7.492481602e+01,5.677971022e+01
8.806188199e+01,8.005816440e+01,4.957294651e+01,1.341935127e+00
1.981986914e+01,7.733604709e+01,8.242845650e+01,7.976026737e+01
4.903796395e+01,1.075502508e+01,1.157716759e-01,4.574860914e+01
8.822431262e+01,3.576921663e-01,3.158060535e+01,6.313963103e+01
9.008028055e+01,1.823889005e+01,3.532908215e+01,1.585730053e+01
4.288227670e+01,8.369102758e-01,7.561764486e+01,2.644954202e+01
4.354072060e+01,7.378420890e+01,6.778491675e+01,9.448132905e+01
2.748817054e+01,4.914698359e+01,9.289680291e+01,5.457064605e+01
8.581181932e+01,8.072165317e+01,9.847712346e+01,4.561743560e+01
6.236458684e+01,1.029460579e+01,3.829064583e+01,1.546777667e+01
5.271255397e+00,6.251109167e+01,4.417368777e+01,4.422268982e+01
6.458262178e+01,6.266437719e+01,2.513575151e+01,5.981963253e+01
3.741097589e+00,4.712212540e+01,3.195569571e+01,6.331729012e+01
8.308195772e+00,1.009088877e+01,9.100294509e+01,6.338184150e+00
4.945844359e+01,9.844075493e+01,4.070517123e+01,8.554331000e+01
4.755644966e+01,4.503344324e+01,4.553519760e+01,4.062547291e+01
7.287910516e+01,2.655329614e+00,6.556224347e+01,9.036631514e+00
5.813142991e+01,7.412488837e+01,4.202074069e+01,8.465027056e+01
2.393326342e+01,1.404057391e+01,9.181723979e+01,8.044280341e+01
1.715097678e+01,9.526521809e+01,9.833500870e+01,8.085126840e+01
4.236954856e+01,7.663931102e+01,1.744262615e+01,5.352957383e+01
6.660473854e+01,3.585539614e+01,4.845924902e+01,1.824657350e-01
8.020750400e+01,3.037360416e+01,9.792386394e+01,7.248352161e+00
7.232226235e+01,3.296574836e+01,2.416358681e+01,8.021520655e+01
1.810616552e+01,9.142721859e+01,7.401026721e+00,3.112104183e+01
4.735039505e+01,4.771167601e+01,2.340741686e+01,5.470013422e+01
8.986994918e+01,5.177072707e+01,2.263843156e+01,4.484888348e+01
2.367252922e+01,9.263129184e+01,7.107445897e+01,9.802247057e+01
1.228722413e+01,7.461151588e+00,1.701023716e+01,9.314826400e+01
4.500175862e+01,5.501121274e+01,9.477520272e+01,1.915831348e+00
4.201506330e+01,9.602436843e+01,2.003632076e+01,7.046833653e+01
7.939762689e+01,4.909382306e+01,1.093448638e+01,7.330328159e+01
6.122182973e+01,6.297492141e+01,9.017908012e+01,6.598574548e+01
5.694748508e+01,7.502148539e+00,9.023306706e+01,3.624153831e+01
8.017036578e-01,5.785732254e+01,1.301168603e+01,4.735519631e+01
5.150187307e+01,8.302998704e+01,3.559479465e+01,7.967044068e+00
7.247891948e+01,9.875803470e+01,6.033730676e+01,3.757512565e+01
2.462860561e+01,1.946348703e+01,8.312291941e+01,8.124754114e+00
7.500097653e+01,1.299373737e+01,9.872490153e+01,8.672535829e+01
2.622636776e+01,1.758908533e+01,3.971329442e+01,5.746177872e+01
7.329866694e+01,8.436739358e+01,3.899426317e+01,1.800991868e+01
7.431141920e+01,8.963569894e+01,1.032638667e+01,8.625380135e+01
1.093061064e+01,9.231352212e+01,5.331173672e+01,3.902649565e+01
2.588630005e+01,1.391580610e+01,7.006000501e+01,3.266247765e+00
4.420948343e+00,6.541639803e+01,2.163721069e+01,2.999142606e+01
5.647462833e+01,1.501670651e+01,2.631188129e-01,6.512023142e+01
7.682306547e+01,1.097728433e+01,2.089064320e+00,8.594897168e+01
9.762126725e+00,8.558728610e+01,9.154020321e+01,3.371945267e+01
4.318086620e+00,6.234656897e+01,8.028751296e+01,5.325515417e+01
9.824149817e+01,7.589899959e+01,1.970550457e+01,7.032057968e+01
4.178592523e+01,7.053658690e+01,8.726151853e+01,4.936822134e+01
5.443515615e+01,9.559197171e+01,3.618488167e+01,6.794091332e+00
8.598132804e+01,2.314102397e+01,7.292900877e+01,2.913558548e+01
8.774958717e+01,3.764474931e+00,3.990171158e+01,1.745163157e+01
8.188415403e+01,6.097189777e+01,2.303233416e+01,4.336839894e+01
9.990425390e+01,3.563713350e+01,3.247373377e+01,2.959392136e+01
1.201928873e+01,2.077162470e+01,1.789575036e+01,1.127451756e+01
9.067143249e+01,3.096993404e+01,8.982418847e+01,9.687981323e+01
8.077976657e+01,3.884996516e+01,5.507793524e+01,1.227695637e+01
8.839208323e+01,7.017085953e+01,8.182174030e+01,8.299746934e+01
8.249333267e+01,2.696549695e+01,6.447243659e+01,1.706204620e+01
2.182153176e+01,4.427027834e+01,5.919701452e+01,2.877585673e+01
1.690394053e+01,6.754568268e+01,4.294542881e+01,3.123202710e+01
5.948945794e+01,6.937937497e+01,5.681351576e+01,5.910336183e+01
7.119207103e+01,1.658199086e+01,5.788478988e+01,9.217388139e+01
6.051305052e+01,9.444083183e+01,1.126065401e+01,2.594158424e+01
7.376661436e+01,8.889982648e+01,4.137685571e+01,7.137486656e+01
7.416241779e+01,4.737875494e+01,6.233697390e+01,9.598278487e+01
9.379030406e+01,9.707619159e+01,6.988026387e+00,6.932660166e+01
6.913575375e+01,2.642487133e+01,9.983754347e+01,4.400585887e+00
7.449704508e+01,4.650203968e+01,1.365114154e+01,2.862716157e+01
5.207960314e+01,6.372297720e+01,8.467417957e+01,1.853645735e+01
8.942341049e+01,2.749664999e+01,5.125721202e+01,4.108914830e-01
8.502982699e+01,2.439888822e+01,8.600225035e+01,8.370235230e+01
6.617671022e+01,3.300919498e+01,5.233597329e+01,2.470404570e+01
5.928437072e+01,9.533143886e+01,2.011752649e+01,8.801924808e+01
2.510295351e+01,2.653362181e+01,7.415142293e+01,4.793746934e+01
2.787416205e+01,9.837506119e+01,1.566333578e+01,5.428404085e+01
5.310890208e+01,6.684517863e+01,4.039168960e+01,2.728458508e+01
4.725671061e+01,8.950763784e+01,8.342874017e+01,7.170000955e+01
6.007047579e+01,6.993317712e+00,6.249306571e+01,4.011307949e+01
