v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36
5.983161744e+01,5.384397725e+01,3.133616329e+01,7.254364366e+01,8.451697952e+01,5.369511192e+01,6.093833902e+01,8.130879441e+01,8.120164671e+01,7.122972260e+00,9.791688723e+01,1.085824272e+01,4.611857200e+00,5.280801343e+01,8.362891689e+00,8.856885173e+01,2.811330057e+00,1.622343165e+01,7.097165603e+01,2.839824457e+01,6.658327071e+01,9.735893103e+01,1.923134020e+01,7.960322192e+01,5.997415222e-01,3.095150206e+01,2.838802142e+01,3.572296846e+00,9.605193539e+01,7.186777248e+01,9.473335350e+00,4.347136672e+01,8.404392710e+01,7.774651598e+01,1.289764371e+01,5.691903360e+01
4.973415249e+01,9.121098016e+01,6.136224765e+01,2.494987485e+01,4.454455099e+01,4.472737327e+00,5.506752241e+01,4.999638083e+01,5.278339036e+01,2.743629832e+01,7.186181976e+01,3.454174823e+01,8.394694579e+01,8.490408004e+00,6.556708336e+01,9.687151714e+01,3.362561275e+01,1.307983920e+01,1.061579406e+01,1.758236247e+01,9.302455319e+01,1.704805371e+01,2.053799634e+01,5.025073117e+01,1.847927094e+01,2.838326403e+01,3.955681351e+01,5.812050208e+01,9.333612668e+01,1.863422282e+01,6.851300505e+01,8.864660087e+01,6.759462208e+01,4.285923981e+01,5.322535102e+01,3.346969624e+00
9.260606430e+01,4.436902966e+01,1.357983167e+01,8.067463684e+01,1.205938220e+01,6.274884426e+01,9.092976248e+01,5.605555106e+01,9.625514952e+01,5.988363005e+01,5.849490955e+01,3.971225417e+01,2.795789511e+01,5.165205078e+01,6.275570595e+01,9.149739656e+01,1.030064971e+01,6.562516405e+01,8.400744986e+00,8.887679597e+01,9.330327228e+01,2.105059301e+01,9.268848190e+01,2.637846714e+01,9.169148301e+00,8.278749319e+01,9.773226242e+01,9.338073014e+01,1.379912594e+01,9.906892393e+01,4.986249726e+01,6.415344516e+01,9.567850960e+01,6.132349121e+01,8.972995761e+01,2.920920752e+01
9.001058226e+01,1.431859967e+01,6.540504532e+00,8.008772577e+01,8.374684715e+01,9.126464158e+00,6.873086280e+00,2.822382330e+01,6.222215786e+01,8.851359761e+01,3.091285381e+01,2.731200208e+01,7.844762537e+01,7.416935914e+01,1.917899462e+00,6.294996703e+01,6.516516234e+01,4.708905319e+01,5.530910422e+01,3.768076119e+00,2.477835286e+01,2.744964208e+01,3.328818747e+01,4.014544726e+01,6.360072369e+01,5.253693107e+01,6.366122160e+01,2.390138353e+01,1.011495281e+00,3.674388679e+01,4.721848287e+01,1.974531748e+01,7.960569607e+01,7.655344354e+01,2.582756041e+01,7.002688575e+01
4.501621026e+01,9.952446218e+00,7.360282784e+01,6.946825659e+01,6.972633206e+01,4.119317304e+01,4.530854175e+01,9.157176360e+01,9.838255331e+01,3.740297632e+01,3.672259203e+01,9.900210530e+01,4.285212618e+01,1.664600561e+01,1.794380568e+01,4.286602463e+01,7.597809296e+01,4.074920225e+01,5.984329461e+01,3.941692477e+01,7.396094643e+01,9.913699852e+01,6.120797988e+01,9.280275068e+01,9.776074091e+01,3.825504968e+01,5.032040148e+01,9.652239570e+01,1.029670334e+01,8.588921828e+00,2.916974754e+01,3.515467909e+01,4.557559899e+01,6.391884362e+01,5.477902426e+01,7.404928246e+01
2.935874299e+00,8.433031557e+01,1.206350930e+00,5.610350691e+01,2.935416647e+01,3.827123977e+01,1.201327254e+01,1.323292408e+01,9.555194167e+01,1.011546933e+01,4.647872842e+01,1.659010843e+01,6.207983994e+01,8.122127448e+01,5.874650181e+01,4.804590487e+01,4.855065285e+01,2.507766930e+00,2.455276102e+01,4.196550859e+01,7.987327347e+01,1.302575445e+01,2.193530130e+00,6.346898560e+01,4.891938666e+01,8.605069906e+01,9.174981284e+01,5.090025726e+01,2.595590866e+01,1.915890188e+01,5.696463832e+01,4.220807488e+01,5.275040755e+00,6.670255919e+01,2.488948818e+01,6.396031128e+01
5.363952880e+00,5.224980071e+01,3.602009310e+01,4.926178176e+01,5.095422150e+01,7.155591690e+01,4.805141811e+01,3.139978454e+01,3.614505070e+01,6.769262694e+01,8.870563444e+00,7.436319169e+00,8.719336066e+01,5.861650091e+01,1.465675633e+01,7.962975611e+01,2.622449987e+01,9.977674004e+01,4.229951885e+01,6.903537350e+01,9.741808012e+01,8.886712760e+01,7.149237242e+01,2.820576017e+01,1.648690376e+01,9.224766296e+01,2.380788334e+01,6.492013419e+01,7.710525817e+01,9.567987561e+00,3.819595859e+01,1.394806793e+01,9.823753086e+01,2.528149477e+01,1.896275100e+01,8.480390601e+01
6.402172273e+00,4.813497360e+00,1.932084069e+01,7.477069524e+01,2.355770860e+01,2.740793778e+01,9.412923553e+01,1.145493829e+01,2.962289407e+01,9.998776269e+01,3.227739159e+01,3.084971885e+01,9.518502915e+01,2.076710687e+01,9.105371741e+01,3.427277847e+01,9.578556405e+01,8.417334647e+01,1.344868524e+01,5.656843006e+01,8.264590072e+01,1.422737247e+01,8.048766566e+01,9.317437893e+00,3.796330863e+01,8.806233195e+01,5.432926182e+01,1.735528923e+01,3.135095137e+01,6.217642667e+01,9.081671738e+01,7.561446736e+00,6.507799114e+01,7.189446670e+01,6.071879469e+01,2.169264375e+00
8.328142611e+01,1.143805581e+00,6.723234331e+01,9.503866186e+01,2.926797724e+00,7.925005233e+01,1.886763235e+01,4.712140819e+01,2.317395800e+00,6.464339146e+01,7.009463567e+01,2.670691534e+01,6.009822374e+01,5.221361210e+01,6.081529408e+01,8.874385459e+01,6.026418649e+01,8.825774252e+01,5.412457762e+01,9.974191337e+01,2.947701042e+01,4.640349301e+01,3.801534746e+01,4.283885115e+01,2.901779039e+01,3.606016391e+01,5.041606495e+01,5.258869471e+01,9.318411493e+01,3.296654437e+00,4.208000701e+01,2.192160591e+01,5.737586569e+00,8.055990772e+01,5.165757801e+00,7.692271719e+01
6.573300070e+01,3.175143607e+01,4.239154685e+01,7.967148279e+01,9.458361895e+00,5.769987200e+01,5.838159921e+01,7.472255314e+01,5.828901753e+01,4.254791517e+01,7.904076912e+01,1.195831088e+00,2.130848899e+01,7.767970145e+01,2.509747206e+01,7.586026902e+01,2.694734524e+01,7.074924712e+01,4.817523114e+01,6.264210715e+01,5.120915121e+01,1.091469958e+01,6.647481903e+00,8.982848868e+01,5.560451297e+01,1.329884119e+01,7.005332459e+00,2.187855083e+01,4.116714160e+01,7.141546612e+01,5.523478956e+01,8.153949944e+01,1.221645082e+01,4.197834812e+01,4.265140880e+01,8.417579927e+01
2.486283854e+01,2.974644532e+01,7.280767690e+01,2.446024198e+00,7.242650899e+01,6.196515912e+01,3.335510079e+01,8.094062664e+01,9.285233510e+01,7.794595303e+01,9.194816256e+01,1.418922917e+01,3.598873396e+00,7.840469383e+01,1.938950134e+01,9.546230400e+01,9.301042325e+01,9.723962191e+01,1.138954990e+01,7.139668640e+01,4.364532068e+01,7.202580165e+01,3.740889278e+01,9.595069442e+01,7.363828108e+01,7.896889495e+01,4.732541773e+01,5.583612089e+01,6.841178295e+01,1.144266466e+01,6.964284395e+01,1.683425695e+01,4.472203595e+01,3.753525163e+01,4.816161455e+01,8.492387410e+01
3.246348544e+01,1.113337898e+01,5.009331157e+01,1.294362671e+01,9.229333086e+01,3.880625442e+01,5.653071478e+01,5.975694629e+01,1.413727581e+01,7.510141851e+01,9.551704990e+01,2.595132217e+00,8.560657265e+01,3.750819225e+01,2.854675529e+01,4.342111597e+01,2.344344635e+01,4.699419633e+01,3.853180544e+01,5.291168740e+01,6.561653443e+01,1.642314483e+01,4.973992008e+01,7.950732790e+01,7.621082861e+01,1.691887954e+01,7.760712574e+01,8.038263125e+01,1.549095883e+01,9.444501915e+01,4.998898539e+01,9.638980615e+01,1.961335764e+01,5.237227636e+01,2.135074886e+00,1.321500729e+01
3.068068659e+01,4.768811086e+00,3.097041738e+01,4.475920304e+01,3.267548259e+01,4.006844746e+01,3.275562467e+01,3.972720025e+01,5.145662417e+01,9.644280309e+01,4.317145665e+01,7.218747458e+01,4.124563753e-02,8.955656605e+01,6.081278000e+00,3.238430767e+01,8.793700149e+01,4.266543799e+01,5.041706890e+01,5.891430505e+01,8.245176173e+01,4.012811398e+00,2.419489452e+01,1.834296658e+01,6.957963480e+01,2.658718697e+01,6.390535937e+00,1.677435033e+01,8.091912353e+01,7.468065544e+01,6.313536090e+01,2.406873746e+01,7.422561556e+01,3.267185018e+01,7.957165635e+01,7.360499854e+01
6.628617881e+01,8.077970236e+01,9.368837244e+00,5.206654853e+01,1.869994655e+01,9.086121040e+01,1.442587353e+01,4.257674145e+01,5.970353809e+01,8.092054688e+01,2.674706070e+01,5.882616490e+01,1.195259340e+01,5.505805119e+01,8.293843747e+01,2.188691652e+01,4.612310390e+01,9.117947370e+01,1.252132536e+01,4.443242068e+01,1.682944397e+01,4.277146290e+01,9.207418274e+01,9.134678271e+01,4.394214421e+00,8.808149659e+00,2.890088652e+01,8.602269596e+01,1.270743811e+01,8.033515871e+01,7.007686233e+01,4.612688387e+01,1.747764431e+01,1.175087227e+00,7.241091851e+01,6.551393460e+01
6.519801432e+00,2.458414414e+01,8.757852443e+01,8.452671357e+01,2.219472937e+01,5.159156999e+01,9.560181313e+01,9.679018715e+01,2.411669587e+01,6.869914996e+01,5.157560040e+01,2.334834234e+01,1.207328687e+01,7.499447396e+00,3.738758464e+01,3.185072441e+01,3.807612093e+01,2.537417288e+01,8.128066352e+01,4.991274899e+01,5.247974397e+01,5.806127470e+01,3.023566838e+01,1.865967770e+01,1.728894394e+01,2.193698079e+01,4.857275765e+01,5.668075580e+01,3.425266582e+01,1.087305108e+01,3.142258370e+01,6.177566501e+01,8.415530227e+00,5.433619999e+01,4.471112083e+01,3.376440337e+01
8.167316143e+01,3.251276206e+01,7.161267682e+01,7.988305733e+01,7.232853024e+01,2.565392982e+01,6.599992329e+01,5.147152457e+01,3.919726545e+01,1.831456861e+01,2.208660151e+01,9.132923899e+01,5.706869004e+01,3.070900675e+01,4.708787680e+01,4.120188257e+01,8.283775716e+01,1.865113791e+01,5.869636050e+01,5.844335313e+01,8.796626653e+01,6.480226248e+01,4.925738641e+01,8.923187481e+01,4.263926360e+01,1.598591747e+01,6.609340727e+01,5.465193662e+01,2.787590694e+00,4.897030508e+01,7.497633316e+01,1.920166395e+01,1.843920815e+01,8.020852851e+01,6.870999882e+01,4.913846871e+01
7.937177858e+00,7.186085267e+01,4.206513907e+01,8.612139236e+01,7.521115968e+01,3.377588762e+01,8.553200753e+01,6.239699826e+01,7.963171496e+01,3.266525899e+01,5.589131505e+01,8.176338937e+01,6.246636080e+01,9.642197419e+01,5.612959540e+01,6.905029663e+01,9.342137682e+01,7.171873724e+01,1.784120208e+01,5.229886635e+01,8.757429267e+01,3.003774002e+01,6.997829019e+01,6.500426379e+01,7.755183811e+01,8.165473783e+01,4.280342104e+01,1.571597719e+01,4.293626668e+01,4.686199800e+01,5.707456840e+01,6.357836955e+00,8.687017934e+01,9.379348828e+01,8.014948847e+01,6.377642034e+00
8.335418921e+01,2.284160347e+01,2.754592757e+01,1.140924292e+01,5.880119274e+01,1.297267499e+01,6.706655556e+01,8.697253691e+01,2.564712733e+00,7.480394944e+01,4.099854261e+01,2.657371803e+01,5.159039778e+01,3.202711353e+01,5.106010229e+01,3.814285546e+01,9.485808284e+01,3.043405603e+01,7.598674636e+01,1.309244163e-01,2.597735645e+00,1.605731566e+01,6.694159702e+01,5.298909216e+01,2.445412715e+01,3.789068096e+01,6.009428050e+01,4.092794256e+00,2.036319924e+01,8.986067970e+01,6.109262151e+01,9.750951583e+01,7.341388282e+01,7.583566659e+01,1.613164255e+01,7.158244011e+01
5.610978873e+01,9.245134663e+01,6.656737151e+01,3.576176289e+01,4.433875982e+01,1.268573925e+01,9.312541232e+01,4.692254693e+01,5.171538839e+01,4.038536515e+01,5.368061269e+00,7.036568621e+01,1.701702764e+01,1.307037335e+01,8.844614159e+01,2.468737090e+01,8.334273743e+01,1.746280375e+01,6.841045803e+01,9.551870521e+01,2.534568062e+01,8.172982112e+01,9.249093072e+01,3.963882719e+00,5.318003231e+01,5.744756264e+01,6.131004530e+01,7.284356759e+01,8.595564326e+01,2.229610797e+01,9.365681057e+01,9.997546416e+01,1.958803458e+01,3.993210891e+01,1.979629243e+00,4.029199890e+01
7.293023134e+01,5.553060599e+01,3.071483933e+01,6.650118914e+01,5.818096457e+01,8.443593971e+01,2.599348335e+00,7.873750974e+01,7.363877846e+01,2.536861980e+01,1.631964139e+01,5.306277114e+01,3.908743805e+01,8.588209496e+01,6.069105503e+01,8.815273829e+01,6.393016290e+01,8.455560395e+01,7.605371229e+01,3.120720264e+01,8.580422515e+01,6.053067169e+01,7.812923456e+01,5.346584802e+01,7.657939097e+01,2.744178679e+01,7.722643736e+01,5.855668659e+01,1.874335416e+01,4.498022588e+01,5.641864248e-01,3.335279081e+01,6.474576608e+01,3.584299302e+01,5.005027502e+01,8.771249379e+01
1.431983403e+01,4.715550791e+01,4.980320434e+01,4.724519564e+01,8.421722797e+01,5.803853144e+01,1.707625328e+01,5.698792507e+01,2.618454061e+01,9.462044690e+01,3.599979994e-01,7.728454282e+01,1.029052506e+01,7.809793133e+01,3.901533791e+01,2.294889003e+01,1.590017123e+00,3.824260084e+01,6.960467468e+01,8.492421652e+01,2.226013640e+01,2.611167825e+01,3.719970603e+00,1.847954808e+01,1.494446117e+01,8.561689330e+01,3.822959378e+01,7.304989090e+01,7.913506585e+01,9.413785354e+01,6.037243121e+01,6.349901086e+01,3.304125168e+00,9.501150660e+01,8.631304028e+01,5.579523430e+00
6.673706411e+01,6.826841844e+01,9.051689496e+01,4.502945025e+01,7.129199371e+01,4.668639121e+01,1.346840461e+01,9.508984757e+01,2.311224892e+01,1.234044495e+01,7.891363601e+01,6.284703108e+00,8.675151185e+01,1.381343675e+01,9.474627686e+00,5.654308319e+01,9.636622172e+01,9.445533275e+01,1.381125214e+01,1.917655780e+00,1.182993563e+01,1.545966094e+01,8.652959107e+00,9.428719953e+01,6.610050188e+01,9.531833871e+01,2.161400688e+01,6.196785723e+00,9.915860087e-01,6.975947628e+01,7.933867623e+00,1.953530216e+01,5.392677306e+01,2.299311297e+01,6.045894415e+01,8.075701364e+00
3.001277775e+01,8.545327501e+01,2.321108457e+01,6.667289607e+01,3.648376964e+00,4.965633379e+00,6.772922006e+00,1.823355037e+01,7.979937728e+01,8.981514001e+01,9.918004760e+01,1.334829027e+01,8.602697327e+01,8.043288696e+01,7.874660912e+01,1.664179880e+01,7.539754501e+00,7.989754014e+01,3.716976959e+01,2.544154206e+01,6.993381475e+01,1.514056290e+01,8.637085308e+01,5.693628719e+01,7.743099639e+01,6.513166512e+01,6.732190633e+01,8.692307191e+01,9.841196600e+01,8.911158459e+01,7.567588883e+01,3.449530157e+01,8.888751893e+01,3.135182769e+01,6.493204699e+01,2.755734550e+01
7.191350819e+01,8.929857163e+00,2.110029859e+01,6.044979053e+01,2.692504253e+01,4.130025331e+01,4.299353143e+01,3.521882308e+01,3.717413648e+01,2.335283362e+01,1.908537463e+01,5.585476434e+01,7.857152565e+01,2.353338654e+01,9.317114880e+01,6.968415084e+01,4.574318788e+01,9.327699164e+01,2.505688347e+01,6.009652676e+01,6.555965502e+01,3.348918509e+01,7.115452416e+01,1.760389503e+01,2.185847029e+00,3.503585520e+01,4.176891828e-02,7.873117169e+01,8.104439708e+01,6.069804815e+01,6.955151926e+01,7.634846525e+01,7.370160137e+01,9.131044239e+01,4.205619022e+01,3.553891814e+01
9.866616002e+01,8.671913424e+01,4.662792134e+01,8.523051960e+01,2.386945618e+01,1.831763915e+01,7.295587093e+01,5.468923195e+01,9.037907468e+01,9.016306836e+01,8.917518263e+01,2.568993539e+01,1.596832984e+01,3.766801679e+01,9.049153295e+01,2.922967159e+01,9.236569426e+01,7.461511601e+01,3.057706845e+01,3.964188493e+01,8.612225340e+01,1.646819098e+00,6.418331225e+01,1.516110137e+01,2.368554352e+01,7.049926382e+01,4.621199711e+01,2.862340952e+01,3.169792135e+01,7.781894325e+01,9.082696314e+00,7.853583019e+01,9.877898968e+01,7.791060171e+01,7.690721162e+01,2.513900269e+01
6.196777706e+01,9.092671165e+01,2.041274782e+01,3.734256873e+01,6.654105857e+01,8.913959902e+01,5.727672859e+01,7.348059590e+01,2.884828084e+01,9.497219483e+01,4.752787750e+01,7.820596033e+01,8.264323000e+01,1.193347747e+01,1.359781183e+01,3.412269460e+01,1.074981211e+01,4.021981127e+01,3.748605068e+01,6.957602066e+01,1.987711505e+01,6.019953285e+00,4.129055314e+01,3.478146236e+01,4.451183158e+01,8.054738785e+01,1.637116151e+01,6.781525346e+01,1.176578745e+01,1.254232245e+01,6.836283372e+01,2.288559664e+01,1.406661136e+01,2.870163060e+01,7.324718081e+00,8.825792313e+01
8.758126430e+01,4.340700157e+00,7.766475496e+01,3.108111194e+01,4.593317441e+01,8.660125178e+01,2.275075249e+01,8.630242111e+01,7.175451164e+01,3.566398960e+01,9.310036228e+00,4.430428323e+01,8.532261322e+01,5.739327682e+01,6.917415123e+01,6.637873732e+01,4.153985356e+01,4.003479029e+01,7.026728610e+00,3.981997325e+01,6.736794687e+01,7.633816719e+01,8.649306429e+01,9.565955951e+01,7.197091258e+00,4.664265581e+01,9.364062781e+00,7.120020313e+01,4.692797083e+01,2.835745938e+01,2.021373263e+01,7.215631314e+00,8.573966887e+01,8.706396305e+01,3.835894649e+01,8.763202917e+01
1.578423670e+01,4.833833043e+01,6.603817739e+01,4.938175080e+01,2.917965599e+01,8.230010292e+01,2.778178166e+01,8.024597488e+01,8.798561947e+01,5.166418334e+01,6.807263231e+01,7.092968179e+01,6.160781423e+01,4.664390734e+01,2.029632101e+01,5.175299834e+01,8.040143021e+00,9.648333088e+00,7.363526925e+01,8.048174335e+00,3.237383851e+01,3.746685868e+01,1.296236076e+01,4.314307871e+01,9.160190754e+01,2.963264248e+01,8.536458388e+01,6.929977042e+01,3.379946345e+01,8.626135821e+01,2.978470511e+00,3.109681505e+01,2.994354067e+01,8.505970004e+01,2.678420789e+00,5.275994227e+01
7.768564106e+01,7.718391390e+01,8.369590964e+01,3.942011679e+01,8.557100359e+01,6.147239837e+00,9.448126397e+01,2.855404236e+01,4.126271836e+01,4.651063768e+01,3.545841945e+01,6.785379210e+01,7.956578303e+01,4.857787260e+01,3.896118944e+01,8.132577114e+01,6.652635697e+01,2.596054590e+01,4.365931247e+00,4.801557973e+01,8.221064565e+00,9.851161756e+01,5.654805026e+01,2.675718202e+01,9.485659503e+01,1.254993061e+01,1.072634799e+01,5.611047793e+01,1.018816459e+01,3.040228427e+01,1.450126926e+01,6.696837036e+01,6.528542502e+01,2.923943019e+01,7.929193033e+01,5.861316260e+01
3.633129104e+01,7.319137922e+01,4.671621317e+01,6.130429160e+01,2.749718469e+01,9.420011927e+01,2.388312023e+01,2.581422517e+01,9.414323386e+00,4.123910483e+01,4.056968349e+01,3.053372195e+01,2.433236304e+01,6.305813080e+01,7.821570432e+01,5.023521730e+01,2.249506216e+00,8.445107210e+01,4.598664489e+01,4.951993761e+01,9.392014919e+01,8.538965540e+01,6.601845499e+01,1.628673634e+01,1.864216213e+01,2.543256242e+01,8.751117570e+01,8.055406997e+01,6.047612385e+01,7.834372146e+01,5.672277668e+01,7.764066226e+01,7.615974086e+01,5.835120015e+01,8.356692763e+01,1.719454616e+01
7.420619019e+00,6.958286088e+01,8.558847770e+01,1.066980596e+01,5.518825045e+01,9.610418810e+01,1.084441782e+01,9.429569546e+01,5.865125103e+01,6.064268272e+01,7.532494485e+01,3.952533875e+01,8.651566763e+01,1.420775832e+01,3.006617235e+01,1.494073195e+00,6.305511006e+01,1.538656724e+01,4.471977210e+01,1.133894136e+01,5.779566200e+01,3.128536899e+01,9.586132549e+01,5.832581487e+01,8.407403425e+00,3.813343172e+01,1.548321570e+01,1.888665981e+01,9.325943236e+01,5.381471681e+01,2.122935614e+01,7.290998073e+01,5.844639097e+01,3.839421194e+01,4.098562514e+01,8.217566768e+00
5.461262833e+01,1.281639071e+01,2.571629233e+01,2.277799602e+01,6.430163099e+01,7.412853025e+01,7.944986027e+01,4.140815279e+01,4.645364210e+01,2.965280863e+00,1.403738377e+01,2.693474642e+01,5.377892705e+01,5.033296753e+01,2.061211769e+01,2.986590472e+01,7.382438165e+00,7.095283669e+01,5.800956089e+01,6.074119456e+01,7.564500733e+01,6.723970445e+01,3.972389730e+01,4.099415085e+01,4.764743594e+01,2.626658713e+01,9.092612994e+01,3.089046898e+01,5.295210794e+01,2.623003293e+01,3.863772045e+01,6.132378568e+01,9.208820454e+01,5.563111006e+01,5.639700348e+01,6.064623077e+01
