v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
1.976469138e+01,6.737985182e+01,8.203563317e+01,6.977626695e+01,8.122565094e+01,5.792919569e+01,7.196197958e+00,4.647633053e+01,9.667878556e+01,4.964556924e+01,7.882996407e+01,3.665259269e+01,7.929724527e+00,4.668423099e+01,6.122244618e+01
9.255895619e+01,4.686468793e+01,7.089761018e+01,6.268318752e+01,2.921468936e+01,3.304078492e+01,7.699939825e+01,2.368891428e+01,6.541099884e+01,7.266954676e+01,3.581739239e+01,6.242994163e+00,9.399844951e+01,3.225556938e+01,5.485906269e+01
5.956532911e+01,1.104289704e+01,8.745265976e+01,8.302641051e+01,8.351004428e+01,5.401914615e+01,1.429819881e+01,6.042625203e+01,4.233173895e+01,7.933537183e+01,6.881696025e+01,3.916452610e+01,5.070459736e+01,6.410591272e+01,3.709946428e+01
5.197841531e+01,3.609577350e+01,7.190916390e+01,1.041734955e+01,6.122494856e+01,8.465363629e+01,9.563287898e+01,9.595185955e+01,1.357502114e+01,8.248103871e+00,2.110113999e+01,3.540700780e+01,9.723655002e+01,7.726723023e+01,2.195399276e+00
2.362614265e+01,3.841297550e+01,8.185003435e+01,6.248417459e+01,1.663406988e+01,9.238422412e+01,4.537458181e+01,5.191928253e+01,3.961478334e+01,5.550072082e+01,7.708459669e+01,1.178095250e+01,4.820276389e+01,3.465844666e+01,2.219968622e+01
6.576372002e+01,2.607300387e+01,9.626735476e+01,3.605481166e+01,2.399686956e+01,5.517481067e+01,2.332358308e+01,2.398606026e+01,4.864573592e+01,3.505677887e+01,1.061447639e+01,9.898586078e+01,2.451699903e-01,2.843536085e+01,7.471232872e+01
6.813734888e+01,1.657284074e+01,8.476515175e+01,8.573798137e+01,3.859244907e+00,4.717052407e+01,4.775461624e+01,6.491311876e+01,2.036355098e+01,1.418397647e+01,9.340014460e+01,9.641352128e+01,7.435294639e-01,1.123196540e+01,2.497629032e+00
3.387353359e+01,8.790380240e+01,7.410780030e+00,2.118994936e+01,5.698069051e+01,8.991582285e+00,1.774583724e+01,9.214356172e+01,4.799902135e+01,4.712559331e+01,4.081536243e+01,8.582929842e+01,1.206769027e+01,9.328698688e+01,8.800515552e+01
2.570915309e+01,3.775363806e+00,7.124304506e+01,6.274164898e+01,5.531679961e+01,8.894384705e+01,7.576396490e+01,7.320707211e+01,8.455793663e+01,8.398654296e+01,6.186957125e+00,6.273701281e+01,4.392061515e+01,9.621752227e+01,8.249658172e+01
4.758602038e+00,7.957454154e+01,9.185577351e+00,3.351485576e+01,4.900453279e+01,5.464222359e+01,9.044439543e+01,3.290956017e+01,1.772381368e+01,8.230207462e+01,6.397162517e+01,1.154596335e+01,9.214535976e+00,4.576846088e+01,3.781938750e+01
5.169585746e+01,4.032732667e+01,5.177132807e+01,9.247902550e+01,5.756074528e+01,6.870817666e+01,8.028824146e+01,1.958844736e+01,1.931209369e+01,4.696780369e+01,2.214276845e+01,6.021763390e+01,4.555659340e+00,1.276567847e+01,5.405250051e+01
1.023929960e+01,7.616712703e+01,9.487854951e+01,3.863703230e+01,8.504505405e+01,5.836294612e+01,6.510438355e+01,9.402592894e+01,3.351725620e+01,9.266330434e+00,5.810500729e+00,7.543150476e+01,8.513529230e+01,2.215832019e+01,9.688418251e+01
5.171695402e+00,2.669740626e+01,2.658840225e+00,4.111843248e+01,7.704652892e+01,5.033174553e+01,3.807293093e+01,3.236347670e+01,1.913100044e+01,7.295918610e+01,2.175244615e+01,6.088996044e+01,3.577618144e+01,3.260536208e+00,3.881985037e+00
5.090602256e+01,5.477121000e+01,6.098611451e+01,4.368603636e+01,5.073380995e+01,4.146291158e+01,9.106225503e+01,9.985066111e+01,7.308826909e+01,5.085880628e+01,9.981350904e+01,8.922269533e+01,8.217852858e+01,7.952259095e+01,4.044917071e+01
8.297112464e+01,7.437822930e+01,3.928088720e+01,6.383892860e+01,2.146611842e+01,1.370142345e+01,9.875643551e+01,1.265327738e+01,5.425538337e+01,1.166347655e+01,1.607432101e+01,9.169940253e+01,2.226942683e+01,5.141044312e+01,9.620905357e+00
7.424037715e+00,1.475132726e+01,6.589498641e+01,4.005022841e+01,5.718554541e+00,3.744837088e+01,7.027234625e+01,1.344996199e+01,4.499275837e+01,7.202417458e+01,3.798618697e+01,3.358764311e+01,2.149485479e+01,7.526979985e+01,5.896535831e+01
2.720801430e+01,9.154519258e+00,2.080693142e+00,5.314612873e+01,4.108696976e+01,4.058199749e+01,7.794011596e+01,5.666986335e+01,3.877933797e+01,6.907639112e+01,5.553804737e+01,6.480173273e+00,2.545362101e+01,4.512483907e+01,3.616020905e+00
1.247841728e+01,8.445226943e+01,9.581376757e+01,1.642563635e+01,4.959296516e+01,1.769893812e+01,2.697997555e+01,7.747078254e+01,3.429554044e+01,7.750848759e+01,3.762233327e+01,6.703557967e+01,8.003819177e+01,1.744372126e+01,6.727871901e+01
1.573924814e+00,8.477438194e+01,5.154628212e+01,5.918642623e+01,9.434582112e+01,6.965957622e+01,6.355889793e+01,6.096120600e+01,9.124585492e+01,7.847404860e+00,1.964077972e+01,3.443413602e+01,6.902720198e+00,7.768594042e+01,9.211771548e-01
6.992106053e+01,3.243014395e+01,6.248434699e+01,6.945411082e+01,9.833640606e+01,3.504469649e+01,8.549581885e+01,1.151926684e+01,1.310607453e+01,1.181665004e+01,6.933131340e+01,1.613834980e+00,1.872024942e+01,6.669350785e+01,8.160046681e+01
9.416046257e+01,8.617744392e+01,2.832149131e+01,7.158736510e+01,2.604859883e+01,2.984416918e+01,5.535516002e+01,7.474715634e+01,6.965453545e+01,4.000262970e+01,2.586328211e+01,3.052400871e+01,1.429934716e+01,3.365662312e+01,2.776125750e+01
7.236180572e+01,1.042017111e+01,8.707921735e+01,5.596711995e+01,3.029055981e+01,9.718402080e+01,9.545257553e+01,7.655545662e+01,9.291949041e+00,3.411724936e+01,5.059339993e+00,1.086757431e+00,7.066012624e+01,9.151300300e+01,8.163243141e+00
9.946842432e+00,1.881527920e+01,1.302868333e+01,8.736935314e+01,5.211549623e+01,9.425318122e+01,7.850489048e+01,2.967812985e+01,1.107291583e+01,4.802110249e+01,5.995801612e+01,1.872986526e+01,4.139153295e+01,4.084532817e+01,1.186015679e+01
3.345822557e+01,5.956910625e+01,4.045342591e+01,3.340955275e+01,3.371790955e+01,3.969277230e+01,9.433003177e+01,9.840031613e+01,3.298786019e+01,9.171231256e+01,5.901831624e+01,8.910645106e+01,3.300375502e+00,8.074874418e+01,2.293459664e+01
6.921412287e+01,1.778288825e+01,8.770425564e+01,3.018378965e+01,5.038237539e+01,9.446949940e+01,3.527005568e+01,7.315865864e+00,3.303295910e+01,5.633865822e+01,9.823316537e+01,7.284301263e+01,6.520408647e+00,5.538658742e+00,8.501850421e+01
7.314496902e+01,8.544710881e+01,5.890132928e+01,6.621425165e+01,7.027743491e+01,4.596336764e+01,4.355510635e+01,6.937905456e+01,5.200699398e+01,8.732315410e+01,8.917647519e+01,9.491527350e+01,9.055983693e+01,7.172250927e+01,5.426533853e+01
1.854629188e+01,3.348397279e+01,6.740992834e+01,5.037044810e+01,3.242817695e+01,6.721057902e+01,6.854178643e+01,9.956280926e+00,6.802815219e+01,8.411763664e+01,1.792815565e+01,4.501803256e+01,2.707265967e+00,4.616743867e+00,7.221946376e+01
5.673951800e+01,6.303742587e+01,8.337793118e+01,9.127082399e+01,8.098617812e+01,4.029935134e+01,8.886874971e+01,4.693125563e+01,2.901320422e+01,5.432539228e+01,1.298491846e+01,5.186932090e+01,1.025309199e+01,1.511918410e+01,4.425065491e+01
8.283760544e+01,8.938926215e+01,7.702493952e+01,2.124706107e+01,6.624198633e+01,8.270285462e+00,1.742944546e+01,7.316603332e+01,4.839116412e+00,8.572880517e+01,7.753832469e+01,1.853051276e+01,5.933589189e+01,8.986815422e+01,1.078210804e+01
7.911123340e+01,9.379987506e+01,9.085400935e+00,2.517658882e+01,5.537405730e+00,8.870393738e+01,1.764502873e+00,8.396632386e+01,3.249054165e+01,7.352921457e+01,9.214220762e+00,7.244177489e+01,4.701672861e+00,6.937612945e+01,1.858117725e+01
4.215556801e+01,3.082906364e+01,2.722252255e+01,6.743149811e+00,4.969409863e+01,5.427256244e+01,5.514776604e+01,6.972976814e+01,1.521188958e+01,5.102124367e+01,3.354190579e+01,8.952109013e+01,6.007420266e+01,1.934235685e+01,6.775471057e+01
4.407937234e+01,3.217964857e+01,4.442860932e+01,2.182053287e+01,2.094705577e+01,2.380000982e+01,4.056819909e+01,2.788134650e+01,2.483219654e+01,3.866938015e+01,7.115075765e+01,1.669932554e+01,8.166791622e+01,3.841141271e+01,7.400662140e+01
3.575620632e+01,3.402577535e+01,3.245991856e+01,5.349221374e+01,5.098285782e+01,5.719718349e+01,8.216344356e+00,9.287558816e+01,7.877494456e+01,8.084869685e+01,4.665636531e+01,8.402431451e+01,9.309220125e+01,6.018624778e+01,8.234130456e+01
8.398505160e+01,2.720139494e+01,7.434830792e+01,8.723237007e+01,9.742505253e+01,6.182850433e+01,8.002887973e+01,5.056645293e+01,4.999076854e+01,5.482263655e+01,1.135382884e+00,8.212405159e+01,3.568190760e+01,7.114556805e+01,5.141242484e+01
7.059007261e+01,5.723883276e+00,4.832017495e+00,4.434143445e+01,8.875534035e+01,8.664719434e+01,1.762071282e+01,6.709821153e+01,6.837112129e+01,8.919225908e+01,5.612311965e+01,1.205542729e+01,8.969314851e+01,7.786339843e+01,6.846797465e+01
8.822273212e+01,2.063134097e+01,5.473423151e+01,1.676557002e+00,5.841601334e+01,5.979577976e+01,7.347046071e+01,4.182559001e+01,8.399740122e+01,7.284542534e+01,3.483550142e+01,1.701734834e+01,5.997121596e+01,5.745218760e+01,3.236781758e+01
4.878090388e+01,7.704258256e+01,5.328505193e+00,4.609789117e+01,5.079914302e+00,4.473197937e+01,2.965169551e+01,4.130408858e+01,9.683964284e+01,1.677115269e+01,2.889825496e+01,9.707328394e+01,7.816395088e+01,6.061749943e+01,1.001622913e+01
5.038384595e+01,3.018283460e+01,3.171197351e+01,6.511873830e+01,4.316592855e+01,1.737952035e+00,8.924013156e+01,9.741233213e+01,3.697695099e+01,5.758131818e+01,8.039276227e+01,3.728284811e+01,6.355229216e+00,1.454326553e+01,3.518729124e+01
3.147421898e+01,5.191618666e+01,1.572043362e+01,6.535824604e+01,9.677803321e+01,2.069330402e+01,3.193030108e+01,3.836412817e+01,5.456915611e+01,1.525013327e+01,5.088207203e+01,6.803933092e+01,4.542621016e+01,8.412270367e+01,4.526488737e+01
9.608987030e+01,9.429097537e+01,3.439860973e+01,6.416750897e+01,9.626010974e+01,7.958187110e+01,7.447390028e+01,1.321932216e+01,1.804512555e+01,4.958770136e+01,5.427347813e+01,9.479473489e+01,2.934781059e+01,4.745603176e+01,6.039017315e+01
9.685190380e+01,1.167990362e+01,2.105061714e+01,9.928600190e+01,5.228376029e+01,2.284761859e+01,9.729242231e+01,1.195577844e+01,9.796273924e+01,2.666807598e+01,3.326255462e+01,8.934992734e+01,2.523906426e+01,8.475203571e+01,3.214365959e+01
8.269315392e+01,4.714135647e+01,3.629262292e+01,5.198726455e+01,2.592349093e+01,9.614308137e+01,6.497410224e+01,5.545006712e+01,4.411683932e+01,8.490690258e+01,7.414702103e+01,3.685419722e+01,3.412972360e+00,1.912339193e+01,1.924603754e+01
8.400175427e+01,6.439552052e+01,3.579850487e+01,8.563202600e+01,6.371093329e+01,4.935942235e+01,3.975624421e+01,4.662579376e+01,9.548675582e+01,4.884995894e+00,2.482249782e+01,6.382453485e+01,5.455507826e+01,9.236961482e+01,2.742439759e+00
6.166518530e+01,1.279084663e+01,1.545529878e+00,8.280550210e+01,9.542028297e+01,6.027955600e+01,2.870628030e+01,4.928704080e-01,9.511381197e+01,6.919630733e+01,2.083071864e+01,6.552282141e+01,2.735547913e+01,8.066593828e+01,1.728525411e+01
1.885311631e+01,1.613294260e+01,2.201997592e+01,4.165580832e+01,5.990644177e+01,3.470625006e+01,5.868284954e+01,5.980982490e+01,6.485206710e+01,8.666891370e+01,6.725509307e+01,9.320854374e+01,4.986570674e+01,3.547863697e+00,4.856109967e+01
9.567756228e+01,7.965582801e+01,5.325287557e+01,2.314647042e+01,3.406798054e+01,2.843363198e+01,4.746651265e+01,7.095844411e+01,6.312032105e+01,8.856523856e+01,2.121613845e+01,4.888647853e+01,5.680396523e+01,8.584318218e+01,3.950508828e+01
8.410059272e+00,8.680952978e+01,7.327747360e+01,4.895337674e+01,3.699062998e+01,6.763506402e+01,5.203775129e+01,2.526845552e+01,1.344909770e+01,7.830924237e+01,3.056165891e+01,3.658294319e+01,9.973723603e+01,4.787492857e+01,4.940510382e+01
5.658140778e+01,2.453426337e+01,9.046609325e+01,3.092848192e+01,6.854511396e+01,9.498027471e+01,5.098794419e+01,9.137675069e+01,1.433371420e+01,9.995917852e+01,5.288850320e+01,9.066501956e+00,4.041683052e+01,7.597316805e+01,2.726712144e+01
3.011693511e+01,6.310729207e+01,7.112475614e+01,2.749061995e+01,5.180440643e+01,3.293490919e+01,9.188342719e+01,7.977470068e+01,6.129214990e+01,3.068129979e+01,2.341946692e+01,7.497603883e+01,3.971286259e+01,8.868700141e+01,1.740699787e+01
5.312619613e+01,8.339687881e+01,9.345037812e+01,7.265032993e+00,7.603287709e+01,2.388346534e+00,6.556867034e+01,5.570203022e+01,5.534203161e+01,4.774504296e+01,1.747753221e+01,9.201343174e+01,4.274760382e+01,2.240237064e+01,4.610070491e+01
6.865251638e+01,5.186836249e+01,9.104903297e+01,3.251826178e+01,1.829183938e+01,1.691316820e+01,8.622540872e+01,6.344324078e+01,5.246458619e+01,7.021291600e+01,7.330681859e+01,1.819327323e+01,7.014394855e+01,8.516383989e+01,4.031098617e-01
6.422132608e+01,2.267303565e+01,6.377222363e+01,9.513321818e+01,1.800983151e+01,2.646094713e+01,6.533899223e+01,3.431931776e+01,6.644349874e+01,1.364975874e+01,4.846431852e+01,2.147114062e+01,9.662929032e+01,5.585279749e+01,4.015127386e+01
4.912079800e+01,3.829521177e+01,5.139911365e+01,3.750051138e+01,9.938359689e+01,7.443444830e+01,7.272142778e+01,9.377253031e+01,8.585343343e+01,9.522299674e+01,5.004439362e+01,9.766766217e+01,2.650625683e+01,9.937217978e+01,1.484525127e+01
3.613865458e+01,9.188097950e+01,6.059056017e+01,1.145024854e+01,6.914588846e+01,9.145579471e+01,5.480867254e+01,1.790979819e+01,3.865086428e+01,2.745652260e+01,1.264146675e+01,4.707066007e+01,2.325119791e+01,6.309646063e+01,8.821462517e+01
6.139323090e+01,8.091676256e+01,1.879120329e+01,6.107024654e+01,9.496711718e+01,3.552647964e+01,3.162404203e+00,7.349972570e+01,9.302669376e+01,8.865256266e+01,2.634807632e+01,8.510371060e+01,5.977024948e+01,4.088227082e+00,3.547140873e+01
2.757960966e+01,9.768277479e+01,3.346649650e+01,5.584969250e+01,6.200352488e+01,1.485260344e+01,3.892031242e+01,1.300958429e+01,4.452341955e+01,1.097715589e+01,3.859022021e+01,5.616130050e+01,7.780315157e+01,9.122228249e+01,9.422284677e+00
1.965048363e+01,7.585818006e+01,1.359938846e+00,3.027608784e+01,1.592775313e+00,4.578961317e+01,7.815100151e+00,2.067356822e+01,5.391796750e+00,9.079591409e+01,2.108147176e+01,3.507709985e+01,5.725556646e+01,7.400800958e+01,4.890794247e+01
2.398572962e+01,6.898628141e+01,2.153733668e+01,6.641590627e+01,3.180239990e+01,3.389041719e+01,7.667583845e+01,2.245623463e+01,2.833616369e+01,8.839544622e+01,7.262010249e+01,8.853539759e+01,7.118670113e+01,7.149881382e+01,4.702284825e+01
7.433248274e+01,8.825732221e+00,8.539286739e+01,3.668640952e+01,1.775713031e+01,6.910122403e+01,9.525780109e+01,5.124110727e+00,8.813366232e+01,6.652952101e+01,9.756963472e+01,5.328800911e+01,1.931699698e+01,7.671565271e+01,4.409992548e+01
7.520172301e+01,1.123205174e+01,3.990459506e+01,8.167102439e+01,1.307328076e+01,4.642102869e+01,5.073724342e+01,8.659932329e+01,3.918322841e+01,4.451830433e+01,7.135745447e+01,5.273932028e+01,8.078160245e+01,7.326046504e+01,7.566441590e+01
6.230723850e+01,9.804486822e+01,3.711187845e+01,4.810487623e+00,5.542371402e+01,8.457004782e+01,5.268362393e+01,3.560276528e+01,5.544773797e+01,4.271810808e+00,1.149114509e+01,7.995183212e+01,7.632423783e+01,3.116742660e+01,9.421614758e+01
9.795676479e+01,4.159449320e+01,7.517634926e+01,4.230964378e+00,3.139114424e+01,4.314178440e+01,6.115584335e+01,3.519049746e+01,5.036584614e+01,4.520452555e+01,4.537730677e+01,4.271293925e+01,1.532380769e+01,4.983279808e+01,4.136500502e+01
7.087188969e+01,8.315617506e+01,6.309059868e+01,7.606990916e+01,7.132751320e+01,7.572303959e+01,8.233637523e+01,4.297516906e+01,7.435016122e+01,5.619058671e+01,9.223215955e+01,7.138166070e+01,1.215026945e+01,3.834809029e+01,1.010636062e+01
6.930035089e+00,7.897217709e+01,7.388798062e+00,3.450828537e+01,7.221982068e+01,4.199247523e+01,3.951831185e+01,1.786087404e+00,9.046231583e+01,6.023235418e+01,5.684621654e+01,2.559060443e+00,7.586468724e+01,8.339928891e+01,8.452997661e+01
5.941627614e+01,7.005717927e+01,2.701018117e+01,6.828769018e+01,5.825880629e+01,6.835893305e+01,3.710516323e+01,6.506060670e+01,7.987129659e+01,1.382670608e+00,5.439149952e+01,5.145346286e+01,9.461080921e+01,3.006881294e+01,7.363576042e+01
6.892967940e+01,2.904028981e+01,6.264831502e+01,1.475205585e+01,5.357960290e+00,7.307336271e+01,5.716889722e+01,5.268842908e+01,7.476710676e+01,5.115171767e+01,4.605114550e+01,8.375004772e+01,4.069769245e+01,3.381532071e+01,8.061333354e+01
7.468638387e+01,7.542950842e+01,7.428341032e+01,6.478226045e+01,4.610526872e+01,5.257410309e+01,4.762030471e+01,7.964392343e+01,4.380797952e+01,3.408117040e+01,7.507589194e+01,1.140778638e+01,6.193969078e+00,7.346191232e+01,7.641385272e+01
6.710520295e+01,4.413374226e+00,2.022263260e+01,1.991602080e+01,9.345889131e+01,5.920424011e+01,8.139447078e+01,7.265263502e+01,6.886230582e+01,7.368822231e+01,6.284717415e+01,5.717027657e+01,3.251191822e+01,3.492486439e+00,7.138705357e+01
9.769284338e+01,3.867974165e+01,1.513541301e+01,9.525317817e+00,5.465543553e+01,1.192052037e+00,1.400555085e+01,8.057335683e+00,6.353298485e+01,8.728831913e+01,2.478946748e+01,2.468832028e+01,6.071048444e+01,2.254600879e+00,3.599994158e+01
2.313394113e+01,1.866932274e+01,9.605268719e+01,1.614421752e+01,5.645736022e+01,4.334540195e+01,6.721475325e+01,5.371128488e+01,2.350309887e+01,5.692232314e+01,2.787065865e+01,6.932257831e+00,8.791231080e+01,6.776765240e+01,8.316919596e+01
3.029335472e+01,6.021602883e+01,4.073259653e+01,5.450744338e+01,2.682279784e+01,3.081408910e+01,3.456057379e+00,4.578906162e+01,4.858759941e+01,5.664339267e+00,7.252452784e+01,9.381214143e+01,4.302146384e+01,1.109047345e+01,8.779573678e+01
4.639630263e+01,2.379780087e+00,1.245668796e+01,6.166640745e+01,9.413448776e+01,2.584311789e+01,9.243131810e+01,5.597791815e+01,5.266611231e+01,2.385439735e+01,6.316812754e+01,5.177449678e+01,4.020183386e+01,3.392673594e+01,5.833013556e+00
5.524200704e+01,2.962045645e+01,4.681112474e+01,9.288864648e+01,3.840291672e+01,9.246866808e+01,5.656203959e+01,5.014341650e+00,9.383102684e+01,5.984722109e+01,2.695594412e+01,3.281944431e+01,4.932521502e+00,6.756718410e+01,1.165148132e+00
1.584850969e+01,2.649818005e+00,7.725382028e+01,7.319370114e+01,6.605141743e+01,7.016025279e+01,2.712893316e+01,4.512396298e+01,1.266235355e+01,5.348214045e+01,7.648482885e+01,8.381063160e+00,1.926268903e+01,8.835257956e+01,5.715203197e+01
9.122985772e+01,2.696286325e+01,6.641662959e+01,6.232050500e+01,1.428549427e+01,7.073985991e+01,4.946633224e+01,2.332002323e+01,5.625633669e+00,4.223585485e+01,5.982486383e+01,3.073739817e+01,4.325446448e+00,2.041275118e+00,9.780992000e+01
4.802359771e+01,7.795680417e+01,9.141452639e+01,3.105067372e+01,8.014874147e+01,3.130610738e+01,8.322867065e+01,1.647769813e+01,6.222356305e+01,3.524436418e+01,7.568713644e+01,2.756580394e+01,4.645234263e+01,9.925207407e+01,1.696092801e+01
3.750477960e+01,6.942318008e+01,9.729138204e+01,5.000523743e+01,3.459312985e+01,8.566654269e+01,1.644458187e+01,7.179374486e+01,4.701267052e+01,6.462618341e+01,5.369860331e+01,6.857346748e+01,3.662874707e+01,8.238664048e+01,5.766102757e+01
6.063822373e+01,4.752255987e+01,1.707044887e+01,6.358289529e+00,2.915342710e+01,2.565755196e+01,2.000652601e+01,5.312216744e+01,9.916345347e+01,7.420072663e+00,1.324841713e+01,5.810790009e+01,5.791908702e+01,4.294387683e+01,5.374038337e+01
2.515498998e+01,2.092319677e+01,5.021658013e+01,1.431762946e+01,4.154245081e+01,1.061703145e+01,7.886252819e+01,9.462427046e+01,7.915242812e+01,6.989547487e+01,7.595892485e+01,3.731077882e+01,7.145348682e+01,2.653639657e+01,3.580129454e+01
8.136716671e+01,6.501759520e+01,6.710692744e+01,3.293692603e+01,6.983910836e+01,5.843848300e+01,6.681061649e+00,4.229052436e+01,4.547176151e+01,6.850383468e+01,9.303179511e+01,1.287852533e+01,2.284910957e+01,2.492448450e+01,8.592289019e+01
5.868942813e+01,2.385384123e+01,2.865030458e+01,4.876063746e+01,7.508908772e+01,9.509535447e+01,3.008395589e+01,8.820627105e+01,2.205965507e+01,8.545224627e+01,5.959179555e+01,3.089783925e+01,5.735401843e+01,2.754483377e+01,5.553650469e+01
8.793412362e+01,3.946214615e+01,6.023855708e+01,8.035090298e+00,7.303233048e+01,9.192972262e+01,8.995331007e+01,2.445112906e+01,8.505736805e+01,1.249139741e+01,2.433471287e+01,4.145561426e+01,1.974810512e+01,3.471985199e+01,2.306019810e+00
7.287022629e+01,1.203577497e+01,8.623782640e+01,8.662513599e+00,9.634043558e+01,6.338291938e+01,2.268950523e+01,3.321746718e+01,6.333616456e+01,3.484293867e+01,7.745763330e+01,6.422280454e+01,4.944948614e+01,9.296126612e+01,2.462470260e+01
6.442134020e+00,2.054541941e+01,4.619791163e+01,5.564398862e+01,5.325196139e+01,1.777950254e+01,4.382613609e+01,7.504950989e+01,1.658031842e+01,1.066530266e+01,2.777652023e+01,3.421122982e+01,4.314030097e+01,3.641891152e+01,7.331900183e+01
3.324561208e+01,5.365768697e+01,2.305426675e+01,9.209746881e+01,1.795506343e+01,4.423121755e+01,2.158357658e+01,4.536886996e+01,5.785964400e+01,5.906154204e+01,5.313357793e+01,4.027395829e+01,3.994258639e+01,9.966223340e+01,8.280464809e+01
3.557925071e+01,1.395565917e+01,4.027618799e+01,4.532931785e+01,3.434378960e+01,1.240169400e+01,5.600565122e+01,7.825492439e+01,8.185792805e+01,7.220480131e+01,3.510647660e+01,7.590751561e+01,3.079413995e+01,9.986566181e+01,7.552809879e+01
4.560291108e+01,3.786468602e+01,8.057822069e+01,6.446999787e+01,8.635378732e+01,6.191087531e+01,3.247418912e+01,1.395293333e+01,8.653972898e+01,8.457069302e+01,7.312058038e+01,3.957819397e+01,7.640749959e+01,6.279399071e+01,5.397942546e+00
9.276708113e+01,6.627985726e+01,2.149952856e+00,8.384076242e+01,2.972695354e+01,3.802150603e+01,1.431472143e+01,6.855911925e+01,8.177724508e+01,3.128442281e+01,5.498469444e+01,4.686421613e+01,6.731152086e+01,2.832638000e+01,6.161789061e+01
4.384166935e+01,6.745742485e+01,9.319221984e+01,4.913727814e+01,8.259806532e+00,5.951735452e+01,6.825986791e+01,4.585812031e+00,4.780597874e+01,6.273888338e+01,6.132757722e+01,7.384892758e+01,9.440711569e+01,2.898317049e+01,2.473520625e+01
3.117826330e+01,3.800383984e+01,2.478352030e+01,9.763564901e+01,9.617347028e+01,7.039943886e+01,3.905147807e+01,5.974396394e+00,3.403532760e+01,1.570191123e+01,4.125405409e+01,4.555738025e+01,9.452698003e+01,5.243330587e+01,4.163493096e+01
