v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13
1.235554503e+01,1.283433322e+01,4.203386192e+01,7.401784137e+01,8.171489909e+01,7.110056459e+01,8.733135401e+01,7.997783579e+00,6.885115631e+01,4.755987191e+01,5.125365569e+01,8.093805578e+01,3.054550647e+01
5.684731250e+01,3.678180166e+01,8.791067325e+01,5.481703284e+00,5.079089524e+01,4.564798977e+01,9.348434608e+01,7.692997924e+01,5.990663423e+01,5.242914256e+01,2.899321825e+01,6.116131098e+01,6.095561037e+01
2.290868300e+01,1.908627715e+01,5.330429735e+01,5.331728645e+01,9.717198201e+01,7.386214775e+01,1.899709311e+01,5.522268675e+00,2.222810329e+01,2.443189142e+01,8.531488226e+01,4.535033850e+01,5.454889800e+01
3.163996044e+01,2.549999612e+01,2.181826476e+01,7.147444462e+01,4.997223353e+01,1.117227525e+01,6.251199341e+01,5.770802600e+01,9.301273982e+01,2.615417240e+01,3.273418833e+01,6.684437513e+01,6.394156532e+01
8.738169439e+01,7.718122890e+01,5.042503715e+01,2.370858402e+00,1.415905661e+01,8.891938198e+01,3.090050766e+01,3.447143457e+01,2.670320655e+01,7.510014741e+01,2.614221776e+01,3.997561987e+01,2.775842145e+01
2.238600009e+01,7.732951395e+01,6.274626050e+01,5.218010812e+01,6.875934805e+01,7.615819965e+01,7.888962257e+01,7.533207803e+01,5.946938724e+01,6.767430318e+01,8.504847952e+01,7.888698707e+01,1.114340308e+01
4.141270625e+01,6.628597023e+01,5.515843203e+01,4.536136816e+01,3.936859366e+01,6.897932943e+01,8.281290905e+01,6.910428963e+01,6.414103680e+01,6.985289869e+01,2.534016638e+00,2.314122591e+01,7.489022987e+01
8.789774187e+01,2.446935081e+01,3.752983577e+01,6.692429088e+01,3.835225316e+01,6.357474235e+01,4.862738381e+01,4.824076410e+00,8.773123353e+01,6.644811747e+01,5.151592550e+01,7.966802056e+01,9.705230695e+01
9.147339827e+01,4.098739218e+01,7.934305236e+01,5.963834447e+01,5.244915427e+01,2.270448289e+01,6.888904297e+01,2.809245464e+01,5.018510824e+01,9.278097506e+01,7.071485022e+01,6.468709650e+01,5.390465156e+01
5.522310605e+01,3.071357042e+01,1.858413411e+01,5.664198170e+01,7.360120337e+01,1.828196162e+01,6.006994139e+01,5.645308630e+01,7.254056662e+01,4.003676900e+01,6.877727675e+01,5.647428743e+01,1.755149842e+01
1.486922998e+01,4.886088333e+01,5.562143941e+01,5.970331947e+01,1.609799926e+01,8.966786796e+01,5.692171829e+01,6.683068580e+01,8.269567994e+01,5.312682840e+01,3.816683406e+01,5.106308687e+01,6.925065859e+01
8.600840535e+01,6.262554074e+01,9.046127464e+01,2.823864158e+01,6.584750801e+01,4.150482163e+01,7.259260683e+01,1.443894967e+01,2.267889643e+00,7.909689544e+01,4.173808599e+01,4.801699610e+00,2.160963394e+01
2.698880684e+01,5.222244992e+01,4.480392574e+01,4.770251521e+01,8.806841110e+01,4.382844859e+01,5.913218374e+01,8.549779045e+01,2.956715644e+01,3.028447716e+01,2.785175856e+01,9.620987863e+01,4.515345660e+01
6.351074956e+01,1.947799328e+01,7.601824730e+01,2.156173145e+01,9.130727767e+00,4.300752087e+01,6.942566240e+01,3.047617473e+01,1.880405352e+01,2.018367160e+01,8.624541140e+01,9.195852265e+01,4.657544395e+01
2.492947811e+01,1.486504010e+01,8.101841033e+01,5.009347684e+01,1.661948179e+01,9.791480599e+01,8.242808104e+01,5.428308834e+01,5.080238080e+00,5.198645118e+01,7.984256802e+01,1.491594216e+01,8.143598112e+01
7.763746930e+01,8.213403031e+01,9.585523466e+01,9.815432162e+01,4.530257137e+01,9.203650470e+00,3.524060029e+01,2.523280307e+01,6.544039293e+01,7.019472932e+01,6.801221371e+01,3.823423572e+01,2.809699601e+01
2.368713784e+01,2.273818618e+01,7.333977577e+01,1.386271509e+01,2.559628390e+01,5.136508963e+01,1.397149964e+01,5.308167934e+01,5.921495898e+01,3.966405973e+01,3.373503360e+01,6.871789631e+01,5.599218802e+01
1.662057583e+00,1.664207959e+01,6.707591025e+01,3.368069391e+01,1.760796961e+01,8.286592163e+01,7.569721936e+01,7.138303608e+01,9.007950918e-01,7.722135424e+01,1.328185746e+01,8.294941988e+01,2.961470223e+01
7.064390388e+01,9.253110832e+01,2.545337087e+01,1.967379505e+01,5.683544188e+01,8.162921033e+01,4.793522758e+00,8.218379752e+01,1.467324977e+01,7.994974332e+01,2.550311647e+01,1.710436934e+01,1.640966134e+01
4.892547484e+01,6.575520874e+01,9.357130033e+01,7.673226604e+00,6.993900421e+01,8.580699063e+01,5.135890905e+01,5.542134471e+01,8.865698304e+01,9.721843533e+01,1.532365418e+01,8.277013118e+01,8.062683891e+01
2.680692411e+01,6.880425527e+01,3.306268127e+01,9.541790789e+01,6.336275146e+01,8.216610348e+01,4.793343450e+01,6.773540350e+01,6.972961848e+01,6.504454627e+01,4.618000907e+01,6.108125273e+01,5.464029914e+01
3.096358199e+01,4.049314463e+01,5.912959429e+01,6.046434685e+01,9.020934257e+01,9.467213802e+01,7.980782987e+01,2.562509547e+01,9.332609637e+01,6.191823864e+01,6.835295482e+01,5.595135877e+01,5.790873871e+01
4.785439512e+01,8.129829492e+01,8.663671639e+01,4.945592159e+01,3.422634669e+01,7.889263417e+01,7.735135586e+01,4.734553303e+01,4.430735571e+01,1.158753533e+01,6.129571635e+01,3.373049030e+01,8.816743169e+01
4.721870260e+00,8.357716568e+01,5.734452036e+01,5.409529679e+01,6.825495838e+01,2.703708895e+01,5.585393712e+01,7.366020164e+01,8.894023912e+01,2.486463928e+01,2.225306606e+01,1.068723771e+01,3.388856896e+01
8.901891126e+01,3.095965827e+01,9.306865811e+01,7.329886452e+01,2.003579619e+01,5.389919812e+01,6.630221980e+01,1.605450623e+01,2.828213935e+01,5.733053251e+01,5.652057508e+01,2.422828300e+01,5.059223303e+01
3.157900134e+01,9.239003531e+01,8.674995594e+01,1.195986113e+01,9.226489157e+01,1.575731148e+01,6.308011859e+01,2.399706471e+00,6.279919283e+01,3.528722478e+01,2.570861821e+01,6.389452374e+01,8.864017884e+01
1.970644249e+01,2.965890195e+01,7.439901375e+01,9.491618810e+01,4.794666353e+01,2.219329979e+01,2.532520054e+01,4.004321894e+01,6.964758522e+01,8.072140164e+00,4.460847905e+01,9.958055334e+01,8.505658566e+01
5.023810826e+01,3.251081951e+01,9.528962258e+01,5.342435514e+01,4.723599265e+00,8.009961262e+01,6.477972854e+01,8.601751829e+00,4.865556122e+01,1.848126241e+01,4.941742186e+01,9.073453837e+01,6.482073554e+01
1.207089587e+01,6.836939948e+01,1.589322502e+01,5.145143179e+01,4.513765486e+00,6.190052217e+01,8.141649085e+01,2.117345630e+01,2.974246587e+01,8.799488597e+00,7.034540663e+01,1.306640415e+01,3.924145841e+01
6.389259520e+01,7.926928761e+01,2.050519138e+01,2.900506718e+01,7.512424022e+01,6.053635058e+01,1.587413320e+01,2.677577189e+01,6.716622308e+01,7.090449759e+00,8.036056720e+00,7.699802553e+01,4.609253858e+01
9.630552639e+01,3.052223270e+01,1.708792842e+01,1.672338668e+00,3.629055976e+01,2.034664693e+01,1.601415206e+01,5.839681928e+01,1.149927794e+01,8.628189839e+01,9.771061938e+01,9.326024492e+01,3.720635079e+01
8.155056696e+01,8.052679538e+01,3.981981482e+01,8.169207173e+01,1.922093395e+01,8.801168378e+01,1.569446371e+01,6.598434048e+01,1.828306789e+01,4.023926745e+01,5.922685170e+01,2.297713473e+01,5.975527280e+01
1.821250763e+01,2.428049775e+01,5.358820978e+01,1.326033222e+00,1.478293987e+01,5.938492101e+01,2.603598045e+01,7.401494168e+01,4.613217613e+01,9.671985164e+01,6.221877753e+01,5.460487984e+01,7.883607218e+00
5.788076736e+01,8.401384999e+01,8.379059830e+01,7.107220007e+01,2.871680949e+01,7.104764124e+00,6.252454137e+00,7.212710792e+01,7.482110999e+01,3.900104985e+01,7.601784621e+01,7.282123592e+01,2.499436389e+01
2.996332084e+01,8.225651675e+01,3.578686901e-01,5.720478483e+01,2.895201416e+01,2.901136498e+01,1.392457392e+00,7.511974475e+00,7.711362977e+01,1.117388895e+00,3.307254210e+01,2.238779238e+01,1.794657990e+01
2.101262681e+01,9.363533535e+01,6.951104017e+00,1.606610956e+01,9.598318602e+01,1.437661425e+01,6.568547595e+01,5.495265547e+01,9.643438653e+01,2.222725149e+01,8.852715666e+00,7.540962090e+00,5.067620677e+01
3.835456334e+01,9.781591296e+01,5.260862857e+01,5.880040176e+01,1.151209924e+01,2.068509624e+01,1.177759059e+01,6.963483313e+01,9.438320657e+01,5.655098070e+01,9.642651104e+01,1.234130978e+01,7.146556184e+01
4.352948039e+01,6.552542716e+01,3.733681299e+00,4.160428329e+00,5.236084689e+01,1.832027615e+01,9.784151337e+00,2.838450700e+01,4.671170053e+01,5.134559668e+01,6.307832044e+01,4.480030284e+01,9.055454265e+01
5.183005166e+01,3.447136863e+01,7.654059572e+00,1.233341353e+00,8.949686195e+01,5.877479348e+00,7.320057889e+01,9.945078215e+01,2.666691240e+00,4.140555713e+01,6.085363868e+01,1.146923820e+01,2.841512374e+01
1.864828401e+01,5.013877728e+01,4.501253004e+01,7.285673758e+01,7.044365066e+01,5.482616611e+00,5.706095616e+01,5.310722298e+01,3.190114791e+01,5.010851630e+01,4.639179317e+01,6.179884979e+01,6.707217422e+01
6.598347132e+01,2.897346067e+01,7.015077787e+01,2.672062861e+01,3.924235812e+01,2.550601503e+01,1.720681377e+01,9.365477743e+00,1.446916359e+01,1.746392967e+01,6.514272292e+01,6.445876247e+01,7.080667147e+01
2.481765598e+01,5.880033494e+00,8.437134848e+01,2.559414751e+01,1.481730957e+01,1.619381139e+01,8.348801430e+01,2.284059543e+01,7.793847283e+01,3.173667154e+01,7.746168128e+00,6.924929900e+01,2.672873432e+01
1.881675641e+01,5.144858413e+01,8.372830606e+00,9.209159407e+01,8.952436821e+01,5.108389785e+01,2.317331364e+00,1.543378637e+01,8.968448471e+01,4.439002303e+01,5.754631911e+01,3.525049535e+01,8.130150075e+01
9.478623654e+00,4.712791304e+01,9.468085965e+01,4.814891164e+01,3.215211508e+01,3.899670485e+01,4.078812971e+01,8.591083186e+01,2.592317355e+01,3.039026818e+00,4.197901833e+01,2.175083935e+01,9.779214091e+01
4.330010881e+01,1.950866317e+01,8.818743741e+01,8.034332579e+01,2.225894259e+01,9.621311452e+01,6.820531331e+00,8.584197264e+01,7.548864927e+01,2.722625411e+01,5.878748681e+01,5.125618384e+01,2.171879653e+00
8.178134632e+01,3.493135247e+01,5.660113193e+00,4.329515083e+01,7.259225084e+01,4.034817102e+01,5.044727690e+01,4.486152464e+01,8.517398427e+01,6.471583008e+01,5.444857003e+01,9.464754666e+01,2.363414734e+01
1.178193332e+01,3.348477016e+01,1.518803254e+00,7.616824899e+01,4.122793958e+01,7.835146505e+01,2.071580428e+01,1.903079617e+01,8.307140610e+01,1.134825858e+01,8.825357524e+01,2.951367431e+01,6.345690301e+01
2.554978645e+01,9.441402319e+01,7.562989649e+00,6.690533016e+00,3.292317566e+01,9.939670489e+01,1.547427941e+00,4.956752620e+01,6.703295432e+01,6.475430967e+00,6.607299645e+01,2.745417354e+00,1.243449872e+01
9.977986254e+01,6.013599405e+01,1.680748399e+01,2.001699823e+01,2.587654722e+01,1.052733315e+01,1.002752999e+00,1.238514194e+01,3.268658836e+01,1.352226928e+01,1.804939431e+01,2.339462763e+01,1.845383404e+01
9.218741005e+01,4.568231833e+01,5.301106848e+01,2.715576402e+00,5.096053261e+01,3.254814162e-02,7.903975641e+01,5.568089783e+01,8.058321166e+01,4.517892073e+01,8.112945661e+01,7.140274239e+01,8.247279897e+01
4.643084890e+01,3.399834473e+01,8.494400237e+01,4.317622990e+01,2.658684706e+01,1.035664564e+01,1.850573323e+01,3.687832560e+01,2.317273089e+01,9.368160338e+01,6.829416063e+01,8.840888430e+01,6.115451220e+01
8.264031117e+00,9.701683157e+01,1.477156990e+00,8.820912569e+00,1.276600634e+01,1.461893460e+01,3.330258955e+01,3.545420002e+01,8.672226295e+01,1.449866669e+01,1.810905748e+01,5.972810112e+01,5.285096248e+01
1.711986153e+00,3.889491421e+00,1.236241591e+01,5.549740623e+01,9.418052920e+01,5.760861242e+01,2.484514550e+01,8.879917802e+01,5.814415848e+01,5.479637069e+01,3.145553038e+01,6.987867742e+01,8.324621261e+01
7.994885724e+01,7.698630936e+01,6.011159980e+01,5.751616105e+01,5.795620127e+01,5.264912817e+01,1.910657546e+00,8.780623972e+01,4.345576001e+01,7.592417886e+01,3.240467921e+01,8.219904030e+01,9.158582738e+01
2.955446128e+01,1.186583098e+01,1.822372840e+01,8.912054960e+01,9.005743803e+01,2.902643757e+00,6.496682288e+01,6.790716514e+01,3.109682743e+01,3.443384660e+01,1.898473058e+01,4.955374100e+01,2.716174713e+01
6.178453516e+01,6.306503933e+00,9.364361002e+01,2.812441684e+01,8.274795233e+01,7.950540448e+01,3.766817370e+01,6.710284978e-01,8.526544375e+01,3.846267393e+00,4.563634116e+01,9.040856400e+01,3.140043232e+01
6.974366819e+01,4.105716416e+01,6.340954815e+01,8.697611306e+01,7.443235259e+01,2.095368631e+01,4.048891274e+00,7.987875870e+01,3.854851955e+01,7.368329672e+01,1.687821008e+01,4.064523759e+01,1.010801674e+01
4.150059143e+00,1.154339955e+00,3.614694079e+01,3.127955738e+00,4.042169677e+01,8.637072209e+01,8.810033471e+01,9.447860185e+01,8.951284573e-03,2.716916559e+01,1.757796539e+01,2.004148370e+01,3.193117166e+01
4.923479105e+01,8.082426224e+01,6.968966585e+01,2.371929927e+01,6.882905996e+01,3.856449626e+01,9.111758215e+01,5.408296057e+01,7.905641658e+01,8.733434321e+01,9.967575486e+01,9.992103110e+01,6.298525998e+01
6.552512761e+01,2.075004294e+01,1.229121280e+00,7.292987556e+01,9.771539625e+01,3.183116513e+01,3.476647806e+01,7.235049685e+01,2.350466268e+01,2.274904154e+00,6.850525604e+01,3.418304841e+01,9.826927998e+01
7.740042148e+01,5.588192454e+01,9.707274000e+01,8.985972558e+01,3.039436809e+01,7.522299513e+01,2.461646696e+01,9.036586044e+01,4.397282721e+01,6.213197561e+01,7.107018247e+01,9.054595660e+01,2.907584330e+01
6.033828168e+00,6.703482098e+01,6.975120220e+01,2.452166806e+01,8.167016651e+01,9.866015743e+01,1.807037149e+01,8.778704882e+00,6.933448606e+01,6.404925470e+01,6.813428505e+01,8.746361098e+01,3.458034522e+01
5.310206422e+01,8.667771324e+01,7.380677138e+01,4.664133289e+01,1.998311126e-01,4.220229852e+01,3.695625396e+01,3.812095331e+01,2.577859327e+01,4.257496692e+01,7.376466792e+01,7.645794240e+01,7.213600493e+01
9.852653556e+01,2.226794424e+01,3.589683410e+01,4.507485289e+01,8.364118427e+01,7.573269325e+01,6.674717424e+01,7.208047162e+01,2.209589934e+01,2.111982969e+01,4.145592612e+01,5.011535929e+01,2.267344741e+01
8.747897981e+01,6.302486423e+01,7.531545124e+01,7.088329757e+01,4.578692655e+01,7.693302074e+00,9.795884478e+01,9.708240235e+01,4.352616460e+01,4.296000425e+01,9.331952946e+01,6.898057858e+01,5.155664408e+01
6.411336603e+00,2.773005987e+01,7.351577218e+01,7.974112102e+01,7.790463623e+01,5.943250654e+01,7.895695359e+01,8.636142553e+01,2.462716957e+01,5.453671556e+01,2.470336907e+01,7.909826573e+00,5.957482094e+01
3.791106175e+01,7.511237465e+01,4.899873388e+01,7.676692428e+01,5.905109525e+01,1.683103232e+01,8.636644223e+01,7.413529006e+01,6.328809282e+01,1.264807517e+01,7.883381254e+01,7.631245120e+01,3.532290079e+01
5.891854693e+01,5.413410059e+01,9.480189981e+01,4.989974326e+01,6.062614736e+01,7.268404139e+01,7.594841126e+01,9.797241663e+01,6.533863672e+01,7.079656198e+01,4.753090889e+01,1.355114930e+01,2.501581122e+01
1.606665596e+01,2.208970280e+01,7.997488845e+01,3.100215052e+01,6.943144794e+01,5.914054509e+01,2.997319826e+01,9.588437247e+01,1.124135654e+01,8.689336877e+01,9.439194237e+01,1.096719885e+01,6.571560632e+01
6.045797181e+01,6.249149180e+01,5.934716736e+00,7.205852581e+01,2.764214926e+01,9.095358831e+01,2.209897145e+01,1.715356883e+01,6.218563277e+00,3.174461139e+00,6.733516440e+01,3.230094488e+01,8.389469597e+01
9.116026913e+01,2.807940267e+01,9.954640667e+01,1.741512716e+01,8.577253871e+01,1.516457784e+01,6.815743722e+01,4.639123747e+01,5.543737265e+01,6.345824652e+01,9.921200622e+01,3.152109545e+01,7.357240932e+01
9.260214682e+01,1.936212804e+01,4.293296029e+01,8.310159994e+01,3.301093627e+01,7.530270931e+01,4.544861231e+01,9.613068419e+01,4.238067591e+01,8.301508814e+01,8.218930707e+01,3.723043123e+01,2.949770674e+01
1.107135894e+00,2.842047130e+01,4.925088359e+01,8.088412488e+01,1.703285289e+01,9.981572711e+01,7.209497262e+01,6.892251983e+01,9.182355467e+01,8.402006187e+01,2.909096580e+01,7.507036633e+01,5.430297781e+01
3.647838653e+01,6.647464620e+01,7.705392455e+01,7.302586254e+01,1.111265932e+01,5.960857543e+01,6.137135686e+01,1.304305095e+01,3.861733676e-01,6.302401490e+01,6.890373324e+01,7.431157019e+01,8.462759515e+01
1.188368302e+01,6.376832420e+01,3.898834290e+01,6.265899473e+01,3.840052042e+01,2.528571382e+01,7.468886646e+01,6.187456126e+01,8.079307704e+01,9.777990526e+01,1.455733690e+01,9.795655462e+00,3.520504410e-01
4.417356088e+01,4.240669064e+01,6.958390007e+01,3.802157552e+01,2.311830125e+00,9.995958614e+01,7.532339349e+01,7.588588966e+01,7.492718325e+00,2.030010819e+01,3.328816738e+00,1.698967677e+01,9.949995255e+01
5.138236461e+01,7.134518756e+01,2.935452960e+01,6.804712305e+01,3.457432563e+01,3.401455698e+01,5.649272878e+01,4.628404180e+01,1.160873783e+01,6.261617043e+01,1.485418938e+01,2.217919985e+01,9.067196508e+01
9.745841035e+00,5.343981843e+01,5.452288647e+01,5.680658174e+00,2.340027175e+01,5.604237832e+01,6.665472988e+01,7.735646949e+01,1.331856106e+01,6.074577377e+01,9.601461043e+01,3.309968873e+01,9.785301794e+01
8.223976535e+01,4.723523162e+01,8.148179669e+01,6.563446093e+00,5.331463027e+01,5.159289464e+01,8.115937070e+01,7.332668045e+01,4.299596510e+01,7.607145542e+01,7.997729936e+01,5.137892087e+01,6.076431093e+01
7.497135432e+01,2.657389035e+01,5.221940900e+00,9.931504901e+00,3.804577896e+01,5.886826871e+01,8.006107658e+01,2.739661175e+00,2.831664608e+01,9.754720182e+00,6.549196852e+01,8.008065485e+01,6.411007135e+01
1.938654316e+01,8.753822024e-01,6.186340210e+01,3.978676211e+01,4.770429468e+01,7.512034277e+01,2.222483985e+00,6.156673381e+01,3.774256854e+01,1.335950155e+01,8.481543311e+01,8.167003166e+01,4.619339184e+01
5.838061312e+01,7.144782839e+01,4.358922265e+01,7.914536973e+01,8.840563359e+01,8.397398507e+01,2.410122361e+01,9.773780207e+01,9.850397784e+01,4.066329790e+01,6.213792918e+01,5.707600519e+00,8.411411299e+01
6.190654872e+01,9.305103627e+01,2.814342449e+01,5.509753978e+00,2.424051668e+01,4.074451872e+01,3.601705970e+01,2.493630483e+01,9.462452822e+01,4.491716892e+01,9.155522228e+01,2.800974028e+01,6.361645472e+01
7.229057254e+01,3.729194860e+01,9.783297604e+01,3.390335570e+00,4.687098027e+01,3.673945036e+01,1.754354065e+01,9.244300126e+01,1.833853587e+01,1.436874718e+01,7.600009176e+00,7.352919429e+01,3.767284466e+01
7.936046225e+01,6.095824564e+01,6.586638345e+01,3.708888408e+01,5.916650508e+01,7.317606470e+01,3.505063874e+01,9.883421096e+01,9.798321998e+00,8.423410664e+01,3.625624281e+01,6.582992524e+01,7.796866666e+01
2.130196174e+00,6.877603355e+01,7.776291821e+01,4.108286464e+01,8.257291188e+01,7.495451315e+01,4.986483232e+01,7.467055382e+01,8.434951243e+01,4.365674066e+00,3.503717186e+01,9.121436116e+01,1.289571538e+01
9.192740257e+01,4.143372833e+01,8.582780378e+01,8.360253377e+01,7.572974324e+01,6.640474126e+01,4.606965711e+00,8.534376865e+01,5.490885116e+01,2.877259779e+01,8.408661426e+01,5.398210848e+01,7.584131417e+01
3.899126086e+01,9.213234850e+01,8.440541438e-01,7.113010954e+01,3.241848672e+01,5.110268016e+01,5.003972617e+01,6.327796312e+01,5.283895818e+01,8.319035746e+01,8.174642345e+01,8.780816972e+01,6.800343057e+01
9.090734963e+01,8.800298155e+01,4.364843074e+01,7.425651288e+01,5.315641767e+01,6.331968159e+01,3.954081847e+01,2.383057896e+01,7.197551912e+01,5.628347374e+01,9.948466982e+01,6.910606967e+00,2.405898764e+01
4.237375787e+01,1.757600131e+01,5.288949787e+01,7.381541499e+01,9.110662334e+01,5.139961971e+00,7.449860696e+00,3.198769780e+01,2.795081187e+01,5.007197209e+00,7.672365963e+01,7.558000977e+01,5.864930476e+01
2.627751055e+01,4.951045281e+01,8.927725093e+01,1.318429754e+01,9.946852939e+01,7.869824099e+01,1.443749191e+01,7.819942600e+01,9.084512899e+01,4.133241317e+01,6.727035018e+01,5.205622332e+01,6.854328180e+00
1.922627107e+01,1.890073829e+01,9.871393683e+00,2.389408403e+01,2.525889155e+01,4.077416829e+00,9.205016823e+01,9.762189323e+01,1.362591203e+01,5.755523409e+01,4.627983854e+01,6.624635469e+01,1.611431571e+01
6.795434252e+01,4.858376109e+01,4.772880223e+01,5.309045432e+01,4.709783503e+01,9.172879127e+01,5.656903894e+01,6.510082631e+01,8.178272673e+01,3.225437964e+01,6.981162351e+00,2.604213784e+01,3.183223328e+01
8.474078053e+01,9.035818352e+01,8.066330789e+01,3.001748418e-01,8.001745954e+01,7.543455573e+01,7.839189130e+01,7.300702310e+01,1.768421405e+01,9.578340456e+01,6.740253871e+01,9.249214652e+01,2.856834027e+01
5.351363930e+01,1.494732384e+01,8.756175856e+01,2.946681152e+00,3.378816668e+01,2.820153823e+01,9.504823627e+00,4.371634532e+01,9.312036608e+01,5.618872081e+01,2.636097477e+00,1.883131330e+00,1.374778616e+01
3.800297893e+01,8.032803846e+01,3.549272071e+01,2.268493263e+01,7.543105143e+01,8.844513615e+01,9.127298379e+01,3.263327563e+01,2.764817072e+01,5.307077752e+01,2.205571130e+01,2.263957080e+01,4.142626565e+01
8.516167389e+01,5.709243678e+01,3.070432355e+01,5.493411656e+01,1.693460324e+01,3.309615533e+01,3.454065606e+01,5.698117702e+01,7.447025219e+01,3.853174484e+01,1.206122012e+01,9.029976797e+01,8.484876138e+01
6.699221843e+01,4.232573949e+01,2.871694574e+01,8.665385929e+01,3.047887304e+01,9.445887248e+00,4.275936778e-02,9.437206831e+01,9.394266222e+01,4.343662021e+01,6.764295032e+01,5.733259446e+01,4.198933423e+01
2.464156028e+01,8.973048538e+01,1.259799264e+01,1.701062970e+01,8.206235960e+01,4.322604256e+01,7.728922763e+01,5.080740926e+01,4.784819565e+01,5.127145333e+01,9.957539864e+01,1.320894834e+01,3.785652231e+01
6.283837665e+01,9.185237539e+01,1.197451273e+00,8.104012305e+01,4.907203980e+00,5.782757345e+01,1.943054070e-01,1.304386676e+00,3.116978784e+01,7.509590181e+01,4.656665154e+01,6.630915954e+01,3.983969350e+01
6.143183924e+01,9.561500943e+01,6.079865198e+01,4.865893698e+01,3.495426070e+01,3.338614838e+01,4.874358134e+01,3.788628349e+01,4.256686954e+01,3.209474569e+01,1.072872185e+00,5.434419409e+01,1.172599646e+00
2.128971268e+01,8.540024431e+01,8.443257342e+01,6.100654692e+01,2.039539188e+01,5.953930739e+01,9.413177820e+01,5.120537788e+01,3.523232937e+01,4.699779038e+00,2.830744652e+01,8.223634258e+01,4.639101020e+01
9.837645010e+01,7.506010234e+01,6.286553585e+01,6.704640353e+01,1.225027078e+01,1.303188807e+01,7.900657016e+00,8.499624568e+01,2.728455793e+01,3.936466293e+01,5.705954592e+01,5.420849786e+01,9.091979918e+01
7.098267357e+00,2.950291218e+01,5.172958626e+01,8.209856165e+01,4.182692004e+01,3.511145314e-01,7.542140557e+01,4.553756943e+01,6.483227340e+01,9.387727054e+01,9.402505858e+01,2.936217913e+01,6.263788535e+01
7.025422756e+01,3.195502912e+01,3.511094095e+01,1.765656458e+01,1.439098788e+01,5.223958226e+01,4.731856371e+01,1.503071533e+01,2.865701215e+01,6.480871589e+01,1.545441140e+01,7.832138353e+01,9.507907451e+01
9.787282182e+01,4.689235657e+01,2.564088160e+00,5.091415327e+01,4.937833805e+01,8.685392012e+01,7.421428560e+01,3.918987943e+01,4.818053038e+01,3.678097601e+01,8.564461480e+01,2.380025711e+01,7.866998592e+01
8.164593961e+01,5.882235989e+01,1.477442696e+01,1.122691787e+01,9.760059218e+01,8.880554977e+01,4.699588499e+01,8.730307810e+01,5.207651867e+01,2.588762885e+01,1.041100070e+01,2.228972492e+01,3.099801555e+01
6.272265296e+00,4.789039643e+01,7.518855583e+01,8.839132994e+01,7.121240490e+00,1.498579231e+01,8.262404376e+01,6.288500042e+01,2.292500707e+01,6.580793954e+01,6.907064689e+01,2.647294919e+01,5.189772801e+01
