v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22
9.860376843e+01,8.837076077e+00,2.238508383e+00,3.367359546e+01,3.198191962e+00,8.421378622e+01,4.089053024e+01,9.019667007e+00,2.763676972e+01,6.314750311e+01,7.795277124e+00,8.462116683e+01,8.811255115e+00,8.394836593e+01,6.501613150e+01,1.062216349e+01,6.150207801e+01,2.770363273e+01,8.390142857e+01,4.315080420e+01,8.638720935e+00,1.358052972e+01
5.878454106e+01,3.179897701e+01,4.921329933e+01,9.099483982e+00,3.512488408e+01,5.913738575e+01,3.727768414e+01,5.689795206e+01,5.779247009e+01,4.617217720e+01,1.340421767e+01,4.969832551e+01,7.199382491e+01,6.608121742e+01,9.713522675e+00,6.321181085e+01,8.284773919e+01,2.172463184e+01,3.867326505e+01,2.645342227e+01,1.530870855e+01,7.845342035e+00
1.524932580e+01,3.941211349e+01,5.609675099e+01,9.208685001e+01,3.721243388e+01,3.990354981e+00,2.868762369e+01,6.103937500e+01,6.030797721e+01,5.153578414e+01,2.681675194e+01,4.688444441e+01,9.746077356e+01,9.540011261e-01,3.944789456e+00,7.152111233e+01,1.619447337e+01,5.524839848e+01,3.469381961e+01,7.695202638e+01,6.622608291e+01,8.100525268e+01
1.759486432e+01,4.152927097e+00,7.758569293e+01,2.649397490e+01,9.900192381e+01,4.869685176e+00,4.744021273e+01,9.949279528e+01,7.473780214e+01,7.347714716e+01,5.827595721e+01,5.576480033e+01,7.642184536e+01,3.431654437e+01,9.570311885e+01,4.298120981e+01,6.575050840e+01,3.245039204e+01,7.451026942e+00,4.773840954e+01,5.685991370e+01,5.231503898e+01
2.286455416e+01,6.536180441e+01,6.156543421e+01,1.291260210e+01,4.685624201e+01,5.639175674e+01,8.802267844e+01,6.188690817e+01,3.863331818e+01,7.378828736e+01,6.808530560e+01,8.735645872e+01,7.302975443e+01,8.180246247e+01,9.955190377e+01,4.148461434e+01,2.173582740e+01,4.158765734e+01,8.387147206e+01,8.316110087e+01,3.883271726e+01,5.584852361e+01
3.252457612e+01,7.687829099e+01,7.288735271e+01,1.475657451e+01,3.100271117e+01,5.089943213e+01,2.294299985e+01,2.602481272e+00,8.442326408e+01,7.849487673e+00,3.198628466e+01,4.482260078e+01,7.183070674e+01,1.078173406e+01,6.852314015e+01,7.710999416e+01,7.913170766e+01,3.512920510e+00,5.091113985e+01,9.252896552e+01,9.489211033e+01,4.441571929e+01
6.770627571e+01,7.159216884e+01,1.952335145e+01,6.114133227e+01,9.335493613e+01,6.166548792e+01,2.692474523e+01,8.613057644e+01,1.458537717e+00,6.487180132e+01,5.546738075e+01,2.562353942e+01,1.336483931e+01,2.729333123e+01,6.833990080e+01,8.915969522e+01,7.022745013e+01,2.249893353e+01,3.398881391e+01,3.350795130e+01,7.993953621e+01,3.520655221e+01
1.632680786e+01,5.594376336e+01,6.797981059e+01,6.853293657e+00,2.592099117e+01,9.085008923e+01,1.041230783e+01,6.565740089e+01,1.876135159e+01,8.034343962e+01,7.778013350e+01,9.815248706e+01,8.129199979e+01,5.490679004e+01,5.729198859e+01,6.251969048e+01,5.786163822e+01,7.131033734e+01,7.102544410e+01,1.040502498e+01,8.589626757e+01,2.836934244e+01
3.744456011e+01,8.502082498e+01,6.235846361e+01,8.798087182e+01,9.213558521e+01,3.362681023e+01,9.082281997e+00,1.767763814e+01,2.238297115e+01,2.776988374e+01,9.368150375e+01,3.204648365e+01,4.181051413e+00,9.474135556e+01,6.986087219e+01,9.670765790e+01,9.504215688e+01,5.220660168e+01,3.505900269e+01,7.307336735e+01,1.860655170e+01,8.253479665e+01
1.684671776e+01,8.997237345e+01,8.746504885e+01,1.624872546e-01,7.650596121e+01,2.142572637e+01,9.259245994e+01,6.239993698e+01,3.406562053e+01,2.047203417e+01,4.774289410e+00,3.032611811e+01,8.058827909e+01,6.457450079e+01,3.931386385e+01,3.988926963e+01,9.754924332e+01,6.550458711e+00,7.062091976e+01,6.476986740e+01,1.794099092e+01,4.160502140e+01
6.816283744e+01,8.715296406e+00,1.255841215e+01,6.729605888e+01,7.002466495e+01,1.404675732e+01,9.191316489e+01,2.042525616e+01,7.162050979e+01,7.565547872e+01,8.877078841e+00,8.677699785e+01,6.820055611e+01,7.451308027e+01,3.719550765e+01,4.087873341e+01,9.925490095e+01,5.613323055e+01,5.523540001e+01,1.976862138e+01,4.578327503e+01,3.570888319e+01
2.164051949e+01,2.341469551e+00,3.767279520e+01,1.488774305e+01,7.347272289e+01,3.035862032e+00,3.387131080e+01,5.448436765e+01,9.856858308e+01,4.608302019e+00,4.122013340e+01,2.195331800e+01,9.569418065e+01,2.036999112e+01,5.114316448e+01,4.508516948e+01,4.159966048e+01,3.371090355e+01,1.527472422e+01,8.686576186e+01,2.555903652e+01,8.173836269e+00
5.224453483e+00,9.405981207e+01,7.927692028e+01,9.033618600e+01,2.756030705e+01,7.039456083e+01,5.258689217e+01,6.404824125e+01,3.699564346e+01,1.411509838e+01,6.084063557e+01,8.540799125e+01,7.226958366e+01,1.618018588e+01,1.563740944e+01,3.932249268e+01,6.855779206e+01,3.828706275e+01,1.138570853e+01,3.603523468e+01,2.575352770e+01,2.466249526e+01
9.975258435e+01,9.657364147e+01,1.018364524e+00,4.169483277e+01,4.172175826e+00,5.380150686e+01,5.859760245e-01,1.063207922e+01,4.545780990e+00,8.582805263e+01,9.796262334e+01,2.745678670e+01,4.978982542e+01,5.209615979e+01,7.660491278e+01,3.204285186e+01,3.825289528e+01,1.026389596e+00,6.109321145e+01,4.646768177e+01,4.118995478e+01,1.746430083e+01
3.984447205e+01,8.352167491e+01,6.453364831e-03,1.810000681e+01,4.329894991e+01,4.889638980e+01,1.697492149e+01,2.575798203e+01,1.193513125e+01,5.269568840e+01,9.991583103e+01,9.506614452e+01,6.422896812e+01,3.874366526e+01,1.657318867e+01,7.975741554e+01,6.959536928e+01,8.584306809e+01,9.109315904e+01,4.532914982e+01,5.763107343e+01,6.701375435e+01
9.140852887e+01,1.247651234e+00,8.159996210e+01,8.885285653e+01,5.567277444e+01,9.351000515e+01,4.309575201e+01,8.224027283e+01,4.900272545e+01,7.526200182e+01,4.089333549e+01,9.782513762e+01,4.033113375e+00,8.977105438e+01,6.968944181e+01,1.409953805e+01,8.451389997e+01,8.244470639e+01,2.099369241e+01,2.435591775e+01,8.964311893e+01,9.724647879e+01
9.575036446e+01,6.220602704e+00,2.804860055e+00,4.377202559e+01,1.625529596e+01,4.626801590e+01,5.921522900e+01,2.335892410e+01,8.376776176e+00,4.195391097e+01,4.373047843e+01,9.434748291e+01,5.675562860e+01,5.102890734e+00,9.648470181e+00,5.323302858e+01,8.980880458e+01,2.356238537e+01,7.851199525e+01,5.510755221e+01,3.579946693e+01,9.500613360e+00
8.415166223e+01,3.195960091e+01,1.318321718e+01,7.892485682e+01,7.656033699e-01,5.047342909e+01,8.904201785e+01,2.405135642e+01,1.539266295e+01,7.850326871e+01,9.969873046e+01,8.301938673e+01,6.221962113e-01,6.660951677e+01,3.763623843e+00,3.923314412e+01,4.439314313e+01,2.457787526e+01,3.429914747e+01,3.778868312e+01,8.464863453e+01,2.168596502e+01
7.664715837e+01,5.348040700e+01,7.599245495e+01,6.039709884e+01,4.412310356e+01,9.275696434e+01,3.471195407e+01,8.879574324e+01,5.452461161e+01,2.637951047e+01,4.762295214e+01,4.793232182e+01,2.221276375e+01,1.259936203e+01,3.258837329e+01,4.379865622e+01,4.054988609e+01,4.464457968e+01,1.235969885e+01,8.205269349e+01,1.521237882e+00,2.258549466e+01
2.212238469e-01,3.624056128e+01,7.849104935e+01,5.833908569e+01,6.739176094e+01,2.721230993e+01,2.507885992e+01,6.912036360e+01,9.414562011e+01,9.071562880e+01,5.333461884e+01,3.294021928e+01,2.998052776e+01,1.359457936e+01,8.879831712e+01,5.220144491e+01,7.250033687e+01,6.092090039e+01,1.535311027e+01,9.232503415e+01,6.532038042e+01,8.422236938e+01
3.228645180e+01,2.782014783e+01,4.351720178e+01,5.293605863e+01,5.929995680e+01,4.772087258e+01,2.917444170e+01,3.337260838e+01,7.026878077e+01,6.650519670e+01,5.490906606e+01,7.198292971e+01,3.927213923e+01,1.742050425e+01,7.117894656e+01,5.561498387e+01,8.655843933e+01,8.172150879e+01,1.338747901e+01,6.384486262e+01,4.162524892e+01,2.328466289e+01
8.605326984e+01,8.827829106e+01,3.982332579e+01,8.728343209e+01,8.845194410e+01,8.052552547e+01,7.926926879e+01,9.807507001e+01,4.614251498e+01,6.757037145e+01,6.433346423e+01,6.930468722e+01,2.881875736e+01,8.841877094e+01,3.460995027e+01,8.101303441e+01,5.175550948e+00,3.844761660e+01,8.067402812e+01,6.844382165e+01,9.559969478e+01,3.438152769e+01
9.099270120e+01,2.047274811e+01,8.535481672e+00,9.139489098e+00,4.349341502e+01,1.463648053e+01,6.423166240e+01,3.133045714e+01,4.121137770e+01,6.908538853e+00,9.108622461e+01,3.259852446e+01,2.092438350e+01,5.065523391e+01,2.689963864e+01,2.418769825e+01,2.563634806e+01,2.538951708e+01,2.741521984e+01,4.855987258e+01,5.415713215e+01,3.666069749e+01
4.834358931e+01,5.193747746e+01,8.297397859e+01,2.805659230e+01,6.987104362e-01,9.543659885e+01,7.907420996e+01,3.640593013e+01,1.816324038e+01,3.014929491e+00,7.909473351e+01,9.355999538e+01,9.845767205e+00,7.029169255e+01,6.901578052e+01,9.213276959e+01,6.815246521e+01,6.330972006e+01,4.239789697e+01,6.064497822e+01,5.533005957e+01,3.198762812e+01
1.316826943e+01,3.906935324e+00,7.073447930e+00,4.800901287e+01,5.156200672e+01,5.478093031e+00,1.918911226e+01,7.150181677e+01,7.568870614e+01,8.908790707e+01,9.479054742e+01,6.279887648e+01,2.156640993e+00,6.540978126e+01,4.576626280e+00,5.198734538e+01,9.085554929e+01,6.386521684e+00,4.723856269e+01,8.146859332e+01,8.061289033e+01,9.572856536e+01
7.428809268e-01,5.695397590e+01,5.644303293e+01,1.242045435e+01,5.264676847e+01,9.591571862e+01,9.240414495e+00,9.390825422e+01,5.567918619e+01,1.598592484e+01,9.442935675e+01,7.476838252e+01,6.433122763e+01,5.601326555e+00,3.298204434e+01,8.681815253e+01,1.338209601e+01,2.494561483e+01,9.138488980e+01,6.852997636e+00,6.969878702e+01,5.267606275e+00
3.369472969e+01,7.325466758e+01,3.858502726e+01,7.493839062e+01,5.987400735e+01,7.636616482e+01,4.982072788e+01,7.008758426e+01,8.970931535e+01,1.911734180e+01,6.182112545e+01,9.839865518e+01,7.618667543e+01,3.014358379e+01,6.531974527e+01,7.685255648e+01,9.371072253e+01,4.045955412e+01,5.890227075e+01,7.552088635e+01,5.670615759e+01,6.131270413e+01
3.973997425e+01,2.429052270e+01,6.644347829e+01,6.826463987e+01,9.337657970e+00,5.794314331e+01,2.851890800e+01,2.952621080e+01,1.618372289e+00,3.849271973e+01,7.685879040e+00,4.518249428e+01,9.689542326e+01,7.180503432e+01,3.780975940e+01,4.553146931e+01,9.957296360e+01,8.127262293e+01,3.983783656e+01,9.201620696e+01,8.252327996e+01,9.697233572e+01
4.901911964e+01,7.353138307e+01,4.572203673e+01,6.698638156e+01,6.024090563e+01,5.747366511e+01,3.062144126e+01,6.360242766e+01,9.130902520e+00,2.491758032e+01,5.371889866e+01,3.078240390e+01,9.763830932e+01,6.091564631e+01,8.362860492e+01,7.202856280e+01,9.197407913e+01,3.812904960e+01,8.820190284e+01,5.233195901e+01,4.751630994e+01,8.473871677e+01
8.264473746e+01,8.614823037e+01,1.697279536e+01,5.266932261e+01,1.716315929e+01,8.970730889e+01,5.181598064e+01,6.117151241e+01,9.456764742e+01,4.897877936e+01,9.014384556e+01,5.336107071e+01,8.397917762e+01,1.555346967e+01,4.360113879e+00,3.055790184e-01,8.277767866e+01,9.093703301e+01,6.088519881e+01,2.825061401e+01,3.483212166e+01,5.790328534e+01
2.830092272e+01,2.761325067e+00,6.493827849e+01,2.551162663e+01,4.644141910e+01,5.423767254e+01,3.852735198e+01,9.192328670e+00,3.004642465e+01,5.314541972e+01,3.887815912e+01,7.063374029e+01,4.507752748e+01,8.539371426e+01,7.024399002e+00,6.054962135e+01,1.251813696e+00,4.548009371e+01,5.014583462e+01,1.396384852e+00,9.547951577e+01,3.283420306e+01
4.943872220e+01,4.301888165e+01,4.118032382e+01,2.886626839e+01,9.261862050e+01,7.411793296e+01,1.711925605e+00,5.763565057e+01,8.539090199e+01,2.963805072e+01,7.201309292e+01,9.580244485e+01,2.586519406e+01,2.603264270e+01,7.214017927e+01,4.439601055e+01,2.851650941e+01,2.202091196e+00,8.157457336e+01,9.641474809e+01,4.058594381e+01,5.411773459e+00
8.686084305e+01,8.018632964e+01,3.541584483e+01,7.219455809e+01,3.710249811e+01,6.174779891e+01,4.517652974e+01,8.697129749e+01,7.343203988e+01,9.900034281e+01,1.282663695e+01,1.553390160e+01,8.804403255e+01,9.617409276e+01,6.715866909e+01,6.649001716e+01,8.553652984e+01,4.523969323e+01,4.323390793e+01,1.929792221e+01,1.451990439e+01,6.939643011e+01
5.432848091e+01,2.844261021e+01,1.458626023e+01,9.874037369e+00,6.472316500e+01,4.037961808e+01,6.445390826e+01,1.990898903e+01,6.209854234e+01,6.780763760e+01,3.865073483e+01,5.087943919e+01,8.795078210e+01,2.707119863e+01,2.310299076e+01,1.179047628e+01,8.027166907e+01,2.840885790e+01,9.342773515e+01,6.211537580e+01,3.621405208e+01,8.588729549e+01
1.238405911e+01,7.195631443e+01,9.374157883e+01,3.068856861e+01,3.957490481e+01,4.153731963e-01,2.996265436e+01,9.468868249e+01,2.094752410e+01,6.867651711e+01,1.441524502e+01,5.939989466e+01,6.805865825e+01,4.361776101e+01,5.050455808e+01,2.171752737e+00,2.785701282e+01,6.494973884e+01,3.137317321e+01,7.312420743e+01,3.035858546e+01,7.289709088e+01
9.561085935e+01,7.172660976e+00,7.001243115e+01,5.637722384e+01,4.267883028e+01,4.918482763e+01,2.061879130e+01,8.427225285e+01,1.287454140e+01,5.094883073e+01,2.750537985e+01,5.982348619e+00,1.725616041e+01,5.110070849e+01,1.187209931e+01,9.315787811e+01,8.640161533e+01,6.183542902e+01,2.733808125e+01,1.293789964e+01,5.792133151e+01,4.217817308e+00
5.397706678e+01,7.541994019e+00,9.914600695e+01,9.163694447e+01,9.126223054e+01,7.535666872e+01,8.077032239e+01,9.386571977e+01,1.490948231e+01,5.540230724e+00,3.026425616e+01,4.189421818e+01,8.424521755e+01,4.599220200e+01,6.350970332e+00,4.265997851e+01,6.119272651e+01,8.863824210e+00,7.805311716e+01,5.943290941e+01,8.874126262e+01,2.134567465e+01
6.287437494e+00,1.258885324e+01,3.377614304e+01,9.557198237e+01,4.107214615e+01,1.683636153e+01,4.386190171e+01,5.782637747e+01,2.367834125e+01,6.507496650e+01,3.490772950e+01,3.442162504e+01,3.919357010e+01,3.850887481e+01,7.821098738e+01,1.013663853e+01,5.552210324e+01,2.441086338e+01,9.639908338e+01,7.655198759e+01,1.306985593e+01,9.650573331e-01
7.541472482e+00,7.879969173e+01,1.895173418e+01,5.493409017e+01,9.520072053e+00,1.320394681e+01,7.676123601e+01,1.650328406e+01,1.912978431e+01,8.389778441e+01,4.677437529e+01,3.190442187e+01,2.551380886e+01,4.122244650e+01,7.569974247e+01,5.187066055e+00,7.822928922e+01,6.882622123e+01,5.956171217e+01,8.422857829e+01,2.935241239e+01,9.831885995e+01
8.182496739e+01,4.972109169e+01,2.302883342e+00,2.079562149e+01,9.167264394e+01,8.227505128e+01,7.629088844e+01,1.110168669e+01,4.025526373e+01,7.427792342e+01,8.008977033e+01,1.149134692e+01,4.768439123e+01,1.262593973e+01,6.593161456e+01,5.156890233e+01,8.221241812e+01,5.717596357e+01,9.177124514e+01,3.064344589e+01,1.110766226e+01,2.644963686e+01
2.884901041e+01,2.572073677e+01,7.973970078e+01,7.286074252e+01,8.647226473e+01,5.202339847e+01,9.879267288e+01,8.331356840e+00,3.185332332e+01,4.706783662e+01,1.893407560e+01,4.019762137e+01,6.608103608e+01,2.290870688e+01,8.234322771e+01,4.270631673e+01,6.546075660e+01,6.716535812e+01,4.212224403e+01,2.342895706e+01,1.078426110e+01,4.480927302e+01
3.905250546e+01,5.654427440e+00,3.834368686e+01,1.206842716e+01,1.054563384e+01,3.777794899e+01,9.679009189e+01,8.059870545e+01,6.259618293e+01,4.863256521e+01,2.483191780e+01,2.233848542e+01,7.925399212e+01,5.783041437e+01,8.066288834e+01,8.168363075e+01,3.538743281e+00,6.501615177e+01,1.515129330e+01,6.346248590e+01,1.828270318e+01,9.049027241e+01
3.673725117e+01,6.801962059e+01,8.807772635e+01,2.095084472e+01,3.434826656e+01,4.538594519e+01,4.669729688e+01,8.552481648e+01,7.423311517e+01,6.120660040e+01,7.236086557e+01,2.949913788e+01,2.126202848e+01,6.411512745e+01,5.513464822e+01,6.865335968e+01,2.039787374e+01,5.962073683e+01,7.412673946e+01,2.249915691e+01,2.591466258e+01,1.444797100e+01
2.176631837e+01,5.735535073e+01,1.048278080e+01,2.922884112e+01,1.558388630e+01,4.804021186e+01,7.749877732e+01,9.065125503e+01,3.287940591e+01,5.439753749e+01,9.276819155e+01,3.670632844e+01,2.724804515e+00,5.265910017e+01,5.031652027e+01,8.573901303e+01,2.379520666e+01,8.100653264e+01,5.748512516e+00,9.574592365e+01,2.323704548e+01,2.290146778e+01
8.060925043e+01,8.899806158e+01,4.656007637e+01,7.443438951e+01,6.553310925e+01,2.190686270e+01,7.598899078e+01,9.191766491e+01,8.527267112e+01,5.442434466e+01,7.054498845e+01,6.719854630e+01,6.159727828e+01,6.333701522e+01,2.382889864e+01,9.396420299e+01,3.878209818e+01,5.856711158e+01,9.311439412e+01,7.894334788e+01,3.359697220e+01,3.160398253e+01
4.917710570e+01,2.269905686e+01,1.796855268e+01,8.155336918e+01,3.421061912e+01,5.966679627e+01,6.529751442e+01,5.573982208e+01,3.433607157e+01,9.393376149e+01,2.145917803e+01,1.791374813e+01,4.016908848e+01,5.483533430e+01,1.678543111e+01,3.858837854e+01,1.099648569e+01,7.553753785e+01,1.835211136e+01,9.336208330e+01,7.845355001e+01,1.607673443e+01
6.156702313e+01,7.595054677e+01,8.666312733e+01,5.203010045e+01,6.973855369e+01,6.565766501e+01,5.728491346e+01,9.043442478e+01,3.513188686e+01,6.929335777e+01,6.746490444e+01,8.208273618e+01,8.495279207e+01,7.615766834e+01,5.951490841e+01,3.957830840e+01,9.398093047e+01,8.656029582e+01,1.747334439e+01,7.721249161e+01,5.618287316e+01,8.028709591e+01
2.188637551e+01,9.541526609e+00,4.640711663e+01,8.290446315e+01,7.865148938e+00,9.297740885e+01,1.462280928e+01,1.954195133e+01,4.232535914e+01,6.622292207e+01,9.425604498e+01,9.139620894e+01,1.150758941e+01,1.953447126e+01,2.707799989e+01,8.472420946e+01,2.676712135e+01,5.356128109e+01,5.677073384e+01,6.496255141e+01,2.181229950e+01,8.854581558e+01
3.002492300e+01,1.275277365e+01,8.910157931e+01,5.570495781e+01,9.876908344e+01,6.330189816e+01,6.602495862e+01,6.235087895e+00,9.231271110e+01,3.727216037e+01,2.310919738e+01,1.668858463e+01,3.545895870e+01,1.421223251e+01,3.037069822e+00,2.528290745e+01,2.554276884e-02,1.290972291e+01,4.231844924e-01,4.943132226e+01,1.408917889e+01,7.128792755e+01
2.957814861e+01,7.624387871e+01,4.825784591e+01,9.222598656e+01,4.766673817e+01,8.813619895e+01,7.240858051e-01,9.527918568e+01,2.946668737e-01,7.244907565e+01,5.618299044e+01,7.937716024e+01,6.299898515e+01,3.465580211e+01,7.532060116e+01,5.718684819e+01,6.623556274e+01,2.674482476e+01,7.814335758e+01,9.659083376e+01,8.504096504e+01,9.207008987e+01
6.028561378e+01,6.369212067e+01,8.224794347e+01,5.928381712e+01,3.084245568e+01,3.209028033e+01,8.058369953e+01,3.319695919e+01,1.176635703e+01,8.232289126e+01,2.126304662e+01,4.396586311e+01,3.744021030e+01,5.768899458e+01,9.829184793e+00,3.870272348e+01,5.639401340e+01,1.392508861e+01,2.555024605e+01,3.767676856e+00,4.213193856e+01,4.712879456e+01
8.922090217e+01,4.823763005e+01,8.817581762e+01,9.357942842e+01,5.727955225e+01,1.837049266e+01,9.927742333e+01,2.134213767e+01,6.572946543e+01,8.796539514e+01,1.270463043e+01,5.008403894e+01,5.860345423e+01,2.338548849e+00,7.320438726e+01,8.223448878e+01,2.331403940e+01,7.274424992e+00,3.660489891e+01,3.585291671e+01,5.063905708e+01,1.156524316e+01
3.849642222e+01,1.206493870e+01,5.591230216e+01,2.974036427e+01,2.006494537e+00,6.104713341e+01,3.611871391e+01,9.736251188e+01,6.379331628e+01,7.338115601e+01,1.817148429e+01,6.742816715e+01,6.314521527e+00,7.156749627e+01,7.991665174e+00,4.062174988e+00,1.764101862e+01,4.923596407e+01,4.173823400e+01,4.430355559e+01,6.481084859e+01,3.645753251e+01
7.888064468e+01,8.936979712e+01,3.034594144e+01,9.108099529e+01,8.931275227e+01,3.683296392e+01,9.287393686e+01,5.505470574e+01,8.868249602e+01,9.469437023e+01,7.999616949e+01,9.484474321e+01,6.620625820e+01,4.517373893e+01,5.422302125e+01,3.332185902e+01,4.258519007e+01,3.992957891e+01,9.620196821e+01,9.458175347e+01,6.344257310e+01,3.967760508e+01
7.302706768e+01,1.223762318e+01,1.616732569e+01,4.775084224e+01,9.600029525e+01,1.566525939e+01,1.532068220e+01,1.087083924e+01,8.025078839e+01,1.443132032e+01,9.047555863e+01,9.044989961e+01,6.406975749e+01,6.731219051e+01,2.322593095e+01,6.158221324e+00,7.458438044e+01,2.091463608e+01,4.501186586e+00,5.417045504e+01,9.960047249e+01,9.869903372e+01
8.539249415e+01,9.598670213e+01,6.986568570e+01,9.179099334e+01,2.278344437e+01,4.408110080e+01,2.814776024e+01,2.839417981e+01,5.412708232e+01,7.162130867e+01,2.602339880e+01,2.858475833e+01,4.827270477e+01,4.431015338e+01,2.308381595e+01,8.153419447e+01,5.806376318e+01,4.668665579e+01,2.703239852e+00,9.866208407e+01,2.823163579e+01,4.623994574e+01
9.318348709e+01,5.307313209e+01,7.165712342e+01,8.355907088e+01,5.022270278e+01,3.794742267e+01,6.011063523e+01,4.472394313e+01,7.761310173e+01,6.058215935e+01,3.627823340e+01,8.033959337e+00,8.233170426e+01,9.315897665e+01,8.489532633e+01,2.810234466e+01,6.787253943e+01,3.294679587e+01,6.778031329e+01,9.159033457e+01,9.273400284e+01,2.860775850e+01
8.622864179e+01,4.418349034e+01,9.545423854e+01,9.678579177e+01,5.968002185e+01,3.495322697e+01,2.129810863e+01,8.732164035e+01,9.393281491e+01,9.953751298e+01,3.999863322e+00,6.777792125e+01,2.326001304e+01,5.678950215e+01,8.024363910e+01,7.534999455e+01,7.127988996e+01,2.419782177e+00,1.109950615e+01,3.715531921e+01,2.967269483e+01,1.850727133e+01
8.822110316e+01,8.675338867e+00,3.566862567e+01,3.960207968e+01,2.499827909e+01,7.852489755e+01,9.750196659e+00,4.837260124e+01,8.270112120e+01,9.504298603e+01,3.807594273e+01,7.128617602e+01,3.252691358e+01,4.489125605e+01,9.565558759e+01,5.876418503e+00,4.336055314e+01,4.541530560e+00,9.295381425e+00,9.721158956e+01,5.021885436e+01,6.049127810e+01
2.525501880e+01,3.759158114e+01,4.067421224e+01,7.692794914e+01,1.850629326e+01,3.463058099e+01,2.034255454e+01,9.407151377e+01,7.857547283e+01,5.889736217e+01,7.586071940e+01,4.115891580e+01,9.494856564e+01,9.701058123e+01,9.115017811e+01,8.774121769e+01,4.014335164e+00,7.147639092e+01,9.758820550e+01,3.287925784e+01,5.211330250e+00,9.881745395e+00
