v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58
4.090169375e+01,1.447456346e+01,5.965988906e+01,7.801416426e+01,7.374355149e+01,6.054240701e+01,8.536094856e+01,3.077529766e+01,6.973093217e+01,3.822374085e+01,7.954201642e+01,4.171088231e+01,7.898014119e+01,1.172759632e+01,8.609374044e+01,3.579259069e+01,9.439028079e+01,8.560912525e+01,4.091680668e+01,6.910153453e+01,2.272251797e+01,6.298875593e+01,4.485784985e+01,4.011976613e+01,5.744026917e+01,4.315706353e+01,8.875733157e+01,6.059259050e+01,4.039319302e+01,6.978621896e+01,5.143026900e+01,8.280289135e+01,9.612704912e+00,7.638427418e+01,9.794045988e+01,5.929502534e+01,1.925158350e+01,6.555372885e+01,3.663329851e+01,3.513114722e+01,8.380877671e+01,9.465751375e+01,4.677861544e+01,3.068124897e+01,5.065675437e+01,6.253119857e+01,1.436424949e+01,4.213362698e+01,3.226409205e+01,1.625131437e+01,8.807469984e+01,9.854345963e+01,9.003591996e+01,1.926100549e+00,1.994852922e+01,5.789871062e+01,7.159488665e+01,7.897170853e+01
3.073187311e+01,9.956430673e+01,9.360918992e+01,3.693635841e+01,9.108292265e+01,7.159298421e+01,8.422981874e+01,3.466927214e+01,8.853680526e+01,2.389404492e+01,7.507612178e+01,2.517565569e+01,6.674739616e+01,5.434864260e+01,7.912648157e+01,3.780387267e+01,7.990284198e+01,2.401000480e+01,7.289036264e+01,2.409085490e+00,9.101453253e+01,6.252594843e+01,5.204546376e+01,2.669172189e+01,1.886900968e+01,8.948131154e+01,5.330588433e+01,8.260390765e+01,8.991929857e+01,3.943965341e+01,3.627171983e+01,5.738949241e+01,7.042066305e+01,8.994378907e+01,5.153296428e+01,6.754823153e+01,7.500844140e+01,3.834014669e+01,1.825846489e+00,7.487085233e-01,6.835363685e+01,5.492925045e+01,5.386450062e+01,2.178167108e+01,2.981222835e+01,3.508700245e+00,1.797076746e+00,1.426690476e+01,5.955731691e-01,7.877298775e+01,5.294287636e+01,9.019238181e+01,2.685140882e+01,3.669338780e+01,1.099424462e+01,1.717616067e+01,7.549857747e+01,3.358146038e+01
5.678352499e-01,4.452814447e+01,9.518015694e+01,8.237290199e+01,3.686687542e+01,2.273543140e+01,8.566115929e+00,3.089469033e+01,6.293359494e+01,3.568095254e+01,5.821706246e+01,9.752889927e+01,4.066395704e+00,8.107145383e+01,4.660062755e+01,3.999929875e+01,8.037532391e+01,3.112838557e+01,6.253274186e+01,9.246668240e+01,5.757244471e+01,8.366960770e+01,9.086815411e+01,1.214408404e+01,6.336726894e+01,6.202591418e+01,4.065310811e+00,5.273444190e+01,9.840750452e+01,5.431679463e+01,8.722630824e+01,2.129835454e+01,1.791454173e+01,2.481382509e+01,8.372055939e+01,3.202138973e+01,1.608741123e+01,3.882367981e+00,3.598541706e+01,4.282320330e+01,2.367118834e+01,2.432298272e+01,9.030712211e-01,3.915463605e+01,9.096304301e+01,5.568611727e+01,8.025946559e+01,6.563879740e+01,5.756537578e+01,2.707627561e+01,4.222093651e+01,3.568413379e+00,6.245116232e+01,2.589088720e+01,1.419920862e+01,7.234801075e+01,5.915417895e+01,9.439444062e+01
4.191525068e+01,4.144618505e+01,8.483242700e+01,9.153501211e+01,5.889649491e+01,7.447046878e+01,6.552711412e+01,1.643508603e+01,7.379410525e+01,2.522157936e+00,6.034678694e+01,2.499301640e+01,1.047701241e+01,1.709731652e+01,8.564053423e+01,7.114671594e+01,8.612143149e-01,8.380025176e+01,8.460515726e+01,6.113347649e+01,1.036940248e+00,4.161308530e+01,1.075322228e+01,3.684994840e+01,2.228465922e+01,9.093697411e+01,3.385442068e+01,4.857932891e+01,9.548794462e+01,5.915412724e+01,5.400881560e+01,7.923292130e+01,9.616116814e+01,9.037931494e+01,2.160565116e+00,2.313837093e+01,8.996851664e+01,4.220409698e+01,7.164057900e+01,5.183996531e+01,4.596435173e+01,6.130337424e+01,5.532451850e+01,8.380223703e+01,8.111772285e+01,6.408146793e+01,8.984432007e+01,3.854739539e+01,7.828008001e+01,7.078262585e-01,1.086496129e+01,2.345183276e+01,2.354229345e+01,3.002968417e+01,5.732930061e+01,2.686059294e+01,9.527054484e+01,4.203348205e+01
3.464558830e+01,5.189855478e+01,1.893656701e+01,2.571413494e+01,6.825433944e+01,5.752792247e+01,8.598734243e+01,9.824478594e-01,6.051301345e+01,2.770305597e+01,5.243588267e+01,4.695740521e+01,9.794521067e+01,2.492617003e+01,9.366979647e+01,6.158747722e+01,4.273241556e+01,7.646953965e+01,7.658445487e+01,8.451459857e+01,8.707861971e+01,9.801399910e+01,7.525067161e+00,8.615341772e+01,3.880014676e+01,8.059851396e+01,2.800311957e+01,2.628788448e+01,5.865078942e+01,5.444715771e+01,8.044689758e+01,8.515342111e+01,8.124586515e+01,3.174449541e+01,1.799637294e+01,9.097736591e+00,1.757111765e+01,4.043522560e+01,6.428914660e+01,7.454949415e+01,9.028058363e+01,9.734221715e+01,8.820962299e+01,8.283610509e+01,8.691238605e+01,1.301863459e+01,9.152361288e+01,1.435141997e+01,1.568711657e+01,8.943732203e+01,1.868330604e+01,1.905083596e+00,7.928734356e+01,1.196405596e+01,6.301368872e+01,7.073572933e+01,9.922785222e+01,4.334691038e+01
3.428082949e+01,1.265740143e+01,1.086014792e+01,6.808735111e+00,6.901004393e+01,5.196630111e+01,5.551898686e+00,9.137893516e+00,1.547503189e+01,2.695865914e+01,7.656077441e+01,9.466207770e+01,6.956001424e+01,6.665450283e+01,4.687911756e+01,2.034688050e+01,8.394223601e+01,6.536448058e+01,5.298877276e+01,4.528418535e+01,6.984497063e+01,8.769312804e+01,5.527913828e+01,2.542260546e+01,3.429046705e+01,2.786919575e+01,8.626473245e+01,1.392394729e+00,9.632559996e+01,1.578751417e+01,3.925009696e+01,5.388038300e+01,3.126327193e+01,1.059494834e+01,8.839892711e+01,6.271322027e+01,9.839182124e+01,6.538839952e+00,3.326785333e+01,7.872492672e+01,6.984436272e+01,4.963047288e+01,7.087465118e+01,4.274420546e+01,5.586412546e+01,1.274439080e+01,9.118074251e+01,6.500598764e+01,8.511430364e+01,7.984873524e+01,8.293357214e+01,9.780699627e+01,4.001096324e+01,7.632384476e+01,1.171803185e+01,9.267544681e+01,6.224654872e+01,3.021629937e+01
2.198361748e+01,3.616153032e+00,2.456644418e+00,7.740012553e+01,1.338417384e+01,8.755908140e+01,3.052367899e+01,9.477344351e+01,9.655110972e+01,5.300730228e+01,2.830630653e+01,4.710330794e+01,6.773781842e+01,3.975863941e+01,1.987967767e+01,1.686699078e+01,3.330415176e+00,3.437443477e+01,6.517306838e+01,5.594530591e+01,4.055571657e+01,4.850736159e+01,6.198964720e+01,6.501486065e+01,4.494914556e-01,5.025177524e+00,9.356330790e+01,1.909003808e+01,9.358506144e+01,8.217471664e+01,1.563270757e+01,7.451607248e+01,4.667090027e+01,4.146977472e+01,6.707330006e+01,3.876738434e+01,9.609486726e+01,4.966873779e+01,3.257152207e+00,7.598471312e+00,6.527805941e+01,7.849410884e+00,2.818684285e+01,5.061728086e+01,7.185080807e+01,4.283173124e+01,6.594549531e+01,5.658462644e+01,8.201891473e+01,3.985171829e+01,5.128516738e+01,2.636549748e+00,1.016012570e+01,6.459636192e+01,4.583271807e+01,3.224530557e+01,5.408868341e+01,9.090713545e+01
8.794185894e+01,6.468234265e+01,5.779726696e+01,1.216522973e+01,6.396475885e+00,7.572870307e+01,9.791534695e+01,5.367364087e+01,5.436535281e+01,1.436062193e+01,6.474022919e+01,4.892369980e+01,3.178497876e+01,6.922443088e+01,6.169221638e+01,1.760858831e+01,1.773421570e+00,6.619291391e+01,8.300357011e+01,1.258310164e+01,3.679891450e+00,3.328776531e+01,6.912845028e+01,5.412465533e+01,8.578281916e+01,6.020825142e+01,6.496672006e+01,1.595570751e+01,5.715718085e+00,1.048416612e+01,8.063653342e+01,8.386996329e+00,4.606940494e+00,6.303668178e+01,4.903629843e+01,9.241216666e+01,7.392838781e+01,4.345713285e+01,9.300711397e+01,7.048109503e+01,7.028331589e+01,1.154800756e+01,6.645056864e+01,3.843386981e+01,6.285857568e+01,4.055063170e+01,2.439544978e+01,3.512714903e+01,4.953726733e+01,3.477685642e+01,7.937374297e+01,1.975345428e+01,1.320403951e+01,4.567513331e+01,4.591461571e+00,9.702576254e+00,4.831380875e+01,8.997755979e+01
2.847055962e+01,9.418467179e+01,7.269424409e+01,4.554686267e+01,9.259446019e+01,1.326574449e+01,3.395214693e+01,1.546850090e+01,6.803468135e+01,3.249232224e+01,7.706539531e+01,3.241914670e+01,4.051458407e+01,4.817279096e+01,9.671520361e+01,1.428819676e+00,5.635977139e+01,1.652833264e+01,4.108981939e+01,7.313606702e+01,2.188373919e+01,1.484542674e+01,3.897534788e+01,8.555433528e+01,4.545508798e+01,6.018442651e+01,7.743511020e+01,5.418270028e+01,2.751809903e+01,7.773255617e+01,6.729412073e+01,6.074127736e+01,8.552545674e+01,3.747105818e+01,5.427049754e+01,2.268108882e+01,7.062393073e+01,9.945692431e+01,1.331562860e+01,5.918260449e+01,5.970857868e+00,2.552623523e+01,3.734857216e+00,9.070077815e+01,9.954591235e+01,1.963661107e+01,2.214078572e+01,8.653772879e+01,1.254506496e+01,4.867484659e+01,1.204507136e+01,9.107538873e+01,5.396718300e+01,3.733474921e+01,5.143186616e+01,1.844946427e+01,6.964502856e+01,4.409987714e+01
6.932117410e+01,4.354349444e+01,3.660957038e+01,3.351319265e+00,8.584566633e+01,7.692301067e+01,2.807030692e+01,3.421137232e+00,6.682138056e+01,1.602164113e+01,8.110195684e+01,4.181705226e+01,5.734093899e+01,6.489057684e+01,8.285039010e+01,7.669148289e+00,1.071237467e+00,9.335942070e+01,8.121193033e+01,1.384846775e+01,3.791762379e+01,9.561589031e+01,8.640101209e+01,6.817846025e+01,8.545068443e+01,7.543505441e+01,5.474715561e+00,9.612429795e+01,4.757591465e+01,9.448782360e+01,2.604183921e+01,9.347840923e+01,3.448815982e+01,1.977311762e+01,7.271851894e+01,8.003688150e+01,5.174381164e+00,9.597102460e+00,8.905271080e+01,9.972580528e+01,2.220521679e+00,3.334523899e+01,1.485216602e+01,3.644493046e+01,2.857077735e+01,5.536405674e+01,9.335939480e+01,9.828901308e+01,6.623759826e+01,8.628903023e+01,6.601217481e+01,6.448164715e+01,8.013332197e+01,4.933065759e+01,9.144460617e+01,6.400944611e+01,1.487165745e+01,9.636804238e+01
5.989379115e+01,3.537772733e+00,3.082666980e+01,6.109575100e+01,1.240106035e+00,5.408801953e+01,1.049235857e+01,5.272855799e+01,3.700253757e+01,8.803993497e+00,7.184607373e+01,1.004418757e+01,2.236027958e+01,9.854351486e+01,6.972262967e+01,9.523305097e+01,1.717504898e+01,6.193588727e+01,5.219424142e+01,7.171700475e+01,9.449960869e+01,5.246872121e+00,2.324953946e+01,8.677343759e+01,8.440083030e+01,5.288650525e+01,6.626253005e+01,5.940825735e+01,5.242997743e+01,1.742032500e+01,5.419864114e+01,7.700772403e+01,9.343214096e+01,8.809034851e+01,5.928067947e+01,4.937424906e+01,3.520024544e+01,3.073906406e+01,4.347826561e+01,7.335953325e+01,2.886994978e+01,3.191006164e+01,5.971904232e+01,2.253107614e+00,7.778034393e+01,3.939694953e+01,1.250862366e+00,4.741254134e+01,7.166361873e+01,7.213466036e+01,6.830276597e+01,2.305221243e+01,7.315295583e+00,7.110006988e+01,4.452196600e+01,7.250863983e+01,9.318043191e+00,7.741439802e+01
6.335948027e+01,4.133475674e+01,4.617047738e+01,4.950276844e+01,8.357836967e+01,8.091415328e+01,6.149386839e+01,9.636528735e+01,5.230729171e+01,1.379011157e+01,4.197484002e+00,9.698900930e+01,4.881005855e+01,1.517242597e+01,7.821872940e+01,5.608944260e+01,6.605902871e+01,5.403802809e+01,8.716421638e+01,2.686148356e+01,1.116313552e+01,2.295777594e+01,3.760835993e+00,3.604020469e+01,5.114331230e+00,8.336531185e+01,7.488648132e+01,3.731742164e+01,4.083617759e+01,1.053635680e+01,5.119257536e+00,6.821971921e+00,6.497677609e+01,1.118129655e+01,9.951319183e+01,6.807810264e+01,6.509111629e+01,5.834940744e+01,3.355942693e+01,4.685717628e+01,5.309310318e+01,6.418706673e+01,8.883678997e+01,9.080817915e+01,8.332611510e+01,8.279710723e+01,7.242946046e+00,9.343902693e+01,7.973884009e+01,2.165557505e+01,4.414207488e+01,2.004558910e+01,2.443188792e+01,8.232915561e+01,1.028590127e+01,9.550288364e+01,6.439724353e+01,6.769193653e+01
7.324117143e+01,8.381484322e+01,6.474970327e+01,7.635424380e+01,2.486915685e+01,7.214797781e+01,1.426036619e+01,8.140972084e+01,6.822912149e+00,4.584734207e+01,5.023457728e+01,3.723272796e+01,2.093970861e+01,4.733945616e+01,1.461210487e+01,2.915326176e+01,1.920286479e+01,1.459873890e+01,4.318459557e+01,2.265511522e+01,7.974701505e+01,3.063906754e+01,6.553774863e+01,4.470627018e+01,7.316222392e+01,3.604106117e+00,2.129495419e+01,2.486760183e+00,5.502621375e+01,1.869023459e+01,4.337179286e+01,4.430469193e+01,7.148533412e+01,5.477866791e+01,4.702227811e+01,9.413563906e+00,3.903111011e+01,2.973126680e+01,3.753043899e-01,7.949590261e+01,6.550676833e+01,5.853486199e+01,9.763450473e+01,2.790492283e+01,9.313973410e+01,7.906638951e+00,1.147667157e+01,7.910520036e+00,5.885573053e+01,1.210581702e+01,7.807568194e+01,2.521216516e+01,6.949562834e+01,2.277542630e+01,6.418503137e+01,2.632015362e+01,7.128081923e+01,5.797446257e+01
5.043188901e+01,6.970461355e+01,1.073478004e+01,8.310717870e-01,6.885179315e+01,4.847349753e+01,4.597881033e+01,5.983644887e+01,7.886186014e+01,3.096930438e+01,6.271082599e+01,7.141196249e+01,8.913004768e+01,1.071067005e+01,4.695556707e+01,5.885499571e+01,3.051406295e+01,3.253050106e+01,3.272272758e+01,9.878755306e+01,7.896530725e+01,3.377766954e+01,8.947417840e+01,1.973417016e+01,6.881550331e+01,2.752961191e+01,3.081749998e+01,8.671568123e+01,2.302486182e+01,2.976910114e+01,5.015237904e+01,7.587318611e+01,7.362067413e+01,2.155649727e+01,7.922826671e+01,8.061619895e+01,7.604108605e+01,2.982007011e+01,9.799352017e+01,7.697732320e+01,3.303012642e+01,7.350515205e+01,9.051081339e+01,3.802922841e+01,9.723818101e+01,2.888019450e+01,4.462140702e+00,2.888482949e+00,3.617966693e+00,6.326062351e+01,9.216870853e+01,6.766217228e+01,2.923022465e+01,6.728054594e+01,1.782166664e+01,7.598764243e+01,5.566411774e+01,6.023766093e+01
5.857102537e+01,1.197827534e+01,4.192784826e+01,5.507914423e+01,5.166048608e+00,6.157518852e+00,5.702316513e+01,5.254463479e+00,3.557237239e+00,9.777672558e+01,2.755133151e+01,2.711212238e+01,6.151716909e+01,3.033401293e+01,2.402669176e+01,7.754189286e+01,2.903441376e+01,8.203318878e+01,4.546057719e+01,3.755322128e+01,1.914961472e+01,4.290292306e+01,9.146673142e+01,8.824629091e+00,3.794066053e+01,6.145564522e+00,8.600409856e+01,1.356625607e+01,8.404393994e+01,6.624989506e+01,2.717707848e+01,1.128695968e+01,1.210727432e+01,4.826246911e+01,2.336896122e+01,4.633092570e+01,1.901115159e+00,4.496748732e+01,8.030463063e+01,7.306440109e+01,8.005603990e+01,7.878569354e+01,6.808069852e+01,5.831170737e+01,7.213520052e+01,3.374183247e+01,5.850889230e+00,2.665018309e+01,8.343165937e+01,9.023785565e+01,4.946064434e+01,9.715384013e+01,3.862309617e+01,5.230259782e+01,6.190304448e+01,1.254659014e+00,4.519407053e+01,8.499992315e+01
1.338669874e+01,8.949281425e+01,8.098949508e+01,8.619892942e+01,7.782611978e+01,4.453999804e+01,5.341812844e+01,3.608005028e+01,9.409442653e+00,1.389143575e+00,2.265893139e+00,4.346720578e+01,1.905317602e+01,8.474245909e+01,7.086393700e+01,4.126538167e+01,5.788299632e+01,7.110967810e+01,6.874270385e+01,4.621496958e+01,1.623259650e+01,9.733418843e+01,2.863691874e+01,3.050165880e+01,6.054742143e+01,4.017336125e+01,2.381289335e+01,3.291123042e+01,2.603382669e+01,1.015225642e+01,4.296546615e+00,8.100203440e+01,6.072466502e+00,4.215548389e+01,3.237510700e+01,1.978737469e+01,5.540146884e+00,3.133010161e+01,9.059793870e+01,6.872090552e+01,3.016598904e+01,7.569337645e+01,2.145551402e+01,1.442487555e+00,6.336760288e+01,7.024756983e+01,1.693513714e+01,9.560917283e+01,3.815187048e+01,6.343710906e+01,2.644873789e+00,8.697847995e+01,4.852464828e+01,2.657475349e+01,3.482455514e+00,2.177545999e+00,2.153832310e+01,7.546710424e+00
