v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35
4.761791267e+01,9.114693514e+01,9.024170078e+01,2.829135737e+01,2.691155083e+01,9.171381214e+01,9.503329002e+01,7.456571525e+01,1.995094448e+01,5.505187605e+01,5.818073974e+01,1.976717595e+01,6.249798718e+01,8.968551178e+01,5.156567816e+01,6.272669374e+01,2.634767586e+01,7.281818595e+00,8.469498421e+01,1.890772137e+01,5.863279894e+01,1.997001826e+01,8.253075021e+01,8.761749529e+01,8.416929198e+01,8.803347387e+01,9.165918361e+01,2.396727872e+00,7.583992160e+01,9.061424722e+01,6.840991843e+01,8.995084028e+00,8.561863905e+01,6.180534393e+01,3.000512963e+01
3.276827370e+01,8.765998198e+01,2.124654968e+01,5.641236140e+01,8.433200442e+01,3.263480625e+01,5.673547854e+01,1.022998160e+01,7.430725414e+01,7.716713777e+01,8.958151085e+00,1.445387265e+01,9.163541611e+01,7.134106197e+00,4.073276900e+01,8.488731927e+01,5.386139443e+01,4.303347722e+01,5.125304905e+01,9.319390216e+01,9.929745273e+01,3.159216978e+00,6.507671717e+01,2.459746222e+01,4.812189555e+01,2.323174327e+01,4.566053914e+01,6.327585140e+01,5.939026242e+01,3.922677616e+01,7.969308315e+01,6.488107839e+01,8.919780777e+01,1.631816401e+01,8.823826960e+01
1.970980930e+01,9.625938439e+01,3.319160448e+01,3.772188288e+01,5.308609439e+01,9.066145155e+01,1.200849425e+01,9.690655003e+01,7.236345154e+01,1.164266712e+01,2.097468885e+01,7.476984628e+01,8.396115094e+01,5.242039097e+01,8.698717242e+01,7.027573745e+01,1.809023660e+01,4.309796625e+00,8.710103899e+01,3.688981624e+00,8.302186990e+01,8.168635965e+01,4.591794335e+00,3.392281904e+01,1.546829898e+01,9.490592984e+01,9.069792075e+01,4.289722801e+01,4.474755869e+01,3.430923883e+01,3.847272286e+01,1.243732586e+01,9.768659664e+01,6.019826084e+00,9.830506273e+01
7.274938350e+01,3.761552085e+01,6.598556718e+01,5.121313950e+01,9.213067417e+01,5.119077398e+00,4.336401539e+01,2.696329637e+01,9.668330652e+00,9.639981342e+01,1.579258087e+01,5.615022260e+01,5.845212176e+01,4.580643064e+01,8.586741082e+01,1.500519391e+01,5.049820615e+01,7.985247424e+01,5.433123225e+01,8.851069715e+01,9.021031236e+01,1.162766173e+01,9.116684146e+01,7.892632927e+01,9.046267056e+01,3.457349227e+01,5.011269499e+01,8.770139757e+01,1.511076579e+00,7.373056596e+01,4.556919204e+01,2.137423972e+01,4.642602796e+01,3.143191134e+01,2.985801496e+01
6.382306601e+01,5.147505194e+01,8.527415155e+01,8.730100454e+01,9.036161902e+00,1.978716029e+01,9.856241963e+01,2.398974234e+01,4.116813042e+01,9.640539522e+01,1.343401479e+01,7.634461791e+01,6.864191091e+01,9.107538686e+01,2.732957662e+01,9.118227882e+01,3.309732515e+01,8.516875550e+01,8.442308597e+01,9.042821662e+01,8.987531849e+01,4.937798578e+01,3.812566261e+01,1.625006264e+01,2.779691186e+01,2.237615337e+01,6.315371768e+01,4.168247832e+01,5.382002677e+01,4.202661765e+01,1.476247829e+01,6.540047205e+01,1.936604497e+01,2.595419171e+01,6.384849517e+01
4.663829726e+01,7.140919556e+01,1.977584600e+01,4.729003777e+01,5.281531685e+01,1.874000137e+01,8.430622842e+01,3.611860754e+01,2.870933820e+00,9.503386979e+01,1.854229480e+01,1.047991814e+01,5.207962471e+01,2.152608365e+01,4.980650537e+01,3.312900642e+01,4.607629095e+01,7.320984941e+01,9.841445541e+01,6.039095693e+01,1.687234837e+01,9.967165164e+01,7.808873480e+01,6.944483986e+01,1.051929292e+01,4.549138016e+01,1.783142674e+01,6.497795076e+01,9.537211525e+01,3.465514273e+01,7.494656664e+01,7.571141475e+01,1.106126378e+01,4.826772209e+01,8.808006641e+01
9.928923760e+01,5.671952594e+01,4.363849963e+01,7.703538737e+01,9.972179333e+00,6.086502275e+01,7.091693562e+01,1.015373986e+01,2.863613631e+01,4.026853002e+00,3.868947582e+00,6.814825058e+01,3.738237138e+01,3.709231047e+01,1.334669208e+01,7.501379022e+01,5.509144879e+01,1.624499284e+01,6.178939730e+01,3.008057693e+01,6.059840169e+01,7.952060733e+01,7.353222267e+01,6.832073718e+01,2.813468128e+01,3.455035042e+00,9.200402897e+01,5.407571164e+00,3.695676110e+01,9.689880766e+01,6.796332269e+01,5.797347854e+01,2.652666865e+01,7.820176326e+01,7.637011888e+01
5.084316081e+01,8.898140743e+01,2.015836657e+01,3.907482348e+01,7.157092562e+01,2.710233632e+01,4.788232680e+01,4.245283902e+01,3.118343893e+01,1.236219844e+00,6.830369379e+01,4.972595635e+01,9.518411878e+01,2.997239303e+01,6.908880456e+01,6.409189137e+01,6.915701271e+01,4.423564194e+01,9.298821781e+00,6.588981536e+01,2.535660760e+01,9.286050516e+00,5.489987426e+00,2.157818986e+01,8.328284097e+01,8.455871710e+01,4.559140601e+01,1.558153747e+01,4.147290273e+01,8.517377334e+01,3.480360371e+01,9.495223847e+01,5.010943891e+01,9.047062726e+00,2.968897137e+01
4.312893985e+01,6.823475814e-01,1.608981876e+01,6.101994304e+01,2.270449923e+01,1.319849700e+01,4.555566779e+00,9.852849241e+00,7.863791187e+01,1.093375494e+01,3.774270429e+01,4.198692819e+01,8.542642070e+01,1.948539231e+00,1.903370298e+01,6.157037105e+01,9.317907983e+01,3.337442469e+01,4.283172640e+01,8.290307700e+01,9.903753748e+01,7.937640278e+01,4.666162163e+01,5.936057544e+01,8.613065036e+01,2.312106839e+00,6.211404542e+01,9.134583361e+01,6.703146017e+01,9.976632258e+01,2.197913907e+01,9.830280376e+01,7.759168841e+01,7.810500246e+01,5.227435294e+01
3.364856078e+01,5.997404198e+01,5.589737008e+01,7.963205569e+01,6.229520401e+01,3.157921414e+01,8.381412261e+01,7.745464696e+01,9.310217226e+01,5.754510577e+01,2.118616454e+01,1.063584827e+01,7.919439194e+01,7.607350924e+01,5.354159392e+01,9.516794279e+01,8.696862160e+01,6.000309622e+01,4.938489466e+01,8.470236231e+01,4.349774506e+01,8.416307745e+01,4.104447628e+01,3.164356930e+01,1.388728008e+01,4.089454932e+01,4.237728588e+01,1.868804974e+01,3.928459153e+01,7.737324745e+01,8.989124079e+00,4.111502867e+01,8.351164157e+01,5.795241738e+00,8.286271737e+01
2.884788655e+01,7.591897069e+00,9.629527939e+01,8.211704384e+01,3.598072033e+01,3.180596911e+01,9.894348162e+01,4.154354748e+01,6.700827050e+01,8.512749233e+01,9.755784113e+01,4.922018478e+01,6.892034217e+01,4.374696697e+00,8.514372434e+01,9.683670726e+01,2.219816873e+01,1.900449747e+01,6.779533058e+01,1.031430458e+01,8.815549148e+01,1.273841667e+01,7.252698152e+01,9.343631861e+01,8.797121230e+01,3.960963147e+01,3.419851354e+01,6.711078661e+01,4.308227902e+01,1.911885792e+01,4.043551156e+01,5.409222121e+01,3.974845117e+01,6.960436705e+01,9.786319115e+01
6.929039525e+00,9.017248134e+01,8.601988328e+01,3.341671095e+01,4.223764793e+01,4.753162948e+01,3.960265149e+01,6.115648396e+01,6.960978556e-01,4.935535384e+01,1.604887380e+01,6.167316522e+01,3.182484891e+00,5.744834561e+01,3.347796403e+01,1.721341956e+01,7.878852933e+01,4.093402718e+01,2.064547909e+01,8.235775259e+01,1.285544259e+01,5.959546839e+01,4.270043894e+01,6.527160869e+01,1.175602536e+01,5.423897830e+01,1.251100098e+01,6.483735654e+01,9.149711069e+01,7.147662019e+01,1.752290659e+01,1.428903061e+01,4.399507416e+01,6.583745362e+01,9.926785734e+00
8.971737787e+01,7.120776941e+01,1.553808613e+01,2.416113980e+01,9.222823788e+01,6.114029275e+01,3.144248250e+01,3.952630660e+01,4.428626470e+01,8.141430706e+01,1.304699017e+01,1.485185964e+01,3.259358851e+01,2.050281745e+00,8.041705378e+01,6.598545665e+01,6.893274115e+01,1.580277278e+01,7.297448945e+01,7.229209472e+01,1.893198319e+01,1.447793276e+01,1.833721764e+01,6.909342819e+01,5.766683870e+01,9.354679614e+01,2.609451645e+01,7.509158448e+01,3.787500403e+01,2.568282485e+01,5.182477697e+01,6.194119131e+01,4.028879856e+01,7.884679503e+01,3.459760806e+01
2.730721511e+01,3.470195176e-01,5.995747199e+01,2.178164834e+01,7.340845924e+01,2.417213614e+01,9.699860738e+01,2.544533105e+01,3.464349340e+01,5.816632726e+01,2.959933967e+01,5.552774972e+01,3.501117526e+00,1.631309882e+01,8.970804791e+00,9.478720450e+01,7.578606289e+01,8.850430101e+00,3.842847067e+00,3.759752032e+01,4.108064946e+01,8.272875161e+01,6.636371342e+01,1.302627784e+01,8.245967311e+01,1.745228066e+01,3.318923953e+00,9.919443441e+01,4.208484158e+01,4.254869375e+01,9.577610219e+01,1.833098996e+01,3.931587621e+01,3.749942803e+00,5.503768176e+01
4.395185225e+01,7.830395906e+01,5.325149862e+01,9.062435295e+01,7.876163732e+01,9.391022374e+01,3.082033775e+01,5.030322137e+01,4.049825820e+01,9.931047034e+01,3.818763981e+01,1.552136992e+01,3.031686458e+00,7.494576143e+01,7.837857179e+01,3.731956387e+01,3.945398034e+01,2.774508624e+01,7.664058669e+01,1.474557430e+01,5.376819815e+01,6.924255119e+01,5.509573346e+01,1.725324326e+01,6.563039617e+01,2.690195920e+01,7.879396060e+01,6.969438447e+01,1.080337069e+01,9.284190706e+00,4.879262276e+01,5.187982744e+00,8.076444051e+00,7.193695796e+01,8.114419905e+01
3.192615301e+00,9.883866010e+01,7.185953883e+00,4.465325834e+01,1.794756620e+01,9.321321953e+01,1.570056783e+01,1.243159111e+01,9.338544058e+01,7.409823525e+01,5.525778167e+01,6.172710430e+01,8.962331747e+01,1.576174828e+01,6.192406030e+01,4.243662598e-01,8.106283673e+01,8.229148113e+01,9.124669464e+01,8.004662771e+01,3.597341162e+01,4.978305950e+01,9.901178146e+01,3.024023215e+01,3.769328616e+01,2.125165473e+01,4.097937964e+01,4.705523255e+01,5.879402182e+01,2.989184784e+01,3.428123438e+01,4.819432336e+01,7.996838478e+01,3.201202313e+01,9.693253900e+01
5.101627496e+00,5.759192226e+01,8.062606997e+01,6.299940520e+01,7.265851648e+01,4.437187434e+01,6.694423938e+01,4.301728022e+01,3.513758749e+01,8.047401940e+00,2.991739366e+01,2.351662159e+01,1.483399534e+01,1.366999872e+01,1.689701556e+01,8.179150193e+01,1.656184701e+01,6.054494214e+01,9.552597922e+01,5.772091610e+01,7.591897362e+01,6.889557865e+01,6.051766718e+01,5.952137968e+01,1.683630862e+01,6.805247458e+01,8.729554181e+01,1.857963927e+01,5.549274864e+01,6.620920541e+01,7.001950035e+00,8.970568999e+01,7.320349583e+01,5.923165990e+01,6.350278867e+01
9.001488466e+01,2.886605481e+01,7.327705967e+01,5.875892190e+01,2.302834264e+01,5.634756406e+01,1.639817181e+01,1.157337127e+01,6.757166700e+01,4.005682492e+01,3.006911921e+01,2.307662883e+01,5.815697199e+01,4.966643987e+01,5.366999907e+01,7.484483172e+01,7.327235812e+01,9.835262313e+01,9.746549600e+01,3.567158010e+01,7.053492101e+01,3.068055139e+01,7.696930315e+01,4.938934070e+01,5.531929894e+01,6.223490119e+01,2.439484721e+01,9.505326918e+01,8.806975862e+01,6.018425342e+01,8.067919451e+00,9.055532837e+01,8.131877563e+01,9.493385183e+00,2.146147936e+01
2.009356306e+00,1.501220152e+01,5.395250092e+01,5.535645529e+01,1.248750397e+01,7.526187117e+01,9.556131130e+00,9.126623545e+01,1.146234456e+00,7.829702402e+01,1.323770982e-01,8.086525537e+01,9.250116958e+00,5.285160016e+01,7.378243032e+01,2.851547820e+01,7.831389784e+01,5.487423099e+00,9.104166870e+01,2.765404770e+01,9.143249529e+01,9.885772137e+00,4.798630827e+01,3.584344135e+01,6.847164000e+01,6.901920990e+01,2.251214036e+01,2.356432768e+01,8.150604862e+01,7.837841762e+01,6.379950868e+01,6.319604406e+01,4.059868305e+01,7.720541759e+01,7.791780249e+01
