v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72
6.461693078e+01,1.898838426e+01,5.272994320e+01,1.780948585e+01,3.191240572e+01,3.256665656e+01,6.185457315e+01,6.731441421e+01,1.218694032e+01,3.602256377e+00,5.116962626e+01,9.751305753e+01,8.067528149e+01,7.418989091e+01,1.625015071e+01,9.445854718e+01,5.249015148e+01,2.835545130e+01,2.756476304e+01,7.999706735e+01,1.968231593e+01,8.529743910e+01,1.257284417e+01,2.100284440e+01,9.070395104e+01,9.760677136e+01,4.034996269e+01,5.866439581e+01,3.638726816e+01,7.039047330e+01,5.497578377e+01,9.031915647e+01,8.597314308e-01,9.707971850e+01,5.904830154e+01,7.727467181e+01,8.370881155e+01,8.767088862e+01,8.753090054e+01,1.086079140e+00,2.142971302e+01,9.319034066e+01,8.028072413e+01,9.283776457e+01,8.011874853e+01,8.111626819e+01,4.235863673e+01,1.089572036e+01,5.863457524e+01,9.981735273e+00,3.815018009e+01,9.128573554e+01,8.123118649e+01,8.761205505e+01,1.301641516e+00,1.776635586e+01,7.312023353e+01,7.733034509e+01,7.464506500e+01,1.552084383e+01,6.979258016e+00,2.128183644e+01,5.849348954e+01,1.593204290e+01,8.578763927e+01,4.104928609e+01,8.959598760e+01,4.144271647e+01,8.169791643e+01,2.328205643e+01,9.576921827e+01,7.270188915e+01
5.392906395e+00,4.471909573e+01,1.159806418e+00,2.795201861e+01,7.666840970e+01,4.011583167e+01,1.296171114e+01,3.363889178e+01,5.707757196e+01,6.573850488e+01,1.323268701e+01,9.916441633e+01,3.586257156e+00,7.551833958e+01,3.934005015e+00,2.161263820e+01,5.609051254e+01,4.837909279e+01,7.749375946e+01,3.573923092e+01,8.589706528e+01,4.247083201e+01,1.913804356e+01,1.993139626e-01,4.720477221e+01,2.652328241e+01,2.576371066e+01,8.567551401e+01,2.408437454e+01,4.731053523e+01,5.800724705e-01,4.573809435e+01,1.501077976e+01,7.434590657e+01,8.079981549e+01,4.971428236e+01,5.073282178e+01,1.730977948e+01,5.304024217e+01,7.455363897e+01,8.834238339e+01,3.644250256e+01,1.141128506e+01,9.533627523e+01,2.118801832e+00,9.364897089e+01,9.637312495e+01,8.046919994e+01,3.540522230e+01,5.315392232e+01,8.161152013e+01,6.715400150e+00,4.607999082e+01,2.146362764e+01,5.963400483e+01,7.200946035e+01,6.780343864e+01,7.525673996e+01,6.501568646e+01,6.611095302e+01,8.612349300e+01,1.143615641e+01,9.413505443e+01,4.221628553e+01,7.712684850e+01,9.569215803e+01,2.125032475e+01,5.182370437e+01,3.723758234e+01,7.765663355e+01,7.315854908e+01,2.198085668e+01
2.947696890e+01,7.948856033e+01,4.151317286e+01,6.683665852e+01,4.853999562e+01,6.319322069e+01,1.801195347e+01,2.272723742e+01,2.967574016e+01,8.291329068e+01,7.980509410e+01,8.714438471e+01,9.195265042e+01,7.951113666e+01,7.658842881e+01,2.532832940e+00,3.508833936e+00,5.292346505e+00,4.206645511e+01,8.420955388e+01,9.494318689e+01,4.485853126e+01,3.714399001e+01,8.241830080e+01,3.398521188e+00,6.877984985e+00,5.443889379e+01,8.500148726e+01,1.278695146e+01,9.319733807e+01,8.314965324e+01,1.442280092e+01,3.455277057e+01,5.245147835e+01,7.474981134e+01,3.323274254e+01,6.746375675e+01,4.476557612e+01,2.300652818e+01,4.149918301e+01,6.911305256e+01,1.859090310e+01,3.008844244e+01,1.922712707e+01,6.200817762e+01,2.638348936e+01,6.712091834e+01,9.249728441e+01,4.161896565e+01,2.258176449e+01,4.449901093e+01,1.919745614e+01,5.842207897e+01,9.576889284e+01,9.053016208e+01,5.342333512e+01,5.214754313e+01,7.511304704e+01,9.210451248e+01,7.846410065e+00,1.763555376e+01,8.576221600e+01,8.020719585e+01,5.073772415e+01,7.348349888e+01,5.378577377e+01,7.080733495e+01,1.472893855e+01,6.279503853e+01,6.029704939e+01,2.254272217e+00,6.502883621e+01
3.802373625e+01,1.439167331e+01,6.818549350e+01,9.533577898e+01,1.663272627e+01,9.328246267e+01,8.727413582e+01,9.634315394e+01,4.140103717e+01,1.128700341e+01,3.711065560e+01,1.307409472e+01,5.935919545e+01,6.875640761e+01,9.869274252e+01,7.820002224e+01,5.321727159e+01,7.216284620e+01,4.217415225e+01,9.291092340e+01,2.151467925e+00,2.831295164e+01,4.539335430e+01,4.947196158e+01,2.846274967e+01,9.282752792e+01,7.317052776e+01,7.426425647e+01,4.630352438e+01,8.321289989e+01,1.644187657e+00,5.779788465e+01,2.608555739e+01,2.782055819e+01,4.737258614e+01,3.240243010e+01,1.041025816e+01,6.722177972e+01,4.489185754e+00,1.020492809e+01,6.040985695e+01,1.364466637e+01,5.281223525e+01,2.497542029e+01,3.085653722e+01,6.614231482e+01,5.839972404e+01,5.302087151e+01,9.409457299e+01,4.371089060e+01,6.118068328e+01,7.816084380e+01,2.882295275e+01,3.530128467e+01,9.846542334e+00,8.491952556e+00,6.778373753e+01,7.497740487e+01,2.879010937e+01,5.791448122e+01,1.968644667e+01,4.175452304e+01,4.967875221e+01,9.165706501e+01,4.356878738e+01,6.556086234e+01,2.302901053e+01,7.230705851e+01,7.288741486e+01,5.715870683e+01,9.533947996e+01,7.682727458e+00
8.799090673e+01,2.648742070e-01,2.953891654e+01,8.606358227e+00,2.587452550e+01,4.150117481e+01,4.039974601e+01,6.703415137e+01,9.985660756e+01,7.047730503e+01,8.120832796e+01,7.505024340e+01,8.223226853e+01,9.974375931e+01,7.545398382e+00,7.152770968e+01,2.235722620e+01,8.755743645e+01,2.913141957e+01,9.379961790e+01,2.939491417e+01,6.077395626e+01,7.768658125e+01,5.023954953e+01,8.574358852e+00,7.955023385e+01,3.367569600e+01,3.190374671e+01,2.302008738e+01,9.610617577e+01,6.479155269e+01,8.794867252e+01,9.545244313e+01,2.603647406e+01,3.080801473e+01,8.572705900e+01,3.712384989e+01,5.993899016e+01,9.365203628e+01,7.959777618e+01,4.074271957e+01,7.548540174e+01,2.094552278e+01,3.148126070e+01,7.391980257e+01,1.892374716e+01,2.828056484e+01,4.178086103e+01,6.837299085e+01,6.863633144e+01,5.981191342e+01,5.483473682e+01,3.541629098e+01,5.791325717e+00,4.495601942e+01,7.736343254e+01,7.551352699e+01,1.582826646e+01,4.901140427e+01,6.065802041e+01,6.352804056e+01,7.365150181e+01,1.754863550e+01,1.824093006e+01,6.343300783e+01,3.957543363e+01,8.372676572e+01,1.318794332e+01,9.204921726e+01,2.241416766e+00,1.177604570e+01,1.595445138e+01
1.387937782e+01,6.709058167e+01,3.678400428e+01,3.110945621e+01,4.229631695e+01,5.637520601e-01,3.027631163e+01,8.387070546e+01,4.057033024e+01,3.390903559e+01,9.058519218e+01,4.260997834e+01,5.698039688e+01,7.464912051e-01,6.324130029e+01,2.022035097e+00,5.949709491e+01,2.408709825e+01,4.580457876e+00,9.728630550e+01,6.648197315e+01,1.088303842e+01,3.450253089e+01,3.894099867e+01,1.548385633e+01,2.578796845e+01,1.932902631e+01,1.288569102e+01,1.624743547e+01,3.120800481e+01,6.316795816e+01,9.606054560e+01,3.739653181e+01,5.853027290e+01,8.548955053e+01,1.556189179e+01,4.490102452e+01,6.713853664e+01,8.568791892e+01,7.131309763e+01,8.258130587e+01,9.038244718e+01,8.065460555e+01,2.412659606e+01,9.227237106e+01,8.429121024e-01,1.009036474e+01,1.625848576e+01,4.583776094e+01,1.661998786e+01,9.424487850e+01,4.814699964e+01,7.116681761e+01,7.963496586e+01,8.583448791e+01,5.906889836e+01,5.703818623e+01,8.460185680e+01,3.585179458e+01,9.715930041e+01,6.340647162e+01,9.596004737e+01,9.850776648e+01,3.399603673e+01,1.148826517e+00,1.458422852e+01,8.973977932e+01,8.656445371e+01,5.654248925e+01,7.720497588e+01,6.310612647e+01,1.384055444e+01
8.946632169e-01,9.440925688e+01,8.112615677e+01,5.638783248e+01,1.344877523e+01,7.614517038e+01,6.080997920e+01,5.321515510e+01,5.787650482e+01,4.846631377e+01,4.483650208e+01,4.080260760e+01,9.473207451e+01,8.918601677e+01,3.563308816e+01,2.129342090e+01,3.538703196e+01,5.702255283e+01,3.917246114e+01,9.654458650e+01,2.251674253e+01,7.376743934e+01,1.959879923e+01,7.622660084e+01,9.473600990e+01,4.223013457e+01,6.156086826e+01,8.535598612e+01,3.931458783e+01,3.200835243e+01,2.313652810e+01,7.023056323e+01,8.125640380e+01,4.880450019e+01,8.713680412e+01,8.013900569e+01,2.132142872e+01,8.053060362e+01,3.716612944e+01,2.501175378e+00,2.032124033e+01,2.661425252e+01,2.303232384e+01,3.807287073e+01,3.135676390e+01,1.222643549e+01,7.219171011e+01,5.393870086e+01,5.976206320e+01,3.722753838e+01,7.198788029e+01,5.709155513e+01,3.165259771e+01,4.663772337e+01,1.089077516e+01,3.265402864e+01,2.373803508e+01,6.218731281e+01,1.735048603e+01,8.320669800e+01,5.211869450e+01,8.718853631e+01,6.177269902e+00,4.177904168e+01,6.546176438e+01,5.781616579e+01,3.869743015e+01,8.083037009e+01,9.389501171e+01,9.403908025e+01,3.110180504e+01,8.092145454e+01
6.834166708e+01,8.580016727e+01,5.054234978e+01,3.492418201e+00,2.185967016e+01,1.920361040e+01,7.544055432e+01,6.915387254e+01,4.681537333e+01,5.001632747e+01,8.875058408e+01,5.494636634e+00,4.120804706e+01,4.665424767e+01,8.169972660e+01,1.701369670e+01,9.087006565e+01,5.131665642e+01,8.774894139e+01,8.466609939e+01,9.423639599e+01,6.468098995e+01,4.444759128e+01,3.095001015e+01,3.291100459e+01,4.666818151e+01,7.900032724e+01,7.775514045e+01,9.197234029e+01,1.286025948e+01,6.051827922e+01,9.325897448e+01,6.460367202e+01,1.672456588e+01,4.292292747e+01,7.921575033e+01,1.701110526e+01,9.032686010e+01,1.807271130e+01,2.721056137e+01,1.007406338e+01,6.126665295e+01,4.479205327e+01,7.257324190e+01,3.711011656e-01,3.760416624e+00,1.313553459e+01,5.968949197e+01,2.943219585e+01,2.887357932e+01,4.870680072e+01,1.105966012e+01,9.567053249e+01,1.965499561e+01,8.350128376e+01,2.295853203e+01,3.505809634e+01,6.802025507e+01,4.132084695e+01,6.747910576e+01,5.872451984e+01,5.444035496e+01,8.761287574e+01,4.644388961e+01,5.793993367e+01,1.802577682e+01,3.444324588e+00,4.431122586e+01,1.422635132e+01,9.905130010e+01,1.483267175e+01,2.025220885e+01
5.923752576e+01,8.954306823e+01,4.569524946e+01,8.701696345e+01,9.926642436e+01,1.167667683e+01,6.910757302e+01,9.801766667e+01,8.128166794e+01,9.882538423e+01,5.514879213e+01,1.167244779e+01,8.828216433e+00,5.306812311e+01,3.462894230e+00,5.328838393e+01,9.354433498e+01,5.102543057e+01,7.736056600e+01,3.917447955e+00,3.307330855e+01,5.916957278e+01,4.398559608e+00,1.227058573e+01,5.784718387e+01,8.109273155e+01,6.721873335e+00,7.299091650e+01,1.215314057e+01,2.570264044e+01,6.077870121e+01,3.466175782e+01,2.714402914e+01,7.955956742e+01,1.312044866e+01,4.362467010e+01,5.544655276e+01,6.820171299e+00,5.446770304e-01,2.443095482e+01,1.118638185e+01,2.603917528e+01,5.037947386e+01,9.015522680e+01,6.914385781e+01,2.830277163e+01,7.477797427e+01,2.797761228e+01,4.664811939e+01,4.706522222e+01,8.019498508e+01,3.974539924e+00,6.918891430e+01,9.379722852e+01,8.547856701e+01,8.110716971e+00,4.575084435e+01,9.537839056e+01,4.695995615e+01,2.185302821e+01,3.209240591e+01,1.757111569e+01,6.636868096e+01,5.700197076e+01,7.260712994e+01,5.645850464e+01,4.188361935e+01,6.918296866e+01,3.941874989e+01,2.656293038e+01,9.910207186e+01,4.542878540e+01
9.785249074e+01,6.445079895e+01,2.962277269e+01,9.474232518e+01,5.350588668e+01,3.576768904e+01,4.456496447e+01,5.274029191e+00,6.514397788e+01,1.615417255e+00,4.032028652e+01,6.519309915e+01,1.153660487e+01,3.308097107e+01,9.307113108e+00,8.497534008e+01,3.042984546e+00,6.585063032e+01,2.088070859e+01,4.605819095e+01,6.950687660e+01,7.895864062e+01,5.608873445e+01,1.173082518e+01,7.340995880e+01,3.063938638e+01,5.828177637e+00,5.440216407e+01,4.698055534e+01,9.952087958e+01,6.598685010e+01,6.574977666e+01,6.264846006e+01,6.824001030e+01,2.810728934e+01,6.236997645e+01,7.230442177e+01,2.054131863e+00,2.410720161e+01,5.692142714e+01,9.422074357e+01,3.279702581e+01,3.703549048e+01,1.400989095e+01,2.233317472e+01,7.159631049e+01,3.543521628e+01,2.538833732e+01,7.055073000e+01,5.452636364e+01,4.197263473e+01,7.914239936e+01,1.009325530e+01,5.556125642e+01,9.691309353e+01,2.951100222e+01,2.594216747e+01,8.113135015e+01,1.976435032e+01,6.919076264e+01,4.737890860e+01,7.250375189e+01,7.720070381e+01,4.585908626e+01,7.863347958e+00,3.370784699e+00,2.927887906e+01,8.295290391e+01,7.614103088e+01,4.766643704e+01,5.409727660e+01,6.818738627e+01
