v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52
8.299037066e+01,7.085965662e+01,4.435527980e+01,7.459533820e+01,5.290175473e+01,4.004635233e+01,7.824435338e+01,9.695548111e+01,5.541299600e+01,8.758010364e+01,5.643371068e+01,9.039088345e+01,5.744107658e+01,8.664159270e+01,4.248470816e+01,4.911380600e+00,1.608053223e+01,2.595549978e+01,1.856963988e+01,8.385093563e+01,6.757044838e+01,5.014116088e+01,4.186793622e+01,4.521554062e+01,4.736006383e+01,3.632351610e+01,5.063612342e+01,6.682839832e+01,1.459856755e+01,8.858656142e+01,9.005582470e+00,4.071612931e+01,7.763100940e+01,6.046218340e+01,5.267003705e+01,5.235283979e+01,3.200597447e+01,4.803417848e+01,2.716952898e+01,4.344575898e+00,3.167631569e+01,4.478528534e+01,6.053161258e+01,4.748463934e+01,9.873247817e+01,8.628167469e+00,6.060270251e+01,3.712688402e+01,2.472757370e+01,3.072000819e+01,9.285352944e+01,1.163393512e+01
3.887574522e+01,6.688410457e+01,6.386646542e+00,6.629621004e+01,6.815246894e+01,4.585571631e+01,6.356448831e+01,2.322772673e+01,7.209262451e+01,7.062038658e+01,2.857908213e+01,7.492978974e+01,3.128655528e+01,6.482655105e+01,1.882345826e+01,7.991842480e+01,3.991908767e+01,6.650555148e+01,6.472044765e+01,7.493510546e+01,9.769673730e+01,4.598187407e+01,7.502843652e+00,1.854653126e+01,1.118326733e+01,4.985834685e+01,8.085687246e+01,8.719548440e+00,5.896325782e-03,6.457982932e+01,2.043993025e+01,1.563457207e+01,9.568561498e+01,5.901780934e+01,1.638776661e-01,4.667482238e+01,2.519068313e+01,3.004256166e+01,1.510448411e+01,5.690862423e+01,8.168220418e+01,1.071613697e+01,7.846305712e+01,7.173912719e+01,1.781758153e+01,8.300160166e+01,2.815093937e+01,7.554436294e+00,5.926931922e+00,9.030863606e+01,1.061754593e+01,4.301479026e+01
9.116842753e+01,4.765445188e+01,4.637036605e+01,3.199379038e+01,6.783860455e+01,8.808234540e+00,7.744567410e+01,1.530255676e+01,1.816515672e+01,8.265487756e+01,2.749052881e+01,9.962210471e+00,2.449461992e+01,7.776633877e+01,6.128545885e+01,3.240298245e+01,9.884795335e+01,9.787623611e+01,8.787370482e+01,7.608274130e+01,4.411044617e+01,4.307527331e+01,5.959821194e+01,4.298918817e+01,8.969774837e+01,8.855916943e+01,8.556275649e+01,6.018850825e+01,1.329777128e+01,6.975274300e+01,4.836646328e+01,1.620330313e+01,8.654016220e+01,8.894209677e+01,2.235644371e+01,6.143749290e+01,9.192192754e+01,1.485153242e+01,7.182991162e+01,7.424890833e+01,3.639330521e+01,6.225888841e+01,7.099639156e-01,1.723715630e+01,9.056105553e-01,9.378919220e+01,1.690607308e+01,7.739463211e+01,7.538385862e+01,2.300401571e+01,9.231161363e+01,7.088321490e+01
8.963214974e+01,5.033372654e+01,3.478109480e-01,8.076219515e+01,3.261022211e+01,3.184051073e+01,4.293986938e+01,8.174804121e+01,3.937688216e-01,3.498614885e+01,1.195973399e+01,9.195686941e+01,6.969809972e+01,1.960250046e+01,4.076532059e+01,2.661269206e+01,6.702170903e+01,7.396365694e+01,8.052720084e+01,2.774799973e+01,5.721467958e+01,4.777422644e+01,7.756372268e+01,8.804385055e+00,9.822199948e+01,5.125388182e+01,3.872937912e+01,2.288175275e+01,2.821551870e+01,9.202688705e+01,2.914696133e+01,3.949935722e+01,7.969903558e+01,3.909425248e+01,7.196652029e+01,5.253578328e+01,8.071948827e+01,2.622894713e+00,4.248854438e+01,3.030461950e+01,7.579641045e+01,9.421962880e+01,1.644313175e+01,3.628665198e+01,7.406721054e+01,6.909649574e+01,6.032187619e+01,1.583211054e+01,8.758258164e+01,6.661853661e+01,9.684463890e+00,4.120170400e+01
7.090285028e+01,3.856779701e+00,6.679164929e+01,3.666467303e+01,9.072546870e+01,1.569706276e+00,5.383808151e+01,2.380983214e+01,9.269076948e+00,8.849567429e+01,6.759336415e+01,3.061893211e+01,4.655313829e+01,9.105705289e+01,4.341905959e+01,5.545279086e+01,5.999497593e+01,8.784642066e+01,7.563966949e+01,9.591844734e+01,5.756785595e+01,8.243307795e+01,1.366127221e+01,3.851066819e+01,9.398447432e+01,8.311916748e+01,8.589338585e+01,1.182263135e+01,4.259864472e+01,9.390371239e+01,4.188039111e+01,1.174524834e+01,3.045218974e+00,4.282181678e+01,3.647911844e+01,4.881019822e+01,1.836218555e+01,9.422092595e+01,3.113968481e+01,2.909102199e+01,8.745724092e+00,4.860667616e+01,7.585009405e+01,2.457732244e+01,6.842360656e+00,6.543382874e+01,6.821253236e+00,5.414243500e+01,7.320147013e+01,1.301843343e+01,8.886798601e+01,5.812321800e+01
9.447984258e+01,2.907562128e+01,2.655192984e+00,4.723359444e+01,4.907675776e+01,4.322818748e+01,1.193047066e+01,6.616581515e+01,1.506102672e+00,3.720004223e+01,9.203502228e+01,5.233242068e+01,8.649661235e+01,3.026554944e+01,8.742893045e+01,9.778862723e+01,8.354037302e+01,2.851710702e+01,6.007980343e+01,3.310252163e+01,3.983236024e+01,3.176118336e+00,6.508087606e+01,3.172027917e+01,7.321324461e+01,5.879087620e+01,5.575970944e+01,7.072411404e+01,3.161644885e+01,4.196115915e+01,7.217863611e+01,7.382095068e+00,8.702556033e+01,1.009814011e+01,6.085421310e+01,2.733622713e+01,1.416275966e+01,2.862731123e+01,3.848354018e+01,7.092267063e+01,6.281850728e+01,5.347588231e+01,7.594490805e+01,6.769646173e+01,4.011084140e+01,8.580224777e+01,7.802563027e+01,8.572084442e+01,8.945408541e+01,3.030019456e+01,5.906706435e+01,8.956880702e+01
6.519393668e+01,3.370613760e+01,2.163641756e+01,2.059917833e+01,4.584073650e+01,8.130907476e+01,4.687319079e+01,7.212403379e+00,4.556390271e+01,1.046812664e+01,9.027529726e+00,5.334126332e+01,4.469344551e+01,1.867337567e+01,3.085729156e+00,3.006528409e+01,7.804961491e+01,5.595988488e+01,3.563053872e+01,6.825374313e+01,8.531096124e+01,4.355207503e+01,1.635974263e+00,5.034175494e+00,8.883877275e+01,3.432580449e+00,9.885796483e+01,8.101789878e+01,5.021741430e+01,8.746801330e+01,2.266455360e+01,9.442874616e+01,9.040509084e+01,6.433270033e+01,7.786522017e+01,3.819745185e+00,4.957517733e+01,1.114654903e+01,2.916488256e+01,5.557500754e+01,4.731930223e+01,1.039529984e+01,9.046106968e+01,7.498928609e+01,4.717675404e+01,6.698452403e+01,4.459067053e+01,7.367820335e+01,3.686811292e+01,2.129431229e+00,1.888345571e+01,9.224944633e+01
4.651203968e+01,4.390576748e+01,2.207994733e+01,2.251027155e+01,2.861041907e+01,5.754713179e+01,6.536147003e+01,8.185196099e+01,3.252124723e+01,8.809442959e+01,3.828897470e+01,3.402817753e+01,1.347712953e+01,8.642342692e+01,1.229478254e+01,5.502857523e+01,6.410576677e+01,2.578113648e+01,8.281319146e+01,5.027704132e+01,2.833105638e+01,1.364400557e+01,3.267743867e+01,5.071488107e+01,2.611606263e+01,9.520193688e+00,4.521942445e+01,5.508121318e+01,7.114977710e+00,9.682935459e+01,7.175825050e+01,5.929650556e+01,4.593762054e+01,5.033010968e+01,1.976491704e+01,9.873424223e+01,7.017089914e+01,1.889701270e+01,4.665313304e+00,7.390006256e+01,9.017233312e+01,9.444732324e+01,3.162583727e+01,8.252853492e+01,1.397193840e+01,6.085611634e+01,3.168535029e+00,2.296050546e+01,1.075395852e+01,6.370888764e+00,9.248604760e+01,6.168640981e+01
3.402363691e+01,7.404279744e+01,2.774429212e+01,8.535966345e+00,3.962794886e+01,5.736341944e+01,4.237937906e+01,4.376275225e+01,8.888486682e+01,2.234604174e+01,5.208769894e+01,2.911600534e+01,4.632957895e+01,9.441038385e+01,9.033703641e+01,2.000871851e+00,8.521617959e+01,1.502710573e+01,2.168140171e+01,6.352563743e+01,6.872224424e+01,9.582090878e+01,1.196347603e+01,3.524641313e+01,6.303241632e+01,7.931948733e+01,6.494322992e+01,7.288096822e+01,2.847714144e+01,1.042038503e+01,7.358173976e+01,5.792828405e+01,2.712245298e+00,2.080332285e+01,9.797742369e+01,2.449262719e+01,5.681680027e+01,4.472167212e+01,1.120126941e+01,8.815983791e+01,8.948507514e+01,4.956295959e+01,9.301466799e+01,3.664381676e+01,9.323497180e+01,3.409143213e+01,7.358288508e+01,3.186180114e+00,5.111963259e+01,9.079486058e+01,9.136083405e+01,9.451061415e+01
8.195889769e+01,2.744686816e+01,6.166344098e+01,6.193861678e+01,5.425072156e+01,5.225282170e-01,2.923823709e+01,2.544668649e+01,9.312523236e+01,6.362625169e+01,7.192269036e-01,8.173561508e+01,8.436031544e+01,4.512296867e+01,4.134458097e+01,5.050161940e+01,6.651111375e+01,5.786722735e+00,7.187336903e+01,1.296609112e+01,9.198281136e+01,3.134275132e+01,6.708628657e+01,1.367397783e+01,5.877987521e+01,2.891172950e+01,1.398105543e+01,2.805145450e+01,9.852952599e+01,4.070372989e+01,7.224044667e+01,2.783668374e+01,5.063911369e+01,1.071211772e+01,2.074945274e+01,8.272012499e+01,2.041241580e+01,9.456320393e+01,8.852180690e+01,5.085816576e+01,9.242107301e+01,1.749301521e+01,4.395866511e+01,8.301975078e+01,7.603319507e+01,4.026658361e+01,6.760731777e+01,8.650090613e+01,6.133004011e+01,5.266030098e+01,7.236020227e-01,8.912384196e+01
7.064796489e+01,2.490367651e+01,4.609487957e+00,9.248217398e+00,5.731141151e+01,9.234889147e+01,8.201648867e+01,7.086114199e+01,1.506199365e+01,2.321873033e+01,9.499302220e+01,5.494665593e+01,6.752499726e+01,6.821302520e+01,5.162578141e+01,3.504736665e+01,1.280562308e+01,4.092280590e+01,6.680490568e+01,7.708685131e+01,9.710064752e+01,4.922442150e+01,9.102254167e+01,5.069039493e+01,9.922095905e+01,5.839752793e+00,4.994723956e+01,8.009105330e+01,3.939666273e+01,3.101906382e+01,4.616472667e+00,4.463320987e+00,3.676011052e+00,1.687317153e+01,8.744794628e+01,4.267564930e+01,3.681778247e+01,2.527925812e+01,6.224634107e+01,1.793126753e+01,4.822170087e+01,8.410782624e+01,7.092317978e+01,2.337264732e+01,2.120106014e+01,6.343290121e+01,2.270842421e+01,5.783527985e+01,2.932768619e+01,8.854667772e+01,9.458960682e+00,8.168976046e+01
3.689664214e+01,3.939752527e+01,3.283405038e+01,6.062016399e+01,2.144058528e+01,7.234648575e+01,6.161251224e+01,1.078518471e+01,9.432205287e+01,1.961236427e+01,4.091790146e+01,7.945307324e+01,5.636423117e+01,2.142936869e+01,5.940813262e+01,1.410180752e+01,7.652120874e+01,3.211799539e+01,1.427372341e+01,8.555730072e+01,2.400868371e+00,2.892977589e+00,6.683322854e+01,7.700607059e+01,9.542045362e+00,2.854450335e+00,6.772685011e+01,1.389642122e+01,4.774299932e+01,1.247007130e+01,1.454283733e+01,3.893730273e+01,2.479860954e+01,5.646947673e-01,4.829320849e+01,4.252860607e+01,6.366164852e+01,5.887945439e+00,2.474294057e+01,8.936555566e+01,3.790606524e+01,6.315699957e+01,5.553800479e+00,9.236811277e+01,9.419994538e+01,6.853910886e+01,2.742530756e+01,9.115586021e+01,3.211057902e+01,9.211009739e+01,5.633515929e+00,9.243438207e+01
6.150097319e+00,6.104130369e+00,9.475857545e+01,7.339651999e+01,5.324697714e+01,8.244322970e+01,4.301031388e+01,6.251693044e+01,2.410001646e+01,3.521613452e+01,7.996844733e+01,6.116856059e+01,8.323296164e+01,9.354740690e+01,7.028467047e+01,6.405610263e+01,1.161107774e+01,3.344494606e+00,1.573305209e+00,4.667919606e+01,2.568151401e+01,2.266873028e+01,9.822544067e+01,4.686938950e+01,4.842183179e+01,2.715273660e+00,8.973784621e+01,6.230836181e+01,5.706337222e+01,4.537833570e+00,4.872193534e+01,6.358600115e+01,8.256443618e+01,4.596228373e+01,7.745645351e+01,4.784551060e+01,7.792578803e+00,7.777831854e+01,5.376068627e+01,7.696156720e+00,8.317710812e+01,9.963046076e+01,6.705380264e+01,1.682079307e+01,7.645906439e+01,1.491430650e+01,1.466803832e+01,9.192063595e+01,8.971863450e+01,4.940972247e+01,9.795294602e+01,3.900273714e+01
3.541197287e+01,6.504258117e+01,6.248181227e+01,7.288318967e+01,7.365134678e+01,3.249391809e+00,2.475358933e+01,8.288730221e+01,2.663271131e+01,8.145093078e+01,7.652664079e+01,3.183606127e+01,3.040395281e+01,6.159124943e+01,3.128732856e+00,5.720326388e+01,8.297986906e+01,8.967127573e+01,8.675817828e+00,5.541084110e+01,5.009080717e+01,9.496946611e+00,7.989187491e+01,5.414296353e+01,9.741834936e+00,8.577045674e+01,6.368712209e+01,9.618173995e+01,6.010877878e+01,7.681259960e+01,5.692963272e+01,7.989708913e+01,2.128427708e+01,1.012264362e+01,2.153936416e+01,4.171099109e+01,9.135085320e+01,4.908860949e+01,2.287934377e+01,1.435976945e+01,9.409271414e+01,4.855151307e+01,5.429228661e+01,2.540237184e+01,9.009205300e+01,6.612741696e+01,4.533673667e+01,6.758912923e+01,9.582423670e+00,2.079829003e+01,9.194097562e+01,2.683607923e+01
5.213385053e+01,2.953844095e+01,7.358788999e+00,9.128116030e+01,4.370921261e+01,2.559548847e+01,2.519134565e+01,7.660710851e+01,5.655836337e+01,2.858246219e+01,5.550638530e+01,4.737395801e+01,7.504058901e+01,3.731495041e+01,1.613837661e+01,9.111526118e+01,7.026455754e+01,1.991170142e+01,6.833669280e+01,4.185619031e+01,5.658229383e+01,4.677806729e+01,5.023365519e+01,5.587080595e+01,8.042176689e+01,3.731466013e+00,1.060381755e+01,6.363651134e+01,2.411999840e+01,7.372935477e+01,5.012738996e+01,5.358928081e+01,1.541126916e+01,9.261589764e+01,6.304202844e+01,6.965858559e+01,9.978316246e+01,6.685290366e+01,4.948904677e+01,8.667003860e+01,4.112142010e+01,9.251066523e+01,8.569301670e+01,8.385106363e+01,5.447112156e+01,5.620594431e+01,9.380543926e+01,6.583053081e+01,1.914500199e+01,6.355672452e+01,8.524036457e+00,9.379940570e+01
5.172316522e+01,2.098644896e+01,6.759803131e+01,1.785347193e-01,7.345929030e+01,7.158861406e+01,1.942503654e+01,6.453327806e+01,5.888648875e+01,2.818714470e+00,4.694178323e+01,8.299229965e+00,4.494880952e+01,1.552701510e+01,5.857596078e+01,2.854295805e+00,2.107622551e+01,7.841503045e+01,3.033520156e+01,1.244945194e+01,5.865458268e+01,6.934016169e+01,1.991967763e+01,2.143744537e+01,6.571458106e+01,2.762841945e+01,2.417702975e+01,5.698277563e+01,6.043574138e+01,7.022513548e+01,6.223540381e+00,8.449422528e+01,9.600724607e+01,7.077174943e+00,2.348111293e+01,9.548526344e+00,2.436637492e+01,5.349075865e+01,9.359968488e+01,5.599587247e+01,4.499945875e+01,9.739459886e+01,6.630937342e+01,8.568080634e+01,9.799001840e+00,4.928578885e+01,2.552710002e+01,6.539380088e+01,3.895709323e+01,3.027850125e+01,5.268585788e+01,3.568201026e+01
9.606791818e+01,3.159127311e+01,1.370809009e+01,1.476990502e+01,6.241174813e+01,9.319158380e+00,7.305600763e+01,3.020117658e+01,6.057012463e+01,8.002222027e+01,6.227764195e+01,3.807395760e+01,1.487581087e+01,4.343807438e+01,2.979430077e+01,4.463148368e+01,7.633956198e+01,5.602355268e+01,8.585958013e+01,6.123217249e+01,4.405744384e+01,7.684969217e+01,7.360611903e+01,1.682993911e+01,9.497648692e+01,2.732339020e+01,3.902160661e+01,7.040066130e+01,6.299669386e+01,1.280153531e+01,1.029157528e+01,3.313132076e+01,9.342869917e+01,9.937104389e+01,4.830050005e+01,3.675687626e+01,9.552017969e+01,5.732527058e+01,3.424522899e+01,2.600773287e+01,2.865372397e+01,1.897120422e+01,7.355305010e+01,9.540446335e+01,5.004843889e+01,5.854879385e+01,7.320167647e+01,8.061993374e+01,5.510243467e+01,3.168105374e+01,5.866997796e+00,9.380953652e+00
6.817684747e+01,5.460887009e+01,9.572726436e+01,2.386394701e+01,8.203618080e+01,7.970581501e+01,8.806822984e+01,2.090096685e+01,5.710335571e+01,9.042153206e+01,6.839318472e+01,6.311556184e+01,3.774607506e+01,3.170890551e+01,9.720654506e+01,1.609900148e+01,8.177817133e+01,2.556545557e+01,3.902429817e+01,2.763447801e+01,3.367670923e+01,8.560844969e+01,8.266078456e+01,1.258206014e+01,3.633356736e+00,5.487410872e+01,9.114754803e+01,6.599318648e+01,3.037169200e+01,3.207249355e+01,5.057073770e+01,1.759068250e+01,2.853819562e+01,9.877737677e+01,4.539855943e+00,7.792774582e+01,4.159952805e+01,9.252141415e+01,2.322127585e+01,1.596590254e+01,8.540034071e+01,8.577477737e+01,8.049014874e+01,5.804843359e+01,4.296027786e+01,4.217351077e+01,1.219360983e+01,6.340908791e+01,8.646081080e+01,7.012399017e+01,5.091827839e+01,4.162385723e+01
8.048550048e+01,5.864999398e+01,7.751640508e+01,2.625760370e+00,8.699423427e+01,7.614933910e+01,9.474957863e+01,7.614214032e+01,6.402515903e+01,4.089524450e+00,8.170762830e+01,1.931865667e+01,4.081760678e+01,6.651382891e+01,1.665207602e+01,9.011811200e+01,6.583622569e+01,2.659988908e+00,5.568964379e+01,4.674239793e+01,1.816627028e+01,9.962299594e+01,7.067798114e+01,1.956777277e+01,4.402815387e+01,9.603937638e+00,3.801894593e+01,2.662370639e+01,1.936035116e+01,5.793150875e+01,6.977283761e+01,9.465557270e+01,2.425446760e+00,1.782387567e+01,2.862667697e+00,1.712383237e+01,3.938249479e+01,2.343011260e+01,2.537820863e+01,8.189359758e+01,2.807395631e+01,8.389147636e+00,4.373758193e+00,1.229137408e+01,9.483281928e+01,4.935975632e+01,5.898109755e+01,4.376361496e+01,8.560958935e+01,4.278070919e-01,1.216554831e+01,4.764905947e+00
