v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30
3.999166298e+01,6.117326705e+00,2.502591132e+01,6.375769608e+01,7.160656383e+01,7.527844612e+01,9.951047782e+01,5.732439347e+01,7.383283521e+01,5.307549440e+01,6.355191179e+01,1.412991472e+01,9.189239255e+01,4.591587604e+01,3.477865604e+01,5.205557825e+01,4.046382443e+01,8.194785122e+01,7.732783522e+01,4.001215548e+00,2.883669253e+01,7.282749935e+01,7.474874600e+01,7.023672263e+01,7.060586601e+01,3.346149943e+01,5.092974758e+01,4.106924969e+01,3.734810036e+01,7.088759642e+01
4.738033067e+01,9.339438349e+01,9.247332353e+01,1.705395967e+01,2.961448396e+00,5.667571138e+01,9.761002982e+01,9.170560947e+01,8.724788384e+01,1.623754069e+01,3.870758803e+01,6.296227347e+01,3.029406871e+01,7.509249362e+01,5.495308193e+01,6.910432506e+01,6.138872680e+01,3.033124948e+01,9.966602225e+01,1.412371078e-01,3.704648526e+01,2.272751501e+01,7.998859670e+01,9.366344888e+01,4.491692437e+01,1.985515643e+01,3.873426160e+01,1.303034646e+01,6.003147981e+00,9.165578692e+01
5.163039654e+01,3.966277323e+01,8.498897520e+01,7.453687083e+01,3.251627208e+01,8.834070989e+01,1.090732234e+01,1.764065217e+01,1.275253608e+01,2.581188831e+01,8.447398819e+01,3.553123092e+01,7.470049125e+00,5.439572335e+01,2.444170239e+01,7.131831786e+00,5.229559493e+01,2.769387329e+01,9.228011176e+01,2.853918561e+01,1.946525599e+01,4.377380824e+01,6.117639844e+01,6.543939428e+01,9.920608465e+01,3.754665327e+01,4.746839618e+01,3.420166281e+01,8.141888569e+01,8.984283405e+01
7.550131250e+01,6.252853752e-01,5.282468176e+01,7.658069612e+01,8.042713531e+01,7.117838880e+01,1.757265562e+01,5.066951421e+01,2.959539012e+01,5.839992301e+01,9.357464225e+01,7.776442621e+01,2.793425073e+01,3.704222604e+01,6.557474200e+01,3.440933697e+01,7.342655671e+01,5.987652487e+01,1.449153570e+00,8.393960157e+01,8.383203536e+01,9.905274849e+01,7.914580497e+00,9.241952661e+01,2.330290049e+01,5.984226699e-01,9.634815124e+01,8.272959113e+01,6.129876343e+01,3.046461795e-01
9.917891719e+01,4.780003422e+01,7.766272264e+01,1.840096009e+01,3.037406243e+01,2.587459600e+01,8.556910916e+01,8.294050611e+01,7.240377474e+00,1.400259583e+01,4.160127278e+01,9.967371556e+01,5.543560586e+01,3.264425258e+01,6.438161357e+01,7.196397729e+01,4.515197698e+01,1.025914569e+01,2.870868055e+00,7.957821689e+01,1.782436223e+01,7.209027210e+01,3.548659283e+01,6.293618672e+01,1.961186643e+01,8.287361994e+01,5.635782466e+01,7.017733786e+01,4.688686627e+01,6.781619170e+01
3.663793819e+01,6.821640171e+01,3.057120129e+01,6.838318754e+01,9.240260485e+01,4.954554629e+01,7.928931532e+01,9.829512326e+01,4.211217087e+01,9.486878006e+01,1.752460713e+01,2.144576593e+00,1.463257229e+01,4.073041354e+01,4.019775087e+01,7.783082890e+00,2.409974447e+00,5.057812156e+01,5.759775529e+01,5.932098325e+01,2.551097412e+01,7.930760111e+01,7.437113533e+01,8.050326463e+01,5.654083863e+01,3.856426358e+00,2.500936739e+01,6.536017336e+00,9.579670790e+00,2.393657267e+01
5.064942986e+01,7.294862742e+01,2.322016923e+01,1.512686882e+01,3.245782884e+01,5.648869271e+01,3.158405643e+01,3.380777844e+01,8.301826327e+01,8.485828822e+01,7.839341868e+01,9.266118391e+01,7.653343236e+01,2.132539365e+01,7.473917996e+01,2.962838923e+01,6.464468044e+01,3.580736540e+01,3.545009522e+01,5.546133383e+01,3.219416110e+01,2.206057949e+01,3.434758122e+01,9.145608762e+01,1.411581217e+01,8.022250078e+01,2.452978997e+01,8.875032670e+01,8.871562836e+01,2.372577803e+00
4.085282472e+01,9.601870289e+01,5.448276187e+01,8.008692126e+01,1.680532290e+01,9.612434376e+01,9.572945280e+01,3.716846569e+01,7.788908396e+01,4.708287415e+01,6.701692360e+01,8.938765217e+00,8.853061290e+01,9.245605607e+01,8.364163593e+01,4.266074021e+01,8.217323813e+01,6.176995801e+01,9.054382585e+01,1.407479897e+01,7.141869739e+01,8.462487425e+01,1.050126396e+01,7.194824976e+01,1.112579164e+01,8.336106354e+01,1.874960157e+01,5.606875997e+01,9.867068130e+01,5.692491262e+01
3.885883338e+01,2.182809192e+01,1.378097290e+01,1.935455504e+01,9.263793330e+01,1.227095419e+01,7.102315742e+01,7.730747750e+01,6.026285855e+01,5.048381519e+00,4.835628500e+00,6.314566593e+01,6.561751672e+01,9.878992138e+01,3.819113103e+01,6.752013870e+01,7.692380847e+01,2.693782618e+01,2.973651625e+01,8.731583719e+01,4.801349306e+01,1.020581485e+01,1.482379826e+01,6.272861015e+01,8.329707199e+01,5.927446032e+00,1.932812559e-01,8.347091861e+01,3.394823845e+01,2.790800493e+01
6.942296679e+01,1.086561135e+01,7.664203596e+01,1.928911578e+01,7.053513643e+01,2.832317072e+01,1.023142460e+01,5.860023298e+01,1.374190912e+01,3.161128677e+01,9.120805900e+01,4.371018288e+01,7.205816924e+01,8.833251795e+01,7.743955979e+01,8.920254560e+01,9.193523103e+01,1.556373473e+01,8.892010514e+01,2.423761319e+01,4.296908586e+00,9.641138726e+01,5.292051687e+01,3.613373384e+01,1.729598234e+01,5.990559627e+01,4.276303404e+01,5.618074306e+00,1.528603955e+01,3.880620059e+00
4.292500663e+01,4.043037019e+01,1.948689303e+01,9.607975448e+01,6.226012773e+01,3.990911946e+01,1.313384834e+01,5.207267327e+01,1.859528629e+01,3.942417084e+00,2.491497203e+01,7.691590336e+01,7.230037915e+01,4.651857012e+01,5.557962085e+01,2.903310337e+00,6.850440474e+01,1.648374737e+01,4.808332709e+01,5.363173271e+01,3.592118867e+01,8.934916943e+01,6.015732669e+01,5.269036005e+00,9.962978694e+01,4.693285156e+01,1.054728560e+01,8.332730636e+01,2.976732929e+01,3.593005568e+01
3.548703510e+01,3.183419452e+01,6.360562990e+01,8.490129119e+00,4.898856065e+01,7.142884850e+01,8.147750622e+01,3.114404503e+01,1.625945140e+01,7.997017979e+00,7.488161601e+01,1.158154481e+01,4.791512296e+01,5.322283955e+01,3.937934474e+01,5.757438560e+01,4.002691928e+01,9.524569618e+01,8.312117449e+01,9.782502734e+01,9.471993694e+01,4.110104292e+01,3.594970549e+01,6.793665457e+01,3.424531911e+00,7.255218545e+00,4.636043892e+01,6.506377830e+01,5.813631921e+01,8.306315886e+01
2.063204238e+01,2.519271939e+00,2.408280810e+01,1.854296240e+01,8.336368843e+01,9.939016281e+01,1.794798438e+01,7.585754825e+01,1.053286840e+01,8.566869076e+01,5.562136009e+01,1.168451809e+01,7.436986038e+01,8.009153414e+01,6.146326292e+01,7.536355668e+01,8.904846813e+01,9.223356296e+01,9.759090275e+01,7.674415701e+01,9.456778649e+01,9.996531830e+01,2.161046229e+01,3.204680620e+01,4.994050218e+00,5.185667157e+01,4.907218102e+01,7.072968595e+01,1.276062156e+01,7.224259846e+01
5.051167242e+00,1.565974589e+01,8.829761282e+01,5.931080780e+01,3.432004302e+01,3.130563337e+01,9.612845507e+01,9.583312212e+01,2.232869234e+01,5.977798974e+01,3.755298911e+01,9.058263272e+01,6.848121212e+01,1.137903338e+01,8.374693146e+01,5.424034569e+01,3.597414420e+01,9.441617112e+01,9.850063895e+01,3.545874745e+01,3.228516389e+01,9.124100128e+01,1.737160184e+01,7.249204187e+01,1.586365917e+01,7.733618553e+01,8.664043009e+01,4.046305795e+01,4.076723125e+01,7.404737712e+01
5.474452105e+01,5.142641101e+01,4.849482982e+01,9.297144749e+01,2.703399744e+01,7.612524026e+01,8.181922164e+01,3.062525162e+01,4.589014377e+01,7.867251711e+01,8.760974127e+01,6.506399789e+01,6.534016690e+01,2.855209655e+01,2.732283976e+01,2.367845808e+01,6.113204248e+01,4.761193975e+01,4.745494078e+01,2.003207406e+01,3.244412693e+01,6.770133515e+01,9.219520149e+01,9.473504988e+01,9.490427639e+01,3.847687713e+01,6.987792888e+00,7.006297057e+00,5.004374325e+01,4.939637104e+01
9.145727625e+01,5.399518765e+01,4.650252893e+01,5.539518211e+01,6.685362981e+01,3.339203189e+01,2.737457416e+01,1.253006258e+01,4.071622380e+01,7.291658808e+01,2.907741788e+01,8.766882807e+01,6.557273747e+01,1.869287721e+01,3.345776563e+01,6.592168586e+01,1.037934452e+01,1.354267459e+01,4.917996003e+01,7.816369013e+01,7.332023115e+01,3.746896153e+01,9.821500058e+01,5.543450105e+00,3.302693897e+01,8.199220796e+01,5.658887688e+01,5.972508817e-01,1.865743992e+01,8.136304378e+01
2.049686269e+00,9.174563001e+01,7.150909444e+01,4.719059829e+01,6.487038798e+01,7.894485535e+01,9.906391972e+01,9.926823674e+01,6.381236011e+01,5.139283040e+01,7.466067961e+01,8.991490605e+01,2.659804616e+01,4.737080409e+00,4.394372904e+01,4.649254178e+01,1.973464682e+01,9.247177901e+01,3.102620322e+01,5.532527698e+01,2.285893753e+01,7.961141020e+01,8.638550402e+01,9.906289370e+01,9.117715641e+01,6.193901096e+01,7.444853422e+01,5.287612592e+01,6.334896025e+01,8.670099246e+01
2.926800772e+01,4.494038371e+01,6.831781544e+00,9.094916910e+01,1.634643964e+01,8.169879519e+01,8.743950710e+01,1.315661759e+01,7.173866109e+01,6.216935660e+01,4.359540089e+01,3.420129441e+00,7.678400438e+00,6.557137283e+00,6.078483417e+01,4.656540898e+01,4.501950403e+01,6.295397422e+01,2.308665657e+01,7.658407803e+01,1.010157927e+01,1.872402794e+01,7.246688508e+01,6.019937453e+01,4.952646342e+01,7.749244273e+01,9.361245202e+01,5.647946277e+01,3.694082311e+01,1.321859262e+00
8.472273924e+01,9.255239825e+01,5.895950877e+01,4.084718827e+01,7.597658734e+00,6.961217415e+01,1.581594076e+01,2.663030552e+01,2.550943714e+01,8.866364194e+01,6.065249648e+00,9.591060476e+00,7.628013741e+01,8.470118297e+01,9.631483849e+01,6.600951235e+01,4.238950835e+01,9.785894629e+01,3.277053278e+01,3.836834332e+00,2.751925728e+01,9.492683848e+01,4.522470088e+01,4.480143864e+01,4.096879244e+01,6.430105120e+01,5.954882940e+01,5.421931437e+01,7.127133200e+01,5.580443562e+01
8.741551137e+01,5.979534841e+01,9.601681873e+01,1.801204693e+01,7.546966246e+01,1.568178936e+01,2.673498323e+01,9.207047696e+01,3.460579981e+01,8.752144487e+01,6.714130019e+01,6.030160622e+01,3.940822647e+01,3.911663185e+01,2.137998867e-01,1.321623846e+01,4.138359149e+01,9.230130548e+01,2.371523497e+01,6.442317749e+01,1.659221044e+01,4.496447206e+01,1.972947976e+01,3.077553737e+01,5.881443059e+01,8.328657567e+01,9.328556288e+01,6.830142517e+01,3.655014533e+01,3.723900555e+01
1.195335147e+01,1.338977092e+01,1.797131593e+01,3.502232532e+01,6.339649919e+01,8.406395925e+01,2.849864190e+01,7.653990494e+01,8.289145897e+01,6.235384991e+01,7.908272365e+01,8.373544295e+01,4.164294333e+01,4.286857360e+01,1.495142526e+00,2.799394157e+01,8.041782607e+01,5.639523640e+00,2.745135210e+01,7.169463057e+01,3.165368510e+01,9.009722753e+01,6.034217578e+01,6.721066308e+01,3.627750459e+01,4.055397888e+01,8.132337749e+01,3.022293304e+01,2.726446965e+01,3.711506940e+01
4.832334111e+00,5.688719152e+01,2.166924414e+01,9.505893227e+01,7.486039037e+00,6.230615614e+01,5.853999113e+00,9.474838331e+01,6.920722812e+01,6.723486514e+01,9.858169646e+01,1.048967550e+01,1.729360462e-01,4.410191525e+01,1.452947620e-02,6.686164071e+01,7.584260123e+01,1.376866306e+01,8.233329961e+00,3.326173773e+01,6.359045488e+01,4.487346516e+01,5.075284645e+01,4.445585059e+01,9.379002092e+01,2.933714028e+01,4.428031268e+00,2.765597976e+01,8.330362658e+01,5.025585635e+01
9.262672073e+01,3.689360304e+01,9.603293735e+00,5.280228871e+01,8.617967566e+01,3.103768361e+01,9.502438890e+01,3.251362999e+01,3.669798593e+01,3.110406597e+01,5.523948503e+01,1.302091924e+01,2.307386805e+01,6.667671243e+01,7.227598724e+01,5.913914077e+01,7.541479163e+01,4.618290090e+01,1.515508354e+01,9.791674273e+01,1.721508903e+00,2.087904324e+00,2.216444305e+01,1.774785459e+01,3.634425354e+01,8.322526379e+00,2.202864192e+01,4.561205700e+01,3.379577379e+01,6.176504557e+01
3.856591442e+01,7.366682799e+01,9.958037562e+01,1.835012338e+01,9.908398839e+01,5.857871317e+01,5.200925769e+01,5.857293774e+01,2.882548398e+00,3.611029420e+01,3.682898977e+01,4.767948402e+01,4.977821183e+01,6.169556239e+01,4.918080458e+01,5.107442825e+00,6.383642603e+01,6.338219799e+01,6.904445510e+01,2.138475695e+01,4.974275150e+01,8.690291853e+01,9.565367182e-01,4.615490574e+01,6.131302240e+00,3.247897637e+01,3.155630729e+01,3.994357977e+01,7.015617072e+01,3.630246966e+01
8.342799151e+01,7.738219523e+01,6.115162902e+01,3.272250502e+01,4.484854882e+00,8.961834529e+01,1.202947090e+01,6.487450321e+01,1.104013974e-01,5.656213643e+01,4.759405669e+01,3.340747051e+01,2.320782975e+01,6.539728644e+01,5.840949521e+00,8.234317463e+01,4.940576754e+01,3.810246092e+01,9.148865214e+01,7.708826241e+01,9.728072524e+00,7.643406684e+01,6.036065979e+00,3.402566069e+01,5.811417860e+01,5.275143416e+01,3.846425997e+01,6.711213538e+01,7.474514464e+01,9.873471128e+01
6.614299825e+01,6.665693326e+01,7.736851694e+01,9.870998519e+01,6.273307689e+01,4.789074287e+01,2.259247742e+01,4.629557877e+01,4.377354779e+01,3.078395665e+01,9.790757239e+01,7.061001497e+01,6.739067253e+01,9.102730198e+01,5.289654715e+01,9.934229185e+00,6.486969563e+01,5.441273944e+01,8.145108739e+00,4.422221689e+01,6.732668175e+01,7.299751842e+00,5.679157026e+01,6.028237899e+01,1.690137926e+00,2.322704927e+01,1.902368858e+01,5.701186484e+01,9.889034281e+01,5.866434972e+01
2.734936864e+01,8.757207587e+01,1.150687457e+00,4.656769599e+01,5.994250678e+01,2.719555027e+01,6.365661179e+01,1.105929443e+01,5.363475034e+01,7.005450533e+01,6.300009014e+00,7.196002151e+01,3.006697667e+01,5.110483915e+01,2.927085532e+01,4.954579436e+01,7.565365478e+01,7.226084212e+01,9.501854381e+01,2.984610821e+01,8.176603425e+01,7.186168000e+01,3.561551783e+01,3.229798792e+01,5.939220377e+00,8.841659901e+01,1.139061160e+01,6.627693504e+01,9.986751042e+01,1.315072927e+01
5.461878580e+01,1.179545173e+01,8.889999872e+01,6.376943924e+00,4.167581824e+01,5.493711986e+01,3.354933953e+01,5.371729570e+01,4.257266249e+01,9.028193124e+01,9.434610872e+00,9.720504578e+01,4.808478061e+01,7.723667328e+01,5.980019989e+01,7.755489837e+01,3.726786152e+00,2.871809004e+01,7.454181950e+01,7.904322357e+00,7.586022648e+01,4.123110828e+01,3.478019560e+01,5.363550448e+01,6.921907036e+01,1.352175980e+01,1.922004257e+01,1.277043102e+01,9.574407630e+01,9.768688963e+01
2.995452265e+00,5.962359925e+01,2.275232256e+01,4.274556567e+01,2.542663169e+01,4.199584198e+01,7.114752427e+01,8.768129424e+01,6.625486223e+01,6.531357982e+01,9.707552838e+01,6.176184462e+01,5.262016569e+00,2.981341210e+01,3.014406942e+00,6.621473677e+01,5.571467030e+01,3.851833398e+01,2.810989717e+01,1.682860581e+01,1.999732076e+01,1.018908179e+01,2.105612219e+01,1.610644040e+00,5.878938412e+00,9.879518351e+01,8.040179804e+01,8.095565329e+01,3.063184324e+01,1.682044074e+01
9.407512901e+01,6.052189015e+01,1.049287178e+01,4.820874651e+01,2.085634873e+00,7.037562695e+01,1.250186170e+01,5.817110415e+01,8.768623563e+01,3.631637946e+01,1.335450256e+01,9.706205536e+01,8.606219488e+01,4.814556888e+01,3.277115668e+01,1.449211043e+01,9.095623761e+00,6.801385681e+01,9.269707748e+01,1.995569292e+01,3.082765855e+01,5.815086964e+01,9.362212720e+01,2.588692845e+00,5.799005295e+01,3.718216213e+01,2.600305952e+01,2.000481988e+01,2.061217204e+01,7.890758282e+01
2.363930931e+01,6.510588546e+01,4.966479017e+01,8.464010976e+01,2.564580718e+01,9.967809036e+01,4.792888276e+01,6.965165834e+01,1.405679703e+01,5.044565188e+01,6.582184382e+01,1.466430502e+01,8.445267409e+01,1.840274749e+01,6.755237558e+01,4.053033000e+01,4.839937765e+01,5.407251835e+00,1.540206643e+01,7.079242651e+01,6.933198701e+01,7.104513316e+01,3.669245570e+01,2.863449729e+01,2.831455842e+01,1.527652373e+01,8.939889239e+01,8.030661120e+01,5.124481103e+01,1.552663020e+01
9.503626679e+01,8.993758959e+01,2.265970994e+01,6.167970785e+01,9.057504780e+01,7.309551970e+01,6.470099465e+01,3.843828778e+01,3.178434842e+01,3.410118709e+01,6.592668488e+01,1.289212625e+01,5.593917606e+01,8.672283820e+01,9.486151212e+01,9.890560732e+01,4.348433363e+01,8.593390823e+01,8.056154189e+01,5.631739528e-01,8.096332159e+01,5.120893225e+00,7.623790036e+01,1.079152104e+01,3.120641615e+01,5.269030420e+01,3.454335364e+01,2.562217713e+01,4.854394310e+01,5.045916959e+00
3.772736855e+01,7.721356818e+01,7.868616786e+01,3.804142690e+01,5.463247914e+01,3.351730983e+01,7.619623426e+01,7.053878752e+01,9.708549130e+01,8.549610750e+01,1.457238298e+00,3.932846887e+01,8.540066606e+01,6.219367457e+01,8.266420536e+00,8.484292503e+01,1.639891549e+01,8.142532457e+01,8.826074319e+01,2.710562261e+01,6.553032821e+00,8.672399291e+01,5.576409019e+01,3.432401319e+01,4.583282080e+01,9.994338392e+01,6.437501020e+01,1.285839822e+01,8.929031747e+01,6.819560801e+01
8.284770016e+01,5.037851215e+01,4.243113258e+01,2.018740323e+01,9.876148514e+01,2.597108824e+01,1.910210192e+01,1.542160280e+01,3.383870003e+01,8.202620618e+00,6.408958389e+01,2.197802557e+01,2.108172187e+01,1.061500665e+01,2.942770526e+01,4.749634469e+01,6.668576941e+01,8.106644105e+01,6.436056362e+01,1.214557702e+01,9.963733487e+01,9.180899074e+01,6.613922074e+01,3.278469096e+01,8.413864192e+01,9.621864898e+01,6.987095726e+01,7.923492630e+01,1.078292394e+01,7.682526148e+00
9.064387653e+01,8.531682021e+01,1.059085911e+00,5.898477715e+01,1.209451931e+01,6.847928281e+01,3.324428439e+01,4.269574919e+01,6.779674157e+01,1.189050624e+01,2.398347648e+01,6.016215318e+01,1.882237306e+01,6.680652022e+01,6.615554603e+01,5.112692118e+01,6.885851575e+01,4.119574923e+01,3.804091411e+01,3.682883656e+01,9.496929508e+01,8.757691802e+01,3.748544789e+01,7.377613598e+01,1.437510202e+01,1.669180767e+01,4.244116388e-01,7.222721276e-01,3.660368050e+01,8.880807085e-01
8.571103782e+00,3.609549515e+01,5.674916173e+01,3.160238926e+01,2.678645079e+00,6.630492283e+01,1.480588543e+00,1.611857243e+01,2.965569834e+01,9.574241905e+01,9.936588650e+00,2.355746381e+01,2.769528839e+01,7.337839223e+01,5.225969566e+01,1.380081539e+01,2.208671548e+01,7.150655843e+01,4.195755772e+01,9.116303472e+01,1.407090743e+01,4.942503242e+01,4.916275246e+01,6.553836120e+01,7.843843931e+01,4.880732758e+01,1.565734453e+01,2.505550793e+01,2.330428349e+01,5.799193925e-02
6.806674830e+01,6.202988068e+01,5.197441241e+01,4.027414129e+01,2.685369393e+01,1.879414219e+01,7.324101719e+01,1.632147643e+01,6.994451059e+01,2.440331372e+01,4.326156570e+01,1.140438036e+01,8.292909335e+01,2.731854107e+01,4.972123412e+01,7.215545057e+01,2.739817295e+00,5.321634778e+01,6.508657827e+01,9.772429557e+01,4.946202501e+00,1.726611120e+01,3.135874862e+01,6.079165407e+01,8.839826184e+01,6.445921846e+01,3.615130430e+01,3.253602561e+01,1.757259104e+01,7.010957649e+01
9.639850978e+01,5.981191329e+01,3.429880088e+01,4.397184447e+01,3.810045918e+01,6.400566949e+00,4.631294566e+01,7.193620368e+01,9.727110161e+01,9.426323093e+01,9.635612703e+01,7.395602580e+01,7.450210525e+01,8.775363923e+01,4.415577567e+01,3.888171179e+01,1.471999208e+01,6.370219688e+01,6.537293535e+01,9.022631092e+01,7.958126902e+00,6.074192930e+01,4.446957609e+01,9.998375522e+01,9.246053088e+01,3.081067099e+01,7.267916504e+01,3.969371443e+01,1.328646771e+00,1.856379400e+01
8.443005804e+01,9.383153712e+01,1.381625131e+01,7.285159967e+01,3.646750950e+01,7.244136352e+01,2.222664689e+01,1.174344956e+01,2.999596793e+01,7.743222765e+01,3.718570768e+01,5.097428348e+01,6.610679381e+01,7.755996260e+01,8.783799972e+01,5.434958031e+01,1.561836562e+01,2.986134580e+01,5.848174427e+01,1.342433155e+01,5.104153228e+01,9.790728382e-01,1.687006463e+01,2.724027981e+00,4.915668962e+01,8.527680500e+01,5.813579713e+01,9.187945427e+01,1.119934360e+01,6.627277192e+01
2.078209985e+01,1.201468242e+01,1.554395283e+01,6.901829849e+01,8.629589333e+01,8.851203433e+01,9.325150076e+01,4.883861545e-01,2.434754581e+01,4.070219470e+01,7.718581100e+01,5.265606111e+01,4.512621761e+00,4.551275692e+01,8.556598616e+01,5.563198980e+01,6.324880915e+01,7.476347757e+01,6.336578055e+01,2.244987506e+01,7.602129081e+01,6.749406028e+00,7.283154106e+01,6.399712535e+01,7.575756378e+01,1.403679545e+01,7.799848652e+01,5.210811666e+01,7.313633363e+00,3.670202652e+01
8.843238098e+01,9.839867299e+01,8.015868078e+01,1.229432869e+01,1.190782175e+00,2.877182572e+01,1.549557868e+01,4.505328232e+01,8.332309029e+01,6.984470520e+01,2.145259416e+01,1.274073305e+01,3.239163779e+01,2.235536474e+01,5.262844280e+01,2.685062966e+01,9.110576872e+01,9.733969773e+01,1.169627462e+01,6.116348549e+01,1.264785183e+01,3.604934288e+01,6.050137175e-01,7.475062658e+01,3.067404438e+01,2.734888745e+01,4.547912350e+01,5.147483883e+01,1.435351692e+01,4.150770243e+01
