v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32
4.147668699e-01,1.312323875e+01,9.954416710e+01,1.726617362e+01,5.879014342e+01,7.853380336e+01,7.259191043e+01,7.778026420e+01,8.526612465e+01,4.192520503e+01,6.522922798e+01,9.116541111e+01,9.348078753e+01,6.075308813e+01,9.952561706e+01,4.138997509e+01,9.927338481e+00,8.689432653e+00,8.150334838e+01,3.602116855e+00,9.996967919e+00,2.170967309e+01,8.786912515e+01,4.382184798e+01,7.068045939e+01,2.379413764e+01,1.315114135e+01,4.570399480e+01,9.714175169e+01,1.000762991e+01,7.421872115e+01,5.933040333e+01
8.653100724e+01,8.812800765e+00,6.974544526e+01,7.323017209e+01,6.798644779e+01,5.681507903e+01,4.905041718e+01,1.546739453e+01,4.611369822e+01,9.618878253e+01,8.613111851e+01,5.697167979e+01,6.874400975e+01,3.374147945e+01,3.902148422e+01,4.562985325e+01,4.475249337e+01,7.400992360e+01,8.314514650e+01,3.096521155e+00,2.581628485e+01,2.142518094e+01,6.713603860e+01,3.700807073e+01,7.924916014e+01,4.280801818e+01,6.229626200e+01,7.193305262e+00,8.260130903e+01,1.883300089e+00,7.281324268e+01,1.431775072e+01
4.448868075e+01,2.362250278e+01,5.871384392e+01,5.212299057e+01,9.605449321e+01,3.557832566e+01,4.987881628e+00,9.597920427e+01,8.559190923e+01,8.691508892e+01,5.421739871e+01,9.960692296e+01,1.324136956e+01,6.293835051e+01,5.946995420e+01,4.587155827e+01,2.213164580e+01,5.021191846e+01,2.036492475e+01,9.393943943e+00,7.176306194e+01,5.836364927e+01,7.760185281e+01,7.845017625e+00,3.620134604e+01,3.638209153e+01,9.448332068e+01,9.035562939e+01,2.703022070e+01,2.844780088e+01,2.445291121e+01,6.932604635e+00
8.536076743e+01,9.817100444e+01,6.376671536e+01,3.513478469e+01,9.494831947e+01,2.276991238e+01,7.009688942e+01,3.988484271e+01,7.816079882e+00,4.661314977e+01,8.828221342e+00,4.008934794e+01,2.400024403e+01,9.114142311e+01,9.298116222e+01,8.251701988e+01,8.765061181e+01,8.585120782e+01,6.488549356e+01,2.014333019e+01,8.125553722e+01,2.858203326e+00,2.320735941e+01,3.788968602e+01,6.663305416e+01,6.831371888e+01,5.686252151e+00,8.025901079e+01,8.150414967e+01,3.926270213e+00,2.240625533e+01,4.229952036e+01
8.483803791e+00,6.492869970e+01,5.396849735e+01,1.752125038e+00,1.269140035e+01,1.431872361e+00,2.415940389e+01,8.779266726e+01,6.739801467e+01,6.347002634e+01,8.201330782e+01,6.736068517e+00,7.138762067e+00,7.357025022e+01,2.551069622e+00,2.334149567e+01,1.037945422e+01,7.417745034e+01,1.745202371e+01,7.493801801e+01,2.197267042e+00,7.677395359e+01,3.379375855e+01,3.847141983e+01,3.787633102e+01,8.431230217e+01,3.081302104e+01,4.258294571e+01,1.469479868e+01,2.125895612e+01,4.932694254e+01,8.406401383e+01
7.692348124e+01,5.404789651e+01,5.985738332e+01,6.633210545e+01,3.690880603e+01,6.477537339e+01,9.792324444e+01,2.591395135e+01,8.752652039e+01,8.078065869e+01,6.134889289e+01,8.052926288e+01,3.873264306e+01,5.803551172e+01,6.179788992e+01,9.087083850e+01,8.823124727e+01,6.986986026e+01,6.302833655e+01,7.655299531e+01,1.349267075e+01,9.821744828e+01,5.293131099e+01,7.772677493e+01,9.498128197e+01,2.899515523e+01,3.252361280e+00,1.968247843e+01,4.978010695e+01,9.625285492e+01,3.575027291e+01,6.755919865e+01
2.273710222e+01,2.102187246e+01,7.457196770e+01,4.191739090e-01,5.566079030e+01,6.215698427e+01,7.209496269e+01,8.395360946e+01,8.473618241e+01,3.618705391e+01,9.336112252e+01,7.882436107e+01,6.844351355e+01,2.906445663e+01,9.155297033e+01,6.547372737e+01,8.696654289e+01,6.885403739e+00,5.154022974e+01,2.496893753e+01,2.626996042e+01,5.305352773e+01,3.403462583e+01,9.656739552e+01,2.948776813e+01,7.430746154e+01,5.547760044e+01,4.885904505e+01,6.139648546e+01,4.945067926e+01,1.524615353e+01,4.125477633e+01
3.491943091e+01,1.736349950e+01,7.247094693e+01,6.088647454e+01,5.629788790e+01,7.764327321e+01,1.411843201e+01,5.716218365e+01,2.411500957e+01,3.319254768e+01,8.940858536e+00,1.544399751e+01,3.688764532e+00,7.260353226e+01,5.687196829e+01,9.621590754e+00,9.038964818e+01,3.846611866e+01,8.275293625e+01,9.481549058e+01,2.389630525e+01,9.548531317e+01,3.932713356e+01,2.120509391e+01,7.480738261e+00,2.249024842e+00,1.114211225e+01,9.417734260e+01,8.123943915e+01,7.696742276e-01,4.720053812e+01,7.227688739e+01
9.549254573e+01,1.946733344e+00,7.124100054e+01,5.854569358e+01,5.410161350e+01,9.667345947e+01,3.698598285e+00,2.307791899e+01,9.576793273e+01,8.543891152e+01,8.753141920e+01,6.569856425e+00,4.244801629e+01,8.509773180e+01,8.756590906e+01,4.503278323e+01,6.710665971e+01,4.199284563e+01,7.555086454e+01,6.347409876e+01,8.749919771e+01,5.038353456e+01,9.811863353e+01,3.449653392e+01,2.282847730e+01,5.265588444e-01,3.675106229e+01,8.245976053e+01,9.566231092e+01,9.297234433e+01,5.399479063e+00,9.536598888e+01
1.589150327e+01,9.230150908e+01,6.782681524e+01,1.861139480e+01,1.312152034e+00,6.154905948e+01,6.542554364e+01,1.298186641e-01,4.805928428e+00,8.536680154e+00,4.864957600e+01,3.184414944e+01,2.972204115e+01,4.965908044e+01,2.048746932e+01,9.174706736e+01,7.430336310e+01,8.761233933e+01,9.245092517e+01,5.392006689e+01,8.228253189e+01,3.283896346e+01,6.840609612e+01,3.910021328e+01,1.220975468e+01,6.600324368e+01,8.325291681e+00,6.776590887e+00,5.047454729e+01,3.810212720e+01,9.982527018e+01,6.575728942e+01
3.513667556e+00,5.243410507e+01,7.337050943e+01,8.925177616e+01,8.233810308e+01,8.225920030e+01,7.695968374e+01,5.663741034e+01,5.439449866e+01,1.078456420e+01,6.452891394e+01,7.542386907e+01,1.594479337e+01,2.160540120e+01,8.077994369e+01,9.023939163e+01,6.427052683e+00,3.506922364e+01,7.752050374e+01,2.104874125e+01,1.322283800e+01,4.616201463e+01,2.932830242e+01,8.270530925e+01,7.476940920e+01,8.847349431e+01,9.476911084e+01,1.138983635e+01,9.646901912e+01,8.307183255e+01,8.057366480e+01,5.696392044e+01
6.772914089e+01,2.388178755e+01,9.016195104e+01,8.884170795e+01,1.335093438e+01,6.867819328e+00,4.226659353e+01,9.952587367e+01,5.856817232e+00,7.400206459e+01,1.620471820e+01,2.622729913e+00,1.958280409e+01,9.742748756e+01,1.529917305e+01,9.490403209e+01,7.619131549e+01,3.694423685e+01,5.093976901e+01,6.921759419e+01,1.761943614e+01,9.654412954e+01,4.595284562e+01,1.748169314e+01,7.998282897e+01,6.925611676e+01,8.746515687e+01,7.111227015e+01,8.460286643e+01,7.100458565e+01,7.797914842e+01,5.586032401e+01
6.716349763e+01,4.652028425e+01,5.573800860e+01,2.127488102e+01,3.758170838e+00,7.746759779e+01,4.373351919e+00,1.290381431e+01,9.444974255e+01,5.040483952e+01,9.030466526e+01,7.732598011e+01,4.022716734e+01,7.984865531e+01,8.344510976e+01,5.672763750e+01,8.366659275e+01,6.103526223e+01,8.741100371e+01,1.363809972e+01,6.518548827e+01,1.545922733e+01,8.564091215e+01,2.663055737e+01,6.297951945e+01,8.298682899e+01,4.578956689e+01,8.041701001e+01,4.103832060e+01,4.677207309e+00,6.537840919e+00,3.852866007e+01
8.384930812e+01,6.614115227e+01,8.651620844e+01,5.530324196e+01,9.947992869e+01,9.257192145e+01,1.458702236e+01,4.080698807e+01,8.375668210e+01,6.163805399e+01,7.988429631e+01,6.438790464e+01,7.011785640e+01,4.087695292e+01,1.243166595e+01,6.641311621e+01,5.422294614e+01,2.562077920e+01,2.449356940e+00,3.230401997e+01,6.544988154e+01,4.990202108e+00,9.008659182e+01,1.432650824e+00,7.232336224e+01,7.338454090e+01,7.642805981e+01,1.797305873e+01,4.352520258e+01,5.699815422e+01,5.207626169e+01,5.745384417e+01
7.028050472e+01,6.602476174e+01,3.936928404e+01,5.581046670e+01,4.425464224e+00,5.666525489e+01,5.740614473e+01,9.794039368e+01,2.045916201e+01,5.524068837e+01,2.811856327e+01,7.861107128e+01,8.815500790e+01,5.936880391e+01,2.028914104e+01,6.359147488e+01,7.948693685e+01,5.091268733e+01,1.572297734e+01,1.973939099e+01,6.872138944e+00,7.092080934e+00,7.702420561e+01,5.827803258e+01,1.351623486e+00,6.000603714e+01,6.832063724e+01,9.355464022e+01,1.364922748e+00,9.704203923e+01,9.868083894e+01,1.758306898e+00
7.998637134e+01,7.150372171e+01,1.684423226e+01,9.152401010e+01,4.613367108e+01,6.384406863e+01,7.291542794e+01,9.347114739e+01,5.898036415e+01,7.073390293e+01,5.047295654e+01,5.881553442e+00,5.500863707e+01,4.164771964e+01,1.927238664e+01,1.407291993e+01,1.904211146e+01,7.115759213e+01,4.178245930e+01,7.106510049e+01,1.030720561e+01,6.576359240e+01,3.484043100e-01,8.939808410e+01,1.516245572e+01,2.976929494e+00,8.461257015e+01,9.604631704e+01,3.380635912e+01,3.975920325e+01,6.940498541e+01,4.080298810e+01
6.934327889e+01,8.653874205e+01,6.598660313e+01,2.365166559e+01,4.513415548e+01,9.955915150e+01,4.572143160e+01,6.591278762e+01,4.653937152e+01,4.049118372e+01,7.741913050e+01,8.935454610e+01,2.215378440e-01,2.811729558e+01,6.369730728e+01,5.943623513e+01,5.347341383e+01,6.575922387e+01,1.381433027e+01,3.580577772e+01,9.787030077e+01,9.626367793e+01,8.771494294e+01,4.902814695e+01,6.063706758e+01,6.737462434e+01,7.454510124e+01,8.715250978e+01,4.880003233e+01,9.679087123e+01,8.357383408e+01,9.550791722e+01
6.889453777e+01,8.534521587e+01,6.657717061e+01,5.747747315e+01,2.400857055e+01,7.085272620e+00,2.830476889e+01,3.728188764e+01,8.173984911e+01,6.062803822e+01,7.100836954e+01,6.918850466e+01,5.465559588e+01,3.546602469e+01,2.331301227e+01,6.163379465e+01,2.737262359e+01,6.056339630e+01,8.551977998e+01,5.808889539e+01,8.708803568e+01,9.287304347e+01,2.530943655e+01,5.002324287e+01,4.933573370e+01,1.069941204e+01,3.209724578e+01,5.157899186e+01,2.792334519e+01,3.347171433e+01,3.673511530e+01,3.607981119e+01
5.511937623e+00,1.626750700e+01,5.898866625e-01,6.132415384e+01,6.144622977e+01,6.593816369e+01,3.648320919e+01,8.609960048e+01,7.299643566e+01,3.047595139e+01,6.504315443e+01,7.414223920e+01,3.742448966e+01,8.068391439e+01,8.020817105e+01,6.020554945e+01,5.149021417e+01,1.227714373e+01,6.423581689e+01,1.240505515e+01,8.166566110e+01,4.661930609e-01,5.193720791e+01,9.445266702e+01,1.959372990e+01,1.170056139e+01,5.379713851e+01,5.226880695e+01,6.810680925e+01,3.539263592e+01,1.134133587e+01,7.920798299e+01
2.283753089e+01,1.960666446e+01,9.963992587e+01,5.951828268e+01,2.445089899e+01,9.489561244e+01,6.916270461e+00,8.113898449e+01,9.820921117e+01,5.067011251e+01,1.473152014e+01,6.518360124e+01,9.434171618e+01,1.198254386e+01,3.328755539e+01,2.665831014e+01,6.115343869e+01,6.092524023e+01,9.171708093e+01,2.317961074e+01,8.171498330e+01,2.556630629e+01,6.991037290e+01,6.638074763e+00,6.520793836e+01,4.767137246e+01,7.078559021e+01,8.175375152e+01,8.055929655e+01,5.189413976e+01,7.203372357e+01,7.902253606e+00
4.106156717e+01,9.268757798e+01,6.451824099e+01,3.813873959e+01,9.597241836e+01,7.252593735e+01,5.401120906e+01,5.524894046e+01,4.480665203e+01,8.808602004e+01,7.375826493e+01,2.065431235e+01,5.751574538e+01,4.653170545e+00,9.866033861e+01,9.056485703e+00,3.988933758e+01,2.639065341e+01,3.547755347e+01,5.674506852e+01,4.878379116e+01,1.878255304e+00,7.348401893e+01,6.598931779e+01,4.725532643e+01,5.782313197e+01,4.768646020e+01,1.168048440e+01,9.830001398e+01,3.170420466e+01,7.598565058e+01,4.680789610e+01
4.500236697e+01,3.498124077e+01,4.824262456e+01,4.651927550e+01,9.466445602e+01,9.345360376e+01,6.515515992e+01,3.232202818e+01,4.093221674e+01,2.073192134e+01,3.841502399e+01,5.758857894e+01,8.377638963e+01,5.354801833e+01,3.741039798e+01,1.290129750e+01,9.646602932e+01,3.587042623e+01,8.820694658e+01,8.498103733e+01,9.190186859e+01,4.600830942e+00,6.042883566e+01,4.507246139e+01,5.575590294e+01,6.455225681e+01,6.908381116e+01,6.502325711e+01,7.085660030e+01,8.109067538e+01,1.284275811e+01,8.811056488e+01
3.606271160e+01,3.923754195e+01,2.003555418e+01,1.678530758e+01,3.487910434e+01,8.941279650e+00,8.815136847e+01,6.474213948e+01,7.899372791e+01,1.155748827e+01,5.683796002e+01,4.882256951e+01,9.279841890e+01,2.345030027e+01,7.878914899e+01,5.304392236e+01,1.917429035e+00,4.021752114e+00,2.020209816e+01,9.671695975e+01,5.029661035e+01,7.084422788e+01,2.315729364e+01,9.633473405e+01,5.795482488e+01,9.590060669e+01,5.954051266e+01,4.128873988e+01,3.564670184e+01,1.902151359e+01,8.900666061e+01,1.463213848e+01
