v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38
3.241378628e+01,1.146052938e+01,2.427333486e+01,7.230901243e+01,5.459210141e+01,7.923063373e+01,3.389615576e+01,9.859672602e+01,3.743312036e+01,3.866728877e+01,6.596512490e+01,2.200431596e+01,6.350490738e+01,5.637592696e+01,1.825175766e+01,8.193947947e+01,4.875739110e+01,1.686507273e+01,1.232405595e+01,1.215869284e+01,9.726718439e+01,5.923796421e+01,4.979562811e+01,5.746203471e+01,1.134985571e+01,7.434112747e+01,7.678317474e+01,4.094407353e+00,4.391607592e+01,3.896460833e+01,4.518456282e+01,7.689145916e+01,3.570009228e+01,7.249183760e+01,9.015303268e+01,4.517577081e+01,8.612923781e+01,9.148365994e+01
5.938773340e+00,5.006731831e+01,1.728078506e+00,5.990417316e+01,9.271368261e+00,9.674314333e+01,9.615865395e+01,6.185630855e+01,2.408345996e+01,4.645519959e+01,6.546889094e+01,2.292116886e+01,4.344288150e+01,1.693408687e+01,6.403316927e+01,1.822228535e+01,7.645725516e+01,4.058230265e+01,5.133594795e+01,1.819423415e+01,3.888221801e+01,6.856377577e+01,7.207862384e+01,9.345221035e+01,9.171913704e+01,4.091322424e+00,3.084492335e+01,5.641494598e+01,4.123019372e+01,2.643195335e+01,7.566123207e+01,1.510059545e+01,7.823775486e+01,4.403848584e+01,6.768082402e+01,4.736730165e+01,1.534242836e+01,4.617089154e+01
6.338949533e+01,8.105799468e+01,1.290744467e+01,6.788321248e+01,4.571253573e+01,4.030183461e+01,6.382978042e+01,3.216903817e+01,9.821318451e+01,5.957486824e+01,4.562994196e+01,3.394432946e+01,2.529120543e+01,5.048662568e+01,6.741299249e+01,3.425482377e+01,4.802237544e+01,7.753735560e+01,5.313287114e+01,9.758762861e+01,3.895775370e+01,1.304082272e+01,3.157059665e+01,9.526717895e+01,7.777549611e+01,5.072861649e+00,9.867652977e+00,8.119884124e+01,6.380437574e+01,6.889131238e+01,6.010431113e+01,2.394022038e+01,8.269653912e+01,4.910334821e+01,8.677173446e+01,7.314478981e+00,6.658880402e+01,9.256508267e+01
9.895678122e+01,6.535808115e+01,5.002289579e+01,8.398341051e+01,2.785875920e+01,3.140338887e+01,8.501727168e+01,8.980492558e+01,2.463387916e+01,6.765930641e+01,6.768507431e+01,3.825008840e+01,2.273852536e+01,4.074502617e+01,4.333773189e+01,7.667134610e+01,8.157478966e+01,1.393136745e+01,6.330866224e+01,2.553865762e+01,6.504721248e+00,6.072939182e+01,2.969510890e+01,9.296828679e+01,3.105741124e+01,7.388712076e+01,4.181423002e+01,7.247103459e+00,8.203887151e+01,6.639111440e+01,5.138431934e+01,1.593257107e+00,6.742755166e+00,2.741827090e+00,6.312661958e+01,9.479872060e+01,1.039439805e+01,9.927667518e+01
5.907198587e+01,8.587992086e+01,6.218768490e+01,2.345964416e+01,4.070956298e+01,7.437751529e+01,4.128204475e+01,7.490643627e+01,8.147001827e+01,8.118708563e+01,3.760278437e+01,2.549229003e+00,9.808337996e+01,9.752682485e+00,4.196189782e+01,8.653412458e+01,7.384220613e+01,7.684205801e+00,9.989257240e+01,9.030264098e+01,9.126450673e+01,1.029316423e+01,8.553518730e+01,5.615216651e+01,6.773375316e+01,5.393491949e+01,2.530401857e+01,8.991870280e+01,4.972295036e+01,2.528235273e+01,2.678417157e+01,3.764641577e+01,5.677570383e+01,2.125667315e+01,2.878772999e+01,7.109465774e+01,9.044529433e+01,5.565144901e+00
1.355764630e+01,8.652687418e+01,3.439899376e+01,5.026776481e+01,1.977871570e+01,2.697751906e+01,4.191396449e+01,6.670696922e+01,1.079397690e+01,4.146676620e+01,2.269896065e+01,6.220653325e+01,2.684372132e+01,9.108765152e+00,3.974330894e+01,8.869099859e+01,2.395114996e+01,1.288993235e+01,4.139669666e+01,2.732583117e+01,2.795506839e+01,1.643462041e+01,6.966892111e+01,8.386387249e+01,4.761824605e+01,4.299827800e+01,8.950444253e+00,5.285892848e+01,3.344783621e+01,3.635745626e+01,1.136094326e+01,9.287020763e+01,9.905133214e+01,5.515905904e+01,4.871425667e+01,4.087016197e+00,6.309309644e+00,5.081263124e+01
5.969355897e+01,5.147950780e+01,1.123889576e+01,4.046639988e+01,1.394092786e+00,2.917288787e+01,8.894328488e+01,3.634938419e+01,5.247027289e+01,1.909223629e+01,8.578040502e+01,3.945464984e+01,9.967772758e+01,5.490975327e+01,9.334899346e+01,9.382313497e+01,1.958013461e+01,8.238274211e+01,8.726361204e+01,2.691070436e+01,6.496397506e+01,9.016935337e+01,9.097327559e+01,1.715287012e+01,3.966037575e+01,9.613886734e+01,4.044871428e+01,5.161779825e+01,9.086382243e+01,6.993630676e+01,9.432855593e+01,8.356391369e+01,6.308527504e+01,9.946672468e+01,5.267401915e+01,5.921493195e+01,6.498526627e+01,7.324813264e+01
6.043456173e+00,5.245611379e+01,2.136011230e+01,9.321273146e+01,8.743309693e+01,3.027914042e+01,5.110568251e+00,2.383644509e+01,3.282473855e+01,3.567644074e+01,3.683561771e+01,6.126827522e+01,7.309209086e+01,4.424052176e+01,2.009797610e+01,7.672601296e+01,5.113363112e+01,7.077692508e+01,1.678983620e+01,7.362720638e+01,2.096775707e+01,5.038992201e+01,9.326441792e+01,6.453028760e+01,2.788184627e+01,7.602156307e+00,6.455249724e+00,6.171825459e+01,8.528952547e+00,4.654513120e+01,3.548328631e+01,2.090885372e+01,9.295905128e+01,1.105029320e+01,5.695966019e+01,5.704081812e+01,5.880566793e+01,3.007617989e+01
5.260745737e+01,5.516225631e+01,8.181975956e+01,3.496426798e+01,5.416963327e+01,2.705719947e+01,1.406809779e+01,2.028258337e+01,1.131893398e+01,9.077873278e+01,4.983010880e+01,2.893399025e+01,4.276867830e+01,7.741172300e+01,1.308843954e+01,3.073698182e+00,3.361569997e+01,2.268395285e+01,5.960005225e+01,1.600398216e+01,4.566378612e+01,1.285528439e+01,3.604756010e+01,2.317437791e+01,9.956267308e+01,3.725054023e+01,9.360683942e+01,4.007983767e+01,7.391121391e+01,8.203860588e+01,6.646762172e+01,4.577821511e+01,3.194999955e+01,2.255438728e+01,6.855469290e+01,8.173819036e+01,9.993053452e+01,3.549022385e+01
6.042200073e+01,8.898607003e+01,4.976397310e+01,1.427813867e+01,9.395030240e+01,6.221420358e+01,4.641522945e+01,9.408664076e+01,9.098006171e+00,1.886967196e+01,1.397930542e+01,4.772325228e+01,1.077089202e+01,8.366063311e+01,7.846485972e+01,4.824257843e+01,6.073818493e+01,6.673326935e+01,3.179511399e+01,3.471634966e+01,5.903970628e+01,9.417288369e+01,8.254925488e+01,9.403601811e+01,8.917815130e+01,2.509645741e+00,5.994344995e+01,3.129047061e+01,5.425259186e+01,2.951588840e+01,2.504600279e+01,9.469079342e+01,4.343212865e+01,6.293902570e+01,2.042032695e+01,4.104949711e+00,9.055183997e+01,6.055048747e+01
4.668297175e+01,2.638812550e+01,5.350903744e+01,1.865142327e+01,1.064508177e+01,3.195789375e+01,5.877238329e+01,6.772549783e+01,8.851804861e+01,8.400263797e+00,5.137489697e+01,4.410581491e+01,4.246183938e+01,4.160982730e+01,9.587897600e+00,7.297992191e+01,6.461110207e+01,2.476433977e+01,1.956894369e+01,3.253057404e+01,2.500543620e+01,8.276948981e+01,1.617368029e+01,5.714046296e+01,9.917719381e+01,4.831861413e+01,5.194860645e+01,6.091319719e+01,4.145283784e+01,1.123830389e+01,5.062527045e+00,3.799222749e+01,9.153246284e+01,5.141888329e+01,4.371098464e+01,8.507495337e+01,2.347075745e+01,2.884638549e+01
5.897812107e+01,6.802106036e+01,9.085908045e+01,2.094318853e+01,2.490858138e+01,9.478590819e+00,1.208015565e+01,4.211801229e+01,9.513117287e+01,8.094598020e+01,8.454333324e+01,3.474896240e+01,6.842352706e+01,1.913857970e+01,3.456018975e+01,6.305203513e+01,3.405458807e+01,9.426422590e+01,5.709535080e+00,1.302810503e+01,6.342179721e+01,4.680778099e+01,2.728597896e+01,7.672719338e+01,2.085090489e+01,8.807696085e+01,9.998698069e+01,4.786208934e+01,5.095989846e+01,4.971004112e+01,1.755854986e+01,7.301625359e+01,6.094978920e+01,2.284164563e+01,6.230983921e+01,9.490369655e+01,4.024843504e+01,2.397559300e+00
6.072917660e+01,3.212253714e+01,4.242009253e+01,4.494518030e+01,6.134283485e+01,4.840197585e+01,7.243427187e+01,3.435960214e+01,5.892744363e+01,8.260794722e+01,4.769071348e+01,9.310551448e+01,8.859149884e+01,7.871470921e+01,1.273458090e+01,7.426401565e+01,3.380663631e+01,2.718393442e+01,1.849024209e+01,6.283629729e+01,7.971733327e+01,5.825130969e+01,2.324496217e+01,1.333401492e+01,6.268174750e+01,2.026600774e+01,9.579361991e+01,2.311233712e+01,4.758842966e+01,3.167669560e+01,8.248873074e+01,6.929009926e+01,5.138102569e+01,4.703733504e+01,4.664663243e+01,3.724692637e+01,9.269436218e+01,8.702735170e+01
9.975489837e+01,3.088272780e+00,1.333463716e+01,8.731760128e+01,8.793632842e+01,1.649278898e+01,2.773537869e+01,9.417699653e+01,6.036043477e+01,2.969407484e+01,2.129439708e+01,6.151405538e+01,1.828784845e-02,9.956595274e+01,5.303965887e+01,8.382158202e+01,2.965822552e+01,4.483503262e+01,8.710692372e+01,1.458414169e+01,2.678538955e-01,6.511356333e+01,5.449206723e+01,7.620691022e+01,7.159429722e+01,7.852649240e+01,5.546699396e+01,6.106971633e+01,8.062922389e+01,1.880664191e+01,2.133165162e+01,2.991027616e+01,2.672380791e+01,6.401053754e+00,6.086337142e+01,8.718126624e+01,3.549858470e+01,9.750419050e+01
8.058675720e+01,7.482737851e+01,9.897701704e+01,3.378374786e+01,8.761849353e+01,9.286630262e+01,9.490154246e+01,1.040534540e+01,6.737495181e+01,9.683145202e+01,5.335642300e+01,7.735361070e+01,4.520428598e+01,1.713666755e+01,1.283766563e+01,5.914494216e+01,7.258349847e+00,8.633116538e+01,2.642820225e+01,9.462640298e+01,8.195220842e+01,1.582502286e+01,7.944361620e+01,1.799312454e+01,1.840862402e+01,9.327107063e+01,1.960491041e+01,1.975824094e+01,4.260847386e+01,8.023946450e+00,4.200132160e+01,7.859766905e+01,9.144976635e+01,2.858800402e+01,2.169813505e+01,8.311843674e+01,9.767142530e+01,8.941501077e+01
2.045220185e+01,8.121869506e+00,8.003543217e+01,8.540521587e+01,7.945446036e+01,8.380667393e+01,6.725482230e+01,2.102110833e+01,5.633101775e+01,7.011430413e+01,6.934481474e+01,1.980946008e+01,9.523227158e+01,3.676454539e+00,7.428340831e+01,3.943778629e+01,5.220103912e+01,6.542712228e+01,9.114277412e+01,6.136515786e+01,3.598582037e+00,7.562678270e+01,6.973522391e+01,2.243884427e+00,8.005412745e+01,9.774799529e+01,8.427369547e+01,9.373844012e+01,9.721835645e+01,5.587520293e+01,3.096249894e+01,1.021592596e+01,9.912621573e+01,1.291946189e+01,8.746322833e+01,1.549117376e+01,4.256954646e+01,1.602649197e+01
9.503320646e+01,3.786066233e+01,9.711148758e+01,2.235821660e+00,7.623398295e+01,4.550082732e+01,3.241070770e+01,7.971015575e+01,3.611969408e+01,1.081177243e+01,1.014212142e+01,2.640841367e+01,9.078397462e+00,8.455743029e+01,7.651570721e+01,9.109011762e+01,7.601528176e+01,2.149465811e+01,7.606488523e+01,2.627057962e+01,3.583376963e+01,5.021154529e+01,4.918557623e+01,5.874878044e+01,8.175094792e+01,5.885816057e+00,5.425349518e+01,7.363010742e+01,1.008242296e+01,3.432193625e+01,7.105961587e+01,5.536437743e+01,6.024524780e+01,2.549397230e+01,2.715447282e+01,3.257547474e+01,6.345628375e+01,6.218990288e+01
8.733119855e+01,6.444583354e+01,2.393667459e+01,8.661472922e+01,8.661604168e+01,5.306835887e+01,6.762118337e+01,1.237479886e+00,8.044566793e+01,9.369442456e+01,6.363567552e+00,6.197146578e+01,8.534350727e+01,9.725850653e+01,9.379638971e+01,6.995487345e+01,5.193218489e+01,3.588148941e+01,9.541956290e+00,9.554916299e+01,1.140917869e+01,5.230991075e+01,3.738252085e+01,8.144394320e+01,9.166757971e+01,4.780063341e+01,7.255256959e+01,8.038547503e+01,3.967351838e+01,8.957049838e+01,5.661665600e+01,4.606912903e+01,8.285782925e+01,5.307744109e+01,3.094533004e+01,7.545403333e+01,1.437168291e+01,2.249595175e+00
7.594313529e+01,9.198663448e+01,6.593906518e+01,8.616955719e+01,1.230094238e+01,1.408189003e+00,1.366877466e+01,1.264768561e+01,7.571403458e+01,4.365738972e+01,2.487544958e+00,1.875197305e+01,4.157732317e+00,8.413086854e+01,5.930114261e+00,8.843103185e+01,5.254231055e+01,3.160425307e+01,7.163776871e+01,6.805820598e+01,7.668186742e+01,7.964881149e+01,7.123538896e+01,9.925621789e+01,6.322033461e+01,6.609466309e+01,8.560993880e+01,7.719506476e+01,2.888676027e+01,1.241072351e+01,2.722994614e+01,2.617144277e+00,8.815641580e+01,9.967900910e+01,7.399457822e+01,3.434820318e+01,3.149896168e+01,6.886759537e+01
5.373510526e+01,3.926811978e+01,7.225653845e+01,9.881701279e+01,2.530346464e+01,6.700083303e+01,6.058762309e+01,6.368902931e+01,8.483766952e+01,3.424198495e+01,8.746031598e+01,6.985408148e+00,4.088198243e+01,8.710325466e+01,6.057153423e+01,3.485663790e+01,2.990379837e+01,8.173890679e+01,9.433437541e+01,8.542536418e+01,6.012481421e+01,3.044002002e+01,3.402875484e+01,7.391442925e+01,9.728178451e+01,9.655053144e+01,3.270388058e+01,1.732454303e+00,3.460621279e+01,9.022953310e+01,9.971719962e+01,6.732562537e+01,4.099985117e+01,2.444045839e+01,1.784003044e+01,4.678755377e+01,6.100031879e+01,4.475660538e+01
8.021095497e+01,2.644394935e+01,5.528337869e+01,7.228706952e+01,4.069947393e+01,7.300240728e+01,9.478862546e+01,9.748194683e+01,1.545271384e+01,7.594131522e+01,4.661543549e+01,3.752330421e+00,7.614636514e+01,2.498105988e+01,3.483365774e+01,9.500916466e+01,7.951232478e+01,7.915667876e+00,6.997112640e+01,9.642337416e+01,1.320828876e+01,1.813996629e+01,5.646180314e+01,9.267981746e+01,8.518199772e+00,5.412269523e+01,1.875144655e+01,8.494661861e+01,9.607462503e+00,4.852528546e+01,7.431636467e+01,8.264383436e+01,5.117752060e+01,7.562714927e+01,2.914867453e+01,5.539852660e+01,2.082149976e+01,9.320952169e+01
2.709212772e+01,1.188644869e+01,1.583807312e+01,8.293456612e+01,1.023752706e+01,9.632196245e+01,4.990222781e+01,5.142493179e+00,5.396337283e+01,5.228473152e+01,4.058985412e+01,3.489376121e+01,7.917670548e+01,3.807695774e+01,9.729771680e+01,5.862938676e+01,3.868325762e+01,4.334064968e+00,1.892557326e+01,3.545593325e+00,2.726444499e+01,4.695561551e+01,6.322727453e+01,6.128437995e+01,9.311662423e+01,7.472533513e+01,2.895657250e+01,4.044479994e+01,6.686143104e+01,4.981767519e+01,4.284231570e+01,7.030721063e+01,5.155300193e+01,3.284407717e+01,8.342477829e+01,2.531809542e+01,5.996346456e+01,9.476309039e+01
5.220026855e+01,9.417994002e+01,9.245658472e+01,2.147069353e+01,2.441175253e+01,6.735612253e+01,3.781103239e+01,2.033468405e+01,3.909284286e+01,8.315907724e+01,9.047619425e+01,8.027436010e+01,7.148056682e+01,2.019104651e+01,5.149131559e+01,8.476964870e+01,6.386194684e+01,6.966348221e+01,2.928017564e+01,7.000045035e+01,4.669594459e+01,6.197788237e+01,4.262212426e+01,8.795191623e+01,5.136881470e+01,4.810685634e+01,7.251243092e+00,6.777464320e+01,4.186444377e+00,9.539753515e+01,1.333463011e+01,7.702522481e+00,8.203191245e+01,7.632142925e+00,4.830929431e+01,8.638597784e+01,2.207610053e+01,3.982055520e+01
1.820977452e+01,3.564691113e+01,7.494411445e+01,9.039439673e+01,9.312323066e+01,8.540160611e+01,6.811904133e+01,1.271595782e+01,4.367049258e+00,1.115941812e+01,7.158340791e+01,1.701871717e+01,3.827564675e+00,9.265560173e+01,9.360588327e+01,9.208262379e+01,1.437394514e+01,2.957295853e+01,2.550912946e+01,5.247538547e+01,8.151304467e+01,2.907758700e+01,8.650723043e+01,6.537981464e+00,6.510898296e+01,9.244807745e+01,8.985121180e+01,2.971306351e+01,2.678340883e+01,2.484009513e+01,5.550751819e+01,7.325630465e+01,1.675356000e+01,8.569088049e+00,5.677200312e+01,1.047691124e+01,7.313113618e+01,3.723237302e+01
8.426701743e+01,2.780278603e+01,7.037045266e+00,8.276461738e+01,1.333390246e+01,8.488463806e+01,9.566889283e+00,9.797816071e+01,1.927441720e+01,8.369685026e+01,9.444309024e+01,1.419124599e+01,8.696354086e+01,3.840118871e+01,6.708414383e+01,9.558674101e+01,9.935907795e+01,6.485361694e+01,1.320421424e+01,6.262526543e+01,5.679489665e+01,2.233325166e+01,5.546112257e+01,4.293544935e+01,6.787141322e+01,5.245183698e-01,6.329556815e+01,8.505439657e+01,6.878693902e+01,3.499113357e+01,2.621134781e+01,4.162617302e+01,2.694096144e+00,3.056070854e+01,8.069204375e-01,7.185256716e+01,6.091231451e+01,9.172103601e+01
6.677666912e+01,5.914790671e+01,2.706138834e+01,1.351776804e+01,1.725414587e+01,9.757732934e+01,5.041368508e+01,4.515544043e+01,1.440556721e+01,5.146445611e+00,6.800317025e+01,8.994573296e+01,7.748042963e+01,2.481926738e+01,7.198423845e+01,1.306565824e+01,1.984279282e+01,2.585005298e+01,6.186471830e+01,4.986824077e+01,4.432575858e+01,9.760326183e+01,8.912481789e+01,3.819184505e+01,5.542307961e+01,7.024263498e+01,5.386544454e+01,4.795798926e+01,8.563478195e+01,3.145939955e+00,1.515447265e+01,1.199906872e+01,8.234390751e+01,3.866465013e+01,6.985654550e+01,4.229289347e+01,2.961469171e+01,8.075289708e+01
6.296637463e+01,5.078403855e+01,1.937437525e+01,3.023859358e+00,8.206782428e+00,8.959103798e+01,4.103454243e+01,4.993145936e+01,2.678575017e+01,3.155376333e+01,4.543452428e+01,6.844757262e+01,9.755979330e+01,3.626635084e+01,2.029993487e+00,3.752933784e+01,5.048212287e+01,8.868871981e+00,4.538675140e+00,3.184155194e+01,3.662177667e+01,3.497844884e+01,8.268969755e+01,6.135165336e+01,4.784793548e+01,3.760477714e+01,7.595818756e+01,6.881081465e+01,2.268639520e+01,8.335792047e+00,3.619750751e+01,7.200912680e+01,9.736029798e+01,4.907157113e+00,4.709492121e+01,1.450467689e+01,5.491996816e+00,5.470927208e+01
2.301964617e+01,3.811837284e+01,3.625363024e+01,2.576344117e+01,6.531526139e+01,3.582666425e+01,6.335988491e+01,3.725390347e+01,3.389686327e+00,9.227872139e+01,9.886296956e+01,5.516583963e+01,9.725628778e+01,3.407752173e+01,6.586477471e+01,6.587504674e+01,2.407959361e+01,9.450657295e+01,3.416820161e+01,3.648120090e+01,7.142926303e+01,8.079368342e-01,6.566061559e+01,2.225062482e+01,1.744482154e+01,4.476596572e+01,6.964451206e+01,4.683848842e+01,2.884433106e-01,3.399850253e+01,3.126100024e+01,3.533695276e+01,9.474368892e+01,1.901415550e+01,2.395224377e+01,6.537357055e+01,3.490305568e+01,3.494726793e+01
9.150787022e+01,1.131407371e+01,9.453524387e+01,6.070165263e+01,1.194792236e+01,5.217722538e+01,7.756582622e+00,4.786208426e+01,5.464664611e+01,6.103774289e+01,9.531978780e+01,4.395323700e+01,2.163505755e+01,5.101079197e+00,8.049586150e+00,4.114949139e+01,9.112897420e+01,8.174285626e+00,7.390193826e+01,7.912815040e+01,6.423928708e+01,9.409302533e+01,5.684518881e+01,2.748544919e+01,9.767277085e+01,7.725057269e+01,5.976053158e+01,3.406994537e+01,2.761089778e+01,8.977070091e+00,4.872755773e+01,4.298723016e+01,4.912290387e+01,5.507086924e+01,2.532030619e+01,5.497736907e+01,8.870483863e+01,2.643571763e+01
9.950691493e+01,8.854227039e+01,6.992076724e+01,1.877966116e+01,8.844635196e+01,2.693659563e-01,4.290028574e+01,5.615206585e+01,2.112849491e+01,9.800603535e+00,2.552254851e+01,2.307288287e+00,1.753178952e+01,4.306107472e+01,6.361368975e+01,4.955890158e+01,8.733038912e+01,9.367841320e+01,2.706038209e+01,5.807682085e+01,3.305366050e+01,2.023842031e+01,5.784180871e+01,3.086538341e+01,5.419943057e+00,8.743208653e+01,2.653887572e+01,8.751197835e+01,1.796904003e+01,7.323922438e+01,7.598291813e+01,7.945048747e+01,7.010363255e+01,7.889444566e+01,5.567184896e+01,4.255155424e+01,2.736549307e+01,8.274040525e+01
