v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69
5.425534408e+01,2.799427114e+01,4.170836713e+01,4.685151683e+01,4.599769405e+01,6.207356835e+01,3.033468394e+01,8.393139108e+01,1.557697905e+00,8.179975951e+01,6.289145021e+01,2.633193952e+01,5.725679587e+01,5.584456792e+01,6.260116924e+01,5.749500504e+01,2.667354301e+01,3.179179125e+01,9.087655398e+01,7.741612772e+01,7.190898626e+01,4.490043887e+01,6.447557332e+01,7.218425395e+01,5.666738430e+01,5.740651671e+01,2.873624125e+01,6.619983999e+01,3.393857346e+01,5.197353177e+01,1.197905935e+01,5.004605858e+01,9.299465248e+01,2.492945709e+01,1.861218148e+01,2.793077846e+01,5.931606629e+01,2.301293099e+01,6.525042508e+01,6.723537479e+01,2.451108253e+01,9.332718361e+01,8.957688300e+01,7.170439890e+01,1.367376711e+01,8.007496271e+01,2.202378422e+01,7.743263354e+01,9.422024193e+01,9.702411026e+01,8.586090695e+01,1.276060868e+01,9.245363768e+01,5.450412500e+01,3.313046375e+01,7.161041070e+01,4.813633990e+01,3.462896078e+01,9.867229894e+01,7.656154118e-01,5.581874768e+01,5.503939958e+01,5.974561560e+01,5.754181524e+01,6.506106924e+01,2.043844008e+01,8.881395697e+01,7.490109293e+01,7.291955910e+01
2.064835520e+01,5.679916120e+01,3.950265201e+01,7.087059806e+01,1.864831969e+01,3.739231389e+01,2.882286322e+01,7.254630344e+01,2.086700426e+01,9.068297620e+01,8.636748360e+01,5.652622644e+01,4.173727876e+01,2.802492171e+01,7.306624243e+00,1.993810430e+01,4.877286382e+01,8.362528004e+01,7.650725139e+01,3.328375044e+01,8.257508926e+01,9.607948728e+01,9.577672519e+01,5.473890599e+01,2.868782965e+00,3.620250144e+01,3.647315749e+01,3.491568328e+01,3.566215462e+01,9.344235121e+01,9.539597298e+01,4.975620511e+01,8.054369389e+01,6.713862662e+01,3.632999616e+01,1.529441151e+01,6.267363613e+01,7.171194945e+01,3.736851530e+01,8.404826936e+01,4.616258622e+01,6.324014860e+01,5.251383115e+01,5.812496128e+01,3.918970619e+01,6.385689405e+01,9.683465479e+00,5.936524745e+01,9.639515530e+01,2.664639199e+01,1.059754392e+00,2.539593494e+01,1.856777327e+00,3.176804652e-01,8.286868221e+01,5.621329381e+01,7.205194024e+01,7.992601109e+01,7.952858432e+01,2.601220294e+01,6.200152615e+01,1.635158925e+01,1.386370858e+01,2.019709431e+00,9.614031237e+01,3.759251759e+01,9.151648136e+00,4.131011237e+01,2.807675466e+01
8.679791753e+01,1.710636138e+01,8.748182916e+01,9.987540397e+01,9.887430616e-01,5.181730922e+01,1.581043930e+01,6.160842956e+01,9.174419415e+01,5.885317672e+01,6.034945537e+01,8.737624473e+00,9.630332574e+01,4.876010398e+01,3.895569950e+01,4.893005663e+01,4.396284213e+01,2.638237764e+01,5.909109334e+01,4.892469193e+01,3.316295155e+01,6.531450391e+00,7.453179100e+01,6.171477591e+01,5.575367909e+01,8.609648431e+01,4.199998895e+01,1.902054900e+01,4.995750179e+01,3.109816845e+00,6.339881312e+01,7.244389859e+01,4.517446224e+01,5.592982063e+01,6.299336021e+01,3.654418616e+01,3.598934269e+01,6.780698888e+01,5.691666094e+01,5.479717188e+01,1.634537100e+01,3.106226206e+01,1.111245940e+01,5.778836235e+00,7.615882295e+01,1.737929239e+00,6.754383812e+01,9.613857822e+01,6.916086156e+01,5.540723521e+01,9.044042621e+01,1.988285545e+01,2.780037998e+01,1.667783845e+01,7.199994656e+01,5.848540864e+01,8.222100081e+00,4.203031903e+01,7.370468179e+01,8.778987208e+01,8.358742145e+01,4.251881026e+01,9.128549709e+01,5.419827280e+01,4.699824941e+01,4.397267890e+01,9.630426763e+01,9.027324146e+01,1.723932841e+01
2.360376230e+01,8.348063185e+01,2.316884143e+01,8.421068150e+01,6.213490184e+01,8.928475186e+01,5.047613325e+01,8.717457939e+01,1.334846422e+01,4.998547819e+01,8.094858067e+01,3.577091037e+01,4.200347626e+01,2.369955896e+01,7.471332711e+01,7.397308129e+01,3.667170384e+01,3.802872027e+01,7.859951829e+00,6.281496579e+01,9.235925707e+01,9.416987572e+00,1.792088453e+01,9.144743631e+00,3.084984341e+01,5.735846947e+01,5.434213637e+01,1.315942827e+01,9.632063682e+01,1.992046486e+01,6.533641643e+01,3.625567478e+01,4.773263527e+01,7.629971767e+01,6.346579844e+01,2.578047582e+01,9.300637564e+01,6.964824450e+01,3.877447995e+01,5.249226834e+01,9.319788637e+01,9.948385761e+01,7.293617212e+01,1.479170567e+00,5.346528477e+01,4.396083064e+01,6.286707306e+01,4.953631096e+01,4.477001730e+00,2.688961324e+00,6.801016194e+01,6.293279030e+01,2.845643256e+01,7.376475207e+01,9.768747181e+01,8.620983669e+01,3.332037559e+01,8.032484405e+01,6.117854338e+01,7.139859956e+01,7.396358988e+01,1.188390139e+01,9.813029714e+01,8.846219825e+01,2.019420906e+01,1.994809250e+01,3.790992341e+01,9.102949621e+01,2.083072730e+00
8.807455491e+01,8.473013521e+01,3.667809195e+01,9.475775135e+01,5.537546367e+01,7.381170155e+01,3.909302292e+01,3.083433431e+00,5.231941985e+01,4.288898328e+01,8.660849619e+00,7.976026075e+00,6.642143399e+01,6.278037874e+01,8.175155396e+01,2.896111252e+01,8.475400526e+01,9.100844708e+01,6.587867897e+00,8.042384709e+01,8.023249252e+01,5.368028982e+01,6.359255052e+01,6.757981565e+01,4.245148121e+01,1.695436292e+00,3.496935442e+01,4.281972669e+01,2.806111198e+01,9.723701481e+01,3.322604831e+01,9.048439378e+01,8.700960853e+01,5.310626858e+01,8.758468991e+01,9.857758503e+00,3.952866470e+01,5.926644881e+01,4.947288863e+01,7.569084750e+01,8.149585707e-01,9.050631653e+01,6.241136144e+00,9.864276156e+01,5.911752301e+01,3.672085276e+00,6.560644940e+01,2.400775996e+01,9.655893682e+01,1.636646611e+01,3.128344197e+01,4.377925712e+01,4.533530681e+01,7.073721404e+01,7.800469176e+01,2.556412763e+01,8.649678288e+01,7.634698577e+01,1.268439776e+01,7.345054182e+01,3.102270496e+01,7.928105747e+01,4.766316707e+01,4.418137686e+01,7.901462728e+01,8.658384342e+01,3.771914806e+01,9.382303492e+00,6.034721329e+01
5.432326391e+01,7.189327073e+01,1.333193543e+01,9.138922462e+01,6.335322507e+01,1.950484903e+01,8.035997356e+01,8.685532848e+01,8.281167613e+01,5.843131977e+01,1.017819013e+01,6.462738609e+00,2.299859367e+01,6.655277899e+01,2.246769820e+01,8.459903210e+01,2.085446740e+01,4.974541395e+01,7.247145504e+01,5.464349580e+01,8.067151445e+01,7.274080737e+01,7.245390803e+00,8.572755985e+01,6.156496583e+01,2.651089863e+00,2.591571767e+01,1.887804956e+01,3.937400579e+01,7.831921287e+01,9.777387679e+00,5.371847611e+01,8.179798935e+01,8.416658185e+00,6.193305955e+01,2.757228167e+01,6.427244437e+00,3.364967384e+01,8.676361115e+01,3.501552534e+01,8.942479711e+01,7.548579243e+00,9.340581726e+01,5.195769471e-01,9.248048433e+01,1.199370988e+01,5.891656548e+00,8.262969501e+01,9.753575776e+01,3.035873434e+01,3.696221042e+01,4.462749333e+01,3.966787010e+01,3.474585931e+00,1.896016357e+01,5.094971768e+01,8.424398195e+01,8.536093869e+00,8.769642515e+01,1.280944822e+01,4.485956192e+01,6.761345431e+01,1.207045170e+01,9.892234723e+01,8.838813170e+01,8.441407536e+01,3.431453261e+01,6.078105656e+01,9.333227236e+00
6.492396991e+01,7.161166274e+01,5.559376095e+00,4.421891128e+01,1.171026491e+01,2.043740891e+00,2.289224106e+01,5.601651738e+01,3.608969322e+01,5.260732808e+01,1.133466208e+01,4.547063793e+01,1.084923302e+01,9.782907619e+01,7.125214120e+01,5.290748591e+01,9.957063412e+01,8.847963731e+00,7.022417327e+00,6.230034014e+01,9.972179708e+01,2.833671076e+01,7.413422274e+01,3.396200843e+01,9.705053445e+00,2.361026903e+01,2.199691777e+00,5.554692503e+01,4.674426246e+01,9.514237798e+01,5.075256300e+01,1.748095751e+01,5.381932173e+01,9.108167603e+01,8.029177013e+01,3.590830416e+00,3.815000686e+00,9.395460643e+01,9.310646579e+01,4.107988586e+01,3.406852537e+01,6.997424086e+01,4.179238881e+00,7.575416113e+01,5.232052712e+01,9.980518327e+01,8.556382007e+01,2.203374456e+01,4.163915209e+01,2.761907528e+01,6.027552731e+00,6.456986425e+00,1.015194014e+01,9.309784796e+01,6.980126541e+00,6.294869839e+01,3.310618353e+00,5.811827589e+01,9.484741621e+01,5.797848198e+01,9.653425532e-01,2.233952712e+01,6.698125099e+00,2.295869782e+01,5.129210668e+01,2.924815865e+01,8.789974762e+01,9.016473365e+00,4.955516036e+01
7.848245155e+01,9.066785442e+01,4.413112256e+01,4.892381764e+01,4.130657942e+01,4.018777725e+00,3.325101771e+01,7.502626705e+00,2.311336545e+00,1.081177005e+01,3.888584499e+01,9.093569885e+01,1.941718800e+01,4.613719939e+01,2.175071028e+01,6.163538097e+01,6.345393283e+01,8.159520435e+01,5.814671647e+01,7.873044131e+01,9.220123307e+01,3.528933915e+01,6.105324164e+01,5.970665074e+00,1.450465058e+01,4.751029698e+01,9.219065569e+01,9.936719387e+01,2.772122366e+01,1.978489460e+01,9.570113647e+01,7.060567549e+01,4.503222309e+01,5.672852040e+01,7.243460974e+01,4.505814199e+01,2.535328419e+01,1.258013401e+01,7.932640785e+00,1.677082297e+01,7.969555926e+00,4.682833197e+01,6.141175093e+01,3.688560098e+00,7.679308553e+00,6.433103469e+01,5.851970132e+01,1.042569917e+01,2.143869720e+01,2.464434726e+01,8.794070142e+01,9.633562991e+01,8.854011537e+01,4.207710175e+01,1.474735296e+01,9.055728777e+01,1.007022563e+01,4.594788294e+01,4.172991732e+01,1.415190615e+00,7.983180915e+01,6.467603166e+01,3.790150815e+01,4.768602678e+01,2.359026440e+01,5.035387106e+01,9.413766774e+01,4.062893516e+00,3.319941153e+01
7.465643769e+01,9.324421507e+00,1.774748695e+01,9.769771309e+01,7.169950274e+01,9.946424929e+01,8.641512095e+01,6.156856830e+01,8.989532793e+01,1.677869664e+01,2.622135059e+01,8.101701213e+01,9.802909764e+01,5.019754644e+00,8.877471815e+01,4.180789769e+01,5.230929362e+01,6.652616401e+01,9.007094685e+01,8.284841847e+01,3.955640822e+01,8.745392109e+01,3.787587303e+01,3.485267632e+01,3.961343254e+01,1.027886170e+01,8.568152190e+01,9.869676922e+01,8.948861974e+01,6.731622068e+01,1.985169583e+01,1.425413144e+01,4.018011189e+01,2.310760086e-04,8.474727315e+00,6.134779430e+01,8.032241708e+01,7.622373453e+01,2.088846854e+00,1.803783413e+01,9.126194295e+01,3.774242694e+00,6.783116537e+01,4.556311676e+01,5.218275816e+00,8.092713285e+01,9.131452397e+01,7.277018542e+01,1.737798118e+00,9.698316497e+01,2.822641024e+01,4.418595390e+01,5.910537387e+01,6.551933698e+01,9.248874470e+01,2.669317400e+01,5.885798577e+01,9.766996806e+01,5.358978688e+01,1.729388885e+01,1.038740915e+01,6.631180925e+01,4.628069909e+01,8.056887587e+01,3.031230007e+01,8.969281174e+01,4.753160682e+01,8.064726814e+01,2.842803190e+01
6.260386887e+01,7.881999488e+01,1.239381158e+01,3.841007714e-01,5.613241081e+01,6.240974944e+01,5.619126970e+00,8.491158635e+01,5.199204271e+01,6.997000728e+00,6.884505870e+01,9.021947518e+01,8.725055568e+01,7.945598780e+01,4.593625094e+01,8.523672409e+01,7.270793458e+01,1.550446545e+01,7.188777369e+00,3.286990368e+00,2.006939317e+01,5.941027050e+01,5.157481135e+00,3.769918785e+01,3.584737991e+01,7.832703574e+01,5.135081780e+00,9.810625417e+01,5.451426329e+01,1.573833057e+01,9.225366634e+01,8.579818341e+01,1.701913972e+01,4.384864209e+00,5.129034893e+01,5.277272679e+00,8.630704686e+01,4.358820069e+00,2.121684132e+01,4.761649605e+01,4.287215840e+01,7.817080310e+01,7.908704154e+01,2.490147671e+01,8.819353015e+01,2.144012436e+00,7.797575051e+01,4.778702563e+01,9.713860767e+01,2.118791460e+01,4.541175681e+01,8.675546822e-01,6.700076465e+01,6.033812479e+01,1.428911580e+01,1.455495564e+01,7.270722877e+00,6.040710124e+01,6.641653845e+01,7.629074451e+00,9.433974856e+01,3.028235719e+01,8.820034800e+01,1.040210049e+01,6.946170846e+01,9.034079057e+00,6.016344331e+00,6.780872129e+01,4.765041594e+01
5.312385365e+01,3.021516136e+01,7.028970437e+01,2.177353434e+01,2.261606380e+01,4.414502566e+01,5.814007350e+01,5.629802396e+01,3.912550204e+01,9.517818700e+01,2.479171074e+01,6.462871178e+01,9.900233629e+01,8.456090319e+01,6.528341218e+00,3.295018890e+01,7.072928966e+01,3.641300588e+01,9.594626427e+01,1.422763300e+01,3.440158951e+01,2.738571131e+01,7.069046970e+01,3.693715499e+01,1.120961068e+01,8.306214493e+01,7.432442603e+01,8.691137249e+01,7.053758530e+01,1.519830177e+01,9.173486957e+01,3.653960389e+00,1.079159885e+00,2.949723591e+01,5.403809894e+01,9.727677690e+01,5.907954345e+00,6.464942334e+01,9.069314367e+01,3.034703680e+01,6.515765599e+01,8.649845103e+01,5.104859951e+01,2.848857671e+01,9.811521625e+01,3.568627592e+01,6.706879539e+00,4.003478519e+01,6.695942964e+01,1.894029513e+01,5.425343125e+01,1.890928157e+01,5.317486202e+01,1.649717291e+01,8.307799476e+01,8.215500449e+01,2.933133111e+00,4.854755667e+01,5.069897056e+00,1.192965244e+01,7.212331996e+01,4.508981838e+01,6.678890627e+01,7.367623815e+01,9.451594313e+01,9.179321636e+00,1.824293066e+00,3.798678789e+01,7.703581158e+01
