v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28
6.472471786e+01,4.611539952e+01,3.165291472e+01,1.605075868e+01,2.320043432e+00,6.556662492e+01,2.196839254e+01,5.655065605e+01,5.603135860e+01,2.663435168e+01,7.557326136e+01,5.995271959e+01,1.508986323e+01,5.869954340e+01,3.930340766e+00,4.124599366e+01,4.415681881e+01,1.666869971e+01,1.992982329e+01,3.883504825e+01,7.059802869e+01,4.464476965e+01,6.819817288e+01,2.567376208e+01,4.913727811e+01,2.574407094e+00,3.513979902e+01,4.322865181e+01
5.718521738e+01,1.320890979e+01,9.682470561e+01,7.476155371e+01,1.662558303e+01,2.530807290e+01,4.504792254e+01,1.811795348e+01,6.856307612e+01,2.061492573e+01,8.278416671e+01,5.521048140e+01,4.158498841e+01,3.238459767e+01,4.496444911e+01,4.317259820e+01,1.319649190e+01,5.410565500e+01,9.505061782e+01,7.357273023e+01,8.776595586e+01,8.163890926e+01,3.122244225e+01,4.413732223e+01,7.996235014e+01,2.111500054e+01,8.549661085e+01,2.359241478e+01
4.709638160e+01,5.071316908e+01,4.862545151e+01,5.032379439e+01,1.209884635e+01,7.876652660e+01,1.117349600e+01,5.119972160e+00,6.129181700e+01,6.152837850e+01,9.243967355e+01,5.447550424e+01,2.859051743e+00,5.908760304e+01,5.069536150e+01,3.703211419e+01,7.846285717e+00,2.315719120e+01,6.083239733e+01,9.578084800e+01,2.546803148e+01,7.241290578e+01,8.856826356e+01,7.817606991e+01,2.155656315e+01,1.184154014e+01,6.877171116e+01,8.894510667e+01
2.743453786e+01,3.181824644e+01,1.996677541e+01,6.131322391e+01,9.724806134e+00,8.952433566e+01,6.407236316e+01,6.665113903e+01,6.891933263e+01,7.538244231e+01,7.446873913e+01,9.115701139e+01,7.980434394e+01,3.132822525e+01,3.015463959e+00,4.776621292e+01,2.869819713e+01,1.866654276e+01,9.654266892e+01,8.686843633e+01,1.681114834e+00,4.383623563e+01,6.202707266e+01,4.541750678e+01,2.263329016e+01,7.559904458e+01,7.258593069e+01,2.897133719e+01
1.874589910e+01,7.995167894e+01,4.410048590e+01,8.018855301e+01,6.132497629e+01,5.852212942e+01,1.204341704e+00,1.951420602e+01,8.137006468e+01,6.825408709e+00,3.119143442e+01,8.710173767e+01,6.103831111e+01,7.913006073e+00,6.929041555e+01,2.745999411e+01,4.539183050e+01,5.889713925e+01,7.272429544e+01,1.829068109e+01,1.360169046e+01,6.367455522e+00,5.319986823e+01,7.055288528e+01,2.514554006e+01,9.861603469e+01,6.236570924e+01,7.002500074e+01
3.093088673e+01,3.276232848e+01,8.227815980e+01,8.959313755e+01,6.240587186e+01,5.368712179e+01,8.248495817e+01,9.404630576e+01,7.476037246e+01,1.322689254e+01,3.004544941e+01,7.503920300e+01,7.716807798e+01,3.418489144e+01,7.068036771e+01,3.455184656e+01,3.865524381e+01,4.172233417e+01,4.195882206e+01,2.596710901e+01,9.523787717e+01,8.272811600e+01,1.770431419e+01,3.013523123e+01,7.045722936e+00,9.887491516e+01,2.192856759e+01,2.929612667e+01
3.842986368e+01,2.940473878e+01,4.495343297e+01,5.349524565e+01,5.624196514e+01,9.871309770e+01,7.505403935e+01,5.558733799e+00,2.799725824e+01,1.028852635e+01,4.673274565e+01,6.939309552e+00,4.732050613e+01,8.632585325e+01,9.244129417e+01,3.575599086e+01,1.216852490e+01,3.685431698e+01,2.367778974e+01,3.273402194e+01,7.927457312e+01,9.739135130e+01,9.977402124e+00,4.805527418e+00,1.065928886e+01,4.566474520e+01,3.022149890e+01,6.463361433e+00
9.249745263e+00,2.256538482e+01,5.700040433e+01,9.274554803e+01,6.263740489e+01,8.066112060e+01,1.841559428e+01,2.629239533e+01,7.101201608e+00,2.238664162e+01,8.832333349e+01,3.420058370e+01,8.310036684e+01,8.147224144e+01,9.894672898e+01,8.673273417e+01,3.851784120e+01,9.711972560e+01,8.968291700e-01,1.388210629e+01,6.301663064e+01,3.797489952e+01,6.086931649e+01,7.481639412e+01,4.317628107e+00,7.383537994e+01,4.885910091e+01,9.466222683e+01
3.602808847e+01,9.412600082e+01,8.707496379e+01,7.523003786e+01,3.298680877e+01,4.236452136e+01,6.392724776e+01,3.738048507e+01,7.673081468e+01,1.120660650e+01,2.485007569e+00,9.174617092e+01,7.194477204e+01,2.260663743e+01,3.810841241e+01,4.184306403e+01,1.120706041e+01,6.680321858e+01,3.509744582e+01,2.683836684e+01,7.275687168e+01,3.441599801e+01,3.924227436e+00,4.448383944e+01,2.239819074e+01,6.350079978e+01,7.888911961e+01,3.637891872e+00
4.101587559e+01,5.365621600e+01,1.014958734e+01,5.987784591e+01,9.152190752e+01,1.244668038e+01,2.106330252e+01,9.336836093e+01,8.185350708e+01,9.947856866e+00,8.179157174e+00,5.376083714e+01,5.889605135e+01,8.912034913e+01,7.889920131e+00,9.045461309e+01,1.068587255e+01,5.990270192e+01,8.395204804e+01,1.665230673e+01,5.245131636e+01,1.566684163e+01,4.006519762e+00,9.304582389e+01,6.276637765e+01,6.078657075e+01,4.354264165e+01,8.287726986e+01
2.175846014e+01,3.167025151e+01,8.238264350e+01,7.873836228e+01,7.762775330e+01,3.542612116e+01,7.148136763e+01,6.327094388e+01,1.877745198e+01,4.989864896e+01,6.709960786e+01,3.299219409e+01,8.778296816e+01,2.245910832e+01,5.444023015e+01,3.286948411e+01,8.165956115e+01,8.525065500e+01,8.763593349e+01,4.939640381e+01,3.888882196e+01,5.113981751e+01,5.712442446e+01,6.650613172e+01,7.665745267e+01,6.442207492e+00,6.072300348e+01,3.867081041e+01
5.155036877e+01,8.839686021e+00,9.631214815e+00,3.053766793e+01,1.775606647e+01,5.044886522e+01,5.499581607e+01,6.479368596e+01,3.157828441e+01,7.385448716e+01,7.604802084e+00,7.232999535e+01,9.028621302e+01,1.661979601e+01,9.534687344e+01,9.292698412e+01,4.226327971e+00,7.847258347e+00,7.324556885e+01,1.214866184e+01,7.395574864e+01,3.017265034e+01,7.124625209e+01,7.381248399e+01,5.625433233e+01,1.985109559e+01,8.755239657e+01,6.713907811e+01
5.900814420e+01,3.422446612e+01,7.523722234e+01,5.491762504e+01,9.087367381e+01,3.980892810e+01,6.409626248e+00,4.378235640e+01,2.703286220e+01,7.735493972e+01,3.168857157e+01,5.881597323e+01,2.962354942e+01,2.436948143e+01,7.409524343e+00,5.524027691e+01,5.590898211e+01,5.675585964e+01,9.055011763e+01,5.987309506e+01,3.364126380e+01,3.173938673e+01,1.485948482e+01,3.077920464e+01,9.518562965e+00,8.046584989e+01,6.723781801e+01,4.773650191e+01
4.907443555e+01,3.389147106e+01,2.883502933e+01,1.282825659e+01,5.903446960e+01,5.579694745e+01,3.589435513e+01,3.697491396e+01,2.908023162e+01,3.912934463e+01,5.919717880e+01,2.086230012e+01,1.024614479e+01,5.436263030e+01,1.698429449e+01,4.955451776e+01,9.615398398e+01,1.229340844e+01,6.968283953e+01,8.397057317e+01,9.164610833e+01,6.523942096e+01,4.732099426e+01,7.239993173e+01,1.411796374e+00,5.348788169e+01,1.444693221e+01,4.071953247e+01
3.513014861e+01,4.244889597e+01,5.726973719e+01,7.808254224e+01,7.170808819e+01,2.545749712e+01,5.039753808e+01,9.683941215e+01,6.002786860e+01,6.062880744e+01,4.091500771e+01,1.265087205e+01,1.122261949e+01,8.858765484e+01,9.395645720e+01,8.156252790e+01,9.954860350e+01,9.857886044e+01,4.150692519e+00,9.663627046e-01,2.396210113e+01,8.945610335e+01,5.913636636e+00,4.067632269e+01,8.121071836e+01,9.566456650e+01,1.759866153e+01,7.582183058e+01
9.578302297e+01,4.118862191e+01,9.401277804e+01,4.723694385e+01,3.656713357e+01,5.375651881e+01,8.386673081e+01,8.529490076e-01,8.128785484e+01,6.608812828e+01,4.029122461e+01,4.212171699e+01,2.174375635e+01,3.069086489e+01,6.150582846e+01,5.121365770e+01,1.507428484e+01,2.720701947e+01,3.822900934e+01,6.132777119e+01,8.137752424e+01,5.133627242e+01,7.566771178e+01,3.101788695e+01,4.397588867e+01,5.742066933e+01,7.063009618e+01,9.353223519e+01
8.516205452e+01,5.792035674e+01,4.588428450e+01,1.039110530e+01,5.229029260e+01,3.747261420e+01,9.693054293e+01,3.339309806e+01,9.986090605e+01,7.858037582e+01,5.022771915e+01,4.245750658e+01,3.035807182e+01,4.494105056e+01,5.319675414e+01,7.992406068e+01,9.508613098e+01,8.738893305e+01,2.396947166e+01,8.284963490e+01,4.223657739e+01,2.522723602e+01,7.044346621e+01,8.446808262e+01,9.519056889e+01,7.148128985e+01,9.973826844e+01,5.880681033e+01
8.383366414e+01,1.864406329e+01,3.700342599e+00,1.458125235e+01,5.785865161e+01,3.034675633e+01,9.011613029e+01,3.299023219e+01,6.540400704e+01,4.051920049e+01,7.194251576e+01,9.030985091e+01,8.817645181e+01,2.018824948e+01,6.636333065e+01,9.465368227e+01,7.470202789e+01,1.617965402e+01,7.828370827e+01,3.821372248e+01,3.639095863e+01,4.223439502e-01,7.271959429e+01,8.056409626e+01,5.257550003e+01,6.848620386e+01,6.342841152e+01,5.039636226e+01
3.631213462e+01,4.784086611e+00,9.664171430e+01,1.015659097e+01,6.026223791e+01,9.148996496e+01,9.441050261e+01,6.040008329e+01,3.518739078e+01,1.652997481e+01,3.979801502e+00,6.306157917e+01,7.275883066e+01,4.565234911e+01,4.347144035e+01,1.274886947e+01,6.343883825e+01,8.340757310e+01,5.806714783e+01,7.321297838e+01,8.067678408e+01,9.416210107e+01,3.046894530e+01,1.420177112e+01,1.755844377e+01,2.081307816e+01,7.548441874e+01,2.284602905e+01
3.896958792e+01,5.642639389e+01,2.080383014e+01,6.338073855e+01,8.926422356e+01,3.367356371e+00,4.584123403e+01,2.637606013e+01,9.197959239e+01,6.222945649e+01,3.243359788e+01,5.558513573e+01,7.666412048e+01,3.344005984e+01,8.585855073e+01,5.590313008e+01,2.670271492e+01,5.783863089e+01,9.373703389e+01,8.325656387e+01,6.073788570e+01,7.971141378e+01,9.065183734e+01,2.785269558e+01,3.938881593e+01,1.934301877e+01,7.369325332e+01,5.105604832e+01
2.565513778e+01,3.073088556e+01,7.972533770e+01,5.100108328e+01,5.382716919e+01,1.134317005e+01,2.087607054e+01,2.732246996e+01,6.840500563e+01,7.379397628e+01,9.063091222e+01,7.801520620e+01,2.496080102e+01,2.171283057e+01,7.295283179e+01,6.053875231e+01,6.487286673e+01,3.230465958e+01,7.977300575e+01,6.294376887e+01,8.080020424e+01,2.731611578e+01,5.275575114e+01,3.134736426e+01,6.073535966e+00,2.402293966e+01,2.853288478e+01,3.228001299e+01
8.143013087e+01,5.449696572e+01,8.811132860e+01,2.746536856e+01,1.475661340e+01,4.593750888e+01,3.365365402e+01,8.637713732e+01,8.595348202e+01,3.625135555e+01,1.479705133e+01,5.778740061e+01,1.842541894e+01,9.192350846e+01,8.958020984e+01,6.357469146e+01,2.461525994e+01,2.191176904e+01,8.300609158e+01,2.947072387e+01,4.626012911e+01,4.523503926e+01,7.388253373e+01,1.730239696e+01,9.643179976e+01,8.345907960e+01,2.140123385e+01,6.042655417e+01
3.364256044e+01,8.887602219e+01,4.545176007e+01,7.492285727e+01,9.957373752e+01,5.461153230e+01,2.817683965e+01,4.620953467e+01,2.317891886e+01,6.839449860e+01,4.077577672e+00,1.967266874e+01,4.558040423e+00,9.320506877e+01,1.878648540e+01,7.105332371e+00,4.110630759e+01,1.077830701e+01,9.850343889e+01,4.652709804e+01,1.963880071e+01,8.549407002e+01,4.825323652e+01,7.375114835e+01,3.285713416e+01,8.766634207e+01,1.780107347e+01,7.722700099e+01
4.735648888e+01,3.889769799e+01,5.091249227e+01,7.588832496e+01,8.084121744e+01,9.579420617e+01,3.106012347e+01,2.463001786e+01,7.767478428e+01,8.872362789e+01,1.600714478e+01,8.673531158e+01,1.134746724e+01,6.767823529e+01,8.009916154e+01,4.688033197e+01,6.296310235e+01,7.086823775e+01,7.396230479e+01,7.166652291e+01,8.493150545e+01,2.466206631e+01,2.810955232e+00,4.250815288e+01,2.729522784e+01,4.239023649e+01,9.184732681e+01,2.744784901e+01
8.799078603e+01,6.976536612e+01,5.282032669e+01,5.598996167e+01,1.266603882e+01,5.335046542e+01,1.559570959e+00,4.706928688e+01,8.202109587e+01,9.067530346e+01,6.285596984e+01,7.816420218e+01,3.819488907e+01,5.376468044e+01,5.687088687e+01,5.875064681e+01,2.226180537e+01,2.736714266e+00,9.529681403e+01,7.731048988e+01,2.736532456e+01,4.700868646e+01,8.541921673e+01,8.144432273e+01,4.631546111e+00,4.545659205e+00,1.588232422e+01,8.195152309e+01
6.712170812e+00,6.903028283e+01,1.967276708e+01,9.508744573e+01,4.957411671e+01,5.017562336e+01,2.626276505e+01,7.515871491e+01,3.379436264e+01,2.724936606e+01,4.838546536e+01,1.103087028e+01,8.320112383e+00,2.118521707e+01,6.427881527e+01,8.799760028e+01,7.075914518e+01,6.198902315e+00,4.242844791e+01,5.474827509e+01,9.772278592e+00,2.174607189e+01,6.290697389e+01,2.047476056e+01,1.563279207e+00,1.478362935e+00,4.165993168e+01,2.046735407e+01
5.005862673e+01,5.487188395e+01,9.007740492e+01,9.201571521e+01,5.089028988e+01,8.018988423e+01,8.948632306e+01,6.866303546e+01,4.743302252e+01,5.901584425e+01,1.855754319e+01,5.397532978e+01,3.839733335e+01,9.755411684e+01,3.547584139e+01,7.011000714e+01,9.411307542e+01,2.779499727e+01,1.983609157e+01,1.737205362e+01,7.022325831e+01,5.317019991e+01,9.995026843e+01,8.158197345e+01,5.831259644e+01,5.282039604e+01,8.310722333e+00,9.498209442e+01
3.170797459e+01,7.922850203e+01,6.911952343e+01,3.566302483e+01,5.966946001e+01,4.363624421e+00,3.951547931e+01,7.735811125e+01,3.971233428e+01,8.392279226e+01,1.556170711e+01,6.011125621e+01,3.332816106e+01,8.467324308e+01,3.973191130e+01,8.573874085e+01,2.998558979e+01,1.450691330e+01,7.689032797e+01,3.855467953e+01,2.143589633e+01,1.306565747e+01,9.814269241e+01,2.002822069e+01,4.054049493e+01,5.157287975e+01,7.103594358e+01,2.206692908e+01
8.405347396e+01,4.835522949e+01,6.249709640e+01,7.071881368e+01,4.132056461e+01,5.383384238e+01,8.748280292e+01,6.944739619e+01,4.445683047e+01,3.873809631e+01,3.459065672e+01,3.821280293e+00,4.017581458e+00,2.707096350e+01,2.572907608e+01,4.980677551e+01,6.655136659e+01,4.588901041e+01,7.380133928e+01,7.090000984e+01,6.638876377e+00,5.061704666e-01,1.849303994e+01,8.295234664e+01,5.780996730e+01,6.069589061e+01,1.388727733e+01,8.663631913e+01
8.503190812e+01,2.707470760e+01,3.822089667e+01,3.840598411e+01,3.807930162e+01,8.678371839e+01,8.324001321e+01,1.091819393e+01,1.111180104e+01,1.242068115e+01,7.848604267e+01,4.048948479e+01,2.327912985e+00,3.746923312e+01,6.299394245e+01,1.290291208e+01,6.884810678e+01,4.850259947e+01,6.397499680e+01,3.798168935e+01,6.715477725e+01,1.885099006e+01,3.803026375e+01,3.213321372e+01,4.299080238e+01,2.317119214e+00,3.325949800e+01,5.058232612e+01
2.812468528e+01,8.892261078e+01,6.372173752e+01,5.056576008e+01,3.111086963e+01,4.948827999e+01,7.896038779e+01,7.626902458e+01,7.098339629e+01,5.805275959e+01,6.672260897e+01,5.342351579e+01,1.188891522e+01,8.391978908e+01,7.020212375e+01,9.431099597e+00,3.600672589e+01,4.604218857e+01,4.596628047e+01,3.116886536e+01,2.282456779e+01,5.638962255e+01,1.362510112e+01,3.473205548e+01,3.093857899e+01,7.676283460e+01,1.308818576e+01,5.304608239e+01
1.150892506e+01,1.724012158e+01,2.647387862e+01,9.781075403e+00,3.229457220e+00,4.840626796e+01,1.827898616e+01,2.435681741e+01,2.654166289e+01,7.464338404e+01,6.375628734e+01,4.983669580e+01,5.588325744e+01,7.999135834e+01,3.733003866e+01,3.156738395e+01,9.608264937e+01,6.059056729e+01,4.824347497e+01,2.136823958e+01,5.029415541e+01,8.200728882e+01,8.886323721e+01,4.527090614e+01,6.507976937e+01,3.360789301e+00,9.478290882e+00,6.518468256e+01
8.581883598e+01,7.917506725e+01,5.335074686e+01,6.050291321e+01,4.701157797e+01,9.447114096e+00,8.893850908e+01,6.812802057e+01,6.381077515e+01,6.485359307e+01,8.303539666e+01,4.999831743e+01,6.688137833e+00,1.345436270e+01,9.614400282e+01,6.496299765e+01,6.674179188e+01,3.908815955e+01,9.411418607e+01,4.578420535e+01,2.603323350e+01,9.890214996e+01,5.205524312e+01,2.098601184e+00,6.225563245e+01,5.613866805e+01,2.150515070e+01,5.488798120e+01
1.233760194e+00,3.156784839e+01,1.252621142e+01,4.258705771e+01,7.936660056e+01,3.146962097e+01,2.039668377e+01,1.418539809e+01,1.539854560e+00,8.382866413e+01,4.756665685e+01,8.420810319e+01,4.398994159e+01,9.704705500e+01,8.275487265e+01,7.634350639e+01,3.932309158e+01,2.525448066e+01,5.655751261e+01,3.771596462e+01,9.966618252e+01,3.680832355e+01,9.125030622e+01,5.707078819e+01,1.932706015e+01,4.514961269e+01,2.417188015e+01,2.547607416e+01
3.689090684e+01,8.657485317e+01,5.221379329e+01,6.599989110e+01,4.803617802e+01,1.527015910e+01,7.271768585e+01,4.890631251e+01,1.252410386e+00,3.677409580e+01,5.469832451e+01,9.858646492e+01,1.015769170e+01,1.417040456e+01,7.618413372e+01,5.237983957e+01,1.406991905e+01,5.715950304e+01,1.555064404e+01,8.195125826e+01,7.503321339e+01,1.433228235e+01,8.714230972e+01,9.110507833e+01,3.610255726e-01,3.089756171e+01,2.728413626e+01,5.799234784e+01
9.349171078e+01,8.457406410e+01,8.180309032e+01,6.698730107e+01,2.864372319e+00,1.234980632e+01,2.708330967e+01,8.447106624e+01,9.997690585e+01,3.418079473e+00,1.989241582e+01,1.395408642e+01,4.450036601e+01,2.303126054e+01,9.734779028e+01,4.111731878e+01,4.584841309e+01,4.302998312e+01,1.959380420e+01,7.397652570e+01,8.396639711e+00,9.616002415e+01,9.596199931e+01,4.624733693e+00,8.749800835e+01,2.849849419e+01,7.309695154e+01,1.802366054e+01
6.090830353e+01,8.518222522e+00,9.057705558e+01,3.344664922e+01,7.561181103e+01,3.063655268e+01,1.176286801e+01,3.981322039e+01,9.264222239e+01,1.296622344e+01,6.354155157e+01,1.721323528e+01,9.936217946e+01,2.763647031e+01,7.328629593e+00,5.810456767e+01,7.388015820e+00,2.783505831e+01,7.357921110e+01,6.124502666e+01,2.779852175e+01,1.246936982e+01,1.755500281e+01,6.614174951e+01,1.546051315e+01,1.042726797e+01,3.393729390e+01,3.261856612e+01
1.474936246e+01,2.462545436e+01,5.777083520e+01,4.463556641e+01,2.142942700e+01,1.644483877e+01,2.848229058e+01,6.733868162e+01,3.656196955e+00,1.964345812e+00,9.320781096e+01,5.673858813e+01,6.046111597e-01,6.914933598e+00,2.165791602e+01,6.228997302e+01,4.339441776e+01,2.108276973e+01,3.991113944e+01,2.385761338e+01,4.866770674e+01,3.392161799e+01,6.864569919e+01,7.087256838e+01,9.918380698e+01,5.592355475e+01,3.533388627e+01,2.131236189e+01
6.619210415e+01,6.648080742e+01,8.689151776e+01,7.251734331e+01,3.881034769e+01,7.747865209e+01,2.673801304e+01,4.247011547e+01,4.122864129e+01,2.831321145e+01,2.892132350e+01,7.988332406e+01,1.767500258e+01,5.616711367e+01,8.280192087e+01,1.492534436e+01,6.944283447e+01,5.263658217e+00,3.536943876e+01,1.354074295e+01,2.633757851e+01,4.517615927e+00,9.432812872e+01,6.311968165e+01,8.174606259e+01,3.095029910e+01,5.117668761e+01,2.917315014e+01
6.249551878e+01,3.594325741e+01,5.161849707e+01,4.118646099e+01,5.769044312e+01,1.200846414e+01,8.048690309e+01,5.392918142e+01,4.391362832e+01,4.003866692e+01,3.933348983e+01,3.787244918e+01,1.164959709e+01,1.401786110e+00,2.772544852e+01,6.944057448e+01,8.648035084e+01,3.970300557e+01,2.384128929e+01,5.533222311e+01,6.547035344e+01,6.565344419e+01,6.916743015e+01,3.895468276e+01,7.832735743e+01,1.495415613e+01,1.818665543e+01,7.559971854e+01
6.738469924e+01,1.489076289e+01,5.956080436e+01,1.934629686e+01,2.167741021e+01,9.310989460e+01,1.434074596e+01,2.983883411e+01,1.719354361e+01,4.082791721e+01,7.584742331e+00,2.454269380e+01,7.309240940e+01,8.624908930e+01,8.531603363e+01,4.359211569e+01,9.965044605e+01,3.083381568e+01,8.746081338e+01,8.178051658e+00,8.785099471e+00,3.153816107e+01,6.160441986e+01,4.676404879e+01,4.143053523e+01,7.230819785e+01,2.790564584e+01,8.762142710e+01
6.335158639e+00,4.070222607e+01,2.547000215e+01,8.521969079e+01,1.796350859e+01,4.547214722e+01,9.235064637e+01,1.218361011e+01,4.653573156e+01,5.743162438e+01,4.654777403e+01,6.649782848e+01,3.268802079e+01,2.447565308e+01,8.135766342e+01,5.204060642e+01,5.248067254e+01,6.004360322e+01,8.949525279e+01,6.816989845e+01,4.073753390e+01,2.290496309e+01,3.881236188e+01,4.058906403e+01,5.489182767e+00,7.471026244e+01,5.317069416e+01,1.652840264e+01
5.022669760e+01,7.133388831e+01,1.240454254e-01,6.539712527e+01,9.856058402e+01,7.633931784e+01,3.929349609e+01,5.345090711e+01,2.112141338e+01,9.684201817e+01,2.926189818e+01,6.401916814e+01,7.468398468e+01,7.588273603e+01,4.274138395e+01,1.920802842e+01,1.177670453e+01,5.173523544e+01,9.494084046e+01,2.619169891e+01,5.507550658e+01,8.495877185e+01,7.988297796e+00,8.763468599e+01,5.769127673e+01,4.475571863e+01,1.689484191e+01,9.613006304e+01
6.810084820e+01,3.012477872e+01,6.177444373e+01,6.303031161e+01,3.377179719e+01,4.350928186e+01,7.482433208e+01,2.782051925e+01,5.097515344e+01,2.868011010e+01,3.027769907e+01,7.783487684e+01,2.996991538e+01,6.924656283e+01,9.631076003e+00,2.345156270e+01,6.279118434e+01,8.237783254e+01,8.532957273e+00,5.666128914e+00,4.667184638e+01,9.228413363e+01,8.084102512e+00,9.320424472e+01,4.515191152e+01,9.177537697e+01,5.680782518e+01,1.863131544e+01
