v1,v2,v3,v4,v5,v6,v7,v8,v9
5.728984127e+01,4.171711870e+01,7.624870472e+01,1.640770728e+01,3.201634779e+01,8.054206332e+01,7.960816382e+01,8.476794873e+01,5.262285798e+00
9.879534583e+01,7.162870726e+01,8.468911721e+01,7.334487994e+01,8.248919724e+01,3.082932647e+00,8.251352196e+01,7.668390251e+01,7.305782262e+01
2.476669489e+01,1.971886924e+01,4.729408804e+01,4.125939110e+01,9.720229918e+01,1.527381508e+01,3.192875059e+01,9.997751639e+01,5.438426442e+01
6.990483730e+01,1.798092052e+01,6.308363941e+01,2.740606874e+01,1.329777592e+01,8.016576445e+01,2.517093374e+01,4.499759887e+00,3.720208612e+01
1.694609878e+00,9.985207507e+01,3.192815071e+01,6.330427906e+01,9.445980384e+01,9.149164049e+01,8.152139831e+01,8.011747161e+01,5.490597351e+01
3.611307050e+01,4.154788709e+01,4.547927172e+01,1.621348371e+00,7.087649093e-01,7.884933321e+01,4.051606482e+01,5.318821591e+00,9.384992822e+01
8.710172530e+01,7.761607261e+00,7.511735753e+01,2.110151849e+01,6.999718321e+01,3.868664968e+01,2.569126505e+01,7.038565405e+01,3.908222616e+01
5.267244123e+01,7.418416091e+01,6.573263658e+01,6.825238659e+01,8.508616483e+00,2.511146045e+01,5.590634935e+01,3.796502587e+01,6.952117243e+01
8.992891297e+01,6.662799957e+01,9.001573973e+01,3.662811565e+01,2.503560071e+01,7.932930886e+01,5.488275900e+01,2.954960774e+01,1.645144171e+01
2.104889009e+01,5.534825766e+01,8.346139995e+00,1.170120532e+01,4.655316602e+01,8.335871159e+01,4.982753235e+01,4.463905021e+01,9.997237122e+01
2.247969605e+01,3.786653613e+01,1.705078209e+01,9.811231770e+01,6.331987840e+01,2.086583248e+01,7.461963495e+01,1.084820874e+01,2.420173852e+01
8.532303366e+01,8.932518074e+01,2.427246789e+01,9.707779108e+01,4.872604268e+01,9.825467521e+01,1.454268052e+01,3.035957813e+01,8.647641925e+01
2.163384572e+01,8.369052534e+01,5.176572110e+01,7.611281271e+01,1.468729327e+01,5.067904097e+01,8.225354793e+01,5.307449794e+01,9.686985565e+01
7.691637645e+00,2.644549062e+01,2.150081999e+01,3.340010910e+01,8.332762071e+01,2.057872810e+01,7.875616950e+00,9.888214134e+01,3.737564744e+01
5.581576383e+01,2.847201983e+01,8.139248326e+01,1.720015148e+00,3.546194637e+00,5.384960871e+01,9.573655626e+01,9.170461647e+00,1.370005484e+00
6.768979442e+01,9.917381410e+01,7.738033030e+01,8.063192216e+01,2.398205935e+01,7.490535150e+00,9.265584447e+01,5.655938061e+01,6.571430384e+01
6.415048923e+01,1.081671892e+01,1.103101695e+01,8.159533400e+01,1.287123509e+01,4.635608000e+01,5.386799585e+01,9.106941539e+01,5.240717768e+01
6.092811373e+01,4.669971477e+01,2.273889301e+01,6.618514663e+01,1.450651257e+00,5.798205270e+01,7.321652882e+01,3.918160065e+01,7.370054041e+01
3.831181501e+01,5.843894764e+01,3.888143088e+01,4.404152504e+01,8.935613103e+01,9.410671838e+01,6.283502472e+01,6.203594724e+01,8.119061649e+01
3.811529751e+01,3.500158548e+01,3.770458113e+01,6.130387611e+01,9.103792902e+01,2.232504555e+01,8.997512027e+01,2.442223564e+01,3.507334066e+01
3.099231899e+01,9.367370154e+01,2.889380267e+01,8.338811178e+01,9.118572050e+01,5.008383194e+01,2.647042341e+00,2.002128069e+01,9.205372125e+01
3.068994586e+01,3.193851542e+01,4.046450571e+01,7.217754153e+01,4.962290933e+01,7.531527760e+01,2.636866574e+01,8.278203280e+01,9.266447550e+01
5.847384390e+01,6.109055256e+01,3.588417249e+01,3.062060895e+01,6.796179032e+01,1.244450755e+01,4.016318931e+01,1.292024773e+00,4.994679218e+01
8.154456849e+01,8.802130325e+01,7.992342259e+01,6.482066671e+01,5.214932569e+01,1.068692751e+01,7.825916808e+01,4.858083686e+01,3.717560757e+01
1.010774329e+01,6.424061770e+01,5.954548755e+00,2.500962446e+01,8.600825202e+01,2.322882822e+01,5.633754353e+01,6.150162394e+01,1.821087117e+01
9.387513381e+01,6.045156995e+00,5.015146923e+01,9.037190911e+01,8.594087175e+01,4.453629665e+01,6.038831908e+01,6.707498674e+01,8.830927339e+01
7.396725280e+01,2.421814209e+01,5.580529563e+01,3.356238671e+01,2.175492927e+01,1.352134937e+01,3.233897188e-01,6.062931929e+01,9.194295875e+01
3.735849852e+01,4.222864100e+01,4.672997688e+00,2.860303183e+00,6.593322428e+01,8.243073656e+01,5.520405464e+01,3.990060338e+01,8.052944021e+01
3.870289739e+01,3.675570707e+01,5.364873903e+01,9.471206734e+01,5.720694349e+01,3.285431256e+01,7.195329863e+01,7.343032326e+01,8.444824518e+01
7.180365753e+00,4.850938551e+01,3.578965308e+00,5.279978558e+01,4.640478507e+01,1.824521037e+01,7.989245026e+00,2.439224057e+01,7.218513091e+01
4.946131688e+01,5.284115738e+01,2.814853546e+01,3.311236273e+00,1.269825307e+01,8.951531642e+00,2.582863435e+01,8.154694934e+01,6.293280123e+01
7.494573898e+00,4.191890425e+01,3.840953322e+01,1.727373132e+01,2.846202026e+01,4.043724576e+01,3.129565492e+01,4.691263052e+00,8.826957711e+01
7.613269113e+01,6.653105015e+01,7.200868730e+01,9.467460543e+01,1.869441195e+01,7.585486257e+01,5.180880181e+01,5.138021758e+01,3.135636124e+01
1.329559730e+01,4.791216847e+01,3.941762236e-01,8.314625300e+01,6.475565520e+01,4.565800647e+01,3.785052846e+01,8.668627914e+01,7.785287251e+01
5.461948642e+01,1.509610582e+01,7.659260947e+01,9.122141852e+00,8.764456955e+01,3.329005496e+01,7.352308527e+01,3.548533487e+01,1.454755331e+01
4.829256076e+01,1.589752317e+01,9.300465710e+01,4.765712961e+01,8.304245533e+01,1.928193722e+01,6.912125928e+01,5.868029158e+01,9.297475985e+00
3.113913428e+01,7.218830202e+01,4.225409789e+01,8.402148585e+01,8.312229197e+01,5.676817103e+01,4.859042097e+01,6.438352036e+01,2.749716114e+01
7.260220861e+01,3.147279954e+01,4.631419691e+01,4.003860479e+00,6.852269105e+01,4.973849451e+00,8.363240939e+01,3.419884512e+00,3.196185835e+00
8.114015316e+01,9.245423720e+01,7.255182123e+01,2.200357373e+01,2.592308008e+01,1.128664799e+01,5.036737311e+01,2.840283023e+01,1.959006787e+01
8.776816510e+01,5.695603459e+01,9.630374442e+01,9.044224499e+00,8.907655808e+01,7.999031511e+00,3.141294136e+01,6.965206107e+01,8.206770970e+01
3.509913764e+01,8.353819218e+01,1.928246804e+01,5.999755525e+01,7.686347230e+01,1.971553797e+01,1.341640685e+01,4.000804153e+01,1.631110066e+00
2.488025179e+01,4.631798129e+01,4.768721222e+01,6.389089261e+01,5.557882444e+01,7.434808818e+01,2.830581632e+01,2.089095211e+01,8.197396405e+01
4.052977131e+01,2.780947650e+01,3.652443472e+01,5.680218300e+00,1.014913412e+00,4.335917277e+01,8.448678778e+01,5.724187299e+01,2.196717951e+01
3.278234668e+01,1.332899022e+01,3.939538337e+01,3.110934079e+01,5.203220899e+01,5.782007814e+01,2.650456231e+01,4.261585657e+01,3.846585078e+01
6.854309087e+01,4.709978016e+01,5.068915279e+01,5.530999383e+01,9.572957812e+01,1.647884953e+01,1.314174868e+01,2.093719585e+01,4.244169278e+01
8.491528041e+00,9.532535740e+01,6.256651079e+01,8.280472816e+01,2.189191395e+01,8.434613195e+01,7.797850939e+01,6.006041330e+01,5.912578915e+01
3.056507724e+01,2.829720256e+01,1.228979382e+01,3.143139414e+01,1.672089234e+01,6.237157877e+01,7.380346674e+01,9.982515712e+01,3.497271163e+01
6.770313310e+01,8.168540039e+01,6.651519680e+01,2.028587219e+01,3.014761656e+01,1.912259940e+00,1.612041010e+01,6.183083449e+01,9.008130332e+01
5.888425114e+01,8.545446392e+01,5.758131394e+01,4.511235006e+00,7.523431678e+01,2.651590459e+01,9.769409823e+01,5.479122723e+01,9.892342458e+01
5.116033310e+01,5.494095310e+01,6.871761402e+01,1.532148661e+01,5.413444152e+01,1.742586589e+01,7.671448937e+01,9.744301258e+01,9.735265161e+01
4.730822467e+01,7.812241521e+01,6.119014205e+01,9.764471628e+01,9.929579277e+01,7.084194288e+01,6.829432565e+01,4.617302942e+01,1.474376318e+01
9.951294163e+01,1.432103159e+00,5.454183078e+01,7.138546347e+01,1.043337349e+01,4.805689365e+01,2.433396203e+01,7.597996110e+01,4.680631439e+00
2.940838337e+01,4.332038040e+01,5.435132532e+01,4.136234585e+01,1.365456682e+01,6.118363206e+01,2.123840058e+01,3.984934733e+01,7.142400706e+01
7.419305131e+01,9.398138549e+01,7.485519592e+00,1.264473260e+01,9.285475174e+00,5.512256659e+01,2.502021303e+01,5.693819754e+00,6.301181316e+01
8.839930240e+01,7.123946100e+01,3.913573605e+00,7.313428670e+01,7.402968452e+01,5.366443921e+00,6.525081821e+01,5.906840749e+01,6.385629054e+01
9.828048582e+01,1.790109110e+00,5.278360644e+01,1.872010649e+00,8.571050949e+01,4.409556830e+01,5.508542859e+01,1.423245834e+01,7.191791707e+00
1.785728522e+01,5.313964692e+01,7.193275572e+01,9.557166074e+01,7.767384926e+01,9.816854709e+01,9.920905715e+00,3.645660793e+01,8.877085374e+01
7.084954454e+01,1.686984967e+01,2.933786178e+01,5.768231676e+00,5.636606689e+01,6.641575696e+01,4.938087333e+01,7.373043096e+01,2.938524986e+01
9.719617782e+01,2.433976046e+01,2.503072280e+01,4.317024156e+01,6.979247196e+00,4.367309799e+01,4.800942042e+01,8.962047518e+01,5.977356409e+01
4.991536144e+01,8.900573591e+01,9.517824178e+01,6.538506948e+01,4.368272579e+00,5.629335063e+01,8.666934483e+01,3.304353472e+01,7.197930781e+01
7.064027720e+01,4.677985580e+01,4.520789932e+01,4.423871049e+01,8.011617636e-01,2.012537420e+00,2.112313605e+01,4.327890639e+01,4.464503439e+01
3.297320113e+00,3.774622226e+01,5.049372788e+01,3.122795175e+01,8.108384932e+01,5.970866671e+01,3.987208583e+01,5.142136589e+01,5.052707103e+00
3.263411156e+01,5.547192488e+01,3.564270234e+01,8.306889166e+01,9.860237630e+01,6.618260196e+01,5.424869977e+01,8.951557602e+01,4.771980084e+01
4.075346540e+00,6.591442204e+01,6.928038640e+00,4.969484439e+01,7.927691773e+01,4.942737273e+01,7.279312972e+01,4.487943912e+01,9.369948113e+01
2.257651557e+01,3.721945907e+01,7.030466121e+01,2.253071399e+01,9.483222912e+01,5.279850048e+01,2.623272968e+01,4.975766446e+01,1.693291068e+01
4.979942333e+01,4.502416747e+01,5.601887016e+01,5.580458377e+01,3.265587799e+01,1.315522178e+01,2.319919813e+01,7.271635145e+01,9.760163651e+01
8.236800338e+00,6.748446211e+01,9.447813964e+01,7.758532257e+01,5.451200514e+01,1.682188787e+01,5.709090550e+01,6.687147181e+01,4.283591494e+01
7.065403199e+00,6.120111318e+01,7.663680527e+01,2.017656327e+01,2.571521732e+01,3.953829926e+00,9.961178326e+01,8.209269594e+01,5.200335750e+01
4.634454729e+01,5.122826220e+01,3.877877695e+01,7.901594719e+01,1.220471892e+01,7.637549535e+01,3.915884464e+01,2.343786148e+01,9.696864004e+01
3.353062718e+01,2.503856653e+01,4.513150465e+01,3.796181733e+01,2.235592931e-01,4.686301209e+01,2.533068169e+00,3.019728885e+01,8.287669580e+01
2.640320914e+01,5.374970253e+01,4.961200301e+01,5.607365216e+01,9.064051788e+01,2.981130533e+01,4.972204431e+01,1.481674122e+01,4.068198418e+01
2.407142094e+01,3.248459808e+01,5.294893178e+01,1.925312501e+00,4.539458975e+01,2.078322328e+01,1.247469077e+01,6.878481291e+01,6.435711406e+01
7.780660596e+01,6.566966823e+01,5.822597933e+01,5.062705668e+01,4.022347141e+01,8.847859071e+01,8.469350425e+01,9.624160531e+01,1.318759255e+01
6.381630422e+01,6.281834393e+01,8.213960526e+01,2.657894929e+00,8.581023495e+01,4.373168449e+00,5.795544275e+01,1.696534076e+01,2.877552530e+01
9.052918304e+01,8.005142208e+00,5.450120380e+00,7.537724159e+01,5.654928442e+01,5.235804270e+01,2.921548147e+01,2.044680506e+00,9.147942434e+01
2.596623895e+01,9.811216384e+01,8.919289375e+00,5.181689624e+01,1.890269206e+01,3.734294863e+01,1.529719380e+00,1.892448465e+00,4.977045310e+01
6.551499738e+01,9.171677803e+01,9.912541740e+01,4.370732354e+01,9.649606800e+01,2.392264281e+01,9.907026819e+01,9.206296188e+01,8.854137917e+01
6.024160019e+01,9.404870144e+01,7.425417862e+01,8.473881260e+01,6.572467941e+01,3.227724083e+01,3.400618751e+01,6.479904516e+01,6.638622117e+01
4.205692329e+01,7.955171232e+01,5.883681382e+01,1.858631956e+01,5.856289596e+01,7.169604975e+01,2.866791142e+01,1.232806921e+01,6.981221544e+01
6.694437509e+01,7.097532599e+01,4.746036775e+00,2.971384859e+01,1.457520474e+01,3.857827155e+01,2.461228541e+01,5.325099004e+01,5.583468060e+01
7.121482882e+01,3.573947548e+01,1.868252328e+01,2.622747470e+01,2.512435616e+01,4.606964389e+01,1.658950586e+01,8.837964184e+01,8.980023929e+01
3.671330418e+01,7.687687251e+01,8.581383509e+01,8.804839015e+00,5.049751982e+01,4.341803478e+01,7.254065682e+01,2.135300959e+01,9.020519414e+01
3.372777380e+00,6.050872658e+01,2.072839859e+01,5.977311474e+01,1.923195084e+01,1.209011127e+01,6.549235456e+01,6.037075047e+01,3.883256989e+01
5.715504456e+01,4.729995816e+01,9.371578722e+01,9.267600961e+01,8.196359797e+01,5.193111808e+01,4.709792855e+01,8.867128389e+01,8.490683134e+01
9.212173939e+01,8.006154798e+01,1.199340489e+01,8.469175250e+01,4.907385372e+01,2.723809405e+00,1.855444327e+01,9.360371179e+01,1.076584773e+01
6.004242657e+01,2.499125460e+01,7.551505388e+01,6.891830182e+00,6.569475609e+01,3.461307123e+01,4.441768880e+01,9.707191280e+01,1.412204604e+01
9.114875048e+01,9.870753939e+01,4.706632471e+01,1.765525920e+01,2.320285719e+01,9.917745756e+01,8.047001412e+00,3.235896289e+01,3.515249225e-01
6.269472044e+01,9.390404145e+00,9.097350705e+01,3.594964202e+01,3.911105818e+01,3.433511433e+01,7.014621121e+01,1.719613861e+01,4.501751601e+00
6.833246029e+01,5.332685286e+01,5.325902665e+01,3.842538292e+01,7.627980746e+01,6.352226371e+01,6.364622397e+01,7.020150585e+01,7.551518917e+01
