v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17
7.143861137e+01,7.187009774e+01,5.283325644e+01,7.120027759e+01,4.862866061e+01,2.012133632e+01,3.979439053e+01,4.539915171e+01,6.581520157e+01,1.254648830e+01,2.226556044e+01,1.527098131e+01,3.797735383e+00,1.166281424e+01,2.058365226e+01,3.774589167e+01,5.330384454e+01
2.002679712e+01,5.426083914e+01,9.347469738e+01,6.637048713e+01,1.028573673e+01,1.253857169e+01,7.546778694e+00,3.050021846e+01,2.605827603e+01,9.948391188e-03,3.246059234e+00,9.168318431e+01,2.940650918e+01,7.424190857e+01,4.513229839e+01,1.793123306e+01,4.942945743e+01
5.926524675e+01,9.448523653e+00,2.758121612e+01,4.845886250e+01,7.127130154e+01,3.721106228e+01,7.547950784e+01,7.706649108e+01,4.407213015e+00,3.378464050e+01,5.757851038e+01,8.707676798e+00,9.057066954e+01,3.165668721e+01,3.230180650e+01,1.517480947e+01,6.259024968e+01
3.234137316e+01,8.588885174e+01,3.408632971e+01,4.221649994e+01,8.417322930e+01,7.366678185e+01,6.485055861e+00,5.824817441e+01,6.118913696e+01,7.893875810e+01,9.234988451e+00,9.414546280e+01,1.668523801e+01,2.629240282e+01,5.668624430e+00,6.477401039e+01,2.458933593e+01
3.411199228e+01,9.038950263e+01,7.599945790e+01,8.700726579e+01,5.719638262e+01,8.117564391e+01,7.940144835e+01,8.321971640e+01,6.885122668e+01,9.303842253e+01,1.045936881e+01,1.841058654e+01,5.962374658e+01,9.782792476e+01,1.854871186e+01,4.641770414e+01,4.313479231e+01
6.202888392e+01,4.959261399e+01,6.568050285e+01,1.556073814e+01,6.672951975e+01,2.504071329e+01,5.785115628e+01,3.972340534e+01,9.955392624e+01,9.962558106e+01,5.589561167e+01,4.147284886e+01,4.495886198e+00,6.340370461e+01,9.958502293e+01,6.693092503e+01,3.889005263e+01
2.790076814e+01,6.861839357e+01,2.224488097e+01,3.832082962e+01,6.839424330e+01,8.207980338e+01,2.425935207e+01,6.103154887e+01,4.369451146e+01,9.500754413e+01,6.273699916e+01,2.265355509e+01,6.056430167e+01,5.627894775e+01,1.436387162e+01,6.786048632e+00,7.434423274e+01
6.118538160e+01,6.115281243e+01,4.130421747e+01,8.746349288e+01,5.777300198e+01,6.270527939e+00,9.489354151e+01,1.094653483e+01,9.979350554e+01,3.492542543e+01,2.436382842e+01,4.324617283e+01,8.282133569e+01,4.147713425e+01,3.847598030e+01,9.631031001e+01,4.730616679e+01
9.304737510e+01,7.819023923e+01,5.438215207e+01,8.658275403e+01,8.301896118e+01,5.532869115e+01,8.186517867e+01,6.256621111e+01,1.316770309e+00,2.486857579e+00,9.537859226e+01,9.625591449e+01,2.565553364e+01,2.015628431e+01,5.743659340e+01,7.600435712e+01,8.745776179e+01
6.766960161e+00,8.778766461e+00,6.567014119e+00,7.429682764e+01,9.704328217e+01,5.370381057e+01,7.306648068e+01,2.983465801e+00,8.159214271e+01,1.825724253e+01,3.220853249e+01,8.341214491e+01,9.363209468e+01,4.357890199e+01,7.182288830e+01,1.265373657e+01,4.918298573e+01
5.116132474e+01,9.112712485e+00,6.323608190e+01,2.939970427e+01,3.776271112e+01,3.652331429e+01,1.211580015e+01,4.585226132e+01,5.517919528e-01,5.812175565e+01,1.119800463e+01,5.905921817e+01,1.907278879e+01,6.832227833e+00,6.251784688e+01,6.652566484e+01,2.172026848e+01
4.854172759e+00,1.704779599e+00,3.334952976e+00,2.497924492e+01,7.309714991e+01,8.532030163e+01,3.815155667e+01,3.514302066e+01,7.143696846e+01,7.045828013e+01,5.255248516e+01,9.099241622e+01,3.422283459e+01,5.523175753e+00,7.044261323e+01,3.624718572e+01,4.990895783e+01
9.453664011e+01,5.740070766e+01,2.638775886e+01,2.654348713e+01,2.320359925e+01,7.658313130e+01,2.771566763e+01,6.430053055e+01,8.368277022e+01,7.526495617e+00,2.030620229e+01,7.710185234e+01,8.858559680e+01,7.611170622e+01,4.166444546e+01,8.051396326e+01,9.910991773e+01
1.177265771e+01,7.319692296e+01,6.257743985e+01,2.319303265e+01,6.388363701e+01,7.703261583e+01,3.608122239e+01,7.224612890e+01,3.760277889e+01,3.739930820e+01,2.303418102e+01,5.203858521e+01,6.611277815e+01,5.343355888e+00,2.074990192e+00,1.278778285e+01,9.167770224e+01
6.836973780e+01,5.545554085e+01,3.465076578e+01,1.737487573e+01,9.146396497e+01,6.768802627e+01,9.071329851e+01,3.460886394e+01,6.011152927e+01,8.703166154e+01,6.240139898e+01,3.747789158e+01,9.421628986e+01,9.158919952e+01,6.301825302e+01,7.014871629e+01,6.395409890e+01
3.781018635e+01,3.938063840e+01,6.556150456e+01,4.680523455e+01,1.318527166e+01,2.468651146e+01,1.529852282e+01,4.637887389e+01,6.970792437e+00,1.339677121e+01,7.182390600e+00,3.190733719e+01,3.106190499e+01,3.733629080e+01,8.703966856e+01,5.385558160e+01,5.311645557e+01
3.298724559e+01,1.076606863e+01,9.500348679e+01,7.685560427e+01,4.872539429e+01,3.448555584e+01,6.023375804e+01,2.159281299e+01,5.180910075e+01,9.048856960e+01,4.891871537e+01,8.154117008e+01,3.948216964e+01,9.063755646e+01,3.359246507e+01,4.845428884e+01,4.022542067e+01
8.548335701e+01,3.962923312e+01,9.835567810e+01,8.929428931e+00,1.368706950e+01,9.359904978e+01,3.417019222e+01,7.902189379e+01,6.523659212e+01,1.940338535e+01,2.230344365e+01,6.539329688e+00,2.167694333e+01,5.882696427e+01,2.826867666e+01,4.979439030e+01,6.380292495e+01
4.354156334e+01,4.968190366e+01,2.263320882e+01,3.862999412e+01,7.929709819e+01,7.933514189e+00,5.003532757e+01,4.194484755e+01,7.177552509e+01,7.513700438e+01,8.601934750e+01,1.619252740e+01,7.576194726e+01,6.324476857e+00,1.555530842e+01,9.429393111e+01,5.107222494e+01
7.230902132e+01,7.958756393e+01,6.481842221e+01,1.166077540e+01,7.359413812e+01,8.715664857e+01,8.627265574e+01,2.838141288e+01,1.774317525e+01,6.413223211e+00,8.990100432e+01,3.449968210e+01,7.664778143e+01,4.003665269e+01,9.128398700e+01,6.867972038e+01,1.330949994e+01
5.848554039e+01,8.968201814e+01,5.099153672e+01,8.739137889e+01,2.273673631e+00,2.696645374e+01,2.248786181e+01,3.889785548e+01,5.747853613e+01,5.784306166e+01,6.777425771e+01,4.599813085e+01,6.441470899e+01,1.444594059e+01,6.986574665e+01,6.162937545e+01,1.146521461e+01
3.725266332e+01,6.885454728e+01,3.720808286e+01,5.306806566e+01,5.273106121e+01,5.742108589e+01,5.694507064e+01,1.283848659e+01,3.286067953e+01,4.502696853e+01,1.587392324e+01,3.319489447e+01,9.649176399e+01,8.416356694e+01,6.746584011e+01,5.862783476e+01,3.295434511e+01
9.137978274e+01,1.346781327e+01,7.615151388e+01,3.282866747e+01,9.441807310e+01,1.394915231e+01,8.543923970e+01,8.617777544e+00,1.316124063e+01,7.200041522e+01,6.066746037e+01,9.555571369e+01,3.799581849e+01,2.077637155e+01,7.261448700e+01,7.668729090e+01,5.391938047e+01
9.209318594e+01,6.828359329e+01,6.535251492e+01,8.530192295e+01,9.948898457e+01,6.000513061e+01,6.606863714e+00,2.522788083e-01,4.665858457e+01,5.647499370e+01,7.024307032e+01,6.006867626e+01,9.399855547e+01,5.897896342e+01,8.904796263e+01,2.620880544e+01,7.623312924e+01
1.808224133e+01,9.335801852e+01,2.871149396e+01,8.750652433e+01,8.669502929e+01,1.033806116e+01,9.182535925e+01,8.357350881e+00,6.454155143e+01,3.441633209e+01,5.112775011e+01,1.422937318e+01,3.566842061e+01,8.643434304e+01,6.162454871e+01,2.659111397e+01,9.199334468e+01
9.078807566e+01,1.682194638e+01,8.740968611e+00,4.876491399e+01,3.260349438e+01,7.920362826e+01,7.707361208e+01,5.944628140e+01,8.769713425e+01,1.989983825e+01,6.388279012e+01,8.910479839e+01,7.961816040e+01,9.016548681e+01,2.208272492e+01,2.395877227e+00,3.512258428e+00
8.704272965e+01,8.432775651e+01,8.093655138e+01,7.055138387e+01,1.991163087e+01,3.158869058e+01,3.085888893e+01,7.785942514e+01,7.235054817e+01,2.329561204e+01,8.730576072e+01,6.685594837e+00,1.183024733e+01,3.072983688e+01,5.355866858e+01,6.845476016e+01,5.340293679e+01
1.313077277e+01,8.344893264e+01,1.462452149e+01,6.790180186e+01,7.854410345e+01,7.339854081e+01,8.815004184e+01,2.681069560e+01,3.193711858e+01,9.490438451e+01,5.971769780e+01,6.196394205e+01,6.685838886e+01,9.826912682e+01,6.206082293e+01,7.050840739e+01,6.720001579e+01
4.379197159e+01,6.621928752e+01,9.291889089e+01,1.534499021e-01,7.031593406e+01,5.936950680e+01,7.150796552e+01,2.399011759e+01,4.490559298e+01,9.430011815e+01,4.372950619e+01,5.602483721e+01,7.389082320e+01,3.626618553e+01,2.322464128e+01,4.516774353e+01,8.862542162e+01
8.044662311e+01,2.400600505e+01,5.243039608e+01,2.737850665e+01,9.561167646e+01,1.266093515e+01,4.910527415e+01,6.963657701e+01,7.751369778e+01,9.693916138e+01,8.763455972e+01,9.246891588e+01,5.338441165e+00,3.257058895e+01,8.078341062e+01,7.009786603e+01,1.999812675e+01
9.311340588e+01,2.970138067e+01,1.804628831e-02,3.413348504e+01,1.413289329e+01,8.862817288e+01,4.683760703e+01,6.528183304e+00,6.367963370e+00,3.217643920e+01,9.148368203e+01,2.854387979e+00,4.644873596e+01,1.872539365e+01,7.984239874e+01,3.942670358e+01,4.935078448e+01
7.068486121e+01,9.740925303e+00,9.690252874e+01,5.222934136e+01,8.558301179e-01,8.172223837e+01,2.400316770e-01,9.151504424e+01,8.521568067e+01,3.689324336e+01,3.375358769e+01,5.982438845e+01,8.680839776e+01,4.939759376e+01,5.060034112e+01,4.746114566e+01,9.680629288e+01
8.464254609e+00,4.029712874e+01,8.214443820e+01,1.917092671e+00,9.378899157e+01,1.838261632e+01,7.683260267e+01,5.163072670e+01,3.884082678e+01,1.559136685e+01,5.761777234e+00,5.654289222e+01,6.959713888e+01,4.153850050e+01,1.918449752e+01,3.661892600e+01,6.604420198e+01
4.884408783e+01,6.638779831e+01,2.651696186e+01,9.315416750e+01,5.181144075e+01,1.681881093e+01,6.645129774e+01,4.221860765e+01,9.353895979e+01,1.085243609e+01,7.931281028e+01,8.096785166e+01,1.858524897e+01,8.836835646e+01,6.925307450e+01,7.242444506e+01,7.878658078e+01
1.431733787e+00,8.856821708e+01,6.440441559e+01,9.668622096e+01,9.697035059e+01,5.968011702e+01,7.964744488e+01,7.722957041e+01,2.331180138e+01,3.877402072e+01,4.034017838e+01,9.586680463e+01,6.679293170e+01,1.527263794e+01,8.820647848e+01,1.809363821e+01,9.368451398e+01
2.970693378e+01,6.390596497e+01,3.417206501e+01,3.355105486e+00,9.451670906e+01,5.783573015e+01,4.346817611e+01,6.919127202e+01,7.033548784e+01,8.574806427e+01,4.230670172e+01,9.119033146e+01,1.558441680e+01,4.114728280e+01,7.098058796e+01,4.542199412e+01,9.445184672e+01
6.257629701e+01,3.009513209e+01,9.264676231e+01,5.506755494e+01,5.730845354e+01,6.167877068e+00,9.789487152e+01,7.538382035e+01,2.798050188e+01,4.876759459e+01,9.949537495e+01,3.790011415e+01,5.338542450e+01,1.669746383e+01,3.663549613e+01,6.778797986e+01,9.125056095e+01
1.248943432e+01,7.152401861e+01,5.146330643e+01,3.689620818e+01,9.639764653e+01,2.728581170e+01,3.156675891e+01,4.186134395e+01,1.106111632e-01,6.494855185e+01,9.336764644e+01,1.565566925e+01,5.525351008e+00,9.807815543e+01,9.722171210e+01,9.928694278e+01,1.235415619e+01
5.792411230e+01,7.095246747e+01,1.554331325e+01,2.487319860e+01,3.768678771e+01,7.233488599e+01,9.763363460e+01,7.358282400e+01,8.206864376e+01,4.671619845e+01,7.940228700e+01,9.298293749e+01,4.670089990e+01,8.208714573e+01,5.811381529e+00,1.355699405e+01,2.394592102e+01
5.329258340e+01,7.088070793e+01,1.763083740e+00,4.726526983e+00,7.840630434e+01,7.641675537e+00,4.765868031e+01,5.754491742e+01,8.897877875e+01,3.657241268e+01,2.994732178e+01,7.464217243e+01,9.078382596e+01,6.316225372e+01,9.225015920e+01,3.933817529e+00,7.749797854e+01
7.668161939e+01,3.360293779e+01,6.989711993e+01,7.835224882e+01,3.362012803e+01,1.468646615e+01,7.954767844e+01,8.427030932e+01,6.384669494e+01,3.943599480e+01,4.025466667e+00,1.601089550e+01,3.029015456e+01,6.448102924e+01,6.540799875e+01,3.137726212e+01,9.731436229e+01
3.816507842e+01,7.501054059e+01,8.804464975e+01,6.821883381e+01,8.481269252e+01,9.566973579e+01,7.923875836e+01,8.892413661e+01,2.865221426e+01,2.005019154e+00,8.713311523e+01,8.257313507e+01,5.040881313e+01,1.234194078e+01,7.793038182e+01,4.310000727e+01,5.495652823e+01
7.921867037e+01,6.141342058e+01,7.549926327e+01,2.571918462e+01,2.087173104e+01,7.765615495e+01,7.319378817e+01,9.850998041e+01,8.087776454e+01,7.884728595e+01,5.290042666e+01,4.899336155e+01,6.174192597e+01,4.338737699e+01,9.063926418e+01,6.981927412e+01,7.290466773e+01
2.706541017e+01,7.004830215e+01,3.576370701e+01,2.285157209e+00,1.148783894e+01,6.656597526e+00,3.627928587e+01,2.268149844e+01,6.331105159e+01,2.783828092e+01,3.602512678e+01,3.162589719e+01,6.473205517e+00,1.063636319e+01,8.157259458e+01,7.143812086e+01,8.024524346e+01
1.158469922e+01,8.477676725e+01,8.026286509e+01,6.025544498e+01,9.316661008e+00,7.419251992e+01,3.616792884e+01,6.906129481e+00,7.455423095e+01,2.287999827e+01,3.612576974e+00,2.073247349e+01,6.604675316e+01,5.021675455e+01,7.627402447e+01,7.818905736e+01,9.862862546e+00
3.476534494e+01,5.827012909e+01,1.764082398e+01,8.649177995e+01,8.494510782e+01,7.398666767e+00,1.709979751e+01,6.904177772e+01,4.757387357e+01,9.841310304e+01,2.752666604e+01,3.549242875e+01,5.797790095e+01,9.894920142e+01,4.500572927e+01,4.445361685e+00,8.610338852e+00
6.471777247e+01,8.148017341e+00,2.001072293e+01,4.436139654e+01,9.150568708e+01,3.367666418e+01,4.673943399e+01,9.216016000e+01,3.049041514e+01,4.815518485e+01,8.040668370e+01,6.086040080e+01,1.161389031e+01,8.689678015e+01,3.263305206e+01,6.236783625e+01,4.298862213e+01
2.396228389e+01,3.500998561e+00,4.821405253e+01,6.514990945e+01,1.223286562e+01,5.902133126e+01,4.161633386e+01,8.726947351e+01,6.625079265e+01,8.494028286e+01,3.656384752e+01,4.176742314e+00,3.448939252e+01,3.470972785e+01,1.579698100e+01,7.382786341e+01,5.062581192e+01
5.943238194e+01,9.370027142e+01,1.003810413e-01,4.624482005e+01,2.428445209e+01,4.108776055e+01,2.384662032e+01,6.315552376e+00,4.534150927e+01,1.071013882e+01,9.974805834e+00,9.264587834e+01,8.773390321e+01,6.394704925e+01,3.031242353e+01,6.832207493e+01,9.313582823e+00
4.003046164e+01,7.148924108e+01,8.553535911e+01,8.332841126e+00,7.184141722e+01,2.438724565e+01,6.662168952e+01,9.032601258e+01,5.342157512e+01,8.474056284e+00,2.663302920e+01,4.756983504e+01,2.377689789e+01,2.341654216e+01,5.103511148e+01,9.335557126e+01,2.255794303e+01
3.177000788e+01,1.485677733e+01,7.644780557e+01,6.676972061e+01,8.607643918e+01,3.589763176e+01,2.104806279e+01,1.940470902e-01,1.041783845e+01,5.339666292e+01,9.506757429e+01,1.743097164e+01,7.837530767e+01,2.835880874e+01,5.985752288e+01,2.060376624e+01,8.191116435e+01
7.535990857e+01,6.988978067e+01,2.748526904e+01,8.265151378e+01,1.058605057e+01,3.037088914e+01,6.528638001e+01,8.200223069e+01,8.967840113e+01,6.738753405e+01,2.842811365e+01,4.777539130e+01,4.659965013e+01,7.326738193e+01,2.703290785e+00,9.258342251e+01,3.158498126e+01
5.900295761e+01,6.553809570e+01,9.700716158e+01,3.028609302e+01,6.336034319e+01,3.783208521e+01,1.135722116e+01,3.134083965e+01,7.527230820e+01,8.855516248e+01,2.900251542e+01,9.085536151e+01,3.987725554e+01,3.084479800e+01,8.119518908e+01,6.952705437e+01,6.091575069e+01
8.229937982e+01,1.507138195e+01,4.458880351e+01,1.564839659e+00,2.285285217e+01,2.128198451e+01,1.024288332e+01,4.790586412e+01,3.418522828e-01,6.970392500e+01,7.759333373e+01,9.513990644e+01,9.082707048e+01,8.248950074e+01,2.783474860e+01,7.955748890e+01,8.551211122e+01
1.252350129e+01,6.776867630e+01,9.714577699e+01,6.510174927e+00,9.425421809e+01,9.080387396e+01,7.762296960e+01,7.237807432e+01,4.937863680e+00,3.863905812e+01,4.334778027e+01,4.802053770e+01,5.535895884e+01,2.080631844e+00,7.228431652e+01,8.181629953e+01,7.815919288e+01
9.264863378e+01,9.583710696e+01,3.874848605e+01,1.026058426e+01,9.860784656e+01,8.840914403e+01,5.732079340e+01,4.206876361e+01,4.500139357e+01,1.214858275e+01,2.269064973e+01,8.582482800e+01,2.022633017e+01,6.104586746e+01,6.588868747e+01,6.048269129e+01,2.669168738e+01
4.811865840e+01,1.354232517e+00,2.031174050e+01,6.706243260e+01,9.588977067e+01,7.184024392e+01,9.618353996e+00,3.071283739e+01,9.156332634e+01,9.652464175e+01,7.167647028e+01,3.023151954e+01,5.200268954e+01,5.554292775e+01,2.856650800e+01,3.572137767e+01,5.542105120e+01
9.901803245e+01,3.901324292e+01,2.096373389e+01,7.407643436e+01,8.973022366e+01,5.328284230e+01,2.140373654e+01,2.374603811e+01,2.050147644e+01,7.189021008e+01,6.862463727e+01,2.735500396e+00,4.838901929e+01,9.346937676e+01,7.902132666e+01,1.853359652e+01,6.794137695e+01
6.847324936e+01,5.894469599e+01,9.728296541e+01,8.172438489e+01,2.277465724e+01,1.226306095e+01,3.448730890e+01,7.871049830e+01,9.607197410e+01,9.214714093e+01,6.598447285e+01,8.713054746e+01,1.229051514e+01,1.665199553e+00,7.755604771e+01,4.696016710e+01,7.562656545e+01
3.572270780e+01,6.214419337e+01,4.655707392e+01,1.007727134e+01,3.461442120e+00,5.102308655e+01,6.938389851e+01,6.294025303e+01,1.911290464e+01,7.772650377e+01,6.959458614e+01,6.186623817e+01,3.661330918e+01,3.786698004e+01,8.067316698e-01,2.341350523e+01,8.621722173e+01
3.770531255e+01,4.396731814e+01,1.222219073e+01,9.415113073e+01,9.176293819e+01,5.209380001e+01,2.073455672e+01,5.925254264e+01,9.848183126e+00,2.348684398e+01,5.939619521e+01,5.121646736e+01,6.274147084e+01,5.219595577e+00,2.232654199e+00,9.224846520e-01,9.410793547e+01
7.766371878e+01,4.972459927e+01,2.323863065e+01,1.126109538e+01,5.651618939e+01,6.638225015e+01,9.942304868e+01,8.025334981e+01,6.329767387e+01,5.096209881e+01,5.060920139e+01,7.610206355e+01,8.787321144e+01,3.926269111e+01,5.353536064e+00,8.045775978e+01,5.944194213e+01
4.660583471e+01,6.021751923e-01,3.680501288e+01,4.031965683e+00,5.988704057e+01,7.794978103e+01,7.394398269e+01,9.648294228e+01,3.492132244e+01,5.825874496e+01,9.206763189e+01,8.859356212e+01,1.159390135e+01,7.525158895e+00,1.374084486e+01,2.167855325e+01,9.072343602e+01
3.542153664e+01,4.076983126e+01,2.645316488e+01,8.406227961e+01,1.803007712e+01,3.991003505e+01,2.326595317e+01,3.813342822e+01,5.634329907e+01,6.639627958e+01,9.711485315e+01,7.338593317e+01,8.161174207e+01,2.155493435e+00,3.025715602e+01,7.712306697e+01,6.994302485e+01
4.162656967e+01,7.297348677e+01,2.059465842e+01,1.820334856e+00,2.658558894e+01,6.354179008e+01,8.451982227e+01,4.727929832e+00,2.431880794e+01,6.544915812e+01,7.111224110e+01,2.370165697e+01,5.302374863e+01,3.217310303e+01,8.329834553e+01,9.448514409e+00,3.192769411e+01
2.909462727e+01,1.757584855e+01,9.592028100e+01,4.483890714e+01,4.711958905e+01,4.840715038e+01,4.183405357e+01,5.084391349e+01,7.395905143e+01,5.678016832e+01,8.650778952e+01,4.139414225e+01,6.125498845e+01,5.986287442e+00,9.995568781e+01,7.981874102e+01,1.767587903e+01
7.996984020e+01,4.677256405e+01,8.512436567e+01,3.208088498e+01,7.047681980e+01,4.857023369e+01,8.570316068e+01,1.077982976e+01,9.848149082e+01,8.321801755e+01,2.988218774e+01,9.423083583e+01,8.256070616e+01,7.981092391e+01,2.258878021e+01,4.895440565e+01,1.650528783e+01
1.206596322e+01,1.864504604e+01,9.770422765e+01,2.865743067e+01,1.633745301e+00,1.010674201e+01,5.645566344e+01,9.676499869e+01,3.551300979e+01,8.924582359e+01,6.004385555e+01,3.912573166e+01,9.965568220e+01,5.528541203e+01,1.927439942e+01,2.373820123e+01,6.069328232e+01
1.908107813e+01,8.493641642e+01,4.340983037e+01,4.006672963e+01,9.022884898e+01,9.659531321e+01,3.098995583e+01,4.880347157e+01,6.166647058e+01,9.325266592e+01,3.458697888e+01,1.545534310e+01,5.903755047e+01,1.839741118e+01,4.551820087e+01,8.413624126e+01,7.033155978e+01
8.462880144e+01,4.994449250e+01,7.153045907e+01,5.844449710e+01,4.964510714e+01,2.635619695e+01,7.904752409e+01,3.659333812e+01,4.462275884e+01,5.385480715e+01,4.097283840e+01,3.781008761e+01,9.748292304e+01,8.270620397e+01,8.552643095e+01,4.702817005e+01,8.286773961e+01
