v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66
9.809588632e+01,4.440626253e+01,2.935994667e+01,6.150532361e+01,8.113249199e+01,4.381393395e+01,1.766023042e+00,1.780453844e+01,8.890673148e+01,7.064485806e+01,3.602631371e+01,1.648070926e+01,6.540711996e+01,9.351480763e+00,5.648132161e+01,3.429210421e+00,5.381971476e+01,6.872220156e+01,7.273673540e+01,5.704425875e+01,9.231752778e+01,9.675435332e+01,2.484025553e+01,5.192036772e+01,1.978932313e+01,5.746556052e+01,1.739049966e+01,4.714195667e+01,4.744107202e+01,4.746160034e+01,7.553870624e+01,5.376781936e+00,6.256564689e+00,9.310744032e+01,8.397903781e+01,7.044674982e+01,9.360705803e+01,4.968756941e+01,6.109462173e+01,5.747757715e+01,8.839753413e+01,9.069902588e+01,3.365777485e+01,7.340663596e+01,4.021339790e+01,3.139600513e+01,2.342852883e+01,3.709681343e+01,2.815100179e+01,6.185927639e+01,1.228951607e+00,2.043166686e+00,4.222683332e+01,6.946376413e+01,5.951053906e-01,1.436200535e+01,5.362573787e+01,7.114799902e+01,9.330874602e+01,4.377449921e+01,6.278258551e+01,5.170760386e+01,9.430811415e+01,8.775564947e+01,6.499590228e+01,8.969697744e+01
5.556786477e+01,7.461642131e+01,2.689521849e+01,8.108044196e+01,9.109731424e+01,3.967035118e+01,5.692940266e+01,7.968952028e+01,3.590435613e+00,6.284413603e+01,5.967447474e+01,7.952105243e+01,6.076351560e+01,4.873509442e+01,6.343508141e+01,1.548057130e+00,4.469842708e+01,5.644910444e+01,9.171183390e+01,7.908735240e+01,5.656516935e+01,7.779605758e+01,2.908961986e+01,4.517509792e+01,9.250939191e+01,2.645451521e+01,4.042425775e+00,1.831284223e+01,4.645675839e+01,3.057900774e+01,9.478462362e+01,6.784831056e+01,7.337268113e+01,5.565875893e+01,1.399950929e+01,7.105639981e+01,6.101548218e+01,5.302003411e+01,3.089456628e+01,1.299683981e+01,2.329535667e+01,7.425407096e+01,8.891610169e+01,2.161889925e+01,5.982494766e+01,9.146725569e+01,5.765658564e+01,8.681517887e+01,1.778507783e+01,6.178459575e+01,9.248908544e+01,7.369355156e+01,6.123709416e+01,5.026360496e+01,8.987809691e+01,3.434558372e+01,7.156173289e+01,4.366354195e+01,8.755135691e+01,9.162668099e+01,6.936927442e+01,6.274821313e+01,2.346005779e+01,3.306928607e+01,4.842887769e+00,2.859944609e+00
7.664699222e+01,9.548702652e+01,8.270631075e+01,5.631211150e+01,5.034057363e+01,3.756377763e+01,2.343133956e+01,5.554892812e+01,3.505628991e+01,1.607116731e+01,2.047083630e+01,6.979832701e+01,7.699684079e+01,4.710762017e+00,4.938949642e+01,8.068140972e+01,8.971844568e+01,6.940518432e+01,5.619798845e+00,9.233518603e+01,6.181799732e+01,3.432333213e+01,7.723158093e+01,9.993333260e+01,9.790695813e+01,8.885040361e+01,7.124439165e+01,3.699669892e+01,1.389605176e+01,3.688933701e+01,6.830877307e+01,6.198778371e+01,4.623440287e+01,3.353960046e+01,4.780906406e+01,9.415197729e+01,6.464091366e+01,2.451197219e+00,2.765671690e+01,1.307109077e+01,5.034672745e+01,3.557331381e+01,2.697767828e+01,8.189991916e+01,9.137012209e+01,8.640237567e+00,7.113692889e+01,7.104286151e+01,4.411399744e+01,6.338027019e+00,3.692180306e+01,8.369276101e+01,1.224204726e+01,5.997003309e+00,1.257007544e+01,6.451873503e+00,6.912211292e+01,8.703793926e+00,5.211823232e+01,7.711617954e+01,8.750200753e+01,3.379188626e+01,7.478638466e+01,6.940891887e+01,5.491482117e+01,8.605349658e+01
7.205095141e+01,8.576179292e+00,2.190311099e+01,4.650295413e+01,4.628051546e+00,9.217308588e+01,7.335045058e+01,3.942351707e+00,7.708252715e+01,3.165618801e+01,6.126134930e+01,2.794790939e+01,7.369843705e+01,9.419646612e+01,6.982572769e+01,6.909543731e+01,9.302228724e+01,4.736271839e+01,6.406619884e+01,5.770145362e+01,3.393599311e+01,6.704957152e+01,1.249791210e+01,5.475919763e+01,7.742311847e+01,1.067952411e+00,1.567648493e+01,8.650594889e+01,9.408284529e+01,2.157553041e+01,9.312741131e+00,2.359538074e+01,4.332791825e+01,9.998200240e+00,7.540933284e+01,3.724883898e+01,3.769305583e+01,5.417899648e+01,2.679462326e+01,7.449926443e+01,8.909418925e+01,6.695407707e+00,3.432001354e+01,6.089162310e+01,1.784376585e+01,6.645152073e+01,3.933280310e+01,4.660925344e+01,5.894155896e+01,4.551230381e+01,4.720168273e+01,5.890888305e+01,8.499614381e+01,5.516071409e+01,1.614432631e+00,9.015718251e+01,7.259869702e+01,4.020612022e+00,3.394489275e+01,1.663151753e+01,8.616110208e+01,8.108078942e+01,4.148818098e+00,1.701057400e+01,2.480543172e+01,6.278888889e+01
6.299308682e+01,6.535610421e+00,1.967773917e+01,6.857974537e+01,2.177542808e+01,3.167148668e+01,4.737174638e+01,9.278622689e+01,5.996286725e+01,4.480269559e+01,9.131720169e+01,2.250760766e+01,7.165463948e+01,1.556552736e+01,3.690104661e+01,8.359368410e+01,9.330337712e+01,8.039166569e+01,2.491185557e+01,9.155754367e+01,7.290263806e+01,6.016309127e+01,1.641412290e+01,3.657549805e+01,8.867941778e+01,9.110085795e+01,6.981463054e+01,2.153009518e+01,8.205204481e+01,3.401744634e+00,2.132608687e+01,9.230792189e+01,2.424679642e+00,7.391169606e+01,8.913627878e+01,4.524312409e+01,7.979308823e+01,2.120111453e+00,8.993388389e+01,4.353027592e+01,8.889743248e+01,7.584761125e+01,6.570165144e+01,1.986758346e+01,7.671520417e+01,7.344568512e+01,1.994369181e+01,7.609537045e+01,5.253132671e-01,2.067351395e+01,2.541877006e+01,2.959526212e+01,6.091204258e+01,8.394722231e+01,7.661420861e+01,7.728941254e+01,9.715260200e+01,9.848504767e+01,9.385683168e+01,7.622568633e+01,8.495624832e+01,3.427725469e+01,9.739472057e+01,4.147770444e+01,1.508208199e+00,7.972627996e+01
8.257574898e+01,8.581218094e+01,6.899498872e+01,5.639889835e+00,5.437514275e+01,9.384595524e+01,6.716271882e+01,4.014166338e+01,5.586582171e+01,9.508778338e+01,4.540655448e+01,4.369868510e+01,6.065753077e+01,7.915767397e+01,6.868476465e+01,2.293775015e+01,8.400752903e+01,3.498294362e+01,1.921570031e+01,8.739182303e+01,3.495298083e+01,6.992373370e+01,9.614378947e+01,7.666073338e+01,5.834910571e+01,5.334214643e+01,1.945664499e+01,3.542025199e+00,5.007788357e+01,9.365626174e+01,5.605458729e+01,2.920147936e+00,9.488506954e+01,6.041548572e+01,9.189156607e+01,7.612989565e+01,9.931061485e+01,2.050349561e+01,9.907011518e+01,8.567106340e+01,2.350364354e+01,3.779035842e+01,7.098708420e+01,1.184570229e+01,8.656246633e+01,2.882616943e+01,4.968815008e+01,3.714378842e+01,9.158283181e+01,4.388117883e+01,8.050825307e+01,9.311051270e+01,8.896869107e+01,8.696223591e+00,9.773642184e+01,4.968119414e+01,5.691901092e+01,6.016401865e+01,8.471648881e+01,2.140175677e+01,1.592925596e+01,1.175549000e+01,8.299373175e+01,4.536669128e+01,9.233487224e+01,3.897908491e+01
4.963404627e+01,6.919731674e+01,1.552760510e-02,8.443541101e+01,8.975842161e+01,8.920109796e+01,9.475943348e+01,3.874458211e+01,3.543863538e+01,9.353193468e+01,9.867887512e+00,1.634722160e+01,8.791787586e+01,9.257262336e+01,1.569579688e+01,6.146841070e+01,7.372565495e+01,7.965993106e+01,2.822884561e+01,4.701810746e+01,1.362043409e+01,7.795729343e+01,8.820553841e+01,4.990753084e+01,5.467094723e+01,5.448966529e+01,8.948060766e+01,5.193147983e+01,7.674667317e+01,1.343669516e+01,1.651837546e+00,1.429793055e+01,5.503627534e+01,9.513983209e+01,8.087129220e+01,8.981867659e+01,7.191420395e+01,6.983712113e+00,4.510239477e+01,1.913772373e+01,6.829090406e+00,6.668945419e+01,3.274486399e+01,7.979817484e+01,6.394774577e+01,7.036560542e+00,2.039770490e+01,5.263078762e-01,6.707428194e+01,5.983837684e+01,6.734332593e+01,2.990044832e+01,1.314801178e+01,7.733761862e+01,5.021947729e+01,6.528239656e+01,2.287678224e+01,5.670673063e+01,4.083620354e+01,6.356630673e+01,3.132918448e+01,9.059664708e+01,1.257553098e+01,1.521294600e+01,2.859306977e+01,9.596820387e+01
6.719562471e+01,5.354657802e+01,8.163713771e+01,3.394288237e+01,7.427591832e+01,9.359202850e+01,2.184727703e+01,5.070126371e+01,9.464095521e+01,7.456524017e+01,2.868401089e+01,1.497347030e+01,8.637462794e+01,2.967065847e+01,4.725771425e+01,4.583762766e+01,4.576059120e+01,6.470031618e+01,2.758249911e+01,3.502805792e+00,8.068245969e+01,8.567996541e+01,6.619563764e+01,9.378376873e+01,6.067525664e+01,2.033263592e+01,1.740437447e+01,6.696434104e+01,2.486473479e+01,8.133545314e+01,6.168849468e+01,5.921438831e+01,7.137033292e+01,5.101213427e+01,9.514272213e+01,4.157896467e+01,8.854675970e+01,5.202693513e+01,1.507949575e+01,4.304043132e+01,4.855644646e+01,9.730105842e+01,1.988613474e+01,2.113981577e+01,9.846462464e+01,3.745020261e+01,9.307036733e+01,6.790829361e+01,8.846022479e+01,5.042745762e+01,2.792405800e+01,4.715021411e+01,9.825847848e+01,2.424601657e+01,9.126952953e+01,3.922904097e+00,2.751664850e+00,8.665370653e+01,6.203764263e+01,1.360159406e+00,3.910102394e+01,2.065965996e+01,2.525409476e+01,2.013811598e+01,6.860688008e+01,2.913761422e+01
4.679802338e+01,7.570840523e+01,5.220310664e+01,3.408847218e+01,9.805124920e+01,8.977783420e+01,8.469745402e+01,1.720706495e+01,8.263251710e+01,4.084044137e+01,2.858383259e+01,3.232085073e+01,9.274215644e+01,5.081838377e+01,1.951666149e+01,6.204708618e+01,1.805411511e+01,9.155476589e+01,9.033741328e+01,2.350423520e+01,8.348509768e+01,5.022652732e+01,3.603145766e+01,7.734948329e+01,8.926758454e+01,8.419878349e+00,7.206642269e+01,3.645661670e+01,5.524211278e+01,9.150378863e+01,6.454620706e+01,8.980056270e+01,8.107864935e+01,7.154499890e+01,3.537314222e+01,5.712931068e+01,9.880879714e+01,6.202871315e+01,3.989496711e+01,1.562603157e+01,7.987495220e+01,2.859066382e+01,7.271893862e+01,7.257591477e+01,3.480931198e+01,6.931579131e+01,6.954014014e+01,8.571942991e+01,4.841735911e+01,4.451988949e+00,7.115187869e+01,7.704712247e+01,9.777810125e+01,9.274912991e+01,7.484712051e+01,6.018420468e+00,3.268042669e+01,9.990603813e+01,9.400637078e+01,1.330038310e+01,2.476544508e+01,9.906573900e+01,9.887008859e+01,2.087160013e+01,8.447394278e+01,4.963406410e+01
1.786248842e+01,4.040378970e+01,1.505439966e+01,3.447307727e+01,4.543964442e+01,4.328173423e+01,7.830241460e+01,3.181539825e+01,4.456862317e+01,7.114910595e+01,5.761304426e+01,1.086571947e+01,5.476594350e+01,6.430695629e-01,3.314960532e+01,4.082257510e+01,3.155993155e+01,1.617438495e+01,4.454452884e+01,2.196707017e+01,9.040893620e+00,7.659476290e+01,1.915247165e+01,7.412302455e+00,1.071528375e+01,4.228413260e+01,4.164299061e+01,5.249082415e+01,7.424884060e+00,6.503456466e+01,4.851522690e+01,8.959566124e+01,8.402650080e+01,7.142876572e+01,5.197021814e+01,9.394293058e+01,3.891727702e+00,8.672270488e+00,2.392089058e+01,4.039698162e+01,3.111093042e+01,8.068137799e+01,6.137472619e+01,6.869179505e+00,9.311493740e+01,4.145509582e+00,4.759480239e+01,6.144006211e+01,8.707162729e+01,8.509015797e+01,9.080341697e+01,2.802486213e+01,2.117672495e+01,3.018957687e+01,5.695258066e+00,4.181655358e+01,9.421800709e+01,3.451258045e+01,9.566324227e+01,3.139078988e+01,6.950812580e+01,5.878338834e+01,2.246378589e+01,3.612138434e+01,6.007360555e+01,4.171673803e+01
5.179276968e+01,8.703218772e+01,6.973979280e+01,5.462471026e+01,6.968216944e+01,4.557574404e+01,7.270234975e+01,4.434887133e+01,1.014494869e+01,2.804475332e+01,4.896074300e+01,4.284204789e+01,7.661329858e+01,6.976308304e+01,1.258636058e+01,5.067601973e+01,4.997882213e+01,2.274160786e+01,9.827921283e+01,9.201878637e+01,9.604444547e+01,2.653519758e+01,3.096205696e+00,2.849992023e+01,1.052905480e+01,6.927697135e+01,8.234241151e+01,5.987547993e+01,6.643448858e+01,6.813629351e+01,5.053644412e+01,8.757129910e+01,2.436045795e+01,1.535172456e+01,8.554922124e+01,1.830909532e+01,6.123215812e+01,5.957786360e+01,8.280936761e+01,6.848892159e+01,2.225566496e+01,2.504653053e+01,9.536349384e+00,3.108284052e+01,8.545059696e+01,7.751712488e+01,1.270569622e+01,3.585779087e+01,2.278489335e+01,2.646844956e+01,5.789315170e+01,6.200296715e+00,4.235425027e+01,9.595590584e+01,2.105812813e+00,1.216567262e+00,1.376886713e+01,5.926141548e+01,4.222104336e+01,1.131453518e+01,2.927826010e+01,4.010850582e+01,1.383514260e+01,2.558506753e+01,1.726991886e+01,6.227007568e+01
4.725282898e+01,6.841333816e+01,9.267748589e+00,4.419863362e+01,2.360359734e+01,7.813302220e+01,1.806554888e+01,5.241019236e+01,1.484058912e+01,3.375896970e+01,7.495927282e+00,5.891966478e+01,1.193374671e+01,2.253915051e+01,8.106396031e+01,3.260200075e+00,7.513704207e+01,8.646365378e+01,3.576398222e+01,4.371337126e+01,2.083752085e+01,8.572604617e+01,9.115918110e+01,7.246670518e+01,6.301712405e+01,7.526695735e+01,2.783876928e+01,9.611170941e+01,1.253778862e+01,3.629262031e+01,3.373558113e+00,7.218662007e+01,5.023309089e+01,1.210975891e+01,8.355151195e+01,7.330719817e+01,8.477701721e+01,9.389535505e+01,6.153603634e+01,8.035744199e+01,9.921151340e+01,5.904003113e+01,9.853133227e+01,7.777851105e+01,7.551297695e+01,2.602422421e+01,9.408512923e+01,9.534197124e+01,2.962379834e+01,1.188187435e+01,6.658497459e+01,9.607335736e+00,9.020949844e+01,3.562243517e+01,1.612818549e+01,1.677259054e+01,8.761749626e+01,8.938928423e+01,8.047953446e+01,7.752161980e+01,5.013007570e+01,7.039057587e+01,9.980358301e+01,7.861999234e+01,2.721246692e+01,2.760417640e+01
