v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26
9.293444650e+01,5.692255695e+01,3.904373329e+01,8.780678936e+00,7.444859643e+00,3.122671802e+01,8.343448494e+01,4.966795483e+01,1.871634904e+01,7.779967916e+01,7.726239339e+01,8.086595174e+01,5.695179420e+01,3.456077752e+01,3.976307082e+01,3.842227904e+01,3.785498755e+01,9.692376754e+01,9.728582935e+01,7.195926548e+01,4.571295360e+01,6.730574072e+01,1.188263378e+01,9.678131792e+01,4.779392868e+01,9.427462854e+01
7.325814054e+01,4.566040149e+01,4.280509761e+01,3.660791090e+01,7.751087585e+01,9.271782200e+01,8.626327926e+01,9.202124248e+01,3.872954919e+01,8.282246231e+01,4.336934288e+01,4.873746886e+01,3.568505467e+01,2.245997864e+01,4.636326911e+01,2.326541259e+01,7.981506597e+01,3.316764771e+01,3.945260346e+01,3.611420605e+01,5.527325709e+01,2.557589674e+01,9.888491048e+01,9.811753908e+01,4.246066372e+00,4.399733767e+01
6.281722849e+01,9.714179044e+01,7.011306299e+01,9.961439879e+00,9.777984606e+01,6.515956973e+01,5.862795634e+01,7.979932385e+01,1.105513200e+01,5.085468001e+01,2.076406786e+00,3.068271873e+01,7.852823854e+01,9.346604645e+01,7.540298763e+01,7.714464039e+01,8.079054796e+01,3.426870317e+01,8.993580921e+01,9.974747665e+01,4.789230485e+01,4.351196216e+01,1.880053864e+01,5.347604561e+01,7.781572599e+01,7.080840981e+01
2.720338299e+01,6.117310093e+01,1.535245628e+01,4.730956995e+00,4.548068745e+01,3.820732114e+01,4.746997607e+01,1.039177240e+01,4.409111652e+01,4.890988804e+01,8.688005455e+01,8.946881009e+01,1.927959803e+01,2.820814984e+01,7.400481922e+01,4.426708871e+01,6.059026115e+01,2.832498920e+01,1.174493729e+01,9.555962735e+01,3.208889851e+01,1.549120476e+01,1.865317955e+01,6.162782701e+01,7.834836772e+01,4.937252385e+01
2.484280587e+01,4.385540710e+01,7.432784567e+01,5.839623134e+01,5.130292833e+01,4.228583321e+01,2.247421204e+01,7.864556661e+01,8.439792175e+01,2.880529907e+00,1.108188247e+01,4.570668653e+01,3.991667659e+01,5.711229532e+01,1.731925531e+01,8.424498012e+01,3.910679970e+01,2.397119038e+01,2.560650950e+01,6.713025618e+01,5.111938265e+01,2.633380103e+01,7.433451343e+01,3.425513895e+01,4.802631722e+01,2.904767592e+01
1.252624294e+01,8.386488880e+01,2.894508245e+01,5.320352482e+00,3.971725593e+01,3.777409120e+01,1.384963372e+00,7.735410219e+01,2.803482574e+01,2.359653163e+01,9.016498823e+01,1.946879400e+01,4.294937584e+01,5.517203298e+01,5.090870262e+01,2.202782574e+01,4.817290511e+01,8.907734026e+01,1.308993411e+01,4.856639325e+01,6.248314366e+01,2.409488311e+01,5.194012986e+01,8.578756833e+01,9.780864700e+01,5.570592292e+01
9.342071507e+01,1.246012166e+01,6.569222386e+01,5.564949492e+01,3.914462516e+01,1.295394236e+01,8.332298824e+01,2.553985550e+01,4.837737750e+01,2.360377327e+01,7.671930095e+01,2.011416026e+01,7.773940639e+01,5.735248502e+00,6.563147591e+01,4.973091639e+01,2.049247991e+01,1.738195037e+01,5.719404839e+01,6.289701811e+01,3.066247021e+01,6.428979291e-02,5.375784624e+01,6.338128153e+01,6.775560544e+01,3.414783887e+01
7.576971722e+01,2.178966799e+01,4.603158200e+01,6.901669878e+01,1.039340613e+01,3.711989347e+01,4.000683199e+01,8.762637327e+01,9.059788530e+01,2.265432898e+01,2.306660232e+01,7.148302741e+01,4.035104840e+01,4.271177285e+00,8.590973133e+01,6.624624964e+01,4.226097171e+01,7.922958718e+01,5.279873808e+01,2.503838890e+00,5.039872553e+01,3.787646198e+01,9.874846895e+01,6.140488209e+01,2.680826188e+01,5.286920774e+01
9.914715966e+01,6.727186591e+01,6.205443240e+01,3.143073052e+01,8.186188939e+00,7.692494984e+01,4.563527558e+01,1.925635340e+01,7.458596215e+01,1.762870902e+01,1.819099967e+01,3.775059840e+01,5.349911597e+01,9.193902962e+01,4.198457678e+01,7.108284739e+01,6.510608290e+01,1.357539290e+01,6.460018057e+01,7.516578086e+00,7.454346838e-01,6.615878663e+01,6.467091498e+01,7.669571312e+00,4.119644744e+01,4.371194225e+01
7.625836370e+01,4.572502351e+01,8.738656628e+01,7.530260934e+00,9.526565733e+01,4.806751719e+01,8.693906106e+01,6.494877613e+01,2.342036163e+01,3.491282655e+01,4.004955404e+01,3.728245429e+01,6.713406891e+01,5.278956557e+01,1.116857312e+01,3.068894839e+01,5.586777163e+01,9.358209761e+01,6.313633891e+01,1.521506478e+01,7.453600213e+01,9.250062244e+01,8.589793023e+01,6.517697011e+01,6.898496942e+01,4.707536239e+01
6.906786813e+01,6.778509440e+01,2.716463663e+00,5.613563043e+01,9.982561597e+01,8.046375654e+01,7.236114343e+01,1.820077821e+01,3.199209062e+01,9.910893414e+00,2.507534915e+01,3.918913905e+01,1.736077834e+01,5.628641851e+01,6.273183940e+01,9.465668854e+01,4.299671352e+01,7.153734216e+01,2.474223504e+01,2.702776890e+01,2.934473841e+01,8.426566211e+01,1.635764393e+01,8.436937095e+01,3.521583833e+01,9.192850734e+01
7.066504130e+01,8.539137180e+01,4.036093826e+01,9.519504992e+01,7.247687106e+01,7.812518163e+01,6.616575963e+00,1.760316911e+01,6.481750659e+01,6.293724588e+01,9.876652663e+01,7.199820891e+01,3.378733048e+01,7.736467781e+01,8.204797013e+01,6.183673858e+01,8.543584341e+01,4.715200592e+01,6.064645427e+01,9.811402264e+01,7.782182889e+01,2.146402673e+01,9.346494145e+00,1.311006686e+01,4.204812562e+01,4.744922958e+01
1.703415392e+01,7.253821239e+01,7.791021349e+01,3.863970072e+01,3.106196068e+01,7.291702331e+01,5.733654466e+01,5.135636451e+01,1.988973123e+01,7.630631270e+01,9.957090124e+00,7.398741793e+01,6.291465017e+01,1.049540075e+00,7.324976394e+01,2.711473931e+01,5.818240393e+01,9.734547683e+01,1.945030885e+01,1.492144887e+00,1.236427475e+01,7.996887816e+01,9.088982366e+01,4.300819211e+01,8.830758178e+01,6.363840186e+01
3.133311321e+01,5.861982211e+01,9.762965599e+01,2.186788505e+01,3.465488680e+00,8.526580365e+01,6.358309886e+01,3.257556022e+01,8.130594255e+01,9.648630443e+00,8.203977649e+01,1.216692324e+01,8.026587172e+01,6.930522297e+01,1.701792490e+01,9.790703909e+01,6.177413973e+00,4.201080986e+01,1.529990320e+01,6.689513040e+01,5.082057183e+00,1.826364472e+01,7.355449258e+01,3.205953027e+01,7.524259452e+01,4.993583172e+01
8.702468896e+01,9.207529201e+01,3.326999731e+01,1.306807117e+01,3.839106258e+01,7.205194443e+01,5.378082557e+01,3.496548356e+01,3.753986820e+01,4.583085725e-01,2.664534663e+01,5.798612978e+01,3.669929758e+01,3.657930304e+01,9.552434551e+01,8.354787806e+01,4.964859228e+01,4.400985045e+01,2.402367801e+01,1.922498489e+01,8.921362067e+01,2.182243935e+01,7.610347866e+01,7.696076138e+01,9.828261739e+01,4.405233545e+01
6.475408561e+01,4.375187019e+01,6.142591808e+01,2.802178122e+01,7.436528056e+01,6.207931284e+01,1.106991338e+01,8.028819683e+01,6.681445662e+01,5.494859798e+00,1.744434796e+01,9.529312781e+01,3.471808669e+01,4.008948380e+01,4.722311749e+00,8.656238555e+01,9.941122218e+00,2.246845428e+01,7.726158075e+01,2.512797802e+01,2.600460950e+00,9.066051945e+01,3.752550965e+01,1.859727912e+01,4.528023977e+01,1.498686545e+01
3.604076768e+01,8.655917960e+00,4.359303223e+01,7.396511720e+01,3.120096212e+01,2.517713875e+01,1.616250082e+01,7.275404886e+01,7.141604141e+00,3.847161422e+01,1.284565122e+01,1.484926901e+01,5.788629615e+01,7.786990062e+01,5.155234698e+01,6.725165754e+01,2.159719147e+01,5.471912116e+01,7.137060708e+01,1.398027070e+01,8.355729235e+01,9.271904812e+01,5.472632672e+00,6.767689621e+01,9.949869996e+01,3.068638473e+01
5.548739796e+01,1.820706454e+01,2.843244161e+01,1.551457012e+01,3.963119967e+01,4.679719844e+01,1.693437832e+01,5.437847531e+01,9.235737194e+01,4.440242806e+01,1.929222219e+01,9.634289600e+01,4.082487008e+01,6.136665783e+01,1.856107280e+01,9.362170173e+01,2.630693680e+01,4.732172399e+01,3.071606537e+01,8.672214302e+01,4.537703842e+01,1.143474276e+01,7.447918854e+01,5.770257959e+01,7.027553251e+01,7.884011620e+01
3.369006737e+01,1.134539099e+01,3.472432700e+01,6.303587196e+01,8.952209023e+01,9.357639900e+01,9.620813531e+01,1.976547607e+01,2.068787857e+01,3.888615671e+01,9.882719840e+01,7.220256162e+01,8.981434156e+01,3.415256642e+01,5.370569589e+01,2.798735622e+01,2.327016855e+01,8.843317172e+01,1.645599120e+01,3.078675696e+01,1.070907109e+01,8.545870796e+01,6.446614093e+01,1.185578805e+01,6.468907183e+01,8.134950709e+01
6.954137282e+01,6.329877126e+01,6.665935152e+01,2.006179321e+01,5.342888247e+01,3.680473164e+01,3.228662197e+00,6.375167491e+01,7.914834824e+01,8.881712955e+01,7.369028982e+01,4.100945317e+01,7.091299985e+01,6.631861995e+01,9.353086503e+01,6.004575372e+01,4.656004083e+01,4.624118655e+01,6.228571600e+01,5.021598100e+01,1.841572844e+01,8.689291776e+01,1.670714783e+01,2.133817654e+01,7.102583564e+01,4.661304063e+01
6.579686930e+01,5.108526283e+01,3.011910227e+01,7.953101959e+01,8.659714291e+01,3.344980300e+00,8.679319840e+01,9.194154250e+01,3.971124608e+01,6.630550790e+00,5.817123792e+01,7.821854072e-01,5.339221125e+01,6.424687099e+01,5.474776601e+01,2.120305000e+00,4.413628891e+01,9.989837477e+01,4.851657943e+00,5.517820585e+01,3.318985824e+01,3.824549339e+01,1.386192563e+01,5.625163065e+01,7.876441921e+01,8.284313929e+01
4.116087315e+01,6.716180341e+01,7.153197514e+01,2.563869046e+01,9.106377939e+01,5.828653058e+01,2.234305663e-01,5.306771941e+01,5.273236123e+01,3.115837471e+01,7.156140155e+01,9.136544342e+01,9.919974729e+01,6.294296279e+01,9.329480773e+01,3.610910910e+01,3.340119134e+00,9.431163299e+01,9.754937789e+01,3.551735392e+01,7.627948206e+01,6.688362495e+01,7.331687938e+00,5.074997532e+01,6.413178032e+01,1.688346373e+01
9.432770758e+01,4.136250493e+01,7.970596095e+01,3.221228932e+01,7.674366629e+01,6.309650653e+01,6.045621413e+01,6.739585507e+01,9.027517147e+01,8.092934751e+01,1.996885879e+01,6.562663373e+01,6.147132407e+01,9.497745537e+01,4.856180531e+01,7.996903513e+01,4.237294475e+01,1.561356718e+00,5.373430779e+01,6.999788714e+01,4.483506451e+01,2.081848994e+01,3.105725660e+01,1.562407006e+01,1.934978881e-01,3.273031057e+01
9.892301119e+00,8.947913154e+01,4.869364668e+01,4.930895016e+01,9.366072814e+00,4.811802190e+01,7.591154557e+00,5.760581599e+01,1.894345740e+01,9.266480993e+01,1.604675078e+00,1.764929858e+01,1.322263939e+01,4.640971049e+01,4.590294531e+01,2.100436463e+01,4.755797741e+01,9.886726002e+01,6.308797285e+01,8.898484279e+01,5.302302856e+01,4.023939771e+01,7.060508337e+01,8.974556670e+01,9.879424493e+01,1.602153659e+01
2.605183152e+00,1.628252377e+01,9.700105076e+01,1.617012697e+01,1.265469383e+01,6.328655182e+01,7.073076791e+01,8.473787854e+01,3.070810873e+01,5.003820158e+01,3.977528665e+01,5.320909892e+01,4.569384092e+01,8.610008892e+01,6.768614134e+01,6.486280009e+01,2.529947237e+01,5.129397311e+01,7.940768351e+01,3.547418310e+01,4.393327565e+01,8.668876019e+01,3.088071409e+00,8.638071167e+01,4.184407144e+01,6.652017977e+01
2.414099013e+01,6.674114966e+01,7.404763033e+01,7.111100835e+01,3.287707253e+01,3.524018574e+01,4.735934361e+01,7.887562432e+01,6.908529513e+01,9.528929232e+01,4.623901701e+01,5.920297502e+01,1.082062553e+01,4.473657954e+00,1.456542029e+01,3.347726907e+01,7.228718597e+01,4.052249368e+01,4.792980952e+01,4.921103612e+01,7.807530555e+01,3.845160641e+01,4.528027421e+01,4.313280884e+01,6.276090304e+01,6.949392626e+01
1.181879740e+00,8.086354925e+01,2.078877449e+01,7.925188770e+01,2.713181460e+01,7.654244480e+01,6.428156207e+01,8.981634241e+01,5.624065029e+01,5.436989947e+01,3.527181088e+01,9.640890093e+00,6.795108529e+01,6.737501026e+00,9.367552791e+01,3.797233332e+01,1.184196298e+01,9.394499487e+01,9.270603789e+01,3.665111640e+01,9.829682696e+01,3.564018237e+01,4.580015031e+01,8.058188893e+01,8.851717643e+01,8.125493802e+01
8.368910989e+01,3.064852594e+01,1.556524763e+01,2.688234532e+01,3.621208417e+01,8.097058641e+01,2.776770149e+01,8.054912547e+01,2.842851896e+01,2.544809190e+01,7.952083480e+01,7.785816343e+01,1.272764437e+01,7.640447574e+01,9.532415462e+01,2.269295920e+01,1.864667400e-01,2.417878395e+00,6.219321179e+01,4.733863639e+01,7.027706146e+01,1.584252194e+01,1.737199659e+01,1.157835051e+01,2.537418447e+01,1.430564512e+01
5.444683704e+01,8.979371078e+01,5.519775056e+01,7.648155289e+01,8.286319596e+01,2.641763461e+01,1.638517869e+01,1.055508879e+01,5.672287626e+01,2.897037069e+01,8.229688622e+00,6.675683146e+01,1.910507677e+01,9.816593650e+01,8.356836503e+01,3.071383500e+01,4.490145756e+01,4.116371446e+01,7.333870209e+01,4.889347350e+01,2.369827906e+01,1.033263109e+01,8.612464811e+01,7.813986439e+01,8.333364258e+00,7.615090598e+01
1.555581181e+01,1.143643700e+01,8.793109333e+01,9.184619357e+01,5.566244366e+01,2.723047953e+01,7.731994152e+01,4.205748155e+01,8.057080737e+01,2.798093352e+01,5.159551834e+01,2.503635781e+01,2.245684337e+01,3.397319006e+01,2.189258487e+01,7.062168994e+01,8.524838892e+01,9.869795820e+01,9.045336108e+00,8.003895820e+01,5.169066320e+01,1.219532864e+01,6.583992873e+01,8.129600864e+01,2.565818531e+01,9.588742927e+01
2.259877139e+01,3.079303172e+01,3.855552189e+01,5.305285593e+01,9.854975877e+00,3.815488640e+01,7.017104381e+01,9.967557566e+01,5.788604144e+01,5.497299121e+01,5.883978494e+01,4.083421994e+01,7.586519550e+01,8.010952858e+01,8.234014112e+00,7.797342946e+01,9.216795214e+01,2.740384847e+01,6.657156738e+01,7.029604904e+01,6.736357834e+01,1.647986600e+01,2.843873857e+01,3.452694840e+01,5.343281909e+01,5.565256054e+01
2.030946189e+01,6.533295996e+01,2.456004860e+01,6.183657443e+01,8.357177271e+01,5.697063223e+01,4.389711458e+01,8.742378991e+01,7.755306499e+01,8.688146561e+01,2.233633878e+01,4.209437480e+01,7.895881246e+00,8.686970013e+01,3.054082183e+00,6.627073860e+00,8.755812205e+01,4.438552871e+01,8.401943252e+01,7.876441099e+01,4.743798513e+01,3.862255564e+01,7.877078394e+01,1.800378327e+01,8.909541671e+01,2.866494760e+01
3.167938920e+01,4.091159904e+01,9.634935145e+01,3.178718451e+01,2.419939579e+01,6.533951651e+01,5.123621609e+01,3.868273446e+01,4.643819479e+01,3.203200504e+01,1.942679330e+01,9.812619716e+00,9.793821762e+01,6.438840118e+01,3.361588670e+01,2.385643934e+01,4.832234009e+01,7.459972494e+01,1.166028571e+01,7.398717704e+01,6.203313250e+01,7.913147075e+01,9.801148466e+01,4.841301221e+01,7.807250515e+01,1.679317468e+00
9.001872285e+01,7.785179457e+01,3.084540660e+01,3.108666938e+01,1.743607778e+01,8.262466345e+01,5.583567342e+00,2.214956675e+01,8.331935904e+01,8.969230571e+01,8.450248723e+01,7.246864920e+01,2.619839674e+01,3.316692750e+01,2.385746836e+01,9.833959908e+01,8.554530268e-01,2.892179106e+01,3.309775144e+01,6.860301350e+01,8.823102452e+00,5.844272752e+01,6.159024271e+01,2.098553175e+01,1.079334471e+01,5.168001080e+01
9.678335148e+01,5.085962506e+01,3.978359896e+01,6.035500999e+01,6.819342627e+01,1.091288596e+01,4.970792830e+01,4.767175334e+01,1.026795467e+01,7.761195839e+01,1.936627215e+01,9.676494698e+01,1.182897355e+01,4.475760914e+01,9.008781495e+00,8.901774253e+01,9.862950854e+00,9.265567735e+01,3.807186208e+01,1.184210883e+01,9.539452581e+01,5.485379258e+00,7.461601368e+01,3.163313911e+01,5.384097238e+01,2.716193843e+01
9.598694339e+00,2.858016450e+01,8.501185046e+01,8.798727174e+01,9.089857971e+01,8.866747284e+01,6.921040089e+01,1.391924649e+01,1.439812667e+01,2.817622240e+01,9.581748572e+01,3.531629715e+01,8.478169468e+01,3.527942255e+01,8.446463684e+01,2.360575239e+01,3.914854329e+00,1.635857941e+01,2.055708299e+01,1.299411642e+01,1.797033723e+01,5.314279510e+01,5.080174987e+01,9.123647867e+01,8.001286523e+01,3.651292786e+01
2.381648443e+01,6.855526800e+00,9.249345506e+01,2.720520682e+01,5.377661066e+01,9.744823318e+01,6.966772641e+01,5.226081904e+01,7.558493848e+01,8.139238612e+01,5.211648862e+01,7.012830926e+01,9.099027659e+01,8.036173759e+01,3.664051490e+01,2.443601633e+01,9.287040379e+01,6.313379714e+01,3.919994781e+01,6.042369241e+01,8.496945054e+01,1.890615474e+01,3.895182751e+01,6.701449522e+01,2.003511364e+01,2.540851810e+00
9.947871089e+00,5.244725923e+01,2.706668456e+01,2.633445943e+01,4.734898900e+01,4.356976674e+01,2.299272925e+01,9.591110582e+01,4.964960136e+01,9.853964439e+01,3.013066910e+01,4.554668686e+01,2.400944331e+01,8.659502248e+01,6.790966781e+01,8.097630695e+01,3.729787771e+01,9.537199176e+01,2.171959578e+01,2.215750139e+01,6.756335933e+01,5.646988494e+00,2.130318357e+01,4.240480228e+01,8.243933615e+01,5.103225757e+00
4.173229879e+01,1.955835970e+01,7.290763390e+01,3.042229192e+01,1.767050113e+01,1.363049805e+01,6.826358121e+01,1.090000239e+01,6.493393253e+01,7.387602999e+01,2.610179128e+01,7.880332944e+01,2.826092589e+01,6.591934306e+01,8.338850853e+01,7.337064916e+00,6.043444625e+00,2.782607128e+01,6.499145719e+00,3.857509176e+01,3.093150168e+01,9.531046228e+00,3.382030136e+00,2.453963500e+01,8.063530621e+01,5.928343691e+01
8.492547952e+01,5.183418833e+01,4.236141783e+01,6.579681570e+01,9.544676872e+01,7.463417680e+01,6.090101012e+01,6.786806526e+00,3.223680281e+01,7.691118787e+01,3.778250422e+01,7.738352586e+00,4.144531206e+01,2.178982441e+01,3.279647182e+01,2.736191310e+01,5.025365501e+01,7.378044910e+01,8.515182009e+01,8.061163899e+01,1.994964916e+01,8.305817389e+01,5.542402999e+01,5.562235409e+01,7.754042249e+00,5.912480869e+01
8.771288728e+01,2.922569401e+01,6.810878440e+01,2.714069376e+00,6.146916078e+01,2.133984285e+01,8.547003674e+01,5.472022267e+01,4.327915481e+01,8.645529952e+01,4.101120793e+01,2.609557957e+01,1.519186717e+00,8.944069743e+01,4.379818808e+01,2.311941707e+01,9.229114522e+01,1.046069557e+01,5.690296044e+01,3.938696539e+00,1.417148991e+00,6.060442461e+01,7.237337136e+01,1.575898640e+00,2.174042710e+01,8.330908772e+00
7.447100145e+01,4.210398351e+01,4.155646785e+01,4.836251986e+01,4.964860165e+01,4.640074360e+01,9.261776330e+01,8.651322371e+01,7.209642868e+01,6.099044692e+01,4.241948596e+01,9.751886634e+01,5.312837276e+01,7.026444042e+01,3.883132088e+01,9.591309669e+01,7.918403209e+01,2.518250517e+01,6.967427851e+01,1.504694579e+01,5.593850577e+01,5.965774818e+01,2.998002606e+01,7.120835177e+01,1.658549926e+01,7.928057435e+00
3.790101357e+01,3.277983672e-02,3.505345293e+01,3.895200250e+01,9.797991379e+01,4.650821446e+01,3.810278324e+00,1.470686536e+01,1.693437706e+01,8.415795734e+01,6.831485188e+01,2.909697790e+01,6.695930883e+00,4.958448229e+01,5.625149484e+01,3.993910908e+01,7.456220775e+01,6.673689930e+01,5.231293056e+01,1.402765557e+01,9.226336021e+01,4.380113332e+01,2.525757846e+01,9.527577335e+01,1.987086787e+01,7.772264554e+01
5.163716408e+01,8.289864366e+01,6.857319601e+00,7.214775855e+01,6.000820939e+01,4.546724896e+01,9.737800861e+00,8.586517741e+01,4.442768562e+01,9.869232879e+01,8.101271776e+01,8.200863897e+01,7.346131190e+01,9.678567852e+01,3.211920704e+01,5.088694393e+01,9.332608231e+01,7.059723202e+01,9.477091539e+01,4.480217900e+01,3.720266993e+01,3.219821488e+01,4.735493071e+00,2.704642469e+01,2.915924816e+01,4.435834623e+01
3.407286229e+01,7.645797935e+01,6.078860577e+01,7.698371271e+01,4.713936381e+01,3.035169668e+01,2.897697407e+01,1.807237373e+01,6.609150971e+01,2.724468377e+01,9.376252062e+01,7.048878645e+01,8.396237570e+01,1.500723702e+01,4.462158010e+00,9.329172913e+01,7.284169803e+01,2.533389611e+01,3.320682354e+01,6.748317812e+01,3.179300048e+01,1.396313141e+01,7.721673525e+01,2.081609098e+00,4.044098733e+01,6.638937748e+01
8.582593023e+00,6.101805465e+01,2.495483234e+01,5.274840241e+00,6.822008956e+01,5.933854312e+01,4.486950107e+01,4.319381447e+01,1.377536599e+01,1.240789943e+01,1.579897679e+01,8.960618056e+01,2.653706010e+00,1.645560747e+01,1.162899742e+01,2.516776919e+01,4.946343995e+00,6.912710698e+01,6.982671942e+01,4.150841345e+01,7.453586563e+00,1.938151389e+01,4.443608145e+01,7.381621970e+01,5.472019630e+01,1.145592993e-01
1.510732233e+01,5.221793042e+01,1.031105070e+01,2.903124697e+01,5.468841778e+01,4.360104487e+01,8.752200713e+01,4.990177123e+01,9.295170442e+01,8.787237325e+01,6.005302296e+01,7.516377002e+01,1.003367584e+01,9.473898997e+01,4.445002216e+01,9.672334154e+01,1.727167264e+01,9.426961029e+01,6.878819994e+01,3.255320433e+01,4.074783401e+01,5.078699161e+01,6.360575545e+01,1.759718604e+01,3.350173234e+01,4.319537603e+01
5.345325163e-01,9.260424168e+01,2.133322311e+01,1.575755032e+01,7.730689544e+01,1.350383820e+01,3.503818277e+01,5.783825208e+01,8.827474778e+01,5.747855997e+01,7.860312901e+01,3.976039263e+01,1.649334452e+01,7.484498042e+01,6.546195546e+01,9.011797165e+01,6.221836960e+01,6.464675559e+01,2.369724432e+01,6.210602611e+00,4.307526250e+01,3.178933125e+01,2.210917759e+01,2.539216004e+01,9.971886090e+01,5.757660165e+01
2.227808792e+01,7.712977489e+01,9.377950565e+01,2.649023872e+00,6.887991986e+01,3.373364800e+01,9.991358544e+01,3.332756964e+01,8.009579088e+00,1.658535391e+01,4.412321440e+01,1.864653820e+01,2.329392357e+00,4.926058083e+01,5.418987756e+01,6.942279032e+01,8.510062012e+01,3.389173681e+01,6.988589415e+00,4.541790687e+01,6.761188760e+01,9.942855514e+01,7.888714085e+01,1.374356401e+01,2.582588457e+01,1.036742395e+01
