v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65
7.755839408e+01,4.802722377e+01,9.066614860e+01,8.361148222e+01,2.249714141e+01,4.532658730e+01,6.650215452e+00,4.067985671e+01,3.338478069e+01,6.506932238e+01,2.976038111e+01,5.265133573e+01,3.532004365e+01,4.744073605e+00,2.561200576e+01,3.284051607e+01,2.956732194e+01,2.329380902e+01,1.505172068e+01,8.095036491e+01,1.369186574e+01,2.598103010e+01,7.193731299e+01,8.675025771e+01,9.350938785e+01,6.413620449e+01,7.522418206e+01,9.028574494e+01,2.674895772e+01,9.371740945e+01,1.659963777e+00,8.437467108e+01,6.495280829e+00,8.455797943e+01,1.453364520e+01,5.847512087e+01,5.680306674e+01,6.007750434e+01,1.447283084e+01,7.692936059e+01,7.402793944e+00,4.098547798e+01,2.104250571e+01,8.578536979e+01,7.609198636e+01,2.083255115e+01,7.050080705e+01,6.114223101e+01,5.613233882e+01,6.196007815e+01,2.535075808e+01,6.544200279e+01,8.679013649e+01,7.861471404e+01,1.954791778e+01,3.744034551e+01,7.468235116e+01,9.417963489e+00,2.767650601e+01,6.304568408e+01,3.241248508e+01,6.318449029e+01,8.457692568e+01,1.043271503e+01,2.863344150e+00
1.539780850e+01,3.986133362e+01,7.317298719e+01,2.953307992e+01,2.782444273e+01,5.640510279e+01,6.575383031e+01,7.838547372e+01,1.993130446e+01,3.183233896e+01,1.539904303e+01,9.182396379e+01,4.396060234e+01,9.181202392e+01,1.529775417e+00,7.103185662e+01,3.360907877e+01,8.130075512e+01,7.315301361e+01,3.485606201e+01,7.761348775e+01,4.747083700e+01,2.862522344e+01,3.198235462e+01,2.834959045e+01,2.925808562e+01,2.943217268e+01,4.808378351e+01,6.355066055e+01,9.288837508e+01,5.492596004e+01,9.613827807e+00,6.354741774e+01,7.270918126e+01,1.598651134e+01,1.504132932e+01,1.440894960e+01,8.339843065e+01,6.171950008e+01,2.112687581e+01,1.648951893e+01,8.504241464e+00,1.464526529e+01,9.713032214e+00,8.861552902e+01,4.153662164e+01,8.680850226e+01,5.371758516e+01,2.325891560e+01,2.294110250e+01,4.555532540e+01,3.826460617e+01,9.192790920e+01,2.721323003e+00,2.901210065e+00,1.039639954e+01,1.545189335e+01,9.763523099e+00,5.752173527e+01,1.413248646e+01,4.858083920e+01,6.280562086e+01,3.493647489e+01,3.854915437e+01,2.770761775e+01
3.566408126e+01,8.618330389e+01,5.880153212e+01,8.745094970e+01,6.706915181e+01,4.415431284e+01,2.559498218e+01,7.930137493e+01,8.538307894e+01,6.284284741e+01,1.851739032e+01,2.402813511e+01,4.251329139e+01,4.051883961e+01,6.149497778e+01,7.386733606e+01,9.340748295e+01,2.887446834e+01,8.735096442e+01,2.990377969e+01,9.709209816e+01,3.681415835e+01,6.021716062e+01,6.397547342e+01,1.907273896e+01,8.983276774e+01,1.638363686e+01,3.154779592e+01,3.615499788e+01,8.461581740e+01,2.285475965e+01,9.861777352e+01,7.424450948e+01,9.192585986e+01,9.561199203e+01,2.701702060e+01,2.671762939e+01,8.024302402e+01,8.596490800e+01,7.045486111e+01,5.139899432e+01,9.362687168e+01,9.700654810e+01,1.110149111e+01,8.984687191e+01,3.656855019e+01,5.114070100e+01,7.250536116e+01,9.845318387e+01,8.029533730e+00,7.738363422e+00,1.429780585e+01,4.167470738e+01,9.807592860e+01,2.843592466e+01,5.690593832e+01,3.541952415e+01,7.295842678e+01,2.471777419e+00,2.059345302e+01,3.297922720e+01,3.706760631e+01,5.160125258e+01,4.583198248e+01,3.047640923e+01
7.809301741e+01,8.401941146e+01,3.301123458e+01,6.223155541e+01,8.403907248e+00,3.653249301e+01,6.560843692e+01,5.518837882e+01,6.367203375e+01,9.636743908e+01,6.334310000e+00,5.885561456e+01,2.853803722e+01,5.568304406e+01,5.909661413e+01,9.035950552e+00,5.580366186e+00,5.675857844e+01,7.384129522e+01,2.109128703e+01,1.615866569e+01,6.971118690e+01,5.341557557e+00,2.818589793e+01,5.550517820e+01,2.725182717e+01,3.214378772e+01,8.684658463e+01,5.893270428e+01,1.061567892e+01,2.784850449e+01,2.079379736e+01,5.752329964e+01,2.180590848e+01,3.303927623e+01,5.370222027e+00,1.201462671e+01,5.818859572e+01,4.717504038e+01,4.550231825e+01,6.685205776e+01,3.217986543e+01,6.781232865e+01,6.657282237e+01,5.885109468e+01,2.944409569e+01,7.468042988e+01,5.408214519e+01,2.182505975e+01,7.866136937e+01,8.430390423e+01,6.318172185e+01,3.614134240e+01,9.349403361e+00,3.795680526e+01,8.940955498e+01,6.799678919e+01,6.377960272e+01,1.103869360e+01,3.950458414e+00,3.978916364e+00,5.754370140e+01,4.158287713e+01,2.976699938e+01,3.571888592e+01
2.944973668e+01,4.595475236e+01,4.372008018e+01,2.284900774e+01,2.669523264e+01,6.370849579e+01,5.518584235e+00,8.851896675e+00,6.235284668e+01,9.012968531e+01,2.700984911e+01,7.799445855e+01,4.511580067e+01,3.161584314e+01,9.702607262e+00,2.830297008e+01,7.365285196e+01,3.787944169e+01,6.351696997e+01,7.734216562e+01,1.242600603e+00,5.663221752e+01,2.221038115e+01,9.534174258e+01,8.774424834e+01,4.393461586e+01,4.376517224e+01,7.081308640e+01,5.701614176e-01,1.405163473e+00,5.423843617e+01,2.091136318e+01,9.161897930e+01,1.725530570e+01,7.604234355e+01,8.648205415e+01,5.409437540e+01,8.684206881e+01,7.191484891e+01,7.471867515e+01,7.822418429e+01,5.510336823e+01,7.142037942e+01,4.740250878e+01,6.179166788e+01,7.084189046e+01,8.633515864e+00,8.279832234e+01,8.994341606e+01,4.578566986e+01,2.493123568e+01,7.972253799e+01,5.984934310e+01,9.069115289e+01,2.688826506e+01,8.435224655e+01,6.632325226e+01,4.301544026e+01,5.002417113e+01,3.804402276e-01,3.903283475e+01,7.688507495e+01,9.565137521e+01,1.483760589e+00,4.065872627e+01
8.847508283e+01,9.442897892e+00,7.266446319e+01,7.861704297e+01,3.521002831e+01,7.161009389e+01,4.444569200e+01,3.080100132e+01,9.106673386e+01,3.327918434e+01,5.265864992e+01,8.411324837e+01,8.575149827e+01,9.730911235e+01,6.741722948e+01,4.439267302e+01,5.074951444e+01,4.402599648e+01,9.451159989e+00,4.178533320e+01,3.344199468e+01,5.167981320e+01,7.618769034e+01,9.706166266e+01,9.272853411e+01,4.466357159e+01,2.579174900e+01,8.765108530e+01,9.551345626e+01,5.775287758e+01,3.558856432e+01,9.005850704e+00,9.159904835e+01,6.213113164e+01,3.427811165e+01,8.592980883e+01,9.144784400e+01,6.945973254e+01,8.673496394e+01,1.813789359e+01,3.598174581e+00,8.515759692e+01,4.173714418e+01,1.239236919e+01,8.450380345e+01,9.102890270e+01,3.529406144e+01,9.487121541e+01,6.983683035e+01,7.062929693e+01,7.358199845e+01,2.653601448e+01,7.942792542e+01,4.356975782e+01,9.935463980e+00,2.206315984e+01,7.908393450e+01,1.607548989e+00,6.599515072e+01,6.727630596e+01,1.440240503e+01,2.017953737e+01,2.733174667e+01,5.247400133e+01,3.540798502e+01
8.271547148e+01,7.537353573e+01,4.917283096e+01,4.731052814e+01,4.629990704e+01,9.695452266e+01,9.369045665e+01,2.199397803e+01,4.047069688e+01,6.133191006e+01,4.082719413e+01,9.919569564e+01,1.564121454e+01,7.452584622e+01,1.956154795e+01,2.264049634e+01,3.392575253e+01,7.298876178e+01,7.674802487e+01,6.885156301e+01,9.462655520e+01,3.743807763e+01,9.131849226e+01,7.320692145e+01,6.215021397e+01,2.151648503e+01,4.655737458e+01,1.892639391e+00,4.213217417e+01,8.527724762e+01,3.662838809e+00,6.394063095e+01,7.737393157e+01,7.704187865e+01,3.246515964e+01,9.010519963e+01,1.500120791e+00,5.020782154e+00,4.661915363e+01,5.298837669e+01,9.206689158e+01,9.493670963e+01,2.526657243e+01,1.890488363e+01,4.298538379e+01,9.083069302e+01,7.941868500e+01,5.304630558e+01,3.839328147e+01,6.569212126e+01,6.479825966e+01,9.081137821e+00,8.703966700e+01,6.880098166e+01,5.783769992e+01,1.023434887e+01,9.436330912e+01,8.041574202e+01,5.315277834e+01,5.820090738e+00,4.641572984e+01,8.742297213e+01,9.854474591e+01,3.658664685e+01,1.768125033e+01
1.874087165e+01,2.961847089e+01,9.451004549e+00,4.037234787e+01,9.087381273e+01,6.336515464e+01,4.996281005e+01,7.809266388e+01,1.623744648e+01,1.274704644e+01,3.366628773e+01,4.703333088e+01,2.350077918e+01,2.905646915e+01,8.165590845e+01,5.476482277e+01,4.845341902e+01,1.015729444e+01,5.146557543e+01,5.000683198e+01,4.350316801e+01,2.691618573e+01,5.244183108e+01,2.538298298e+01,4.817181249e+01,9.003716376e+01,9.554709893e+01,2.521086871e+01,7.936242831e+01,2.494932459e+01,4.386623243e+01,2.905969968e+01,5.340414355e+01,3.280709680e+01,5.867919371e+01,9.552276614e+01,5.800235195e+01,7.577520702e+01,1.973205629e+01,3.112912605e+01,7.339116133e+01,9.348086461e+01,2.835042334e+01,9.313279425e+01,3.730715509e+01,2.556549567e+01,3.150156331e+01,9.215573894e+01,4.755292460e+01,6.950940752e+01,1.422433739e+01,9.804201744e+01,6.058730511e+01,9.940409665e+01,3.980432907e+01,3.222560398e+00,4.452452841e+01,9.971667064e+01,5.555884606e+01,6.275094523e+00,3.198740305e+01,3.479620572e+01,1.500222650e+01,7.535704764e+01,8.221595935e+01
2.652751270e+01,8.555628262e+01,4.683893583e+01,2.884346859e+01,8.927923992e+01,1.367902547e+01,5.139523009e+01,9.026797026e+01,3.345161900e+01,1.593664883e+01,7.271557909e+01,5.760052902e+01,1.700415685e+01,9.964632657e+01,4.488449118e+01,4.286663266e+01,2.736089971e+01,7.701559524e+01,8.753906137e+01,7.216500260e+01,2.671335094e+01,7.807177331e+01,6.445319414e+01,7.747507579e+01,7.766156652e+01,4.687502117e+01,3.381380351e+01,4.098667054e+00,8.799772721e+01,8.378913540e+00,4.041990513e+01,6.124771972e+01,4.496027181e+01,5.066628150e+01,1.869689668e+01,4.757951931e+01,7.596142988e+01,4.505573784e+00,9.513483486e+00,4.229403181e+01,1.937806922e+00,1.012734720e+01,9.870956602e+01,3.194863677e+01,8.423416433e+01,4.916351079e+01,2.609476914e+01,7.126509273e+00,3.663169820e+01,3.631942427e+01,4.334706842e+01,7.399557486e+01,9.129865676e+01,3.039105496e+01,6.357430783e+01,9.361434199e+01,7.637920255e+01,9.705876123e+01,8.612318294e+01,6.031803127e-01,8.566883636e+01,9.785886271e+01,6.485252235e+00,5.885273576e+01,6.536454736e+01
4.069020474e+00,5.083107755e+01,9.311643118e+01,7.449929441e+01,6.241262395e+01,7.510814024e-02,3.898654966e+01,2.070567357e+01,6.851722436e+01,8.243021741e+01,7.336813096e+01,5.631056295e+00,6.684778643e+01,8.255208349e+01,3.042278230e+01,5.913308416e+01,9.170594198e+01,6.593273567e+01,1.451586826e+01,8.926969541e+01,2.891656834e+01,3.764828580e+00,1.115383980e+01,7.794712654e+01,5.913943561e+01,2.625613935e+01,2.583888116e+01,2.280420053e+01,2.595424155e+01,2.521888216e+01,4.744255157e+01,6.977826936e+00,8.512882412e+01,6.446365264e+01,5.932898619e+01,4.867720993e+01,6.677237443e+01,7.415982377e+01,8.785049788e+01,4.744845409e+00,9.632342944e+01,9.428060717e+01,4.490730302e+01,9.379155517e+01,2.213301931e+01,2.010735595e+01,9.138874073e+00,9.280604669e+01,9.802487692e+00,1.261266870e+01,6.359406720e+01,6.916366713e+01,4.735036664e+01,3.721493711e+01,9.171498359e+00,7.055563405e+01,3.955437996e+01,2.700840106e+01,5.972036717e+01,3.791845232e+01,5.109883076e+01,3.567476425e+01,5.956843380e+01,9.495120378e+01,4.171600244e+01
8.770283273e+01,8.927009843e+01,2.427498248e+01,2.396556694e+01,6.075330237e+01,8.081772219e+01,8.576625328e+01,3.448134893e+01,3.837456012e+00,7.719219431e+00,6.068159770e+01,7.452229929e+01,9.636903702e+01,8.011109702e+01,3.823707321e+01,5.373178045e+01,3.019099796e+00,3.083458533e+01,3.961508482e+01,6.662462941e+01,9.974771832e+01,6.879875116e+01,1.831990181e+01,8.204497558e+01,4.063413037e+01,8.937344090e+01,8.005022349e+01,8.186597642e+01,2.729349912e+01,2.551079192e+01,1.571389053e+01,8.502342997e+01,4.685326102e+01,6.060031947e+01,1.278720152e+01,3.336665286e+00,4.148509714e+01,8.446301438e+01,4.008841972e+01,3.214385844e+01,9.333695772e+01,7.952586908e+01,8.511177675e+01,6.013818141e+01,8.096549705e+01,3.097923581e+01,9.107598858e+01,1.702122456e+01,6.560418817e+01,3.314343886e+01,3.736309588e+01,8.449535772e+01,4.580430809e+01,6.477363757e+01,6.142615336e+01,4.555271111e+01,6.677136340e+01,9.920298761e+01,1.654359621e+01,5.179422745e+01,5.319040365e+00,3.285382621e+01,4.694061232e+01,5.528888174e+01,7.448001178e+00
1.006208084e+01,8.274923650e+00,6.595441843e+01,1.766799898e+01,7.592743401e+01,7.595442191e+01,4.856193444e+01,9.986171529e+00,7.360357001e+01,3.531414128e+01,9.097907477e+01,7.653815749e+01,7.447975982e+01,5.218149053e+00,9.841451639e+01,8.645253550e+01,5.714964163e+01,7.792482908e+01,1.907923203e+01,7.464981752e+00,4.422049919e+01,8.948643076e+00,2.094300884e+01,9.081700297e+00,8.621132582e+01,4.028249346e+01,8.054756826e+01,2.536342579e+01,6.345558341e+01,3.400929414e+00,6.454869699e+01,2.845137829e+01,9.067872634e+01,6.402351867e+01,8.936477492e+01,9.871047493e+01,2.727272420e+01,6.452953347e+01,5.884599201e+01,4.642924752e-01,2.898644581e+01,1.286070699e+01,2.906908449e+01,2.028793729e+01,9.709392461e+01,4.285719838e+01,5.902466889e+01,3.322969525e+01,4.415915995e+01,9.264061824e+01,8.892304324e+01,1.462846633e+01,3.613896473e+00,5.628054025e+01,6.254078096e+01,1.140872689e+01,6.567740071e+00,9.574322822e+00,6.193354476e+00,1.764421572e+01,7.717631705e+01,8.245911117e+01,1.911894539e-01,9.984180732e+01,1.263981638e+01
7.834632804e+01,8.542582399e+01,3.062707126e+01,3.096484733e+01,8.663274965e+01,6.973866954e+01,1.538306657e+01,5.154294966e+01,1.671114796e+01,2.676104401e+01,6.632079432e+01,9.928236011e+01,9.190963106e+01,5.765349736e+01,5.149289047e+01,2.775540146e+01,1.983687395e+01,9.781867294e+01,6.106013742e+00,6.285361119e+00,1.560877898e+01,9.332056769e+01,3.521033012e+01,2.849144920e+01,1.181405567e+01,7.271615493e+01,5.241383297e+01,8.210447784e+01,5.877317219e+01,9.204318546e+01,9.120705470e+01,3.584005207e+01,5.888718778e+01,9.780970703e+01,7.112972589e+01,8.774553998e+01,5.080399103e+01,7.392921174e+01,4.473284784e+01,2.220335577e+01,3.886388107e+01,2.755303831e+01,7.408397120e+01,6.505179149e+01,8.992726703e+01,4.069401274e+01,2.036548519e+01,4.244090425e+00,7.808561033e+01,6.061180190e+00,1.251689522e+01,1.453433776e+01,7.424107473e+01,9.499049186e+01,9.863825607e+01,4.964860506e+01,9.680988058e+01,6.215786977e+01,4.977802248e+01,8.757996786e+01,6.787884393e+01,7.480618901e+01,3.472709672e+01,4.366392370e+01,5.351813525e+01
