v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21
8.464916629e+01,2.855001737e+01,7.283637309e+01,3.207617083e+01,8.784546033e+01,5.060150408e+01,3.340706102e+01,8.576977113e+01,6.054040836e+01,4.452703541e+01,8.608307751e+01,7.678595258e+01,2.608794375e+01,7.235959210e+01,2.134426424e+01,2.302712058e+01,4.646037786e+01,5.848376363e+00,4.824731298e+01,7.620755105e+01,9.208286083e+01
8.436223136e+01,8.445725242e+01,6.913048539e+01,6.093730751e+00,3.850825674e+01,1.989833220e+01,6.026175301e+01,2.580178784e+01,5.730864823e+01,8.403240789e+01,8.100619713e+01,5.784236242e+00,3.006536071e+01,8.577229346e+01,1.684317550e+01,5.594421055e+01,5.499411124e+01,1.155056550e+01,2.279625873e+01,1.123403910e+01,4.367216825e+01
4.354256567e+01,9.944078345e+01,5.074790808e+01,2.781965176e+01,3.013117482e+01,8.423911701e+01,5.936920977e+01,8.088713537e+00,4.676666651e+01,2.557163562e+01,2.622520048e+01,7.022267108e+01,9.875795871e+01,2.096771000e+01,4.289837167e+01,3.023427351e+01,2.704147002e+01,4.414363542e+01,1.441365137e+01,1.621288605e+01,1.616582325e+01
1.921518593e+01,5.918702340e+01,6.534437259e+01,3.728799382e+01,2.035294246e+01,6.332601881e+01,7.943069679e+01,8.834102728e+01,9.299298154e+00,7.928201493e+01,4.557891452e+01,7.039651182e+01,1.122236837e+01,3.831480871e+01,9.724303163e+01,7.699450258e+01,7.839765798e+01,2.403945150e+01,6.291870153e+01,7.146538748e+01,9.001263772e+01
6.731943455e+01,1.101874493e+01,4.369578889e+01,7.814052157e+01,1.593746513e+01,3.419200782e+01,3.708971633e+01,1.925625467e+01,7.529294335e+00,2.224961635e+01,7.208085049e+01,9.140514717e+01,5.916928153e+01,2.636754024e+00,6.100607525e+00,8.391722162e+01,6.708549777e+01,3.687689952e+01,9.978895609e+01,4.000034612e+01,1.008030280e+01
9.736733309e+01,8.050908618e+01,9.611999217e+01,5.315748824e+01,3.806446701e+01,2.737559222e+01,4.124775135e+01,1.629722877e+01,4.258563369e+01,5.952212745e+01,7.492814082e+01,1.517200405e+01,2.340919600e+01,1.614712366e-01,1.279166668e+01,7.762562235e+01,8.381238886e+01,7.922303780e+01,9.842603674e+01,5.034064154e+01,8.542522971e+01
8.788645879e+01,4.131378154e+01,1.617838645e+01,9.908011956e+00,7.997069877e+01,2.955861719e+00,1.964347850e+01,4.975562866e+01,5.701491991e+01,9.789981099e+01,2.437847983e+00,8.463939492e+01,7.441203004e+00,1.082184162e+01,5.806261345e+01,2.385529286e+01,6.373781588e+01,9.566900296e+01,9.610454629e+01,2.188548036e+01,9.896622463e+01
5.942866474e+01,2.429895637e+01,8.816826910e+01,4.182217738e+01,9.369417821e+01,2.678425988e+01,9.364293316e+00,2.530895613e+01,9.589790448e+01,2.351889758e+01,1.344804281e+01,9.997469906e+00,8.926241457e+01,8.845010463e+01,2.507496691e+01,4.846743347e+01,4.496487711e+01,2.342000753e+01,6.377451903e+01,1.676167864e+01,8.161403302e+01
9.818649125e+01,8.423041750e-01,7.094968936e+01,1.908174710e+01,5.737782024e+01,6.962216945e+01,1.932885042e+01,5.863276733e+01,2.006814355e+01,7.287280878e+01,4.348168786e+01,2.224405938e+01,4.094588517e+01,2.676615779e+01,4.143956370e+01,1.404498344e+01,1.590524214e+01,5.642571459e+01,2.074836379e+01,4.401773618e+01,3.822777112e+01
9.001054440e+01,8.490547766e+00,1.590119243e+01,3.679796411e+01,5.520450466e+01,7.701346938e+01,1.700485480e+01,1.273278835e+01,5.186874560e+00,5.762802063e+01,7.462028013e+01,3.201061094e+01,7.007062755e+01,2.830772835e+01,8.588636747e+01,4.524970417e+01,6.096456725e+01,5.934438272e+01,6.782956237e+01,7.400383136e+01,4.451472463e+01
4.187759563e+01,1.697810834e+01,9.980578329e+01,2.645879868e+01,3.830665608e+01,5.251288962e+01,9.188006806e+00,7.969814847e+01,7.049773777e+01,7.110548773e+01,7.600156484e+01,9.251165592e+01,7.673014582e+01,7.887606634e+01,7.818052818e+01,6.623498027e+01,6.834724557e+01,6.665068623e+01,5.636933259e+01,6.898242590e+01,8.623896073e+01
8.388726582e+01,9.148298951e+01,6.678952936e+01,9.525249474e+01,9.809919793e+01,5.799344098e+01,3.806440972e+01,5.533245484e+01,4.717320601e+01,1.137682671e+01,2.938141646e+00,4.366191975e+01,2.712377699e+01,2.665179587e+01,1.578197713e+01,3.489042342e+01,4.627233625e+01,1.445850771e+01,5.403786964e+01,3.970719976e+01,5.224991388e+01
5.082709537e+01,8.412628275e+01,2.879167104e+00,4.394238019e+00,8.437718206e+01,5.486600310e+01,6.774565872e+01,5.839643923e+00,7.852339575e+01,6.646496367e+01,4.968892166e+01,2.238353008e+01,6.952085500e+01,7.532001883e+01,9.815365743e+01,7.355668691e+00,2.754971660e+01,6.057569745e+01,3.543634364e+01,5.024422294e-01,8.003642770e+01
2.894821792e+01,7.482402605e+00,5.672715580e+00,8.617786985e+01,9.750141451e+00,8.893418023e+01,5.464535219e+01,7.490393410e+01,2.886789633e+01,4.676636635e+01,9.932705372e+01,2.634106061e+01,7.182627168e-01,5.388230896e+01,5.095581712e-01,7.199745772e+01,5.236172987e+00,6.885902721e+01,6.525021439e+01,6.382470530e+01,1.805658738e+01
8.954542293e+01,1.688699309e+00,3.252914541e+01,6.769243503e+01,2.144416106e+01,6.119974102e+01,7.342757562e+00,5.669419399e+01,3.943640931e+01,1.153152238e+01,3.913061915e+01,6.608885734e+01,9.645065748e+01,4.038981475e+01,8.448356391e+01,6.390418477e+01,9.496520331e+00,2.137081840e+01,9.196033204e+00,3.327345480e+01,9.547962814e+01
1.209751754e+01,5.043095658e+01,5.366023331e+00,3.855647391e+01,7.832492769e+01,7.502314278e+01,8.175871795e+00,5.926446994e+01,9.574532029e+01,3.078053270e+01,5.495655738e+01,6.204754652e+01,7.371424886e+01,4.667842993e+01,9.899448385e+01,4.835294229e+01,8.957313521e+01,5.095815214e+01,3.847084501e+01,6.923043103e+01,7.174140932e+01
4.521114377e+01,3.692395654e+01,4.775502400e+01,2.488179804e+01,2.488116369e+01,6.231943914e+01,8.527486783e+01,3.984111198e+01,1.950636452e+01,9.126913521e+01,2.207762395e+01,8.544436614e+00,3.990225356e+01,9.206795329e+01,5.329646702e+01,7.065263387e+01,4.831765726e+01,6.741910278e+01,1.704692840e+01,1.878352016e+01,6.162389646e+00
6.576625517e+01,5.820383606e+01,6.251054455e+01,4.379423511e+01,8.636906117e+01,9.029164716e+01,3.332600444e+00,2.031137431e+01,6.486793559e+01,4.212622440e+01,9.188894343e+01,5.089292538e+01,8.003002228e+01,4.729535260e+01,3.369806375e+01,8.660328275e+01,2.660991041e+01,4.538015714e+01,6.930727934e+01,6.202699894e+01,5.259270413e+00
2.096468437e+01,7.921540681e+01,8.210980542e+01,3.049508843e+01,4.228564618e+01,8.097297930e+01,5.720166137e+01,9.537643965e+01,9.441458554e+01,9.957016563e+01,8.385111754e+01,1.866233418e+01,2.484127619e+01,7.063976875e+01,5.368972375e+01,7.083527746e+01,8.241380150e+01,9.334397274e+01,9.665609639e+01,5.656414867e+01,7.299102021e+01
9.689159684e+01,6.721698608e+01,6.791036140e+01,6.172072314e+01,7.978421683e+01,5.880665006e+01,1.257605925e+01,4.528786498e+01,8.378071105e+01,2.636211148e+01,1.837079649e+01,1.570322115e+01,5.209772044e+01,1.197919667e+01,8.598471953e+01,4.915675264e-01,2.938524650e+00,8.986382673e+01,7.986073493e+01,1.941833083e+01,8.162934248e+00
5.820474540e+01,3.422658506e+00,7.109692443e+01,2.772669282e+01,3.339064095e+01,8.794286215e+01,8.028247281e+01,3.408037460e+01,4.318158124e-01,7.846842301e+01,3.049266781e+01,4.305838892e+01,8.322643640e+01,5.274700138e+00,1.610361789e+00,9.836129608e+00,8.577050553e+00,4.779720758e+00,1.099341035e+00,2.182190254e+00,2.866238059e+01
5.647219055e+01,6.948289422e+01,1.251007918e+01,1.772241259e+01,8.270748269e+01,4.131428235e+01,8.509435668e+01,2.301697362e+01,2.647422147e+01,4.728522608e+01,1.963319370e+01,1.665945221e+01,1.269914391e+01,7.297879434e+01,4.606916466e+01,9.390497159e+00,3.210660837e+01,2.461678882e+01,7.554463671e+01,3.929921660e+01,8.710315828e+01
8.067800137e+01,3.755220443e+01,4.948831039e+01,2.351659457e+01,1.538096852e+01,9.450491196e+00,6.852547882e+01,2.100992245e+01,4.970513125e+01,9.824725971e+01,2.211645265e+00,1.031688527e+01,5.692238321e+01,8.451549067e+01,6.968038790e+01,3.286142056e-01,9.855948612e+01,4.606613942e+01,6.440688179e+01,9.580340025e+01,4.174158642e+01
7.629698174e+01,7.208030822e+01,8.379215098e+01,8.564928874e+00,9.415525884e+01,2.052246462e+01,9.883657272e+01,6.568463135e+01,6.886542316e+01,3.991811199e-01,7.324504382e+01,8.593863768e+01,9.400985781e+01,6.723593432e+01,2.746923343e+01,4.110036129e+01,5.399413157e+01,8.769062440e+00,6.168919042e+01,1.476522198e+01,7.395599776e+01
7.837814511e+01,3.650375646e+00,4.920150724e+01,5.880371613e+01,4.640671639e+01,9.604435084e+01,3.099572924e+01,4.018047511e+00,5.278779640e+01,8.548020266e+01,2.409839910e+01,3.486057260e+01,7.509702280e+01,6.102345391e+01,9.707220766e+00,6.332929183e+01,1.501736709e+01,3.991864677e+01,8.311489808e+01,4.447587274e+01,3.972419655e+01
9.283860904e+00,4.129708505e+01,6.470467950e+00,3.633973205e+01,2.776737576e+01,8.981730230e+01,5.949647586e+01,1.641507762e+00,2.541269405e+01,6.591649994e+01,5.790044228e+01,9.628585237e+01,1.236384640e+01,4.342589663e+01,3.861802090e+01,4.279512697e+01,8.545430391e+01,4.389322478e+01,3.398361573e+01,4.998789544e+01,1.907181071e+01
6.568248366e+01,8.921327110e+01,5.562054096e+01,2.845825609e+01,8.413710906e-01,1.755832382e+01,5.301857364e+01,4.118420502e+01,1.145149004e+01,4.248195757e+01,7.922256890e+01,9.156769467e+01,4.527174583e+00,9.653452110e+01,1.480082618e+01,7.446743219e+01,7.939063848e+00,7.174606014e+01,8.687095994e+01,2.642115272e+01,3.605307156e+01
1.474145126e+01,8.157746858e+01,8.527795033e+01,2.805304147e+01,2.014774966e+01,4.127507746e+01,8.600214455e+01,8.667905376e+01,7.381271107e+01,3.584526537e+01,5.063193702e+01,7.055174972e+01,8.264463759e+01,7.270772163e+01,2.821269317e+01,2.142924972e+01,9.846839800e+00,5.456519455e+01,1.259910839e+01,9.528780393e+01,6.559395344e+01
5.371451290e+01,1.776778818e+01,2.955303729e+01,5.243032726e+01,6.746058622e+01,3.854547696e+01,2.789181474e+01,8.953179402e+01,8.288790866e+01,8.122025949e+01,5.803930258e+01,6.034950550e+01,9.629484173e+01,6.424426845e+01,3.650775079e+01,1.220357495e+01,9.784773053e+01,5.111338651e+00,5.416852558e+01,6.426863034e+01,1.244665615e+01
6.152978575e+01,3.322137803e+01,6.741132067e+01,4.291797925e+01,5.355659389e+00,1.654944314e+00,2.945127084e+01,8.547874679e+01,7.168285411e+01,5.479908639e+01,3.838560094e+01,9.076943840e+01,2.430252266e+01,8.602346256e+01,6.046943463e+01,1.968385488e+01,2.040962213e+01,5.355178545e+01,8.501865100e+01,8.592136222e+01,3.681439958e+01
9.835533069e+01,7.534600006e+01,2.207451153e+01,1.202589511e+00,2.799349327e+01,7.585854213e+01,7.214542430e+01,8.500042694e+01,6.442013400e+01,7.783217468e+01,8.834942525e+01,4.079133815e+01,3.841069926e+01,3.299503759e+01,8.144374876e+01,7.932643170e+01,6.503964910e+01,9.437757736e+01,9.711922882e+01,4.782532740e-01,4.642743450e+01
2.806618161e-01,3.679046764e+01,8.993926529e+01,1.501174671e-01,2.381750548e+01,5.576755423e+01,8.531351187e+01,2.022394725e+00,2.708380569e+01,3.773943488e+01,7.179720349e+01,2.088289901e+01,8.571567250e+01,6.935982242e+01,6.766150260e+01,2.510064837e+01,7.812656205e+01,9.746069217e+00,7.526061455e+01,5.748043972e+01,5.419832745e+01
1.241487702e+01,9.503051479e+00,3.825178495e+01,1.892774873e+01,6.907759022e+00,5.616160428e+01,2.284161163e+01,6.717240860e+01,5.670938679e+00,4.992349045e+01,6.949286075e+01,5.474715922e+01,9.758755341e+01,1.442768698e+00,6.043350390e+00,1.300216144e+01,2.406634354e+01,9.767337610e+01,9.594544769e+01,1.167304168e+01,2.689908532e+01
7.737949368e+01,2.283513085e+01,5.401253011e+01,2.443888688e+01,7.234507073e+01,4.133046251e+00,9.313951441e+01,7.468681155e+01,7.582023398e+01,3.483558782e+01,5.384732227e+01,6.341201306e+01,3.733918150e+01,9.687959957e+01,4.635866538e+01,3.233743161e+00,5.787788141e+01,2.104425094e+01,9.078620821e+01,5.648104623e+01,5.660295091e+01
1.240841809e+00,8.226510914e+01,6.346189226e+01,4.274375685e+01,4.724286878e+01,6.748715920e+01,6.648688902e+01,9.578356097e+01,1.337111503e+01,8.292543526e+01,9.179952516e+01,7.555156984e+01,2.672129015e+01,4.186290167e+01,6.320058332e+01,6.589245510e+01,7.130213898e+01,8.025371365e+01,6.543516596e+01,9.782760421e+01,1.090376723e+01
4.643744379e+01,7.116388293e+01,8.233156737e-01,8.985495287e+01,7.687674123e+01,6.414439021e+01,9.932850968e+01,6.744117852e+01,4.302733065e+01,8.100498959e+01,5.921251359e+01,1.840688075e+01,4.283477342e+01,5.970700971e+01,4.929499850e+01,7.531161841e+01,8.782277747e+00,5.369769677e+01,7.265827699e+01,6.565935946e+01,8.284928532e+01
8.717534597e+01,9.041178262e+01,9.637430102e+01,5.494376088e+01,2.321808268e+01,6.731862563e+01,5.248913846e+01,7.691376431e+01,4.142147031e+01,3.415361234e+01,5.563141900e+01,7.569916863e+01,2.570298107e+01,3.303467422e+00,4.434563955e+01,4.206805129e+01,6.210350937e+00,1.055036023e+01,1.070289344e+01,2.419409435e+01,9.859928413e+01
3.592880845e+01,7.694543167e+01,3.165669003e+01,9.480531623e+01,4.164551833e+00,4.034737269e+01,5.567562006e+01,3.862392520e+01,4.479588772e+01,5.189562041e+01,1.491091165e+01,2.665840846e-02,7.610426736e+01,3.752575648e+01,6.804344921e+01,6.470484423e+00,8.530991258e+01,6.636064853e+01,7.542710648e+01,2.016188626e+01,2.881950369e+01
8.658040217e+01,3.731151138e+01,8.563379506e+01,2.924252985e+01,8.681747216e+01,1.910936695e+01,9.869748692e+00,8.796961136e+01,6.356966602e+01,5.799030154e+01,3.203526657e+01,7.572587802e+01,3.894149773e+01,4.577930479e+01,6.226270399e+01,9.697100345e+01,9.089850359e+01,6.464472098e+01,8.742015905e+01,4.835993208e+01,7.315178890e+01
5.494116370e+01,2.821604027e+01,7.118755994e+00,7.136963403e+01,8.143901134e+00,2.503859119e+01,6.041598993e+01,5.338655161e+01,2.774604243e+01,8.086820673e+01,1.771531292e+01,4.133855553e+01,3.745692044e+01,4.369611064e+01,5.685105998e+01,7.633854809e+01,6.629491260e+01,1.191923744e+01,7.482801587e+01,1.820445319e+01,5.395059419e+01
3.371953809e+01,5.158480925e+01,2.949553867e+01,8.897666079e+01,1.386748080e+01,4.713193430e+01,3.685643522e+01,5.565479061e+01,2.319249174e+01,1.228996175e+01,5.029726426e+01,3.767705438e+01,6.056806564e+00,8.889269375e+01,7.748722692e+01,6.788821222e+01,6.105055827e+01,5.134514531e+01,1.350501300e+01,1.713998992e+01,5.971562013e+01
8.216222975e+00,8.838158366e+00,1.914447261e+01,7.747748184e+00,2.297473576e+01,6.581484447e+01,3.135821655e+01,5.990414065e+01,7.803592274e+01,1.525198221e+01,7.259057145e+01,5.213786610e+01,1.219012589e+01,4.990170299e+01,2.124430201e+01,3.307216519e+01,7.017586820e+01,8.777578880e+01,2.393431268e+01,9.617811050e+01,8.365021481e+01
9.585070926e+01,4.556604598e+00,6.610424333e+01,8.651551327e-01,5.322540506e+01,6.504436506e+01,3.747870247e+01,3.021065148e+00,2.254789041e+01,4.062198832e+01,8.793574203e+01,1.225705750e+01,5.047859460e+01,5.777962514e+01,2.062200331e+01,8.280929950e+01,7.056810803e+01,3.615539648e+01,2.891206007e+01,9.288249933e+01,7.170037080e+00
1.957842654e+01,6.645772779e+01,5.051326292e+01,7.371314229e+01,6.445584571e+01,1.545120975e+01,1.173742816e+01,2.346507710e+01,8.443191467e+01,4.591921390e-01,6.622656958e+01,2.019253297e+01,1.146708489e+01,1.860387799e+01,9.049743520e+01,4.808707633e+01,7.673081179e+01,8.699723046e+01,7.641036702e+01,1.797807367e+01,8.088165464e+01
9.593672376e+01,8.472834450e+01,5.525392521e+01,7.084501471e+01,1.736326136e+01,3.189401851e+01,3.241333239e+00,2.962620040e+01,2.149601967e+01,1.953435208e+01,3.509649592e+01,6.696744610e+00,3.165648507e+01,9.403231949e+01,7.052377053e+01,8.230222178e+00,6.657055061e+01,6.172467863e+01,2.873769412e+01,6.265973203e+01,2.661415701e+01
1.301632324e+01,7.253514989e+01,1.793187352e+01,2.855758305e+01,1.615937214e+01,7.053778368e+01,9.043558328e+01,9.800444796e+01,7.143311343e+01,6.272752317e+01,5.857595279e+01,8.966651438e+01,8.721173873e+01,9.381008781e+01,7.753533860e+01,1.461259848e+01,4.633706616e+01,9.860090518e+01,3.485131658e+01,2.607721916e+01,8.123342642e+01
9.999936448e+01,5.942734181e+01,7.492206792e+01,8.303614967e+01,6.039277945e+01,3.888450050e+01,2.831727718e+01,5.570682164e+00,6.494584206e+01,5.859618901e+01,5.638375187e+01,6.522354303e+01,2.201877217e+01,9.594101344e+01,4.318246848e+00,6.926475982e+01,7.778731188e+01,6.253386964e+01,4.761059962e+00,2.890766198e+01,1.088676141e+01
7.686255694e+01,1.994041675e+01,6.580964127e+01,9.291350931e+01,7.349175664e+01,6.808624421e+01,5.453723943e+01,2.473511450e+01,7.025711513e+00,8.462243900e+00,7.488634604e+01,4.616210113e+01,6.190086284e+01,6.276104699e+01,6.470035817e+01,5.077676202e+01,7.112993921e+01,9.405098608e+01,2.424612712e+00,8.872592711e+01,3.056951013e+01
3.752672291e+01,2.109194213e+01,5.664361284e+01,3.037790916e+01,6.367858430e+01,2.821739691e+01,7.840979293e+01,4.064769272e-01,1.566833709e+01,4.151782177e+01,2.851634163e+01,5.859129307e+00,2.305083280e+01,3.229526475e+01,7.374034598e+01,1.456959667e+01,1.837650470e+00,6.761657183e+01,6.469355329e+01,5.951914245e+01,5.879128513e+01
5.474273727e+01,8.350845855e+01,6.497442653e+01,2.145052547e+01,1.254952340e+01,5.592734274e+01,2.684018053e+01,7.780401305e+01,8.515698358e+01,6.697029760e+00,3.174888639e+01,6.043811679e+00,9.144630642e+01,7.705809931e+00,3.467972592e+01,3.058361461e+01,3.928109074e+01,2.877996361e+01,9.657817654e+01,3.410772157e+00,7.680634748e+00
3.361830378e+01,9.267689288e+01,3.990814257e+01,2.238277356e+01,9.400895001e+01,2.204123678e+01,3.278628916e+01,4.319049433e+01,8.158308855e+01,2.477368903e+00,8.667688490e+01,8.980900742e+01,7.362751355e+01,2.008461897e+01,1.354997698e+00,2.540107606e+01,6.369596315e+01,1.206421455e+01,3.105005748e+01,2.426621002e+01,7.304124651e+00
8.310360615e+01,8.499619132e+01,5.216871616e+00,2.035933432e+01,7.876807592e+01,6.812667085e+01,3.439123316e+01,6.405902074e+01,9.386589185e+01,4.606963203e+01,3.638976066e+01,4.527024127e+01,9.619067904e+01,9.930479032e+01,3.077337274e+01,6.071417880e+01,6.000173503e+01,4.217551923e+01,8.895628434e+01,1.302698177e+01,5.531128504e+01
4.564538717e+01,5.032729340e+01,7.891675639e+01,1.696373664e+01,6.980197641e+01,8.363758460e+01,6.224679437e+00,2.290267427e+01,9.360478900e+01,6.021608573e+01,2.512038373e+01,6.812379278e+01,7.114215645e+01,8.029701044e+01,4.000737734e+01,4.153715279e+01,9.638904665e+01,7.895587852e+01,1.013797326e+01,5.206667775e+00,4.159791639e+01
4.876198298e+01,3.988793790e+01,6.630992738e+01,8.172552014e+00,3.941107437e+01,8.606101628e+00,2.396820163e+01,7.859982128e+01,6.606057141e+01,1.255116204e+01,5.041074750e+01,7.095577104e+01,6.573872676e+01,8.728366504e+01,4.787913551e+01,9.016531924e+01,5.885227366e+01,4.700693004e+01,3.242053071e+01,1.501037319e+01,8.095208682e+01
3.287072237e+00,9.095125775e+00,1.818190751e+01,8.534516333e+01,9.108990942e+01,8.632749749e+01,5.401469764e+01,6.344965825e+01,3.154666026e+01,2.023152797e+01,2.445607478e+01,8.763988998e+01,5.423771553e+01,2.519840146e+01,8.721721635e+01,2.649090179e+01,2.003723449e-01,8.658170503e+01,1.811919471e+01,9.028959653e+01,2.000250731e+01
1.888150465e+01,6.984281759e+01,7.442341728e+01,5.262978703e+01,4.190044829e+01,5.355542617e+01,9.100541430e+01,2.703680753e+01,5.152587307e+01,8.878601890e+01,5.656116255e+01,6.693704220e+01,6.218091193e+01,6.366423902e+01,3.102495824e+01,3.646388148e+01,1.286124960e+01,9.021855302e+01,3.982569612e+01,7.269884445e+01,3.520655349e+01
7.507511556e+01,5.098606147e+01,3.662896221e+01,8.264349894e+01,3.692528659e+01,2.790322720e+01,2.896950824e+01,9.914974971e+01,6.251425359e+01,8.115992730e+01,2.565478484e+00,1.505798109e+00,1.926140946e+01,5.928873011e+01,9.886107924e+01,7.617423525e+01,2.491395639e+01,2.836286686e+01,4.066734044e+01,8.365546193e+01,3.340807559e+01
