v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18
7.588483960e+01,3.276265233e+01,2.581267142e+01,9.099868867e+00,5.168471689e+01,7.045930054e+00,7.653872196e+01,4.453704285e+01,5.251893162e+01,2.510551334e+01,2.242014059e+01,1.002705774e+00,3.427875219e+01,6.496201108e+01,1.531487984e+01,6.590980561e+00,3.503689384e+01,4.986953834e+00
6.973462638e-01,2.964421668e+01,1.363141023e+01,6.756901043e+01,1.790722184e+01,7.661807723e+01,5.601261793e+01,5.003880739e+01,6.237718695e+01,6.865684121e+01,6.926473785e+01,8.228537656e+01,5.829891537e+01,2.410108995e+01,4.427813269e+01,4.592003980e+01,9.760860275e+01,1.413176973e+01
4.996798540e+01,1.159954130e+01,6.339233833e+01,4.965152697e+00,9.420357494e+01,9.003513105e+01,2.787234035e+01,5.702656000e+01,8.541744852e-01,4.357820514e+00,4.414978717e+01,8.545490769e+01,9.430142535e+01,7.068819879e+01,1.425624790e+01,3.387958105e+01,7.969237186e+01,6.662018671e+01
4.594723490e+00,9.632973157e+01,9.204404616e+01,6.021871594e+01,4.141649256e+00,9.303574674e+01,8.947369491e+01,1.161959107e+00,5.011473279e+01,3.102436982e+01,3.783523866e+01,9.679005225e+00,1.148338774e+01,2.838911197e+00,4.017311074e+01,9.226645849e+01,6.270713247e+01,7.167634814e+01
9.725039242e+01,1.855462704e+01,7.449300194e+01,7.876030702e+01,6.521667570e+01,4.894802689e+01,5.150693155e+01,7.931304384e+01,8.517183070e+01,1.234497991e+01,1.611823543e+01,9.178483559e+01,8.660867200e+01,7.567373249e+01,9.392377533e+01,3.158442534e+01,3.266246103e+01,9.428116405e+01
7.544717895e+01,4.417720923e+01,7.854719342e+01,8.853660924e+01,8.913885026e+01,9.628112022e+01,1.007460087e+01,9.968687447e+01,5.523700720e+01,6.490827861e+01,1.201628597e+01,2.584519017e+01,1.696643643e+01,8.622238310e+01,8.007138807e+01,7.147901081e+01,4.855726557e+01,8.229080891e+01
8.710789161e+01,8.968740434e+01,9.619010660e+01,1.582541150e+01,8.900583085e+01,2.339137909e+01,9.388040572e+01,3.020098683e+01,9.111917753e+01,9.711666806e+01,6.190648899e+01,7.128755374e+01,8.106742349e+00,8.228607945e+01,4.248208898e+01,9.963395122e+01,8.740756188e+00,7.768241555e+01
9.897326010e+01,1.970388774e+01,3.890526755e+01,1.543018381e+01,5.183004361e+01,6.734206722e+01,6.966120241e+01,7.737435738e+01,5.846675927e+00,1.472251824e+01,2.196362377e+01,8.215154131e+01,2.464951972e+01,8.776258586e+01,2.086818397e+01,5.009674051e+01,3.514207958e+01,1.320605271e+01
1.918633186e+01,1.251516646e+01,7.258355497e+01,8.559004141e+01,4.738315737e+01,3.633870932e+01,4.215560897e+00,6.196331731e+01,5.711363473e+01,8.191368782e+01,5.635495570e+01,2.698049449e+01,2.625543772e+01,8.230844488e+01,3.801681048e+01,5.399134113e+01,4.284850681e+01,8.937878982e+01
8.488291779e+01,9.250162153e+01,7.394468533e+01,4.460090840e+01,6.982984156e+01,9.249574858e+01,9.482289210e+01,5.587601706e+01,2.266554349e+01,9.343061960e+01,9.602875496e+01,4.619000195e+01,9.635268316e+01,8.295556986e+01,1.464924650e+01,6.591345715e+01,6.329669981e+01,4.670291979e-01
2.458259190e+00,9.001393443e+01,1.442237384e+00,6.657639941e+01,2.356066137e+01,5.784726305e+01,1.870097400e+01,1.561750247e+01,5.053195224e+01,4.501119645e+01,1.241064001e+01,7.750108360e+01,6.337827823e+01,2.848466428e+01,7.204451855e+01,9.296809194e+01,8.973578248e+00,8.297447132e+01
2.137028628e+01,8.624073013e+01,9.213403180e+01,1.626615634e+01,7.043432749e+01,1.988986444e+01,2.662599183e+01,9.896585679e+01,7.245917186e+01,2.158620463e+01,2.024831593e+01,4.357020920e+00,3.647232658e+01,5.761255827e+01,3.711482138e+01,6.103396811e+00,7.395451691e+01,9.544612236e+01
6.620129047e+01,2.356082408e+00,5.084821560e+01,5.664885729e+01,5.057217711e+01,2.663652219e+01,3.055716406e+01,1.098366269e+01,2.484728222e+01,8.619629948e+01,1.127526393e+01,4.313328773e+01,6.275879816e+01,9.543578131e+01,3.003929670e+01,6.712254666e+01,8.191458441e+01,3.411714752e+01
8.568911198e+01,6.783879664e+01,8.000045644e+01,4.278123605e+01,5.933769628e+01,1.459046409e+01,3.104121661e+01,5.959648316e+01,6.803889077e+01,8.268780353e+01,4.692097338e+01,7.793782305e+01,9.317245514e+00,5.787653876e+01,6.499091596e+01,4.354550866e+01,3.892927516e+01,4.881613524e+01
7.233704312e-02,1.100076842e+01,7.140250104e+01,7.257299408e+01,8.478152532e+01,7.298052610e+01,7.912645203e+01,2.235123504e+01,7.508464439e+01,2.995366223e+01,4.200451391e+01,1.098104923e+01,9.942096715e+01,7.502076697e+01,2.559660475e+01,5.108875506e+01,2.273464217e+01,2.400144725e+01
1.393508462e+01,8.780955589e+01,7.773805641e+01,9.047510353e+01,7.529097461e+01,5.450260260e+01,9.293179324e+01,7.665805391e+01,6.557913758e+01,3.622960854e+01,6.601356927e+01,7.906793217e+01,3.035787231e+01,2.839261157e+01,8.364676213e+01,4.881613634e+01,7.009871358e+01,4.508920150e+01
9.878751303e+01,1.139846101e+00,5.424231148e+01,3.676391062e+01,8.693557552e+01,6.388795178e+01,5.723543082e+01,9.601602922e+01,5.392301279e+01,5.430769331e+00,6.348269025e+01,4.780862707e+01,6.893751996e+01,5.141644155e+01,3.041818245e+01,4.295887675e+01,3.494570864e+01,9.258635027e+01
7.984189523e+01,7.210215249e+01,6.259688197e+01,3.718395760e+01,6.694023492e+01,5.184584711e+01,8.751987578e+01,3.236986587e+01,9.709283972e+01,8.119598505e+01,4.535722241e+01,9.988832062e+01,9.290643461e+01,4.421247329e+01,2.495696510e+01,6.226714510e+00,2.154146880e+00,5.669427338e+01
4.454956606e+01,1.730205821e+01,1.162037400e+01,9.699544110e+01,6.875945480e+01,8.835358478e+01,8.867387023e+01,9.722494368e+01,3.181853367e+01,6.476247200e+01,9.949768837e+01,3.201100598e+01,3.542711851e+01,9.952058632e+01,8.105156201e+01,4.026788652e+01,3.318700202e+01,4.167960323e+01
2.446377163e+01,1.453093832e+01,2.455599010e+00,9.316580493e+01,4.525371045e+01,3.795445886e+01,6.377345890e+01,7.833337594e+01,7.645730894e+01,8.318193580e+01,4.613183973e+01,4.566032137e+01,2.226865064e+01,1.314439132e+01,4.097915023e+01,9.848720126e+01,2.757408645e+01,5.322178065e+01
8.646406240e+01,1.331456451e+00,2.045819887e+01,1.966913941e+01,2.519476680e+01,4.469543780e+01,3.798621622e+01,6.589643065e-01,9.013262884e+01,3.010796975e+00,8.078330741e+01,1.006511259e+01,2.817667463e+01,9.700574410e+01,2.588075940e+01,5.755432948e+01,9.237583221e+01,7.693191511e-01
6.904431760e+01,7.624247754e+01,3.003319422e+01,2.470057408e+01,6.339831360e+01,8.251132217e+01,7.776707006e+01,3.163958494e+01,2.711542341e+01,1.888581081e+01,3.113581997e+01,2.174073186e+01,5.374083338e+01,6.013701685e+01,1.456885413e+00,3.815489299e+01,1.778996241e+01,6.928228621e+01
5.277491727e+00,5.171431051e+01,2.603861354e+00,7.730182475e+01,1.533121154e+01,2.350147827e+01,2.981581406e+00,6.573439922e+01,8.036451852e+01,3.715847727e+01,9.850548652e+01,3.513325636e+01,2.347654021e+01,3.419667579e+01,9.429362978e+01,5.242094420e+01,2.852376874e+00,2.420445298e+00
5.190143484e+01,6.720148362e+01,6.358835650e+01,9.613239188e+00,2.403805023e+01,6.342618437e+00,1.607837438e+01,7.397498204e+01,6.678926777e+01,7.699486196e+01,5.184547755e+01,5.249440417e+01,7.293267970e+01,2.068651460e+01,7.807513639e+01,4.243285588e+00,2.950440396e+01,9.479581640e+01
7.601265666e+01,5.161250600e+01,2.105151990e+01,3.608037707e+00,7.570249620e+01,6.560710150e+01,3.347269261e+01,7.716346960e+01,3.748063969e+01,6.956266221e+00,4.027856822e+01,8.058060448e+00,4.078277017e+01,5.855398130e+01,9.252618045e+01,8.821608407e+01,8.018432910e+01,9.055378005e+01
9.486220354e+01,1.448280408e+01,5.631446026e+01,2.882362726e+01,8.380025214e+00,8.218764372e+01,9.880735876e+01,5.304261154e+01,2.908712048e+01,5.960318316e+01,1.186086126e+01,3.909479476e+01,8.597584871e+01,2.005723298e+01,6.225492855e+01,5.386328893e+01,8.643761709e+01,1.010857988e+01
4.142824973e+01,4.509756243e+00,9.006096256e+01,1.843462123e+01,4.761454064e+01,5.604054926e+01,4.789861436e+01,2.622670751e+01,6.092376642e+00,1.808533117e+01,2.160215506e+01,9.698861945e+01,8.414787636e+01,8.159742000e+01,8.213214606e+00,7.894806269e+01,9.495287389e+01,4.715726597e+01
4.188554882e+01,8.193829621e+00,8.393688378e+01,8.876074052e+01,9.614924164e+01,9.076167675e+01,7.523562982e-01,6.398245378e+01,6.187253092e+01,6.393932492e+01,9.522699351e+01,7.475178613e+01,1.724878334e+01,5.650423270e+01,8.615563403e+01,8.524003577e+01,8.511154996e+01,7.400951723e+01
5.545950618e+01,5.992757530e+01,7.498369379e+01,9.954418154e+01,5.284994415e+01,4.543184549e+01,1.651914292e+01,8.971247531e+01,9.025585557e+01,1.872281190e+01,3.625562763e+00,2.397329285e+01,6.687806819e+01,4.837600124e+01,6.661838976e+01,2.536126519e+01,3.094261289e+01,4.970821216e+01
5.518977536e+01,4.969828065e+00,1.549986217e+01,6.327551019e+01,2.388710292e+01,4.969496373e+01,5.549165150e+00,3.588814361e+01,4.678498346e+01,9.015586296e+01,4.066909306e+00,8.359068122e+01,6.134137010e+01,6.110047535e+01,8.597767785e+01,7.422445570e+01,6.364388652e+01,5.962789463e+01
2.737401722e+00,7.483787861e+01,6.043588743e+01,2.449207788e+00,5.149071220e+01,1.308781468e+01,8.323353587e+01,3.395782296e+01,9.501483782e+01,5.487111871e+01,8.955797154e+01,9.457553953e+01,4.509927921e+00,4.745787851e+01,9.671006589e-01,8.025629727e+01,8.681943582e+01,2.995963963e+00
9.330430811e+01,4.791819573e+01,7.513942647e+01,3.539777359e+01,3.218800444e+01,1.173475834e+01,6.003887808e+01,4.541457136e+01,8.394779337e+01,4.091319324e+01,6.537290910e+01,8.503198132e+01,2.309034960e+01,1.227541137e+01,6.613940531e+01,4.762222978e+01,7.810247140e+01,5.885362845e+01
8.522919437e+01,7.178802288e+01,6.643003855e+01,6.261726210e+01,8.522533793e+01,8.052643653e+01,6.831375372e+01,5.439861374e+01,3.958083174e+01,5.286456128e+00,1.556872919e-01,5.523432454e+01,3.260380174e+01,6.293620852e+00,8.071791629e+01,7.641072747e+00,3.937039045e+01,9.811750390e+00
7.684530332e+01,6.214628314e+01,3.039928922e+01,8.469435863e+01,7.636672983e+01,4.950916195e+01,8.038800698e+01,7.136878192e+01,8.643625237e+01,9.635267647e+01,7.495737578e+00,3.461642537e+01,8.731405142e+01,1.603123773e+01,8.889417896e+01,7.534292323e+01,6.510454290e+01,1.710501414e+01
5.685099621e+00,1.463833278e+01,7.745694167e+01,2.997302434e+01,4.364945035e+01,4.824491911e+01,3.540302848e+01,5.644775348e+00,3.528279758e+00,2.857774155e+01,7.378158268e+01,2.688620374e+01,7.866577719e+01,6.917178027e+01,9.026972171e+01,5.761948722e+01,2.384876407e+01,1.732814324e+01
1.446980527e+01,5.664483805e+01,8.512087484e+01,1.559773038e+01,5.773269329e+01,7.527783614e+01,5.908567625e+01,2.215619090e+01,9.941888670e+01,6.736384872e+01,8.047522557e+01,8.935660182e+00,1.480372764e+00,4.141119581e+01,6.980624118e+00,1.555541105e+01,4.184290705e+01,5.939764756e+01
1.222890346e+01,8.794114796e+01,3.400636189e+01,6.619865215e+01,7.020759851e+01,3.196785316e+01,4.608833231e+01,2.782123698e+01,9.277006038e+01,9.234025165e+01,5.315995622e+01,4.914063689e+01,9.561234284e+01,8.748468961e+01,4.987876945e+00,9.814186453e+01,2.148914878e+01,2.279486237e+01
1.195698190e+01,8.047046063e+01,8.994251261e+01,5.305687987e+01,3.097273142e+01,4.027146514e+01,6.184739460e+01,8.777950482e+01,7.368063672e+01,2.966220827e+00,1.643679823e+01,9.953372779e+01,6.584984323e+01,3.794549553e+01,1.666216322e+01,9.519870330e+01,8.925783748e+01,8.182453380e+01
5.465610066e+01,5.959718599e-01,7.070092501e+01,7.959706194e+01,3.711103551e+01,9.317376263e+01,9.226709678e+01,1.429536968e+01,9.993039660e-01,2.370077204e+01,7.271493763e+01,9.687601390e+01,2.489371032e+01,8.976344448e+01,6.773595876e+01,9.540139032e+01,5.538161963e+01,7.966538936e+01
8.255618135e+01,6.279607588e+01,4.101079383e+01,7.636470095e+01,1.569274630e+00,3.445346495e-01,2.677749636e+01,5.714577537e+01,8.213777093e+01,2.492133432e+01,9.395580077e+00,4.509508016e+01,2.256660747e+01,3.963401996e+00,1.481370464e+01,6.300853920e+01,9.840309358e+01,8.528433005e+01
9.928141728e+00,6.084907774e+01,5.647671963e+01,1.913230551e+01,3.352870693e+01,5.024271787e+01,2.028135557e+01,8.799582705e+01,9.663478138e+01,2.318440464e+00,1.863205738e+01,8.336183848e+01,9.141607033e+01,9.735256549e+01,4.430197439e+01,1.266542189e+01,9.894814932e+01,4.205046489e+01
2.953863330e+01,9.553026980e+01,7.547873275e+01,6.197925101e+01,7.036629352e+01,8.124458500e+01,1.564297610e+01,2.718828465e+01,6.532154126e+01,4.974717605e+01,4.368113630e+01,8.514407362e+01,1.667723117e+01,3.319276025e+01,4.914990339e+01,6.554596997e+01,8.189188364e+01,6.298110473e+01
6.781822836e+01,7.584782989e+01,2.792995286e+00,8.206402484e+01,9.742651866e+01,7.881882092e+00,8.370640860e+01,3.288709284e+01,5.154817555e+01,8.147622809e+01,6.423923551e+01,9.519196776e+01,7.899486254e+01,6.792166796e+01,2.845933167e+01,2.855789651e+01,5.934888775e+01,4.740767434e+01
4.852216907e+01,3.649354237e+00,1.470358359e+01,4.548647671e+01,9.690541390e-01,3.173211183e+01,2.232999727e+00,5.097698074e+01,3.487086247e+01,9.064457448e+01,1.819670923e+01,6.978872490e+01,7.687660081e-01,2.189189571e+00,9.761654522e+01,5.644468640e+01,1.721681233e+01,3.608080706e+01
8.331657209e+01,9.482440872e+01,6.950717490e+01,1.461716769e+01,7.535456773e+00,8.389287457e+01,1.080995749e+01,9.842679847e+01,2.223920551e+01,3.544500802e+01,9.513831912e+01,1.474463261e+01,8.369303772e+01,3.336666437e+00,7.107527084e+01,1.560557608e+01,5.592455293e+01,1.635307686e+01
4.023136811e+01,8.479275167e+01,5.518978033e+01,4.267453820e+01,7.781046652e+01,9.537695983e+01,4.572606309e+01,5.385400258e+00,2.907398936e+00,7.679746616e+01,3.792320273e+01,6.053190311e+01,6.658707038e+01,5.524326498e+01,7.929089527e+01,1.215966442e+01,7.552734609e+00,8.244886687e+01
9.406350831e+00,6.242717435e+01,2.267530059e+00,9.039409277e+01,4.577767458e+01,6.883172110e+01,7.992000356e+01,7.258045511e+01,5.724399963e+01,2.739768637e+01,3.372024408e+01,5.450030742e+01,3.723830090e+00,4.307273001e+01,3.977476232e+01,2.895599879e+01,2.191838040e+01,8.304194238e+01
8.604024110e+01,4.939371180e+01,5.838777797e+01,5.034571605e+01,2.816490830e+01,3.970986323e+01,1.528956566e+01,3.758129450e+00,4.019435523e+01,9.406471531e+01,2.046554239e+01,5.572654342e+01,9.115971948e+01,6.365834470e+01,4.271393103e+01,3.586726652e+01,5.261528360e+01,5.555176082e+01
2.562570373e+01,7.931943859e+01,4.170152402e-01,2.514444589e+01,8.860516225e+01,6.477511555e+01,3.734290758e+01,3.779311362e+01,2.695864414e+01,5.879374980e+01,9.423329524e+01,2.839283531e+01,1.287266987e+01,4.901066467e+01,4.064534368e+01,5.466638752e+01,3.627333933e+01,1.753235071e+01
4.514920450e+01,1.561574782e+01,5.309059189e+01,6.030201709e+01,8.177522932e+01,1.701376091e+01,1.424365871e+01,7.012050055e+01,7.690650010e+01,9.252236175e+01,2.909277591e+01,6.323352961e+01,2.830676058e+01,2.785934750e+01,3.265726459e+01,6.215060491e+01,3.965636079e+01,5.438318137e+01
2.386068243e+01,2.309345286e+01,9.486968744e+01,5.912889844e+01,8.813282062e+01,1.927810716e+01,1.769942314e+01,4.237239554e+01,4.634557852e+01,9.600758647e+01,3.232552599e+00,8.721047801e+01,6.444724853e+01,4.951343879e+01,8.993362990e+01,1.931477834e+01,7.254669993e+01,1.720050054e+01
9.038288375e+01,6.807665456e+01,6.943580838e+01,9.368060895e+01,2.373016794e+01,8.950023702e+01,1.175367799e+01,7.454473049e+01,5.201280272e+00,8.575912924e+01,3.848209088e+01,1.859917091e+01,4.879800926e+01,8.354157574e+01,7.441772639e+01,5.212501402e+01,9.320112992e+00,1.274089433e+01
2.549893348e+01,4.258358390e+01,7.642100178e+00,2.188444086e+01,3.005011652e+01,2.286730784e+01,2.565396140e+00,6.659104199e+01,6.131304454e+01,6.388403627e+01,1.889877015e+01,9.712060228e+01,3.671939272e+01,4.589950096e+01,2.314366401e+01,6.259059600e+01,1.620912816e-01,9.295901078e+01
1.635136835e+00,7.195770873e+01,6.080615813e+01,9.484584378e+01,4.450967769e+01,1.473385585e+01,2.227220674e+01,4.959525545e+01,4.396003437e+01,4.069513787e+01,4.396374083e+01,5.261961118e+01,7.858211233e+01,2.857159959e+01,1.192305629e+01,8.485689302e+01,5.389688664e+01,4.753469103e+00
1.409535171e+01,5.231011343e+01,6.680518211e+01,3.768492797e+01,1.583890063e+01,8.679657766e+01,9.687342096e+01,3.154443134e+01,1.577185842e+01,8.510161096e+01,9.787204713e+01,6.964859935e+01,7.642286164e+01,6.303020959e+00,5.354870478e+01,5.568282426e+01,7.791493298e+01,4.558208386e+01
6.966172063e+01,7.752054600e+01,1.840759853e-01,1.333561973e+01,1.361976960e+01,1.250756569e+00,8.838337590e+01,1.500600064e+01,5.976391244e+01,1.033333492e+01,1.902209372e+01,9.774062062e+01,5.393035792e+01,3.187014668e+01,1.330963949e+01,5.274478688e+01,9.785615087e+01,3.468772990e+01
2.462830092e+01,9.792541439e+01,6.782527560e+01,6.914827039e+01,3.684578060e+01,6.867356364e+01,6.050326670e+01,8.934520312e+01,9.745023920e+01,4.200967227e+01,6.449184944e+01,4.540872118e+01,3.519721772e+01,7.792252331e+01,1.860776200e+01,7.952526434e+00,2.770067886e+01,7.662321119e+01
7.779207283e+01,3.968236200e+01,9.294279686e+01,5.904331509e+01,2.888373968e+01,6.069135606e+01,4.085959087e+01,3.636256213e+00,3.867987029e+01,4.657011167e+01,5.522168170e+01,9.187952898e+01,2.212652141e+01,4.251276675e+01,8.720192039e+01,1.656849488e+01,7.505016902e+01,3.696063668e+01
9.205681237e+01,2.075698209e+01,8.720554798e+01,5.451677343e+01,1.672448607e+01,7.616190988e+01,1.341357771e+01,8.703096216e+01,6.064611716e+01,9.869018249e+01,9.313853540e+01,4.160360301e+01,3.385692755e+01,9.421402661e+01,1.041396850e+01,6.344357961e+01,3.049800864e+01,6.770795116e+01
1.091672276e+01,1.063459477e+01,2.495389407e+01,7.650181327e+01,5.075655482e+01,9.547017801e+01,1.046578426e+01,5.905769205e+01,7.635011937e+00,7.078578076e+00,8.585005530e+01,6.339629152e+00,4.163965314e+01,2.917016502e+01,1.999947500e+01,8.126323328e+01,2.088411114e+01,1.344742988e+01
9.888770017e+01,6.283734804e+01,2.516975914e+01,6.153969282e+01,8.340579327e+01,3.801703167e+01,1.010432687e+01,1.796783446e+00,4.987539518e+01,5.548432138e+01,6.272655060e+00,3.322417113e+01,7.321976485e+01,3.713639705e+01,3.050260370e+01,9.575037014e+01,6.965542079e+01,1.451303130e+01
9.536511129e+01,9.652561350e+01,3.597718343e+01,1.727031580e+01,8.393337724e+01,4.591182198e+01,6.498468099e+01,5.154092251e+01,6.321117434e+01,5.383948413e+01,1.490850452e+01,6.938437593e+01,6.114478073e+01,4.283273913e+01,6.472668888e+01,7.161026431e+01,8.051352405e+01,8.902282205e+01
8.264519526e+01,9.864977034e+01,2.968222971e+01,9.571220603e+01,9.657978185e+01,8.922003662e+01,3.195669453e+00,6.768670862e+01,4.526053074e+01,3.352343996e+00,5.942644847e+01,5.857842782e+01,5.685625604e+01,6.274808064e+01,8.173054423e+01,7.027728193e+01,2.369504589e+01,1.847891291e+01
3.240260384e+01,3.732812234e+01,9.384137354e+01,2.811760471e+01,8.189242731e+01,2.799155324e+00,2.175669708e+01,5.504882973e+01,8.475856510e+01,7.437230414e+01,1.440123370e+01,9.698788923e-01,5.307140238e+01,8.314354989e+01,9.239335401e+01,1.292149869e+01,9.665824223e+01,4.383314863e+01
7.924646173e+01,4.953254455e+01,9.357310846e+01,5.889244097e+00,4.505215395e+01,3.696503966e+01,3.414567764e+01,8.453307186e+01,1.337500429e+01,8.450768495e+01,7.414707645e+01,9.885051978e+01,2.693079538e+01,2.014169028e+01,8.137425942e+01,8.299323446e+01,3.646843748e+01,2.779596598e+01
6.032847034e+01,2.196431802e+01,5.205244842e+01,3.957712551e+01,6.860284367e+00,3.717940834e+00,4.739851213e+00,1.241998314e+01,4.968432995e+00,9.831218080e+01,4.704463787e+01,5.890540701e+01,2.358761931e+01,6.149997537e+01,5.549554775e+01,7.618284213e+01,6.596276060e+01,7.170857337e+01
4.013972510e+01,3.512272303e+01,4.203452480e+01,4.997407318e+01,9.684941161e+01,6.712120129e+01,9.976384886e+01,5.057515280e+01,9.051686094e+01,1.743678255e+01,8.871100877e+01,5.498863711e-01,7.248954701e+01,2.552553603e+00,7.577680912e+01,5.029673754e+01,2.796476002e+01,5.761070303e+01
3.927130252e+01,1.208710891e+01,5.978606084e+01,4.582527753e+01,7.969114686e+01,1.693413426e+01,1.063288172e+01,8.545122069e+01,1.967322568e+01,8.280411739e+01,5.299474406e+01,8.326161305e+01,8.926278076e+01,9.480548168e+01,5.713043583e+01,6.672298960e+01,5.314264057e+01,2.692414437e+01
1.621219174e+01,1.378123604e+01,3.024547691e+01,5.472102820e+01,8.413068259e+01,7.197404225e+01,2.265264185e+01,1.711715139e+01,2.966802507e+01,7.650453202e+01,5.404951712e+01,6.419691914e+01,7.124198580e+01,9.124199114e+01,6.695322551e+01,7.555136151e+00,3.690824982e+01,6.822380875e+01
1.787695304e+01,7.675611061e-01,9.819637348e+01,5.808222042e+01,8.980484364e+01,3.601361203e+01,2.580541279e+01,4.287955469e+01,8.190526427e+01,9.279689032e+01,6.419953515e+01,2.957599035e+01,8.157011903e+01,6.983741873e+01,3.426973623e+01,7.790842326e+01,5.980208596e+00,4.931739435e+01
7.224345950e+01,4.668424016e+01,1.619460693e+01,9.635568034e+01,5.094677016e+00,2.501970047e+01,8.454817061e+01,6.299016982e+01,4.907650847e+01,2.055591051e-01,2.559270086e+01,8.860942465e+01,9.133035997e+01,5.041516517e+00,7.718482083e+01,2.239693033e+01,5.329140262e+01,2.245663367e+01
4.833075371e+01,1.074263770e+01,9.331277555e+01,8.880242331e+00,6.355548229e+01,3.671319491e+01,3.683242501e+01,8.752974711e+01,9.210121349e+01,2.767628723e+01,4.434478612e+01,8.319726203e+01,8.851421687e+01,2.100887000e+01,6.514184928e+01,1.807023249e+01,2.893449952e+01,8.482714933e+01
4.720094434e+01,9.363603057e+01,2.722264049e+01,4.525435186e+01,2.509594890e+01,5.005710907e+01,3.979552331e+01,3.666154080e+01,1.722235148e+01,7.644297143e+01,6.466605052e+01,1.077676144e+01,2.183307586e+01,3.251877279e+01,5.378984629e+01,9.174538014e+01,2.058067544e+01,5.260944819e+01
2.043142301e+01,1.315865026e+01,8.534946477e+01,4.765890890e+00,8.073088915e+01,8.248716254e+01,8.849662466e+01,6.683412053e+01,2.158461989e+01,2.885040406e+01,9.352381024e+01,9.861451553e+01,7.114132813e+01,1.252538746e+01,2.360098974e+01,1.525589381e+01,7.737129339e+01,3.180204869e+01
9.229128814e+01,5.583556569e+01,9.690189392e+01,9.544727673e+01,8.855204179e+01,1.969944401e+01,9.769301340e+01,4.182877743e+01,6.704844247e+00,3.043304113e+01,7.601861139e+01,2.228907085e+01,6.698083030e+01,5.022597307e+01,2.705492969e+01,2.442294820e+01,6.349338470e+01,4.451838628e+01
