v1,v2,v3,v4,v5
3.175940291e+01,9.514695221e-01,4.412488409e+01,2.413520709e+01,5.920678636e+01
1.726276629e+01,6.018682597e+01,9.622829961e+01,9.985871191e+01,4.939709382e+01
3.997618655e-01,4.005315727e+01,6.549857528e+01,4.560587896e+01,5.549783200e+01
3.235817698e+01,7.118326859e+01,1.840731585e+01,3.567896232e+01,1.613423194e+01
2.840146925e+01,3.733480456e+01,4.657541265e+01,9.238009437e+01,9.711423236e+01
6.354280598e+01,4.855608399e+01,3.698552092e+01,7.929363321e+01,8.900988405e+01
9.133158655e+01,4.729000235e+01,5.026637659e+01,5.465089463e+01,9.142560686e+01
9.832473233e+01,2.405157940e+01,8.629895916e+01,8.389984968e+00,4.446790662e+01
3.819494305e+01,7.187609929e+01,5.947539447e+01,1.055593761e+01,8.270497876e+01
8.379935184e+01,9.017335649e+01,1.424035488e+01,9.029858446e+00,4.832618638e+01
1.027915762e+01,5.617350801e+01,3.124198839e+01,3.504450629e+01,4.190124880e+01
4.328325632e+01,5.396043322e+01,5.829097759e+01,2.842595038e+01,8.319075774e+01
6.150571397e+01,2.990283712e+01,3.534626248e+01,8.757897282e+01,7.368884948e+01
4.674336807e+01,4.339821475e+00,4.818331156e+01,4.729107983e+01,6.555091876e+01
6.080569816e+01,3.245086734e+01,6.506508468e+00,2.581087341e+00,1.645806456e+01
3.241474008e+01,4.381699005e+01,2.680498302e+01,3.254781420e+01,5.201278599e+01
5.519655907e+01,2.865188826e+01,3.836513185e+01,8.139926955e+01,1.247406687e+01
2.571339357e+01,4.248153811e+01,9.501611957e+01,2.131228135e+00,2.576776166e+01
7.358452697e+01,5.710657189e+01,2.450747142e+01,9.920233672e+01,9.088314129e+01
1.467599154e+01,4.613825494e+01,7.245888798e+01,9.864590535e+01,2.955596822e+01
2.596778953e+01,2.384076828e+01,1.790722422e+01,5.638432461e-01,1.831746440e+01
7.083088720e+01,9.873359166e+01,9.189277480e+01,3.437836292e+01,2.499291194e+01
3.021632490e+01,4.474335261e+01,8.733467192e+01,1.230467955e+01,9.585647246e+01
2.745298268e+01,2.583385887e+01,9.536957880e+01,7.380334179e+01,5.063390572e+01
9.708875964e+01,6.098252301e+01,2.541311317e+01,2.310565435e+00,4.957596011e+01
6.016030120e+01,5.012058631e+01,8.999770254e+01,5.235832345e+01,2.758377954e+01
1.457579718e+01,2.307400854e+01,6.730021913e+01,5.363522572e+01,3.314222658e+01
8.208685350e+01,7.919775545e+01,2.529597723e+01,2.106765214e+01,1.728026289e+01
2.643497853e+01,5.650188401e+01,1.721699699e+01,9.214107848e+01,4.853163711e+01
7.923015680e+01,3.468933478e+01,4.712311242e+01,3.552569757e+01,8.559559868e+01
6.173297099e+01,1.180231893e+00,8.631307446e+01,5.989941319e+01,6.621789460e+01
7.391982889e+01,2.879406194e+01,5.857817750e+01,5.450375557e+01,3.941185186e+01
5.989713642e+01,9.530184330e+00,1.625443800e+01,7.470530067e+01,4.689221990e+01
9.143040036e+01,1.887749244e+01,7.657193405e+01,9.955197550e+01,1.681292933e+01
9.220285529e+01,6.502123200e+00,1.448394934e+01,3.591208900e+01,7.818455762e+01
1.899006448e+01,3.069565037e+01,1.331568729e+01,8.922126226e+01,5.806093308e+01
9.575133769e+01,2.538652581e+01,8.760352679e+01,3.426713703e+01,6.176457023e+01
7.807035868e+01,6.922880887e+00,9.658066679e+01,8.500463426e+01,9.367684994e+01
4.215253914e+01,1.957193072e+01,3.828819253e+01,9.735806869e+01,4.637459671e+01
9.930114900e+00,8.116033231e+00,8.355359872e+01,2.777719954e+01,4.224308588e+01
6.604021714e+01,1.383819435e+01,6.238589412e+01,6.834320942e+01,8.807321311e+01
7.577879874e+01,9.778275354e+01,4.367583603e+00,3.910727520e+01,1.456688194e+01
3.641239418e+01,2.565836757e+01,1.852959090e+01,6.370678313e+01,2.213837376e+01
7.550282634e+01,3.647098880e+00,7.310480167e+01,7.566764181e+01,9.447312050e+01
2.278627023e+01,6.178335627e+01,4.455973543e+01,5.955238000e+01,2.133041197e+01
5.086878756e+01,4.927114710e+01,7.220010230e+01,5.829531897e+01,7.937007994e+01
6.821381225e+01,6.658233858e+01,3.477250815e+01,9.173773166e+01,2.705673284e+00
5.461651348e+01,4.459359051e+01,5.936470830e+01,1.432176585e+01,1.333608029e+01
3.889267690e+01,5.370271659e+01,3.593087122e+01,6.158523036e+01,3.496745345e+01
4.602391503e+01,8.204315871e+01,6.848372937e+01,8.195381038e+01,3.595263407e+01
6.348493753e+01,5.847421089e+01,2.478615903e+01,4.170573438e+01,8.469405310e+01
4.259126788e+01,5.282680162e+00,3.184268877e+01,2.813940621e+01,6.745976380e+01
7.144751493e+01,1.935822141e+01,7.415433251e+01,9.728059706e+01,8.522370041e+01
8.020849626e+01,4.709621320e+01,7.970012463e+01,7.406636595e+01,3.103393428e+01
3.573260812e+01,1.996937533e+01,2.781554822e+01,6.065888418e+01,4.203865466e+01
7.302226513e+01,9.573215740e+01,4.507830563e+01,6.612712259e+01,2.514849532e+01
5.156119405e+01,2.620223005e+01,7.640018811e+01,5.257890047e+01,4.176633738e+01
4.799679632e+01,2.724389052e+01,3.807705895e+01,7.538904649e+00,6.369035099e+01
5.273622827e+01,4.236337163e-01,1.276250973e+01,1.592160224e+01,3.350721131e+01
1.282708547e+01,3.281035442e+01,8.246917316e+01,2.376386065e+01,7.775317759e+01
8.276380853e+01,8.954865834e+01,6.482421572e+01,5.700893824e+00,1.372759982e-01
5.489422845e+01,7.826600091e+00,2.777025293e+01,4.220872154e+01,9.123792126e+01
5.051129535e+01,3.001174407e+01,5.771026521e+01,8.307480094e+01,9.665141831e+01
9.955292328e+01,5.092433784e+00,4.022894879e+01,9.698138687e-01,7.064645188e+01
6.948773206e+01,3.924672715e+01,6.751081445e+00,7.533101597e+01,3.513563299e+01
3.065806041e+01,1.649994990e+01,5.910770037e+01,8.518529070e+01,2.844180578e+01
6.045772849e+01,9.760956977e+01,1.660127897e+00,1.546439746e+01,4.568681102e+01
1.994562182e+01,1.020867064e+01,7.510771728e+01,6.998742703e+01,3.471146405e+01
6.210843993e+01,3.509557205e+01,1.341291279e+01,2.984170017e+01,3.951027717e+00
8.462077537e-01,4.157349638e+01,5.485413184e+01,4.853992315e+01,1.202653264e+01
6.778220628e+01,3.148115784e+00,9.795982348e+01,3.266291565e+01,5.488762387e+01
1.709034606e+01,4.623600523e+01,3.951933751e+01,4.131367064e+01,5.828561188e+01
3.623171464e+01,4.492271636e+01,1.528232975e+01,5.341892913e+01,9.834181193e+01
1.673086688e+01,5.690923573e+01,8.387148157e+00,9.670715751e+01,8.055686427e+00
6.911824257e+01,1.811297131e-01,2.635440068e+01,9.428603438e+01,3.968618114e+01
8.001984320e+01,9.353667182e+01,2.911204139e+01,4.864028867e+01,7.072321059e+01
4.502669677e+01,4.792275291e+01,2.206926730e+01,6.807650337e+01,7.537506099e+01
9.117924710e+01,6.824774491e+01,3.900959954e+01,4.666688493e+01,6.006667876e+01
8.760416572e+01,3.967630456e+01,5.319649633e+01,4.490899043e+00,7.760547957e+01
7.318189512e+01,7.376627429e+01,4.772745180e+01,8.298637169e+01,3.050220337e+01
9.008722050e+01,3.230771685e-01,5.952765334e+01,5.244880535e+00,7.389807681e+01
8.654359412e+01,5.131849742e+01,2.331882209e+01,1.198549368e+00,4.708122832e+01
1.421895644e+01,9.851943912e+01,9.009457028e+01,7.131918607e+01,9.803382439e+01
1.491583681e+01,3.803946171e+01,7.032455071e+01,6.100586662e+01,8.841612899e+01
2.191128218e+01,1.167261187e+01,4.967804138e+01,3.181047558e+01,9.889813744e+00
7.583627293e+01,3.407162872e+01,1.039094822e+01,5.360716101e+00,2.915750233e+01
7.174822300e+01,3.236779329e+01,7.774146097e+01,9.023645787e+01,5.694744081e+01
9.129677512e+01,5.805025307e+01,3.851955794e+01,6.475251959e+01,2.761138459e+01
5.003845836e+01,3.817177033e+00,7.432930881e+00,6.282253897e+01,3.763497582e+01
1.952484629e+01,8.465924896e+01,7.106915365e+01,8.229938039e+00,9.868567737e+01
3.383128506e+01,8.401688571e+01,8.869099624e+01,8.556097015e+01,8.766132765e+01
5.924686477e+01,8.085013940e+01,6.200390120e+01,6.821540380e+01,2.726526815e+01
8.928892005e+01,8.599229800e+01,1.573141200e+00,1.150896050e+01,7.544216166e+01
6.189655629e+01,3.694116282e+01,2.560333248e+01,9.380826490e+01,9.375718309e+01
8.553457191e+01,8.313384865e+01,3.304684708e+01,6.126300285e+01,9.983992511e+01
8.539645841e+01,2.046069332e+01,8.281552464e+01,7.390769561e+01,1.509449545e+01
5.345482779e+01,6.476184202e+01,3.276874546e+01,2.834505151e+01,9.325963120e+01
3.821520550e+01,9.023007637e+01,5.167319972e+01,9.650953826e+01,8.531465059e+01
8.807166767e+01,7.010341838e+01,8.199460788e+01,3.225148474e+01,6.858749697e+01
9.806176016e+01,3.894645351e+01,3.318629348e+01,9.353165306e+01,9.242345530e+01
6.163712564e+01,1.730574866e+01,2.829854379e+01,6.284493692e+00,6.891703660e+01
9.150049680e+01,6.723673936e+01,9.655729248e+00,7.865044522e+01,9.074630841e+01
2.183759291e+01,4.204657402e+01,2.699189165e+01,3.372427934e+01,2.533319542e+01
4.906735229e+01,4.210627944e+00,7.729266200e+01,9.433399972e+01,1.901882052e+01
1.477462875e+00,4.230875936e+01,9.135790482e+00,1.988218753e+00,8.820733903e+01
3.975158326e+00,6.007996891e+01,5.780931994e+01,5.042649913e+01,8.186129573e+01
9.204180588e+01,2.529458367e+01,8.573968309e+01,5.717562177e+01,5.479572840e+00
2.682668908e+01,2.285789073e+01,1.455145562e+01,8.564187114e+01,2.226997069e+01
9.692671096e+01,2.013544727e+01,3.911238807e+00,5.584120535e+00,6.128688184e+01
2.661549886e+01,4.906262975e+01,8.714963701e+01,7.100819231e+01,8.161774266e+01
9.035926769e+01,6.138345493e+01,7.988071660e+01,2.253437663e+01,8.664762258e+01
7.708499205e+01,4.536987354e+01,1.150639705e+01,2.458748438e+01,2.239669486e+01
1.940788436e+01,9.918939539e+00,2.574057902e+01,8.623620523e+01,9.257658833e+01
6.370512519e+01,5.925301781e+00,1.884486595e+01,9.135996018e+01,6.040654985e+01
7.232228018e+01,9.517760363e+01,2.948210699e+01,4.601740362e+01,1.049866952e+01
5.723582461e+01,7.442364412e+01,4.981593439e+01,7.486598693e+01,7.738174571e+01
4.377858366e+01,8.380349021e+01,2.726695635e+01,6.765571187e+01,9.166952470e+01
8.719324894e+01,7.328353442e+00,6.405014849e+01,8.892942731e+00,9.690381226e+01
4.637770866e+01,6.493005875e+01,7.409526488e+01,6.648447619e+01,1.293065339e+01
5.124414387e+01,2.904548502e+01,7.208032736e+01,2.448021585e+01,9.482790761e+01
5.412580976e+01,5.364931323e+01,7.578196097e+01,7.803504571e+01,6.355983961e+01
6.967823159e+01,3.812349016e+01,2.787663678e+00,6.058324021e+01,1.275410569e+01
5.638373362e+01,4.513861906e+01,2.041867198e+01,9.076603922e+01,5.166705562e+01
9.414857266e+01,4.743574882e+01,4.450949843e+00,2.148296668e+01,8.675435624e+00
4.609514679e+00,2.326352493e+01,2.617565887e+01,2.036904068e+01,4.487514980e+00
9.018417720e+01,7.475314931e+01,3.109520315e+01,1.149037975e+01,8.959508292e+01
5.954483655e+01,9.622858444e+01,8.881943807e+01,5.529825741e+01,2.992820300e+01
5.149711273e+01,2.235918232e+00,5.432697852e+01,3.497152882e+00,6.751183984e+01
6.260771245e+01,4.088291296e+00,7.009092467e+00,4.052572538e+01,5.432625051e+01
1.906357858e+01,7.893034804e+01,2.586957270e+01,1.460647186e+01,6.111666863e+01
3.668985159e+01,2.367865253e+01,8.296040021e+01,3.339108412e+01,9.529107863e+01
4.449276424e+01,6.851081027e+01,4.379615172e+01,6.524544695e+01,8.287678963e+01
4.226999351e+01,4.814431239e+01,4.028212415e+00,7.816256853e+01,6.215430855e+01
2.452690299e+01,6.569352299e+01,9.525300034e+01,2.878688046e+01,6.580452331e+01
3.398022352e+01,8.293215428e+01,4.668405387e+00,9.870446516e+01,9.036195866e+01
9.198763834e+01,5.022570041e+01,8.481758655e+01,8.766357543e+01,8.267896333e+01
7.041290176e+01,3.050218330e+01,4.404119166e+01,1.412242536e+01,3.622508531e+01
9.168356176e+01,7.401334554e+01,8.229232707e+01,1.636252174e+01,5.842394677e+01
8.478089971e+01,2.099594200e+01,8.550316546e+01,1.352004528e+01,2.026687505e+01
6.232153747e+01,6.194794265e+01,8.267992426e+01,7.959482680e+01,9.530436287e+01
5.185191586e+01,9.113725738e+01,9.402364759e+01,2.706502727e+01,6.819868131e+01
9.638553857e+01,1.353536658e+01,5.403847443e+01,1.361945862e+01,3.951847445e+01
9.711185279e+01,4.887320879e+01,9.915115927e+01,6.094879696e+01,8.568775243e+01
8.431577317e+01,3.571334210e+01,9.035826094e+01,3.548471053e+01,8.779354522e+01
3.792405467e+01,4.074009924e+01,6.695411840e+01,4.999186057e-01,4.044941257e+01
7.377653110e+01,7.310376811e+01,5.239401308e+01,5.286300201e+01,8.448907701e+01
7.096901941e+00,8.513503932e+01,3.689913537e+01,8.150798195e+00,8.991017097e+00
8.099132247e+01,6.337011554e+01,1.462182188e+00,9.609773080e+01,5.252700828e+01
5.861608708e+01,8.459562404e+01,4.331061405e+01,8.052611394e+01,3.938724170e+01
5.958249096e+00,9.039316986e+01,3.635290748e+01,8.336644350e+01,5.976317364e+01
2.808087663e+01,4.022951186e+01,3.443753859e+01,5.446059497e+01,8.058014547e+01
7.270810818e+01,4.756670657e+01,9.137456571e+01,2.649223559e+01,6.870021284e+01
2.949844894e+01,3.846383614e+01,6.494227808e+01,2.467116857e+01,8.882551704e+01
3.126658989e+01,5.318638481e+01,3.245972813e+01,7.799890889e+01,5.004332981e+01
7.251992065e+01,5.129315543e+01,5.057821449e+01,3.078118019e+01,4.061141860e+01
4.951277544e+01,5.349412094e+01,1.254524352e+01,1.692855448e+01,6.761307055e+01
2.264284543e+01,7.122783537e+01,6.388248650e+00,1.875003986e+01,6.460596447e+01
3.558528644e+01,3.973539437e+01,1.407721360e-01,6.709594095e+01,9.882897409e+01
6.329018343e+01,8.093632590e+01,2.283380625e+01,3.156191429e+01,8.748539969e+01
7.684395678e+01,1.073124712e+01,1.007521187e+00,2.227127490e+01,7.847264771e+01
7.670173071e+01,4.934472317e+01,4.931316196e+01,6.692369028e+01,7.087537390e+01
1.099693172e+01,1.771063121e+01,4.838810972e+01,1.322114344e+01,1.415010408e+01
2.430476601e+01,2.104937962e+01,4.684353775e+01,9.365090446e+01,6.065905353e+00
4.132107897e+00,8.791985808e+01,3.522359671e+01,5.025213071e+00,5.303792245e+00
1.971630052e+01,9.048371154e+01,3.790894486e+01,3.485953571e+01,6.016685317e+01
5.691273010e+00,6.438858966e+01,9.841005014e+01,7.755177196e+01,2.042076569e+01
1.889874321e+01,6.649054584e+01,1.052607612e+01,1.987202678e+01,3.030166583e+01
4.069243654e+01,5.568902468e+01,1.784992553e+01,9.768849656e+01,1.761084800e+01
4.396163916e+01,5.236050059e+01,4.915304319e+01,6.965140187e+01,8.431034314e+01
5.590227440e+01,6.085588201e+01,3.579273620e+01,3.245366405e+01,6.572509198e+01
9.552624035e+01,4.433549583e+01,8.257268584e+01,3.730894068e+01,6.252950034e+00
7.881891696e+01,4.448143926e+01,1.194950454e+01,4.028229450e+01,2.719334047e+01
3.538649317e+01,6.804584368e+01,8.427892455e+01,9.824284491e+01,9.408566935e+01
7.776242030e+01,5.447545951e+01,3.889452745e+01,5.550136588e+01,3.780427729e+01
1.295568639e+01,6.358731935e+01,8.848615211e+01,6.957244268e+01,4.964028901e+01
3.809106250e+01,7.328004400e+01,4.520478734e+01,1.299895896e+01,1.193092276e+01
4.749490839e+01,4.481293930e+01,1.379287752e+01,6.689607710e+01,4.585357778e+01
9.382177337e+00,7.606639307e+01,6.671336343e+01,4.252572929e+01,1.129646190e+01
1.561323171e+01,8.841739808e+01,7.919773608e+01,2.342965909e+01,5.917178187e+01
4.894722396e+01,7.964426156e+01,5.764460252e+01,2.156081105e+01,1.076646435e+01
4.755242778e+01,9.172271091e+01,6.185492437e+01,9.982491684e+00,4.869839507e+01
3.932494521e+01,7.230176021e+01,5.667920218e+01,5.903354911e+01,2.375386776e+01
5.804150042e+01,7.330568638e+01,9.197142257e+01,8.711800567e+01,6.958410272e+01
2.500343973e+01,7.433033718e+00,5.449128476e+01,6.270771053e+01,8.092941053e+01
7.491212053e+00,3.354229305e+01,6.475121341e+01,3.612145351e+01,7.513884913e+01
1.394540171e+01,2.001699109e+01,9.984539539e+00,3.003296320e+01,9.264428388e+01
3.033357776e+01,1.940820668e+00,7.251392205e+01,2.430078716e+01,7.758202884e+00
5.827033463e+01,2.134396636e+01,8.301480388e+01,3.751210205e+01,6.377618733e+01
5.163387344e+00,2.893014009e-01,1.895300586e+01,8.220332826e+01,6.431455396e+01
4.169587849e+01,2.209617852e+01,5.891419463e+00,1.305653232e+01,7.010389821e+01
9.050055456e+01,3.421001357e+01,9.360642910e+00,7.218569758e+01,3.970705647e+01
3.589317968e+01,9.998659275e+01,6.028689436e+01,4.932729152e+00,2.973354661e+01
7.326893084e+01,9.817052875e+01,9.051475002e+01,5.700598695e+01,7.446428782e+01
3.325726396e+01,5.209103092e+01,5.145734790e+01,4.965361218e+01,6.984155978e+01
1.621393390e+01,5.357120164e+01,2.018363926e+01,4.468262416e+01,7.199847669e+01
4.980877982e+01,3.255159275e+01,1.288711559e+01,7.584977850e+01,2.192100140e+01
5.940359607e+01,5.166503655e+01,3.323443131e+01,5.674282617e+01,1.678674113e+00
8.036500529e+01,7.263089554e+01,5.462017911e+00,1.482630529e+01,9.858022569e+01
5.091461258e+01,9.607853347e+01,8.857909699e+01,4.515269123e+01,5.104485396e+00
3.106640608e+01,8.405697186e+00,5.598821496e+01,6.978805205e+01,4.116122032e+01
2.583867839e+01,9.971807194e+01,7.028351253e+01,7.183743292e+01,4.121022297e+01
3.638950315e+01,1.211093095e+01,2.538315501e+01,4.156641483e+01,6.607442325e+01
2.146389687e+01,1.902604689e+01,1.580358648e+01,2.741021560e+01,9.729082070e+01
5.423936981e+01,5.479937555e+01,6.094462650e+01,3.813438161e+01,2.405523695e+01
4.092405291e+01,5.388647587e+01,9.852732596e+01,8.072946839e+00,3.792647966e+01
6.692129319e+00,4.224060433e+01,3.289301366e+01,3.790009216e+01,5.074478793e+01
8.561471745e+01,9.217430567e+01,2.089088978e+01,4.191856359e+01,9.052661870e+01
4.947047242e+01,1.372028016e+01,2.092611811e+01,7.094936344e+01,7.889982419e+01
2.152666815e+01,6.160123719e+01,9.993753824e+01,9.590912491e+01,7.200276996e+01
8.079515342e+01,9.280132866e+01,3.554728863e+00,5.925127579e+01,7.093477939e+00
2.478656928e+01,5.665978180e+01,9.967300743e+01,9.203353701e+01,1.756544347e+01
3.925710809e+01,7.534140550e+01,9.464005421e+01,2.658784553e+01,6.084692219e+01
7.875380693e+01,8.698829330e+01,9.299453012e+01,8.082663420e+01,5.769151314e+01
9.299425401e+00,3.260425601e+01,5.059558620e+00,6.910478593e+01,8.871464228e+01
6.408878993e+01,2.199600449e+01,9.277631362e+01,4.683068014e+01,6.459806360e+01
6.106067033e+01,3.483307121e+01,9.268796351e-02,6.411933739e+01,8.625754296e+01
1.046813247e+01,6.904346575e+01,5.156087129e+01,2.609090139e+01,8.689019803e+01
7.975626262e+01,1.608863042e+01,7.332610375e+01,8.035563863e+01,2.895246255e+00
5.235446357e+01,3.033224321e+00,5.544874655e+01,4.817620627e+01,2.928666217e+01
2.340204256e+01,5.523714618e+00,6.455683538e+01,2.190007862e+01,2.706067111e+01
1.714440582e+01,9.258017977e+01,2.893209942e+01,8.667230646e+01,7.159497849e+01
5.678807472e+01,8.614585243e+01,9.233223956e+00,4.566521097e+00,2.078865975e+01
2.555594239e+01,9.931848604e+01,4.494731532e+01,6.589324816e+01,8.301617505e+00
2.903288411e+01,3.094645452e+01,6.663393147e+01,8.442702795e+01,1.561958805e+01
5.289325923e+01,5.814441137e+00,3.971703055e+01,3.475905755e+01,7.253581150e+01
4.084450669e+01,9.722981778e+01,9.768738540e+01,2.137706811e+01,9.392648728e+01
2.534374684e+01,5.141984794e+01,2.507172822e+01,4.613334125e+01,7.135776846e+01
9.252156720e+01,5.436181466e+01,6.754049404e+01,2.345908014e-01,1.284356331e+01
5.543594090e+01,6.120092302e+01,5.725423563e+01,7.602683903e+01,4.798834850e+01
4.839402488e-01,5.058978726e+01,5.268486476e+01,5.357632560e+01,1.667456488e+01
9.652747191e+01,3.044500023e+01,7.424609167e+01,8.660903249e+00,8.011901642e+01
2.442335986e+01,4.980410973e+01,7.920270020e+01,4.111749562e+01,8.352121425e+01
7.456294800e+01,8.327649499e+01,2.021334923e+01,9.880689210e+01,6.435072728e+00
1.538897439e+00,8.212405531e+01,1.325609245e+01,3.088857324e+01,1.180252713e+01
2.499613595e+01,9.737516613e+00,4.007379492e+01,1.793694898e+01,1.015726396e+01
7.938249030e+01,3.990479367e+01,4.611883411e+01,8.980119251e+01,4.773824435e+01
1.589664743e+01,2.592556616e+01,5.138593911e+01,7.255012692e+01,8.511173027e+01
9.101595576e+01,6.288315308e+01,6.167993200e+00,6.770807578e+01,2.459005425e+01
2.966520645e+01,3.542689585e+01,2.970416434e+01,5.012239622e+01,2.249862245e+01
3.420349518e+01,1.049988398e+01,4.245603757e+01,9.757460883e+01,3.712488438e+01
1.849593497e+01,6.559122596e+01,2.232830132e+01,3.081462087e+00,1.814103408e+01
2.742600904e+00,1.343112484e+01,3.776707815e+01,2.768461114e+01,1.993102391e+01
1.279018956e+00,6.292836993e+01,5.840502552e+01,4.654716704e+01,5.931657282e+01
1.341101680e+01,7.743613248e+00,1.742149206e+00,9.371162940e+01,7.979959024e+01
2.411051574e+01,1.326457773e+01,9.776920156e+00,6.718809646e+01,3.616381512e+01
6.723217156e+01,9.887887176e+01,4.080378833e+01,1.197981963e+01,4.365611564e+01
2.776463571e+01,4.143128827e+01,9.163823833e+01,2.532473981e+01,5.418774427e+01
6.874432032e+01,7.082633035e+01,8.690237326e+00,9.556880494e+01,7.348509917e+01
1.755274389e+01,6.636591117e+01,7.947494642e+01,1.445292100e+00,4.600358081e+01
4.015498018e+01,8.077990724e+01,2.896778106e+00,1.735147432e+01,8.499943921e+01
9.176749362e+01,9.430809600e+01,3.490751041e+01,5.799693692e+01,5.755928803e+01
9.396124770e+01,4.684015640e+01,1.665135983e+01,6.657281456e+01,3.700554154e+01
8.454999105e+01,2.318083231e+01,4.668287023e+01,5.078396769e+01,3.602417385e+01
7.480544248e+01,8.030262373e+00,3.142276679e+01,3.295660088e+01,4.800850341e+01
8.728506324e+01,2.069444842e+01,3.419171031e+01,4.697323669e+01,1.386195740e+01
5.902051085e+01,7.778193300e+01,4.101326236e+01,3.920484899e+01,8.290921483e+01
6.138880262e+01,7.142200417e+01,9.145539357e+01,3.900917027e+01,4.004343874e+01
8.291900534e+01,6.966163482e+01,7.864771446e+01,2.542767097e+01,5.630563560e+01
8.358249755e+01,4.106245551e+01,9.087152274e+01,5.605990943e+01,7.875669831e+01
7.497666533e+01,3.161409537e+01,9.540524660e+01,2.573870406e+01,2.441785196e+01
5.716255230e+01,9.905811004e+01,3.746952188e+01,6.254398961e+01,4.182501450e+01
7.514382338e+01,8.704756154e+01,6.105212573e+01,4.955241637e+01,5.517871216e+01
1.132912650e+01,5.902050936e+01,6.272423366e+01,3.344278521e+01,9.213411913e+01
4.439998992e+00,4.601298920e+01,1.362278673e+01,5.904750387e+00,5.725409138e+01
5.536424288e+01,3.767288708e+01,2.128456385e+01,5.194817483e+01,7.570815264e+01
1.144254427e+01,4.542296931e+01,4.286751444e+01,3.359880281e+01,1.625264141e+01
6.454249321e+01,7.509178914e+01,1.838757031e+01,1.921613370e+01,9.435322333e+01
2.283831099e+01,7.061754245e+01,4.548815981e+01,2.381229514e+01,4.086464908e+00
9.720547097e+01,4.372410576e+01,1.913295652e+01,1.403930614e+01,2.802641375e+01
8.228886953e+01,4.408487525e+01,7.231921720e+01,5.300596424e+01,7.283576607e+01
2.834591437e+01,7.907409988e+01,2.103264885e+01,6.736784507e+01,1.784443260e+01
3.131191075e+01,3.148246784e+01,9.123115537e+01,2.662907212e+01,3.177865065e+01
4.125533846e+01,6.600234665e+01,8.379038647e+01,6.757336795e+01,7.246864788e+01
5.683027227e+01,1.451214767e+01,8.391803126e+01,1.007184802e+01,3.021411055e+01
8.509674323e+01,4.717672899e+01,9.285968981e+01,2.113565054e+01,4.823753312e+01
6.410259454e+01,4.255924241e+01,5.213395541e+00,5.992225982e+01,3.121912785e+01
6.386380245e+01,1.458638916e+00,9.318005689e+01,2.485484294e+01,6.153799260e+00
2.951734389e+01,9.292810000e+01,6.347500115e+01,4.041724025e+01,5.293643873e+01
