v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47
4.622344462e+01,8.503604689e+01,1.244533671e+01,8.957811048e+00,6.555390764e+00,5.627990024e+01,1.505175996e+01,9.237443234e+01,2.459896982e+01,1.080779812e+01,1.912479578e+01,8.450704148e+01,3.758190494e+01,6.904495484e+01,9.562215857e+01,2.737528218e+01,8.390245220e+01,9.768202138e+01,4.998741236e+01,8.410952598e+01,8.892058824e+01,5.359072852e+01,4.733394198e+01,4.167268996e+00,7.611434182e+01,3.265929368e+01,9.988061184e+01,3.221391439e+01,2.238924071e+01,6.327027321e+01,9.833665747e+01,6.199553960e+01,2.700884402e+01,2.696891421e+01,3.180105551e+01,4.633811097e+01,1.113275878e+01,4.555305974e+01,1.309121384e+01,9.269975123e+01,4.045038947e+01,3.459014128e+01,5.371561773e+01,6.573765630e+01,8.436992609e+01,7.710705131e+00,5.214696164e+00
2.814856244e+01,7.108204575e+01,6.793360015e+01,9.037381171e+01,1.533519801e+01,1.528615275e+01,6.069707464e+01,7.224917064e+01,6.948266315e+01,7.802691090e+01,1.167729120e+01,4.252072519e+01,3.749331394e+00,6.726540165e+01,9.219607060e+01,1.250596539e+01,1.973793215e+01,2.836272467e+01,3.071955526e+01,8.717504004e+01,3.716321817e+01,7.790443724e+01,1.958389493e+01,6.753819817e+01,6.240709182e+01,2.883238526e+01,8.471400616e+01,8.376977188e+01,8.220815611e+01,9.338201870e+01,4.097482163e+01,8.829741318e+01,8.066766162e+00,4.126739192e+01,9.078448299e+00,4.438121878e+01,5.556973300e+01,5.517548585e+01,5.384329211e+01,2.809132587e+01,1.711107401e+01,6.316899853e+01,7.469801193e+01,3.203485112e+01,7.486959867e+01,7.547830659e+01,3.509765581e+01
2.722900369e+01,1.140701426e+01,3.950768316e+01,6.027966724e+01,9.014247358e+01,2.449765445e+00,1.047576385e+01,9.472488255e+01,6.075414165e+01,8.205629986e+01,9.170703360e+00,8.480023032e+01,4.864825682e+01,2.270543186e+01,6.603156257e+00,8.081415603e+00,7.243887727e+00,9.487242649e+01,8.538484141e+01,8.071278883e+01,5.847733145e+01,2.352082728e+01,6.493096342e+01,9.834855255e+01,8.567601874e+01,2.570958850e+01,4.324285717e+01,9.289224379e+01,5.226433229e+01,4.483332500e+01,9.110982739e+01,7.010072529e+01,2.881499393e+01,3.468945403e+01,5.743978412e+01,6.140293403e+01,2.713520616e+01,3.641342548e+01,9.994893864e+01,6.063960546e+01,8.091425557e+00,7.136894696e+01,4.638003624e+01,6.584218039e+01,5.372786052e+01,6.009254917e+00,7.638418106e+00
9.110863667e+01,8.759107885e+01,8.439594856e+01,4.805696894e+01,5.696338777e+01,7.015685352e+01,1.680799202e+01,8.587403330e+00,2.689114825e+01,4.078967068e+01,8.005654183e+01,2.458276774e+01,7.698523944e+01,7.788967970e+01,1.932523376e+01,2.957449589e+01,8.332355882e+01,1.944976482e+01,6.363748092e+01,8.100781383e+00,1.468914368e+00,6.467937625e+01,6.363589456e+01,1.184938653e+01,1.553898139e+01,8.803736528e+00,2.109209453e+00,2.737399235e+01,2.989857765e+01,3.486866033e+01,5.812758083e+01,6.884003015e+01,3.132914243e+01,4.089982840e+01,1.470664131e+01,1.924789908e+00,6.920089068e+01,2.349440606e+00,1.534413704e+01,2.820449196e+01,8.965005722e+01,6.138705979e+01,1.706710212e+01,3.999611975e+01,7.490849525e+01,6.557315030e+00,1.096302121e+01
6.569897695e+01,6.588517057e+01,5.328558568e+01,7.286334109e+01,4.814153493e+01,9.271847493e+01,7.842183405e+01,6.269958913e+01,2.383554636e+01,9.707479491e+00,3.341746780e+01,9.899526526e+01,4.728478301e+01,6.803867128e+01,7.135061899e+00,7.545171315e+01,6.319529714e+01,2.984001704e+01,6.588959519e+01,2.897007038e+01,5.098539650e+01,2.598610506e+01,4.703149152e+01,9.800933202e+01,8.022610355e+01,5.774846741e+01,5.673136137e+01,6.220659332e+01,6.955612021e+01,9.020162448e+01,2.843099721e+00,2.711034553e+01,7.816055025e+01,1.032236950e+01,3.442226083e+01,1.221067323e+01,2.519585815e+01,8.439313872e+01,9.644043988e-01,1.800890836e+01,8.214550232e+01,6.747264916e+01,3.732783993e+01,4.252643599e+01,8.243090057e+01,2.248350744e+01,9.086406141e+01
6.073648244e+01,2.665527664e+01,7.987898358e+01,8.995958664e+01,4.974237296e+01,2.014418243e+01,7.180336237e+00,3.935632265e+01,6.887571609e+01,5.382354509e+01,6.080268881e+01,1.945393620e+01,2.068336772e+01,4.940491468e+01,1.181346842e+01,8.987448188e+01,4.207906805e+01,8.985964590e+01,2.350457380e+01,5.290411907e+01,6.259367100e+01,9.156668044e+01,2.298074302e+01,9.902299338e+01,9.047368885e+01,6.028564811e+01,2.398822303e+01,4.067646523e+01,3.552281706e+01,9.039378442e+01,4.918979849e+01,8.666980482e+00,7.185488208e+01,9.818037701e+01,1.723553291e+01,9.928558433e+01,2.545209228e+00,8.687955293e+01,7.590917729e+01,8.409898550e+01,9.074910393e+01,1.168192210e+01,8.844998906e+01,6.230210702e+01,7.114249744e+01,3.743142281e+00,4.651946118e+01
5.161075217e+01,6.784099166e+01,1.513538032e+01,2.933569467e+01,3.457855580e+01,4.437942621e-02,8.446999162e+01,9.658770505e+01,2.113366495e+01,3.544841450e+01,2.552221498e+01,1.515613872e+01,1.382091847e+01,9.802054286e+01,8.326657603e+01,3.680452404e+00,1.999930957e+01,6.227449370e+01,5.049118230e+01,3.506705588e+01,3.054192469e+01,1.443813421e+01,8.450817982e+01,4.612652906e+01,3.622235733e+01,8.271550513e+01,2.051535165e+01,8.156861181e+01,8.094734855e+00,7.884242743e+01,4.852177868e+01,8.379820498e+01,7.948858290e+01,6.129201813e+01,8.687810853e+01,8.910815143e+01,9.065248559e+01,6.201891806e+01,1.607570415e+01,7.262494180e+01,2.542922724e+01,4.726950774e+01,2.307680582e+01,5.261077113e+01,1.870055160e+01,9.028738844e+01,7.851859748e+01
9.430698390e+01,4.819653834e+01,9.262951229e+01,4.975865087e+01,2.404033716e+01,8.397086829e+01,4.372631973e+01,7.809362492e+01,3.705315155e+01,6.360577522e+01,3.628588898e+01,7.062003992e+01,2.489701826e+00,9.701457187e+01,3.976280068e+01,9.336312307e+01,2.553650926e+01,9.267543508e+01,7.093271885e+01,7.416518359e-01,9.296312009e+01,4.845372123e+01,3.689036424e+01,6.683438906e+01,6.655732427e+01,1.399188343e+01,1.264625563e+01,8.318350006e+01,2.828011879e+01,7.313675763e+01,9.426273184e+01,5.064776963e+01,1.248762109e+01,1.769422472e+01,6.205060489e+00,4.623632448e+01,7.240683728e+01,8.329336720e+01,1.558237320e+01,6.420963594e+01,7.470669790e+00,9.678368907e+01,5.351428260e+01,2.454228071e+00,6.641818495e+01,8.917098588e+00,5.635662333e+01
2.048574880e+01,9.579561065e+01,4.655664880e+01,1.687872579e+01,8.090577017e+00,2.178706538e+01,4.445411017e+01,2.817424892e+01,3.123634090e+01,1.488810193e+01,2.096376601e+01,9.735280833e+01,7.992584909e+01,4.818065120e+01,8.043687406e+01,3.417168671e+01,2.222340498e+01,6.433716432e+01,6.014271654e+01,6.928980577e+01,9.893141873e+01,4.531500494e+01,7.350346331e+01,4.768328523e+01,2.677573736e+00,7.367035860e+01,7.570751617e+01,7.687518417e+01,1.728104870e+01,5.705655162e+01,4.013988493e+01,1.882205925e+01,2.775329011e+00,3.851277901e+01,8.294264126e+01,8.529458526e+01,1.783545883e+01,8.725211333e-01,5.251110546e+01,2.109104796e+01,3.357097186e+01,4.438854232e+01,8.323391621e+01,2.732710359e+01,9.336448069e+01,7.222016809e+01,5.247275752e+01
8.660285181e+00,9.164708757e+01,9.038097337e+01,5.309759074e+01,9.989716496e+01,7.029884204e+01,3.044853863e+01,2.198123251e+01,1.945928197e+01,4.737275933e+01,6.913530217e+01,7.723510028e+01,5.469759351e+01,8.890766078e+01,2.812026702e+01,7.020995796e+01,2.619593877e+00,3.032014980e+00,3.636774667e+01,3.267792372e+01,2.006764222e+01,7.641913860e+01,7.851170939e+01,9.367003525e+00,7.840118192e+01,1.090324672e+01,8.574808690e+01,9.217311788e-01,9.532044254e+01,7.628824669e+01,1.636065805e+01,5.773058411e+01,5.349294521e+01,5.018925466e+01,1.390022463e+01,4.030667997e+01,7.983975469e+01,4.052053369e+01,2.744688776e+01,5.303700324e+01,1.064258709e+01,2.303662738e+01,3.945826177e+01,9.080482358e+01,1.638075179e+01,8.693567898e+01,7.030558423e+00
4.507599204e+01,7.196089275e+01,6.744363180e+01,2.643912945e-01,9.623950082e+01,5.837529812e+01,7.864051048e+01,8.108782885e+01,3.453472497e+00,2.471188435e+01,7.564428986e+01,6.206338099e+01,9.692414110e+01,8.691102668e+00,2.684640508e+01,7.733147097e+01,4.137048586e+01,7.943001233e+01,5.583310397e+01,8.150306425e+01,6.171651223e+01,1.617594921e+01,1.232069777e+00,5.423741298e+01,9.296891857e+00,6.550238397e+01,5.227764357e+01,8.234343249e+01,8.581499812e+01,9.290870689e+00,1.305693464e+01,7.691615596e+01,9.600494393e+01,8.208332664e+01,1.191078111e+01,8.284735992e+01,9.844729301e+01,1.898647346e+01,1.171543226e+00,6.546572767e+01,7.885093830e+00,4.714928804e+01,3.745377368e+01,2.344958170e+01,6.661004140e+00,3.019765451e+01,9.450604496e+01
5.939309411e+01,5.213565100e+01,2.740206971e+01,1.034918965e+01,5.356803534e+01,6.774740546e+01,5.986763346e+01,8.310004098e+01,9.934538417e+01,5.995600056e+00,4.978512937e+01,8.500545767e-01,1.500456735e+01,6.358767329e+01,2.123078643e+01,2.256347050e+01,6.891662804e+01,5.340307008e+01,2.741505588e+01,6.306381073e+01,6.978528040e+01,2.563670345e+01,3.153722524e+01,3.466746101e+01,3.709483757e+01,6.442359963e+01,9.086758052e+01,3.960384597e+01,2.793333188e+01,5.154831155e+01,3.841262654e+01,4.747738979e+01,4.410128816e+01,4.537474604e+01,5.784891132e+01,3.162852194e+01,6.747142689e+00,1.916416039e+00,7.807535444e+01,7.927225342e+01,1.174435229e+01,2.917500689e+01,6.376807699e-01,6.006471378e+01,1.285895822e+01,7.488128773e+01,3.517362962e+01
6.295172902e+01,1.889661236e+01,9.857623395e+01,8.339270437e+01,2.858026645e+01,1.120683543e+01,3.734050030e+01,7.148886690e+00,1.452145932e+00,4.797794291e+01,6.170021226e+01,1.574175528e+01,3.611900900e+01,2.755833770e+01,1.455107457e+01,8.559380544e+01,5.519022039e+01,1.170088478e+01,5.487747750e+01,8.780827221e+01,2.705583962e+01,5.348595479e+01,9.200182169e+01,2.207166621e+01,4.411762777e+01,4.046937405e+01,2.167698121e+01,1.036121192e+01,6.755725779e+01,8.519194771e+01,3.318521733e+01,2.501451717e+00,4.295585360e+01,5.868061376e+01,1.124089821e+01,2.403508976e+01,6.765983597e+01,4.821058480e+01,6.455262828e+01,7.248684394e+01,8.245228113e+01,9.335232868e+01,5.714735369e+01,7.287353558e+01,8.738769335e+01,2.499451597e+01,3.259338230e+01
4.556636012e+01,2.789778085e+01,8.367795090e+01,9.196283787e+01,6.394782566e+01,6.272097124e+01,7.763453556e+00,5.626032188e+01,4.954868916e+01,1.257432511e+01,5.718746439e+01,5.554029741e+01,9.911524840e+01,4.091341658e+01,5.020082393e+01,1.526474705e+01,4.066613665e+01,5.664403994e+01,7.563343819e+01,2.812127112e+01,4.577455450e+01,2.065471657e+01,1.134328584e+01,7.125665115e+01,3.051722795e+01,9.289217934e+01,2.797257384e+01,9.163315468e+00,3.123296522e+01,2.865816073e+01,4.048401919e+00,4.980684119e+01,2.044734302e+01,8.704245984e+01,3.784789168e+01,3.290917494e+01,7.733138072e+01,9.744673858e+01,5.729153706e+00,6.701940163e+01,9.553598317e+01,8.156422673e+01,7.622694298e+01,9.163782293e+01,6.337283228e+01,4.114307087e+01,1.652082184e+00
3.354476060e+01,7.007355022e+00,3.231964471e+01,8.656594570e+01,7.395523457e+01,7.968035670e+01,7.263652875e+00,7.840046962e+01,9.240670627e+01,6.705064380e+01,2.111958194e+01,9.455183134e+01,3.283880579e+01,2.004446811e+01,2.993842015e+01,3.604352502e+01,3.314784710e+00,2.338378485e+01,6.091138619e+01,9.124480897e+01,1.173372946e+01,7.551691054e+00,4.199323541e+00,9.549565287e+01,7.522192761e+01,4.323961189e+01,5.159476272e+01,8.079686644e+01,1.177438410e+01,9.720883983e+01,9.578677061e+01,5.487664170e+01,2.691838280e+01,3.422305576e+01,5.578660013e+01,8.388186701e+01,8.088716130e+01,1.440390189e+01,7.641865455e+01,6.104841124e+01,3.690569794e+01,3.276985466e+01,3.198967061e+01,2.412970447e+01,7.012298390e+00,7.494054730e+00,8.031873875e+01
4.564008917e+01,4.216406123e+01,4.306829492e+01,7.316845349e+01,5.774384194e+01,8.654407479e+01,9.660821384e+01,7.425647801e-01,7.631640913e+01,5.972685311e+01,4.775824068e+01,5.316196437e+01,6.381046500e+01,9.861110919e+01,6.954498279e+00,8.143876699e+01,5.006581912e+01,3.613889106e+00,7.755041943e+01,1.223040117e+01,2.228224762e+01,6.040741549e+01,1.875187739e+01,7.407676201e+01,5.120313410e+01,4.438849652e+01,5.315896812e+01,4.912645568e+01,8.993459722e+01,4.641282290e+01,1.328768628e+01,9.569926817e+01,2.385682182e+01,3.156213103e+01,9.562924463e+01,6.472193195e+01,2.454364894e+01,5.048670379e+01,9.398843837e+01,5.336409882e+01,4.524899446e+00,6.929370114e+01,1.622396355e+01,4.343671423e+01,8.281011159e+01,9.237507460e+01,3.233562687e+01
3.820622655e+01,1.639654052e+01,6.734393665e+01,5.653880171e+01,8.136341538e+01,6.658268432e+01,9.304201360e+00,4.782078784e+01,5.239051658e+01,2.760049855e+01,7.663321728e+01,4.541490034e+00,5.936802911e+01,6.787337791e+01,5.070409649e+01,8.083045925e+01,9.636528659e+01,1.231044463e+00,3.061241564e+01,1.702791515e+01,7.297669004e+01,5.856910519e+01,5.343471662e+01,2.069494414e+01,4.673363155e+01,6.884328995e+01,4.147227497e+01,1.302141396e+01,1.426480119e+01,3.841959680e+01,6.299967950e+00,6.518173158e+01,7.694046848e+01,1.881026439e+01,6.251036577e+01,8.844764257e+01,3.608154888e+01,9.069741894e+01,3.131833218e+01,8.000076582e+01,8.170561015e+01,2.685892464e+01,3.601622630e+01,7.613613918e+01,6.549607993e+00,8.845698905e+00,3.436961779e+01
1.418039752e+01,9.280456188e+01,3.227486551e+01,7.067687725e+01,9.845976009e+01,3.132049283e+01,1.437644751e+01,3.897963250e+01,9.421018835e+01,2.481795736e+01,2.349293670e+01,8.312021840e+01,3.221043016e+01,9.654735420e+01,1.246103116e+01,2.450746782e+01,3.775597155e+01,3.506234938e+01,7.723668035e+01,7.684030652e+01,4.720166368e+00,5.127474983e+01,3.023299683e+00,4.807562814e-01,2.950973245e+01,2.635575126e+01,5.922397912e+01,9.213049430e+00,5.966804333e+01,1.097506265e+01,6.115223715e+01,2.548297308e+01,5.188612067e+01,4.357093969e+01,1.604054340e+01,7.648375576e+01,3.194652722e+01,3.050843141e+01,9.040487466e+01,3.322678440e+01,6.606051472e+01,3.869779959e+01,2.443292472e+01,5.297722259e+01,9.999773569e+01,8.006974474e+01,6.439226370e+01
7.528016208e+01,1.623130373e+00,2.975036415e+01,8.351929160e-01,9.529859054e+01,1.191948880e+00,8.093217136e+01,3.513242541e+01,5.112780743e+01,8.447675415e+01,2.845625262e+00,5.105187916e+00,4.494058727e+01,5.578632739e+01,7.316099356e+01,4.303492413e+01,3.510216747e+01,9.836796789e+01,8.726469070e+01,2.150010973e+01,2.734185949e+01,3.289095054e+01,5.219381261e+01,2.870393560e+01,7.884044461e+01,8.284743436e+01,5.088151054e+01,1.055226644e+01,3.800178479e+00,9.076371777e+01,5.995251020e+01,4.702300114e+01,1.728988772e+01,1.571025620e+01,8.834036269e+01,5.141312664e+01,4.795375478e+01,3.309909154e-02,6.123961369e+01,4.928147533e+01,7.795350059e+01,8.806387481e+01,8.056479915e+01,3.360872416e+01,2.273142772e+01,3.226360237e+01,3.483576392e+00
6.018793836e+01,8.954268079e+00,8.473327532e+01,8.353076751e+01,3.046038345e+01,2.996782915e+01,5.419963846e-01,9.101791045e+01,8.067874612e+01,5.190052279e+01,4.624093145e+01,7.887190037e+00,1.929662162e+00,9.268225199e+01,4.950016631e+01,8.123247033e+01,6.558290222e+01,5.563053458e+01,1.493339926e+01,7.026810391e+01,9.439641511e+01,6.941630113e+01,5.110623867e+01,2.181037065e+01,3.041714242e+01,1.773437633e+00,7.365610592e+01,1.155312835e+01,6.921939739e+01,4.360970783e+01,2.592516181e+01,6.190895843e+00,6.281845392e+01,9.861188278e+01,4.517758925e+01,9.533736350e+01,5.396927115e+01,2.227801337e+01,6.949790349e+01,2.311123454e+01,4.363286452e+01,5.548674451e+01,5.236629100e+01,9.288596185e+01,2.156629032e+00,7.035047000e+01,8.611140607e+01
8.512302977e+01,3.819056025e+01,9.964509157e+01,1.925459099e+01,5.177164046e+01,4.036012699e+01,5.507013758e+00,5.208223742e+01,1.157530947e+01,1.310108558e+01,9.049241893e+01,2.373822446e+01,7.259235340e+01,3.690870072e+01,3.884548287e+00,4.414695788e+01,6.719598161e+01,9.447373113e+00,3.897142157e+01,8.355098197e+01,5.009464936e+01,8.338749342e+00,8.933988410e+01,3.602596095e+01,3.071916270e+01,6.170500187e+01,6.554114074e+01,8.780060685e+00,5.669445303e+01,2.603119386e+01,9.792978429e+01,7.405641483e+01,2.180212589e+01,9.805207405e+01,8.198841610e+01,4.743425698e+01,1.024196738e+01,9.129510466e+01,9.763056507e+01,4.638449676e+01,9.046064172e+01,5.730419072e+01,6.297915069e+01,1.502183976e+01,3.734885005e+00,6.465534014e+01,3.608655775e+01
1.804365053e+01,2.120014956e+00,9.046151935e+01,8.950211399e+01,8.107326964e+01,5.589781564e+00,3.644130983e+01,9.033191527e+01,8.026014970e+01,3.130324472e+01,4.828128408e+01,4.076688769e-01,1.251810360e+01,8.123102219e+01,1.010373392e+01,9.207071286e+01,8.685749860e+01,7.844858586e+01,5.024421350e+01,3.575531657e+01,6.297623951e-01,1.135680911e+01,7.155589927e+01,1.173215549e+01,2.412801728e+01,6.873366119e+00,5.899698641e+01,4.501117137e+01,9.822245984e+01,2.628445884e+01,5.504996250e+00,7.764835853e+01,6.576998393e+01,2.467799428e+01,2.973263917e+01,4.050098568e+01,9.293935361e+01,8.342073097e+01,8.827668540e+01,2.543011588e+01,8.140679990e+01,5.636616479e+01,9.338303513e+00,6.379298456e+01,3.161205782e+01,6.179202297e+01,3.092106180e+01
