v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43
5.518823778e+01,1.981686054e+01,6.999847229e+01,1.706668312e+01,7.856162839e+00,1.050927503e+01,9.805405375e+01,5.650030385e+01,1.962560727e+01,5.794229039e+01,5.795555392e+01,7.817974819e+01,2.711172687e+01,1.786523915e+01,3.449411652e+01,6.089521874e+00,4.112998979e+01,2.272239723e+01,9.227153494e+01,4.167898226e+01,1.743367772e+01,3.467348901e+01,5.709788165e+01,7.902106749e+01,8.067601970e+01,9.612125363e+01,3.490307111e+01,3.695904366e+01,1.795633474e+01,3.909211288e+01,2.739199441e+01,4.866987503e+01,4.852461530e+01,3.809068566e+01,1.965457132e+01,6.179672845e+01,2.597731020e+01,9.808365598e+01,7.424233841e+01,1.636861987e+01,3.221996704e+01,3.190401596e+01,7.296345112e+01
5.762497189e+01,6.149982448e+00,2.751208290e+01,1.565498017e+01,5.135741979e+01,7.328368341e+01,4.659405053e+01,2.265922267e+01,5.124234046e+01,7.443323748e+01,8.420135120e+01,2.789480618e+01,4.618570517e+01,4.188534168e+01,9.436123089e+01,6.918702557e+01,6.299239613e+01,7.239332113e+01,2.544279548e+01,7.756247233e+01,3.552689920e+01,4.336829348e+01,5.012136869e+01,2.273609911e+01,1.174771350e+01,7.812870266e+01,1.156673466e+01,1.713570809e+01,9.260695419e+01,9.864307903e+01,5.598687224e+01,9.508354763e+01,8.248713363e+01,9.716610742e+01,4.713087026e+01,5.650440242e+01,8.183642958e+00,2.432577315e+01,1.005667695e+01,6.053330806e+01,1.408168412e+01,3.297280455e+01,7.672379141e+01
7.059618967e+01,4.445380069e+01,2.022221502e+01,1.966469123e+01,4.023555225e+01,2.339399341e+01,8.069982092e+01,5.161249680e+01,2.551098964e+00,2.794427926e+01,7.908016489e+01,2.170374036e+01,3.635588580e+01,5.562956296e+01,5.882494323e+01,8.123359587e+01,8.893343147e+01,3.015002899e+01,6.514188836e+01,4.390831071e+01,6.831677807e+01,6.728586100e+01,1.075028751e+01,2.561646608e+00,6.583869939e-01,7.788351651e+01,6.883890913e+01,5.751506891e+00,8.482655040e+01,9.544498780e+01,1.373410893e+01,5.614155262e+00,8.747879320e+00,7.247996767e+01,3.600126390e+01,6.491660371e+01,4.946558991e+01,3.087389147e+01,3.120406599e+01,9.577552543e+01,9.531355110e+00,7.474361575e+01,5.480788319e+01
1.336411135e+01,8.225415567e+01,6.076679113e+01,5.539826625e+01,1.317697408e+01,5.432809404e+01,2.064838913e+01,9.778027051e+01,9.501406863e+00,6.140021095e+01,6.121659726e+01,1.484829127e+01,8.791745908e+01,3.046866569e+01,1.434918898e+01,6.846385462e+01,2.466250372e+01,4.676469039e+01,3.929695283e+01,2.424216608e+01,4.552961478e+01,7.872896809e+01,9.464904980e+01,2.887214549e+01,2.127810722e+01,6.849571313e+01,7.500816148e+01,2.499547906e+01,6.082644988e+01,1.843724946e+01,6.411805315e+01,8.782959363e+01,8.940789408e+01,3.578203948e+01,9.999445393e+01,5.230187949e+00,9.221575610e+01,4.520950037e+01,9.282163537e+01,4.299077830e+01,5.054983476e+01,1.657513815e+01,8.450153950e+01
7.666927255e+01,8.255851770e-01,2.386318684e+01,8.386206576e+01,9.460107626e+01,5.595220004e+01,9.065254253e+01,4.701110580e+01,7.861903390e+01,5.435487419e+01,6.407255680e+01,8.140327175e+01,7.127686444e+01,9.095661731e-01,6.787965262e+01,7.563960561e+01,6.628018463e+00,6.077691899e+01,6.275847492e+01,4.429121795e+01,8.910454920e+00,7.712217463e+01,2.672904219e+01,2.106532949e+00,3.299936519e+01,8.876852424e+01,8.907697113e+01,5.784335508e+01,7.781722108e+01,3.430383586e+01,2.809373865e+01,3.580868333e+01,2.480187314e+01,9.055304319e+01,8.019095840e+01,1.226224102e+01,4.110493689e+01,8.266702683e+01,1.706967633e+01,6.391911864e+01,2.225741490e+01,9.461965773e+00,6.791509172e+00
2.132653376e+01,6.585116309e+01,2.886709702e+00,7.419133436e+01,5.778659993e+00,5.820096590e+01,2.206757148e+01,4.634314977e+01,3.286912238e+01,7.980149017e+01,6.063510771e+01,5.998122845e+01,6.541129194e+01,6.351705887e+01,7.596994206e+01,4.857254831e+01,4.401974366e+01,6.330111951e+01,3.078173196e+01,2.498471024e+01,1.492294880e+01,4.050819807e+01,4.701990775e+01,1.018693848e+01,8.156917842e+01,5.553589802e+00,4.609645065e+01,4.498470971e+00,6.114386333e+01,3.793692677e+00,2.174624141e+01,6.182018550e+01,9.234570915e+01,8.578870862e+00,7.610611169e+01,4.934879386e+00,4.038024689e+01,8.642603136e+01,3.226116502e+01,1.501617846e+01,6.373744896e+01,1.485636318e+01,8.769507314e+01
9.287801134e+00,7.115256587e+01,8.493535759e+01,7.099460489e+01,9.064971380e+01,6.646284477e+01,7.673316964e+01,5.552407920e+01,8.572606847e+01,6.740396695e+01,2.387657185e+01,3.347709325e+01,1.862711405e+01,3.670628105e+01,9.147821060e+00,1.837282072e+01,5.185727245e+01,7.443241896e+01,4.084517293e+01,6.639053476e+01,8.029799197e+01,4.885782684e+01,4.843145747e+01,4.871991678e+01,2.380997974e+01,9.230952821e+01,9.649582300e+01,1.639974357e-01,1.408702168e+01,8.488400978e+00,7.643564572e-02,6.792990449e+01,5.021905689e+01,6.419798777e+01,5.741820375e+01,2.271314452e+01,2.522257536e+01,5.270597086e+01,8.760105773e+00,8.669936840e+01,1.051450227e+01,6.746537265e+01,4.368394479e+01
7.985906871e+01,6.525936711e+01,8.963846389e+01,2.474070190e+01,3.183749593e+01,9.093833852e+01,1.852215631e+01,7.727231824e+00,2.004843670e+01,8.438114030e+01,6.440448276e+01,6.457993552e+01,1.858842540e+01,5.847853662e+01,5.099433230e+01,8.612862259e+00,9.577987048e+01,7.111643568e+01,6.288048228e+01,6.200387396e+01,8.116360877e+01,3.626490411e+01,2.446999226e+01,3.461677311e+01,1.221583532e+01,4.024864989e+01,9.699148851e+01,3.578227623e+01,1.019923062e+01,1.283234118e+01,2.615051140e+01,2.364371420e+01,3.326610342e+01,8.509637540e-01,4.918652417e+01,4.113438533e+01,4.418094579e+01,7.987631943e+01,5.619566700e+01,4.623869572e+01,8.670583820e+01,9.222548569e+01,8.254377263e+01
6.226958563e+00,9.417932923e+01,1.496299501e+01,6.228121252e+01,4.710405650e+01,5.632968183e+01,5.056635692e+01,7.123466591e+00,3.408664391e+01,7.594785108e+01,3.768613990e+01,6.006765424e+01,6.687334430e+01,1.739946962e+01,9.813093874e+01,1.160220565e+01,5.171994469e+01,8.476894812e+01,8.367637884e+01,7.920988719e+01,8.293561827e+01,5.736523181e+01,5.936812483e+01,7.648030302e+01,4.842119588e+01,4.342297778e+01,5.546511039e+01,7.049448930e+01,8.603206146e+01,5.329071956e-01,7.390460469e+00,5.173522819e+01,3.069358706e+01,5.847422110e+01,4.181157414e+01,6.442917862e+01,4.925434501e+01,9.796299372e+01,3.961180305e+01,5.221423708e+01,9.087748309e+01,4.145227901e+01,7.191889003e+01
8.179558563e+01,2.252242630e+01,9.865239345e-01,8.788654837e+01,2.139680094e+01,6.268942635e+01,3.729738917e+01,4.679027106e+01,3.183500672e+01,1.005517713e+01,7.066424942e+01,9.576020771e+01,5.778260285e+01,8.595801983e+01,6.237881733e+01,1.797438553e+01,9.002715297e+01,4.533951264e+01,5.541301827e+01,8.697628380e+01,1.294393641e+00,1.418102553e+00,2.543413688e+01,5.074325145e+01,3.196129733e+01,1.360150886e+01,8.654479977e+01,3.711443516e+01,5.065775487e+01,4.213295611e+00,3.754815321e+01,7.014805374e+01,7.397051267e+01,3.055241066e+00,8.489211149e+01,6.389943739e+01,6.004727653e+01,9.167646071e+01,7.881267908e+01,4.434336584e+01,5.542565301e+00,9.736015971e+01,9.909263713e+01
6.813636923e+01,9.071496498e+01,3.623178134e+01,1.112257833e+01,4.060826953e+01,9.671521070e+00,2.682569846e+01,1.218882884e+01,8.120066523e+01,5.931933495e+01,2.885293167e+01,7.322212723e+01,5.842285063e+01,9.408432416e+01,3.749252876e+00,1.105064427e+01,9.977099135e+01,3.548012561e+01,5.884385012e+01,9.535401462e+01,1.008284641e+01,4.857704973e+01,7.259901114e+01,2.639912700e+01,3.403789534e+01,3.386732940e+00,6.273176477e+01,8.785611992e+00,5.522824147e+01,8.346357284e+01,5.356418845e+01,7.207164627e+01,9.082869585e+01,2.605220103e+01,3.180394711e+01,2.529918375e+01,3.375173205e+00,9.418906355e+01,4.071582957e+01,2.255826544e+01,1.194155258e+01,7.901081738e+01,4.852088962e+01
2.314242161e+01,3.141651509e+01,4.794428762e+01,5.935408946e+01,5.715907953e+01,8.752757747e+00,1.786840208e+00,6.569791205e+01,1.456806469e+01,8.999709839e+01,9.602874093e+01,1.082613180e+01,2.982369588e+01,6.632869139e+01,7.063248697e+01,5.212222937e+01,9.135758006e+01,5.855799934e+01,7.153219010e+01,3.343798729e+01,9.540553799e+00,5.111850763e+01,6.169778551e+01,9.642327906e+01,6.498371327e+01,6.281752721e+00,2.632805492e+00,2.956065487e+01,5.476183987e+01,4.484798768e+01,2.974362235e+01,3.310651522e+01,7.018516324e+01,4.049706593e+01,2.929512289e+01,9.660187838e+01,7.262288480e+01,4.474430982e+01,1.691716227e+01,2.304842944e+01,6.747128064e+01,3.094415970e+01,3.243860787e+01
9.414876993e+01,7.840199822e+01,6.954161641e+01,9.123117035e+01,2.620274305e+01,2.455668699e+01,9.136825350e+01,7.187044187e+01,2.699315786e+01,1.854578663e+01,8.967720183e+01,5.029317058e+01,3.675317029e+01,1.762577543e+01,8.424843472e+01,7.572985259e+01,1.959894078e+01,1.466937328e+01,8.706609976e+01,8.116537969e+01,5.355482574e+00,9.133442433e+01,6.598669463e+01,5.751183319e+00,6.685367319e+01,7.570371374e+00,1.006901089e+01,8.958888871e+01,3.772494305e+01,9.058309778e+01,1.000705636e+01,3.673097441e+01,6.717527010e+01,4.056001455e+01,3.130205162e+01,7.315470560e+01,1.948107942e+01,5.669185950e+01,9.986978442e+01,8.682061168e+01,8.236007793e+01,8.712791897e+01,7.079739256e+01
2.960346032e+00,5.955435254e+01,3.738660036e+01,3.029262512e+01,8.431377426e+01,8.331616109e+01,1.707623361e+01,3.628566107e+01,7.648518855e+01,7.184233823e+01,3.031903199e+01,4.161361302e+01,7.451983138e+01,7.197785265e+01,2.086186670e+01,3.315902556e+01,3.842466672e+01,9.394017718e+01,9.454436893e+00,4.707298895e+01,1.199919683e+01,4.469890296e+01,9.418921313e+01,4.081338340e+01,8.505930469e+01,4.945654799e+00,6.131834733e+01,9.170654833e+01,4.300006420e+01,1.372578401e+01,4.543485090e+01,7.714981436e+01,3.341589217e+01,6.528820727e+01,2.752441524e+01,9.306438432e+01,3.910892791e+01,5.407576726e+01,3.984063893e+00,7.846302925e+01,3.140808007e+00,4.798447983e+01,2.814297071e+01
4.559493127e+01,2.873376569e+01,6.330394799e+01,6.158935392e+01,2.187006596e+01,7.370723826e+01,9.412336714e+01,6.150716553e+01,4.091909446e+01,2.805371093e+01,3.343100722e+01,2.665977118e+01,8.280875133e+00,2.710881504e+01,9.665604472e+01,9.114137277e+01,5.581743268e+01,9.694616255e+01,5.053609651e+01,3.558246467e+01,2.395222951e-01,5.277555904e+01,8.808338469e+01,1.993098758e+01,8.604635386e+01,5.223949493e+01,1.148465311e+01,1.560661224e+01,7.200593917e+01,3.144599705e+01,1.028926579e+01,6.321852288e+01,6.738039818e+01,6.656391601e+01,3.091774268e+01,1.384677749e+01,8.167468845e+01,1.402239733e+01,8.054024023e+01,2.843925154e+01,4.576979672e+01,3.879322341e+01,2.010896318e+01
5.313822651e+01,5.255477853e+01,6.800551922e+01,3.408402808e+01,1.154897615e+00,3.605695859e+01,2.704995281e+01,2.278978547e+01,5.530767478e+01,8.594734498e+01,7.812452623e+01,6.155898565e+01,8.033916987e+01,7.680452209e+01,9.037221866e+01,5.319703798e+01,3.212425275e+01,2.388035180e+01,8.940141433e+01,3.531040658e+01,3.881856230e+01,4.139182611e+01,3.040915043e+01,4.526934135e+01,9.275635808e+01,4.083647125e+01,8.953073567e+01,9.764768759e+01,7.888271517e+01,5.176998261e+01,2.437610444e+01,9.956987902e+01,6.684495439e+01,9.144250411e-02,7.851337997e+01,8.158759314e+01,6.994131572e+01,6.146998228e+01,6.715706140e+01,1.827757174e+01,3.593196646e+01,7.817272317e+01,7.825327168e+01
2.011725763e+01,9.023832377e+01,9.309497629e+01,6.771269752e+01,3.942077937e+01,4.230622083e+01,7.440338454e+01,5.405140211e+01,9.576689423e+01,2.549743754e+00,6.573993421e+01,8.664510760e+01,5.230597058e+00,5.892540334e+00,4.513053825e+01,6.406868668e+01,8.202811832e+01,8.102133557e+00,4.982445305e+01,7.248316960e+01,3.340789612e+01,7.357322511e+01,9.241188613e+01,1.984152182e+00,5.586641196e+01,3.095864288e+01,1.907924105e+01,3.176068236e+01,7.049017087e+01,6.764848167e+01,8.002106448e+01,7.466455422e+01,9.055141829e-01,9.115458684e+01,8.876861631e+01,9.576614488e+01,5.366500301e+00,6.920027061e+01,7.276410934e+01,8.255808259e+01,1.252943497e+01,8.336194868e+01,3.809191780e+01
6.351535709e+01,7.003582932e+01,9.430727885e+00,8.218185802e+01,9.018576893e+01,3.086445145e+01,1.982061456e+01,3.281248157e+01,4.464423300e+00,8.243278810e+01,9.324759615e+01,9.195614186e+01,6.327962257e+01,6.396275343e+00,9.821358177e+00,2.177273473e+01,1.350485979e+01,6.066698348e+01,9.706552998e+01,3.086336386e+01,6.148113316e+01,5.085838049e+01,8.705142322e+01,3.537652380e+01,7.733100888e+01,4.204194420e+01,6.703727041e+01,8.366809102e+01,1.223995655e+01,2.620498965e+01,9.708326373e+01,6.453732055e+01,8.297560284e+01,9.078200309e+01,6.827069478e+01,2.454965901e+01,2.349262548e+01,8.167224576e+01,1.129042785e+01,9.962835630e+00,1.263895532e+01,1.868050642e+01,5.633700703e+01
5.152727489e+01,8.864031851e+01,7.426180772e+01,8.731222910e+01,3.440222303e+01,4.001408344e+01,2.843354389e+01,7.116770181e+01,5.421381036e+01,7.005501111e+01,4.247537728e+01,8.048327972e+01,3.950031436e+01,9.925515114e+01,2.711215997e+01,3.998767005e+00,4.362010374e+01,3.641906919e+00,7.203853684e+01,5.693190935e+01,8.667704597e+01,9.312841261e+00,4.711852846e+01,5.013873934e+01,7.847259274e+01,2.706718728e+01,4.216567413e+01,8.714542692e+01,8.640118164e+00,9.698010134e+01,6.484203699e+01,6.866796966e+01,9.559896516e+01,4.378682180e+01,5.777737616e+01,1.887958707e+00,8.341250730e+01,4.254027065e+01,3.834639551e+01,1.674465648e+01,4.233955955e+01,8.607433989e+01,5.882054458e+00
9.557979909e+01,5.168225615e+01,5.339757548e+01,2.456557700e+01,9.850662450e+01,8.296366581e+01,1.764040317e+01,7.566166005e+01,4.341479952e+00,2.466174119e+01,3.330234687e+01,8.920112198e+01,4.568341674e+01,3.485145379e+01,5.393702407e+01,9.863667013e+01,9.144085917e+01,1.578781446e+01,5.718131337e+01,9.071169509e+01,8.729792972e+01,8.742087189e+01,3.419206740e+01,3.683130746e+01,6.323506518e+01,4.532252990e-01,1.754349416e+01,9.911100270e+01,7.215769046e+01,1.017977337e+01,7.536363926e+01,1.692546161e+01,9.779276808e+01,2.700999133e+01,5.665334882e+01,8.163231967e+01,6.859929612e+01,1.581021843e+01,7.825647843e+01,6.270910287e-02,6.990030078e+01,1.181004816e+00,1.246985925e+01
2.228243347e+01,1.183118182e+01,9.772989955e+01,5.630738929e+01,2.172818228e+01,2.664188903e+01,3.632019941e+01,2.332129777e+01,7.794554505e+01,6.520023699e+01,4.817697287e+01,6.225607651e+01,8.132422880e+01,5.837095938e+01,5.601110778e+01,8.708096756e+01,5.107008736e+01,2.514976617e+00,5.147200568e+01,3.079318302e-01,8.616953166e+01,5.380839971e+01,4.085626291e+01,5.227235396e+01,3.809310522e+01,6.819021183e+01,5.294555728e+01,9.218877643e+01,4.648084622e+01,2.901795287e+01,2.782925035e+01,5.358528108e+01,7.660888725e+01,6.465585015e+01,1.066106190e+01,4.101979433e+01,1.546510778e+01,5.675434634e+01,7.260388307e+01,6.239796683e+01,5.910663898e+01,5.507070497e+01,5.143328601e+01
3.878576638e+01,1.530899810e+00,5.008388051e+01,8.597075874e+01,4.195988452e+01,9.402195760e+01,6.660131786e+01,5.871293254e+01,5.654024662e+01,4.729967878e+01,7.211719932e+01,5.948878793e+00,2.631641159e+01,4.400484001e+00,5.163096121e+01,1.664101453e+01,2.061782271e+01,3.870520775e+01,1.960467666e+01,2.608360078e+01,1.924498661e+01,4.929595319e+01,6.361332013e+01,6.689668698e+01,9.364608528e+01,4.778888757e+01,5.484487807e+01,4.963928309e+01,6.390950866e+01,9.732647318e+01,6.630716819e+00,3.526502791e+01,3.431108743e+01,2.464461100e+01,9.080463168e+01,5.116027716e+01,6.787439722e+01,3.451169227e+01,5.173462104e+01,4.735804017e+01,7.135247602e+01,2.344934504e+01,5.587649465e+00
9.087227038e+01,7.864268413e+01,2.256578353e+01,8.520892704e+01,5.581285476e+01,3.907929942e+01,5.969647766e+01,8.185439200e+01,7.344166864e+01,4.833166881e+01,2.216236579e+01,8.060126699e+01,1.262851600e+01,1.542554263e+01,6.352796021e+01,1.722530999e+01,8.567152833e+01,5.130788271e+01,1.931506260e+01,3.584052484e+01,2.037981487e+01,3.824301427e+01,5.288018050e+01,2.563156224e+01,3.347068224e+01,9.683712115e+01,2.385309866e+01,3.283319783e+01,1.499305409e+01,2.544759034e+01,5.348140330e+01,3.401531784e+01,2.700529654e+01,8.823807167e+01,5.868035797e+01,5.645649243e+01,1.383179502e+01,7.973587484e+01,3.742713930e+01,9.067810286e-01,2.456035069e+01,2.335581773e+01,8.100740064e+01
7.074984544e+01,8.893905617e+01,7.378320755e+01,3.787738251e+01,7.749999738e+01,5.131475044e+01,6.893573142e+01,8.311551299e+01,8.782240815e-01,9.066511600e+01,2.358623909e+01,6.360892715e+01,2.287851007e+01,7.404829595e+01,4.307055811e+01,3.303276476e+01,6.942706329e+01,1.218339582e+01,6.961319464e+01,6.813531546e+01,5.366353002e-01,3.632455600e+01,7.729798133e+01,9.904584242e+01,2.714939280e+01,5.956702066e+01,1.303616239e+00,4.927372874e+01,6.253254572e+01,4.269255145e+01,8.025095868e+01,6.513442010e+01,5.459213613e+01,9.372933537e+01,7.835864069e+01,8.672892893e+01,7.635550679e+01,4.918723283e+01,7.683646434e+01,8.470427422e+01,4.116313894e+01,8.114850625e+01,9.468351723e+01
3.796713854e+01,7.694435964e+01,5.080476198e+01,4.418050734e+01,5.389188796e+01,9.941621018e+01,8.103202335e+01,5.425907805e+01,7.186258536e+01,1.899908709e+01,6.675531378e+01,2.960803142e+01,3.545278875e+01,1.482534102e+01,1.778805888e+00,2.742957131e+01,5.652777439e+01,9.598555760e+01,4.123263311e+01,1.005459775e+01,4.821242573e+01,6.881616661e+01,1.484051794e+01,5.249323499e+00,8.627047357e+01,4.607650689e+01,6.680050532e+01,6.136295372e+01,7.450661863e+01,9.019474806e+01,9.820947259e+01,8.252798910e+01,3.224753856e+01,8.964217843e+01,4.853841652e+01,2.165412448e+01,8.404730545e+01,9.110047424e+01,4.453044958e+01,8.804753103e+01,7.116598386e+01,8.149264817e+01,7.909311227e+01
