v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34
4.652795607e+01,3.251081951e+01,5.031142081e+01,6.997038869e+01,1.865578332e+00,9.740485413e+01,6.801231760e+01,8.510750173e+01,4.749300763e+01,6.118110512e+01,1.884468295e+01,2.084342931e+01,2.219444113e+01,1.785855540e+01,3.938181055e+01,6.873554540e+01,2.358044111e+01,2.420315454e+01,4.066255987e+01,7.753631219e+00,1.981337790e+01,7.435405083e+01,3.120855048e+01,5.508261865e+01,1.677274506e+01,1.727519306e+01,4.907341605e+01,6.742345491e+01,6.076098150e+01,7.178316079e+01,9.334788364e+01,5.669839165e+01,9.211924393e+00,2.305624387e+01
6.478289631e+01,4.875230787e+01,4.547689855e+01,6.372335889e+01,3.422634669e+01,9.981572711e+01,7.836077563e-01,5.273229299e+00,2.897459421e+01,1.522031996e+01,7.511690880e+01,2.047909876e+01,2.974686472e+01,2.966650066e+01,7.781162859e+01,1.875457635e+00,2.344265209e+01,2.526949161e+01,5.854619785e+01,3.567435238e+01,8.780087507e+01,7.908407680e+01,8.074745240e+01,5.849524309e+01,8.892376740e+01,4.969824511e+01,8.574384817e+01,9.271900921e+01,7.088406118e+01,8.340193589e+00,1.607513159e+01,4.751493678e+01,5.745581694e+01,3.591710603e+01
8.843496713e+01,9.151380170e+01,1.062877454e+01,5.509753978e+00,1.974771982e+01,5.908329757e+01,1.002020128e+01,5.341175337e+01,6.387108695e+01,7.821208610e+00,8.912048650e+01,9.707315877e+01,3.983969350e+01,8.848932090e+00,1.363664130e+01,7.807444533e+01,3.151740779e+01,9.898477389e+01,3.857792350e+01,6.395772944e+01,2.678379954e+01,7.810189141e+01,7.192835601e+01,5.459465103e+00,1.474946093e+01,3.079804652e+01,7.412514826e+01,4.344848564e+00,2.477626997e+01,9.028837442e+01,4.805591567e+01,5.569370826e+01,8.406143598e+01,7.601581160e+01
8.979720008e+01,8.939645833e+01,8.116538432e+01,6.507813340e+01,3.121355052e+01,8.861561306e+01,9.408030962e+00,6.928933157e+01,1.274544855e+01,6.886612659e+01,4.806328769e+01,2.521262675e+01,5.335421129e+01,3.236167777e+01,5.555457388e+01,1.171520627e+00,7.484315511e+01,5.268613770e+01,2.510049822e+01,6.847274668e+01,4.377691056e+00,2.661823273e+01,5.194643668e+01,6.915729237e+00,8.616093894e+01,3.005805316e+01,8.469835211e+01,5.009195951e+01,8.338164840e+01,1.661648696e+01,8.128714490e+01,7.606171053e+00,7.524481529e+01,3.313185279e+01
4.062113922e+01,8.004559404e+01,7.782888181e+01,1.034321552e+01,8.970923994e+01,5.096206995e+00,2.216832090e+01,4.628404180e+01,1.362591203e+01,1.593100446e+01,3.122299998e+01,9.004210096e+01,2.619522681e+01,5.537904374e+00,8.532366442e+01,1.313554993e+01,3.232158935e+01,2.742977791e+01,1.933518616e+01,5.629306916e+01,2.122574579e+01,2.256687410e+01,2.245857692e+00,7.666730563e+00,8.557220838e+00,1.950016341e+01,2.492010327e+01,6.320148060e+01,8.479664116e+01,3.244849724e+01,4.612782693e+01,3.264023992e+01,3.292286039e+01,6.885245519e+01
6.789309731e+01,9.010830720e+01,7.490581612e+01,3.841831431e+01,1.906168546e+01,9.725185411e+00,2.317331364e+00,4.034218738e+01,2.292500707e+01,9.515774891e+01,8.624541140e+01,1.159630669e+01,3.986742208e+00,5.690215347e+01,3.698495974e+01,4.706079414e+01,4.691172979e+01,9.735751842e+01,6.395558510e+01,2.901405914e+01,6.346352162e+01,6.110078384e+01,5.589447560e+01,9.214470577e+01,9.255388067e+01,5.659817647e+01,5.677370800e+01,3.273470314e+00,3.576803817e+01,3.422667498e+01,6.549174248e+01,2.473134487e-02,8.223684061e+00,1.635408785e+01
5.406302838e+01,7.795083217e+01,9.660611070e+01,2.413630766e+01,2.483059274e-01,7.268404139e+01,9.582252025e+01,4.325981180e+01,6.824962407e+01,8.799562598e+01,5.463848487e+01,1.416265097e+01,7.406044515e+01,5.383005350e+00,7.171970677e+01,8.175340427e+01,9.794667605e+01,1.737082286e+01,6.259397838e+01,6.044625165e+00,8.303738384e+01,9.773760190e+01,2.357072681e+01,3.507027690e+01,6.906393185e+01,8.244234386e+01,7.398544278e+01,2.651270751e+01,6.043580520e+01,6.363127959e+00,5.534606135e+01,1.212241725e+00,1.067942357e+01,4.717968918e+01
6.304952833e+01,7.511237465e+01,7.805097064e+01,3.953374656e+01,5.950217806e+00,4.165557755e+01,9.106658086e+01,4.866611531e+01,3.828588347e+01,7.436149826e+01,8.615114718e+01,2.892822679e+00,9.109633821e+01,7.132905462e+01,8.990461952e+01,5.912897078e+01,8.335256362e+01,5.788671584e+01,3.238299055e+01,1.733145274e+01,1.306230251e+01,8.211623330e+01,5.417779721e+01,2.999541105e+01,8.566749284e+01,7.841826315e+01,9.085651075e+01,6.050409803e+01,6.199491180e+01,5.609938066e+01,5.463102300e+01,5.873098626e+01,6.205772701e-01,2.643762153e+01
8.600840535e+01,1.387232463e+01,3.280641580e+01,1.074035789e+01,3.820194836e+01,1.139790284e+00,6.137135686e+01,9.815887466e+01,6.319828142e+01,2.028399207e+01,4.988551034e+01,8.862599500e+01,3.791665309e+01,7.511147929e+01,7.705259574e+01,2.460227784e+01,6.853190644e+01,3.056153193e+01,3.523370922e+01,8.693983962e+00,7.530350518e+01,7.202104941e+01,5.095985541e+01,6.778328063e+01,5.325128417e+01,4.090283895e+01,3.073299122e+01,2.195421920e+01,5.683425724e+01,1.783894177e+01,2.016359700e+01,7.611332765e+01,1.299889590e+01,4.999495452e+01
2.563333125e+01,6.444089134e+01,4.106982463e+01,8.022199744e+01,6.674637605e+01,4.232504126e+01,2.912736014e+01,7.183288749e+01,7.432375663e+01,9.376831141e+01,6.362585422e+01,5.460487984e+01,6.334025159e+01,3.669105858e+01,9.034463207e+01,7.380883705e+01,8.668631808e+01,7.216872506e+00,6.211202646e+01,3.320570595e+01,3.062916010e+01,2.926193529e+01,6.202468969e+01,3.736771607e+01,6.280671801e+01,7.133902210e+01,4.967092988e+01,8.357572349e+01,7.138039155e+01,6.510200276e+01,5.085177151e+01,7.250418768e+01,3.492203326e+01,7.008819035e+00
7.170252977e+01,4.893641127e+01,4.377632094e+01,1.573445715e+01,1.259014330e+01,5.159289464e+01,9.363810352e+01,3.832264478e+01,3.795756668e+01,2.502449171e+01,3.717369619e+01,1.698967677e+01,3.807804491e+01,2.911089614e+01,3.444574238e+01,3.658571678e+01,3.032417957e+01,4.047630672e+01,4.384843840e+01,9.723869898e-01,3.394374400e+01,6.362415971e+01,7.723065895e+01,2.489511121e+01,5.206420943e+01,9.185844928e+01,8.335076796e+01,9.958454000e+01,9.386524634e+01,6.545755000e+01,9.282609696e+01,2.888718533e+01,6.529675690e+01,7.396281478e+01
4.330010881e+01,5.328495606e+01,1.033306070e+01,9.850373753e+01,7.248756874e+01,8.658637702e+01,9.660350833e+01,3.819601411e+00,3.950970577e+00,5.515183994e+01,1.770934204e+01,8.991676804e+01,9.162018359e+01,4.664473898e+01,8.941836920e+01,8.054188002e+00,4.380098300e+01,6.707842608e+01,2.097549076e+01,4.391673685e+01,7.989771149e+01,2.316143636e+01,2.704058436e+01,8.672861873e+01,4.420133502e+01,2.795007583e+01,9.955152848e+00,8.745843908e+01,2.216711555e+01,6.145841561e+01,2.376643239e+01,4.539506291e+01,8.856729268e+00,8.008316705e+01
3.639806770e+01,4.594901132e+00,9.718163755e+01,7.587587834e+01,4.608709314e+01,1.531987537e+01,8.589475007e+01,5.938156341e+01,5.797414210e-01,5.576962844e+01,1.063243964e+01,9.992103110e+01,9.584318520e+01,5.348835716e+01,5.383763903e+01,4.974531101e+01,4.803753092e+00,5.351545434e+01,9.351096655e+01,4.908400595e+01,1.638783498e+01,7.401956791e+01,8.236891497e+01,6.449851582e+00,9.526646854e+01,8.944136683e+01,1.839549881e+01,7.846873084e+01,8.377652335e-01,9.644428488e+01,7.917307805e+01,5.337313537e+01,1.098063224e+01,2.101917117e+01
6.963968201e+01,5.588192454e+01,4.829797236e+01,3.983726776e+01,4.654746428e+01,3.625083952e+01,1.979559112e+01,7.321987005e+01,2.283583962e+01,4.263872614e+01,4.964288865e+01,1.083325453e+01,5.713732460e+01,9.643298569e+01,7.367278899e+01,5.408248287e+01,9.267721056e+01,4.714187653e+01,2.421708468e+00,3.825714851e+01,5.238539707e+01,5.924705425e+01,5.108451202e+00,1.294174764e+01,2.867328018e+01,6.934751469e+01,1.649294495e+01,8.860195251e+00,9.619049325e+01,5.115616624e+01,7.531075817e+01,3.566385818e+00,3.359683692e+01,2.904627802e+01
1.680713317e+01,6.116293739e+01,1.317771155e+01,5.375639780e+01,9.632867945e+01,6.716929259e+01,3.067663136e+01,2.082213166e+01,7.170481374e+01,5.720605554e+01,6.981162351e+00,8.456277611e+01,4.975464965e+01,6.895848324e+01,2.980934710e+01,6.047201154e+01,9.089626463e+01,4.998192731e+01,7.250602077e+01,2.950184882e+00,6.989265607e+01,4.129935678e+01,9.509731814e+01,2.957767402e+01,3.607954484e+01,6.290464860e+01,5.296415986e+01,7.060619671e+01,2.875732476e+01,1.375999731e+01,8.103735407e+01,2.393943623e+00,5.936694135e+01,6.204593659e+00
5.695934716e+01,1.055787006e+01,8.093725175e+01,8.536557313e+01,6.370463078e+01,2.043980975e+01,5.293221034e+00,4.559237876e+00,7.122407160e+01,6.790887861e+01,4.387742631e+01,9.496536604e+01,6.279481523e+01,3.659355532e+01,8.582487065e+01,2.631167813e+01,9.149564076e+01,2.790410732e+01,7.500920409e+00,3.145838682e+01,6.621871026e+01,4.362166933e+01,4.950567706e+01,7.911788644e+01,4.187887888e+01,6.029109185e+01,3.495994534e+01,9.446714539e+01,3.376322743e+01,7.790797960e+01,8.781069963e+01,7.660209009e+01,1.648511940e+01,3.860577776e+01
4.551159356e+01,2.027796154e+01,6.524422486e+01,7.846083873e+00,9.610950433e+01,7.495451315e+01,8.960983133e+01,5.135971260e+01,7.959910578e+01,5.480025616e+01,2.570861821e+01,7.973018152e+01,3.713237330e+01,7.385892951e+01,9.936743139e+01,4.200623739e+01,6.012932190e+01,6.384033142e+01,7.923198480e+01,5.011891845e+01,7.603604256e+01,1.423753403e+01,7.924037782e+01,4.377429767e+01,7.182242798e+01,9.795665036e+01,4.279129319e+01,6.628883785e+01,5.454125042e+01,6.509438642e+01,9.478551300e+00,1.831094606e+01,5.209473906e+01,5.825558663e+00
1.651535717e+01,4.367287810e+01,8.885566389e+01,9.321302378e+01,8.606928918e+01,7.654629170e+01,1.569446371e+01,7.550078810e+01,9.562950255e+01,7.095841649e+01,2.614221776e+01,3.309968873e+01,2.058570611e+00,4.146043826e+01,6.269001651e+01,4.575392806e+01,8.532779997e+01,7.714953804e+01,6.663195156e+01,6.712543521e+01,3.472369902e+01,2.290456890e+01,1.681953549e+00,6.568706816e+00,8.713021995e+01,8.420840117e+01,2.220095941e+01,4.431334542e+01,7.806433787e+01,2.386311131e+01,5.313928744e+01,2.130996653e+01,7.717829220e+01,3.268324773e+01
1.424251074e+01,1.277236368e+00,7.050859961e+01,5.738270665e+01,2.164389257e+01,5.782757345e+01,2.461646696e+01,2.998280377e+01,7.888528363e+01,1.009858125e+01,1.287139267e+01,3.162422590e+01,9.076127657e+00,8.417317650e+00,7.167098735e+01,5.559701792e+01,9.150087834e+01,9.456477798e+01,9.274259812e+01,1.147878080e+01,1.097381985e+01,4.289079708e+01,4.343287892e+01,5.134208622e+01,5.162862751e+01,5.047951237e+00,7.604909175e+01,8.313691431e+01,4.390285488e+01,6.364985313e+01,7.813861948e+01,5.078603771e+01,6.193671924e+01,3.904450868e+01
9.727104576e+01,4.105716416e+01,7.034961160e+01,6.878208288e+01,1.415905661e+01,5.943250654e+01,3.849369286e+01,3.550432452e+01,2.449198663e+01,6.453057077e+01,2.466455130e+01,6.330248497e+01,7.426778597e+01,3.214642635e+01,3.074431008e+01,4.329061955e+01,7.693599748e+01,7.412675255e+01,9.931763319e+01,4.548266553e+01,8.859462078e+01,8.121846860e+01,5.238079595e+01,9.493367404e+01,8.203501949e+01,7.338635429e+01,3.826232192e+01,3.982043381e+00,4.682923816e+01,9.369531744e+01,5.476207101e+01,5.206191186e+01,9.118817104e+01,3.774435398e+01
4.072560474e+01,9.731511689e+01,6.572182861e+01,1.499552677e+01,2.054042129e+01,7.890839984e+01,3.796422626e+00,7.035157001e+01,7.077181682e+01,3.463900498e+01,9.316937771e+01,7.431157019e+01,1.877871021e+01,2.831265152e+01,5.192593117e+01,1.863240374e+01,6.298605657e+01,7.139974003e+01,2.783625851e-01,6.263611627e+01,3.554970510e+01,9.040515140e+01,3.613808651e+01,1.280972755e+01,5.114696418e+01,7.638437016e+01,5.756040517e+01,2.278015938e+01,7.344846898e+01,2.960012193e+00,2.885846529e+00,5.302847720e+01,5.433130321e+00,3.313309942e+00
5.727639756e+01,4.775897000e+01,1.286680575e+01,6.649582443e+01,2.823161728e+01,1.862556508e+01,4.655796569e+01,6.841002339e+00,2.703624221e+01,6.896122974e+01,5.280343555e+01,9.545720949e+01,5.764430526e+01,6.579385498e+01,2.998939469e+01,3.625160028e+01,8.697468995e+00,9.217118041e+01,3.146309733e+01,9.428218522e+01,6.492478524e+01,2.329692786e+00,3.241148343e+01,9.502374151e+01,2.330377994e+01,9.141048786e+01,7.187417997e+01,7.779036217e+01,6.634841483e+01,3.771720278e+01,2.230640949e+01,7.932295493e+01,6.419612350e+01,9.200350879e+01
8.887215392e+01,6.354890794e+01,6.717266076e+01,9.662979212e+00,9.641406305e+01,7.332360078e+01,4.198437457e+01,6.963483313e+01,7.151215879e+01,1.874134295e+01,3.720983151e+01,9.481054467e+01,6.304021233e+01,6.223643794e+01,7.981476671e+01,6.593207885e+01,5.405561037e+00,9.128887542e+01,4.913427422e+01,7.056068925e+01,1.061342180e+01,6.915249868e+01,4.768583977e+01,2.207294722e+01,8.341450221e+01,4.517408209e+00,4.012038198e+01,1.355686695e+01,8.102823402e+01,6.892669455e+01,1.974632165e+01,7.061736409e+01,3.601876687e+01,2.805817611e+01
7.544488514e+01,5.061927599e+01,6.975120220e+01,5.751616105e+01,4.130170526e+00,8.611676799e+01,2.324148844e+01,2.818409338e+00,2.354101999e+00,4.072057639e+01,7.448612993e+01,7.927353544e+01,6.746944333e+01,7.342087105e+01,5.848306597e+01,7.366439908e+01,4.363290719e+01,3.911044115e+00,9.197313071e+01,4.628575702e+01,2.047966760e+01,7.767440839e+01,7.065561088e+01,1.946502285e+01,3.005366635e+01,5.416434154e+01,2.288846397e+01,1.715548755e+01,1.315753318e+01,8.449532263e+01,2.155644610e+01,3.011153352e+01,5.501894512e+01,3.940915619e+01
8.481087439e+01,2.297143280e+01,5.288949787e+01,2.229348915e+01,8.888819164e+01,1.060412440e+01,6.477972854e+01,4.381841440e+01,9.890905618e+01,5.141437230e+01,4.581759300e+01,1.839880048e+01,1.948640399e+00,2.993781905e+01,1.114244926e+01,5.390731383e+01,8.060959962e+01,8.230416315e+01,2.164448882e+01,7.040959255e+01,2.840862038e+01,9.004087735e+01,6.307430877e+01,5.404878604e+01,7.204794363e+01,3.795579559e+01,6.500646537e+01,6.143747069e+01,8.786174831e+01,5.384264668e+01,6.232847192e+01,9.331399446e+01,5.380443276e+01,9.814079993e+01
